년도,월,나이,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020,7,80,"1,318",374,230,193,238,283
2020,7,90,207,51,42,25,41,48
2020,7,100,15,3,1,5,2,4
2020,8,총,"24,802","8,398","2,735","2,898","4,302","6,469"
2020,8,0,"1,852",727,58,139,317,611
2020,8,10,"1,813",764,150,275,165,459
2020,8,20,"3,854","1,177",283,274,"1,109","1,011"
2020,8,30,"2,860","1,029",141,253,545,892
2020,8,40,"2,764","1,158",215,378,343,670
2020,8,50,"3,978","1,331",597,546,532,972
2020,8,60,"3,683","1,036",602,483,602,960
2020,8,70,"2,450",747,415,325,401,562
2020,8,80,"1,322",375,229,194,244,280
2020,8,90,211,51,44,26,42,48
2020,8,100,15,3,1,5,2,4
2020,9,총,"24,855","8,440","2,731","2,906","4,295","6,483"
2020,9,0,"1,838",723,59,136,314,606
2020,9,10,"1,818",769,148,281,161,459
2020,9,20,"3,874","1,193",276,271,"1,118","1,016"
2020,9,30,"2,874","1,035",143,252,542,902
2020,9,40,"2,757","1,160",214,382,338,663
2020,9,50,"3,969","1,335",597,543,530,964
2020,9,60,"3,714","1,045",608,485,603,973
2020,9,70,"2,449",746,410,326,400,567
2020,9,80,"1,329",379,228,198,244,280
2020,9,90,218,52,47,27,43,49
2020,9,100,15,3,1,5,2,4
2020,10,총,"24,897","8,443","2,733","2,891","4,322","6,508"
2020,10,0,"1,816",719,56,131,313,597
2020,10,10,"1,810",772,149,277,155,457
2020,10,20,"3,925","1,200",272,270,"1,155","1,028"
2020,10,30,"2,870","1,026",141,250,543,910
2020,10,40,"2,752","1,163",217,370,335,667
2020,10,50,"3,969","1,333",600,539,528,969
2020,10,60,"3,742","1,049",612,496,606,979
2020,10,70,"2,426",738,406,323,394,565
2020,10,80,"1,350",388,231,203,247,281
2020,10,90,222,52,48,27,44,51
2020,10,100,15,3,1,5,2,4
2020,11,총,"24,868","8,444","2,721","2,899","4,315","6,489"
2020,11,0,"1,804",723,54,130,305,592
2020,11,10,"1,805",772,147,280,149,457
2020,11,20,"3,916","1,192",271,272,"1,164","1,017"
2020,11,30,"2,855","1,027",138,252,536,902
2020,11,40,"2,744","1,164",216,370,331,663
2020,11,50,"3,955","1,327",597,532,531,968
2020,11,60,"3,770","1,057",614,503,610,986
2020,11,70,"2,423",742,406,324,393,558
2020,11,80,"1,354",385,228,203,248,290
2020,11,90,227,52,49,28,46,52
2020,11,100,15,3,1,5,2,4
2020,12,총,"24,857","8,427","2,712","2,901","4,314","6,503"
2020,12,0,"1,791",715,55,128,302,591
2020,12,10,"1,797",768,145,273,152,459
2020,12,20,"3,906","1,193",269,276,"1,156","1,012"
2020,12,30,"2,846","1,017",136,248,535,910
2020,12,40,"2,745","1,161",219,371,333,661
2020,12,50,"3,914","1,319",585,526,522,962
2020,12,60,"3,837","1,073",623,518,625,998
2020,12,70,"2,415",734,406,324,392,559
2020,12,80,"1,366",393,225,204,250,294
2020,12,90,225,51,48,28,45,53
2020,12,100,15,3,1,5,2,4
2021,1,총,"24,732","8,401","2,707","2,907","4,285","6,432"
2021,1,0,"1,784",706,56,135,300,587
2021,1,10,"1,769",763,141,276,150,439
2021,1,20,"3,858","1,197",270,267,"1,134",990
2021,1,30,"2,844","1,002",138,249,541,914
2021,1,40,"2,714","1,154",217,374,329,640
2021,1,50,"3,885","1,315",574,529,515,952
2021,1,60,"3,862","1,080",629,517,635,"1,001"
2021,1,70,"2,390",732,406,318,381,553
2021,1,80,"1,382",398,225,208,252,299
2021,1,90,228,50,50,29,46,53
2021,1,100,16,4,1,5,2,4
2021,2,총,"24,652","8,361","2,711","2,885","4,263","6,432"
2021,2,0,"1,791",696,56,137,296,606
2021,2,10,"1,748",753,145,262,155,433
2021,2,20,"3,822","1,194",269,264,"1,114",981
2021,2,30,"2,835",991,138,247,540,919
2021,2,40,"2,690","1,137",218,371,323,641
2021,2,50,"3,863","1,314",571,525,510,943
2021,2,60,"3,880","1,090",631,511,639,"1,009"
2021,2,70,"2,382",725,404,325,382,546
2021,2,80,"1,395",405,228,208,257,297
2021,2,90,228,52,50,29,44,53
2021,2,100,18,4,1,6,3,4
2021,3,총,"24,506","8,349","2,686","2,854","4,225","6,392"
2021,3,0,"1,776",695,52,137,287,605
2021,3,10,"1,742",743,143,262,156,438
2021,3,20,"3,781","1,178",267,255,"1,107",974
2021,3,30,"2,827",996,133,250,523,925
2021,3,40,"2,665","1,129",213,368,323,632
2021,3,50,"3,826","1,306",570,517,508,925
2021,3,60,"3,904","1,099",636,514,641,"1,014"
2021,3,70,"2,362",738,395,317,379,533
2021,3,80,"1,387",414,227,201,253,292
2021,3,90,224,48,49,30,45,52
2021,3,100,12,3,1,3,3,2
2021,4,총,"24,446","8,345","2,691","2,845","4,178","6,387"
2021,4,0,"1,768",694,53,133,279,609
2021,4,10,"1,738",738,145,260,160,435
2021,4,20,"3,755","1,163",264,257,"1,106",965
2021,4,30,"2,820",999,129,251,511,930
2021,4,40,"2,641","1,123",213,362,311,632
2021,4,50,"3,822","1,303",573,520,503,923
2021,4,60,"3,933","1,115",643,520,637,"1,018"
2021,4,70,"2,337",736,393,307,373,528
2021,4,80,"1,401",422,228,202,253,296
2021,4,90,221,49,49,30,44,49
2021,4,100,10,3,1,3,1,2
2021,5,총,"24,397","8,330","2,700","2,854","4,148","6,365"
2021,5,0,"1,755",691,52,136,270,606
2021,5,10,"1,731",733,147,258,159,434
2021,5,20,"3,716","1,157",259,257,"1,092",951
2021,5,30,"2,804",994,130,246,507,927
2021,5,40,"2,632","1,119",212,362,310,629
2021,5,50,"3,820","1,292",584,524,502,918
2021,5,60,"3,981","1,137",648,531,640,"1,025"
2021,5,70,"2,302",721,388,303,366,524
2021,5,80,"1,423",431,229,204,258,301
2021,5,90,223,52,50,30,43,48
2021,5,100,10,3,1,3,1,2
2021,6,총,"24,408","8,365","2,704","2,849","4,144","6,346"
2021,6,0,"1,753",687,52,137,273,604
2021,6,10,"1,738",741,146,260,154,437
2021,6,20,"3,735","1,165",264,254,"1,096",956
2021,6,30,"2,793","1,001",127,241,506,918
2021,6,40,"2,619","1,120",207,360,302,630
2021,6,50,"3,802","1,289",586,517,499,911
2021,6,60,"4,018","1,149",654,542,645,"1,028"
2021,6,70,"2,288",722,386,303,366,511
2021,6,80,"1,431",435,231,202,260,303
2021,6,90,220,52,50,30,42,46
2021,6,100,11,4,1,3,1,2
2021,7,총,"24,369","8,324","2,715","2,847","4,147","6,336"
2021,7,0,"1,745",671,52,141,280,601
2021,7,10,"1,724",740,140,255,154,435
2021,7,20,"3,715","1,163",270,254,"1,081",947
2021,7,30,"2,791",983,129,239,518,922
2021,7,40,"2,614","1,111",211,357,304,631
2021,7,50,"3,781","1,279",589,518,494,901
2021,7,60,"4,055","1,164",658,547,650,"1,036"
2021,7,70,"2,265",714,383,299,362,507
2021,7,80,"1,446",441,233,204,262,306
2021,7,90,222,54,49,30,41,48
2021,7,100,11,4,1,3,1,2
2021,8,총,"24,342","8,332","2,702","2,830","4,150","6,328"
2021,8,0,"1,750",673,54,138,284,601
2021,8,10,"1,701",734,139,246,153,429
2021,8,20,"3,704","1,160",262,255,"1,082",945
2021,8,30,"2,790",981,128,240,518,923
2021,8,40,"2,609","1,110",213,355,307,624
2021,8,50,"3,768","1,281",582,512,489,904
2021,8,60,"4,076","1,179",656,549,652,"1,040"
2021,8,70,"2,255",711,385,295,359,505
2021,8,80,"1,454",444,232,208,264,306
2021,8,90,225,55,50,30,41,49
2021,8,100,10,4,1,2,1,2
2021,9,총,"24,313","8,342","2,702","2,820","4,144","6,305"
2021,9,0,"1,753",674,52,131,287,609
2021,9,10,"1,703",746,138,244,148,427
2021,9,20,"3,658","1,149",260,254,"1,072",923
2021,9,30,"2,774",966,128,235,528,917
2021,9,40,"2,621","1,117",216,353,304,631
2021,9,50,"3,767","1,282",585,513,489,898
2021,9,60,"4,093","1,185",657,556,655,"1,040"
2021,9,70,"2,253",718,381,290,360,504
2021,9,80,"1,458",447,235,209,262,305
2021,9,90,223,54,49,33,38,49
2021,9,100,10,4,1,2,1,2
2021,10,총,"24,247","8,325","2,698","2,798","4,130","6,296"
2021,10,0,"1,735",677,55,126,273,604
2021,10,10,"1,707",750,136,234,156,431
2021,10,20,"3,618","1,133",258,253,"1,061",913
2021,10,30,"2,753",954,127,229,530,913
2021,10,40,"2,617","1,113",211,345,308,640
2021,10,50,"3,759","1,283",582,512,487,895
2021,10,60,"4,111","1,192",660,565,655,"1,039"
2021,10,70,"2,231",715,377,288,355,496
2021,10,80,"1,477",448,238,211,265,315
2021,10,90,229,56,53,33,39,48
2021,10,100,10,4,1,2,1,2
2021,11,총,"24,242","8,374","2,703","2,799","4,078","6,288"
2021,11,0,"1,723",685,55,123,259,601
2021,11,10,"1,712",765,134,229,155,429
2021,11,20,"3,587","1,139",255,252,"1,029",912
2021,11,30,"2,766",972,130,227,530,907
2021,11,40,"2,611","1,117",210,345,301,638
2021,11,50,"3,768","1,285",584,515,481,903
2021,11,60,"4,131","1,193",667,570,665,"1,036"
2021,11,70,"2,218",706,375,287,353,497
2021,11,80,"1,486",452,239,216,265,314
2021,11,90,229,56,52,33,39,49
2021,11,100,11,4,2,2,1,2
2021,12,총,"24,195","8,335","2,688","2,803","4,077","6,292"
2021,12,0,"1,709",677,53,119,262,598
2021,12,10,"1,721",769,134,235,154,429
2021,12,20,"3,567","1,124",248,253,"1,035",907
2021,12,30,"2,763",975,129,219,523,917
2021,12,40,"2,608","1,106",211,349,303,639
2021,12,50,"3,758","1,276",582,512,483,905
2021,12,60,"4,133","1,193",666,578,666,"1,030"
2021,12,70,"2,207",702,372,284,348,501
2021,12,80,"1,491",454,240,220,262,315
2021,12,90,228,56,51,32,40,49
2021,12,100,10,3,2,2,1,2
