년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2020,8,90,793,75,17,76,15,58,74,38,56,27,57,63,36,45,56,39,61
2020,8,100,55,11,0,3,1,1,2,1,4,0,7,6,3,8,5,2,1
2020,9,총,"71,250","5,836","1,116","3,189",822,"2,484","3,031","2,403","2,734","1,942","3,559","2,603","5,892","7,102","9,085","3,159","16,293"
2020,9,0,"4,091",222,42,101,16,59,85,39,53,85,88,73,381,430,673,124,"1,620"
2020,9,10,"5,668",341,64,157,39,298,127,159,105,75,127,94,415,583,873,151,"2,060"
2020,9,20,"6,092",399,70,152,25,144,186,314,142,100,212,114,533,614,848,217,"2,022"
2020,9,30,"5,784",370,49,157,47,105,157,104,117,94,213,131,611,640,826,240,"1,923"
2020,9,40,"8,806",608,105,259,81,179,254,187,230,170,302,190,715,889,"1,339",332,"2,966"
2020,9,50,"12,050","1,052",228,547,175,346,484,387,489,369,607,499,996,"1,155","1,564",547,"2,605"
2020,9,60,"13,214","1,241",258,711,192,561,704,540,600,485,757,640,"1,130","1,386","1,527",668,"1,814"
2020,9,70,"9,312","1,008",172,592,151,390,551,363,543,326,721,476,729,938,923,539,890
2020,9,80,"5,373",503,111,432,80,344,407,269,394,211,468,316,344,413,449,299,333
2020,9,90,805,81,17,78,15,57,74,40,57,27,57,64,35,46,58,40,59
2020,9,100,55,11,0,3,1,1,2,1,4,0,7,6,3,8,5,2,1
2020,10,총,"71,318","5,828","1,122","3,190",822,"2,470","3,042","2,399","2,764","1,946","3,564","2,613","5,896","7,088","9,092","3,167","16,315"
2020,10,0,"4,090",218,43,105,12,57,86,40,55,84,85,74,381,428,678,129,"1,615"
2020,10,10,"5,624",338,62,155,39,285,129,154,108,76,127,92,415,575,861,152,"2,056"
2020,10,20,"6,130",399,69,154,29,149,182,319,142,104,211,116,543,608,850,218,"2,037"
2020,10,30,"5,763",365,48,160,43,106,163,106,122,94,216,133,604,638,818,243,"1,904"
2020,10,40,"8,809",608,109,261,81,177,254,188,229,167,306,189,715,881,"1,338",333,"2,973"
2020,10,50,"12,036","1,046",228,538,174,345,483,388,493,364,607,498,993,"1,150","1,564",542,"2,623"
2020,10,60,"13,283","1,249",261,711,196,561,708,530,614,493,759,645,"1,131","1,396","1,538",668,"1,823"
2020,10,70,"9,312","1,004",174,592,151,385,553,363,541,324,719,474,730,944,930,538,890
2020,10,80,"5,404",509,111,431,80,347,409,269,397,211,470,321,346,414,453,300,336
2020,10,90,811,81,17,80,16,57,73,41,59,29,57,64,35,46,57,42,57
2020,10,100,56,11,0,3,1,1,2,1,4,0,7,7,3,8,5,2,1
2020,11,총,"71,213","5,834","1,115","3,195",821,"2,451","3,039","2,397","2,766","1,942","3,547","2,619","5,839","7,088","9,087","3,153","16,320"
2020,11,0,"4,069",216,42,102,11,57,89,39,58,82,85,75,367,433,677,130,"1,606"
2020,11,10,"5,592",343,60,157,40,275,127,147,108,76,125,93,406,572,855,152,"2,056"
