년도,월,나이,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020,5,10,991,122,4,151,1,2,28,3,100,47,112,110,2,50,7,6,10,10,47,49,35,44,3,15,33
2020,5,20,"1,222",122,5,234,3,2,48,12,97,66,109,76,3,84,22,6,25,12,45,63,37,83,6,11,51
2020,5,30,"1,082",118,6,171,7,4,31,4,93,46,89,68,6,67,10,5,22,10,57,51,50,77,12,23,55
2020,5,40,"1,481",167,6,233,4,4,56,9,146,71,155,111,7,98,20,6,26,11,65,65,42,74,12,31,62
2020,5,50,"2,854",320,21,488,17,13,99,24,232,187,238,166,22,166,30,17,44,17,115,119,93,177,25,68,156
2020,5,60,"3,431",375,20,546,29,22,117,37,267,202,320,193,22,175,25,21,35,32,155,116,157,244,29,97,195
2020,5,70,"3,577",433,25,423,35,31,182,30,292,238,337,232,14,187,25,13,26,20,148,111,169,265,20,128,193
2020,5,80,"2,757",308,27,316,17,16,105,17,177,159,236,221,13,144,15,19,22,16,141,101,125,247,21,103,191
2020,5,90,380,45,3,55,0,0,14,1,17,16,42,22,2,38,0,2,0,5,13,8,19,46,1,12,19
2020,5,100,11,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
2020,6,총,"18,549","2,064",119,"2,729",118,95,709,141,"1,510","1,071","1,707","1,262",93,"1,050",164,99,224,138,826,728,764,"1,313",131,503,991
2020,6,0,809,70,3,110,4,2,27,4,95,43,67,62,3,40,6,4,17,6,45,46,36,63,4,12,40
2020,6,10,988,122,4,145,1,2,28,3,100,47,112,113,2,48,8,7,10,10,47,48,36,43,3,17,32
2020,6,20,"1,207",114,5,236,3,2,47,12,94,65,109,72,3,86,23,6,24,12,45,63,35,83,6,11,51
2020,6,30,"1,072",116,6,169,7,4,32,4,94,43,91,66,6,66,10,5,21,10,55,53,50,76,12,23,53
2020,6,40,"1,483",166,6,234,4,5,56,9,143,77,154,111,7,95,21,6,26,11,63,67,42,73,12,32,63
2020,6,50,"2,826",316,20,484,17,12,101,25,229,186,237,166,20,167,30,16,45,17,111,116,91,177,23,66,154
2020,6,60,"3,454",375,21,550,30,23,117,37,271,201,326,196,22,174,26,20,34,32,157,116,160,241,29,99,197
2020,6,70,"3,566",433,25,425,35,29,179,29,291,237,334,232,13,188,23,14,25,19,149,111,168,266,20,129,192
2020,6,80,"2,757",308,27,315,17,16,107,17,177,157,235,221,14,146,16,19,22,16,142,98,126,246,21,102,192
2020,6,90,376,43,2,58,0,0,14,1,16,15,42,23,2,37,1,2,0,5,12,9,19,45,1,12,17
2020,6,100,11,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
2020,7,총,"18,495","2,057",119,"2,722",117,95,709,141,"1,501","1,073","1,707","1,252",93,"1,046",166,99,225,137,824,727,755,"1,312",130,499,989
2020,7,0,803,69,3,113,4,2,29,4,92,43,65,61,3,39,5,4,16,6,45,45,36,64,4,11,40
2020,7,10,990,124,4,146,1,2,28,3,99,49,113,111,2,50,9,7,11,10,46,46,36,43,3,17,30
2020,7,20,"1,183",110,5,232,3,2,46,12,91,63,105,68,3,84,24,6,25,12,45,65,33,82,6,10,51
2020,7,30,"1,058",114,6,162,6,4,33,4,91,43,96,64,7,65,10,5,21,10,53,53,49,74,11,23,54
2020,7,40,"1,482",165,6,235,5,5,55,10,141,78,154,115,7,94,21,6,26,10,64,68,41,70,12,32,62
2020,7,50,"2,822",312,19,484,16,12,102,24,233,184,239,163,20,170,30,16,43,18,113,116,89,175,23,67,154
2020,7,60,"3,438",374,20,543,29,23,117,37,268,209,324,193,21,169,26,20,36,31,154,116,160,246,29,98,195
2020,7,70,"3,570",435,27,428,36,29,179,29,290,234,332,232,13,191,24,14,24,19,150,110,165,269,20,127,193
2020,7,80,"2,761",308,27,319,16,16,105,17,180,155,237,221,14,145,16,19,23,16,141,98,127,244,21,103,193
2020,7,90,377,45,2,57,1,0,14,1,16,15,42,24,2,36,1,2,0,5,13,9,18,45,1,11,17
2020,7,100,11,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
2020,8,총,"18,419","2,047",118,"2,710",116,94,699,138,"1,496","1,073","1,704","1,241",93,"1,043",166,99,221,137,826,720,754,"1,308",130,495,991
2020,8,0,792,68,3,103,4,2,25,4,92,43,67,59,3,42,5,4,16,7,45,45,37,63,4,11,40
2020,8,10,990,122,4,150,1,2,27,3,100,49,115,109,2,50,9,7,11,10,46,45,36,43,3,17,29
2020,8,20,"1,166",110,4,232,3,2,46,11,90,61,101,68,4,82,23,6,25,11,44,63,32,80,6,11,51
2020,8,30,"1,033",111,6,158,6,4,32,3,89,43,92,61,7,67,10,5,19,11,53,52,45,72,11,23,53
2020,8,40,"1,468",163,6,236,5,5,53,10,139,79,152,111,7,90,21,4,26,10,62,68,44,71,11,31,64
2020,8,50,"2,807",308,19,479,16,11,102,24,230,185,241,161,20,169,29,18,41,17,116,111,89,174,23,68,156
2020,8,60,"3,441",375,20,548,28,23,116,37,266,208,324,196,20,167,28,20,37,31,153,118,159,246,29,97,195
2020,8,70,"3,554",427,27,426,36,29,174,29,295,234,330,229,13,193,24,14,24,19,149,111,164,267,21,125,194
2020,8,80,"2,773",315,27,318,16,16,109,16,179,156,240,222,14,143,16,19,22,16,144,97,129,247,20,101,191
2020,8,90,383,47,2,57,1,0,14,1,16,15,42,25,2,36,1,2,0,5,14,9,18,45,2,11,18
2020,8,100,12,1,0,3,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0
2020,9,총,"18,354","2,041",116,"2,697",118,95,693,138,"1,483","1,078","1,700","1,236",92,"1,034",161,100,222,134,828,715,752,"1,309",128,496,988
2020,9,0,784,68,3,104,4,2,24,4,90,41,66,56,3,39,5,5,17,7,46,45,36,63,4,10,42
2020,9,10,996,118,4,150,3,2,26,3,101,50,115,110,2,50,9,7,11,10,46,47,37,44,3,18,30
2020,9,20,"1,131",104,4,227,3,2,44,11,88,61,101,65,4,78,21,6,26,11,42,59,31,79,6,9,49
2020,9,30,"1,032",111,6,160,6,4,31,3,86,42,92,61,7,68,10,5,19,11,54,53,43,73,11,24,52
2020,9,40,"1,458",162,5,234,5,5,51,10,138,80,150,109,7,89,18,4,26,10,62,68,46,74,10,30,65
2020,9,50,"2,782",307,19,472,16,12,102,23,225,184,241,156,19,164,28,18,41,18,117,110,88,174,24,70,154
2020,9,60,"3,442",376,19,545,28,23,118,38,267,211,322,203,20,167,29,20,36,27,153,116,159,246,28,98,193
2020,9,70,"3,545",431,27,429,36,29,173,29,290,235,334,228,13,193,24,14,23,20,145,111,162,261,21,125,192
2020,9,80,"2,776",315,27,314,16,16,110,16,182,157,238,222,14,143,16,19,23,15,149,95,130,249,19,99,192
2020,9,90,397,48,2,59,1,0,14,1,16,17,41,26,2,39,1,2,0,5,14,10,19,46,2,13,19
2020,9,100,11,1,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0
2020,10,총,"18,280","2,024",116,"2,693",119,94,685,137,"1,479","1,072","1,697","1,233",91,"1,041",161,99,219,133,824,709,748,"1,305",125,489,987
2020,10,0,769,66,3,101,5,2,23,4,89,38,65,53,3,43,6,5,16,7,45,44,35,60,4,10,42
2020,10,10,991,119,4,150,3,2,25,3,101,47,112,113,2,50,9,6,11,10,46,46,38,44,3,16,31
2020,10,20,"1,119",101,4,228,3,2,45,11,87,61,104,64,4,77,19,7,26,11,40,59,30,78,4,6,48
2020,10,30,"1,011",107,6,156,6,3,29,3,86,42,92,60,7,70,11,5,17,11,53,50,41,71,11,24,50
2020,10,40,"1,437",158,5,232,5,5,48,10,133,78,148,110,7,87,18,4,28,9,64,69,45,73,9,28,64
2020,10,50,"2,775",305,19,472,16,12,101,22,223,186,242,153,19,168,27,17,40,19,114,106,88,174,24,71,157
2020,10,60,"3,449",377,18,551,28,23,115,38,271,212,320,203,19,166,30,19,35,27,153,118,161,246,29,97,193
2020,10,70,"3,544",428,28,428,36,29,173,29,292,234,335,230,13,193,24,14,23,20,146,112,160,263,21,124,189
2020,10,80,"2,776",314,27,313,16,16,112,16,181,156,238,221,14,145,16,20,23,15,147,95,130,248,19,100,194
2020,10,90,396,48,2,59,1,0,14,1,16,17,41,25,2,38,1,2,0,4,16,9,19,48,1,13,19
2020,10,100,13,1,0,3,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
2020,11,총,"18,211","2,024",115,"2,682",119,93,678,135,"1,470","1,065","1,690","1,229",90,"1,034",160,98,219,131,828,702,745,"1,301",124,493,986
2020,11,0,764,63,3,101,5,2,23,4,91,36,66,53,3,43,6,6,17,7,45,41,34,59,4,10,42
2020,11,10,988,120,4,152,3,2,23,3,101,46,112,113,2,49,9,5,12,9,46,46,38,43,3,16,31
2020,11,20,"1,110",100,4,224,3,2,43,11,86,61,104,64,4,77,18,7,26,11,41,57,31,79,3,7,47
2020,11,30,984,107,7,148,6,2,28,3,82,42,87,55,6,69,11,4,16,11,53,49,40,71,12,24,51
2020,11,40,"1,437",159,4,231,5,5,50,10,130,78,148,110,7,87,18,4,26,9,67,67,44,74,9,30,65
2020,11,50,"2,760",306,19,471,16,12,99,21,223,179,240,155,18,164,27,17,42,18,115,108,89,172,24,70,155
2020,11,60,"3,444",378,18,552,28,23,113,38,273,210,319,203,20,167,30,19,34,27,152,118,161,240,29,99,193
2020,11,70,"3,535",429,28,429,36,29,172,28,290,235,335,227,13,191,24,14,23,20,146,107,159,268,20,123,189
2020,11,80,"2,778",309,27,313,16,16,113,16,178,160,240,224,14,145,16,20,23,15,146,97,131,247,19,100,193
2020,11,90,398,52,1,58,1,0,14,1,16,17,39,24,2,38,1,2,0,4,17,11,17,48,1,14,20
2020,11,100,13,1,0,3,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
2020,12,총,"18,169","2,019",114,"2,677",118,94,673,133,"1,472","1,064","1,688","1,228",93,"1,027",166,100,214,130,828,695,746,"1,302",124,488,976
2020,12,0,765,62,3,104,5,2,22,4,92,37,67,51,3,42,5,8,17,7,45,40,34,59,5,9,42
2020,12,10,983,119,4,152,3,2,24,2,102,46,111,115,2,48,12,5,10,9,46,45,39,41,2,14,30
2020,12,20,"1,100",103,3,221,3,2,41,10,86,58,101,62,4,78,19,7,28,11,41,55,31,79,4,8,45
2020,12,30,972,104,7,144,5,2,27,2,83,42,86,58,7,67,11,3,13,11,52,49,40,73,11,24,51
2020,12,40,"1,425",157,4,229,5,5,51,10,126,75,152,111,7,85,20,5,27,8,66,65,46,71,10,28,62
2020,12,50,"2,765",305,18,471,16,13,100,22,225,182,240,157,19,163,27,16,40,18,116,108,86,173,24,69,157
2020,12,60,"3,433",377,19,546,28,23,111,38,273,212,319,201,21,166,30,20,34,27,153,116,161,243,28,99,188
2020,12,70,"3,525",427,28,433,36,29,171,27,290,234,334,225,13,189,25,14,22,20,147,107,158,268,19,121,188
2020,12,80,"2,784",311,27,316,16,15,112,17,179,160,238,223,14,146,16,20,23,15,145,98,132,247,20,101,193
2020,12,90,404,53,1,58,1,1,14,1,16,17,40,24,2,39,1,2,0,4,17,11,18,48,1,15,20
2020,12,100,13,1,0,3,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
2021,1,총,"18,103","2,007",114,"2,667",120,94,669,132,"1,470","1,062","1,684","1,220",92,"1,024",165,101,209,130,828,702,736,"1,299",122,483,973
2021,1,0,753,59,3,105,6,2,24,4,91,37,66,52,3,40,5,8,14,6,42,40,34,57,5,9,41
2021,1,10,979,116,4,154,4,2,22,2,101,44,110,114,2,50,12,5,11,10,47,46,36,43,2,14,28
2021,1,20,"1,099",103,3,218,3,2,40,10,86,57,103,59,5,78,19,8,25,11,43,58,31,79,4,8,46
2021,1,30,964,103,7,143,5,2,25,2,85,40,85,58,7,66,11,4,12,11,51,52,38,73,10,24,50
2021,1,40,"1,410",153,4,224,5,4,55,10,126,76,147,107,6,86,20,5,25,8,69,64,46,69,10,28,63
2021,1,50,"2,751",305,18,470,16,13,96,22,220,179,242,160,19,160,27,16,42,18,116,110,83,172,23,68,156
2021,1,60,"3,433",378,19,545,28,23,112,37,276,215,316,200,21,164,29,19,35,27,151,118,162,246,27,96,189
2021,1,70,"3,497",423,28,431,36,30,168,27,286,231,337,223,13,189,25,14,21,19,146,105,155,266,20,119,185
2021,1,80,"2,793",312,26,312,16,15,113,17,183,164,237,225,13,147,16,20,24,16,145,97,133,245,20,102,195
2021,1,90,412,54,2,63,1,1,14,1,16,18,41,21,2,40,1,2,0,4,18,11,17,49,1,15,20
2021,1,100,12,1,0,2,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
2021,2,총,"18,167","2,025",115,"2,669",122,95,665,128,"1,489","1,073","1,684","1,227",93,"1,029",164,98,202,130,829,707,740,"1,298",122,489,974
2021,2,0,766,59,3,104,5,2,22,4,99,35,68,52,3,42,5,8,13,6,40,41,37,58,5,11,44
2021,2,10,979,117,4,156,4,2,21,1,103,47,107,113,2,48,9,5,11,10,49,48,36,42,2,14,28
2021,2,20,"1,082",100,3,206,3,2,39,9,87,57,105,60,5,81,19,7,22,11,45,55,33,79,4,7,43
2021,2,30,984,107,7,144,6,2,23,2,89,43,86,63,7,66,12,4,13,11,51,52,40,70,10,27,49
2021,2,40,"1,434",158,4,229,6,5,53,9,130,77,148,108,7,86,20,5,23,8,68,66,49,70,10,30,65
2021,2,50,"2,749",306,16,467,17,13,97,21,221,181,236,162,19,159,28,16,41,19,115,110,83,174,23,67,158
2021,2,60,"3,443",387,21,546,28,23,114,36,274,219,322,201,21,164,28,19,34,26,149,120,157,245,27,96,186
2021,2,70,"3,491",418,28,440,36,30,165,28,285,229,332,222,13,191,26,13,21,19,145,106,154,266,20,118,186
2021,2,80,"2,810",317,27,313,16,15,116,17,186,165,238,224,13,146,16,19,24,16,147,97,133,247,20,103,195
2021,2,90,417,55,2,62,1,1,15,1,15,19,42,21,2,42,1,2,0,4,20,11,17,47,1,16,20
2021,2,100,12,1,0,2,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
2021,3,총,"18,055","2,009",115,"2,643",119,100,669,130,"1,497","1,074","1,663","1,226",92,997,158,97,204,131,813,700,738,"1,295",124,487,974
2021,3,0,761,62,3,99,5,4,23,4,96,34,68,55,2,44,4,7,15,6,37,39,37,57,5,11,44
2021,3,10,975,115,4,157,3,2,20,1,105,47,104,112,3,47,9,6,10,10,47,50,36,43,2,14,28
2021,3,20,"1,080",99,3,200,4,2,42,9,89,60,104,64,5,78,17,7,22,12,43,57,33,76,5,6,43
2021,3,30,953,100,6,141,5,3,24,2,88,40,80,59,7,65,9,4,14,11,49,49,39,70,10,28,50
2021,3,40,"1,416",155,5,223,6,6,49,9,134,78,149,104,6,84,20,5,24,8,65,66,50,71,10,30,59
2021,3,50,"2,717",298,15,461,15,13,99,22,224,183,230,161,20,153,29,16,40,18,113,106,82,171,23,65,160
2021,3,60,"3,450",392,22,551,29,24,116,36,273,221,319,200,21,154,28,18,34,27,148,120,158,247,28,96,188
2021,3,70,"3,453",414,28,430,34,30,160,29,286,224,328,222,13,183,26,13,21,19,146,106,150,267,19,118,187
2021,3,80,"2,830",322,27,320,17,15,121,17,185,169,239,226,13,145,16,19,24,15,147,96,134,245,21,102,195
2021,3,90,413,52,2,60,1,1,15,1,17,17,42,22,2,42,0,2,0,5,18,10,18,48,1,17,20
2021,3,100,7,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
2021,4,총,"18,062","2,015",114,"2,652",119,96,667,132,"1,501","1,079","1,657","1,219",93,995,159,95,201,131,813,705,738,"1,293",127,493,968
2021,4,0,756,63,3,102,5,4,22,5,91,32,66,55,2,44,4,6,13,6,37,39,37,57,5,12,46
2021,4,10,978,115,4,155,3,2,21,1,110,49,104,109,3,47,9,7,9,10,47,48,38,44,2,13,28
2021,4,20,"1,071",103,3,195,4,2,40,9,86,59,103,62,5,76,17,7,23,12,44,58,30,75,6,9,43
2021,4,30,958,99,6,148,5,3,22,3,91,40,80,59,8,65,9,4,13,9,48,50,40,69,11,28,48
2021,4,40,"1,411",156,4,224,7,5,51,9,132,76,146,103,6,84,20,5,24,10,66,67,49,70,11,28,58
2021,4,50,"2,709",301,15,455,15,12,98,22,226,186,226,158,20,151,29,15,39,18,114,104,83,172,21,69,160
2021,4,60,"3,483",395,22,561,27,22,117,36,275,230,322,204,21,157,29,18,35,26,147,124,157,246,29,97,186
2021,4,70,"3,441",409,28,433,34,30,159,30,287,219,326,220,13,184,25,13,21,19,147,107,149,267,19,117,185
2021,4,80,"2,835",324,27,318,18,15,122,16,186,170,239,227,13,143,16,19,24,16,145,96,136,246,22,102,195
2021,4,90,413,50,2,60,1,1,15,1,17,17,45,21,2,42,1,1,0,5,18,11,18,47,1,18,19
2021,4,100,7,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
2021,5,총,"18,053","2,020",115,"2,640",117,94,659,135,"1,504","1,086","1,652","1,221",93,985,160,92,203,131,813,700,733,"1,306",132,493,969
2021,5,0,747,63,3,100,5,4,21,7,89,32,63,56,2,42,4,6,10,6,35,39,37,57,8,13,45
2021,5,10,982,113,4,156,3,2,20,1,110,52,104,109,3,46,9,7,11,10,49,49,37,45,2,13,27
2021,5,20,"1,066",104,3,192,4,2,40,9,86,56,103,64,5,72,17,7,25,11,42,57,28,77,8,9,45
2021,5,30,963,100,6,152,5,3,23,3,92,40,77,59,8,66,9,4,13,10,50,49,39,71,12,27,45
2021,5,40,"1,415",158,5,221,6,5,47,10,133,82,145,105,6,84,20,6,24,10,64,65,48,72,10,29,60
2021,5,50,"2,696",306,15,454,15,11,95,19,229,186,222,155,20,152,30,15,37,17,116,105,80,172,21,69,155
2021,5,60,"3,499",390,23,560,26,23,117,38,276,233,330,205,21,158,30,16,38,26,144,122,158,250,28,96,191
2021,5,70,"3,408",409,26,428,33,28,159,31,285,216,322,213,13,182,23,13,19,19,146,109,150,262,20,116,186
2021,5,80,"2,843",327,28,315,19,15,121,16,187,170,240,232,13,140,17,17,26,15,147,93,136,250,22,102,195
2021,5,90,427,50,2,61,1,1,16,1,17,18,46,22,2,41,1,1,0,7,20,11,19,50,1,19,20
2021,5,100,7,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
2021,6,총,"18,035","2,021",113,"2,637",115,93,658,135,"1,506","1,084","1,653","1,215",92,982,160,89,205,129,812,703,728,"1,308",132,496,969
2021,6,0,735,61,3,96,5,4,21,7,90,32,63,55,2,42,4,6,10,6,34,37,34,57,8,12,46
2021,6,10,982,111,4,157,3,2,20,1,110,54,103,110,3,47,9,7,11,10,46,49,38,45,2,12,28
2021,6,20,"1,066",105,3,187,3,1,38,9,87,57,104,64,5,71,17,5,26,10,45,61,27,77,8,11,45
2021,6,30,962,100,5,154,5,3,23,2,91,43,76,59,8,67,9,4,13,9,49,48,38,73,12,27,44
2021,6,40,"1,412",155,5,217,6,5,45,11,134,80,150,104,6,85,20,5,24,10,64,68,48,71,10,27,62
2021,6,50,"2,696",308,15,456,14,11,99,19,228,183,222,154,20,149,29,15,38,17,119,102,78,173,21,72,154
2021,6,60,"3,508",393,23,566,26,23,120,37,277,233,328,202,20,158,31,16,37,26,144,123,158,251,28,96,192
2021,6,70,"3,390",408,25,424,33,27,154,32,283,213,321,211,13,183,23,13,19,19,145,111,151,261,20,117,184
2021,6,80,"2,850",330,28,318,19,16,123,16,189,170,241,234,13,136,17,16,27,15,145,92,135,251,22,103,194
2021,6,90,426,50,2,61,1,1,14,1,17,18,45,21,2,42,1,2,0,7,21,11,20,49,1,19,20
2021,6,100,8,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
2021,7,총,"17,981","2,016",114,"2,620",112,92,662,133,"1,500","1,082","1,647","1,213",91,972,161,89,204,128,808,707,729,"1,309",132,495,965
