년도,월,나이,광산구,송정1동,송정2동,도산동,신흥동,어룡동,우산동,월곡1동,월곡2동,비아동,첨단1동,첨단2동,신가동,운남동,수완동,하남동,임곡동,동곡동,평동,삼도동,본량동,신창동
2020,4,40,"38,810",965,406,"1,364",338,"2,719","1,910",910,"1,549",654,"2,447","4,424","2,183","3,124","9,212","2,212",68,73,164,88,92,"3,908"
2020,4,50,"29,994",843,546,"1,203",394,"2,228","2,300","1,166","1,463",568,"2,717","3,611","1,437","2,657","4,396","1,561",156,136,256,155,138,"2,063"
2020,4,60,"15,716",695,519,776,330,"1,437","1,404",652,806,306,908,"1,216",742,"1,162","1,965",792,200,202,355,215,152,882
2020,4,70,"9,612",507,415,562,240,770,867,308,392,218,442,716,440,774,983,324,202,197,308,209,239,499
2020,4,80,"5,333",201,196,266,103,393,589,181,191,154,246,425,203,366,442,188,176,130,212,212,207,252
2020,4,90,897,35,27,43,26,78,113,28,28,16,54,69,25,53,75,28,34,17,50,35,26,37
2020,4,100,58,3,6,5,5,5,2,0,3,0,1,2,3,4,4,4,2,2,2,2,2,1
2020,5,총,"202,070","5,600","3,348","7,995","2,375","15,857","13,129","5,697","8,139","3,484","13,500","21,837","10,392","16,230","39,692","11,484","1,060",953,"1,821","1,115","1,052","17,310"
2020,5,0,"20,378",375,166,742,172,"1,945","1,056",381,603,358,969,"1,948","1,077","1,597","5,283","1,589",33,23,72,33,25,"1,931"
2020,5,10,"25,983",587,206,828,202,"1,799","1,045",581,"1,038",372,"1,781","2,841","1,550","1,966","6,762","1,495",57,39,77,52,39,"2,666"
2020,5,20,"27,293",791,460,"1,048",290,"1,789","1,924",914,"1,154",398,"2,371","3,684","1,354","2,362","4,485","1,345",80,75,164,63,71,"2,471"
2020,5,30,"27,743",591,391,"1,155",275,"2,704","1,811",593,919,440,"1,533","2,892","1,375","2,164","6,023","1,932",49,59,155,56,58,"2,568"
2020,5,40,"38,787",961,409,"1,359",341,"2,708","1,944",913,"1,527",647,"2,455","4,413","2,176","3,093","9,226","2,223",69,72,165,84,87,"3,915"
2020,5,50,"30,122",850,541,"1,216",388,"2,210","2,346","1,155","1,469",574,"2,719","3,618","1,445","2,675","4,424","1,563",156,135,252,153,142,"2,091"
2020,5,60,"15,819",695,519,772,335,"1,451","1,416",651,813,307,924,"1,235",732,"1,173","1,986",797,199,201,362,212,152,887
2020,5,70,"9,615",507,420,565,241,772,880,302,394,217,445,707,452,774,981,317,200,198,309,208,237,489
2020,5,80,"5,362",204,200,260,100,397,590,180,192,155,248,426,202,370,442,191,180,132,213,217,213,250
2020,5,90,911,36,30,45,26,77,115,27,27,16,55,71,26,52,76,28,35,17,50,35,26,41
2020,5,100,57,3,6,5,5,5,2,0,3,0,0,2,3,4,4,4,2,2,2,2,2,1
2020,6,총,"201,962","5,578","3,334","7,976","2,361","15,916","13,268","5,687","8,109","3,482","13,495","21,783","10,312","16,223","39,661","11,483","1,056",950,"1,819","1,121","1,051","17,297"
2020,6,0,"20,253",372,165,735,170,"1,948","1,056",376,599,351,971,"1,924","1,063","1,585","5,237","1,589",34,23,71,34,25,"1,925"
2020,6,10,"25,907",579,201,824,202,"1,793","1,055",577,"1,031",371,"1,771","2,831","1,547","1,956","6,768","1,490",55,40,75,53,38,"2,650"
2020,6,20,"27,324",787,450,"1,046",283,"1,795","1,952",907,"1,152",405,"2,351","3,675","1,349","2,362","4,519","1,362",80,73,171,65,71,"2,469"
2020,6,30,"27,611",581,401,"1,140",274,"2,692","1,833",602,908,446,"1,543","2,875","1,354","2,138","5,968","1,916",48,55,152,59,58,"2,568"
2020,6,40,"38,795",952,402,"1,361",346,"2,735","1,970",899,"1,522",641,"2,445","4,409","2,163","3,084","9,242","2,231",72,72,167,83,87,"3,912"
2020,6,50,"30,126",858,542,"1,208",380,"2,223","2,352","1,158","1,466",577,"2,717","3,612","1,433","2,690","4,437","1,555",154,133,243,150,142,"2,096"
2020,6,60,"15,969",694,512,777,338,"1,466","1,453",660,817,304,951,"1,250",731,"1,192","1,986",806,200,204,362,215,157,894
2020,6,70,"9,638",514,422,572,240,773,891,298,389,216,442,710,446,788,983,313,198,198,315,206,235,489
2020,6,80,"5,379",202,203,262,98,410,589,183,196,156,247,424,197,373,441,191,179,133,212,220,212,251
2020,6,90,901,36,30,46,25,76,115,27,26,15,57,70,26,51,76,26,34,17,49,34,24,41
2020,6,100,59,3,6,5,5,5,2,0,3,0,0,3,3,4,4,4,2,2,2,2,2,2
2020,7,총,"202,094","5,583","3,322","7,944","2,351","16,097","13,377","5,689","8,066","3,475","13,747","21,678","10,191","16,236","39,623","11,448","1,065",947,"1,815","1,115","1,049","17,276"
2020,7,0,"20,146",368,162,728,169,"1,967","1,064",373,594,353,992,"1,896","1,056","1,574","5,178","1,560",37,22,71,34,25,"1,923"
2020,7,10,"25,823",580,200,812,201,"1,809","1,044",567,"1,024",363,"1,780","2,811","1,526","1,951","6,772","1,498",56,39,73,53,39,"2,625"
2020,7,20,"27,432",794,451,"1,040",280,"1,820","1,967",919,"1,147",403,"2,416","3,656","1,338","2,367","4,546","1,356",83,72,169,63,71,"2,474"
2020,7,30,"27,540",572,398,"1,124",270,"2,726","1,877",604,888,444,"1,594","2,848","1,332","2,129","5,907","1,901",48,53,158,58,58,"2,551"
2020,7,40,"38,818",947,402,"1,369",341,"2,777","1,971",892,"1,513",639,"2,475","4,383","2,137","3,077","9,278","2,229",75,70,164,84,83,"3,912"
2020,7,50,"30,245",859,542,"1,202",385,"2,259","2,371","1,164","1,469",572,"2,767","3,617","1,417","2,700","4,445","1,554",152,132,236,148,142,"2,112"
2020,7,60,"16,066",701,514,771,337,"1,474","1,479",658,819,311,970,"1,266",714,"1,207","1,991",814,204,205,366,215,154,896
2020,7,70,"9,666",519,421,581,241,774,891,300,390,219,443,709,443,792,988,316,194,201,315,204,236,489
2020,7,80,"5,389",203,197,262,97,407,595,185,195,155,255,421,199,383,436,189,180,134,210,221,213,252
2020,7,90,910,37,29,50,26,79,115,27,24,16,55,68,26,52,78,27,35,17,50,33,26,40
2020,7,100,59,3,6,5,4,5,3,0,3,0,0,3,3,4,4,4,1,2,3,2,2,2
2020,8,총,"202,187","5,565","3,314","7,906","2,344","16,196","13,411","5,686","8,059","3,485","13,914","21,774","10,005","16,249","39,537","11,442","1,065",947,"1,818","1,116","1,048","17,306"
2020,8,0,"20,037",362,160,723,166,"1,971","1,049",375,582,355,"1,001","1,907","1,049","1,571","5,124","1,545",36,22,72,32,24,"1,911"
2020,8,10,"25,774",577,201,801,203,"1,816","1,049",563,"1,015",368,"1,780","2,805","1,501","1,940","6,772","1,500",59,37,73,53,40,"2,621"
2020,8,20,"27,474",783,448,"1,043",273,"1,839","1,964",911,"1,146",395,"2,461","3,695","1,301","2,355","4,545","1,370",76,72,171,65,72,"2,489"
2020,8,30,"27,461",566,393,"1,104",263,"2,728","1,903",609,890,447,"1,626","2,863","1,324","2,126","5,830","1,876",49,53,158,56,55,"2,542"
2020,8,40,"38,839",947,394,"1,362",350,"2,807","1,959",886,"1,514",638,"2,506","4,368","2,102","3,071","9,317","2,231",73,71,164,84,79,"3,916"
2020,8,50,"30,345",865,550,"1,197",379,"2,265","2,373","1,158","1,476",574,"2,789","3,651","1,379","2,726","4,458","1,554",155,130,236,150,143,"2,137"
2020,8,60,"16,171",704,515,780,339,"1,493","1,499",666,817,315,985,"1,287",705,"1,211","1,987",820,206,206,364,213,156,903
2020,8,70,"9,709",513,421,578,242,782,897,303,394,223,451,709,423,814,989,322,195,201,318,207,236,491
2020,8,80,"5,388",206,197,262,98,408,594,187,197,153,256,416,193,381,435,193,179,135,209,219,214,256
2020,8,90,931,40,29,51,27,83,121,28,25,17,59,69,26,49,76,27,36,18,50,35,27,38
2020,8,100,58,2,6,5,4,4,3,0,3,0,0,4,2,5,4,4,1,2,3,2,2,2
2020,9,총,"202,033","5,582","3,328","7,874","2,353","16,211","13,482","5,675","8,055","3,475","13,942","21,786","9,809","16,222","39,511","11,423","1,064",942,"1,825","1,112","1,045","17,317"
2020,9,0,"19,862",367,157,717,162,"1,955","1,055",377,573,346,996,"1,887","1,041","1,541","5,090","1,529",38,22,70,32,21,"1,886"
2020,9,10,"25,724",580,206,798,206,"1,813","1,048",562,999,367,"1,780","2,806","1,473","1,942","6,763","1,504",57,36,71,52,40,"2,621"
2020,9,20,"27,488",785,449,"1,025",279,"1,848","1,978",908,"1,158",397,"2,467","3,698","1,274","2,339","4,560","1,365",75,70,173,63,73,"2,504"
2020,9,30,"27,338",568,391,"1,099",261,"2,725","1,909",611,891,439,"1,633","2,867","1,295","2,108","5,768","1,850",51,53,161,56,56,"2,546"
2020,9,40,"38,771",944,399,"1,354",353,"2,809","1,954",879,"1,506",633,"2,495","4,357","2,082","3,063","9,332","2,242",70,70,160,85,79,"3,905"
2020,9,50,"30,415",864,547,"1,199",381,"2,282","2,400","1,154","1,477",581,"2,792","3,651","1,335","2,748","4,480","1,554",156,128,239,150,143,"2,154"
2020,9,60,"16,313",704,521,780,341,"1,501","1,508",669,829,320,"1,006","1,313",687,"1,239","2,006",832,207,207,369,216,155,903
2020,9,70,"9,710",517,426,586,240,783,906,303,396,223,457,704,411,806,994,324,191,197,314,202,235,495
2020,9,80,"5,407",209,196,263,99,408,598,182,197,151,257,429,182,381,435,194,180,138,215,216,215,262
2020,9,90,946,42,30,48,27,83,123,30,26,18,59,69,27,50,80,25,38,19,49,38,26,39
2020,9,100,59,2,6,5,4,4,3,0,3,0,0,5,2,5,3,4,1,2,4,2,2,2
2020,10,총,"201,768","5,573","3,322","7,861","2,352","16,193","13,511","5,665","8,049","3,472","13,951","21,788","9,627","16,202","39,502","11,438","1,057",940,"1,828","1,108","1,040","17,289"
2020,10,0,"19,698",361,152,707,159,"1,953","1,067",374,564,343,997,"1,878","1,027","1,512","5,043","1,518",36,20,68,30,21,"1,868"
2020,10,10,"25,641",576,203,795,204,"1,817","1,033",557,995,364,"1,764","2,796","1,459","1,935","6,767","1,505",58,38,72,52,41,"2,610"
2020,10,20,"27,558",781,462,"1,028",282,"1,839","1,973",907,"1,165",396,"2,481","3,705","1,256","2,336","4,590","1,383",71,69,174,62,74,"2,524"
2020,10,30,"27,130",570,381,"1,080",254,"2,715","1,920",606,884,437,"1,637","2,860","1,266","2,076","5,723","1,829",49,51,161,57,57,"2,517"
2020,10,40,"38,694",935,394,"1,353",355,"2,805","1,947",873,"1,496",635,"2,477","4,341","2,056","3,066","9,334","2,262",71,74,157,84,77,"3,902"
2020,10,50,"30,460",872,547,"1,198",385,"2,277","2,404","1,149","1,478",583,"2,798","3,674","1,310","2,757","4,500","1,551",156,125,240,150,140,"2,166"
2020,10,60,"16,436",706,519,789,339,"1,514","1,531",680,839,322,"1,025","1,331",651,"1,260","2,027",841,207,209,374,215,156,901
2020,10,70,"9,704",519,427,592,243,777,906,304,401,216,454,702,395,820,995,323,191,196,312,203,232,496
2020,10,80,"5,439",211,202,267,100,412,606,183,197,158,255,428,179,387,434,197,178,136,216,216,214,263
2020,10,90,948,40,29,47,26,80,121,32,28,18,62,68,26,49,86,25,39,20,50,37,26,39
2020,10,100,60,2,6,5,5,4,3,0,2,0,1,5,2,4,3,4,1,2,4,2,2,3
2020,11,총,"201,547","5,552","3,315","7,848","2,354","16,146","13,523","5,648","8,048","3,452","13,971","21,804","9,465","16,188","39,517","11,441","1,052",940,"1,839","1,108","1,038","17,298"
2020,11,0,"19,577",357,152,702,160,"1,941","1,074",368,563,340,998,"1,876","1,020","1,487","5,009","1,504",34,19,70,29,19,"1,855"
2020,11,10,"25,599",562,202,789,204,"1,807","1,012",558,998,360,"1,761","2,787","1,447","1,932","6,796","1,504",57,37,79,54,41,"2,612"
2020,11,20,"27,539",783,463,"1,030",286,"1,835","1,973",892,"1,167",388,"2,473","3,713","1,241","2,325","4,582","1,395",72,69,174,63,72,"2,543"
2020,11,30,"27,018",571,381,"1,076",253,"2,698","1,926",603,875,437,"1,655","2,850","1,256","2,053","5,701","1,810",47,50,164,56,58,"2,498"
2020,11,40,"38,569",924,395,"1,342",355,"2,802","1,949",863,"1,486",630,"2,456","4,329","2,029","3,065","9,318","2,262",69,72,155,84,77,"3,907"
2020,11,50,"30,569",875,543,"1,201",380,"2,273","2,407","1,162","1,477",582,"2,813","3,698","1,284","2,771","4,546","1,561",156,128,236,150,139,"2,187"
2020,11,60,"16,486",707,516,798,340,"1,514","1,539",676,850,319,"1,031","1,343",616,"1,273","2,043",854,208,210,374,215,159,901
2020,11,70,"9,754",522,428,591,243,778,913,308,407,223,461,705,378,830,"1,001",326,193,197,315,205,231,499
2020,11,80,"5,422",212,199,267,101,415,609,185,195,154,257,429,166,397,431,196,176,134,218,214,212,255
2020,11,90,956,37,30,47,27,79,118,33,28,19,65,69,26,51,88,25,40,22,50,36,28,38
2020,11,100,58,2,6,5,5,4,3,0,2,0,1,5,2,4,2,4,0,2,4,2,2,3
2020,12,총,"201,283","5,552","3,298","7,854","2,345","16,107","13,560","5,612","8,012","3,450","13,957","21,791","9,378","16,120","39,542","11,431","1,045",944,"1,843","1,106","1,041","17,295"
2020,12,0,"19,449",342,151,710,157,"1,931","1,060",361,553,330,"1,003","1,861","1,016","1,471","5,002","1,486",35,19,71,28,19,"1,843"
2020,12,10,"25,494",570,200,768,205,"1,802","1,003",552,986,359,"1,750","2,767","1,422","1,906","6,820","1,512",55,37,77,54,42,"2,607"
2020,12,20,"27,556",788,462,"1,032",285,"1,814","2,005",883,"1,160",396,"2,462","3,725","1,239","2,322","4,591","1,403",71,68,174,62,73,"2,541"
2020,12,30,"26,886",573,380,"1,075",251,"2,681","1,905",595,874,435,"1,661","2,844","1,249","2,032","5,661","1,794",48,51,168,57,57,"2,495"
2020,12,40,"38,463",918,388,"1,346",354,"2,802","1,961",854,"1,468",624,"2,422","4,325","2,002","3,036","9,350","2,262",68,71,155,82,81,"3,894"
2020,12,50,"30,633",880,542,"1,207",379,"2,271","2,411","1,155","1,478",587,"2,825","3,711","1,288","2,770","4,551","1,568",152,127,238,149,137,"2,207"
2020,12,60,"16,583",707,508,793,338,"1,533","1,573",680,855,324,"1,046","1,350",603,"1,291","2,053",857,206,214,371,216,159,906
2020,12,70,"9,782",522,431,601,245,773,915,315,412,221,465,705,367,839,"1,004",321,195,197,316,206,229,503
2020,12,80,"5,420",214,202,268,100,417,606,184,194,153,256,429,165,399,422,197,173,136,219,214,214,258
2020,12,90,956,35,28,48,26,78,118,33,30,21,66,69,25,50,86,27,42,22,50,36,28,38
2020,12,100,61,3,6,6,5,5,3,0,2,0,1,5,2,4,2,4,0,2,4,2,2,3
2021,1,총,"201,000","5,519","3,281","7,783","2,324","16,100","13,684","5,582","7,971","3,461","13,967","21,711","9,305","16,097","39,556","11,441","1,044",942,"1,844","1,102","1,035","17,251"
2021,1,0,"19,257",332,150,697,152,"1,910","1,087",352,537,325,987,"1,835","1,008","1,443","4,971","1,472",35,19,71,29,18,"1,827"
2021,1,10,"25,423",568,194,752,204,"1,806","1,006",548,984,362,"1,742","2,750","1,416","1,903","6,811","1,521",49,36,77,56,42,"2,596"
2021,1,20,"27,480",771,455,"1,017",277,"1,801","2,012",875,"1,154",402,"2,465","3,695","1,212","2,320","4,628","1,403",74,72,172,61,70,"2,544"
2021,1,30,"26,799",564,380,"1,056",245,"2,684","1,947",586,864,433,"1,675","2,831","1,249","2,014","5,634","1,796",50,50,172,53,58,"2,458"
2021,1,40,"38,353",915,382,"1,325",350,"2,802","1,970",854,"1,453",625,"2,411","4,286","1,986","3,035","9,356","2,253",67,70,157,84,82,"3,890"
2021,1,50,"30,750",879,540,"1,222",380,"2,285","2,398","1,152","1,487",593,"2,838","3,739","1,278","2,777","4,570","1,581",155,128,236,144,138,"2,230"
2021,1,60,"16,707",711,510,796,338,"1,547","1,610",688,854,324,"1,061","1,363",604,"1,310","2,064",863,205,209,371,217,158,904
2021,1,70,"9,797",527,432,599,248,770,924,314,413,224,467,706,359,846,"1,010",321,194,196,314,203,226,504
2021,1,80,"5,418",215,202,266,101,416,611,182,191,152,256,431,165,395,422,199,173,139,219,216,212,255
2021,1,90,955,34,30,47,24,75,116,31,32,21,64,70,26,50,88,28,42,21,51,37,29,39
2021,1,100,61,3,6,6,5,4,3,0,2,0,1,5,2,4,2,4,0,2,4,2,2,4
2021,2,총,"200,961","5,489","3,275","7,772","2,333","16,067","13,821","5,571","7,925","3,448","13,976","21,672","9,262","16,031","39,402","11,702","1,048",937,"1,837","1,105","1,035","17,253"
2021,2,0,"19,154",324,150,691,150,"1,885","1,105",348,529,320,982,"1,839","1,008","1,422","4,914","1,494",35,19,66,28,17,"1,828"
2021,2,10,"25,333",561,190,753,200,"1,814","1,036",547,968,358,"1,731","2,716","1,400","1,884","6,793","1,538",50,35,75,59,42,"2,583"
2021,2,20,"27,442",765,449,"1,006",282,"1,790","2,013",866,"1,153",396,"2,466","3,704","1,209","2,315","4,585","1,455",71,70,174,59,68,"2,546"
2021,2,30,"26,707",562,389,"1,054",243,"2,651","1,977",585,846,430,"1,688","2,828","1,238","2,003","5,578","1,821",50,49,169,54,58,"2,434"
2021,2,40,"38,370",909,377,"1,316",353,"2,807","1,993",855,"1,445",622,"2,406","4,266","1,988","3,021","9,342","2,314",69,71,154,86,81,"3,895"
2021,2,50,"30,836",881,535,"1,222",380,"2,276","2,411","1,147","1,486",592,"2,837","3,740","1,275","2,775","4,585","1,637",159,130,239,145,137,"2,247"
2021,2,60,"16,860",706,516,805,345,"1,571","1,630",697,860,330,"1,076","1,367",599,"1,315","2,090",883,205,205,373,215,158,914
2021,2,70,"9,778",526,429,600,249,770,920,313,411,224,463,703,352,846,"1,010",323,190,199,309,201,228,512
2021,2,80,"5,459",217,204,271,101,423,619,183,192,155,263,435,163,398,418,199,177,138,224,218,211,250
2021,2,90,960,35,30,48,25,75,114,30,33,21,63,69,28,48,85,34,42,19,50,38,33,40
2021,2,100,62,3,6,6,5,5,3,0,2,0,1,5,2,4,2,4,0,2,4,2,2,4
2021,3,총,"200,811","5,464","3,282","7,732","2,308","16,062","13,879","5,536","7,909","3,445","13,914","21,588","9,200","15,975","39,374","11,969","1,038",936,"1,824","1,101","1,032","17,243"
2021,3,0,"19,065",322,149,679,148,"1,873","1,104",342,531,321,987,"1,825",999,"1,414","4,890","1,504",35,19,64,28,17,"1,814"
2021,3,10,"25,258",560,191,760,196,"1,820","1,027",538,963,358,"1,714","2,696","1,387","1,878","6,789","1,559",48,33,73,58,42,"2,568"
2021,3,20,"27,503",765,450,"1,000",281,"1,787","2,017",866,"1,155",395,"2,443","3,698","1,223","2,299","4,594","1,506",72,72,173,59,67,"2,581"
2021,3,30,"26,548",553,392,"1,046",245,"2,641","1,993",580,844,427,"1,680","2,803","1,197","1,989","5,540","1,834",47,47,167,58,57,"2,408"
2021,3,40,"38,303",905,379,"1,307",352,"2,809","2,004",845,"1,426",620,"2,384","4,234","1,991","2,996","9,333","2,379",66,70,150,85,84,"3,884"
2021,3,50,"30,934",879,534,"1,214",375,"2,289","2,426","1,136","1,479",589,"2,837","3,731","1,271","2,771","4,636","1,698",155,132,240,144,134,"2,264"
2021,3,60,"16,960",701,517,811,343,"1,572","1,656",702,871,332,"1,082","1,395",596,"1,317","2,096",918,204,203,365,214,160,905
2021,3,70,"9,737",529,428,591,238,766,912,310,410,227,456,702,342,853,"1,000",332,190,200,308,198,225,520
2021,3,80,"5,498",212,206,273,104,425,624,185,197,155,267,428,166,407,412,204,179,135,232,221,210,256
2021,3,90,957,36,30,49,22,75,115,32,32,21,63,71,27,47,82,33,42,23,49,35,34,39
2021,3,100,48,2,6,2,4,5,1,0,1,0,1,5,1,4,2,2,0,2,3,1,2,4
2021,4,총,"200,815","5,460","3,271","7,677","2,308","16,082","13,981","5,515","7,909","3,431","13,892","21,555","9,157","15,939","39,357","12,083","1,025",932,"1,836","1,100","1,034","17,271"
2021,4,0,"18,978",316,148,665,144,"1,863","1,113",342,529,318,979,"1,829",994,"1,405","4,862","1,499",35,19,66,28,15,"1,809"
2021,4,10,"25,223",555,187,747,202,"1,829","1,027",530,969,354,"1,702","2,685","1,381","1,861","6,794","1,576",47,33,71,58,44,"2,571"
2021,4,20,"27,512",770,457,984,274,"1,801","2,032",866,"1,151",386,"2,427","3,698","1,222","2,288","4,595","1,531",68,71,174,58,68,"2,591"
2021,4,30,"26,480",545,384,"1,038",244,"2,627","2,024",577,854,423,"1,688","2,780","1,174","1,988","5,488","1,854",44,46,173,58,58,"2,413"
2021,4,40,"38,270",910,375,"1,300",348,"2,815","2,018",832,"1,419",616,"2,366","4,221","1,992","2,986","9,334","2,406",68,69,151,85,82,"3,877"
2021,4,50,"31,039",884,525,"1,207",377,"2,296","2,444","1,139","1,467",591,"2,843","3,738","1,268","2,785","4,684","1,711",154,133,241,144,132,"2,276"
2021,4,60,"17,052",702,521,818,344,"1,573","1,668",703,878,337,"1,101","1,400",595,"1,315","2,105",935,201,203,365,214,164,910
2021,4,70,"9,728",528,431,589,239,772,908,304,414,228,456,699,341,848,"1,006",333,185,198,308,199,222,520
2021,4,80,"5,533",213,208,278,109,428,630,190,196,156,264,432,163,414,406,204,180,135,234,220,211,262
2021,4,90,954,35,29,49,23,73,117,32,31,22,65,69,26,46,81,32,42,23,50,35,36,38
2021,4,100,46,2,6,2,4,5,0,0,1,0,1,4,1,3,2,2,1,2,3,1,2,4
2021,5,총,"200,808","5,445","3,255","7,646","2,309","16,069","14,142","5,496","7,902","3,426","13,875","21,539","9,139","15,932","39,394","12,123","1,022",929,"1,812","1,071","1,037","17,245"
