년도,월,나이,아산시,염치읍,배방읍,송악면,탕정면,음봉면,둔포면,영인면,인주면,선장면,도고면,신창면,온양1동,온양2동,온양3동,온양4동,온양5동,온양6동
2020,2,70,"9,779",386,"1,351",285,301,508,619,445,384,285,406,826,362,376,"1,009",602,743,891
2020,2,80,"6,135",292,769,221,190,364,403,355,325,252,298,490,193,193,535,360,350,545
2020,2,90,936,49,109,34,36,67,78,63,43,36,39,64,44,34,67,50,60,63
2020,2,100,80,2,5,5,1,2,3,2,3,4,3,7,7,8,5,7,10,6
2020,3,총,"151,119","3,189","35,750","2,059","9,637","9,190","9,365","2,645","2,956","1,541","2,201","9,696","4,574","3,520","18,606","8,879","12,575","14,736"
2020,3,0,"16,689",206,"4,712",111,"1,536","1,399","1,173",73,158,23,62,854,461,145,"2,090",747,"1,257","1,682"
2020,3,10,"16,641",249,"4,416",166,"1,356",787,702,122,197,69,104,"1,024",345,268,"2,401","1,166","1,454","1,815"
2020,3,20,"16,056",239,"4,277",117,"1,043",792,"1,010",164,198,89,153,"1,038",528,430,"2,141",855,"1,553","1,429"
2020,3,30,"23,274",268,"6,688",123,"1,992","1,712","1,823",150,242,60,137,"1,195",802,266,"2,777","1,005","1,825","2,209"
2020,3,40,"25,246",396,"6,592",269,"1,815","1,358","1,238",228,356,95,173,"1,589",651,478,"3,356","1,679","2,278","2,695"
2020,3,50,"20,994",542,"4,330",344,872,"1,239","1,326",472,537,234,380,"1,455",630,724,"2,556","1,427","1,887","2,039"
2020,3,60,"15,196",556,"2,494",379,491,952,988,566,514,394,447,"1,140",548,596,"1,660",973,"1,145","1,353"
2020,3,70,"9,827",387,"1,362",289,300,517,620,445,382,285,407,826,365,376,"1,016",609,750,891
2020,3,80,"6,170",295,766,220,193,361,406,360,324,251,298,502,191,196,536,359,356,556
2020,3,90,944,49,108,36,38,71,76,63,45,37,37,66,44,33,68,52,60,61
2020,3,100,82,2,5,5,1,2,3,2,3,4,3,7,9,8,5,7,10,6
2020,4,총,"151,081","3,168","35,756","2,062","9,652","9,172","9,357","2,644","2,941","1,551","2,197","9,681","4,561","3,495","18,568","9,012","12,532","14,732"
2020,4,0,"16,632",202,"4,694",111,"1,532","1,391","1,179",75,157,24,62,848,465,142,"2,075",751,"1,247","1,677"
2020,4,10,"16,631",248,"4,417",165,"1,368",780,705,119,195,70,100,"1,024",343,265,"2,399","1,169","1,451","1,813"
2020,4,20,"16,003",235,"4,250",119,"1,043",783,983,166,197,90,155,"1,025",522,423,"2,149",894,"1,544","1,425"
2020,4,30,"23,175",258,"6,653",125,"1,979","1,711","1,829",152,242,64,135,"1,186",795,263,"2,749","1,025","1,811","2,198"
2020,4,40,"25,303",397,"6,626",265,"1,824","1,362","1,248",227,355,96,173,"1,585",651,469,"3,355","1,695","2,271","2,704"
2020,4,50,"20,979",538,"4,357",339,880,"1,231","1,319",463,531,233,377,"1,461",619,723,"2,545","1,453","1,871","2,039"
2020,4,60,"15,269",557,"2,504",384,490,965,988,570,509,397,448,"1,144",555,594,"1,664",985,"1,157","1,358"
2020,4,70,"9,865",385,"1,369",292,302,513,618,448,382,285,407,826,369,379,"1,026",624,746,894
2020,4,80,"6,181",295,769,221,195,363,408,358,326,250,299,506,189,198,533,354,360,557
2020,4,90,962,51,112,37,38,72,77,64,44,38,38,69,44,31,67,55,64,61
2020,4,100,81,2,5,4,1,1,3,2,3,4,3,7,9,8,6,7,10,6
2020,5,총,"151,049","3,158","35,714","2,060","9,675","9,156","9,383","2,642","2,953","1,531","2,197","9,670","4,545","5,284","18,552","9,035","10,719","14,775"
2020,5,0,"16,580",204,"4,688",108,"1,526","1,379","1,182",75,157,26,60,845,453,240,"2,070",741,"1,141","1,685"
2020,5,10,"16,630",243,"4,418",165,"1,373",786,707,117,193,64,99,"1,031",343,393,"2,397","1,180","1,314","1,807"
2020,5,20,"15,950",230,"4,204",119,"1,037",779,984,165,198,86,160,"1,028",519,757,"2,140",891,"1,217","1,436"
2020,5,30,"23,064",258,"6,622",121,"1,979","1,685","1,831",150,241,62,133,"1,173",795,507,"2,732","1,031","1,557","2,187"
2020,5,40,"25,305",397,"6,626",262,"1,848","1,363","1,254",229,359,92,168,"1,578",649,716,"3,360","1,681","2,004","2,719"
2020,5,50,"21,014",537,"4,366",338,881,"1,238","1,320",457,531,226,378,"1,458",621,991,"2,538","1,470","1,615","2,049"
2020,5,60,"15,325",559,"2,524",388,490,967,998,569,513,396,448,"1,142",554,833,"1,669",994,907,"1,374"
2020,5,70,"9,938",381,"1,386",297,305,521,623,447,381,284,409,831,369,533,"1,039",628,604,900
2020,5,80,"6,187",296,761,220,197,364,402,367,331,252,300,509,187,264,533,356,296,552
2020,5,90,975,51,114,38,38,74,79,64,46,39,39,68,46,41,67,56,55,60
2020,5,100,81,2,5,4,1,0,3,2,3,4,3,7,9,9,7,7,9,6
2020,6,총,"150,656","3,154","35,609","2,065","9,629","9,114","9,412","2,645","2,925","1,523","2,188","9,629","4,540","5,273","18,487","9,051","10,676","14,736"
2020,6,0,"16,497",203,"4,673",109,"1,501","1,371","1,182",76,151,27,59,839,451,237,"2,065",744,"1,134","1,675"
2020,6,10,"16,601",240,"4,431",165,"1,379",781,713,116,188,61,98,"1,023",345,402,"2,382","1,176","1,310","1,791"
2020,6,20,"15,860",229,"4,172",124,"1,026",779,982,164,202,84,158,"1,010",510,750,"2,130",898,"1,211","1,431"
2020,6,30,"22,854",256,"6,560",123,"1,963","1,656","1,829",147,232,62,132,"1,168",793,502,"2,699","1,020","1,536","2,176"
2020,6,40,"25,277",392,"6,620",258,"1,847","1,364","1,262",233,356,87,167,"1,573",659,707,"3,360","1,677","2,000","2,715"
2020,6,50,"20,945",534,"4,354",335,884,"1,224","1,323",461,526,225,375,"1,440",619,989,"2,529","1,476","1,610","2,041"
2020,6,60,"15,399",564,"2,523",394,488,977,"1,010",567,511,395,446,"1,154",551,832,"1,680","1,008",912,"1,387"
2020,6,70,"9,978",387,"1,397",294,308,520,625,450,383,285,411,835,367,537,"1,040",630,606,903
2020,6,80,"6,187",295,758,219,194,368,403,366,325,253,300,513,191,268,530,360,293,551
2020,6,90,979,52,118,40,38,74,80,63,48,40,39,67,45,41,64,55,55,60
2020,6,100,79,2,3,4,1,0,3,2,3,4,3,7,9,8,8,7,9,6
2020,7,총,"150,753","3,146","35,799","2,062","9,625","9,086","9,429","2,644","2,920","1,513","2,186","9,617","4,554","5,253","18,455","9,067","10,687","14,710"
2020,7,0,"16,397",201,"4,663",108,"1,488","1,351","1,193",74,148,26,60,822,457,231,"2,043",736,"1,117","1,679"
2020,7,10,"16,613",236,"4,449",162,"1,391",777,709,117,187,60,98,"1,027",346,395,"2,376","1,185","1,312","1,786"
2020,7,20,"15,953",224,"4,251",127,"1,012",781,988,164,209,82,158,"1,016",505,747,"2,131",908,"1,224","1,426"
2020,7,30,"22,709",258,"6,562",121,"1,952","1,647","1,824",149,222,61,130,"1,150",791,495,"2,664","1,017","1,520","2,146"
2020,7,40,"25,352",387,"6,669",257,"1,856","1,360","1,265",228,347,85,169,"1,581",668,696,"3,374","1,681","2,001","2,728"
2020,7,50,"20,999",535,"4,376",338,897,"1,226","1,324",465,532,224,372,"1,439",621,990,"2,525","1,472","1,626","2,037"
2020,7,60,"15,469",570,"2,552",392,487,976,"1,015",565,512,390,448,"1,153",554,834,"1,695","1,017",919,"1,390"
2020,7,70,"9,987",385,"1,383",297,309,525,625,449,384,287,406,834,369,544,"1,044",636,609,901
2020,7,80,"6,216",297,771,216,195,369,404,369,329,254,302,519,190,272,530,353,295,551
2020,7,90,978,51,120,40,37,74,79,62,47,40,40,69,44,41,63,55,55,61
2020,7,100,80,2,3,4,1,0,3,2,3,4,3,7,9,8,10,7,9,5
2020,8,총,"150,998","3,135","36,081","2,062","9,637","9,066","9,466","2,641","2,899","1,507","2,188","9,571","4,550","5,237","18,445","9,177","10,652","14,684"
2020,8,0,"16,338",203,"4,671",111,"1,481","1,333","1,196",73,146,26,60,817,457,226,"2,013",741,"1,113","1,671"
2020,8,10,"16,620",235,"4,479",161,"1,396",783,716,118,185,58,97,"1,009",343,394,"2,387","1,181","1,303","1,775"
2020,8,20,"16,017",225,"4,324",131,"1,012",778,989,163,205,84,156,"1,019",510,731,"2,115",928,"1,226","1,421"
2020,8,30,"22,661",253,"6,593",119,"1,949","1,631","1,817",148,222,60,130,"1,130",790,506,"2,654","1,047","1,489","2,123"
2020,8,40,"25,442",379,"6,716",251,"1,872","1,365","1,284",230,341,83,166,"1,574",659,688,"3,388","1,701","2,004","2,741"
2020,8,50,"21,058",539,"4,431",332,890,"1,218","1,325",460,527,220,373,"1,432",620,991,"2,541","1,501","1,616","2,042"
2020,8,60,"15,552",570,"2,577",395,495,986,"1,023",567,512,394,449,"1,155",559,828,"1,697","1,015",934,"1,396"
2020,8,70,"10,006",385,"1,383",298,310,528,626,450,384,286,408,837,371,553,"1,038",639,608,902
2020,8,80,"6,233",294,780,219,194,371,407,369,327,251,306,523,188,268,533,361,296,546
2020,8,90,990,50,124,41,37,73,80,61,47,41,40,68,44,44,69,56,54,61
2020,8,100,81,2,3,4,1,0,3,2,3,4,3,7,9,8,10,7,9,6
2020,9,총,"151,144","3,136","36,244","2,073","9,662","9,075","9,479","2,630","2,888","1,505","2,177","9,556","4,529","5,210","18,442","9,252","10,625","14,661"
2020,9,0,"16,303",203,"4,682",108,"1,482","1,327","1,197",73,142,24,60,807,454,230,"2,015",751,"1,101","1,647"
2020,9,10,"16,625",239,"4,476",166,"1,405",791,715,115,184,57,95,"1,015",336,383,"2,385","1,188","1,306","1,769"
2020,9,20,"16,011",228,"4,357",134,"1,000",771,980,163,206,86,152,"1,021",510,723,"2,107",924,"1,228","1,421"
2020,9,30,"22,619",254,"6,621",124,"1,945","1,631","1,814",150,224,59,123,"1,126",778,497,"2,639","1,056","1,470","2,108"
2020,9,40,"25,507",372,"6,753",248,"1,893","1,364","1,291",225,339,90,165,"1,568",655,674,"3,411","1,717","2,002","2,740"
2020,9,50,"21,111",534,"4,454",328,889,"1,234","1,338",455,527,221,371,"1,421",619,992,"2,541","1,522","1,612","2,053"
2020,9,60,"15,641",572,"2,603",400,506,989,"1,029",562,507,392,456,"1,165",565,835,"1,696","1,025",940,"1,399"
2020,9,70,"10,003",383,"1,397",297,307,520,623,454,384,286,407,841,369,553,"1,032",642,609,899
2020,9,80,"6,243",299,770,221,198,375,406,367,325,247,307,517,185,269,535,366,297,559
2020,9,90,"1,001",50,128,43,37,72,83,64,48,39,38,68,49,46,71,54,51,60
2020,9,100,80,2,3,4,0,1,3,2,2,4,3,7,9,8,10,7,9,6
2020,10,총,"151,268","3,115","36,358","2,057","9,673","9,088","9,489","2,628","2,896","1,507","2,185","9,534","4,531","5,217","18,437","9,262","10,623","14,668"
2020,10,0,"16,203",190,"4,667",105,"1,479","1,312","1,198",74,144,25,61,796,452,230,"1,992",746,"1,099","1,633"
2020,10,10,"16,656",242,"4,483",163,"1,413",799,717,112,184,58,95,"1,014",337,381,"2,407","1,182","1,293","1,776"
2020,10,20,"16,052",227,"4,388",133,"1,000",776,975,165,208,84,150,"1,014",518,731,"2,104",929,"1,237","1,413"
2020,10,30,"22,545",247,"6,633",120,"1,930","1,625","1,814",151,226,61,124,"1,114",786,489,"2,606","1,060","1,447","2,112"
2020,10,40,"25,526",365,"6,758",244,"1,911","1,370","1,288",222,341,90,164,"1,563",648,676,"3,420","1,717","2,007","2,742"
2020,10,50,"21,164",533,"4,491",331,891,"1,236","1,353",454,523,218,370,"1,420",618,988,"2,540","1,527","1,617","2,054"
2020,10,60,"15,768",576,"2,631",398,505,"1,004","1,032",563,508,396,462,"1,172",562,838,"1,714","1,033",962,"1,412"
2020,10,70,"10,001",378,"1,401",297,309,516,618,454,383,286,408,844,364,555,"1,034",646,604,904
2020,10,80,"6,260",305,773,221,196,375,408,368,325,246,311,523,188,274,534,361,296,556
2020,10,90,"1,012",50,129,41,39,74,83,63,52,39,37,67,49,47,76,54,52,60
2020,10,100,81,2,4,4,0,1,3,2,2,4,3,7,9,8,10,7,9,6
2020,11,총,"151,618","3,121","36,529","2,065","9,784","9,107","9,524","2,621","2,907","1,497","2,178","9,553","4,552","5,192","18,472","9,258","10,608","14,650"
2020,11,0,"16,108",185,"4,650",102,"1,463","1,300","1,198",73,148,25,60,785,454,230,"1,983",739,"1,087","1,626"
2020,11,10,"16,710",242,"4,519",169,"1,412",803,719,112,185,55,93,"1,026",337,381,"2,408","1,181","1,296","1,772"
2020,11,20,"16,151",226,"4,406",134,"1,078",777,986,156,210,81,148,"1,015",524,717,"2,129",926,"1,225","1,413"
2020,11,30,"22,524",239,"6,686",119,"1,927","1,622","1,819",158,227,60,121,"1,107",789,484,"2,588","1,048","1,434","2,096"
2020,11,40,"25,628",371,"6,779",247,"1,931","1,388","1,293",222,346,91,165,"1,571",653,675,"3,432","1,724","2,004","2,736"
2020,11,50,"21,222",539,"4,524",330,905,"1,227","1,346",451,519,217,368,"1,429",616,982,"2,549","1,535","1,627","2,058"
2020,11,60,"15,870",579,"2,651",399,513,"1,021","1,054",565,508,393,463,"1,169",570,842,"1,725","1,035",965,"1,418"
2020,11,70,"10,028",380,"1,398",300,317,516,614,454,383,285,409,854,368,550,"1,037",648,612,903
2020,11,80,"6,276",307,780,221,198,376,412,367,328,247,308,519,185,277,534,359,297,561
2020,11,90,"1,020",51,132,40,40,76,80,61,51,39,40,71,48,46,76,56,52,61
2020,11,100,81,2,4,4,0,1,3,2,2,4,3,7,8,8,11,7,9,6
2020,12,총,"152,014","3,115","36,741","2,070","9,906","9,145","9,543","2,607","2,919","1,506","2,183","9,557","4,521","5,195","18,494","9,235","10,598","14,679"
2020,12,0,"16,027",189,"4,653",101,"1,450","1,297","1,190",71,145,26,63,782,442,225,"1,975",729,"1,068","1,621"
2020,12,10,"16,737",240,"4,527",166,"1,420",817,719,111,187,54,94,"1,020",337,381,"2,416","1,174","1,302","1,772"
2020,12,20,"16,260",224,"4,487",137,"1,134",777,983,154,210,86,150,"1,013",516,717,"2,134",917,"1,212","1,409"
2020,12,30,"22,525",236,"6,707",118,"1,942","1,621","1,829",156,228,61,122,"1,095",782,486,"2,563","1,047","1,433","2,099"
2020,12,40,"25,712",369,"6,797",244,"1,942","1,406","1,300",221,344,93,160,"1,586",648,674,"3,442","1,724","2,016","2,746"
2020,12,50,"21,310",534,"4,562",338,930,"1,235","1,343",444,521,218,370,"1,437",614,986,"2,557","1,529","1,630","2,062"
2020,12,60,"15,982",581,"2,679",401,523,"1,029","1,066",564,520,393,467,"1,172",574,839,"1,743","1,039",963,"1,429"
2020,12,70,"10,047",379,"1,407",299,323,515,614,454,381,282,407,855,367,555,"1,039",649,613,908
2020,12,80,"6,298",310,785,218,202,373,414,368,328,249,305,519,185,278,538,362,301,563
2020,12,90,"1,032",51,133,44,40,73,82,62,53,40,42,70,48,45,76,58,51,64
2020,12,100,84,2,4,4,0,2,3,2,2,4,3,8,8,9,11,7,9,6
2021,1,총,"152,316","3,106","36,929","2,072","9,959","9,175","9,529","2,609","2,922","1,505","2,172","9,534","4,510","5,206","18,529","9,255","10,616","14,688"
2021,1,0,"15,929",186,"4,633",100,"1,445","1,293","1,186",74,148,25,63,780,438,227,"1,963",712,"1,061","1,595"
2021,1,10,"16,762",234,"4,542",163,"1,436",817,707,108,189,53,87,"1,012",340,383,"2,422","1,183","1,301","1,785"
2021,1,20,"16,279",221,"4,531",141,"1,131",785,972,156,204,84,149,995,515,720,"2,144",921,"1,211","1,399"
2021,1,30,"22,455",237,"6,723",118,"1,931","1,611","1,823",154,229,61,119,"1,087",776,488,"2,540","1,045","1,418","2,095"
2021,1,40,"25,896",366,"6,875",247,"1,978","1,415","1,317",220,346,97,163,"1,587",648,665,"3,464","1,727","2,026","2,755"
2021,1,50,"21,289",533,"4,585",332,945,"1,244","1,328",442,519,216,364,"1,428",608,983,"2,555","1,524","1,627","2,056"
2021,1,60,"16,189",584,"2,714",405,526,"1,043","1,081",572,525,393,469,"1,189",576,847,"1,769","1,062",982,"1,452"
2021,1,70,"10,070",379,"1,409",296,322,512,616,452,377,283,402,863,369,556,"1,047",650,627,910
2021,1,80,"6,331",314,777,220,209,379,417,367,330,250,310,518,184,282,536,368,299,571
2021,1,90,"1,031",49,135,46,36,74,79,63,53,39,43,68,48,46,78,57,54,63
2021,1,100,85,3,5,4,0,2,3,1,2,4,3,7,8,9,11,6,10,7
2021,2,총,"152,788","3,116","37,172","2,078","10,072","9,276","9,541","2,606","2,913","1,502","2,164","9,548","4,510","5,208","18,510","9,249","10,619","14,704"
2021,2,0,"15,848",180,"4,641",99,"1,437","1,295","1,184",75,145,23,60,777,437,223,"1,932",698,"1,044","1,598"
2021,2,10,"16,809",238,"4,564",166,"1,459",828,713,109,186,50,86,"1,014",340,377,"2,410","1,187","1,306","1,776"
2021,2,20,"16,351",225,"4,551",139,"1,174",806,963,152,199,85,149,997,515,719,"2,153",916,"1,206","1,402"
2021,2,30,"22,428",240,"6,764",124,"1,915","1,618","1,825",145,226,63,119,"1,064",772,490,"2,549","1,028","1,409","2,077"
2021,2,40,"26,022",365,"6,925",248,"2,017","1,439","1,327",227,350,98,158,"1,595",642,664,"3,443","1,723","2,036","2,765"
2021,2,50,"21,407",531,"4,638",330,962,"1,262","1,326",436,512,214,365,"1,435",618,981,"2,566","1,537","1,622","2,072"
2021,2,60,"16,361",589,"2,748",408,540,"1,059","1,085",575,534,390,470,"1,203",579,861,"1,783","1,075","1,000","1,462"
2021,2,70,"10,054",379,"1,408",295,321,512,615,456,374,284,399,869,363,551,"1,042",652,627,907
2021,2,80,"6,376",315,786,219,211,380,418,366,330,252,312,520,188,288,542,370,303,576
2021,2,90,"1,046",51,142,45,36,75,82,64,55,39,43,67,47,45,79,57,56,63
2021,2,100,86,3,5,5,0,2,3,1,2,4,3,7,9,9,11,6,10,6
2021,3,총,"152,789","3,107","37,387","2,061","10,063","9,298","9,569","2,590","2,885","1,483","2,162","9,526","4,515","5,195","18,468","9,207","10,574","14,699"
2021,3,0,"15,781",179,"4,633",95,"1,426","1,286","1,188",70,146,23,59,757,434,224,"1,917",700,"1,033","1,611"
2021,3,10,"16,855",240,"4,582",168,"1,472",847,716,108,180,49,88,"1,022",342,371,"2,404","1,166","1,316","1,784"
2021,3,20,"16,358",217,"4,587",140,"1,179",801,969,153,199,83,145,999,526,709,"2,147",924,"1,189","1,391"
2021,3,30,"22,411",239,"6,793",124,"1,896","1,612","1,846",148,219,63,120,"1,055",771,496,"2,535","1,023","1,397","2,074"
2021,3,40,"25,998",367,"6,967",240,"2,011","1,437","1,322",224,339,95,156,"1,592",644,662,"3,443","1,702","2,024","2,773"
2021,3,50,"21,379",525,"4,688",327,970,"1,264","1,316",424,503,208,363,"1,433",619,977,"2,553","1,534","1,618","2,057"
2021,3,60,"16,505",586,"2,779",397,540,"1,077","1,100",580,544,392,478,"1,208",578,870,"1,808","1,081","1,013","1,474"
2021,3,70,"10,025",376,"1,423",299,324,511,609,451,371,282,394,866,366,551,"1,033",650,622,897
2021,3,80,"6,401",323,788,221,206,384,425,369,328,250,315,523,187,289,542,370,309,572
2021,3,90,"1,031",52,141,45,39,77,77,62,56,37,43,66,46,43,80,53,49,65
2021,3,100,45,3,6,5,0,2,1,1,0,1,1,5,2,3,6,4,4,1
2021,4,총,"153,196","3,103","37,635","2,070","10,114","9,307","9,592","2,590","2,859","1,491","2,179","9,539","4,506","5,205","18,488","9,218","10,586","14,714"
2021,4,0,"15,696",173,"4,629",94,"1,411","1,282","1,187",70,144,27,57,742,436,223,"1,899",691,"1,023","1,608"
2021,4,10,"16,921",243,"4,600",170,"1,482",852,725,112,182,49,90,"1,036",341,373,"2,404","1,156","1,322","1,784"
2021,4,20,"16,395",214,"4,617",137,"1,207",793,959,150,194,81,147,"1,001",520,718,"2,142",937,"1,190","1,388"
2021,4,30,"22,458",236,"6,858",127,"1,891","1,626","1,853",154,217,65,123,"1,038",771,496,"2,527","1,017","1,395","2,064"
2021,4,40,"26,100",371,"7,018",238,"2,031","1,432","1,319",219,337,93,162,"1,601",638,667,"3,458","1,699","2,027","2,790"
2021,4,50,"21,407",519,"4,714",333,967,"1,266","1,323",418,491,206,361,"1,438",613,971,"2,565","1,544","1,619","2,059"
2021,4,60,"16,661",589,"2,825",403,552,"1,084","1,112",585,545,400,481,"1,218",583,873,"1,825","1,083","1,024","1,479"
2021,4,70,"10,039",375,"1,426",297,327,508,610,449,371,283,394,864,370,552,"1,032",657,626,898
2021,4,80,"6,430",326,793,222,208,384,427,370,323,249,320,528,186,285,550,375,307,577
2021,4,90,"1,043",54,149,44,38,78,76,62,55,37,43,68,45,44,80,55,49,66
2021,4,100,46,3,6,5,0,2,1,1,0,1,1,5,3,3,6,4,4,1
2021,5,총,"153,402","3,078","37,883","2,072","10,193","9,280","9,635","2,602","2,857","1,491","2,177","9,497","4,489","5,204","18,450","9,202","10,582","14,710"
2021,5,0,"15,623",168,"4,637",90,"1,407","1,265","1,190",73,143,27,58,739,433,223,"1,880",680,"1,009","1,601"
2021,5,10,"16,923",239,"4,596",171,"1,497",854,727,113,176,49,86,"1,027",337,375,"2,416","1,154","1,318","1,788"
2021,5,20,"16,442",216,"4,656",139,"1,229",792,958,153,202,78,150,993,511,723,"2,125",933,"1,190","1,394"
2021,5,30,"22,455",230,"6,912",127,"1,885","1,616","1,871",156,219,64,123,"1,016",771,494,"2,511","1,021","1,381","2,058"
2021,5,40,"26,099",368,"7,041",236,"2,063","1,418","1,339",219,335,89,157,"1,591",637,662,"3,443","1,694","2,025","2,782"
2021,5,50,"21,486",513,"4,777",332,978,"1,268","1,311",421,484,211,365,"1,453",611,979,"2,575","1,537","1,624","2,047"
2021,5,60,"16,794",591,"2,877",411,558,"1,090","1,125",583,551,402,480,"1,217",583,867,"1,828","1,091","1,046","1,494"
2021,5,70,"10,024",375,"1,428",292,329,510,610,453,369,282,395,857,370,546,"1,031",660,617,900
2021,5,80,"6,454",321,803,224,207,387,427,368,321,251,320,531,187,286,553,371,318,579
2021,5,90,"1,055",54,150,45,40,78,76,62,57,37,42,68,46,46,81,57,50,66
2021,5,100,47,3,6,5,0,2,1,1,0,1,1,5,3,3,7,4,4,1
2021,6,총,"153,915","3,073","38,886","2,062","10,203","9,266","9,672","2,607","2,827","1,491","2,174","9,421","4,465","5,180","18,357","9,154","10,480","14,597"
2021,6,0,"15,600",171,"4,748",89,"1,393","1,260","1,188",72,139,27,59,715,437,222,"1,846",678,985,"1,571"
2021,6,10,"16,968",234,"4,689",169,"1,509",861,728,114,175,50,88,"1,011",335,372,"2,425","1,141","1,295","1,772"
2021,6,20,"16,532",217,"4,805",137,"1,227",781,958,155,196,78,146,995,513,729,"2,119",921,"1,182","1,373"
2021,6,30,"22,536",229,"7,146",128,"1,873","1,616","1,883",155,210,64,123,990,760,485,"2,477","1,021","1,349","2,027"
2021,6,40,"26,221",371,"7,204",233,"2,076","1,435","1,347",223,329,90,158,"1,579",639,659,"3,414","1,681","2,002","2,781"
2021,6,50,"21,538",504,"4,915",333,988,"1,243","1,312",419,483,211,360,"1,450",603,966,"2,577","1,513","1,630","2,031"
2021,6,60,"16,899",594,"2,953",408,562,"1,098","1,123",587,548,398,483,"1,219",584,872,"1,824","1,104","1,051","1,491"
2021,6,70,"10,048",374,"1,451",291,329,513,620,454,366,285,394,858,357,539,"1,034",663,615,905
2021,6,80,"6,464",321,819,225,205,382,433,364,324,250,320,532,186,286,555,368,315,579
2021,6,90,"1,063",55,151,44,41,76,78,63,57,37,42,68,48,47,79,60,51,66
2021,6,100,46,3,5,5,0,1,2,1,0,1,1,4,3,3,7,4,5,1
2021,7,총,"154,228","3,054","39,143","2,062","10,422","9,243","9,724","2,596","2,820","1,490","2,169","9,405","4,474","5,177","18,312","9,119","10,467","14,551"
2021,7,0,"15,550",166,"4,756",88,"1,430","1,252","1,192",71,136,24,56,700,443,218,"1,821",667,974,"1,556"
2021,7,10,"17,027",232,"4,706",171,"1,534",862,733,115,177,52,88,"1,022",339,368,"2,434","1,129","1,298","1,767"
2021,7,20,"16,525",213,"4,837",134,"1,262",770,955,156,191,78,144,989,507,718,"2,111",916,"1,175","1,369"
2021,7,30,"22,506",226,"7,153",126,"1,917","1,605","1,887",155,210,64,122,981,772,488,"2,453","1,004","1,335","2,008"
2021,7,40,"26,297",370,"7,278",232,"2,117","1,428","1,364",219,328,91,157,"1,574",639,659,"3,409","1,663","1,999","2,770"
2021,7,50,"21,682",500,"4,986",334,"1,013","1,248","1,328",415,478,205,359,"1,460",599,963,"2,580","1,529","1,648","2,037"
2021,7,60,"16,984",597,"2,979",407,567,"1,108","1,131",585,549,402,486,"1,215",583,889,"1,827","1,117","1,047","1,495"
2021,7,70,"10,080",372,"1,468",293,335,516,619,453,366,287,393,860,355,536,"1,040",665,615,907
2021,7,80,"6,466",322,821,228,205,381,434,362,328,249,320,532,186,288,550,364,320,576
2021,7,90,"1,064",53,154,44,42,72,79,64,57,37,42,68,48,47,80,62,51,64
