년도,월,나이,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020,8,20,"5,017",868,"1,552",891,121,114,276,251,181,248,121,246,148
2020,8,30,"5,007",763,"1,939",932,111,99,248,187,137,167,110,164,150
2020,8,40,"7,566","1,073","2,906","1,290",174,201,398,340,192,305,163,304,220
2020,8,50,"9,405","1,490","2,451","1,302",313,374,687,612,431,550,303,500,392
2020,8,60,"7,909","1,155","1,436",486,337,433,776,799,457,599,382,564,485
2020,8,70,"6,347",917,824,235,322,405,664,673,393,633,389,489,403
2020,8,80,"3,978",514,370,120,289,274,406,430,294,386,282,332,281
2020,8,90,518,98,36,21,31,36,45,56,25,55,38,54,23
2020,8,100,34,4,4,1,4,0,6,3,2,2,4,3,1
2020,9,총,"53,998","8,321","14,979","6,607","1,869","2,074","3,818","3,596","2,284","3,211","1,948","3,003","2,288"
2020,9,0,"3,680",626,"1,617",622,72,51,122,112,72,101,78,138,69
2020,9,10,"4,532",817,"1,803",727,99,79,190,138,108,170,84,207,110
2020,9,20,"5,026",867,"1,574",890,120,113,278,248,179,245,121,243,148
2020,9,30,"4,946",751,"1,937",900,107,98,246,183,134,167,111,165,147
2020,9,40,"7,553","1,072","2,891","1,297",177,203,398,339,189,301,156,306,224
2020,9,50,"9,399","1,486","2,468","1,307",305,376,680,605,427,549,303,497,396
2020,9,60,"7,958","1,165","1,446",489,342,438,781,805,460,599,379,568,486
2020,9,70,"6,338",922,828,233,324,402,661,666,394,634,387,486,401
2020,9,80,"4,006",514,375,121,288,276,410,437,295,386,286,335,283
2020,9,90,526,97,36,20,31,38,46,60,24,57,39,55,23
2020,9,100,34,4,4,1,4,0,6,3,2,2,4,3,1
2020,10,총,"53,869","8,277","14,986","6,601","1,864","2,064","3,805","3,581","2,279","3,194","1,934","2,996","2,288"
2020,10,0,"3,635",611,"1,606",619,67,50,121,114,71,99,77,129,71
2020,10,10,"4,496",807,"1,796",722,100,75,191,132,108,168,82,205,110
2020,10,20,"5,060",868,"1,599",903,121,111,275,245,182,243,121,244,148
2020,10,30,"4,875",739,"1,919",883,105,94,242,183,134,162,107,164,143
2020,10,40,"7,500","1,067","2,885","1,284",171,202,395,334,187,299,151,301,224
2020,10,50,"9,421","1,480","2,484","1,321",313,379,672,602,426,546,302,503,393
2020,10,60,"7,959","1,169","1,454",485,340,437,784,803,459,598,380,568,482
2020,10,70,"6,347",917,824,244,323,401,660,671,390,633,385,489,410
2020,10,80,"4,011",515,379,121,289,276,412,432,297,389,287,332,282
2020,10,90,530,101,36,18,31,39,47,62,22,54,38,58,24
2020,10,100,35,3,4,1,4,0,6,3,3,3,4,3,1
2020,11,총,"53,752","8,265","14,943","6,534","1,860","2,071","3,786","3,591","2,281","3,193","1,930","3,007","2,291"
2020,11,0,"3,588",604,"1,587",595,68,52,117,115,70,100,78,131,71
2020,11,10,"4,477",809,"1,795",709,98,73,188,132,110,166,81,208,108
2020,11,20,"5,083",865,"1,606",903,121,113,278,249,183,243,121,251,150
2020,11,30,"4,807",735,"1,884",856,106,95,235,181,136,160,108,163,148
2020,11,40,"7,457","1,056","2,873","1,278",169,197,396,335,187,295,150,298,223
2020,11,50,"9,391","1,466","2,485","1,316",310,378,667,599,421,551,304,503,391
2020,11,60,"8,011","1,191","1,473",491,341,440,782,808,461,597,376,569,482
2020,11,70,"6,358",914,827,249,321,406,660,669,390,636,386,493,407
2020,11,80,"4,017",520,373,117,292,276,409,438,299,389,286,332,286
2020,11,90,528,102,36,19,30,41,48,62,21,53,36,56,24
2020,11,100,35,3,4,1,4,0,6,3,3,3,4,3,1
2020,12,총,"53,699","8,251","14,965","6,486","1,853","2,076","3,782","3,581","2,279","3,200","1,924","3,015","2,287"
2020,12,0,"3,539",606,"1,560",582,64,52,115,112,71,99,74,135,69
2020,12,10,"4,443",797,"1,796",693,102,72,186,128,108,169,81,205,106
2020,12,20,"5,103",872,"1,612",892,117,115,284,252,182,245,121,256,155
2020,12,30,"4,778",735,"1,877",833,107,94,233,182,137,159,108,166,147
2020,12,40,"7,431","1,043","2,875","1,276",170,191,393,330,187,299,148,300,219
2020,12,50,"9,413","1,456","2,518","1,324",313,384,664,597,422,547,303,496,389
2020,12,60,"8,051","1,203","1,490",497,335,444,779,810,462,601,376,573,481
2020,12,70,"6,329",916,817,252,320,400,657,665,386,630,388,490,408
2020,12,80,"4,040",519,379,115,290,281,417,439,298,393,284,337,288
2020,12,90,537,101,37,21,31,43,48,63,23,55,37,54,24
2020,12,100,35,3,4,1,4,0,6,3,3,3,4,3,1
2021,1,총,"53,687","8,241","14,988","6,497","1,849","2,077","3,788","3,567","2,282","3,196","1,923","3,012","2,267"
2021,1,0,"3,519",606,"1,560",573,63,51,113,112,74,94,72,134,67
2021,1,10,"4,428",789,"1,797",690,99,73,188,129,108,170,80,202,103
2021,1,20,"5,084",871,"1,598",910,117,113,284,238,180,241,122,255,155
2021,1,30,"4,729",728,"1,859",822,106,89,234,181,138,159,107,161,145
2021,1,40,"7,422","1,036","2,883","1,271",172,189,390,332,188,299,149,299,214
2021,1,50,"9,435","1,456","2,539","1,341",310,388,660,592,424,545,300,495,385
2021,1,60,"8,105","1,208","1,509",501,339,444,790,811,461,608,381,577,476
2021,1,70,"6,333",917,825,254,316,405,657,667,384,626,387,492,403
2021,1,80,"4,053",524,378,115,291,283,415,437,299,397,283,338,293
2021,1,90,545,103,36,20,32,42,51,65,23,54,38,56,25
2021,1,100,34,3,4,0,4,0,6,3,3,3,4,3,1
2021,2,총,"53,652","8,214","14,976","6,465","1,849","2,068","3,803","3,568","2,278","3,214","1,927","3,015","2,275"
2021,2,0,"3,487",602,"1,543",554,65,50,115,113,72,94,73,138,68
2021,2,10,"4,412",774,"1,796",683,100,72,191,130,106,173,84,201,102
2021,2,20,"5,063",867,"1,597",910,116,111,283,233,178,239,120,254,155
2021,2,30,"4,699",712,"1,840",811,107,89,234,187,143,159,105,164,148
2021,2,40,"7,415","1,041","2,892","1,250",170,187,400,325,187,307,148,293,215
2021,2,50,"9,448","1,454","2,532","1,365",313,386,662,595,422,544,302,490,383
2021,2,60,"8,148","1,210","1,530",507,336,443,791,805,464,615,385,580,482
2021,2,70,"6,325",925,826,250,315,401,657,669,381,626,382,494,399
2021,2,80,"4,071",522,378,115,289,287,415,444,298,399,286,342,296
2021,2,90,548,103,38,20,34,41,49,64,24,55,38,56,26
2021,2,100,36,4,4,0,4,1,6,3,3,3,4,3,1
2021,3,총,"53,469","8,153","15,034","6,483","1,833","2,063","3,718","3,566","2,277","3,185","1,916","2,992","2,249"
2021,3,0,"3,425",578,"1,530",542,62,46,102,111,74,101,72,139,68
2021,3,10,"4,406",776,"1,815",684,93,69,192,128,102,168,84,193,102
2021,3,20,"5,065",869,"1,606",924,112,115,266,233,183,236,119,257,145
2021,3,30,"4,653",709,"1,836",788,107,89,226,187,140,163,104,160,144
2021,3,40,"7,382","1,034","2,898","1,258",168,180,379,321,191,295,147,295,216
2021,3,50,"9,416","1,422","2,556","1,385",309,388,660,596,416,536,296,477,375
2021,3,60,"8,177","1,218","1,540",519,336,445,791,808,463,611,382,586,478
2021,3,70,"6,284",922,832,248,317,397,640,666,384,619,380,485,394
2021,3,80,"4,076",519,379,114,290,291,412,445,298,398,287,343,300
2021,3,90,560,103,38,21,35,42,49,68,25,56,42,55,26
2021,3,100,25,3,4,0,4,1,1,3,1,2,3,2,1
2021,4,총,"53,437","8,152","15,030","6,505","1,843","2,052","3,703","3,534","2,275","3,182","1,910","2,994","2,257"
2021,4,0,"3,393",569,"1,518",541,64,45,100,109,72,96,71,139,69
2021,4,10,"4,407",780,"1,819",682,92,68,191,128,102,167,80,192,106
2021,4,20,"5,050",874,"1,603",931,107,111,259,237,182,233,119,254,140
2021,4,30,"4,617",698,"1,831",781,112,85,222,183,138,162,101,155,149
2021,4,40,"7,375","1,033","2,908","1,259",167,179,374,317,192,295,143,294,214
2021,4,50,"9,421","1,418","2,557","1,396",311,386,654,591,416,537,297,484,374
2021,4,60,"8,227","1,235","1,540",529,344,449,798,804,463,607,384,590,484
2021,4,70,"6,263",921,833,249,316,392,638,650,386,621,379,483,395
2021,4,80,"4,103",519,384,114,292,292,419,446,298,406,290,346,297
2021,4,90,560,102,36,23,34,44,47,67,25,55,44,55,28
2021,4,100,21,3,1,0,4,1,1,2,1,3,2,2,1
2021,5,총,"53,370","8,117","15,043","6,466","1,838","2,050","3,689","3,531","2,273","3,190","1,903","3,015","2,255"
2021,5,0,"3,370",558,"1,503",535,66,45,98,109,74,102,69,142,69
2021,5,10,"4,406",775,"1,832",671,90,67,187,128,106,169,81,195,105
2021,5,20,"5,028",868,"1,611",918,108,112,253,234,180,232,119,254,139
2021,5,30,"4,574",687,"1,812",780,110,86,216,183,139,161,97,157,146
2021,5,40,"7,336","1,022","2,904","1,254",165,176,372,319,191,291,137,290,215
2021,5,50,"9,439","1,414","2,568","1,391",312,390,652,590,411,540,300,497,374
2021,5,60,"8,254","1,253","1,552",529,344,447,804,802,463,608,385,589,478
2021,5,70,"6,251",917,836,248,311,388,637,648,388,621,377,481,399
2021,5,80,"4,128",516,389,118,294,293,423,449,295,407,293,351,300
2021,5,90,564,104,35,22,34,45,47,67,25,56,43,57,29
2021,5,100,20,3,1,0,4,1,0,2,1,3,2,2,1
2021,6,총,"53,290","8,130","15,083","6,437","1,843","2,047","3,680","3,506","2,261","3,171","1,906","2,983","2,243"
2021,6,0,"3,346",554,"1,504",526,66,44,97,108,70,102,67,140,68
2021,6,10,"4,378",771,"1,827",667,88,68,184,128,105,166,80,191,103
2021,6,20,"5,000",865,"1,627",900,110,111,253,223,180,225,121,248,137
2021,6,30,"4,560",685,"1,808",786,112,86,211,183,135,160,98,153,143
2021,6,40,"7,321","1,028","2,902","1,247",166,178,374,319,189,287,137,281,213
2021,6,50,"9,412","1,410","2,572","1,393",308,387,645,580,411,539,301,493,373
2021,6,60,"8,316","1,275","1,574",537,346,448,805,800,463,608,389,589,482
2021,6,70,"6,244",918,839,240,312,386,643,648,388,616,377,478,399
2021,6,80,"4,133",515,394,119,297,294,422,450,294,407,292,354,295
2021,6,90,560,106,35,22,34,44,46,65,24,58,42,55,29
2021,6,100,20,3,1,0,4,1,0,2,2,3,2,1,1
2021,7,총,"53,236","8,126","15,033","6,475","1,832","2,044","3,660","3,494","2,257","3,182","1,899","2,989","2,245"
2021,7,0,"3,304",549,"1,475",527,64,44,94,107,69,103,65,137,70
2021,7,10,"4,373",775,"1,821",672,90,67,182,125,102,168,81,188,102
2021,7,20,"4,975",858,"1,611",910,105,115,243,223,183,223,117,252,135
2021,7,30,"4,532",684,"1,797",786,108,83,204,183,133,163,96,151,144
2021,7,40,"7,286","1,026","2,887","1,252",163,177,369,317,187,283,136,280,209
2021,7,50,"9,443","1,414","2,572","1,409",313,387,646,574,413,540,303,502,370
2021,7,60,"8,386","1,282","1,602",540,344,448,809,805,461,616,391,595,493
2021,7,70,"6,211",914,836,240,309,385,644,644,388,612,370,474,395
2021,7,80,"4,147",515,397,116,297,292,423,450,296,413,297,354,297
2021,7,90,560,106,34,23,35,45,46,64,23,59,41,55,29
2021,7,100,19,3,1,0,4,1,0,2,2,2,2,1,1
2021,8,총,"53,108","8,096","14,989","6,454","1,834","2,040","3,653","3,489","2,259","3,166","1,896","2,995","2,237"
2021,8,0,"3,266",542,"1,456",518,62,45,93,105,70,102,65,138,70
2021,8,10,"4,342",774,"1,806",656,91,66,182,120,105,170,82,190,100
2021,8,20,"4,954",856,"1,602",920,103,112,245,223,178,219,109,256,131
2021,8,30,"4,503",664,"1,792",778,109,83,201,185,131,163,102,153,142
2021,8,40,"7,270","1,026","2,891","1,243",166,175,370,313,188,278,138,277,205
2021,8,50,"9,417","1,403","2,557","1,423",314,389,638,574,412,531,300,501,375
2021,8,60,"8,421","1,294","1,609",539,342,448,815,808,464,619,394,599,490
2021,8,70,"6,180",907,848,239,306,383,642,639,386,600,368,470,392
2021,8,80,"4,170",523,392,115,302,291,423,454,300,422,295,355,298
2021,8,90,566,104,35,23,35,47,44,66,23,60,41,55,33
2021,8,100,19,3,1,0,4,1,0,2,2,2,2,1,1
2021,9,총,"53,020","8,067","15,013","6,423","1,832","2,034","3,659","3,463","2,250","3,168","1,889","2,999","2,223"
2021,9,0,"3,246",541,"1,454",508,65,45,89,107,66,99,64,140,68
2021,9,10,"4,316",768,"1,805",652,90,61,187,116,101,169,82,188,97
2021,9,20,"4,904",839,"1,607",912,100,112,244,211,179,215,107,248,130
2021,9,30,"4,471",665,"1,777",759,111,85,204,185,127,166,99,154,139
2021,9,40,"7,250","1,023","2,893","1,244",167,173,360,306,189,279,140,275,201
2021,9,50,"9,432","1,396","2,577","1,428",315,381,639,574,414,532,297,505,374
2021,9,60,"8,455","1,296","1,620",546,344,456,819,802,461,620,395,605,491
2021,9,70,"6,166",908,850,238,302,379,646,633,384,597,366,474,389
2021,9,80,"4,184",525,393,112,295,293,426,459,304,430,296,353,298
2021,9,90,578,104,36,24,39,48,45,68,23,59,41,56,35
2021,9,100,18,2,1,0,4,1,0,2,2,2,2,1,1
2021,10,총,"53,000","8,062","15,039","6,451","1,824","2,032","3,667","3,451","2,246","3,143","1,887","2,983","2,215"
2021,10,0,"3,213",534,"1,447",499,63,45,92,106,66,95,63,137,66
2021,10,10,"4,319",777,"1,803",660,89,61,190,115,99,163,83,182,97
2021,10,20,"4,905",837,"1,617",907,102,111,245,207,176,212,108,251,132
2021,10,30,"4,436",656,"1,765",766,109,85,199,184,127,161,99,151,134
2021,10,40,"7,242","1,018","2,902","1,253",166,169,357,302,188,280,139,270,198
2021,10,50,"9,432","1,402","2,580","1,429",316,387,637,572,417,522,295,502,373
2021,10,60,"8,519","1,293","1,645",558,345,458,828,805,460,626,399,609,493
2021,10,70,"6,160",912,854,243,301,378,644,627,385,596,365,470,385
2021,10,80,"4,180",522,391,112,294,290,431,462,302,426,294,353,303
2021,10,90,584,109,35,24,39,47,44,70,25,60,41,57,33
2021,10,100,10,2,0,0,0,1,0,1,1,2,1,1,1
2021,11,총,"52,964","8,025","15,094","6,417","1,819","2,034","3,658","3,441","2,232","3,161","1,878","2,990","2,215"
2021,11,0,"3,192",523,"1,446",489,65,44,90,106,61,102,62,137,67
2021,11,10,"4,302",776,"1,801",654,87,59,190,116,99,162,83,181,94
2021,11,20,"4,901",823,"1,635",902,100,111,245,210,174,218,103,249,131
2021,11,30,"4,432",651,"1,770",766,112,87,196,181,121,163,98,149,138
2021,11,40,"7,207","1,014","2,900","1,240",157,163,355,297,187,281,139,276,198
2021,11,50,"9,444","1,397","2,590","1,429",322,391,642,570,409,521,296,503,374
2021,11,60,"8,560","1,297","1,662",562,343,465,827,805,465,634,394,613,493
2021,11,70,"6,143",913,854,237,304,376,635,624,388,592,364,473,383
2021,11,80,"4,188",523,399,115,289,291,431,464,302,425,296,350,303
2021,11,90,583,106,37,23,40,45,47,66,25,61,42,58,33
2021,11,100,12,2,0,0,0,2,0,2,1,2,1,1,1
2021,12,총,"52,937","8,021","15,134","6,357","1,823","2,034","3,658","3,441","2,241","3,161","1,878","2,984","2,205"
2021,12,0,"3,175",523,"1,449",473,63,43,88,110,64,97,64,138,63
2021,12,10,"4,280",770,"1,799",645,87,57,187,116,100,162,83,183,91
2021,12,20,"4,898",819,"1,644",890,105,111,248,211,173,220,103,240,134
2021,12,30,"4,426",653,"1,768",760,112,89,194,177,125,166,97,151,134
2021,12,40,"7,185","1,022","2,899","1,218",158,160,356,302,181,279,136,276,198
2021,12,50,"9,465","1,391","2,601","1,434",324,394,642,572,414,525,297,500,371
2021,12,60,"8,581","1,303","1,674",559,347,467,830,800,469,627,392,615,498
2021,12,70,"6,139",909,860,237,300,376,636,621,384,597,365,471,383
2021,12,80,"4,191",523,399,117,284,289,430,469,305,424,299,352,300
2021,12,90,586,106,40,24,43,46,47,63,25,62,41,57,32
2021,12,100,11,2,1,0,0,2,0,0,1,2,1,1,1
