년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020,3,50,"7,639","2,221",619,728,383,585,846,793,277,251,494,442
2020,3,60,"6,989","1,950",586,664,353,582,596,724,289,269,511,465
2020,3,70,"5,947","1,640",447,506,283,481,557,530,254,296,555,398
2020,3,80,"3,627",897,286,312,221,348,310,321,141,168,401,222
2020,3,90,472,109,36,48,32,30,36,55,23,22,39,42
2020,3,100,42,13,5,2,1,1,0,5,3,1,2,9
2020,4,총,"45,325","13,656","3,649","3,736","1,870","3,635","6,458","4,171","1,564","1,415","2,906","2,265"
2020,4,0,"2,944","1,052",295,164,49,151,797,197,59,35,79,66
2020,4,10,"3,384","1,212",302,188,79,192,686,282,99,65,183,96
2020,4,20,"4,664","1,337",320,385,159,649,793,424,136,113,202,146
2020,4,30,"3,862","1,250",271,325,128,215,878,285,110,88,148,164
2020,4,40,"5,742","1,968",477,420,189,401,953,548,179,106,285,216
2020,4,50,"7,609","2,209",617,720,381,582,848,791,274,250,500,437
2020,4,60,"7,020","1,959",594,663,354,585,599,727,289,270,510,470
2020,4,70,"5,934","1,641",445,511,276,480,553,537,250,293,552,396
2020,4,80,"3,646",904,286,312,221,349,312,321,141,171,405,224
2020,4,90,478,111,37,46,33,30,39,54,24,23,40,41
2020,4,100,42,13,5,2,1,1,0,5,3,1,2,9
2020,5,총,"45,222","13,654","3,654","3,749","1,879","3,568","6,403","4,174","1,559","1,421","2,905","2,256"
2020,5,0,"2,941","1,050",302,170,51,152,775,201,59,34,79,68
2020,5,10,"3,343","1,202",296,185,76,189,678,275,99,66,184,93
2020,5,20,"4,576","1,343",321,380,158,585,770,426,136,114,196,147
2020,5,30,"3,846","1,248",277,332,133,210,863,284,108,85,147,159
2020,5,40,"5,753","1,972",482,421,188,393,961,548,180,110,284,214
2020,5,50,"7,595","2,204",608,716,384,585,849,790,272,249,502,436
2020,5,60,"7,034","1,956",595,668,357,588,608,730,285,272,508,467
2020,5,70,"5,953","1,640",448,516,277,484,550,541,251,293,553,400
2020,5,80,"3,661",914,282,314,221,350,310,321,142,175,411,221
2020,5,90,478,112,37,45,33,31,39,54,24,22,39,42
2020,5,100,42,13,6,2,1,1,0,4,3,1,2,9
2020,6,총,"45,203","13,646","3,641","3,756","1,876","3,580","6,420","4,166","1,562","1,405","2,904","2,247"
2020,6,0,"2,944","1,048",307,173,51,152,783,190,59,33,81,67
2020,6,10,"3,324","1,204",291,178,74,191,672,274,98,65,184,93
2020,6,20,"4,584","1,346",322,380,159,591,783,421,135,107,198,142
2020,6,30,"3,841","1,233",275,334,136,212,870,289,107,86,148,151
2020,6,40,"5,714","1,968",466,422,186,394,949,547,175,107,279,221
2020,6,50,"7,557","2,188",607,715,380,577,852,787,276,241,501,433
2020,6,60,"7,090","1,969",600,682,356,590,612,739,289,280,506,467
2020,6,70,"5,963","1,641",448,516,282,491,548,539,252,290,556,400
2020,6,80,"3,661",922,283,310,218,348,312,319,143,173,411,222
2020,6,90,483,114,36,44,33,33,39,57,25,22,38,42
2020,6,100,42,13,6,2,1,1,0,4,3,1,2,9
2020,7,총,"45,126","13,643","3,636","3,772","1,876","3,538","6,386","4,163","1,562","1,412","2,899","2,239"
2020,7,0,"2,920","1,042",309,173,51,150,773,189,58,34,81,60
2020,7,10,"3,313","1,200",289,182,76,189,672,271,97,63,182,92
2020,7,20,"4,508","1,338",316,378,153,561,762,421,136,114,190,139
2020,7,30,"3,823","1,229",278,336,134,203,868,286,105,86,151,147
2020,7,40,"5,708","1,963",466,425,187,396,951,542,175,111,277,215
2020,7,50,"7,575","2,187",605,716,384,581,849,794,280,238,500,441
2020,7,60,"7,101","1,974",602,688,355,587,616,737,283,279,512,468
2020,7,70,"5,982","1,656",448,519,283,490,544,540,255,290,554,403
2020,7,80,"3,670",923,282,311,219,348,313,321,144,175,411,223
2020,7,90,484,118,35,42,33,32,38,58,26,21,39,42
2020,7,100,42,13,6,2,1,1,0,4,3,1,2,9
2020,8,총,"44,921","13,580","3,646","3,737","1,859","3,507","6,308","4,187","1,561","1,402","2,902","2,232"
2020,8,0,"2,878","1,023",306,169,52,151,748,194,57,32,86,60
2020,8,10,"3,306","1,198",292,174,75,194,664,275,97,62,180,95
2020,8,20,"4,418","1,319",315,375,150,523,742,422,133,113,191,135
2020,8,30,"3,802","1,220",277,329,131,201,866,291,106,82,151,148
2020,8,40,"5,654","1,936",473,422,183,395,930,541,174,110,279,211
2020,8,50,"7,548","2,183",611,704,371,586,851,795,282,236,492,437
2020,8,60,"7,137","1,985",604,692,363,582,620,742,286,281,513,469
2020,8,70,"5,965","1,654",444,514,283,495,534,547,252,287,551,404
2020,8,80,"3,680",928,283,313,217,346,315,319,144,177,417,221
2020,8,90,491,121,35,43,33,33,38,57,27,21,40,43
2020,8,100,42,13,6,2,1,1,0,4,3,1,2,9
2020,9,총,"44,810","13,558","3,633","3,734","1,861","3,484","6,283","4,173","1,557","1,395","2,901","2,231"
2020,9,0,"2,853","1,017",302,170,54,150,739,193,58,33,81,56
2020,9,10,"3,308","1,198",291,174,76,199,658,275,96,61,181,99
2020,9,20,"4,367","1,315",310,375,146,494,755,416,130,107,186,133
2020,9,30,"3,747","1,207",268,326,132,200,846,285,105,79,154,145
2020,9,40,"5,644","1,939",473,426,186,395,920,537,172,112,274,210
2020,9,50,"7,541","2,176",614,704,366,585,852,797,282,236,490,439
2020,9,60,"7,176","1,999",611,691,364,582,623,746,287,279,523,471
2020,9,70,"5,942","1,644",440,505,283,498,535,545,252,285,551,404
2020,9,80,"3,693",932,284,318,216,348,316,318,146,179,416,220
2020,9,90,498,118,34,44,37,32,39,57,26,23,43,45
2020,9,100,41,13,6,1,1,1,0,4,3,1,2,9
2020,10,총,"44,620","13,511","3,644","3,724","1,849","3,440","6,209","4,163","1,555","1,393","2,902","2,230"
2020,10,0,"2,817","1,006",311,173,53,143,715,188,59,30,83,56
2020,10,10,"3,313","1,200",293,175,76,199,659,276,96,63,179,97
2020,10,20,"4,300","1,303",311,363,143,467,738,415,127,107,192,134
2020,10,30,"3,683","1,199",271,322,128,195,824,278,100,77,150,139
2020,10,40,"5,602","1,919",476,430,184,394,907,530,170,112,271,209
2020,10,50,"7,517","2,174",604,705,361,579,847,796,280,239,490,442
2020,10,60,"7,200","2,004",613,690,364,591,622,750,289,280,522,475
2020,10,70,"5,948","1,645",442,505,283,493,540,543,256,282,555,404
2020,10,80,"3,695",928,283,315,218,346,317,326,149,178,415,220
2020,10,90,505,121,34,45,38,32,40,57,26,24,43,45
2020,10,100,40,12,6,1,1,1,0,4,3,1,2,9
2020,11,총,"44,543","13,492","3,658","3,733","1,850","3,414","6,196","4,125","1,558","1,396","2,897","2,224"
2020,11,0,"2,799",995,319,171,53,146,701,182,60,31,85,56
2020,11,10,"3,309","1,205",293,177,74,196,660,267,97,63,177,100
2020,11,20,"4,253","1,294",307,365,147,439,741,409,126,106,187,132
2020,11,30,"3,684","1,192",272,330,127,196,821,277,102,74,153,140
2020,11,40,"5,576","1,913",475,428,181,392,908,527,170,113,263,206
2020,11,50,"7,504","2,170",608,697,363,581,844,789,281,240,493,438
2020,11,60,"7,235","2,028",613,699,365,594,620,752,288,282,515,479
2020,11,70,"5,948","1,643",440,507,285,492,541,536,256,283,565,400
2020,11,80,"3,692",917,291,312,216,346,319,324,150,179,416,222
2020,11,90,503,123,34,46,38,31,41,58,25,24,41,42
2020,11,100,40,12,6,1,1,1,0,4,3,1,2,9
2020,12,총,"44,464","13,517","3,694","3,726","1,852","3,378","6,152","4,098","1,556","1,387","2,886","2,218"
2020,12,0,"2,781","1,004",330,163,49,149,682,174,60,29,85,56
2020,12,10,"3,283","1,211",297,177,75,190,651,257,93,61,174,97
2020,12,20,"4,273","1,301",312,365,151,411,760,415,127,111,187,133
2020,12,30,"3,661","1,187",281,332,125,194,809,271,102,71,152,137
2020,12,40,"5,536","1,919",468,422,180,387,902,513,170,111,263,201
2020,12,50,"7,481","2,171",615,698,362,582,829,790,279,236,488,431
2020,12,60,"7,260","2,024",617,703,368,593,621,753,293,284,518,486
2020,12,70,"5,937","1,646",441,507,283,493,539,535,254,276,560,403
2020,12,80,"3,710",917,294,313,220,346,319,330,150,182,416,223
2020,12,90,502,125,33,45,38,32,40,56,25,25,41,42
2020,12,100,40,12,6,1,1,1,0,4,3,1,2,9
2021,1,총,"44,330","13,571","3,693","3,723","1,854","3,328","6,065","4,062","1,560","1,386","2,875","2,213"
2021,1,0,"2,734","1,006",321,167,49,150,647,167,60,29,84,54
2021,1,10,"3,269","1,216",297,174,73,188,640,251,93,60,175,102
2021,1,20,"4,221","1,302",310,364,152,361,768,399,130,117,185,133
2021,1,30,"3,614","1,184",281,331,127,190,765,273,106,73,152,132
2021,1,40,"5,510","1,926",469,415,179,385,898,505,165,111,259,198
2021,1,50,"7,461","2,175",617,701,357,581,823,783,280,226,486,432
2021,1,60,"7,301","2,048",623,706,376,599,622,752,292,285,515,483
2021,1,70,"5,917","1,649",436,502,278,489,537,534,256,274,559,403
2021,1,80,"3,755",924,299,317,222,353,326,337,151,185,417,224
2021,1,90,510,130,34,45,40,31,39,57,25,25,41,43
2021,1,100,38,11,6,1,1,1,0,4,2,1,2,9
2021,2,총,"44,432","13,617","3,725","3,720","1,855","3,289","6,091","4,092","1,554","1,395","2,885","2,209"
2021,2,0,"2,745","1,019",332,159,50,148,646,167,58,32,79,55
2021,2,10,"3,274","1,224",303,180,72,194,624,252,89,60,176,100
2021,2,20,"4,199","1,296",308,360,152,333,793,403,132,115,181,126
2021,2,30,"3,650","1,190",286,328,128,184,781,280,106,76,156,135
2021,2,40,"5,513","1,944",469,417,180,380,878,513,162,108,261,201
2021,2,50,"7,475","2,172",626,700,357,582,828,791,278,230,483,428
2021,2,60,"7,342","2,054",622,714,378,591,637,752,296,287,526,485
2021,2,70,"5,911","1,651",439,499,275,491,537,535,253,275,551,405
2021,2,80,"3,766",925,298,316,223,353,327,337,153,185,426,223
2021,2,90,519,131,36,46,39,32,40,58,25,26,44,42
2021,2,100,38,11,6,1,1,1,0,4,2,1,2,9
2021,3,총,"44,129","13,477","3,725","3,717","1,833","3,260","6,064","4,050","1,553","1,389","2,880","2,181"
2021,3,0,"2,711","1,008",329,159,48,147,634,165,59,32,78,52
2021,3,10,"3,248","1,215",302,177,71,190,618,253,89,58,174,101
2021,3,20,"4,166","1,297",309,363,150,310,796,393,132,109,184,123
2021,3,30,"3,592","1,163",286,331,120,178,776,276,103,72,154,133
2021,3,40,"5,469","1,925",468,415,181,381,865,510,164,108,255,197
2021,3,50,"7,428","2,149",621,693,353,585,829,784,277,233,485,419
2021,3,60,"7,355","2,037",620,720,377,596,652,744,299,291,531,488
2021,3,70,"5,865","1,628",448,498,272,491,528,531,251,271,545,402
2021,3,80,"3,759",924,299,312,224,347,328,339,153,188,425,220
2021,3,90,519,128,37,48,36,34,38,55,26,26,47,44
2021,3,100,17,3,6,1,1,1,0,0,0,1,2,2
2021,4,총,"44,078","13,461","3,691","3,730","1,830","3,234","6,107","4,035","1,544","1,390","2,872","2,184"
2021,4,0,"2,691",993,314,158,48,149,647,160,56,34,78,54
2021,4,10,"3,234","1,225",300,176,69,182,613,251,89,59,171,99
2021,4,20,"4,169","1,301",304,371,146,294,822,388,130,104,186,123
2021,4,30,"3,554","1,139",274,325,124,176,792,266,103,74,148,133
2021,4,40,"5,446","1,934",463,417,177,376,858,505,157,105,256,198
2021,4,50,"7,426","2,142",619,696,352,583,832,793,280,229,485,415
2021,4,60,"7,395","2,047",625,727,376,603,646,744,298,300,533,496
2021,4,70,"5,835","1,615",451,493,275,487,521,534,251,269,540,399
2021,4,80,"3,789",931,299,316,227,350,335,339,154,189,427,222
2021,4,90,523,131,38,50,35,33,40,55,26,26,46,43
2021,4,100,16,3,4,1,1,1,1,0,0,1,2,2
2021,5,총,"44,029","13,460","3,710","3,724","1,829","3,218","6,056","4,032","1,552","1,384","2,876","2,188"
2021,5,0,"2,653",984,315,154,50,146,629,157,55,32,77,54
2021,5,10,"3,215","1,227",297,173,68,173,604,253,92,57,173,98
2021,5,20,"4,135","1,291",304,371,142,296,807,387,128,102,183,124
2021,5,30,"3,535","1,132",270,324,125,174,782,269,103,77,146,133
2021,5,40,"5,403","1,924",468,411,177,366,855,493,154,100,260,195
2021,5,50,"7,455","2,151",628,699,347,583,831,799,283,230,486,418
2021,5,60,"7,435","2,049",633,736,379,609,649,743,302,302,535,498
2021,5,70,"5,833","1,620",449,490,275,483,525,540,252,268,538,393
2021,5,80,"3,824",945,304,316,230,354,337,334,157,188,430,229
2021,5,90,524,133,38,49,35,33,36,57,26,27,46,44
2021,5,100,17,4,4,1,1,1,1,0,0,1,2,2
2021,6,총,"43,915","13,450","3,680","3,723","1,819","3,201","6,037","4,023","1,543","1,383","2,869","2,187"
2021,6,0,"2,621",983,304,153,50,142,620,156,55,30,74,54
2021,6,10,"3,210","1,227",294,173,66,176,604,250,91,58,173,98
2021,6,20,"4,082","1,271",303,381,143,282,791,382,127,101,180,121
2021,6,30,"3,508","1,122",263,322,127,171,775,266,104,77,145,136
2021,6,40,"5,376","1,923",462,411,172,363,850,491,152,99,258,195
2021,6,50,"7,432","2,151",619,693,347,584,839,793,283,229,478,416
2021,6,60,"7,474","2,065",637,735,378,605,656,749,298,304,545,502
2021,6,70,"5,826","1,617",452,487,274,483,521,544,253,265,537,393
2021,6,80,"3,845",957,302,319,228,356,345,335,155,191,431,226
2021,6,90,523,130,39,48,33,38,35,57,25,28,46,44
2021,6,100,18,4,5,1,1,1,1,0,0,1,2,2
2021,7,총,"43,808","13,428","3,645","3,721","1,805","3,186","6,039","4,032","1,527","1,378","2,868","2,179"
2021,7,0,"2,587",977,292,152,50,138,617,155,49,30,72,55
2021,7,10,"3,183","1,222",292,166,67,174,593,254,91,56,172,96
2021,7,20,"4,068","1,256",300,380,136,279,814,382,124,98,179,120
2021,7,30,"3,498","1,123",253,319,125,172,771,272,105,78,146,134
2021,7,40,"5,355","1,919",459,412,176,361,844,485,151,96,255,197
2021,7,50,"7,406","2,160",606,683,340,577,843,797,280,228,477,415
2021,7,60,"7,505","2,067",644,746,375,606,660,749,296,310,549,503
2021,7,70,"5,818","1,613",456,490,272,481,518,548,251,261,536,392
2021,7,80,"3,849",954,300,322,231,361,343,335,155,192,433,223
2021,7,90,522,133,39,50,32,36,35,55,25,28,47,42
2021,7,100,17,4,4,1,1,1,1,0,0,1,2,2
2021,8,총,"43,715","13,408","3,637","3,720","1,807","3,165","5,955","4,037","1,550","1,381","2,860","2,195"
2021,8,0,"2,569",976,281,151,47,137,603,156,58,34,71,55
2021,8,10,"3,180","1,215",297,165,68,179,588,256,95,55,166,96
2021,8,20,"4,003","1,251",296,385,135,265,771,383,121,96,181,119
2021,8,30,"3,486","1,122",253,313,128,171,760,277,108,76,142,136
2021,8,40,"5,308","1,903",450,415,177,354,825,478,157,95,253,201
2021,8,50,"7,410","2,161",616,681,339,576,847,794,283,226,472,415
2021,8,60,"7,566","2,080",645,755,378,607,667,758,297,315,551,513
2021,8,70,"5,794","1,613",454,481,271,474,515,547,248,261,538,392
2021,8,80,"3,858",953,299,323,232,365,344,334,157,192,436,223
2021,8,90,524,130,42,50,31,36,34,54,26,30,48,43
2021,8,100,17,4,4,1,1,1,1,0,0,1,2,2
2021,9,총,"43,575","13,383","3,635","3,719","1,802","3,146","5,909","4,022","1,535","1,375","2,855","2,194"
2021,9,0,"2,542",965,279,152,46,134,589,157,56,38,69,57
2021,9,10,"3,170","1,213",300,162,67,175,587,256,95,53,165,97
2021,9,20,"3,924","1,237",284,379,130,254,759,374,118,95,181,113
2021,9,30,"3,454","1,107",256,308,126,172,749,278,106,74,141,137
2021,9,40,"5,268","1,898",448,407,178,348,818,473,153,94,249,202
2021,9,50,"7,426","2,173",621,699,340,575,845,789,283,225,471,405
2021,9,60,"7,596","2,086",649,756,377,609,669,758,299,310,560,523
2021,9,70,"5,772","1,613",451,480,274,474,511,543,242,263,530,391
2021,9,80,"3,873",952,301,326,233,366,346,339,156,191,439,224
2021,9,90,533,135,42,49,30,38,35,55,27,31,48,43
2021,9,100,17,4,4,1,1,1,1,0,0,1,2,2
2021,10,총,"43,553","13,395","3,643","3,715","1,807","3,126","5,921","4,012","1,526","1,383","2,837","2,188"
2021,10,0,"2,515",958,279,145,47,134,577,157,56,40,66,56
2021,10,10,"3,180","1,214",304,166,70,175,592,253,94,52,163,97
2021,10,20,"3,928","1,248",285,376,131,239,769,376,112,95,182,115
2021,10,30,"3,436","1,104",253,305,125,171,757,269,106,74,134,138
2021,10,40,"5,243","1,891",450,403,175,346,809,470,154,99,248,198
2021,10,50,"7,449","2,191",624,698,344,575,851,787,280,223,470,406
2021,10,60,"7,618","2,081",655,760,374,611,673,761,300,315,566,522
2021,10,70,"5,750","1,615",448,487,276,472,505,545,237,262,518,385
2021,10,80,"3,886",954,299,327,232,365,352,338,160,191,440,228
2021,10,90,530,135,42,47,32,37,35,55,27,31,48,41
2021,10,100,18,4,4,1,1,1,1,1,0,1,2,2
2021,11,총,"43,518","13,371","3,648","3,700","1,791","3,117","5,948","4,008","1,528","1,376","2,849","2,182"
2021,11,0,"2,495",952,281,136,47,132,575,158,52,40,66,56
2021,11,10,"3,168","1,217",303,166,68,174,592,248,94,51,161,94
2021,11,20,"3,936","1,247",284,373,123,236,789,379,114,91,186,114
2021,11,30,"3,418","1,089",252,305,120,172,761,261,105,76,140,137
2021,11,40,"5,245","1,903",452,399,176,342,804,479,152,96,247,195
2021,11,50,"7,443","2,186",625,699,342,569,855,787,279,225,468,408
2021,11,60,"7,635","2,082",658,756,373,616,677,762,308,316,567,520
2021,11,70,"5,731","1,606",447,493,275,474,502,538,236,258,517,385
2021,11,80,"3,898",953,301,324,232,365,355,340,161,190,446,231
2021,11,90,532,132,42,48,34,36,37,55,27,32,49,40
2021,11,100,17,4,3,1,1,1,1,1,0,1,2,2
2021,12,총,"43,365","13,334","3,639","3,699","1,785","3,112","5,902","3,990","1,531","1,384","2,814","2,175"
2021,12,0,"2,438",934,277,132,46,131,553,154,53,39,65,54
2021,12,10,"3,164","1,226",299,169,67,166,598,248,89,55,155,92
2021,12,20,"3,897","1,237",285,381,123,238,758,364,119,97,183,112
2021,12,30,"3,369","1,059",246,305,120,175,755,260,104,72,140,133
2021,12,40,"5,239","1,899",451,403,170,340,809,477,155,99,240,196
2021,12,50,"7,435","2,182",629,695,341,568,858,791,278,224,461,408
2021,12,60,"7,642","2,089",655,746,379,619,677,768,311,318,564,516
2021,12,70,"5,717","1,614",452,495,273,468,500,531,233,251,512,388
2021,12,80,"3,922",963,302,326,232,369,358,339,162,194,445,232
2021,12,90,528,127,40,47,33,37,35,57,27,34,47,44
2021,12,100,14,4,3,0,1,1,1,1,0,1,2,0
