년도,월,나이,광양시,광양읍,봉강면,옥룡면,옥곡면,진상면,진월면,다압면,골약동,중마동,광영동,금호동,태인동
2020,6,40,"24,196","8,086",223,288,272,228,274,170,177,"10,772","2,011","1,488",207
2020,6,50,"28,836","8,533",449,678,587,559,520,354,327,"10,619","2,857","2,941",412
2020,6,60,"16,183","5,629",383,591,567,577,569,396,297,"3,650","1,549","1,641",334
2020,6,70,"8,003","2,856",313,490,456,508,539,295,287,"1,219",538,294,208
2020,6,80,"4,605","1,539",226,339,303,366,327,209,208,564,261,118,145
2020,6,90,732,257,43,57,46,58,68,24,27,73,40,21,18
2020,6,100,22,10,1,2,1,1,2,1,1,3,0,0,0
2020,7,총,"151,662","49,112","2,174","3,088","2,832","2,868","2,823","1,812","1,679","58,418","12,523","12,502","1,831"
2020,7,0,"13,781","4,567",71,94,62,75,62,53,37,"6,777",991,933,59
2020,7,10,"16,185","5,214",143,138,118,127,96,94,63,"7,433","1,193","1,440",126
2020,7,20,"20,239","6,258",193,258,252,210,205,120,132,"8,378","1,744","2,286",203
2020,7,30,"18,895","6,157",138,165,176,167,171,101,130,"8,887","1,329","1,349",125
2020,7,40,"24,104","8,089",217,279,272,223,269,167,176,"10,724","2,009","1,471",208
2020,7,50,"28,812","8,501",443,670,579,559,514,353,321,"10,677","2,848","2,941",406
2020,7,60,"16,259","5,648",384,596,565,573,574,393,301,"3,677","1,565","1,650",333
2020,7,70,"8,027","2,878",312,489,453,511,534,296,287,"1,223",544,295,205
2020,7,80,"4,606","1,533",230,342,308,365,328,210,202,565,259,116,148
2020,7,90,732,257,42,55,46,57,68,24,29,74,41,21,18
2020,7,100,22,10,1,2,1,1,2,1,1,3,0,0,0
2020,8,총,"151,122","48,948","2,150","3,064","2,812","2,861","2,814","1,806","1,674","58,240","12,533","12,383","1,837"
2020,8,0,"13,681","4,548",69,92,58,74,63,50,39,"6,715",994,918,61
2020,8,10,"16,091","5,193",140,134,115,127,90,94,63,"7,402","1,192","1,416",125
2020,8,20,"20,072","6,221",187,252,252,210,206,115,127,"8,321","1,727","2,251",203
2020,8,30,"18,733","6,082",136,163,168,160,168,100,128,"8,834","1,333","1,330",131
2020,8,40,"23,941","8,053",211,271,264,227,264,165,175,"10,652","1,999","1,450",210
2020,8,50,"28,815","8,497",438,667,578,558,513,353,320,"10,709","2,858","2,921",403
2020,8,60,"16,385","5,675",381,598,569,576,574,398,304,"3,737","1,579","1,663",331
2020,8,70,"8,035","2,877",312,489,455,506,537,298,282,"1,220",553,298,208
2020,8,80,"4,617","1,536",232,345,306,365,329,208,206,572,257,114,147
2020,8,90,730,256,43,51,46,57,68,24,29,75,41,22,18
2020,8,100,22,10,1,2,1,1,2,1,1,3,0,0,0
2020,9,총,"150,848","48,879","2,147","3,049","2,815","2,848","2,796","1,800","1,672","58,153","12,536","12,326","1,827"
2020,9,0,"13,607","4,529",70,91,61,75,63,47,37,"6,683",988,905,58
2020,9,10,"16,048","5,160",137,132,113,123,86,92,64,"7,391","1,204","1,418",128
2020,9,20,"19,914","6,190",188,252,248,208,198,113,128,"8,257","1,718","2,214",200
2020,9,30,"18,636","6,048",140,161,173,160,166,101,129,"8,780","1,330","1,316",132
2020,9,40,"23,900","8,042",208,266,261,225,263,163,173,"10,657","1,995","1,439",208
2020,9,50,"28,811","8,483",436,662,572,550,510,351,315,"10,731","2,867","2,934",400
2020,9,60,"16,485","5,726",385,598,573,576,578,400,309,"3,766","1,585","1,661",328
2020,9,70,"8,066","2,884",312,488,459,507,536,297,280,"1,231",559,304,209
2020,9,80,"4,622","1,549",227,346,308,364,323,210,205,578,254,113,145
2020,9,90,736,258,43,51,46,58,71,25,31,76,36,22,19
2020,9,100,23,10,1,2,1,2,2,1,1,3,0,0,0
2020,10,총,"150,461","48,753","2,144","3,033","2,814","2,834","2,799","1,792","1,662","57,983","12,509","12,320","1,818"
2020,10,0,"13,500","4,497",69,87,60,72,67,44,36,"6,619",977,914,58
2020,10,10,"15,995","5,130",136,137,112,123,84,95,65,"7,375","1,196","1,412",130
2020,10,20,"19,819","6,172",191,251,249,203,193,111,124,"8,240","1,702","2,187",196
2020,10,30,"18,501","5,999",138,155,170,159,163,100,131,"8,686","1,340","1,332",128
2020,10,40,"23,781","8,017",206,263,259,223,264,162,168,"10,619","1,976","1,420",204
2020,10,50,"28,778","8,460",435,659,569,545,508,346,311,"10,747","2,860","2,938",400
2020,10,60,"16,601","5,760",386,600,577,577,587,401,308,"3,799","1,601","1,674",331
2020,10,70,"8,091","2,884",312,486,463,507,534,295,283,"1,242",568,309,208
2020,10,80,"4,638","1,565",228,342,309,361,327,212,206,577,254,112,145
2020,10,90,735,259,42,51,45,62,70,25,30,76,35,22,18
2020,10,100,22,10,1,2,1,2,2,1,0,3,0,0,0
2020,11,총,"150,680","48,806","2,160","3,056","2,832","2,836","2,792","1,806","1,647","58,058","12,551","12,318","1,818"
2020,11,0,"13,401","4,453",71,87,63,67,67,43,34,"6,566",976,915,59
2020,11,10,"16,005","5,122",138,142,115,124,84,92,68,"7,362","1,218","1,409",131
2020,11,20,"19,904","6,186",193,253,258,207,188,119,124,"8,291","1,705","2,187",193
2020,11,30,"18,458","5,969",140,156,169,158,158,104,128,"8,671","1,338","1,333",134
2020,11,40,"23,734","8,037",210,262,256,220,261,157,166,"10,589","1,977","1,398",201
2020,11,50,"28,882","8,485",437,660,570,546,505,348,314,"10,821","2,856","2,943",397
2020,11,60,"16,755","5,805",387,610,586,582,594,407,304,"3,848","1,623","1,681",328
2020,11,70,"8,137","2,910",312,485,458,512,535,297,274,"1,248",572,321,213
2020,11,80,"4,649","1,571",228,346,313,357,328,211,207,583,252,110,143
2020,11,90,731,257,43,53,43,60,70,27,28,76,34,21,19
2020,11,100,24,11,1,2,1,3,2,1,0,3,0,0,0
2020,12,총,"151,769","49,131","2,212","3,126","2,877","2,867","2,831","1,840","1,648","58,469","12,593","12,344","1,831"
2020,12,0,"13,388","4,477",70,90,61,67,72,41,32,"6,529",979,915,55
2020,12,10,"16,046","5,159",136,144,115,135,85,92,65,"7,394","1,210","1,383",128
2020,12,20,"20,204","6,248",214,273,269,216,196,125,129,"8,408","1,723","2,200",203
2020,12,30,"18,537","5,972",148,163,172,156,166,108,129,"8,707","1,342","1,338",136
2020,12,40,"23,894","8,085",217,273,267,224,268,167,164,"10,646","1,978","1,403",202
2020,12,50,"29,079","8,508",445,675,578,553,507,348,318,"10,916","2,871","2,959",401
2020,12,60,"17,003","5,898",398,618,597,586,598,421,307,"3,925","1,634","1,689",332
2020,12,70,"8,161","2,927",312,485,459,504,533,297,272,"1,266",567,326,213
2020,12,80,"4,688","1,589",226,349,313,361,333,212,203,596,254,111,141
2020,12,90,745,257,45,54,45,62,71,28,29,79,35,20,20
2020,12,100,24,11,1,2,1,3,2,1,0,3,0,0,0
2021,1,총,"151,045","48,834","2,178","3,100","2,863","2,856","2,826","1,807","1,628","58,296","12,570","12,280","1,807"
2021,1,0,"13,251","4,421",65,87,60,67,75,40,35,"6,465",970,912,54
2021,1,10,"15,965","5,118",133,138,113,138,82,91,66,"7,392","1,220","1,346",128
2021,1,20,"19,965","6,153",210,267,272,213,197,117,121,"8,358","1,680","2,186",191
2021,1,30,"18,377","5,923",141,155,165,161,162,103,125,"8,635","1,332","1,338",137
2021,1,40,"23,761","8,023",208,272,262,216,262,164,162,"10,618","1,986","1,387",201
2021,1,50,"28,994","8,475",435,666,567,555,505,341,313,"10,946","2,859","2,941",391
2021,1,60,"17,079","5,931",403,618,606,573,599,413,301,"3,935","1,660","1,706",334
2021,1,70,"8,195","2,939",312,486,461,507,535,300,273,"1,269",569,331,213
2021,1,80,"4,686","1,581",225,355,309,363,335,208,201,596,260,114,139
2021,1,90,748,260,45,54,47,60,72,29,31,78,34,19,19
2021,1,100,24,10,1,2,1,3,2,1,0,4,0,0,0
2021,2,총,"151,016","48,851","2,195","3,096","3,312","2,857","2,832","1,788","1,592","58,085","12,367","12,246","1,795"
2021,2,0,"13,160","4,395",68,82,123,65,79,38,29,"6,386",941,900,54
2021,2,10,"15,849","5,084",129,143,168,136,81,89,56,"7,336","1,175","1,326",126
2021,2,20,"19,950","6,142",215,262,347,208,197,112,123,"8,325","1,659","2,174",186
2021,2,30,"18,315","5,913",146,153,247,167,164,100,120,"8,554","1,294","1,323",134
2021,2,40,"23,698","8,009",208,269,341,218,266,158,157,"10,542","1,945","1,388",197
2021,2,50,"29,128","8,510",438,667,648,552,499,338,305,"11,012","2,830","2,941",388
2021,2,60,"17,196","5,979",407,619,618,570,602,413,300,"3,971","1,659","1,718",340
2021,2,70,"8,230","2,958",309,488,461,511,533,299,270,"1,280",570,338,213
2021,2,80,"4,699","1,583",228,355,308,366,336,210,199,596,262,118,138
2021,2,90,766,268,46,56,50,60,73,30,33,79,32,20,19
2021,2,100,25,10,1,2,1,4,2,1,0,4,0,0,0
2021,3,총,"150,779","48,678","2,179","3,077","4,408","2,830","2,802","1,785","1,588","57,639","12,001","12,002","1,790"
2021,3,0,"13,109","4,356",66,80,218,62,77,36,30,"6,364",896,871,53
2021,3,10,"15,784","5,084",128,140,257,128,78,90,55,"7,273","1,145","1,275",131
2021,3,20,"19,947","6,122",213,262,540,204,196,112,124,"8,242","1,597","2,149",186
2021,3,30,"18,240","5,864",141,148,417,167,159,98,117,"8,449","1,239","1,312",129
2021,3,40,"23,558","7,963",205,270,502,214,254,157,156,"10,430","1,871","1,341",195
2021,3,50,"29,132","8,487",435,657,929,543,499,335,299,"10,941","2,751","2,865",391
2021,3,60,"17,288","5,985",408,618,706,575,592,416,305,"3,999","1,642","1,703",339
2021,3,70,"8,239","2,967",305,486,473,509,536,300,270,"1,266",571,349,207
2021,3,80,"4,697","1,577",231,359,316,363,337,209,196,599,256,115,139
2021,3,90,770,268,46,56,50,63,71,31,36,75,33,21,20
2021,3,100,15,5,1,1,0,2,3,1,0,1,0,1,0
2021,4,총,"150,701","48,566","2,181","3,058","4,810","2,832","2,795","1,799","1,580","57,455","11,925","11,929","1,771"
2021,4,0,"13,049","4,327",66,77,247,64,74,40,30,"6,329",886,856,53
2021,4,10,"15,800","5,081",129,136,277,126,82,88,54,"7,247","1,143","1,308",129
2021,4,20,"19,885","6,068",209,259,609,205,193,117,125,"8,204","1,586","2,128",182
2021,4,30,"18,179","5,831",140,148,473,166,154,96,114,"8,403","1,231","1,296",127
2021,4,40,"23,507","7,927",207,269,536,213,253,160,158,"10,406","1,853","1,332",193
2021,4,50,"29,108","8,472",438,643,"1,066",541,489,335,293,"10,906","2,719","2,820",386
2021,4,60,"17,417","6,034",409,621,752,577,598,418,303,"4,023","1,646","1,698",338
2021,4,70,"8,251","2,970",303,487,479,512,536,302,270,"1,262",576,352,202
2021,4,80,"4,707","1,580",231,358,318,363,342,211,196,600,252,114,142
2021,4,90,781,271,48,58,53,63,71,31,37,74,33,23,19
2021,4,100,17,5,1,2,0,2,3,1,0,1,0,2,0
2021,5,총,"150,660","48,582","2,172","3,074","4,916","2,822","2,797","1,789","1,566","57,423","11,919","11,843","1,757"
2021,5,0,"13,022","4,325",67,80,251,65,78,41,30,"6,305",883,844,53
2021,5,10,"15,770","5,082",128,134,277,127,78,87,53,"7,237","1,143","1,297",127
2021,5,20,"19,830","6,071",204,260,632,198,192,117,122,"8,199","1,566","2,090",179
2021,5,30,"18,163","5,807",141,152,479,165,156,93,113,"8,405","1,233","1,294",125
2021,5,40,"23,366","7,879",207,272,546,208,251,158,155,"10,337","1,841","1,321",191
2021,5,50,"29,157","8,475",435,637,"1,112",537,490,329,285,"10,956","2,723","2,800",378
2021,5,60,"17,575","6,093",412,633,764,581,599,426,303,"4,047","1,666","1,710",341
2021,5,70,"8,253","2,975",301,480,482,512,537,301,269,"1,259",578,356,203
2021,5,80,"4,707","1,594",228,363,318,365,337,206,199,599,250,108,140
2021,5,90,800,276,48,61,55,62,76,29,37,78,36,22,20
2021,5,100,17,5,1,2,0,2,3,2,0,1,0,1,0
2021,6,총,"150,591","48,527","2,166","3,068","4,964","2,815","2,792","1,776","1,554","57,510","11,897","11,777","1,745"
2021,6,0,"12,969","4,307",68,77,250,65,78,38,29,"6,294",875,835,53
2021,6,10,"15,776","5,071",128,135,276,126,79,88,53,"7,275","1,143","1,278",124
2021,6,20,"19,755","6,051",199,254,635,194,192,112,120,"8,166","1,557","2,096",179
2021,6,30,"18,099","5,765",142,152,491,162,153,94,109,"8,411","1,223","1,276",121
2021,6,40,"23,301","7,861",204,268,543,202,249,156,155,"10,328","1,834","1,314",187
2021,6,50,"29,170","8,486",428,628,"1,140",541,485,324,281,"10,980","2,728","2,774",375
2021,6,60,"17,711","6,113",417,642,771,580,603,429,303,"4,121","1,676","1,715",341
2021,6,70,"8,272","2,990",300,484,484,516,534,296,270,"1,264",572,357,205
2021,6,80,"4,712","1,599",231,364,320,364,339,206,194,592,253,110,140
2021,6,90,808,279,48,62,54,63,77,30,40,78,36,21,20
2021,6,100,18,5,1,2,0,2,3,3,0,1,0,1,0
2021,7,총,"150,699","48,553","2,173","3,074","4,992","2,820","2,799","1,780","1,560","57,595","11,880","11,736","1,737"
2021,7,0,"12,934","4,294",71,75,261,64,78,39,29,"6,281",872,816,54
2021,7,10,"15,752","5,077",130,137,277,125,82,86,52,"7,269","1,132","1,265",120
2021,7,20,"19,738","6,031",197,256,631,194,189,120,121,"8,185","1,540","2,094",180
2021,7,30,"18,106","5,771",140,146,499,165,154,94,110,"8,408","1,228","1,270",121
2021,7,40,"23,258","7,832",204,272,542,203,248,153,158,"10,335","1,827","1,300",184
2021,7,50,"29,187","8,496",429,628,"1,135",538,488,322,277,"11,019","2,718","2,765",372
2021,7,60,"17,865","6,149",418,646,789,587,606,433,304,"4,166","1,694","1,732",341
2021,7,70,"8,296","3,012",301,485,481,512,534,293,271,"1,264",576,363,204
2021,7,80,"4,733","1,602",235,364,324,365,343,209,197,587,257,110,140
2021,7,90,812,285,47,63,53,65,74,28,40,80,36,20,21
2021,7,100,18,4,1,2,0,2,3,3,1,1,0,1,0
2021,8,총,"150,643","48,522","2,186","3,072","5,016","2,799","2,786","1,786","1,533","57,617","11,868","11,730","1,728"
2021,8,0,"12,863","4,264",72,74,265,63,76,41,29,"6,250",865,810,54
2021,8,10,"15,764","5,089",134,136,278,123,79,86,50,"7,279","1,126","1,267",117
2021,8,20,"19,689","6,027",194,255,627,189,191,122,122,"8,161","1,536","2,085",180
2021,8,30,"18,036","5,733",145,150,504,161,147,92,109,"8,376","1,233","1,267",119
2021,8,40,"23,205","7,807",202,267,542,201,247,153,150,"10,345","1,805","1,306",180
2021,8,50,"29,237","8,510",433,622,"1,144",534,485,327,274,"11,062","2,718","2,760",368
2021,8,60,"17,964","6,175",422,653,793,584,605,436,299,"4,204","1,711","1,737",345
2021,8,70,"8,297","3,012",299,483,487,506,532,289,263,"1,269",581,370,206
2021,8,80,"4,755","1,616",236,364,328,370,347,210,196,589,254,108,137
2021,8,90,813,285,48,65,48,66,74,26,40,81,39,19,22
2021,8,100,20,4,1,3,0,2,3,4,1,1,0,1,0
2021,9,총,"150,121","48,284","2,154","3,079","5,004","2,794","2,781","1,776","1,510","57,492","11,817","11,691","1,739"
2021,9,0,"12,780","4,225",68,73,266,64,75,41,26,"6,213",867,807,55
2021,9,10,"15,712","5,073",130,139,276,121,80,87,50,"7,268","1,112","1,260",116
2021,9,20,"19,400","5,924",184,254,610,184,185,120,118,"8,077","1,503","2,058",183
2021,9,30,"17,961","5,707",143,152,509,160,145,89,104,"8,337","1,227","1,265",123
2021,9,40,"23,067","7,749",195,266,531,203,243,153,146,"10,309","1,788","1,305",179
2021,9,50,"29,254","8,491",431,619,"1,151",535,486,326,272,"11,102","2,717","2,754",370
2021,9,60,"18,021","6,176",424,660,795,580,603,430,297,"4,244","1,730","1,737",345
2021,9,70,"8,315","3,010",295,482,491,504,543,287,262,"1,276",580,375,210
2021,9,80,"4,766","1,634",234,366,327,373,345,214,192,582,252,110,137
2021,9,90,824,291,49,65,48,68,73,25,42,82,40,20,21
2021,9,100,21,4,1,3,0,2,3,4,1,2,1,0,0
2021,10,총,"150,154","48,404","2,145","3,059","4,988","2,769","2,765","1,768","1,674","57,361","11,805","11,680","1,736"
2021,10,0,"12,689","4,202",68,72,256,56,72,39,56,"6,140",860,812,56
2021,10,10,"15,668","5,064",127,134,269,115,80,86,68,"7,250","1,105","1,257",113
2021,10,20,"19,364","5,940",179,245,607,181,187,118,142,"8,049","1,495","2,036",185
2021,10,30,"17,977","5,725",142,151,502,156,144,87,160,"8,299","1,222","1,268",121
2021,10,40,"23,040","7,741",191,259,530,202,240,151,172,"10,279","1,785","1,310",180
2021,10,50,"29,308","8,529",430,617,"1,155",535,476,324,273,"11,143","2,709","2,748",369
2021,10,60,"18,123","6,228",427,659,799,576,605,429,301,"4,259","1,749","1,745",346
2021,10,70,"8,346","3,034",296,486,489,503,537,287,265,"1,276",588,375,210
2021,10,80,"4,785","1,643",233,367,331,375,346,217,194,583,251,109,136
2021,10,90,832,294,51,67,50,68,75,26,41,80,40,20,20
2021,10,100,22,4,1,2,0,2,3,4,2,3,1,0,0
2021,11,총,"150,493","48,377","2,140","3,042","4,967","2,759","2,746","1,757","3,095","56,617","11,743","11,534","1,716"
2021,11,0,"12,667","4,150",63,69,257,55,69,38,395,"5,894",835,792,50
2021,11,10,"15,701","5,066",127,130,266,122,78,84,161,"7,208","1,097","1,251",111
2021,11,20,"19,367","5,930",176,244,601,176,184,117,311,"7,969","1,476","1,999",184
2021,11,30,"18,033","5,667",140,151,498,156,140,86,665,"7,992","1,201","1,218",119
2021,11,40,"23,123","7,771",188,248,533,199,239,146,337,"10,205","1,785","1,296",176
2021,11,50,"29,381","8,559",437,618,"1,147",532,469,320,386,"11,120","2,711","2,720",362
2021,11,60,"18,210","6,252",429,661,800,562,606,430,332,"4,280","1,759","1,755",344
2021,11,70,"8,370","3,040",295,483,491,512,542,287,271,"1,281",585,373,210
2021,11,80,"4,781","1,640",232,369,324,374,341,219,194,584,252,112,140
2021,11,90,839,299,52,67,50,69,75,26,41,81,41,18,20
2021,11,100,21,3,1,2,0,2,3,4,2,3,1,0,0
2021,12,총,"150,531","48,325","2,147","3,034","4,979","2,736","2,747","1,755","3,732","56,257","11,717","11,398","1,704"
2021,12,0,"12,656","4,120",63,68,264,53,71,38,537,"5,794",819,779,50
2021,12,10,"15,648","5,060",129,131,268,114,80,85,218,"7,141","1,097","1,218",107
2021,12,20,"19,258","5,893",172,245,605,175,185,112,380,"7,886","1,465","1,961",179
2021,12,30,"18,061","5,637",143,143,497,155,139,87,824,"7,912","1,194","1,208",122
2021,12,40,"23,102","7,737",189,244,533,193,239,146,446,"10,157","1,768","1,280",170
2021,12,50,"29,443","8,584",440,619,"1,145",527,468,319,461,"11,109","2,719","2,691",361
2021,12,60,"18,319","6,301",428,662,802,561,602,432,354,"4,302","1,771","1,757",347
2021,12,70,"8,388","3,044",299,479,494,506,548,288,271,"1,291",589,374,205
2021,12,80,"4,789","1,642",231,370,321,381,338,218,199,581,252,113,143
2021,12,90,849,304,53,71,50,69,75,27,40,81,42,17,20
2021,12,100,18,3,0,2,0,2,2,3,2,3,1,0,0
