년도,월,나이,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020,6,30,"1,116",556,237,53,53,86,46,46,39
2020,6,40,"1,885",804,420,114,111,177,99,80,80
2020,6,50,"3,071","1,073",537,296,219,361,219,172,194
2020,6,60,"3,181",870,495,337,278,392,318,246,245
2020,6,70,"1,744",415,321,189,199,247,149,116,108
2020,6,80,744,172,137,92,67,106,67,52,51
2020,6,90,67,13,10,11,5,7,8,7,6
2020,6,100,8,2,1,2,0,1,1,0,1
2020,7,총,"14,857","5,371","2,818","1,236","1,138","1,608","1,048",777,861
2020,7,0,638,337,142,31,38,40,24,10,16
2020,7,10,"1,087",496,224,55,99,100,52,14,47
2020,7,20,"1,332",636,307,59,61,93,67,43,66
2020,7,30,"1,107",556,230,54,54,85,45,42,41
2020,7,40,"1,868",802,417,111,112,172,96,78,80
2020,7,50,"3,077","1,072",539,295,222,365,219,173,192
2020,7,60,"3,182",868,494,334,280,390,321,242,253
2020,7,70,"1,752",419,319,191,199,249,149,118,108
2020,7,80,739,171,135,93,68,106,65,50,51
2020,7,90,67,12,10,11,5,7,9,7,6
2020,7,100,8,2,1,2,0,1,1,0,1
2020,8,총,"14,832","5,345","2,818","1,236","1,138","1,604","1,051",779,861
2020,8,0,633,332,141,30,41,39,24,10,16
2020,8,10,"1,083",491,225,56,98,101,51,14,47
2020,8,20,"1,331",637,305,60,61,94,67,43,64
2020,8,30,"1,093",546,232,52,51,85,44,42,41
2020,8,40,"1,858",796,409,110,113,171,96,80,83
2020,8,50,"3,085","1,076",542,295,222,366,221,171,192
2020,8,60,"3,192",866,497,340,281,387,324,244,253
2020,8,70,"1,749",418,322,190,197,248,149,117,108
2020,8,80,732,169,134,89,69,105,65,51,50
2020,8,90,68,12,10,12,5,7,9,7,6
2020,8,100,8,2,1,2,0,1,1,0,1
2020,9,총,"14,827","5,340","2,824","1,235","1,139","1,603","1,046",778,862
2020,9,0,629,326,141,30,41,40,24,10,17
2020,9,10,"1,093",495,224,58,98,101,51,14,52
2020,9,20,"1,312",630,300,58,59,95,66,41,63
2020,9,30,"1,082",545,230,50,50,85,43,39,40
2020,9,40,"1,845",793,405,107,116,167,94,81,82
2020,9,50,"3,100","1,075",555,298,221,368,219,172,192
2020,9,60,"3,209",873,499,342,283,387,326,246,253
2020,9,70,"1,746",419,322,189,196,248,148,118,106
2020,9,80,733,170,137,88,70,104,65,50,49
2020,9,90,70,12,10,13,5,7,9,7,7
2020,9,100,8,2,1,2,0,1,1,0,1
2020,10,총,"14,833","5,338","2,822","1,235","1,142","1,601","1,046",783,866
2020,10,0,622,323,138,29,40,38,24,11,19
2020,10,10,"1,083",489,223,58,97,102,50,14,50
2020,10,20,"1,317",628,297,56,65,94,68,44,65
2020,10,30,"1,081",543,234,51,47,79,45,40,42
2020,10,40,"1,841",797,402,106,116,170,90,80,80
2020,10,50,"3,097","1,077",557,298,217,366,217,173,192
2020,10,60,"3,228",873,502,342,289,391,328,248,255
2020,10,70,"1,749",423,321,192,195,248,147,116,107
2020,10,80,736,171,137,89,70,105,67,50,47
2020,10,90,71,12,10,12,6,7,9,7,8
2020,10,100,8,2,1,2,0,1,1,0,1
2020,11,총,"14,818","5,340","2,819","1,239","1,140","1,587","1,048",780,865
2020,11,0,620,322,138,29,40,37,24,11,19
2020,11,10,"1,078",487,224,57,96,100,50,14,50
2020,11,20,"1,323",639,294,57,63,92,68,44,66
2020,11,30,"1,078",543,235,52,47,78,43,39,41
2020,11,40,"1,835",790,402,106,115,169,91,80,82
2020,11,50,"3,075","1,072",549,298,218,364,214,168,192
2020,11,60,"3,244",880,506,343,290,390,333,252,250
2020,11,70,"1,752",423,325,194,195,244,147,116,108
2020,11,80,732,170,134,89,70,105,68,49,47
2020,11,90,72,12,11,11,6,7,9,7,9
2020,11,100,9,2,1,3,0,1,1,0,1
2020,12,총,"14,782","5,321","2,813","1,245","1,129","1,583","1,049",779,863
2020,12,0,627,325,142,27,39,38,24,11,21
2020,12,10,"1,066",480,224,58,94,97,50,14,49
2020,12,20,"1,325",636,296,60,63,95,68,43,64
2020,12,30,"1,074",544,231,51,46,77,43,41,41
2020,12,40,"1,828",789,399,106,113,167,92,81,81
2020,12,50,"3,036","1,058",540,299,215,357,213,164,190
2020,12,60,"3,259",881,512,346,284,396,332,253,255
2020,12,70,"1,737",415,319,194,200,239,148,115,107
2020,12,80,747,179,137,90,69,108,69,50,45
2020,12,90,74,12,12,11,6,8,9,7,9
2020,12,100,9,2,1,3,0,1,1,0,1
2021,1,총,"14,726","5,304","2,793","1,241","1,121","1,581","1,055",774,857
2021,1,0,619,324,138,27,38,38,24,11,19
2021,1,10,"1,051",474,227,58,89,96,50,14,43
2021,1,20,"1,297",627,283,57,61,95,68,41,65
2021,1,30,"1,075",546,226,52,47,77,43,42,42
2021,1,40,"1,814",783,397,103,110,166,93,81,81
2021,1,50,"3,004","1,041",537,299,216,353,214,157,187
2021,1,60,"3,286",897,512,348,284,401,334,255,255
2021,1,70,"1,745",418,323,192,200,239,150,114,109
2021,1,80,752,181,137,91,70,106,69,52,46
2021,1,90,74,11,12,11,6,9,9,7,9
2021,1,100,9,2,1,3,0,1,1,0,1
2021,2,총,"14,678","5,282","2,780","1,244","1,118","1,571","1,054",779,850
2021,2,0,614,322,138,27,38,36,24,11,18
2021,2,10,"1,040",472,222,58,92,95,48,15,38
2021,2,20,"1,281",619,279,57,61,93,66,40,66
2021,2,30,"1,044",530,220,49,44,72,44,43,42
2021,2,40,"1,814",782,395,108,110,166,91,82,80
2021,2,50,"2,979","1,036",533,296,211,345,213,160,185
2021,2,60,"3,323",905,520,353,287,409,337,257,255
2021,2,70,"1,750",423,324,190,198,241,151,113,110
2021,2,80,749,178,138,91,71,104,70,51,46
2021,2,90,75,13,10,12,6,9,9,7,9
2021,2,100,9,2,1,3,0,1,1,0,1
2021,3,총,"14,613","5,267","2,773","1,233","1,109","1,561","1,045",781,844
2021,3,0,607,320,136,27,37,35,23,11,18
2021,3,10,"1,032",467,224,57,89,95,48,14,38
2021,3,20,"1,264",613,276,57,61,89,65,39,64
2021,3,30,"1,028",523,220,49,42,68,40,43,43
2021,3,40,"1,787",777,392,105,105,161,90,80,77
2021,3,50,"2,963","1,036",525,291,212,342,213,162,182
2021,3,60,"3,348",916,526,353,287,412,337,259,258
2021,3,70,"1,746",422,324,188,198,239,150,115,110
2021,3,80,756,176,139,92,72,110,70,51,46
2021,3,90,75,15,10,12,6,9,9,7,7
2021,3,100,7,2,1,2,0,1,0,0,1
2021,4,총,"14,571","5,242","2,767","1,230","1,111","1,560","1,042",773,846
2021,4,0,598,316,135,26,36,35,22,11,17
2021,4,10,"1,024",461,226,55,90,94,47,14,37
2021,4,20,"1,256",612,270,59,59,88,66,38,64
2021,4,30,"1,026",522,222,49,43,68,39,43,40
2021,4,40,"1,773",764,389,109,107,160,87,78,79
2021,4,50,"2,932","1,026",527,282,211,336,211,158,181
2021,4,60,"3,376",922,528,354,292,420,337,260,263
2021,4,70,"1,743",423,321,190,196,237,152,114,110
2021,4,80,759,178,137,92,71,112,72,50,47
2021,4,90,77,16,11,12,6,9,9,7,7
2021,4,100,7,2,1,2,0,1,0,0,1
2021,5,총,"14,562","5,246","2,766","1,232","1,104","1,554","1,044",772,844
2021,5,0,599,324,133,26,33,35,22,9,17
2021,5,10,"1,020",460,226,56,88,93,46,14,37
2021,5,20,"1,247",611,270,57,57,86,63,38,65
2021,5,30,"1,027",517,227,51,42,69,39,43,39
2021,5,40,"1,761",764,385,110,107,156,88,75,76
2021,5,50,"2,914","1,025",526,280,208,329,210,157,179
2021,5,60,"3,405",925,533,354,297,428,341,263,264
2021,5,70,"1,739",424,317,191,194,236,152,115,110
2021,5,80,768,178,138,93,72,113,74,51,49
2021,5,90,75,16,10,12,6,8,9,7,7
2021,5,100,7,2,1,2,0,1,0,0,1
2021,6,총,"14,495","5,215","2,767","1,231","1,101","1,547","1,042",763,829
2021,6,0,599,323,136,25,32,35,22,9,17
2021,6,10,"1,021",459,226,56,89,94,46,14,37
2021,6,20,"1,224",601,266,58,55,85,62,35,62
2021,6,30,"1,022",516,228,49,44,68,37,43,37
2021,6,40,"1,733",753,379,109,104,153,89,73,73
2021,6,50,"2,908","1,021",532,278,206,327,213,157,174
2021,6,60,"3,425",929,534,361,304,433,339,259,266
2021,6,70,"1,721",421,317,191,185,235,150,116,106
2021,6,80,764,177,138,90,75,109,75,51,49
2021,6,90,74,15,10,12,7,8,9,6,7
2021,6,100,4,0,1,2,0,0,0,0,1
2021,7,총,"14,475","5,205","2,760","1,232","1,101","1,545","1,034",769,829
2021,7,0,598,320,136,26,32,34,25,9,16
2021,7,10,"1,019",464,224,54,88,94,43,14,38
2021,7,20,"1,219",594,268,60,58,86,60,32,61
2021,7,30,"1,011",515,222,48,42,65,37,44,38
2021,7,40,"1,726",745,381,108,106,155,85,74,72
2021,7,50,"2,894","1,023",528,275,204,327,208,156,173
2021,7,60,"3,453",931,538,371,305,432,342,266,268
2021,7,70,"1,709",422,315,185,183,233,149,115,107
2021,7,80,769,175,137,94,76,110,76,53,48
2021,7,90,74,16,10,10,7,9,9,6,7
2021,7,100,3,0,1,1,0,0,0,0,1
2021,8,총,"14,447","5,196","2,757","1,227","1,099","1,539","1,029",777,823
2021,8,0,592,315,136,26,31,33,24,9,18
2021,8,10,"1,017",468,222,54,85,96,42,12,38
2021,8,20,"1,213",590,269,61,58,86,60,32,57
2021,8,30,"1,003",511,219,48,40,64,35,49,37
2021,8,40,"1,720",745,380,107,105,152,82,76,73
2021,8,50,"2,891","1,023",527,274,205,327,207,157,171
2021,8,60,"3,454",932,538,368,309,428,344,267,268
2021,8,70,"1,700",417,315,183,180,233,150,115,107
2021,8,80,781,180,139,95,79,111,76,54,47
2021,8,90,73,15,11,10,7,9,9,6,6
2021,8,100,3,0,1,1,0,0,0,0,1
2021,9,총,"14,416","5,182","2,746","1,232","1,108","1,526","1,028",777,817
2021,9,0,584,309,134,27,32,32,24,9,17
2021,9,10,"1,014",465,224,55,84,96,41,12,37
2021,9,20,"1,196",584,263,64,59,81,60,30,55
2021,9,30,"1,004",518,217,46,41,63,33,50,36
2021,9,40,"1,717",746,381,104,104,152,84,74,72
2021,9,50,"2,870","1,013",527,273,208,324,203,155,167
2021,9,60,"3,471",931,536,370,313,429,349,271,272
2021,9,70,"1,702",420,314,187,181,230,148,116,106
2021,9,80,783,181,138,95,79,110,78,54,48
2021,9,90,72,15,11,10,7,9,8,6,6
2021,9,100,3,0,1,1,0,0,0,0,1
2021,10,총,"14,397","5,180","2,732","1,232","1,111","1,527","1,021",769,825
2021,10,0,578,303,134,29,30,32,24,8,18
2021,10,10,"1,014",465,221,53,84,94,41,13,43
2021,10,20,"1,202",596,259,63,61,83,57,29,54
2021,10,30,999,514,221,46,41,59,32,49,37
2021,10,40,"1,699",740,370,104,105,151,86,73,70
2021,10,50,"2,866","1,013",527,269,206,329,201,152,169
2021,10,60,"3,486",935,537,375,318,430,348,269,274
2021,10,70,"1,683",415,311,186,177,229,143,116,106
2021,10,80,794,183,140,96,82,111,82,53,47
2021,10,90,73,16,11,10,7,9,7,7,6
2021,10,100,3,0,1,1,0,0,0,0,1
2021,11,총,"14,377","5,169","2,714","1,232","1,105","1,532","1,022",776,827
2021,11,0,571,301,131,29,29,32,23,8,18
2021,11,10,"1,009",466,222,50,82,94,40,13,42
2021,11,20,"1,191",585,259,64,62,82,56,29,54
2021,11,30,984,506,214,46,40,60,32,50,36
2021,11,40,"1,694",744,368,104,102,149,87,71,69
2021,11,50,"2,865","1,011",530,270,204,326,199,154,171
2021,11,60,"3,518",944,535,375,321,441,352,272,278
2021,11,70,"1,673",411,306,187,177,227,142,117,106
2021,11,80,796,184,139,96,81,112,84,54,46
2021,11,90,73,17,9,10,7,9,7,8,6
2021,11,100,3,0,1,1,0,0,0,0,1
2021,12,총,"14,360","5,163","2,707","1,225","1,105","1,531","1,023",781,825
2021,12,0,569,298,131,29,29,32,22,9,19
2021,12,10,999,468,221,49,79,91,39,13,39
2021,12,20,"1,183",577,257,63,64,82,56,29,55
2021,12,30,976,496,216,46,40,61,31,48,38
2021,12,40,"1,683",743,367,102,102,142,88,71,68
2021,12,50,"2,853","1,012",524,267,206,326,194,155,169
2021,12,60,"3,537",951,534,371,319,448,358,278,278
2021,12,70,"1,691",414,309,194,179,227,145,116,107
2021,12,80,794,186,139,93,80,112,84,53,47
2021,12,90,73,18,9,10,7,10,6,9,4
2021,12,100,2,0,0,1,0,0,0,0,1
