년도,월,나이,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020,4,90,391,22,20,37,17,12,28,17,13,23,10,12,14,17,15,8,17,18,11,43,19,18
2020,4,100,67,1,3,4,6,2,7,6,1,2,0,1,4,1,5,1,6,1,3,5,5,3
2020,5,총,"250,628","12,165","7,761","14,795","14,393","8,607","16,370","16,890","7,491","13,027","8,975","11,921","9,267","13,083","11,470","11,294","7,904","8,923","14,295","12,379","15,553","14,065"
2020,5,0,"12,260",668,727,"1,127",635,409,617,"1,223",257,652,571,390,319,448,457,199,639,372,386,523,946,695
2020,5,10,"15,388",800,620,"1,607",728,426,854,"1,342",327,873,399,493,462,597,685,256,770,440,532,884,"1,208","1,085"
2020,5,20,"53,275","2,251","1,025","1,954","3,375","2,635","4,739","2,685","1,899","2,749","1,762","3,306","2,225","3,214","2,666","4,021",899,"1,816","3,777","1,659","2,452","2,166"
2020,5,30,"48,579","2,267","1,330","2,009","3,307","1,954","3,429","2,882","1,661","2,707","2,015","2,698","1,855","2,897","2,218","3,193",977,"1,880","3,258","1,609","2,316","2,117"
2020,5,40,"37,228","1,767","1,307","2,570","1,942","1,086","2,084","2,799",956,"1,899","1,217","1,550","1,284","1,972","1,595","1,413","1,545","1,244","2,416","1,920","2,499","2,163"
2020,5,50,"34,389","1,644","1,141","2,355","1,706",865,"1,872","2,402",953,"1,744","1,208","1,376","1,207","1,676","1,640",938,"1,317","1,285","1,948","2,232","2,454","2,426"
2020,5,60,"27,006","1,514",881,"1,727","1,453",649,"1,481","1,926",749,"1,308",982,"1,141",983,"1,284","1,181",681,954,"1,065","1,139","1,908","2,096","1,904"
2020,5,70,"16,882",963,516,"1,064",954,438,973,"1,231",514,805,626,720,702,741,762,453,619,595,600,"1,190","1,247","1,169"
2020,5,80,"5,157",268,191,341,267,130,286,377,161,267,185,233,211,236,247,130,160,207,225,406,309,320
2020,5,90,397,22,20,37,20,13,28,17,13,21,10,13,15,17,14,9,18,18,11,43,21,17
2020,5,100,67,1,3,4,6,2,7,6,1,2,0,1,4,1,5,1,6,1,3,5,5,3
2020,6,총,"250,829","12,168","7,763","14,772","14,407","8,641","16,558","16,827","7,472","12,999","8,979","11,957","9,243","13,111","11,530","11,379","7,886","8,918","14,346","12,368","15,500","14,005"
2020,6,0,"12,206",661,721,"1,122",637,399,623,"1,215",256,645,574,386,317,445,459,199,640,364,388,526,937,692
2020,6,10,"15,275",799,615,"1,601",723,430,856,"1,330",317,870,399,482,463,589,671,257,755,442,525,881,"1,200","1,070"
2020,6,20,"53,610","2,261","1,019","1,953","3,394","2,646","4,785","2,696","1,893","2,777","1,770","3,320","2,214","3,245","2,730","4,089",904,"1,830","3,821","1,664","2,431","2,168"
2020,6,30,"48,613","2,264","1,328","2,006","3,308","1,967","3,480","2,866","1,661","2,675","2,015","2,730","1,845","2,896","2,230","3,213",976,"1,886","3,266","1,604","2,303","2,094"
2020,6,40,"37,192","1,772","1,314","2,561","1,935","1,090","2,120","2,771",955,"1,895","1,213","1,561","1,282","1,975","1,592","1,401","1,534","1,233","2,413","1,916","2,499","2,160"
2020,6,50,"34,260","1,640","1,142","2,346","1,708",868,"1,894","2,389",948,"1,728","1,203","1,357","1,201","1,676","1,637",953,"1,297","1,273","1,950","2,206","2,433","2,411"
2020,6,60,"27,108","1,520",887,"1,734","1,453",649,"1,490","1,927",757,"1,315",983,"1,148",988,"1,290","1,183",674,975,"1,064","1,145","1,929","2,099","1,898"
2020,6,70,"16,922",961,516,"1,067",952,446,980,"1,229",511,806,627,723,703,744,760,456,619,600,600,"1,187","1,261","1,174"
2020,6,80,"5,176",269,198,340,271,130,294,380,160,264,184,236,211,235,249,127,162,207,224,407,310,318
2020,6,90,398,20,20,38,20,14,29,18,13,22,11,13,14,15,14,9,18,18,11,43,21,17
2020,6,100,69,1,3,4,6,2,7,6,1,2,0,1,5,1,5,1,6,1,3,5,6,3
2020,7,총,"250,825","12,172","7,758","14,756","14,383","8,636","16,700","16,806","7,465","12,988","8,971","11,933","9,260","13,142","11,506","11,396","7,882","8,917","14,348","12,346","15,480","13,980"
2020,7,0,"12,138",661,712,"1,112",627,394,632,"1,207",253,655,580,375,316,447,451,201,642,352,381,529,933,678
2020,7,10,"15,187",796,612,"1,600",717,422,858,"1,332",313,867,396,476,446,584,658,257,752,442,525,870,"1,198","1,066"
2020,7,20,"53,670","2,272","1,016","1,963","3,398","2,654","4,834","2,682","1,889","2,775","1,763","3,333","2,235","3,225","2,721","4,077",902,"1,857","3,785","1,672","2,442","2,175"
2020,7,30,"48,556","2,264","1,337","2,003","3,291","1,970","3,520","2,847","1,646","2,659","2,013","2,707","1,856","2,928","2,232","3,218",973,"1,871","3,280","1,592","2,270","2,079"
2020,7,40,"37,204","1,785","1,309","2,557","1,935","1,076","2,131","2,762",959,"1,894","1,210","1,565","1,288","1,978","1,585","1,411","1,536","1,235","2,420","1,912","2,503","2,153"
2020,7,50,"34,239","1,628","1,139","2,334","1,707",875,"1,910","2,392",947,"1,722","1,187","1,355","1,195","1,681","1,638",966,"1,298","1,266","1,968","2,205","2,423","2,403"
2020,7,60,"27,157","1,502",889,"1,736","1,459",648,"1,496","1,936",767,"1,320",994,"1,151",986,"1,294","1,190",673,979,"1,060","1,146","1,924","2,099","1,908"
2020,7,70,"16,987",970,521,"1,069",948,451,992,"1,236",515,805,629,717,708,751,760,456,612,607,605,"1,188","1,267","1,180"
2020,7,80,"5,214",273,199,340,274,130,290,387,162,265,188,240,211,239,252,125,164,208,224,408,316,319
2020,7,90,403,20,21,38,21,14,30,19,13,24,11,13,14,13,14,11,18,18,11,41,23,16
2020,7,100,70,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,1,3,5,6,3
2020,8,총,"250,520","12,134","7,743","14,730","14,359","8,676","16,786","16,760","7,452","12,917","8,947","11,904","9,263","13,158","11,505","11,420","7,867","8,923","14,385","12,281","15,399","13,911"
2020,8,0,"12,003",649,707,"1,102",624,391,634,"1,187",250,651,569,362,308,445,445,195,641,351,384,514,924,670
2020,8,10,"15,093",791,612,"1,591",705,415,866,"1,330",305,868,388,470,445,587,651,251,744,443,523,861,"1,188","1,059"
2020,8,20,"53,691","2,271","1,007","1,962","3,394","2,671","4,874","2,688","1,880","2,772","1,758","3,332","2,254","3,221","2,748","4,088",901,"1,861","3,791","1,659","2,411","2,148"
2020,8,30,"48,442","2,243","1,329","1,998","3,273","1,982","3,551","2,816","1,653","2,621","2,002","2,701","1,865","2,924","2,232","3,228",966,"1,866","3,284","1,575","2,276","2,057"
2020,8,40,"37,091","1,782","1,307","2,554","1,936","1,092","2,119","2,754",956,"1,865","1,215","1,547","1,282","1,992","1,585","1,410","1,529","1,226","2,435","1,900","2,466","2,139"
2020,8,50,"34,229","1,626","1,136","2,325","1,702",879,"1,923","2,399",941,"1,730","1,182","1,369","1,191","1,672","1,625",973,"1,307","1,267","1,970","2,205","2,408","2,399"
2020,8,60,"27,232","1,503",892,"1,737","1,469",650,"1,493","1,937",773,"1,316","1,008","1,147",979,"1,307","1,196",678,977,"1,066","1,150","1,923","2,110","1,921"
2020,8,70,"17,010",973,527,"1,074",955,448,999,"1,238",517,801,622,722,710,754,751,456,613,612,606,"1,185","1,271","1,176"
2020,8,80,"5,249",274,202,343,274,132,292,383,163,266,192,240,210,242,254,128,165,212,227,412,316,322
2020,8,90,411,21,21,40,21,14,28,22,13,25,11,13,14,12,13,12,18,18,12,42,23,18
2020,8,100,69,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,1,3,5,6,2
2020,9,총,"250,084","12,106","7,725","14,742","14,311","8,701","16,811","16,739","7,428","12,874","8,917","11,877","9,235","13,136","11,483","11,427","7,862","8,898","14,371","12,226","15,372","13,843"
2020,9,0,"11,901",644,709,"1,104",616,394,631,"1,176",251,637,557,358,302,438,441,189,649,343,377,512,915,658
2020,9,10,"14,963",787,605,"1,573",705,418,856,"1,333",298,855,384,466,439,580,639,252,734,438,514,850,"1,183","1,054"
2020,9,20,"53,531","2,243","1,001","1,977","3,378","2,684","4,896","2,666","1,858","2,761","1,766","3,315","2,253","3,206","2,739","4,085",900,"1,847","3,775","1,643","2,411","2,127"
2020,9,30,"48,353","2,248","1,324","1,996","3,257","1,981","3,557","2,811","1,660","2,620","1,980","2,695","1,861","2,917","2,235","3,224",961,"1,863","3,275","1,576","2,259","2,053"
2020,9,40,"37,010","1,784","1,303","2,546","1,928","1,086","2,124","2,751",952,"1,850","1,210","1,545","1,266","2,005","1,583","1,421","1,524","1,218","2,434","1,891","2,465","2,124"
2020,9,50,"34,186","1,626","1,130","2,333","1,697",882,"1,921","2,396",935,"1,729","1,179","1,362","1,196","1,676","1,614",977,"1,307","1,271","1,986","2,188","2,402","2,379"
2020,9,60,"27,360","1,500",895,"1,744","1,460",654,"1,500","1,961",777,"1,318","1,012","1,156",978,"1,306","1,215",683,987,"1,072","1,160","1,918","2,125","1,939"
2020,9,70,"17,008",971,533,"1,081",968,450,999,"1,229",518,809,624,723,713,752,743,453,608,613,606,"1,190","1,262","1,163"
2020,9,80,"5,291",280,200,342,275,136,292,388,165,268,194,243,209,243,256,130,168,216,228,410,321,327
2020,9,90,413,22,22,42,21,14,28,22,13,25,11,13,13,11,13,12,18,17,13,43,23,17
2020,9,100,68,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,6,2
2020,10,총,"249,412","12,057","7,677","14,733","14,277","8,640","16,853","16,717","7,386","12,809","8,932","11,815","9,232","13,065","11,453","11,411","7,830","8,905","14,326","12,121","15,333","13,840"
2020,10,0,"11,740",631,687,"1,107",615,385,631,"1,160",246,625,551,361,295,419,429,183,639,342,378,494,906,656
2020,10,10,"14,808",770,598,"1,564",694,409,833,"1,341",289,841,385,455,436,574,641,244,732,440,497,846,"1,167","1,052"
2020,10,20,"53,360","2,245",996,"1,979","3,386","2,654","4,919","2,644","1,837","2,733","1,785","3,286","2,248","3,182","2,727","4,068",896,"1,864","3,737","1,622","2,417","2,135"
2020,10,30,"48,263","2,234","1,326","1,991","3,234","1,988","3,570","2,810","1,651","2,611","1,985","2,704","1,863","2,916","2,230","3,230",954,"1,857","3,264","1,560","2,239","2,046"
2020,10,40,"36,848","1,771","1,287","2,547","1,931","1,070","2,122","2,750",954,"1,842","1,207","1,529","1,264","1,991","1,584","1,426","1,513","1,204","2,442","1,861","2,443","2,110"
2020,10,50,"34,151","1,618","1,131","2,331","1,685",875,"1,940","2,397",936,"1,720","1,179","1,338","1,204","1,660","1,615",978,"1,303","1,282","1,994","2,166","2,405","2,394"
2020,10,60,"27,440","1,510",896,"1,747","1,465",652,"1,516","1,959",775,"1,320","1,016","1,162",984,"1,318","1,217",687,989,"1,072","1,165","1,917","2,140","1,933"
2020,10,70,"16,998",974,533,"1,079",960,452,997,"1,238",515,814,619,723,704,748,739,453,609,614,602,"1,199","1,263","1,163"
2020,10,80,"5,323",283,198,342,277,139,290,392,169,275,193,243,216,244,253,130,171,213,231,408,323,333
2020,10,90,414,20,22,42,24,14,28,20,13,26,12,13,13,11,13,11,18,17,13,43,24,17
2020,10,100,67,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,6,1
2020,11,총,"248,857","12,027","7,652","14,681","14,268","8,598","16,837","16,672","7,343","12,783","8,911","11,805","9,221","13,076","11,416","11,396","7,818","8,895","14,331","12,004","15,294","13,829"
2020,11,0,"11,629",625,688,"1,085",616,374,624,"1,153",240,619,551,358,293,420,427,178,637,336,380,487,885,653
2020,11,10,"14,707",766,591,"1,555",685,402,826,"1,348",285,832,381,450,433,573,629,236,731,440,501,837,"1,167","1,039"
2020,11,20,"53,232","2,237",987,"1,986","3,392","2,651","4,901","2,634","1,814","2,739","1,786","3,307","2,233","3,170","2,734","4,055",896,"1,859","3,720","1,591","2,396","2,144"
2020,11,30,"48,118","2,215","1,319","1,983","3,219","1,966","3,582","2,801","1,645","2,586","1,981","2,689","1,879","2,911","2,226","3,227",944,"1,864","3,255","1,534","2,246","2,046"
2020,11,40,"36,693","1,777","1,271","2,525","1,936","1,071","2,100","2,737",952,"1,839","1,203","1,517","1,247","2,006","1,568","1,435","1,505","1,198","2,434","1,845","2,428","2,099"
2020,11,50,"34,126","1,597","1,140","2,334","1,696",878,"1,954","2,392",928,"1,709","1,169","1,345","1,209","1,660","1,607",982,"1,310","1,273","2,008","2,148","2,397","2,390"
2020,11,60,"27,495","1,523",899,"1,744","1,452",651,"1,524","1,948",785,"1,334","1,018","1,159",986,"1,325","1,218",687,985,"1,079","1,177","1,913","2,153","1,935"
2020,11,70,"16,985",978,533,"1,079",956,449,998,"1,237",508,814,614,722,707,749,731,452,615,613,604,"1,196","1,260","1,170"
2020,11,80,"5,392",287,199,345,284,140,293,397,172,283,196,244,217,250,259,133,172,216,236,405,330,334
2020,11,90,413,21,22,41,26,14,28,19,13,26,12,13,12,10,12,10,17,17,13,43,26,18
2020,11,100,67,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,6,1
2020,12,총,"248,339","12,050","7,637","14,631","14,234","8,570","16,881","16,642","7,340","12,745","8,886","11,753","9,173","13,074","11,398","11,399","7,785","8,874","14,293","11,885","15,266","13,823"
2020,12,0,"11,499",619,684,"1,067",620,362,627,"1,139",235,598,542,348,287,429,425,180,628,330,373,481,880,645
2020,12,10,"14,641",772,586,"1,548",687,403,825,"1,350",280,826,380,447,426,559,625,238,725,437,500,831,"1,164","1,032"
2020,12,20,"53,168","2,254",988,"1,985","3,351","2,664","4,910","2,627","1,829","2,746","1,789","3,305","2,219","3,170","2,724","4,060",890,"1,862","3,703","1,552","2,382","2,158"
2020,12,30,"47,937","2,207","1,307","1,962","3,216","1,955","3,578","2,797","1,644","2,585","1,973","2,662","1,873","2,911","2,217","3,226",948,"1,842","3,233","1,524","2,236","2,041"
2020,12,40,"36,558","1,773","1,268","2,514","1,937","1,076","2,105","2,720",954,"1,821","1,197","1,517","1,236","2,002","1,557","1,429","1,496","1,203","2,424","1,825","2,425","2,079"
2020,12,50,"34,068","1,600","1,143","2,340","1,696",866,"1,966","2,393",913,"1,704","1,166","1,342","1,206","1,666","1,609",985,"1,297","1,269","2,000","2,119","2,396","2,392"
2020,12,60,"27,543","1,532",903,"1,743","1,457",644,"1,534","1,947",785,"1,343","1,012","1,156",983,"1,326","1,226",690,984,"1,077","1,194","1,914","2,150","1,943"
2020,12,70,"16,983",982,536,"1,080",947,442,"1,000","1,241",507,807,613,719,707,744,737,447,618,619,611,"1,186","1,264","1,176"
2020,12,80,"5,459",290,197,347,291,142,300,404,179,287,202,244,219,255,261,134,176,217,239,403,336,336
2020,12,90,415,20,22,41,26,14,29,18,13,26,12,12,12,10,12,9,17,18,13,45,26,20
2020,12,100,68,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,7,1
2021,1,총,"247,853","12,035","7,615","14,628","14,210","8,559","16,909","16,606","7,319","12,699","8,837","11,722","9,181","13,089","11,375","11,398","7,755","8,860","14,223","11,786","15,238","13,809"
2021,1,0,"11,350",610,672,"1,062",618,359,619,"1,134",229,586,532,343,280,422,417,178,614,330,365,465,870,645
2021,1,10,"14,510",773,585,"1,536",674,395,815,"1,345",280,830,377,444,425,550,608,231,719,432,508,813,"1,147","1,023"
2021,1,20,"52,878","2,247",979,"1,988","3,341","2,650","4,896","2,605","1,833","2,724","1,770","3,270","2,209","3,192","2,733","4,032",896,"1,846","3,620","1,528","2,387","2,132"
2021,1,30,"47,887","2,207","1,298","1,957","3,205","1,965","3,613","2,775","1,626","2,567","1,962","2,661","1,892","2,919","2,214","3,247",932,"1,829","3,225","1,512","2,225","2,056"
2021,1,40,"36,435","1,760","1,275","2,509","1,942","1,070","2,094","2,730",950,"1,820","1,192","1,512","1,237","1,983","1,537","1,425","1,487","1,209","2,413","1,801","2,416","2,073"
2021,1,50,"34,099","1,602","1,139","2,339","1,697",868,"1,983","2,385",911,"1,700","1,163","1,354","1,205","1,669","1,618",999,"1,292","1,271","2,006","2,107","2,404","2,387"
2021,1,60,"27,667","1,538",903,"1,755","1,471",645,"1,543","1,959",789,"1,348","1,014","1,156",990,"1,332","1,227",695,"1,001","1,083","1,207","1,917","2,146","1,948"
2021,1,70,"17,001",983,540,"1,088",936,443,"1,003","1,242",507,806,616,727,704,755,734,443,603,619,616,"1,186","1,270","1,180"
2021,1,80,"5,539",292,200,348,297,148,306,408,179,289,200,240,222,255,270,138,187,222,246,407,341,344
2021,1,90,418,22,21,42,23,14,30,17,13,26,11,14,12,10,12,9,18,19,14,45,26,20
2021,1,100,69,1,3,4,6,2,7,6,2,3,0,1,5,2,5,1,6,0,3,5,6,1
2021,2,총,"247,472","12,014","7,563","14,561","14,220","8,504","16,956","16,589","7,336","12,668","8,819","11,685","9,155","13,084","11,370","11,448","7,738","8,831","14,223","11,702","15,241","13,765"
2021,2,0,"11,141",596,657,"1,035",609,354,609,"1,118",229,575,510,340,271,412,419,176,603,325,356,457,855,635
2021,2,10,"14,453",769,582,"1,517",671,399,826,"1,342",276,821,374,434,428,554,602,235,719,430,511,803,"1,145","1,015"
2021,2,20,"52,810","2,254",959,"1,978","3,359","2,590","4,917","2,597","1,840","2,745","1,771","3,243","2,196","3,196","2,723","4,059",899,"1,827","3,625","1,513","2,395","2,124"
2021,2,30,"47,754","2,193","1,286","1,940","3,203","1,968","3,630","2,765","1,624","2,544","1,957","2,669","1,866","2,911","2,228","3,259",916,"1,822","3,215","1,495","2,222","2,041"
2021,2,40,"36,298","1,752","1,271","2,505","1,932","1,072","2,092","2,719",954,"1,810","1,187","1,507","1,236","1,965","1,521","1,421","1,489","1,204","2,406","1,777","2,420","2,058"
2021,2,50,"34,195","1,613","1,144","2,343","1,701",861,"1,985","2,401",916,"1,702","1,167","1,350","1,211","1,685","1,618","1,003","1,295","1,283","2,018","2,105","2,411","2,383"
2021,2,60,"27,712","1,530",896,"1,759","1,473",650,"1,545","1,962",796,"1,348","1,023","1,159","1,003","1,333","1,232",704,"1,001","1,084","1,206","1,910","2,147","1,951"
2021,2,70,"16,986",989,538,"1,084",935,446,"1,001","1,242",499,806,613,726,703,759,740,440,603,610,620,"1,178","1,274","1,180"
2021,2,80,"5,630",296,206,354,309,148,313,419,186,288,205,242,223,256,268,142,189,227,249,413,340,357
2021,2,90,423,21,21,42,22,14,31,18,14,26,12,14,13,11,14,7,18,19,14,46,26,20
2021,2,100,70,1,3,4,6,2,7,6,2,3,0,1,5,2,5,2,6,0,3,5,6,1
2021,3,총,"246,097","11,971","7,514","14,415","14,156","8,501","16,847","16,435","7,271","12,646","8,749","11,648","9,083","12,942","11,342","11,479","7,629","8,775","14,251","11,568","15,171","13,704"
2021,3,0,"11,001",593,655,"1,032",596,345,609,"1,088",226,566,493,339,269,403,417,171,598,322,351,457,849,622
2021,3,10,"14,443",776,585,"1,502",677,422,827,"1,339",277,809,374,439,431,537,600,246,713,425,510,799,"1,147","1,008"
2021,3,20,"52,967","2,265",951,"1,954","3,406","2,622","4,935","2,602","1,873","2,758","1,768","3,216","2,223","3,190","2,742","4,092",902,"1,823","3,656","1,494","2,374","2,121"
2021,3,30,"47,490","2,165","1,280","1,940","3,159","1,953","3,603","2,734","1,603","2,558","1,943","2,680","1,840","2,891","2,224","3,266",906,"1,795","3,225","1,496","2,209","2,020"
