년도,월,나이,임실군,임실읍,청웅면,운암면,신평면,성수면,오수면,신덕면,삼계면,관촌면,강진면,덕치면,지사면
2020,10,40,"2,900","1,061",133,148,135,149,368,118,122,332,157,84,93
2020,10,50,"4,729","1,077",207,343,238,296,625,254,251,658,317,239,224
2020,10,60,"4,951","1,007",249,393,297,313,745,250,306,652,274,233,232
2020,10,70,"4,308",776,263,236,268,330,612,255,307,530,269,236,226
2020,10,80,"2,978",507,202,161,182,236,456,164,244,336,171,140,179
2020,10,90,428,73,29,33,21,30,62,28,40,39,29,14,30
2020,10,100,22,3,1,0,3,2,1,1,0,3,3,5,0
2020,11,총,"27,424","7,447","1,308","1,620","1,462","1,686","3,750","1,314","1,521","3,372","1,541","1,180","1,223"
2020,11,0,"1,355",666,34,45,57,51,117,43,40,164,43,42,53
2020,11,10,"1,697",730,53,60,73,84,232,53,67,174,76,45,50
2020,11,20,"2,119",742,79,114,99,104,291,85,74,256,140,63,72
2020,11,30,"1,967",807,61,92,96,89,243,63,72,237,65,75,67
2020,11,40,"2,870","1,063",129,143,131,147,364,117,119,323,155,86,93
2020,11,50,"4,720","1,075",205,342,239,293,625,252,251,658,318,241,221
2020,11,60,"4,951","1,005",251,398,291,320,739,253,304,653,274,230,233
2020,11,70,"4,314",781,261,234,269,329,621,255,308,528,267,237,224
2020,11,80,"2,980",504,203,161,183,237,454,164,245,336,171,143,179
2020,11,90,428,71,31,31,21,30,63,28,41,40,28,13,31
2020,11,100,23,3,1,0,3,2,1,1,0,3,4,5,0
2020,12,총,"27,314","7,447","1,302","1,613","1,454","1,683","3,727","1,305","1,522","3,343","1,541","1,169","1,208"
2020,12,0,"1,343",666,31,46,56,52,112,38,41,165,43,39,54
2020,12,10,"1,680",733,53,58,70,81,230,51,65,166,78,45,50
2020,12,20,"2,101",738,76,113,99,104,283,84,76,254,140,64,70
2020,12,30,"1,941",795,62,93,97,88,239,64,71,231,66,71,64
2020,12,40,"2,844","1,060",125,141,125,144,362,116,119,324,152,86,90
2020,12,50,"4,688","1,074",206,339,239,294,619,247,251,645,316,239,219
2020,12,60,"4,994","1,021",249,393,295,324,747,259,308,657,281,232,228
2020,12,70,"4,298",781,265,238,268,329,621,249,305,523,263,233,223
2020,12,80,"2,984",505,203,161,183,237,448,169,244,338,171,144,181
2020,12,90,419,71,31,31,20,28,65,27,42,37,27,11,29
2020,12,100,22,3,1,0,2,2,1,1,0,3,4,5,0
2021,1,총,"27,248","7,420","1,302","1,619","1,455","1,685","3,704","1,310","1,524","3,333","1,534","1,162","1,200"
2021,1,0,"1,339",662,30,49,55,53,116,37,41,163,43,36,54
2021,1,10,"1,676",737,56,58,71,81,227,50,65,162,73,45,51
2021,1,20,"2,069",728,75,110,98,104,270,82,75,255,141,63,68
2021,1,30,"1,934",787,62,94,95,89,242,67,69,228,68,68,65
2021,1,40,"2,823","1,063",122,139,128,145,352,115,118,322,146,82,91
2021,1,50,"4,674","1,068",207,343,234,295,617,241,252,642,315,241,219
2021,1,60,"5,000","1,017",249,391,301,321,746,268,311,656,284,231,225
2021,1,70,"4,284",777,263,238,266,331,615,248,301,528,264,236,217
2021,1,80,"2,995",508,203,163,185,234,450,174,249,336,169,143,181
2021,1,90,432,70,34,34,20,30,68,27,43,38,27,12,29
2021,1,100,22,3,1,0,2,2,1,1,0,3,4,5,0
2021,2,총,"27,179","7,398","1,301","1,627","1,442","1,668","3,711","1,312","1,514","3,318","1,530","1,161","1,197"
2021,2,0,"1,341",661,31,56,52,51,116,36,41,165,43,36,53
2021,2,10,"1,654",724,56,56,70,79,231,52,62,160,72,44,48
2021,2,20,"2,031",716,73,104,93,103,263,80,74,254,140,64,67
2021,2,30,"1,917",788,62,96,90,86,241,67,66,226,66,64,65
2021,2,40,"2,811","1,062",121,144,126,143,356,113,116,317,146,80,87
2021,2,50,"4,648","1,069",208,339,233,284,617,241,250,636,311,240,220
2021,2,60,"5,027","1,022",248,392,300,321,754,275,310,657,286,234,228
2021,2,70,"4,277",776,264,240,267,329,611,247,298,525,266,236,218
2021,2,80,"3,017",508,204,167,188,239,452,173,252,337,169,145,183
2021,2,90,433,69,33,33,21,31,69,27,45,37,27,13,28
2021,2,100,23,3,1,0,2,2,1,1,0,4,4,5,0
2021,3,총,"27,044","7,356","1,291","1,621","1,438","1,652","3,672","1,318","1,518","3,296","1,518","1,166","1,198"
2021,3,0,"1,333",659,30,53,54,50,116,36,41,161,42,37,54
2021,3,10,"1,639",724,56,61,67,77,217,51,61,163,68,45,49
2021,3,20,"2,018",708,73,104,93,99,266,82,74,256,134,65,64
2021,3,30,"1,881",772,58,94,91,81,237,67,65,220,66,64,66
2021,3,40,"2,770","1,064",118,141,120,137,345,111,117,305,147,77,88
2021,3,50,"4,611","1,058",207,339,236,283,605,243,243,631,308,239,219
2021,3,60,"5,056","1,025",249,390,298,323,759,280,317,657,288,238,232
2021,3,70,"4,257",773,262,241,266,327,605,245,301,522,265,233,217
2021,3,80,"3,027",504,204,165,188,241,455,176,253,341,170,150,180
2021,3,90,434,68,33,33,23,33,67,26,46,36,27,13,29
2021,3,100,18,1,1,0,2,1,0,1,0,4,3,5,0
2021,4,총,"27,038","7,364","1,285","1,612","1,436","1,656","3,664","1,318","1,519","3,301","1,523","1,162","1,198"
2021,4,0,"1,330",659,30,53,52,51,115,35,42,159,42,38,54
2021,4,10,"1,644",730,55,61,68,76,218,49,60,164,71,43,49
2021,4,20,"2,017",715,71,103,93,97,266,84,72,255,129,69,63
2021,4,30,"1,862",772,58,88,90,80,237,64,63,215,68,64,63
2021,4,40,"2,761","1,065",119,140,117,137,343,111,118,306,145,72,88
2021,4,50,"4,605","1,060",203,338,237,284,596,246,241,635,307,238,220
2021,4,60,"5,081","1,017",249,392,299,335,762,280,320,660,295,240,232
2021,4,70,"4,246",771,260,243,268,320,604,238,303,523,264,233,219
2021,4,80,"3,039",503,206,162,188,243,457,184,253,344,172,147,180
2021,4,90,436,71,33,32,22,32,66,26,47,36,28,13,30
2021,4,100,17,1,1,0,2,1,0,1,0,4,2,5,0
2021,5,총,"27,019","7,368","1,286","1,606","1,439","1,658","3,655","1,316","1,517","3,297","1,522","1,157","1,198"
2021,5,0,"1,326",657,31,54,53,49,109,37,42,159,42,37,56
2021,5,10,"1,646",731,59,59,68,75,219,50,60,162,71,43,49
2021,5,20,"2,009",717,70,102,89,98,267,84,72,255,127,66,62
2021,5,30,"1,847",762,59,86,90,83,232,64,62,214,67,63,65
2021,5,40,"2,726","1,063",113,136,115,135,337,111,114,297,142,73,90
2021,5,50,"4,597","1,064",208,332,240,284,596,238,241,630,312,235,217
2021,5,60,"5,121","1,023",246,399,300,341,771,282,321,667,294,244,233
2021,5,70,"4,237",770,263,244,267,315,601,240,303,524,262,230,218
2021,5,80,"3,051",506,202,163,192,245,455,182,252,349,176,149,180
2021,5,90,442,74,34,31,23,32,68,27,50,36,27,12,28
2021,5,100,17,1,1,0,2,1,0,1,0,4,2,5,0
2021,6,총,"27,009","7,366","1,277","1,612","1,427","1,663","3,647","1,319","1,524","3,292","1,521","1,164","1,197"
2021,6,0,"1,318",656,31,56,51,50,107,37,42,157,39,35,57
2021,6,10,"1,639",731,55,58,67,72,217,51,59,163,72,45,49
2021,6,20,"2,008",717,73,102,89,99,263,85,73,249,128,68,62
2021,6,30,"1,836",764,54,87,86,86,226,63,60,216,64,64,66
2021,6,40,"2,711","1,049",112,138,113,134,338,110,114,293,143,76,91
2021,6,50,"4,590","1,067",203,329,236,281,600,238,244,631,312,235,214
2021,6,60,"5,162","1,030",250,404,304,348,774,287,321,667,298,245,234
2021,6,70,"4,234",770,262,245,265,317,601,240,306,526,259,228,215
2021,6,80,"3,050",507,203,164,192,242,450,181,254,350,177,151,179
2021,6,90,445,74,33,29,22,33,71,26,51,37,27,12,30
2021,6,100,16,1,1,0,2,1,0,1,0,3,2,5,0
2021,7,총,"26,952","7,331","1,272","1,623","1,420","1,658","3,635","1,320","1,525","3,291","1,518","1,169","1,190"
2021,7,0,"1,307",644,31,59,48,49,107,37,42,159,40,34,57
2021,7,10,"1,632",729,55,60,65,72,212,51,59,163,71,47,48
2021,7,20,"1,988",711,71,104,88,97,261,86,74,245,127,67,57
2021,7,30,"1,821",753,54,91,87,83,222,63,60,216,62,64,66
2021,7,40,"2,715","1,051",112,138,110,136,338,111,116,291,143,77,92
2021,7,50,"4,550","1,058",201,327,232,278,596,235,243,626,310,232,212
2021,7,60,"5,175","1,032",251,405,308,348,776,287,322,670,297,247,232
2021,7,70,"4,240",770,259,248,269,316,598,239,304,527,262,231,217
2021,7,80,"3,055",504,205,163,190,245,452,184,253,351,178,152,178
2021,7,90,453,78,32,28,21,33,73,26,52,40,26,13,31
2021,7,100,16,1,1,0,2,1,0,1,0,3,2,5,0
2021,8,총,"26,873","7,325","1,265","1,619","1,420","1,645","3,616","1,316","1,525","3,268","1,514","1,169","1,191"
2021,8,0,"1,292",644,30,56,49,46,106,37,40,158,39,31,56
2021,8,10,"1,618",730,54,58,62,71,207,51,60,160,70,47,48
2021,8,20,"1,956",693,67,107,88,95,259,84,73,238,128,67,57
2021,8,30,"1,811",754,53,87,89,77,223,62,62,215,60,62,67
2021,8,40,"2,694","1,049",111,134,109,133,333,111,111,291,143,78,91
2021,8,50,"4,554","1,069",203,327,231,282,596,229,244,624,307,231,211
2021,8,60,"5,188","1,038",252,408,310,349,770,292,322,668,294,250,235
2021,8,70,"4,240",765,256,249,272,314,600,239,305,525,265,233,217
2021,8,80,"3,042",501,205,165,186,243,450,183,254,347,180,151,177
2021,8,90,462,81,33,28,22,34,72,27,54,39,26,14,32
2021,8,100,16,1,1,0,2,1,0,1,0,3,2,5,0
2021,9,총,"26,755","7,315","1,250","1,600","1,411","1,638","3,591","1,315","1,520","3,248","1,506","1,166","1,195"
2021,9,0,"1,284",648,28,52,46,46,105,37,40,158,38,32,54
2021,9,10,"1,596",731,49,53,61,69,204,51,59,158,65,46,50
2021,9,20,"1,905",669,65,102,87,94,248,81,73,231,128,68,59
2021,9,30,"1,799",760,49,83,89,75,216,64,61,214,61,60,67
2021,9,40,"2,685","1,048",110,134,105,132,337,107,111,282,144,79,96
2021,9,50,"4,542","1,072",203,326,227,281,592,230,242,627,307,228,207
2021,9,60,"5,180","1,037",249,407,314,347,770,290,322,664,294,249,237
2021,9,70,"4,233",761,257,250,273,315,596,242,306,523,261,234,215
2021,9,80,"3,048",507,206,165,182,243,451,183,254,348,180,151,178
2021,9,90,467,81,33,28,25,35,72,29,52,40,26,14,32
2021,9,100,16,1,1,0,2,1,0,1,0,3,2,5,0
2021,10,총,"26,717","7,314","1,254","1,594","1,410","1,636","3,587","1,320","1,502","3,238","1,503","1,165","1,194"
2021,10,0,"1,294",654,29,52,46,47,104,39,39,160,38,32,54
2021,10,10,"1,585",731,49,50,61,73,203,51,54,157,61,46,49
2021,10,20,"1,877",659,64,99,84,91,252,81,68,228,125,67,59
2021,10,30,"1,800",758,51,82,88,75,215,65,61,215,63,61,66
2021,10,40,"2,683","1,050",111,135,104,136,330,111,108,282,145,77,94
2021,10,50,"4,527","1,072",204,326,225,277,593,225,243,618,309,224,211
2021,10,60,"5,178","1,037",248,404,318,347,770,293,317,661,292,255,236
2021,10,70,"4,220",763,259,250,275,311,589,239,305,523,260,232,214
2021,10,80,"3,070",508,205,168,183,246,459,186,256,348,181,152,178
2021,10,90,468,81,33,28,24,33,72,29,51,43,27,14,33
2021,10,100,15,1,1,0,2,0,0,1,0,3,2,5,0
2021,11,총,"26,665","7,288","1,247","1,582","1,414","1,635","3,575","1,316","1,504","3,247","1,504","1,173","1,180"
2021,11,0,"1,291",656,28,52,46,47,103,40,39,156,38,34,52
2021,11,10,"1,575",729,47,50,61,74,200,47,54,157,60,47,49
2021,11,20,"1,872",656,63,98,87,89,254,82,68,230,124,65,56
2021,11,30,"1,790",754,51,83,88,73,210,63,61,216,65,61,65
2021,11,40,"2,659","1,040",111,133,106,136,327,110,105,280,140,78,93
2021,11,50,"4,497","1,063",205,318,221,271,586,226,244,621,311,224,207
2021,11,60,"5,209","1,035",247,404,318,355,777,291,320,663,301,260,238
2021,11,70,"4,214",761,254,253,277,311,589,239,305,524,255,233,213
2021,11,80,"3,072",511,207,164,181,245,456,186,258,355,181,153,175
2021,11,90,472,82,33,27,27,34,73,31,50,42,27,14,32
2021,11,100,14,1,1,0,2,0,0,1,0,3,2,4,0
2021,12,총,"26,730","7,334","1,256","1,594","1,426","1,634","3,558","1,313","1,496","3,237","1,504","1,190","1,188"
2021,12,0,"1,285",656,27,53,48,47,103,43,39,151,37,30,51
2021,12,10,"1,574",733,49,53,61,71,203,41,53,153,58,50,49
2021,12,20,"1,887",672,66,95,91,86,251,82,69,228,126,66,55
2021,12,30,"1,814",765,51,87,90,76,205,63,59,218,66,66,68
2021,12,40,"2,664","1,038",114,138,106,138,327,108,106,277,141,77,94
2021,12,50,"4,497","1,072",207,311,217,273,583,230,241,617,308,234,204
2021,12,60,"5,243","1,044",247,413,323,352,773,287,321,671,305,263,244
2021,12,70,"4,200",754,254,253,277,310,588,238,305,524,254,233,210
2021,12,80,"3,077",517,208,161,184,246,454,191,252,348,181,154,181
2021,12,90,475,83,32,30,26,35,71,29,51,47,26,13,32
2021,12,100,14,0,1,0,3,0,0,1,0,3,2,4,0
