년도,월,나이,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020,9,100,3,2,0,0,0,0,0,0,0,1
2020,10,총,"16,113","4,151","1,699",933,"1,943",935,"1,610","1,431","1,458","1,953"
2020,10,0,734,277,59,38,82,18,60,58,53,89
2020,10,10,"1,095",414,93,34,113,50,131,65,68,127
2020,10,20,"1,491",438,121,69,166,93,160,119,150,175
2020,10,30,"1,154",357,98,72,129,56,114,105,93,130
2020,10,40,"2,083",620,231,119,235,99,159,152,186,282
2020,10,50,"3,218",745,342,162,377,211,364,301,313,403
2020,10,60,"3,058",630,347,207,416,197,272,343,297,349
2020,10,70,"2,152",437,260,151,278,131,235,193,193,274
2020,10,80,"1,015",209,137,73,132,70,107,90,89,108
2020,10,90,111,22,11,8,15,10,8,5,16,16
2020,10,100,2,2,0,0,0,0,0,0,0,0
2020,11,총,"16,079","4,136","1,700",934,"1,942",931,"1,603","1,422","1,455","1,956"
2020,11,0,721,274,59,36,80,18,53,58,52,91
2020,11,10,"1,088",411,94,32,116,47,130,64,68,126
2020,11,20,"1,501",436,118,71,168,95,162,122,151,178
2020,11,30,"1,139",353,97,71,126,53,113,102,93,131
2020,11,40,"2,080",617,232,121,234,101,164,149,185,277
2020,11,50,"3,200",744,340,159,376,209,359,298,310,405
2020,11,60,"3,071",634,346,210,421,196,274,341,300,349
2020,11,70,"2,149",435,264,152,272,131,234,193,193,275
2020,11,80,"1,017",208,139,73,135,71,106,90,88,107
2020,11,90,111,22,11,9,14,10,8,5,15,17
2020,11,100,2,2,0,0,0,0,0,0,0,0
2020,12,총,"16,062","4,135","1,697",926,"1,937",924,"1,604","1,424","1,456","1,959"
2020,12,0,721,278,58,35,78,17,52,58,55,90
2020,12,10,"1,083",415,94,34,116,43,127,66,63,125
2020,12,20,"1,498",431,115,66,170,90,165,122,153,186
2020,12,30,"1,129",347,94,70,127,54,114,101,91,131
2020,12,40,"2,066",615,237,120,225,99,162,147,186,275
2020,12,50,"3,211",747,341,158,378,212,360,300,310,405
2020,12,60,"3,074",636,342,212,423,199,274,341,302,345
2020,12,70,"2,147",436,266,149,273,128,233,192,193,277
2020,12,80,"1,018",207,140,72,132,72,109,91,87,108
2020,12,90,113,21,10,10,15,10,8,6,16,17
2020,12,100,2,2,0,0,0,0,0,0,0,0
2021,1,총,"16,056","4,140","1,690",923,"1,925",930,"1,602","1,421","1,468","1,957"
2021,1,0,706,269,55,35,76,19,51,56,54,91
2021,1,10,"1,085",419,94,36,113,45,124,66,63,125
2021,1,20,"1,490",434,115,66,166,88,166,118,156,181
2021,1,30,"1,121",345,90,66,124,59,116,99,97,125
2021,1,40,"2,067",612,237,118,230,98,162,148,182,280
2021,1,50,"3,209",753,342,158,375,211,358,296,315,401
2021,1,60,"3,090",638,340,213,420,198,275,349,304,353
2021,1,70,"2,152",442,268,147,272,130,232,192,193,276
2021,1,80,"1,020",204,139,74,134,72,110,91,88,108
2021,1,90,114,22,10,10,15,10,8,6,16,17
2021,1,100,2,2,0,0,0,0,0,0,0,0
2021,2,총,"16,006","4,110","1,686",921,"1,922",931,"1,603","1,411","1,462","1,960"
2021,2,0,703,267,55,35,76,19,53,55,53,90
2021,2,10,"1,075",418,92,34,112,45,120,65,62,127
2021,2,20,"1,470",424,115,64,169,89,162,116,152,179
2021,2,30,"1,113",340,89,67,121,60,116,98,97,125
2021,2,40,"2,050",607,237,117,230,96,157,149,180,277
2021,2,50,"3,192",749,339,155,375,210,360,290,316,398
2021,2,60,"3,115",637,341,218,421,201,281,349,305,362
2021,2,70,"2,140",441,266,147,269,130,232,190,190,275
2021,2,80,"1,031",203,142,74,134,71,113,93,92,109
2021,2,90,115,22,10,10,15,10,9,6,15,18
2021,2,100,2,2,0,0,0,0,0,0,0,0
2021,3,총,"15,939","4,093","1,682",915,"1,905",924,"1,626","1,407","1,437","1,950"
2021,3,0,693,259,56,36,76,19,53,55,49,90
2021,3,10,"1,102",415,92,32,111,47,149,65,64,127
2021,3,20,"1,456",418,112,64,170,91,158,118,146,179
2021,3,30,"1,080",334,89,64,116,58,113,95,94,117
2021,3,40,"2,022",601,236,118,225,95,155,147,169,276
2021,3,50,"3,177",757,333,155,372,205,360,285,315,395
2021,3,60,"3,131",642,341,219,420,202,282,356,307,362
2021,3,70,"2,131",437,268,145,267,128,233,189,187,277
2021,3,80,"1,029",206,145,72,133,70,114,90,91,108
2021,3,90,116,22,10,10,15,9,9,7,15,19
2021,3,100,2,2,0,0,0,0,0,0,0,0
2021,4,총,"15,934","4,081","1,679",910,"1,905",924,"1,627","1,410","1,439","1,959"
2021,4,0,687,257,55,36,76,18,53,56,49,87
2021,4,10,"1,103",415,92,30,109,47,154,63,65,128
2021,4,20,"1,448",414,110,63,170,90,157,119,144,181
2021,4,30,"1,077",332,91,65,115,56,112,96,92,118
2021,4,40,"2,020",603,235,116,228,97,152,148,165,276
2021,4,50,"3,142",748,328,151,373,202,356,279,316,389
2021,4,60,"3,174",649,345,223,421,205,288,360,313,370
2021,4,70,"2,124",433,268,142,262,128,229,193,188,281
2021,4,80,"1,045",210,145,74,136,72,116,89,92,111
2021,4,90,114,20,10,10,15,9,10,7,15,18
2021,4,100,0,0,0,0,0,0,0,0,0,0
2021,5,총,"15,927","4,071","1,684",910,"1,897",920,"1,624","1,417","1,441","1,963"
2021,5,0,679,251,56,35,76,19,51,55,50,86
2021,5,10,"1,098",417,93,30,105,45,153,64,65,126
2021,5,20,"1,438",412,109,62,167,90,156,118,143,181
2021,5,30,"1,070",327,88,66,115,57,110,95,93,119
2021,5,40,"1,996",602,233,116,222,96,145,150,163,269
2021,5,50,"3,159",745,331,153,379,202,361,279,313,396
2021,5,60,"3,194",654,348,220,420,202,293,366,316,375
2021,5,70,"2,117",429,267,143,261,128,228,193,190,278
2021,5,80,"1,059",214,149,75,137,72,117,90,91,114
2021,5,90,117,20,10,10,15,9,10,7,17,19
2021,5,100,0,0,0,0,0,0,0,0,0,0
2021,6,총,"15,889","4,071","1,687",901,"1,897",916,"1,609","1,413","1,433","1,962"
2021,6,0,663,247,55,35,71,18,50,52,49,86
2021,6,10,"1,096",423,94,28,109,44,146,65,65,122
2021,6,20,"1,428",411,113,61,165,89,153,117,140,179
2021,6,30,"1,047",317,87,64,116,56,105,92,93,117
2021,6,40,"1,998",600,234,115,223,97,144,150,163,272
2021,6,50,"3,137",744,329,154,376,198,357,277,306,396
2021,6,60,"3,222",660,349,219,422,206,298,372,318,378
2021,6,70,"2,118",433,267,141,262,126,227,192,190,280
2021,6,80,"1,064",215,149,75,138,73,119,89,93,113
2021,6,90,116,21,10,9,15,9,10,7,16,19
2021,6,100,0,0,0,0,0,0,0,0,0,0
2021,7,총,"15,835","4,073","1,679",900,"1,881",907,"1,607","1,407","1,425","1,956"
2021,7,0,653,243,59,34,70,16,48,52,48,83
2021,7,10,"1,098",428,90,28,111,45,145,62,64,125
2021,7,20,"1,394",412,105,60,158,84,153,114,133,175
2021,7,30,"1,033",308,87,63,115,56,102,93,93,116
2021,7,40,"1,990",603,231,116,220,95,144,146,162,273
2021,7,50,"3,137",746,330,153,373,198,357,281,306,393
2021,7,60,"3,232",664,352,220,419,206,301,370,322,378
2021,7,70,"2,115",432,266,143,265,126,225,193,186,279
2021,7,80,"1,067",218,147,73,135,71,122,89,97,115
2021,7,90,116,19,12,10,15,10,10,7,14,19
2021,7,100,0,0,0,0,0,0,0,0,0,0
2021,8,총,"15,815","4,085","1,673",889,"1,874",907,"1,605","1,396","1,424","1,962"
2021,8,0,646,240,59,34,70,16,46,51,47,83
2021,8,10,"1,096",434,90,28,106,45,147,59,63,124
2021,8,20,"1,398",415,104,59,157,85,149,113,136,180
2021,8,30,"1,023",306,85,59,113,57,101,94,92,116
2021,8,40,"1,973",605,229,112,218,95,142,142,162,268
2021,8,50,"3,131",738,325,151,377,196,359,281,307,397
2021,8,60,"3,246",670,358,220,418,208,303,368,322,379
2021,8,70,"2,116",438,266,143,265,124,224,191,186,279
2021,8,80,"1,071",219,146,72,135,71,124,90,97,117
2021,8,90,115,20,11,11,15,10,10,7,12,19
2021,8,100,0,0,0,0,0,0,0,0,0,0
2021,9,총,"15,801","4,088","1,670",885,"1,865",903,"1,606","1,392","1,423","1,969"
2021,9,0,644,238,59,34,70,18,46,51,46,82
2021,9,10,"1,100",437,90,28,106,45,148,60,63,123
2021,9,20,"1,387",415,102,58,153,83,147,110,136,183
2021,9,30,999,301,85,58,109,52,98,90,91,115
2021,9,40,"1,975",604,227,113,220,95,141,145,159,271
2021,9,50,"3,133",741,326,153,370,199,361,276,304,403
2021,9,60,"3,250",675,356,212,423,203,304,371,326,380
2021,9,70,"2,115",435,266,147,263,126,225,191,187,275
2021,9,80,"1,081",221,148,70,136,72,126,91,99,118
2021,9,90,117,21,11,12,15,10,10,7,12,19
2021,9,100,0,0,0,0,0,0,0,0,0,0
2021,10,총,"15,785","4,088","1,678",890,"1,862",898,"1,601","1,382","1,421","1,965"
2021,10,0,635,237,59,32,67,17,46,52,45,80
2021,10,10,"1,090",434,91,26,106,45,145,59,62,122
2021,10,20,"1,390",415,104,62,152,84,147,105,135,186
2021,10,30,997,303,85,59,111,50,95,90,90,114
2021,10,40,"1,956",600,223,111,218,95,141,141,158,269
2021,10,50,"3,142",746,333,158,367,195,361,273,307,402
2021,10,60,"3,255",676,356,211,422,204,306,371,326,383
2021,10,70,"2,113",434,266,145,265,125,226,192,188,272
2021,10,80,"1,089",223,149,73,139,73,124,93,99,116
2021,10,90,118,20,12,13,15,10,10,6,11,21
2021,10,100,0,0,0,0,0,0,0,0,0,0
2021,11,총,"15,776","4,092","1,674",886,"1,865",898,"1,598","1,386","1,419","1,958"
2021,11,0,632,240,54,31,68,16,47,50,46,80
2021,11,10,"1,087",431,89,26,106,45,140,62,65,123
2021,11,20,"1,386",420,103,61,154,82,148,105,134,179
2021,11,30,987,299,82,57,108,51,98,87,87,118
2021,11,40,"1,941",592,224,109,218,96,141,141,153,267
2021,11,50,"3,148",753,333,160,368,197,358,275,304,400
2021,11,60,"3,274",677,364,212,424,204,303,373,333,384
2021,11,70,"2,103",435,260,145,263,125,229,192,184,270
2021,11,80,"1,099",225,153,73,141,72,123,95,102,115
2021,11,90,119,20,12,12,15,10,11,6,11,22
2021,11,100,0,0,0,0,0,0,0,0,0,0
2021,12,총,"15,730","4,083","1,684",881,"1,846",909,"1,596","1,377","1,412","1,942"
2021,12,0,626,238,54,31,65,21,45,50,46,76
2021,12,10,"1,077",425,88,26,105,45,137,62,66,123
2021,12,20,"1,366",422,108,58,145,82,148,96,127,180
2021,12,30,987,301,84,55,110,52,96,88,87,114
2021,12,40,"1,934",588,223,110,216,98,146,139,153,261
2021,12,50,"3,133",758,332,161,354,198,352,274,305,399
2021,12,60,"3,285",670,369,209,430,207,308,375,331,386
2021,12,70,"2,089",430,262,145,262,122,227,191,182,268
2021,12,80,"1,113",232,152,74,144,73,125,96,104,113
2021,12,90,120,19,12,12,15,11,12,6,11,22
2021,12,100,0,0,0,0,0,0,0,0,0,0
