년도,월,나이,금산군,금산읍,금성면,제원면,부리면,군북면,남일면,남이면,진산면,복수면,추부면
2020,3,60,"9,384","3,244",705,718,596,571,542,428,669,710,"1,201"
2020,3,70,"6,748","2,337",527,455,457,412,435,381,574,468,702
2020,3,80,"4,203","1,093",380,359,391,282,356,247,342,287,466
2020,3,90,531,139,70,42,45,26,33,34,34,45,63
2020,3,100,29,15,2,0,1,0,1,2,3,3,2
2020,4,총,"51,781","22,941","3,348","2,856","2,531","2,588","2,888","2,156","3,269","3,093","6,111"
2020,4,0,"2,712","1,750",97,75,71,135,90,60,75,87,272
2020,4,10,"4,429","2,507",168,111,86,143,427,179,226,147,435
2020,4,20,"4,062","2,192",236,179,113,136,167,102,198,220,519
2020,4,30,"3,994","2,298",219,174,121,170,130,88,150,193,451
2020,4,40,"6,391","3,587",310,238,211,263,239,185,346,307,705
2020,4,50,"9,247","3,754",628,509,442,447,461,443,642,630,"1,291"
2020,4,60,"9,412","3,266",710,719,589,567,546,437,673,706,"1,199"
2020,4,70,"6,765","2,344",529,450,461,416,438,376,577,469,705
2020,4,80,"4,207","1,092",378,359,390,285,357,250,342,285,469
2020,4,90,532,136,70,42,46,26,32,33,37,47,63
2020,4,100,30,15,3,0,1,0,1,3,3,2,2
2020,5,총,"51,746","22,924","3,342","2,862","2,528","2,581","2,875","2,170","3,273","3,090","6,101"
2020,5,0,"2,711","1,743",94,78,71,136,88,64,79,82,276
2020,5,10,"4,400","2,494",168,110,86,139,417,187,225,148,426
2020,5,20,"4,040","2,188",229,182,114,138,163,103,196,219,508
2020,5,30,"3,984","2,292",218,174,122,162,129,90,149,190,458
2020,5,40,"6,359","3,580",306,236,204,258,237,183,347,305,703
2020,5,50,"9,241","3,759",635,513,440,441,461,445,635,630,"1,282"
2020,5,60,"9,435","3,260",708,716,591,575,547,439,679,709,"1,211"
2020,5,70,"6,804","2,360",534,453,463,417,444,375,578,473,707
2020,5,80,"4,214","1,099",378,357,391,289,358,248,343,286,465
2020,5,90,527,134,69,43,44,26,30,33,39,46,63
2020,5,100,31,15,3,0,2,0,1,3,3,2,2
2020,6,총,"51,665","22,936","3,336","2,848","2,528","2,562","2,872","2,159","3,255","3,083","6,086"
2020,6,0,"2,696","1,740",89,78,69,132,88,63,78,81,278
2020,6,10,"4,372","2,494",166,107,85,139,411,184,221,147,418
2020,6,20,"4,021","2,191",229,181,112,139,164,99,197,216,493
2020,6,30,"3,930","2,264",213,170,122,158,130,89,142,190,452
2020,6,40,"6,342","3,579",300,242,197,253,244,180,339,300,708
2020,6,50,"9,197","3,759",626,508,444,437,448,441,633,630,"1,271"
2020,6,60,"9,515","3,293",718,712,594,574,558,448,683,711,"1,224"
2020,6,70,"6,822","2,366",540,452,464,419,444,375,578,473,711
2020,6,80,"4,211","1,101",382,354,395,287,351,246,344,287,464
2020,6,90,527,133,70,44,44,24,33,31,37,46,65
2020,6,100,32,16,3,0,2,0,1,3,3,2,2
2020,7,총,"51,696","22,956","3,340","2,842","2,517","2,555","2,881","2,158","3,245","3,082","6,120"
2020,7,0,"2,691","1,739",88,78,69,133,90,63,79,83,269
2020,7,10,"4,362","2,480",166,106,83,139,421,182,218,145,422
2020,7,20,"4,018","2,190",231,178,113,136,164,96,194,212,504
2020,7,30,"3,917","2,250",211,167,121,161,133,88,142,190,454
2020,7,40,"6,325","3,577",301,244,195,251,237,179,329,300,712
2020,7,50,"9,217","3,781",625,504,438,434,450,447,637,626,"1,275"
2020,7,60,"9,565","3,308",722,712,599,572,564,451,685,715,"1,237"
2020,7,70,"6,834","2,374",540,456,463,416,438,373,578,479,717
2020,7,80,"4,206","1,112",382,351,389,286,351,246,345,284,460
2020,7,90,530,129,71,46,45,27,32,31,35,46,68
2020,7,100,31,16,3,0,2,0,1,2,3,2,2
2020,8,총,"51,641","22,926","3,348","2,843","2,505","2,556","2,880","2,164","3,242","3,071","6,106"
2020,8,0,"2,667","1,728",88,82,67,131,89,64,76,79,263
2020,8,10,"4,359","2,474",166,105,81,141,424,178,221,146,423
2020,8,20,"3,985","2,171",235,179,109,134,165,95,193,206,498
2020,8,30,"3,882","2,223",208,164,119,157,128,88,147,190,458
2020,8,40,"6,323","3,586",308,240,193,256,240,178,323,300,699
2020,8,50,"9,178","3,788",621,507,431,427,442,446,637,617,"1,262"
2020,8,60,"9,623","3,315",734,710,603,581,571,458,681,712,"1,258"
2020,8,70,"6,828","2,373",534,459,463,416,438,369,576,487,713
2020,8,80,"4,224","1,121",380,348,389,286,348,255,348,286,463
2020,8,90,542,131,71,49,48,27,34,31,37,46,68
2020,8,100,30,16,3,0,2,0,1,2,3,2,1
2020,9,총,"51,563","22,905","3,341","2,829","2,500","2,549","2,877","2,162","3,244","3,068","6,088"
2020,9,0,"2,637","1,707",85,83,67,127,89,63,74,81,261
2020,9,10,"4,345","2,473",166,104,79,142,414,176,222,145,424
2020,9,20,"3,985","2,176",230,175,110,134,165,96,194,206,499
2020,9,30,"3,836","2,199",208,165,119,151,129,85,146,190,444
2020,9,40,"6,304","3,579",303,240,191,261,242,178,322,297,691
2020,9,50,"9,159","3,798",616,498,427,422,439,442,640,614,"1,263"
2020,9,60,"9,677","3,331",742,713,602,582,575,466,684,714,"1,268"
2020,9,70,"6,828","2,369",536,459,468,417,440,365,578,487,709
2020,9,80,"4,218","1,126",380,342,387,284,349,258,345,285,462
2020,9,90,543,131,72,49,48,29,34,32,36,47,65
2020,9,100,31,16,3,1,2,0,1,1,3,2,2
2020,10,총,"51,476","22,863","3,322","2,833","2,478","2,544","2,876","2,165","3,226","3,072","6,097"
2020,10,0,"2,614","1,693",83,84,65,126,86,63,75,82,257
2020,10,10,"4,324","2,470",163,106,72,142,414,171,215,147,424
2020,10,20,"3,977","2,161",226,177,112,135,163,98,192,205,508
2020,10,30,"3,800","2,174",203,166,115,147,133,86,144,191,441
2020,10,40,"6,268","3,578",299,238,181,258,237,173,321,295,688
2020,10,50,"9,137","3,773",617,503,428,424,437,444,633,613,"1,265"
2020,10,60,"9,721","3,365",733,707,604,582,580,465,688,719,"1,278"
2020,10,70,"6,824","2,367",541,462,468,414,442,372,571,484,703
2020,10,80,"4,234","1,133",382,340,381,285,349,260,348,288,468
2020,10,90,548,134,72,49,50,31,34,32,37,46,63
2020,10,100,29,15,3,1,2,0,1,1,2,2,2
2020,11,총,"51,443","22,871","3,320","2,833","2,464","2,538","2,872","2,164","3,225","3,060","6,096"
2020,11,0,"2,587","1,683",83,82,65,124,86,62,75,79,248
2020,11,10,"4,306","2,461",164,110,68,141,404,168,214,146,430
2020,11,20,"3,987","2,173",224,174,110,133,164,98,194,205,512
2020,11,30,"3,783","2,169",200,159,112,145,131,88,146,191,442
2020,11,40,"6,258","3,574",301,241,178,257,237,173,320,291,686
2020,11,50,"9,128","3,783",615,506,428,423,437,442,634,604,"1,256"
2020,11,60,"9,747","3,371",728,709,601,582,585,471,687,722,"1,291"
2020,11,70,"6,849","2,376",550,463,472,415,444,371,571,484,703
2020,11,80,"4,210","1,126",379,337,378,285,349,258,348,287,463
2020,11,90,558,140,73,51,50,33,34,31,34,49,63
2020,11,100,30,15,3,1,2,0,1,2,2,2,2
2020,12,총,"51,413","22,858","3,320","2,841","2,462","2,527","2,871","2,154","3,213","3,072","6,095"
2020,12,0,"2,565","1,673",86,79,63,123,82,60,73,78,248
2020,12,10,"4,289","2,464",158,110,68,141,403,163,209,146,427
2020,12,20,"4,020","2,180",226,189,113,134,162,100,196,208,512
2020,12,30,"3,765","2,164",198,158,111,145,130,89,141,193,436
2020,12,40,"6,216","3,556",296,241,175,249,243,168,312,298,678
2020,12,50,"9,087","3,759",619,502,425,421,428,439,639,595,"1,260"
2020,12,60,"9,838","3,411",730,715,605,584,589,472,692,732,"1,308"
2020,12,70,"6,845","2,367",552,465,473,414,452,372,567,483,700
2020,12,80,"4,202","1,131",378,332,376,282,348,259,347,286,463
2020,12,90,555,138,74,49,50,34,33,30,35,51,61
2020,12,100,31,15,3,1,3,0,1,2,2,2,2
2021,1,총,"51,262","22,829","3,307","2,814","2,461","2,518","2,850","2,142","3,209","3,063","6,069"
2021,1,0,"2,528","1,650",85,78,63,120,79,58,73,77,245
2021,1,10,"4,269","2,466",155,108,68,138,391,162,209,146,426
2021,1,20,"4,002","2,184",221,179,111,134,163,100,196,203,511
2021,1,30,"3,696","2,124",196,154,108,139,126,86,139,189,435
2021,1,40,"6,200","3,547",292,243,177,250,242,162,311,294,682
2021,1,50,"9,027","3,766",613,494,418,424,426,435,636,589,"1,226"
2021,1,60,"9,890","3,424",738,712,617,586,589,475,695,737,"1,317"
2021,1,70,"6,848","2,375",551,463,468,415,448,373,567,486,702
2021,1,80,"4,211","1,138",379,335,376,277,353,258,345,288,462
2021,1,90,560,140,74,47,52,35,32,31,36,52,61
2021,1,100,31,15,3,1,3,0,1,2,2,2,2
2021,2,총,"51,227","22,791","3,308","2,811","2,471","2,519","2,869","2,139","3,207","3,066","6,046"
2021,2,0,"2,517","1,636",84,76,64,125,85,56,72,78,241
2021,2,10,"4,254","2,463",152,105,68,136,400,158,211,146,415
2021,2,20,"3,972","2,170",221,181,103,133,165,101,189,202,507
2021,2,30,"3,649","2,092",194,150,111,140,125,83,139,193,422
2021,2,40,"6,191","3,538",294,243,177,250,248,161,304,293,683
2021,2,50,"8,976","3,754",604,488,419,416,419,429,639,578,"1,230"
2021,2,60,"9,997","3,461",752,717,628,589,592,485,703,745,"1,325"
2021,2,70,"6,837","2,374",549,462,468,414,447,370,563,489,701
2021,2,80,"4,239","1,149",379,340,379,280,355,261,349,287,460
2021,2,90,566,140,77,48,51,36,32,33,36,53,60
2021,2,100,29,14,2,1,3,0,1,2,2,2,2
2021,3,총,"50,953","22,593","3,299","2,794","2,457","2,523","2,880","2,130","3,217","3,032","6,028"
2021,3,0,"2,492","1,619",88,75,65,125,83,55,72,76,234
2021,3,10,"4,269","2,445",151,104,70,137,418,164,213,145,422
2021,3,20,"3,925","2,159",212,182,97,134,157,104,190,196,494
2021,3,30,"3,605","2,060",196,147,111,139,125,76,139,189,423
2021,3,40,"6,121","3,499",293,237,172,249,247,157,300,290,677
2021,3,50,"8,864","3,718",596,476,411,417,418,423,627,564,"1,214"
2021,3,60,"10,074","3,462",758,723,637,591,596,490,722,750,"1,345"
2021,3,70,"6,790","2,346",545,464,458,416,444,364,565,484,704
2021,3,80,"4,247","1,148",383,340,383,279,358,263,352,287,454
2021,3,90,557,134,75,46,51,36,34,34,37,51,59
2021,3,100,9,3,2,0,2,0,0,0,0,0,2
2021,4,총,"50,950","22,553","3,302","2,796","2,477","2,510","2,887","2,131","3,219","3,036","6,039"
2021,4,0,"2,470","1,597",88,75,67,121,82,55,74,74,237
2021,4,10,"4,264","2,448",152,102,74,138,421,156,211,145,417
2021,4,20,"3,907","2,153",204,182,100,125,159,106,191,196,491
2021,4,30,"3,578","2,039",193,141,115,143,123,74,144,184,422
2021,4,40,"6,116","3,495",296,237,175,249,247,160,294,292,671
2021,4,50,"8,869","3,713",599,480,413,411,417,425,630,561,"1,220"
2021,4,60,"10,125","3,464",765,727,640,597,598,493,723,760,"1,358"
2021,4,70,"6,788","2,348",547,466,455,409,448,360,562,486,707
2021,4,80,"4,264","1,158",383,341,385,282,355,269,352,288,451
2021,4,90,560,135,73,45,51,35,37,33,38,50,63
2021,4,100,9,3,2,0,2,0,0,0,0,0,2
2021,5,총,"50,932","22,539","3,307","2,800","2,474","2,507","2,874","2,131","3,225","3,034","6,041"
2021,5,0,"2,467","1,596",88,76,68,119,81,56,75,74,234
2021,5,10,"4,254","2,446",156,101,75,135,408,156,213,142,422
2021,5,20,"3,870","2,127",207,180,97,127,160,104,187,196,485
2021,5,30,"3,568","2,025",194,145,113,145,122,76,148,183,417
2021,5,40,"6,069","3,487",292,232,172,243,242,156,287,287,671
2021,5,50,"8,892","3,727",599,479,411,412,420,423,638,567,"1,216"
2021,5,60,"10,159","3,483",763,732,643,591,600,500,721,758,"1,368"
2021,5,70,"6,803","2,343",548,465,456,417,450,358,563,488,715
2021,5,80,"4,280","1,169",384,345,386,283,352,269,355,291,446
2021,5,90,560,133,74,45,51,35,39,33,38,47,65
2021,5,100,10,3,2,0,2,0,0,0,0,1,2
2021,6,총,"50,890","22,543","3,301","2,781","2,469","2,518","2,861","2,124","3,236","3,021","6,036"
2021,6,0,"2,435","1,577",87,75,66,118,79,57,71,74,231
2021,6,10,"4,261","2,459",155,96,74,139,405,155,215,141,422
2021,6,20,"3,854","2,112",208,182,99,131,158,104,182,193,485
2021,6,30,"3,520","2,002",187,140,111,144,118,73,152,181,412
2021,6,40,"6,065","3,493",294,229,172,235,240,155,284,285,678
2021,6,50,"8,855","3,729",602,476,400,417,416,415,638,554,"1,208"
2021,6,60,"10,228","3,514",763,731,650,592,603,502,735,764,"1,374"
2021,6,70,"6,807","2,345",545,464,455,423,453,360,566,487,709
2021,6,80,"4,291","1,170",386,342,387,284,350,271,354,295,452
2021,6,90,565,139,72,46,53,35,39,32,39,47,63
2021,6,100,9,3,2,0,2,0,0,0,0,0,2
2021,7,총,"50,826","22,531","3,292","2,771","2,468","2,518","2,860","2,117","3,237","3,021","6,011"
2021,7,0,"2,419","1,558",87,74,65,120,81,54,73,75,232
2021,7,10,"4,233","2,458",151,96,75,138,391,155,217,141,411
2021,7,20,"3,827","2,110",205,179,102,127,160,102,173,195,474
2021,7,30,"3,492","1,984",186,139,109,145,117,71,152,177,412
2021,7,40,"6,048","3,494",286,226,169,236,236,155,282,286,678
2021,7,50,"8,870","3,743",603,477,396,416,425,412,644,555,"1,199"
2021,7,60,"10,263","3,518",774,732,654,595,608,506,734,762,"1,380"
2021,7,70,"6,806","2,359",540,462,456,422,449,362,563,487,706
2021,7,80,"4,287","1,166",384,340,386,283,353,270,357,295,453
2021,7,90,572,138,74,46,54,36,40,30,42,48,64
2021,7,100,9,3,2,0,2,0,0,0,0,0,2
2021,8,총,"50,783","22,517","3,278","2,782","2,463","2,518","2,844","2,110","3,237","3,017","6,017"
2021,8,0,"2,399","1,536",85,75,65,120,80,54,73,77,234
2021,8,10,"4,199","2,452",148,97,73,137,381,149,216,142,404
2021,8,20,"3,814","2,117",202,174,98,125,156,103,172,191,476
2021,8,30,"3,458","1,956",188,141,110,143,108,70,148,178,416
2021,8,40,"6,035","3,493",284,225,170,237,239,155,279,283,670
2021,8,50,"8,868","3,754",600,480,389,418,417,408,643,554,"1,205"
2021,8,60,"10,314","3,529",772,740,660,592,620,508,740,764,"1,389"
2021,8,70,"6,805","2,370",539,460,453,423,450,365,556,488,701
2021,8,80,"4,308","1,168",387,342,390,286,352,268,366,293,456
2021,8,90,573,139,71,48,53,37,40,30,44,47,64
2021,8,100,10,3,2,0,2,0,1,0,0,0,2
2021,9,총,"50,629","22,483","3,264","2,778","2,453","2,522","2,806","2,093","3,239","2,999","5,992"
2021,9,0,"2,384","1,528",83,71,63,118,79,54,74,78,236
2021,9,10,"4,153","2,448",148,97,73,136,350,146,210,142,403
2021,9,20,"3,749","2,096",193,172,96,125,148,98,175,184,462
2021,9,30,"3,423","1,938",185,133,110,143,108,71,141,179,415
2021,9,40,"5,996","3,489",277,226,167,233,236,144,280,275,669
2021,9,50,"8,872","3,754",595,482,384,426,421,410,651,550,"1,199"
2021,9,60,"10,339","3,540",779,748,658,593,621,513,736,765,"1,386"
2021,9,70,"6,814","2,376",543,458,456,424,450,364,561,484,698
2021,9,80,"4,317","1,173",389,343,390,286,351,264,367,295,459
2021,9,90,572,138,70,48,54,38,41,29,44,47,63
2021,9,100,10,3,2,0,2,0,1,0,0,0,2
2021,10,총,"50,597","22,463","3,255","2,766","2,462","2,515","2,792","2,097","3,239","3,015","5,993"
2021,10,0,"2,369","1,517",86,66,63,118,79,49,75,79,237
2021,10,10,"4,125","2,433",149,96,76,135,340,147,201,144,404
2021,10,20,"3,750","2,102",191,172,96,124,147,101,177,182,458
2021,10,30,"3,394","1,924",180,129,110,138,110,72,143,178,410
2021,10,40,"5,958","3,472",274,222,167,230,231,146,278,273,665
2021,10,50,"8,906","3,773",591,480,390,429,421,407,654,557,"1,204"
2021,10,60,"10,355","3,553",777,751,655,592,622,516,735,767,"1,387"
2021,10,70,"6,830","2,381",544,458,458,423,450,362,564,489,701
2021,10,80,"4,315","1,166",388,345,391,287,347,268,366,297,460
2021,10,90,584,138,73,47,54,39,44,29,46,49,65
2021,10,100,11,4,2,0,2,0,1,0,0,0,2
2021,11,총,"50,562","22,443","3,251","2,766","2,455","2,512","2,780","2,113","3,245","3,008","5,989"
2021,11,0,"2,356","1,501",86,66,63,119,77,50,78,80,236
2021,11,10,"4,110","2,434",148,96,74,134,335,151,197,140,401
2021,11,20,"3,728","2,092",186,168,92,124,148,104,177,184,453
2021,11,30,"3,383","1,918",178,131,112,136,112,72,139,175,410
2021,11,40,"5,952","3,471",277,221,167,226,233,145,284,268,660
2021,11,50,"8,880","3,755",591,481,387,427,419,403,654,554,"1,209"
2021,11,60,"10,383","3,561",782,745,660,599,617,525,739,767,"1,388"
2021,11,70,"6,835","2,402",538,458,455,420,445,363,565,488,701
2021,11,80,"4,337","1,167",389,353,388,286,350,271,368,301,464
2021,11,90,589,140,74,47,55,41,43,29,44,51,65
2021,11,100,9,2,2,0,2,0,1,0,0,0,2
2021,12,총,"50,477","22,381","3,252","2,768","2,468","2,505","2,766","2,116","3,244","2,998","5,979"
2021,12,0,"2,316","1,478",83,64,62,113,78,49,80,78,231
2021,12,10,"4,102","2,438",151,94,78,134,326,149,191,140,401
2021,12,20,"3,709","2,084",184,166,93,126,141,104,179,178,454
2021,12,30,"3,362","1,900",180,133,111,130,115,73,136,176,408
2021,12,40,"5,946","3,467",277,220,174,225,231,148,285,271,648
2021,12,50,"8,856","3,729",594,486,387,425,414,405,652,547,"1,217"
2021,12,60,"10,415","3,570",783,745,664,603,621,528,741,768,"1,392"
2021,12,70,"6,779","2,383",536,455,452,414,441,356,563,482,697
2021,12,80,"4,391","1,188",389,360,391,294,354,274,371,305,465
2021,12,90,591,142,73,45,54,41,44,29,46,53,64
2021,12,100,10,2,2,0,2,0,1,1,0,0,2
