년도,월,나이,용인시,처인구,포곡읍,모현읍,이동읍,남사면,원삼면,백암면,양지면,중앙동,역삼동,유림동,동부동,기흥구,신갈동,영덕동,영덕1동,영덕2동,구갈동,상갈동,보라동,기흥동,서농동,구성동,마북동,동백1동,동백2동,동백3동,동백동,상하동,보정동,수지구,풍덕천1동,풍덕천2동,신봉동,죽전1동,죽전2동,동천동,상현1동,상현2동,성복동,남사읍,역북동,삼가동,죽전3동,상현3동
2020,1,90,990,241,20,19,22,22,21,23,21,22,24,26,21,399,37,0.0,13,41,24,7,39,13,9,41,50,22,23,21,0.0,17,42,350,34,36,31,53,26,29,40,47,54,,,,,
2020,1,100,33,13,0,2,1,0,0,1,1,5,3,0,0,13,1,0.0,0,1,1,1,1,0,1,1,2,0,2,1,0.0,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020,2,총,"527,799","130,142","17,020","13,508","10,285","11,707","4,334","4,524","9,639","12,279","22,025","18,012","6,809","216,261","19,525",,"15,264","8,239","20,968","6,992","16,573","10,456","12,940","19,076","15,891","15,882","13,479","11,054",,"12,163","17,759","181,396","18,256","20,698","18,611","27,681","9,220","22,773","23,768","16,734","23,655",,,,,
2020,2,0,"53,626","11,248","1,268","1,071",848,"1,585",172,140,694,827,"2,606","1,652",385,"23,262","1,819",,"1,890",948,"2,324",566,"1,724",997,"1,686","1,862","1,499","1,888","1,490","1,576",,"1,127","1,866","19,116","1,530","2,501","1,881","2,783",833,"2,742","2,488","1,836","2,522",,,,,
2020,2,10,"62,982","13,181","2,000","1,232",974,855,311,281,"1,010","1,172","2,342","2,337",667,"26,504","1,959",,"1,859",668,"1,806",703,"2,255","1,143","1,221","2,554","1,606","2,908","2,442","1,517",,"1,533","2,330","23,297","2,006","3,038","2,751","3,674",860,"2,610","3,213","2,231","2,914",,,,,
2020,2,20,"68,721","18,010","2,587","1,762","1,185","1,043",450,480,"1,240","2,259","3,450","2,521","1,033","27,926","2,585",,"1,947","1,131","3,146","1,024","1,991","1,298","2,559","2,146","2,070","1,693","1,562","1,038",,"1,702","2,034","22,785","2,783","2,460","2,087","3,837","1,376","2,664","3,008","1,939","2,631",,,,,
2020,2,30,"73,211","18,199","2,163","1,660","1,294","2,168",427,467,"1,269","1,702","3,819","2,406",824,"30,189","3,285",,"2,446","1,568","4,156","1,060","1,988","1,402","2,403","2,153","2,101","1,585","1,133","1,471",,"1,432","2,006","24,823","3,266","3,004","1,914","3,433","1,718","3,512","3,331","2,132","2,513",,,,,
2020,2,40,"99,553","22,853","3,148","2,351","1,851","2,141",635,631,"1,663","2,042","3,879","3,440","1,072","41,785","3,431",,"3,056","1,330","3,651","1,295","3,287","1,920","2,258","3,830","2,680","3,877","3,016","2,435",,"2,216","3,503","34,915","3,098","4,459","3,834","5,404","1,508","4,371","4,570","3,170","4,501",,,,,
2020,2,50,"81,386","22,092","3,030","2,508","1,916","1,600",872,922,"1,704","2,043","3,099","3,085","1,313","32,255","3,145",,"2,296","1,253","3,175","1,204","2,478","1,623","1,536","2,734","2,439","2,243","2,164","1,290",,"2,091","2,584","27,039","2,739","3,005","2,874","4,202","1,431","3,265","3,517","2,511","3,495",,,,,
2020,2,60,"47,434","14,529","1,680","1,737","1,313","1,332",818,917,"1,270","1,342","1,691","1,493",936,"18,103","1,829",,"1,123",750,"1,596",572,"1,479","1,158",812,"1,828","1,674",863,893,790,,"1,171","1,565","14,802","1,491","1,130","1,510","2,231",809,"2,080","1,847","1,342","2,362",,,,,
2020,2,70,"29,301","7,181",799,855,633,745,466,439,557,635,846,780,426,"11,629","1,013",,507,345,850,405,"1,000",686,348,"1,388","1,277",569,558,691,,650,"1,342","10,491",966,718,"1,249","1,468",483,"1,148","1,289","1,132","2,038",,,,,
2020,2,80,"10,550","2,594",324,309,249,214,160,225,211,231,267,272,132,"4,190",421,,126,203,241,155,331,217,106,539,492,234,197,221,,223,484,"3,766",339,346,481,596,173,352,462,396,621,,,,,
2020,2,90,"1,002",242,21,21,21,24,23,21,20,21,23,26,21,405,37,,14,42,22,7,39,12,10,41,51,22,22,24,,18,44,355,36,35,30,53,29,29,41,45,57,,,,,
2020,2,100,33,13,0,2,1,0,0,1,1,5,3,0,0,13,1,,0,1,1,1,1,0,1,1,2,0,2,1,,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020,3,총,"528,764","130,255","17,042","13,507","10,309","11,729","4,328","4,529","9,635","12,293","22,039","18,016","6,828","216,733","19,547",,"15,242","8,410","20,980","6,982","16,593","10,463","12,961","19,078","15,887","15,851","13,482","11,165",,"12,216","17,876","181,776","18,337","20,718","18,648","27,681","9,225","22,865","23,772","16,741","23,789",,,,,
2020,3,0,"53,448","11,195","1,272","1,067",835,"1,591",176,135,686,813,"2,591","1,647",382,"23,130","1,806",,"1,873",958,"2,318",561,"1,713",979,"1,677","1,841","1,491","1,872","1,489","1,567",,"1,118","1,867","19,123","1,525","2,512","1,881","2,760",826,"2,760","2,480","1,843","2,536",,,,,
2020,3,10,"62,777","13,087","1,991","1,214",972,857,306,276,996,"1,167","2,331","2,314",663,"26,434","1,949",,"1,842",671,"1,800",686,"2,246","1,152","1,221","2,541","1,604","2,898","2,439","1,526",,"1,518","2,341","23,256","2,009","3,010","2,755","3,682",851,"2,616","3,200","2,217","2,916",,,,,
2020,3,20,"69,299","18,132","2,581","1,779","1,188","1,049",438,489,"1,254","2,277","3,479","2,546","1,052","28,259","2,613",,"1,943","1,210","3,171","1,030","2,007","1,311","2,601","2,184","2,078","1,696","1,561","1,052",,"1,735","2,067","22,908","2,802","2,461","2,102","3,842","1,410","2,677","3,029","1,930","2,655",,,,,
2020,3,30,"73,115","18,106","2,166","1,665","1,294","2,149",429,468,"1,262","1,692","3,789","2,376",816,"30,123","3,297",,"2,438","1,594","4,132","1,052","1,993","1,384","2,385","2,125","2,090","1,566","1,138","1,482",,"1,435","2,012","24,886","3,261","3,017","1,913","3,435","1,703","3,534","3,341","2,149","2,533",,,,,
2020,3,40,"99,398","22,872","3,143","2,341","1,864","2,157",632,626,"1,661","2,048","3,894","3,437","1,069","41,694","3,426",,"3,034","1,347","3,627","1,280","3,271","1,924","2,256","3,825","2,674","3,871","3,000","2,449",,"2,210","3,500","34,832","3,088","4,468","3,806","5,370","1,504","4,375","4,552","3,173","4,496",,,,,
2020,3,50,"81,689","22,078","3,021","2,505","1,908","1,601",865,920,"1,700","2,053","3,088","3,097","1,320","32,426","3,138",,"2,317","1,270","3,204","1,226","2,487","1,635","1,529","2,748","2,431","2,247","2,181","1,296",,"2,106","2,611","27,185","2,744","3,016","2,902","4,235","1,425","3,285","3,527","2,503","3,548",,,,,
2020,3,60,"47,848","14,689","1,723","1,742","1,329","1,334",827,923,"1,285","1,348","1,720","1,515",943,"18,276","1,852",,"1,132",758,"1,604",573,"1,492","1,157",825,"1,841","1,692",872,894,804,,"1,195","1,585","14,883","1,537","1,133","1,515","2,238",816,"2,084","1,851","1,344","2,365",,,,,
2020,3,70,"29,415","7,211",796,860,643,753,467,442,554,636,845,784,431,"11,686","1,008",,518,349,855,403,"1,004",690,344,"1,384","1,280",571,556,716,,650,"1,358","10,518",978,717,"1,260","1,468",488,"1,149","1,274","1,135","2,049",,,,,
2020,3,80,"10,727","2,630",326,312,253,215,165,229,216,232,276,274,132,"4,275",415,,131,207,245,163,339,219,112,548,491,235,201,248,,230,491,"3,822",354,346,484,599,174,355,476,401,633,,,,,
2020,3,90,"1,013",242,23,20,22,23,23,20,20,22,23,26,20,415,41,,14,45,23,7,39,12,10,40,54,23,21,24,,19,43,356,37,36,30,52,28,30,40,46,57,,,,,
2020,3,100,35,13,0,2,1,0,0,1,1,5,3,0,0,15,2,,0,1,1,1,2,0,1,1,2,0,2,1,,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020,4,총,"530,251","130,446","17,090","13,535","10,303","11,764","4,317","4,538","9,649","12,285","22,094","18,038","6,833","217,252","19,548",,"15,297","8,518","21,057","6,976","16,663","10,458","13,049","19,098","15,895","15,864","13,458","11,239",,"12,205","17,927","182,553","18,343","20,697","18,678","27,646","9,232","23,604","23,781","16,710","23,862",,,,,
2020,4,0,"53,310","11,147","1,247","1,052",829,"1,597",177,133,688,805,"2,602","1,637",380,"22,963","1,794",,"1,868",957,"2,315",562,"1,703",972,"1,659","1,816","1,481","1,851","1,451","1,564",,"1,107","1,863","19,200","1,494","2,500","1,872","2,731",828,"2,922","2,485","1,837","2,531",,,,,
2020,4,10,"62,747","13,097","2,053","1,216",958,863,316,277,972,"1,150","2,321","2,306",665,"26,431","1,933",,"1,843",677,"1,789",679,"2,252","1,140","1,239","2,543","1,594","2,902","2,446","1,539",,"1,510","2,345","23,219","1,991","2,993","2,757","3,666",842,"2,666","3,192","2,205","2,907",,,,,
2020,4,20,"69,896","18,252","2,605","1,791","1,207","1,058",422,493,"1,268","2,284","3,511","2,564","1,049","28,569","2,618",,"1,959","1,250","3,202","1,033","2,032","1,307","2,695","2,209","2,088","1,710","1,575","1,056",,"1,740","2,095","23,075","2,823","2,477","2,109","3,860","1,428","2,719","3,058","1,935","2,666",,,,,
2020,4,30,"73,319","18,060","2,148","1,657","1,272","2,144",434,472,"1,268","1,691","3,791","2,371",812,"30,172","3,315",,"2,446","1,631","4,131","1,046","2,004","1,386","2,364","2,115","2,093","1,568","1,127","1,498",,"1,428","2,020","25,087","3,287","3,013","1,934","3,416","1,693","3,710","3,326","2,149","2,559",,,,,
2020,4,40,"99,354","22,839","3,129","2,350","1,860","2,161",621,621,"1,650","2,048","3,904","3,432","1,063","41,633","3,422",,"3,022","1,355","3,641","1,272","3,270","1,917","2,259","3,827","2,666","3,865","2,994","2,432",,"2,203","3,488","34,882","3,066","4,458","3,793","5,354","1,501","4,551","4,513","3,169","4,477",,,,,
2020,4,50,"82,069","22,133","3,025","2,517","1,924","1,608",860,917,"1,719","2,056","3,070","3,112","1,325","32,604","3,134",,"2,341","1,285","3,216","1,232","2,508","1,653","1,533","2,756","2,442","2,259","2,183","1,313",,"2,121","2,628","27,332","2,744","3,031","2,910","4,238","1,427","3,344","3,556","2,498","3,584",,,,,
2020,4,60,"48,134","14,761","1,723","1,744","1,330","1,336",833,932,"1,287","1,358","1,741","1,528",949,"18,400","1,860",,"1,147",764,"1,635",572,"1,509","1,162",832,"1,848","1,707",876,897,812,,"1,193","1,586","14,973","1,551","1,131","1,520","2,256",818,"2,134","1,851","1,339","2,373",,,,,
2020,4,70,"29,527","7,240",808,868,648,757,461,442,559,632,845,785,435,"11,734","1,012",,523,348,857,406,"1,005",687,342,"1,394","1,272",575,562,737,,653,"1,361","10,553",985,706,"1,265","1,463",490,"1,166","1,279","1,132","2,067",,,,,
2020,4,80,"10,840","2,659",329,315,252,216,169,230,216,234,285,278,135,"4,313",417,,134,205,248,166,337,221,115,549,497,233,201,262,,232,496,"3,868",362,351,489,611,177,360,480,399,639,,,,,
2020,4,90,"1,021",246,23,23,22,24,24,20,21,22,22,25,20,418,41,,14,45,22,7,41,13,10,40,53,25,20,25,,18,44,357,38,35,29,51,28,32,39,47,58,,,,,
2020,4,100,34,12,0,2,1,0,0,1,1,5,2,0,0,15,2,,0,1,1,1,2,0,1,1,2,0,2,1,,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020,5,총,"531,727","131,298","17,180","13,549","10,298","11,752","4,319","4,595","10,332","12,301","22,108","18,043","6,821","217,566","19,510",,"15,321","8,592","21,108","6,981","16,655","10,475","13,117","19,103","15,893","15,877","13,458","11,291",,"12,234","17,951","182,863","18,310","20,685","18,678","27,642","9,214","23,978","23,779","16,687","23,890",,,,,
2020,5,0,"53,156","11,086","1,233","1,051",821,"1,597",176,135,680,804,"2,582","1,634",373,"22,868","1,783",,"1,856",965,"2,328",559,"1,689",962,"1,659","1,798","1,478","1,841","1,443","1,568",,"1,094","1,845","19,202","1,468","2,485","1,864","2,715",826,"2,994","2,484","1,824","2,542",,,,,
2020,5,10,"63,375","13,765","2,113","1,214",946,869,315,328,"1,567","1,144","2,316","2,300",653,"26,427","1,934",,"1,845",671,"1,784",677,"2,256","1,132","1,244","2,539","1,603","2,897","2,455","1,541",,"1,512","2,337","23,183","1,974","2,994","2,738","3,654",841,"2,698","3,179","2,203","2,902",,,,,
2020,5,20,"70,247","18,378","2,636","1,801","1,214","1,057",417,495,"1,317","2,276","3,549","2,565","1,051","28,759","2,613",,"1,985","1,289","3,210","1,034","2,027","1,317","2,750","2,205","2,084","1,720","1,582","1,066",,"1,753","2,124","23,110","2,799","2,469","2,124","3,878","1,419","2,745","3,065","1,943","2,668",,,,,
2020,5,30,"73,229","18,010","2,132","1,646","1,276","2,118",434,472,"1,279","1,709","3,775","2,357",812,"30,109","3,293",,"2,442","1,638","4,121","1,044","2,003","1,387","2,354","2,117","2,081","1,567","1,119","1,485",,"1,432","2,026","25,110","3,306","3,008","1,927","3,396","1,689","3,771","3,336","2,129","2,548",,,,,
2020,5,40,"99,347","22,847","3,118","2,360","1,855","2,174",624,619,"1,661","2,047","3,899","3,433","1,057","41,570","3,420",,"3,017","1,364","3,634","1,270","3,258","1,916","2,260","3,813","2,677","3,853","2,977","2,438",,"2,198","3,475","34,930","3,049","4,445","3,785","5,348","1,502","4,633","4,499","3,164","4,505",,,,,
2020,5,50,"82,353","22,168","3,055","2,510","1,925","1,603",856,916,"1,738","2,060","3,066","3,116","1,323","32,762","3,133",,"2,344","1,282","3,240","1,235","2,520","1,661","1,538","2,780","2,437","2,287","2,200","1,317",,"2,139","2,649","27,423","2,737","3,057","2,932","4,241","1,424","3,396","3,557","2,495","3,584",,,,,
2020,5,60,"48,347","14,820","1,722","1,748","1,333","1,335",839,933,"1,293","1,362","1,762","1,536",957,"18,479","1,856",,"1,153",774,"1,651",582,"1,519","1,172",838,"1,852","1,704",873,896,822,,"1,196","1,591","15,048","1,572","1,135","1,522","2,271",818,"2,157","1,853","1,341","2,379",,,,,
2020,5,70,"29,661","7,296",815,875,656,761,463,443,561,636,848,797,441,"11,781","1,017",,528,352,868,399,"1,003",694,346,"1,398","1,269",582,562,746,,659,"1,358","10,584",994,700,"1,265","1,465",491,"1,186","1,284","1,139","2,060",,,,,
2020,5,80,"10,946","2,664",332,317,251,213,171,231,214,236,286,279,134,"4,377",418,,137,212,250,173,339,221,118,559,504,232,202,280,,233,499,"3,905",371,357,490,618,177,364,482,403,643,,,,,
2020,5,90,"1,031",252,24,25,20,25,24,22,21,22,23,26,20,418,40,,14,44,21,7,39,13,9,41,54,25,20,27,,18,46,361,38,33,31,56,27,34,38,46,58,,,,,
2020,5,100,35,12,0,2,1,0,0,1,1,5,2,0,0,16,3,,0,1,1,1,2,0,1,1,2,0,2,1,,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020,6,총,"532,935","132,115","17,216","13,554","10,320","11,754","4,317","4,764","10,829","12,334","22,182","18,049","6,796","217,823","19,531",,"15,311","8,628","21,131","7,007","16,662","10,485","13,128","19,098","15,903","15,896","13,448","11,332",,"12,265","17,998","182,997","18,351","20,678","18,673","27,599","9,162","24,160","23,732","16,688","23,954",,,,,
2020,6,0,"52,977","11,063","1,230","1,036",821,"1,603",175,131,686,813,"2,579","1,618",371,"22,762","1,771",,"1,857",962,"2,323",559,"1,671",962,"1,657","1,785","1,457","1,825","1,431","1,554",,"1,095","1,853","19,152","1,466","2,472","1,858","2,694",813,"3,006","2,481","1,827","2,535",,,,,
2020,6,10,"63,852","14,280","2,093","1,215",948,878,308,476,"1,957","1,141","2,310","2,297",657,"26,429","1,928",,"1,848",667,"1,773",669,"2,264","1,135","1,242","2,537","1,613","2,911","2,457","1,538",,"1,507","2,340","23,143","1,952","2,997","2,736","3,627",833,"2,717","3,167","2,204","2,910",,,,,
2020,6,20,"70,494","18,487","2,652","1,799","1,216","1,058",419,515,"1,382","2,276","3,573","2,564","1,033","28,841","2,616",,"1,978","1,291","3,228","1,040","2,016","1,323","2,758","2,210","2,085","1,735","1,582","1,078",,"1,759","2,142","23,166","2,811","2,466","2,125","3,899","1,416","2,763","3,053","1,941","2,692",,,,,
2020,6,30,"73,188","18,028","2,140","1,637","1,274","2,110",437,469,"1,285","1,708","3,801","2,368",799,"30,108","3,297",,"2,436","1,666","4,121","1,047","1,996","1,384","2,356","2,115","2,079","1,552","1,112","1,485",,"1,430","2,032","25,052","3,326","3,000","1,919","3,371","1,679","3,780","3,320","2,123","2,534",,,,,
2020,6,40,"99,353","22,903","3,132","2,385","1,863","2,179",619,627,"1,669","2,042","3,902","3,422","1,063","41,512","3,410",,"2,992","1,371","3,636","1,276","3,253","1,906","2,253","3,808","2,686","3,843","2,966","2,448",,"2,196","3,468","34,938","3,032","4,444","3,789","5,319","1,497","4,680","4,496","3,170","4,511",,,,,
2020,6,50,"82,568","22,193","3,059","2,509","1,926","1,592",861,912,"1,748","2,077","3,082","3,119","1,308","32,898","3,147",,"2,364","1,290","3,244","1,234","2,536","1,669","1,539","2,785","2,445","2,295","2,219","1,323",,"2,144","2,664","27,477","2,727","3,063","2,934","4,254","1,416","3,440","3,552","2,484","3,607",,,,,
2020,6,60,"48,645","14,902","1,736","1,748","1,342","1,335",838,938,"1,300","1,373","1,768","1,556",968,"18,585","1,864",,"1,153",771,"1,665",596,"1,531","1,177",849,"1,851","1,706",885,899,823,,"1,209","1,606","15,158","1,615","1,150","1,523","2,282",813,"2,170","1,863","1,354","2,388",,,,,
2020,6,70,"29,779","7,337",817,883,661,760,467,444,568,638,855,799,445,"11,839","1,032",,533,355,870,402,"1,008",692,348,"1,400","1,267",586,559,765,,671,"1,351","10,603","1,007",690,"1,266","1,472",490,"1,195","1,277","1,137","2,069",,,,,
2020,6,80,"11,004","2,653",334,315,247,212,170,228,211,239,285,281,131,"4,411",422,,136,209,249,176,346,224,116,563,511,237,202,289,,235,496,"3,940",377,362,492,624,178,374,482,403,648,,,,,
2020,6,90,"1,040",257,23,25,21,27,23,23,22,22,25,25,21,422,41,,14,45,21,7,39,13,9,43,52,27,19,28,,19,45,361,36,32,31,57,27,35,39,45,59,,,,,
2020,6,100,35,12,0,2,1,0,0,1,1,5,2,0,0,16,3,,0,1,1,1,2,0,1,1,2,0,2,1,,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020,7,총,"533,772","132,481","17,216","13,585","10,312","11,796","4,307","4,859","10,909","12,371","22,249","18,083","6,794","217,948","19,525",,"15,297","8,672","21,111","6,993","16,672","10,502","13,142","19,107","15,887","15,918","13,474","11,358",,"12,268","18,022","183,343","18,364","20,636","18,657","27,581","9,172","24,262","23,727","16,673","24,271",,,,,
2020,7,0,"52,879","11,058","1,220","1,031",811,"1,634",174,133,678,807,"2,574","1,626",370,"22,682","1,758",,"1,862",964,"2,301",555,"1,663",955,"1,660","1,769","1,455","1,823","1,430","1,557",,"1,096","1,834","19,139","1,466","2,461","1,851","2,683",809,"3,001","2,459","1,821","2,588",,,,,
2020,7,10,"63,896","14,344","2,082","1,223",946,875,297,567,"1,982","1,135","2,303","2,285",649,"26,432","1,929",,"1,843",663,"1,769",666,"2,264","1,137","1,242","2,548","1,611","2,917","2,457","1,533",,"1,494","2,359","23,120","1,935","2,993","2,722","3,600",838,"2,723","3,167","2,197","2,945",,,,,
2020,7,20,"70,711","18,598","2,648","1,807","1,225","1,043",424,530,"1,409","2,286","3,610","2,577","1,039","28,903","2,609",,"1,984","1,300","3,239","1,038","2,021","1,328","2,770","2,199","2,087","1,744","1,591","1,086",,"1,767","2,140","23,210","2,799","2,439","2,119","3,914","1,414","2,785","3,068","1,935","2,737",,,,,
2020,7,30,"73,076","17,998","2,148","1,618","1,271","2,115",440,455,"1,286","1,722","3,790","2,354",799,"30,015","3,295",,"2,413","1,677","4,097","1,036","1,983","1,385","2,341","2,121","2,055","1,562","1,112","1,483",,"1,430","2,025","25,063","3,325","2,995","1,924","3,365","1,676","3,791","3,319","2,103","2,565",,,,,
2020,7,40,"99,364","22,972","3,144","2,405","1,838","2,205",615,627,"1,680","2,041","3,923","3,435","1,059","41,403","3,386",,"2,979","1,380","3,631","1,283","3,256","1,907","2,248","3,781","2,675","3,826","2,953","2,442",,"2,186","3,470","34,989","3,024","4,454","3,770","5,309","1,503","4,700","4,489","3,167","4,573",,,,,
2020,7,50,"82,843","22,193","3,049","2,504","1,932","1,569",863,903,"1,756","2,086","3,094","3,134","1,303","33,090","3,174",,"2,366","1,292","3,257","1,231","2,554","1,685","1,543","2,810","2,465","2,319","2,235","1,329",,"2,142","2,688","27,560","2,723","3,051","2,941","4,250","1,416","3,467","3,558","2,492","3,662",,,,,
2020,7,60,"48,937","15,028","1,757","1,767","1,357","1,348",831,941,"1,312","1,384","1,780","1,575",976,"18,670","1,872",,"1,165",781,"1,665",597,"1,526","1,177",860,"1,860","1,706",877,914,826,,"1,229","1,615","15,239","1,645","1,146","1,534","2,294",819,"2,183","1,856","1,357","2,405",,,,,
2020,7,70,"29,873","7,370",814,888,663,768,472,450,576,644,860,791,444,"11,847","1,036",,533,358,878,403,"1,009",689,348,"1,406","1,266",581,558,765,,666,"1,351","10,656","1,023",695,"1,264","1,474",492,"1,199","1,286","1,145","2,078",,,,,
2020,7,80,"11,110","2,652",334,316,246,212,169,229,204,239,287,282,134,"4,461",421,,139,210,251,175,356,226,120,569,511,241,202,306,,240,494,"3,997",385,367,501,634,178,379,485,410,658,,,,,
2020,7,90,"1,047",256,20,24,22,27,22,23,25,22,26,24,21,429,42,,13,46,22,8,38,13,9,43,54,28,20,30,,18,45,362,37,33,31,58,27,34,38,46,58,,,,,
2020,7,100,36,12,0,2,1,0,0,1,1,5,2,0,0,16,3,,0,1,1,1,2,0,1,1,2,0,2,1,,0,1,8,2,2,0,0,0,0,2,0,2,,,,,
2020,8,총,"534,140","132,798","17,234","13,586","10,298","11,786","4,298","5,019","10,993","12,408","22,278","18,099","6,799","217,948","19,453",,"15,329","8,695","21,119","6,981","16,713","10,504","13,151","19,080","15,878","15,918","13,440","11,403",,"12,257","18,027","183,394","18,343","20,554","18,628","27,555","9,161","24,337","23,661","16,628","24,527",,,,,
2020,8,0,"52,577","10,968","1,203","1,014",804,"1,617",172,133,675,807,"2,562","1,617",364,"22,559","1,744",,"1,846",967,"2,294",555,"1,655",935,"1,646","1,763","1,445","1,809","1,431","1,554",,"1,090","1,825","19,050","1,455","2,437","1,841","2,650",805,"3,014","2,437","1,797","2,614",,,,,
2020,8,10,"64,005","14,515","2,092","1,223",941,886,298,704,"2,004","1,139","2,312","2,272",644,"26,369","1,904",,"1,846",660,"1,770",660,"2,270","1,133","1,244","2,528","1,616","2,913","2,441","1,535",,"1,488","2,361","23,121","1,922","2,974","2,718","3,602",835,"2,732","3,159","2,200","2,979",,,,,
2020,8,20,"70,918","18,696","2,654","1,831","1,221","1,034",423,542,"1,446","2,291","3,619","2,588","1,047","28,992","2,593",,"2,001","1,309","3,263","1,039","2,029","1,328","2,780","2,211","2,094","1,753","1,587","1,087",,"1,761","2,157","23,230","2,802","2,437","2,112","3,918","1,419","2,791","3,069","1,934","2,748",,,,,
2020,8,30,"72,820","18,004","2,156","1,609","1,264","2,115",435,457,"1,305","1,726","3,785","2,347",805,"29,812","3,281",,"2,410","1,658","4,047","1,042","1,969","1,383","2,337","2,089","2,050","1,556","1,098","1,481",,"1,416","1,995","25,004","3,315","2,973","1,909","3,357","1,671","3,792","3,291","2,074","2,622",,,,,
2020,8,40,"99,207","22,915","3,122","2,395","1,822","2,213",609,628,"1,670","2,044","3,921","3,437","1,054","41,367","3,370",,"2,986","1,398","3,644","1,267","3,271","1,908","2,258","3,760","2,660","3,809","2,941","2,442",,"2,168","3,485","34,925","3,009","4,438","3,748","5,279","1,496","4,711","4,466","3,165","4,613",,,,,
2020,8,50,"83,170","22,252","3,065","2,501","1,944","1,557",864,901,"1,768","2,092","3,108","3,151","1,301","33,260","3,179",,"2,372","1,297","3,278","1,228","2,567","1,690","1,543","2,835","2,475","2,344","2,244","1,347",,"2,166","2,695","27,658","2,731","3,049","2,957","4,259","1,406","3,493","3,558","2,485","3,720",,,,,
