년도,월,나이,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020,11,70,"3,235",627,315,238,80,243,259,191,399,551,124,208
2020,11,80,"2,649",427,257,212,70,222,278,184,319,307,119,254
2020,11,90,533,100,56,42,13,50,68,35,46,62,8,53
2020,11,100,15,2,2,4,0,1,1,0,2,1,1,1
2020,12,총,"24,275","6,958","1,476","3,169",342,"1,377","1,344",895,"3,158","3,837",644,"1,075"
2020,12,0,"1,439",525,28,395,2,54,25,26,164,183,11,26
2020,12,10,"1,705",773,66,210,17,58,53,26,175,264,20,43
2020,12,20,"1,819",666,77,298,17,84,63,42,268,254,12,38
2020,12,30,"1,956",686,67,516,8,72,45,22,237,257,16,30
2020,12,40,"2,828","1,160",98,416,18,110,70,68,353,427,55,53
2020,12,50,"3,964","1,137",211,443,52,216,197,116,600,707,136,149
2020,12,60,"4,142",862,300,394,65,269,290,186,598,819,139,220
2020,12,70,"3,228",622,313,238,80,242,258,190,396,555,124,210
2020,12,80,"2,644",427,259,214,70,222,276,184,314,306,122,250
2020,12,90,536,98,55,41,13,50,66,35,51,64,8,55
2020,12,100,14,2,2,4,0,0,1,0,2,1,1,1
2021,1,총,"24,263","6,958","1,467","3,173",341,"1,380","1,338",894,"3,154","3,840",645,"1,073"
2021,1,0,"1,421",517,27,395,2,51,25,26,158,183,11,26
2021,1,10,"1,713",776,65,215,15,60,53,26,175,265,20,43
2021,1,20,"1,814",673,76,288,19,87,63,41,266,252,12,37
2021,1,30,"1,956",674,67,524,8,71,45,23,239,258,16,31
2021,1,40,"2,816","1,158",95,413,18,110,66,69,350,428,56,53
2021,1,50,"3,944","1,140",210,445,51,216,194,112,596,696,136,148
2021,1,60,"4,174",867,300,394,65,271,289,188,606,833,139,222
2021,1,70,"3,214",616,314,241,79,235,260,187,396,554,124,208
2021,1,80,"2,655",437,260,213,71,228,272,187,314,304,122,247
2021,1,90,542,97,52,41,13,51,70,35,52,66,8,57
2021,1,100,14,3,1,4,0,0,1,0,2,1,1,1
2021,2,총,"24,157","6,935","1,469","3,137",341,"1,377","1,332",892,"3,140","3,821",645,"1,068"
2021,2,0,"1,398",513,28,387,2,48,25,26,156,177,11,25
2021,2,10,"1,692",772,63,211,14,59,50,25,175,263,19,41
2021,2,20,"1,784",673,74,278,20,90,62,41,254,243,12,37
2021,2,30,"1,937",666,70,524,7,67,43,23,236,258,15,28
2021,2,40,"2,778","1,147",94,405,19,108,64,68,343,423,54,53
2021,2,50,"3,942","1,144",208,433,51,214,195,109,598,701,140,149
2021,2,60,"4,203",867,304,403,66,276,291,194,611,829,139,223
2021,2,70,"3,199",619,314,242,78,233,257,183,390,553,124,206
2021,2,80,"2,665",434,261,210,71,231,274,187,322,308,121,246
2021,2,90,545,97,52,41,13,50,70,36,53,65,9,59
2021,2,100,14,3,1,3,0,1,1,0,2,1,1,1
2021,3,총,"24,083","6,906","1,470","3,116",341,"1,373","1,324",889,"3,136","3,811",646,"1,071"
2021,3,0,"1,367",503,26,373,2,48,25,26,153,174,11,26
2021,3,10,"1,700",765,65,214,14,57,49,25,181,269,20,41
2021,3,20,"1,755",660,72,278,19,88,60,38,252,240,10,38
2021,3,30,"1,914",659,73,508,7,66,45,24,235,253,16,28
2021,3,40,"2,766","1,146",91,404,20,111,63,67,342,418,53,51
2021,3,50,"3,889","1,135",208,436,51,207,191,104,590,682,138,147
2021,3,60,"4,266",876,307,408,67,284,296,197,616,843,142,230
2021,3,70,"3,191",624,313,241,77,228,253,184,391,551,123,206
2021,3,80,"2,666",435,261,211,71,232,270,188,320,313,121,244
2021,3,90,556,100,53,40,13,51,72,36,54,67,11,59
2021,3,100,13,3,1,3,0,1,0,0,2,1,1,1
2021,4,총,"24,065","6,906","1,460","3,098",337,"1,366","1,323",892,"3,138","3,827",650,"1,068"
2021,4,0,"1,361",505,24,366,2,46,25,26,153,177,11,26
2021,4,10,"1,694",763,66,215,12,57,47,25,181,268,19,41
2021,4,20,"1,754",660,68,278,19,90,61,38,246,245,11,38
2021,4,30,"1,897",652,71,485,8,65,46,24,244,259,16,27
2021,4,40,"2,758","1,143",89,413,19,107,62,64,338,418,52,53
2021,4,50,"3,867","1,134",206,438,50,205,186,103,584,677,138,146
2021,4,60,"4,311",888,306,409,67,286,300,203,624,851,147,230
2021,4,70,"3,174",619,311,239,77,223,252,185,393,548,123,204
2021,4,80,"2,677",439,266,211,69,233,273,187,319,315,121,244
2021,4,90,558,100,52,41,14,53,71,37,53,68,11,58
2021,4,100,14,3,1,3,0,1,0,0,3,1,1,1
2021,5,총,"24,061","6,901","1,449","3,113",337,"1,369","1,310",890,"3,145","3,820",654,"1,073"
2021,5,0,"1,361",505,24,373,2,43,25,26,148,178,11,26
2021,5,10,"1,688",762,64,217,12,57,47,25,180,263,19,42
2021,5,20,"1,759",662,67,276,18,91,60,38,250,248,12,37
2021,5,30,"1,886",640,69,489,8,65,47,24,244,258,14,28
2021,5,40,"2,758","1,141",89,415,18,105,61,62,344,417,52,54
2021,5,50,"3,854","1,135",201,436,50,208,177,106,583,673,137,148
2021,5,60,"4,327",893,307,410,69,291,296,198,634,849,151,229
2021,5,70,"3,146",617,306,242,77,214,249,187,383,547,123,201
2021,5,80,"2,707",443,270,213,69,241,276,188,323,315,122,247
2021,5,90,560,100,50,39,14,53,72,36,53,71,12,60
2021,5,100,15,3,2,3,0,1,0,0,3,1,1,1
2021,6,총,"23,993","6,875","1,449","3,136",339,"1,371","1,313",891,"3,104","3,795",644,"1,076"
2021,6,0,"1,352",500,24,372,2,43,27,26,149,174,10,25
2021,6,10,"1,690",766,65,224,12,57,48,25,175,257,19,42
2021,6,20,"1,774",666,67,283,18,89,58,39,255,249,11,39
2021,6,30,"1,870",636,68,493,8,65,46,23,238,251,13,29
2021,6,40,"2,750","1,139",88,423,18,107,64,61,333,413,51,53
2021,6,50,"3,812","1,124",202,436,50,205,178,107,567,661,134,148
2021,6,60,"4,340",893,306,410,71,294,296,198,637,856,151,228
2021,6,70,"3,134",610,307,240,77,215,249,187,378,548,122,201
2021,6,80,"2,697",441,268,213,68,241,274,187,321,313,122,249
2021,6,90,560,98,52,39,15,54,73,38,48,72,10,61
2021,6,100,14,2,2,3,0,1,0,0,3,1,1,1
2021,7,총,"23,982","6,871","1,448","3,143",337,"1,371","1,310",892,"3,101","3,800",641,"1,068"
2021,7,0,"1,345",495,24,374,2,42,28,26,149,170,10,25
2021,7,10,"1,678",761,64,223,11,57,48,25,174,257,17,41
2021,7,20,"1,775",665,69,283,19,87,55,38,255,251,12,41
2021,7,30,"1,859",628,67,495,7,66,47,23,235,251,13,27
2021,7,40,"2,749","1,142",88,420,19,107,63,61,333,412,50,54
2021,7,50,"3,793","1,121",201,440,48,204,176,108,563,657,134,141
2021,7,60,"4,370",907,305,409,71,297,296,196,639,869,151,230
2021,7,70,"3,123",607,304,241,75,217,249,189,378,544,120,199
2021,7,80,"2,708",445,271,214,70,240,275,187,322,313,122,249
2021,7,90,568,98,53,41,15,53,73,39,50,75,11,60
2021,7,100,14,2,2,3,0,1,0,0,3,1,1,1
2021,8,총,"23,979","6,867","1,444","3,145",334,"1,376","1,314",894,"3,095","3,801",644,"1,065"
2021,8,0,"1,348",494,24,375,2,47,27,26,147,170,10,26
2021,8,10,"1,670",760,63,224,10,56,49,26,171,254,17,40
2021,8,20,"1,770",659,67,286,19,85,53,38,255,256,12,40
2021,8,30,"1,865",633,69,492,7,69,47,23,234,250,13,28
2021,8,40,"2,753","1,135",85,420,19,107,64,64,339,413,51,56
2021,8,50,"3,774","1,126",197,440,47,202,177,108,557,647,135,138
2021,8,60,"4,381",910,309,408,71,299,297,194,640,871,152,230
2021,8,70,"3,130",609,303,241,75,217,251,188,378,550,119,199
2021,8,80,"2,704",441,270,217,69,240,274,187,322,316,122,246
2021,8,90,569,97,55,40,15,53,74,40,49,73,12,61
2021,8,100,15,3,2,2,0,1,1,0,3,1,1,1
2021,9,총,"23,911","6,849","1,434","3,130",332,"1,371","1,306",886,"3,082","3,810",643,"1,068"
2021,9,0,"1,332",489,23,371,2,46,24,25,144,172,10,26
2021,9,10,"1,662",756,62,221,10,54,51,26,170,254,17,41
2021,9,20,"1,736",651,63,281,19,80,51,36,248,255,13,39
2021,9,30,"1,856",630,69,489,7,70,46,21,231,252,12,29
2021,9,40,"2,738","1,130",81,418,18,106,63,63,341,413,51,54
2021,9,50,"3,766","1,128",194,440,46,205,176,106,549,647,133,142
2021,9,60,"4,409",918,315,411,73,300,298,194,645,874,152,229
2021,9,70,"3,123",609,300,242,73,216,248,188,376,553,119,199
2021,9,80,"2,707",441,269,214,70,241,275,188,326,317,123,243
2021,9,90,568,95,56,40,14,52,73,39,50,72,12,65
2021,9,100,14,2,2,3,0,1,1,0,2,1,1,1
2021,10,총,"23,889","6,848","1,431","3,135",332,"1,367","1,297",881,"3,076","3,806",646,"1,070"
2021,10,0,"1,328",484,21,370,2,45,24,24,148,176,9,25
2021,10,10,"1,663",760,64,221,10,54,50,25,167,252,18,42
2021,10,20,"1,737",649,66,282,19,77,50,37,251,252,14,40
2021,10,30,"1,841",628,68,481,6,73,43,20,231,249,13,29
2021,10,40,"2,733","1,127",80,424,17,106,63,62,333,415,52,54
2021,10,50,"3,760","1,132",192,443,47,205,173,107,546,644,131,140
2021,10,60,"4,412",923,315,414,74,295,294,193,646,873,155,230
2021,10,70,"3,117",602,299,243,72,217,251,186,376,552,119,200
2021,10,80,"2,713",445,265,214,71,243,276,188,328,319,122,242
2021,10,90,573,96,59,39,14,52,73,38,50,73,12,67
2021,10,100,12,2,2,4,0,0,0,1,0,1,1,1
2021,11,총,"23,872","6,868","1,432","3,137",331,"1,362","1,293",879,"3,059","3,803",648,"1,060"
2021,11,0,"1,335",490,23,372,2,44,25,23,149,173,9,25
2021,11,10,"1,657",762,63,218,10,53,51,26,164,251,18,41
2021,11,20,"1,737",652,71,285,19,74,48,37,248,250,14,39
2021,11,30,"1,828",623,67,483,6,70,41,20,223,252,13,30
2021,11,40,"2,722","1,115",79,420,18,110,65,61,333,414,52,55
2021,11,50,"3,767","1,145",191,446,46,206,171,107,544,642,132,137
2021,11,60,"4,406",930,312,417,74,294,293,192,646,871,154,223
2021,11,70,"3,110",600,300,241,72,216,247,187,372,553,123,199
2021,11,80,"2,723",450,265,214,70,243,277,187,330,323,121,243
2021,11,90,577,99,60,38,14,52,75,38,50,73,11,67
2021,11,100,10,2,1,3,0,0,0,1,0,1,1,1
2021,12,총,"23,832","6,860","1,424","3,147",328,"1,357","1,299",877,"3,043","3,791",650,"1,056"
2021,12,0,"1,319",490,22,373,2,41,24,23,142,169,9,24
2021,12,10,"1,662",769,62,221,10,53,51,27,165,247,17,40
2021,12,20,"1,728",645,73,283,19,75,50,39,241,249,15,39
2021,12,30,"1,821",616,65,487,6,66,43,19,222,254,14,29
2021,12,40,"2,715","1,116",80,419,18,113,65,58,330,410,52,54
2021,12,50,"3,750","1,146",189,447,45,204,169,107,539,637,133,134
2021,12,60,"4,424",928,313,420,75,296,299,190,651,872,154,226
2021,12,70,"3,105",600,293,241,71,215,248,189,375,555,122,196
2021,12,80,"2,722",449,265,215,70,241,279,183,327,325,122,246
2021,12,90,574,98,61,38,12,53,70,41,51,72,11,67
2021,12,100,12,3,1,3,0,0,1,1,0,1,1,1
