년도,월,나이,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020,6,총,"40,583","2,393","1,923","3,053","4,785","10,546","13,977","2,267","1,639"
2020,6,0,"2,983",90,137,127,292,685,"1,483",128,41
2020,6,10,"3,905",150,140,227,479,"1,157","1,536",138,78
2020,6,20,"5,020",270,174,378,608,"1,362","1,854",221,153
2020,6,30,"4,952",248,203,275,553,"1,167","2,069",288,149
2020,6,40,"6,227",312,283,409,716,"1,682","2,337",299,189
2020,6,50,"7,460",482,394,619,866,"2,005","2,273",461,360
2020,6,60,"5,921",505,318,569,780,"1,511","1,458",422,358
2020,6,70,"2,924",243,206,308,353,696,692,206,220
2020,6,80,"1,050",85,61,126,118,249,241,88,82
2020,6,90,128,6,7,13,18,32,31,13,8
2020,6,100,13,2,0,2,2,0,3,3,1
2020,7,총,"40,668","2,369","1,929","3,046","4,768","10,489","14,188","2,257","1,622"
2020,7,0,"2,985",91,137,129,284,675,"1,506",126,37
2020,7,10,"3,907",146,143,228,482,"1,133","1,560",134,81
2020,7,20,"5,033",268,175,378,599,"1,354","1,886",225,148
2020,7,30,"4,952",241,204,276,545,"1,166","2,089",286,145
2020,7,40,"6,236",310,282,402,713,"1,660","2,385",297,187
2020,7,50,"7,468",476,390,622,856,"1,997","2,311",461,355
2020,7,60,"5,959",503,322,566,793,"1,518","1,478",424,355
2020,7,70,"2,931",240,211,304,354,701,696,205,220
2020,7,80,"1,058",86,58,127,124,253,243,82,85
2020,7,90,126,6,7,12,16,32,31,14,8
2020,7,100,13,2,0,2,2,0,3,3,1
2020,8,총,"40,742","2,363","1,927","3,061","4,752","10,500","14,266","2,260","1,613"
2020,8,0,"2,976",89,138,127,278,666,"1,519",126,33
2020,8,10,"3,895",147,141,230,475,"1,136","1,549",136,81
2020,8,20,"5,059",268,174,381,599,"1,367","1,907",221,142
2020,8,30,"4,960",244,202,275,542,"1,174","2,092",286,145
2020,8,40,"6,225",303,284,403,713,"1,646","2,400",294,182
2020,8,50,"7,466",473,392,620,847,"1,989","2,328",458,359
2020,8,60,"6,016",504,322,576,800,"1,530","1,496",434,354
2020,8,70,"2,942",240,210,307,355,704,700,204,222
2020,8,80,"1,063",86,57,128,124,257,241,84,86
2020,8,90,127,7,7,12,17,31,31,14,8
2020,8,100,13,2,0,2,2,0,3,3,1
2020,9,총,"40,828","2,368","1,915","3,050","4,742","10,533","14,347","2,264","1,609"
2020,9,0,"2,973",86,136,127,277,676,"1,513",128,30
2020,9,10,"3,895",147,141,230,472,"1,134","1,559",131,81
2020,9,20,"5,085",278,175,380,602,"1,364","1,922",221,143
2020,9,30,"4,958",234,199,274,541,"1,176","2,107",287,140
2020,9,40,"6,198",296,281,399,703,"1,651","2,397",290,181
2020,9,50,"7,498",485,387,616,848,"1,989","2,354",461,358
2020,9,60,"6,062",506,321,577,800,"1,549","1,516",434,359
2020,9,70,"2,951",242,209,305,353,708,703,210,221
2020,9,80,"1,070",86,60,128,127,254,242,85,88
2020,9,90,125,6,6,12,17,32,31,14,7
2020,9,100,13,2,0,2,2,0,3,3,1
2020,10,총,"40,887","2,371","1,922","3,048","4,759","10,519","14,384","2,272","1,612"
2020,10,0,"2,978",89,136,125,280,669,"1,519",129,31
2020,10,10,"3,885",145,143,232,472,"1,128","1,551",133,81
2020,10,20,"5,090",280,175,375,614,"1,357","1,929",218,142
2020,10,30,"4,953",235,200,273,549,"1,165","2,104",286,141
2020,10,40,"6,178",287,279,398,701,"1,648","2,393",291,181
2020,10,50,"7,518",491,385,612,850,"1,989","2,371",463,357
2020,10,60,"6,108",501,326,586,794,"1,560","1,539",441,361
2020,10,70,"2,960",247,211,305,353,713,702,206,223
2020,10,80,"1,080",88,61,129,126,257,245,87,87
2020,10,90,124,6,6,11,18,33,28,15,7
2020,10,100,13,2,0,2,2,0,3,3,1
2020,11,총,"40,931","2,357","1,913","3,047","4,794","10,512","14,436","2,271","1,601"
2020,11,0,"2,995",87,135,130,283,675,"1,525",128,32
2020,11,10,"3,868",145,145,226,476,"1,121","1,550",130,75
2020,11,20,"5,092",272,172,372,621,"1,353","1,936",218,148
2020,11,30,"4,940",236,198,272,552,"1,154","2,107",288,133
2020,11,40,"6,180",288,273,399,703,"1,639","2,411",286,181
2020,11,50,"7,512",483,383,606,849,"1,993","2,375",468,355
2020,11,60,"6,151",504,327,592,813,"1,569","1,542",443,361
2020,11,70,"2,965",247,211,303,349,718,711,204,222
2020,11,80,"1,089",87,62,134,128,256,248,88,86
2020,11,90,126,6,7,11,18,34,28,15,7
2020,11,100,13,2,0,2,2,0,3,3,1
2020,12,총,"40,965","2,344","1,903","3,069","4,800","10,526","14,450","2,269","1,604"
2020,12,0,"2,981",85,136,130,283,669,"1,519",126,33
2020,12,10,"3,863",144,145,229,476,"1,122","1,547",127,73
2020,12,20,"5,094",272,171,377,624,"1,352","1,931",218,149
2020,12,30,"4,928",225,194,276,549,"1,152","2,107",288,137
2020,12,40,"6,211",291,275,399,713,"1,651","2,413",292,177
2020,12,50,"7,492",478,385,606,833,"1,985","2,387",467,351
2020,12,60,"6,188",507,317,601,824,"1,591","1,543",438,367
2020,12,70,"2,977",249,211,303,347,721,719,206,221
2020,12,80,"1,091",85,61,135,131,250,254,88,87
2020,12,90,127,6,8,11,18,33,27,16,8
2020,12,100,13,2,0,2,2,0,3,3,1
2021,1,총,"40,940","2,339","1,901","3,044","4,794","10,542","14,456","2,263","1,601"
2021,1,0,"2,963",87,137,125,276,659,"1,519",125,35
2021,1,10,"3,859",140,143,229,471,"1,131","1,547",125,73
2021,1,20,"5,063",271,173,368,620,"1,348","1,923",213,147
2021,1,30,"4,898",231,195,267,543,"1,154","2,087",283,138
2021,1,40,"6,216",282,275,396,714,"1,650","2,431",293,175
2021,1,50,"7,455",480,382,594,837,"1,970","2,384",467,341
2021,1,60,"6,257",503,317,610,830,"1,623","1,558",442,374
2021,1,70,"2,979",252,209,306,352,719,717,205,219
2021,1,80,"1,110",85,63,135,133,255,258,91,90
2021,1,90,127,6,7,12,16,33,29,16,8
2021,1,100,13,2,0,2,2,0,3,3,1
2021,2,총,"40,874","2,334","1,906","3,041","4,768","10,535","14,444","2,242","1,604"
2021,2,0,"2,940",87,136,131,271,655,"1,503",118,39
2021,2,10,"3,835",140,138,227,460,"1,122","1,554",121,73
2021,2,20,"5,034",264,182,369,627,"1,333","1,904",211,144
2021,2,30,"4,892",234,195,271,544,"1,156","2,076",276,140
2021,2,40,"6,210",283,277,391,709,"1,634","2,446",298,172
2021,2,50,"7,450",482,377,587,828,"1,982","2,383",466,345
2021,2,60,"6,269",498,323,607,822,"1,638","1,571",438,372
2021,2,70,"2,978",253,208,304,352,728,715,200,218
2021,2,80,"1,129",85,63,140,139,257,258,95,92
2021,2,90,124,6,7,12,14,30,31,16,8
2021,2,100,13,2,0,2,2,0,3,3,1
2021,3,총,"40,736","2,306","1,891","2,997","4,743","10,579","14,384","2,228","1,608"
2021,3,0,"2,943",82,136,132,272,670,"1,488",121,42
2021,3,10,"3,800",134,135,222,454,"1,118","1,550",114,73
2021,3,20,"5,027",259,186,360,617,"1,345","1,904",215,141
2021,3,30,"4,865",230,192,266,540,"1,155","2,066",272,144
2021,3,40,"6,166",281,274,384,699,"1,630","2,430",293,175
2021,3,50,"7,427",475,374,577,828,"2,000","2,362",471,340
2021,3,60,"6,309",497,322,608,830,"1,648","1,586",441,377
2021,3,70,"2,954",254,202,302,350,725,715,193,213
2021,3,80,"1,122",87,63,135,139,260,254,90,94
2021,3,90,117,6,7,10,14,28,27,17,8
2021,3,100,6,1,0,1,0,0,2,1,1
2021,4,총,"40,771","2,297","1,869","2,976","4,715","10,699","14,309","2,298","1,608"
2021,4,0,"2,938",82,135,128,269,677,"1,473",133,41
2021,4,10,"3,793",131,133,220,449,"1,124","1,539",123,74
2021,4,20,"5,001",255,183,354,616,"1,359","1,881",217,136
2021,4,30,"4,867",227,186,264,540,"1,183","2,041",279,147
2021,4,40,"6,185",280,271,381,693,"1,660","2,416",302,182
2021,4,50,"7,412",470,365,575,820,"2,012","2,351",483,336
2021,4,60,"6,366",502,324,604,830,"1,667","1,608",456,375
2021,4,70,"2,955",253,201,303,345,733,713,195,212
2021,4,80,"1,133",90,64,136,139,257,258,93,96
2021,4,90,115,6,7,10,14,27,27,16,8
2021,4,100,6,1,0,1,0,0,2,1,1
2021,5,총,"40,750","2,279","1,842","2,942","4,730","10,754","14,259","2,336","1,608"
2021,5,0,"2,931",82,134,116,266,689,"1,462",141,41
2021,5,10,"3,792",132,132,224,455,"1,115","1,533",125,76
2021,5,20,"4,980",247,177,345,615,"1,376","1,856",224,140
2021,5,30,"4,860",226,181,255,547,"1,189","2,032",287,143
2021,5,40,"6,166",281,268,374,689,"1,660","2,405",304,185
2021,5,50,"7,415",461,354,573,821,"2,030","2,352",490,334
2021,5,60,"6,401",501,331,606,832,"1,678","1,617",459,377
2021,5,70,"2,947",251,196,301,351,732,710,197,209
2021,5,80,"1,140",92,62,137,140,260,263,92,94
2021,5,90,112,5,7,10,14,25,27,16,8
2021,5,100,6,1,0,1,0,0,2,1,1
2021,6,총,"40,772","2,271","1,848","2,929","4,704","10,790","14,243","2,380","1,607"
2021,6,0,"2,936",85,133,117,264,696,"1,451",147,43
2021,6,10,"3,766",129,134,222,440,"1,112","1,524",127,78
2021,6,20,"4,985",241,175,339,619,"1,374","1,865",233,139
2021,6,30,"4,883",225,183,258,540,"1,209","2,030",296,142
2021,6,40,"6,153",283,265,377,679,"1,657","2,398",309,185
2021,6,50,"7,376",455,353,557,818,"2,031","2,340",488,334
2021,6,60,"6,466",505,339,608,834,"1,700","1,630",475,375
2021,6,70,"2,943",248,197,303,351,728,712,197,207
2021,6,80,"1,146",94,62,137,145,258,264,91,95
2021,6,90,111,5,7,10,14,25,27,15,8
2021,6,100,7,1,0,1,0,0,2,2,1
2021,7,총,"40,848","2,277","1,831","2,917","4,720","10,830","14,248","2,419","1,606"
2021,7,0,"2,914",84,127,117,259,693,"1,435",155,44
2021,7,10,"3,772",131,135,220,438,"1,115","1,529",125,79
2021,7,20,"5,027",244,175,337,627,"1,386","1,876",244,138
2021,7,30,"4,863",221,177,259,544,"1,197","2,022",301,142
2021,7,40,"6,150",275,265,371,676,"1,667","2,396",315,185
2021,7,50,"7,402",462,348,558,825,"2,035","2,350",490,334
2021,7,60,"6,511",511,340,607,842,"1,718","1,639",478,376
2021,7,70,"2,938",251,194,299,350,729,708,201,206
2021,7,80,"1,154",92,63,137,146,266,263,94,93
2021,7,90,110,5,7,11,13,24,28,14,8
2021,7,100,7,1,0,1,0,0,2,2,1
2021,8,총,"40,847","2,293","1,831","2,898","4,694","10,836","14,242","2,449","1,604"
2021,8,0,"2,903",87,124,110,255,691,"1,428",165,43
2021,8,10,"3,757",130,135,212,432,"1,116","1,525",130,77
2021,8,20,"5,017",243,175,336,630,"1,375","1,877",244,137
2021,8,30,"4,865",223,181,264,533,"1,198","2,023",301,142
2021,8,40,"6,143",281,263,367,669,"1,660","2,397",323,183
2021,8,50,"7,393",465,346,556,823,"2,036","2,343",490,334
2021,8,60,"6,553",515,341,601,841,"1,740","1,652",482,381
2021,8,70,"2,941",250,198,300,353,728,707,197,208
2021,8,80,"1,159",93,61,140,146,269,260,100,90
2021,8,90,109,5,7,11,12,23,28,15,8
2021,8,100,7,1,0,1,0,0,2,2,1
2021,9,총,"40,901","2,291","1,834","2,883","4,683","10,868","14,264","2,471","1,607"
2021,9,0,"2,884",83,125,106,251,696,"1,421",163,39
2021,9,10,"3,747",133,137,213,420,"1,109","1,528",129,78
2021,9,20,"5,018",244,170,331,627,"1,379","1,873",251,143
2021,9,30,"4,890",221,181,258,539,"1,203","2,043",308,137
2021,9,40,"6,117",277,263,367,660,"1,654","2,382",331,183
2021,9,50,"7,425",466,348,560,829,"2,048","2,355",489,330
2021,9,60,"6,599",519,344,593,848,"1,755","1,663",489,388
2021,9,70,"2,938",249,196,305,348,728,710,195,207
2021,9,80,"1,168",93,63,138,149,272,260,100,93
2021,9,90,108,5,7,11,12,24,27,14,8
2021,9,100,7,1,0,1,0,0,2,2,1
2021,10,총,"40,975","2,291","1,841","2,880","4,666","10,889","14,314","2,479","1,615"
2021,10,0,"2,870",80,125,105,247,700,"1,410",164,39
2021,10,10,"3,748",132,135,211,425,"1,105","1,536",128,76
2021,10,20,"5,031",245,171,330,615,"1,385","1,888",253,144
2021,10,30,"4,896",217,180,259,539,"1,210","2,040",314,137
2021,10,40,"6,107",279,258,370,653,"1,640","2,392",332,183
2021,10,50,"7,436",471,357,556,823,"2,053","2,353",488,335
2021,10,60,"6,661",522,349,599,852,"1,764","1,692",493,390
2021,10,70,"2,941",245,196,301,349,733,713,194,210
2021,10,80,"1,171",94,63,138,151,274,262,97,92
2021,10,90,108,5,7,10,12,25,26,14,9
2021,10,100,6,1,0,1,0,0,2,2,0
2021,11,총,"41,028","2,302","1,825","2,928","4,678","10,903","14,289","2,487","1,616"
2021,11,0,"2,871",88,118,107,247,697,"1,408",165,41
2021,11,10,"3,740",132,139,218,421,"1,105","1,525",124,76
2021,11,20,"5,035",239,169,335,626,"1,385","1,881",256,144
2021,11,30,"4,903",228,171,267,544,"1,205","2,035",316,137
2021,11,40,"6,084",283,256,375,649,"1,621","2,385",335,180
2021,11,50,"7,458",470,357,561,826,"2,062","2,360",485,337
2021,11,60,"6,709",520,350,611,854,"1,788","1,701",497,388
2021,11,70,"2,937",244,194,303,348,736,705,195,212
2021,11,80,"1,180",93,64,138,151,279,265,98,92
2021,11,90,108,5,7,12,12,25,24,14,9
2021,11,100,3,0,0,1,0,0,0,2,0
2021,12,총,"41,080","2,303","1,805","2,945","4,687","10,928","14,306","2,497","1,609"
2021,12,0,"2,850",90,121,109,240,692,"1,395",160,43
2021,12,10,"3,758",135,136,224,431,"1,109","1,524",126,73
2021,12,20,"5,067",244,164,340,626,"1,410","1,876",261,146
2021,12,30,"4,919",226,170,266,552,"1,209","2,038",321,137
2021,12,40,"6,073",282,258,381,648,"1,606","2,385",340,173
2021,12,50,"7,450",464,351,565,821,"2,064","2,371",481,333
2021,12,60,"6,729",521,342,614,854,"1,794","1,714",501,389
2021,12,70,"2,932",244,190,297,351,733,711,194,212
2021,12,80,"1,196",92,67,137,152,286,270,98,94
2021,12,90,105,5,6,12,12,25,22,14,9
2021,12,100,1,0,0,0,0,0,0,1,0
