년도,월,나이,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020,5,80,"1,118",90,56,245,68,14,169,271,85,35,85
2020,5,90,233,14,18,64,8,3,40,48,13,7,18
2020,5,100,11,1,2,3,0,0,1,4,0,0,0
2020,6,총,"20,367","1,170",999,"5,188","1,229",238,"1,924","6,247",941,380,"2,051"
2020,6,0,965,38,32,363,55,2,46,297,22,15,95
2020,6,10,"1,140",52,30,299,66,9,95,399,41,16,133
2020,6,20,"2,653",86,53,"1,033",185,43,135,558,81,24,455
2020,6,30,"1,928",84,58,622,121,19,87,628,45,23,241
2020,6,40,"2,424",112,129,660,114,16,192,802,100,36,263
2020,6,50,"3,650",213,208,725,238,31,365,"1,278",182,79,331
2020,6,60,"3,884",321,265,742,211,49,466,"1,234",221,84,291
2020,6,70,"2,351",157,147,430,162,52,329,722,152,61,139
2020,6,80,"1,124",92,57,245,68,14,168,275,84,35,86
2020,6,90,237,14,18,66,9,3,40,50,13,7,17
2020,6,100,11,1,2,3,0,0,1,4,0,0,0
2020,7,총,"20,433","1,164",998,"5,216","1,235",237,"1,930","6,258",948,380,"2,067"
2020,7,0,967,37,32,368,55,2,45,296,22,15,95
2020,7,10,"1,134",52,29,299,65,9,93,397,40,16,134
2020,7,20,"2,670",84,54,"1,045",185,42,137,548,81,24,470
2020,7,30,"1,915",79,58,621,123,18,88,624,44,22,238
2020,7,40,"2,451",114,127,667,117,16,191,815,100,37,267
2020,7,50,"3,658",214,202,726,234,31,371,"1,286",188,78,328
2020,7,60,"3,899",319,270,743,216,49,467,"1,238",222,83,292
2020,7,70,"2,364",159,150,432,164,52,330,722,153,63,139
2020,7,80,"1,126",91,56,245,67,15,169,278,85,34,86
2020,7,90,238,14,18,67,9,3,38,50,13,8,18
2020,7,100,11,1,2,3,0,0,1,4,0,0,0
2020,8,총,"20,432","1,163",999,"5,200","1,245",237,"1,932","6,265",943,380,"2,068"
2020,8,0,971,38,31,365,58,2,48,292,22,15,100
2020,8,10,"1,129",51,29,299,65,8,93,400,38,15,131
2020,8,20,"2,648",82,54,"1,029",185,42,135,548,79,24,470
2020,8,30,"1,914",78,59,621,123,19,91,618,43,22,240
2020,8,40,"2,449",116,125,669,118,17,192,817,96,37,262
2020,8,50,"3,648",212,201,719,238,30,369,"1,288",189,77,325
2020,8,60,"3,927",323,274,747,217,47,467,"1,244",227,85,296
2020,8,70,"2,366",158,150,435,164,54,329,722,151,62,141
2020,8,80,"1,129",89,55,247,68,15,169,283,84,34,85
2020,8,90,238,14,19,66,9,3,38,49,13,9,18
2020,8,100,13,2,2,3,0,0,1,4,1,0,0
2020,9,총,"20,425","1,160",995,"5,205","1,249",238,"1,929","6,272",937,382,"2,058"
2020,9,0,964,38,30,362,57,2,48,292,23,15,97
2020,9,10,"1,121",49,30,297,65,6,92,406,35,15,126
2020,9,20,"2,666",84,54,"1,036",193,44,133,550,78,24,470
2020,9,30,"1,914",76,58,628,125,19,92,613,45,22,236
2020,9,40,"2,444",115,121,671,118,18,183,822,94,38,264
2020,9,50,"3,624",212,202,709,236,29,373,"1,275",190,77,321
2020,9,60,"3,938",322,271,753,215,48,466,"1,255",222,86,300
2020,9,70,"2,369",160,153,429,163,54,332,722,153,62,141
2020,9,80,"1,127",84,55,250,68,15,170,284,83,34,84
2020,9,90,245,18,19,67,9,3,39,49,13,9,19
2020,9,100,13,2,2,3,0,0,1,4,1,0,0
2020,10,총,"20,478","1,157","1,001","5,251","1,262",239,"1,920","6,288",937,379,"2,044"
2020,10,0,961,35,30,368,60,2,45,295,22,13,91
2020,10,10,"1,121",47,30,302,64,6,89,411,33,14,125
2020,10,20,"2,709",87,57,"1,059",201,45,136,548,81,25,470
2020,10,30,"1,904",75,56,628,123,20,97,612,41,21,231
2020,10,40,"2,444",114,122,672,122,17,178,821,94,37,267
2020,10,50,"3,618",210,206,715,233,29,368,"1,271",193,76,317
2020,10,60,"3,957",324,269,754,220,48,462,"1,270",224,87,299
2020,10,70,"2,379",162,155,432,162,54,336,722,152,63,141
2020,10,80,"1,129",83,55,251,68,15,171,285,83,34,84
2020,10,90,243,18,19,67,9,3,37,49,13,9,19
2020,10,100,13,2,2,3,0,0,1,4,1,0,0
2020,11,총,"20,497","1,166",994,"5,250","1,246",239,"1,906","6,348",936,377,"2,035"
2020,11,0,948,35,31,366,57,2,42,293,21,13,88
2020,11,10,"1,116",47,29,301,64,7,89,408,34,14,123
2020,11,20,"2,719",88,57,"1,061",195,46,133,562,80,24,473
2020,11,30,"1,896",75,56,627,122,19,97,612,41,21,226
2020,11,40,"2,436",118,121,670,120,16,174,826,93,35,263
2020,11,50,"3,622",206,204,712,225,29,367,"1,295",191,76,317
2020,11,60,"3,987",330,265,760,225,48,458,"1,287",227,87,300
2020,11,70,"2,386",164,154,431,162,54,338,726,151,64,142
2020,11,80,"1,133",84,56,254,66,14,170,287,84,34,84
2020,11,90,240,17,19,64,10,4,37,48,13,9,19
2020,11,100,14,2,2,4,0,0,1,4,1,0,0
2020,12,총,"20,455","1,163",989,"5,238","1,236",229,"1,892","6,377",932,379,"2,020"
2020,12,0,939,35,26,369,56,2,39,291,20,13,88
2020,12,10,"1,102",48,31,294,61,7,85,409,32,15,120
2020,12,20,"2,722",89,56,"1,056",200,35,137,568,79,24,478
2020,12,30,"1,889",74,56,624,119,20,93,619,43,21,220
2020,12,40,"2,409",115,115,671,118,16,168,825,93,36,252
2020,12,50,"3,605",205,205,708,220,29,363,"1,297",188,74,316
2020,12,60,"4,024",330,270,767,226,47,464,"1,301",227,89,303
2020,12,70,"2,371",164,153,427,159,54,334,724,152,63,141
2020,12,80,"1,141",84,57,253,67,15,171,292,84,35,83
2020,12,90,239,17,18,65,10,4,37,47,13,9,19
2020,12,100,14,2,2,4,0,0,1,4,1,0,0
2021,1,총,"20,398","1,155",986,"5,203","1,239",225,"1,870","6,390",927,376,"2,027"
2021,1,0,945,35,26,359,57,2,38,297,22,13,96
2021,1,10,"1,091",47,29,295,62,8,83,401,33,15,118
2021,1,20,"2,692",86,50,"1,039",195,34,131,574,79,24,480
2021,1,30,"1,895",75,58,627,122,20,88,622,43,21,219
2021,1,40,"2,374",115,116,654,121,16,160,816,92,35,249
2021,1,50,"3,597",199,205,706,217,27,360,"1,311",184,73,315
2021,1,60,"4,031",332,270,771,227,48,466,"1,296",228,87,306
2021,1,70,"2,375",163,154,430,161,53,333,728,147,65,141
2021,1,80,"1,149",85,58,255,67,13,172,296,85,34,84
2021,1,90,235,15,18,63,10,4,38,46,13,9,19
2021,1,100,14,3,2,4,0,0,1,3,1,0,0
2021,2,총,"20,348","1,156",980,"5,137","1,240",226,"1,863","6,402",934,379,"2,031"
2021,2,0,938,36,26,352,56,2,39,293,24,13,97
2021,2,10,"1,075",45,28,281,62,9,84,397,33,16,120
2021,2,20,"2,665",83,51,"1,022",193,36,127,576,78,24,475
2021,2,30,"1,881",75,56,619,126,19,87,620,44,20,215
2021,2,40,"2,353",116,116,636,124,14,157,813,91,36,250
2021,2,50,"3,578",197,203,702,212,27,358,"1,301",188,74,316
2021,2,60,"4,075",335,268,778,230,49,465,"1,321",229,87,313
2021,2,70,"2,378",165,154,426,159,51,335,734,148,66,140
2021,2,80,"1,149",86,58,255,68,15,171,295,85,33,83
2021,2,90,243,15,18,63,10,4,39,49,13,10,22
2021,2,100,13,3,2,3,0,0,1,3,1,0,0
2021,3,총,"20,335","1,164",985,"5,094","1,225",227,"1,872","6,434",929,379,"2,026"
2021,3,0,924,38,25,340,54,2,42,290,24,11,98
2021,3,10,"1,070",45,27,282,60,9,83,398,29,17,120
2021,3,20,"2,631",83,52,996,187,35,131,579,80,26,462
2021,3,30,"1,869",75,56,601,127,18,87,624,41,20,220
2021,3,40,"2,337",120,114,636,119,16,153,804,86,37,252
2021,3,50,"3,576",195,205,705,206,26,360,"1,298",195,72,314
2021,3,60,"4,142",339,270,786,234,50,471,"1,362",231,86,313
2021,3,70,"2,379",165,157,427,159,51,334,730,146,68,142
2021,3,80,"1,148",85,58,257,68,16,170,296,83,32,83
2021,3,90,246,16,19,61,11,4,40,50,13,10,22
2021,3,100,13,3,2,3,0,0,1,3,1,0,0
2021,4,총,"20,314","1,159",991,"5,061","1,217",225,"1,875","6,443",931,381,"2,031"
2021,4,0,917,34,24,337,54,2,42,288,23,13,100
2021,4,10,"1,068",45,27,279,62,9,82,403,30,18,113
2021,4,20,"2,620",85,52,992,182,35,131,577,79,27,460
2021,4,30,"1,852",73,57,588,127,15,89,615,40,20,228
2021,4,40,"2,334",118,113,628,115,16,152,818,86,37,251
2021,4,50,"3,559",196,204,700,204,26,362,"1,285",196,72,314
2021,4,60,"4,180",340,274,791,236,49,471,"1,385",228,88,318
2021,4,70,"2,384",165,161,426,157,53,337,727,151,65,142
2021,4,80,"1,142",83,58,255,68,17,170,295,83,30,83
2021,4,90,245,17,19,62,12,3,38,47,14,11,22
2021,4,100,13,3,2,3,0,0,1,3,1,0,0
2021,5,총,"20,319","1,156",994,"5,047","1,210",223,"1,871","6,460",938,385,"2,035"
2021,5,0,916,34,23,337,52,2,44,291,22,12,99
2021,5,10,"1,075",44,28,282,62,9,81,403,31,19,116
2021,5,20,"2,601",86,51,977,177,36,131,579,78,27,459
2021,5,30,"1,842",68,58,582,127,14,88,617,38,21,229
2021,5,40,"2,349",117,113,633,117,16,152,825,89,37,250
2021,5,50,"3,541",197,207,694,203,25,353,"1,274",199,73,316
2021,5,60,"4,211",342,274,802,235,49,476,"1,395",227,90,321
2021,5,70,"2,380",167,162,422,156,53,334,728,154,65,139
2021,5,80,"1,142",83,57,250,69,16,172,297,84,30,84
2021,5,90,248,14,19,65,12,3,39,48,15,11,22
2021,5,100,14,4,2,3,0,0,1,3,1,0,0
2021,6,총,"20,331","1,150",990,"5,050","1,212",224,"1,879","6,458",939,383,"2,046"
2021,6,0,913,35,22,331,55,2,44,290,22,12,100
2021,6,10,"1,077",44,28,283,61,8,81,405,31,19,117
2021,6,20,"2,614",85,50,985,178,39,135,582,79,25,456
2021,6,30,"1,805",68,57,577,127,13,87,592,38,21,225
2021,6,40,"2,365",113,113,634,118,16,153,831,90,37,260
2021,6,50,"3,537",196,204,701,201,25,350,"1,275",195,72,318
2021,6,60,"4,235",341,273,803,235,49,481,"1,405",230,91,327
2021,6,70,"2,378",166,163,421,155,53,336,728,152,64,140
2021,6,80,"1,140",84,59,247,70,15,169,298,85,31,82
2021,6,90,256,14,19,66,12,4,42,51,16,11,21
2021,6,100,11,4,2,2,0,0,1,1,1,0,0
2021,7,총,"20,388","1,151",994,"5,070","1,220",222,"1,888","6,479",940,380,"2,044"
2021,7,0,905,35,22,328,53,2,42,292,22,11,98
2021,7,10,"1,073",46,27,284,62,8,82,399,31,18,116
2021,7,20,"2,628",82,49,991,182,40,138,576,79,24,467
2021,7,30,"1,821",69,58,589,127,11,86,602,40,22,217
2021,7,40,"2,353",112,112,634,118,17,152,832,87,34,255
2021,7,50,"3,530",193,211,695,205,25,349,"1,264",196,72,320
2021,7,60,"4,281",347,273,808,234,49,488,"1,435",229,92,326
2021,7,70,"2,381",166,161,423,156,51,337,727,154,64,142
2021,7,80,"1,147",83,60,251,71,15,172,297,85,32,81
2021,7,90,258,14,19,65,12,4,41,54,16,11,22
2021,7,100,11,4,2,2,0,0,1,1,1,0,0
2021,8,총,"20,373","1,156",997,"5,056","1,209",220,"1,885","6,491",947,378,"2,034"
2021,8,0,902,35,23,326,48,2,42,293,24,11,98
2021,8,10,"1,074",46,27,286,65,8,81,401,30,17,113
2021,8,20,"2,613",79,51,988,181,39,138,577,81,24,455
2021,8,30,"1,823",70,57,593,121,10,87,608,39,22,216
2021,8,40,"2,334",112,114,622,116,17,150,829,87,32,255
2021,8,50,"3,516",195,210,695,203,25,345,"1,251",197,72,323
2021,8,60,"4,307",352,273,803,235,48,488,"1,455",230,93,330
2021,8,70,"2,383",166,159,424,155,52,341,723,157,64,142
2021,8,80,"1,146",82,61,249,73,15,172,297,85,32,80
2021,8,90,263,15,20,68,12,4,40,55,16,11,22
2021,8,100,12,4,2,2,0,0,1,2,1,0,0
2021,9,총,"20,345","1,158",999,"5,035","1,201",223,"1,887","6,483",948,376,"2,035"
2021,9,0,890,35,24,319,46,2,42,289,25,10,98
2021,9,10,"1,082",46,26,284,66,6,81,408,30,18,117
2021,9,20,"2,589",82,53,980,176,43,136,562,80,23,454
2021,9,30,"1,823",73,59,594,115,11,85,609,39,22,216
2021,9,40,"2,318",109,112,624,118,17,147,816,88,31,256
2021,9,50,"3,508",196,206,690,201,25,349,"1,253",197,73,318
2021,9,60,"4,321",350,276,802,240,47,490,"1,463",226,93,334
2021,9,70,"2,383",165,160,421,152,53,340,729,159,63,141
2021,9,80,"1,154",82,62,252,75,15,174,297,87,31,79
2021,9,90,265,16,19,67,12,4,42,55,16,12,22
2021,9,100,12,4,2,2,0,0,1,2,1,0,0
2021,10,총,"20,404","1,159",999,"5,019","1,196",224,"1,899","6,526",950,374,"2,058"
2021,10,0,891,35,24,312,49,3,39,294,24,10,101
2021,10,10,"1,107",46,26,289,66,5,96,413,30,17,119
2021,10,20,"2,587",81,51,975,175,47,137,554,82,23,462
2021,10,30,"1,824",73,59,593,115,9,83,615,37,22,218
2021,10,40,"2,332",109,113,620,113,18,150,832,89,30,258
2021,10,50,"3,493",196,204,679,198,24,349,"1,255",196,72,320
2021,10,60,"4,371",355,279,809,244,47,494,"1,477",232,94,340
2021,10,70,"2,367",165,161,420,151,53,335,720,158,63,141
2021,10,80,"1,153",80,61,254,73,14,174,304,85,31,77
2021,10,90,267,14,19,66,12,4,42,60,16,12,22
2021,10,100,12,5,2,2,0,0,0,2,1,0,0
2021,11,총,"20,404","1,167",997,"5,000","1,195",221,"1,898","6,533",960,372,"2,061"
2021,11,0,878,34,25,300,48,3,37,294,24,10,103
2021,11,10,"1,105",47,26,287,65,3,96,418,28,16,119
2021,11,20,"2,576",81,51,974,174,47,135,548,86,23,457
2021,11,30,"1,845",74,60,594,115,9,82,630,37,20,224
2021,11,40,"2,335",109,111,622,112,17,155,826,91,32,260
2021,11,50,"3,469",196,204,669,199,24,345,"1,245",199,69,319
2021,11,60,"4,394",361,279,815,245,47,498,"1,480",234,97,338
2021,11,70,"2,365",165,159,418,149,53,335,725,159,61,141
2021,11,80,"1,153",81,59,252,76,14,172,306,84,32,77
2021,11,90,271,14,20,67,12,4,43,59,17,12,23
2021,11,100,13,5,3,2,0,0,0,2,1,0,0
2021,12,총,"20,342","1,166",985,"4,969","1,179",220,"1,894","6,561",947,373,"2,048"
2021,12,0,880,34,23,298,46,3,39,303,22,10,102
2021,12,10,"1,097",48,26,289,63,2,96,411,29,16,117
2021,12,20,"2,564",81,50,973,169,48,132,560,78,24,449
2021,12,30,"1,841",72,58,587,110,10,82,638,37,19,228
2021,12,40,"2,294",110,112,608,110,16,154,812,86,32,254
2021,12,50,"3,457",197,201,661,196,24,348,"1,244",198,69,319
2021,12,60,"4,404",360,274,817,248,47,495,"1,493",234,98,338
2021,12,70,"2,361",165,160,413,147,53,332,732,160,60,139
2021,12,80,"1,157",80,59,255,77,13,173,306,84,33,77
2021,12,90,273,14,20,65,13,4,43,60,18,12,24
2021,12,100,14,5,2,3,0,0,0,2,1,0,1
