년도,월,나이,부여군,부여읍,규암면,은산면,외산면,내산면,구룡면,홍산면,옥산면,남면,충화면,양화면,임천면,장암면,세도면,석성면,초촌면
2020,6,0,"3,056","1,114",987,107,49,52,63,86,28,48,24,29,106,81,107,114,61
2020,6,10,"4,809","1,978","1,191",206,122,54,147,177,55,79,33,49,146,119,133,237,83
2020,6,20,"5,517","2,239","1,327",244,114,64,143,189,71,106,54,79,166,159,194,235,133
2020,6,30,"4,542","1,643","1,234",196,96,84,121,138,54,85,55,76,142,144,185,162,127
2020,6,40,"7,383","2,785","1,736",362,209,110,230,251,110,137,66,112,257,230,280,329,179
2020,6,50,"11,105","3,730","1,936",657,397,269,399,456,210,263,185,251,419,435,563,574,361
2020,6,60,"12,728","3,488","1,680",912,565,361,463,631,352,419,294,427,651,591,736,612,546
2020,6,70,"9,479","2,226","1,106",603,483,315,463,570,287,402,235,369,588,514,567,393,358
2020,6,80,"6,287","1,164",737,453,286,222,335,328,217,300,194,291,388,426,388,285,273
2020,6,90,957,194,105,59,44,32,44,54,42,44,21,55,77,63,46,36,41
2020,6,100,56,16,6,11,4,0,3,6,1,2,0,1,1,1,1,2,1
2020,7,총,"65,844","20,542","12,027","3,803","2,365","1,563","2,393","2,892","1,439","1,888","1,155","1,743","2,932","2,767","3,204","2,967","2,164"
2020,7,0,"3,035","1,107",971,109,48,51,64,86,27,50,24,29,103,81,108,116,61
2020,7,10,"4,787","1,969","1,189",208,122,55,140,173,57,79,33,49,146,121,132,230,84
2020,7,20,"5,480","2,230","1,318",231,113,60,142,192,72,109,52,80,163,159,192,235,132
2020,7,30,"4,533","1,641","1,236",199,97,86,117,139,54,83,56,76,139,143,186,153,128
2020,7,40,"7,358","2,767","1,732",355,206,110,226,253,108,139,65,113,261,231,279,333,180
2020,7,50,"11,069","3,718","1,943",657,395,263,399,453,213,262,181,250,415,431,566,566,357
2020,7,60,"12,768","3,490","1,680",912,567,368,460,634,356,421,295,429,651,599,734,619,553
2020,7,70,"9,516","2,247","1,119",603,482,313,465,569,291,402,236,368,589,515,574,388,355
2020,7,80,"6,270","1,162",729,457,287,224,332,333,217,297,192,290,387,419,386,287,271
2020,7,90,972,195,104,61,44,33,45,54,43,44,21,58,77,67,46,38,42
2020,7,100,56,16,6,11,4,0,3,6,1,2,0,1,1,1,1,2,1
2020,8,총,"65,723","20,475","12,001","3,804","2,372","1,554","2,403","2,902","1,444","1,884","1,149","1,726","2,934","2,758","3,198","2,956","2,163"
2020,8,0,"3,025","1,093",971,108,52,52,64,89,27,48,20,29,107,79,108,115,63
2020,8,10,"4,760","1,961","1,173",209,124,56,141,169,58,81,33,49,144,122,132,225,83
2020,8,20,"5,446","2,212","1,312",232,114,59,146,196,71,106,52,75,163,156,186,233,133
2020,8,30,"4,494","1,621","1,234",196,100,85,120,139,51,80,53,75,139,141,183,151,126
2020,8,40,"7,353","2,756","1,731",353,207,109,225,256,108,143,62,113,267,231,279,332,181
2020,8,50,"11,021","3,712","1,933",652,392,264,396,456,213,263,184,241,411,427,566,559,352
2020,8,60,"12,812","3,499","1,692",922,569,366,463,635,362,419,295,431,648,599,737,621,554
2020,8,70,"9,496","2,245","1,111",605,482,313,465,565,293,400,233,363,591,516,571,390,353
2020,8,80,"6,281","1,164",734,456,281,219,331,338,217,298,196,290,387,421,387,290,272
2020,8,90,980,196,104,60,47,31,49,53,43,44,21,59,76,65,48,39,45
2020,8,100,55,16,6,11,4,0,3,6,1,2,0,1,1,1,1,1,1
2020,9,총,"65,613","20,458","11,995","3,792","2,370","1,553","2,398","2,894","1,443","1,870","1,150","1,718","2,924","2,763","3,185","2,952","2,148"
2020,9,0,"2,993","1,079",969,106,51,50,61,89,26,47,22,29,106,77,107,113,61
2020,9,10,"4,748","1,957","1,165",210,123,57,139,168,59,79,33,50,145,122,131,226,84
2020,9,20,"5,424","2,209","1,319",225,115,57,144,196,73,105,53,72,160,158,182,228,128
2020,9,30,"4,471","1,621","1,226",197,99,83,120,139,48,80,56,71,133,140,180,153,125
2020,9,40,"7,292","2,729","1,720",354,205,108,223,251,109,140,62,111,269,231,271,328,181
2020,9,50,"10,988","3,706","1,924",641,389,262,395,458,211,263,181,236,413,428,565,562,354
2020,9,60,"12,862","3,526","1,710",930,573,368,467,627,363,416,298,429,646,601,741,620,547
2020,9,70,"9,496","2,243","1,114",605,484,317,462,568,291,397,231,366,593,517,573,385,350
2020,9,80,"6,294","1,174",735,453,280,219,332,339,218,297,192,294,384,422,386,297,272
2020,9,90,990,198,107,60,47,32,52,53,44,44,22,59,74,66,48,39,45
2020,9,100,55,16,6,11,4,0,3,6,1,2,0,1,1,1,1,1,1
2020,10,총,"65,528","20,430","11,993","3,791","2,363","1,554","2,397","2,900","1,433","1,870","1,148","1,709","2,914","2,765","3,183","2,938","2,140"
2020,10,0,"2,967","1,075",961,104,51,50,62,87,24,47,21,30,106,77,105,108,59
2020,10,10,"4,722","1,948","1,159",210,118,57,139,170,60,79,29,49,142,122,133,222,85
2020,10,20,"5,431","2,205","1,333",222,114,56,145,197,71,103,55,71,161,160,184,231,123
2020,10,30,"4,455","1,624","1,220",200,100,82,120,135,47,76,56,70,131,140,179,148,127
2020,10,40,"7,242","2,700","1,720",348,201,107,222,252,110,141,62,110,269,228,267,328,177
2020,10,50,"10,938","3,700","1,924",644,391,261,387,458,205,261,180,228,403,423,561,557,355
2020,10,60,"12,946","3,545","1,722",937,575,374,473,635,365,422,296,431,651,607,746,623,544
2020,10,70,"9,479","2,250","1,102",603,484,315,460,567,289,393,234,365,595,517,573,382,350
2020,10,80,"6,299","1,170",739,452,279,219,331,342,218,300,193,294,382,423,383,300,274
2020,10,90,993,197,107,60,46,33,55,51,43,46,22,60,72,67,51,38,45
2020,10,100,56,16,6,11,4,0,3,6,1,2,0,1,2,1,1,1,1
2020,11,총,"65,431","20,386","12,010","3,780","2,374","1,553","2,392","2,892","1,436","1,863","1,140","1,701","2,905","2,754","3,168","2,936","2,141"
2020,11,0,"2,941","1,076",950,96,50,51,62,88,24,47,19,30,104,76,99,107,62
2020,11,10,"4,690","1,924","1,164",211,117,56,139,166,60,76,29,49,139,119,133,223,85
2020,11,20,"5,425","2,190","1,348",219,117,57,141,194,71,105,54,72,160,163,183,229,122
2020,11,30,"4,434","1,626","1,217",194,99,85,119,131,48,75,52,70,127,138,177,150,126
2020,11,40,"7,214","2,673","1,726",353,203,105,221,252,108,140,61,108,269,228,265,324,178
2020,11,50,"10,916","3,701","1,933",640,391,262,385,456,204,258,179,222,400,418,563,551,353
2020,11,60,"12,985","3,551","1,721",945,587,373,474,638,365,425,299,434,650,609,743,627,544
2020,11,70,"9,475","2,260","1,098",603,481,312,462,568,292,388,233,364,601,514,567,385,347
2020,11,80,"6,307","1,173",739,449,279,219,332,342,220,303,191,293,380,425,384,301,277
2020,11,90,989,196,108,60,46,33,54,51,43,44,23,58,72,64,53,38,46
2020,11,100,55,16,6,10,4,0,3,6,1,2,0,1,3,0,1,1,1
2020,12,총,"65,354","20,330","12,027","3,780","2,382","1,555","2,378","2,901","1,427","1,853","1,138","1,688","2,899","2,763","3,174","2,923","2,136"
2020,12,0,"2,924","1,064",949,95,51,51,61,93,23,47,18,28,104,76,98,104,62
2020,12,10,"4,674","1,904","1,174",213,121,55,138,165,59,75,26,49,137,119,133,219,87
2020,12,20,"5,425","2,194","1,344",219,117,60,137,199,70,106,53,71,160,165,183,227,120
2020,12,30,"4,402","1,611","1,206",190,98,87,119,134,46,76,52,67,129,141,175,147,124
2020,12,40,"7,204","2,667","1,727",353,205,105,217,255,109,136,60,106,264,226,273,323,178
2020,12,50,"10,858","3,688","1,925",638,393,260,383,449,202,256,177,219,405,418,556,543,346
2020,12,60,"13,037","3,562","1,740",952,588,374,476,640,365,417,304,436,647,611,745,631,549
2020,12,70,"9,457","2,258","1,100",600,479,312,457,567,291,386,232,360,597,516,568,389,345
2020,12,80,"6,330","1,171",747,450,280,217,331,347,218,307,192,294,384,425,387,302,278
2020,12,90,989,195,109,60,46,34,56,47,43,45,24,57,69,66,55,37,46
2020,12,100,54,16,6,10,4,0,3,5,1,2,0,1,3,0,1,1,1
2021,1,총,"65,202","20,274","12,016","3,772","2,382","1,557","2,380","2,889","1,411","1,852","1,135","1,686","2,899","2,755","3,160","2,906","2,128"
2021,1,0,"2,909","1,055",952,95,52,49,58,95,21,49,18,28,105,72,96,104,60
2021,1,10,"4,659","1,908","1,176",207,122,56,141,162,55,75,26,49,133,116,130,214,89
2021,1,20,"5,367","2,168","1,332",219,113,60,132,196,74,103,51,71,165,163,184,220,116
2021,1,30,"4,363","1,591","1,195",189,101,90,120,132,46,76,53,64,127,137,175,144,123
2021,1,40,"7,166","2,648","1,727",345,207,105,217,254,105,140,58,105,263,225,270,322,175
2021,1,50,"10,774","3,668","1,915",634,383,254,385,441,200,248,176,219,404,416,545,540,346
2021,1,60,"13,136","3,592","1,757",962,592,383,479,640,364,421,306,440,650,615,750,633,552
2021,1,70,"9,437","2,254","1,095",600,484,308,456,568,293,381,230,357,597,512,566,392,344
2021,1,80,"6,346","1,175",749,451,281,218,333,349,212,313,193,296,384,433,388,297,274
2021,1,90,991,199,112,59,44,34,56,47,40,44,24,56,68,66,55,39,48
2021,1,100,54,16,6,11,3,0,3,5,1,2,0,1,3,0,1,1,1
2021,2,총,"65,039","20,177","11,989","3,753","2,381","1,557","2,368","2,881","1,418","1,848","1,142","1,687","2,897","2,750","3,160","2,903","2,128"
2021,2,0,"2,892","1,059",935,90,50,49,58,96,22,48,18,30,106,73,96,101,61
2021,2,10,"4,627","1,882","1,175",205,120,54,138,159,56,75,27,49,134,115,130,217,91
2021,2,20,"5,281","2,132","1,308",216,111,62,128,191,73,101,52,67,161,159,180,222,118
2021,2,30,"4,322","1,573","1,184",186,101,88,119,133,49,74,54,63,130,138,172,134,124
2021,2,40,"7,146","2,635","1,739",339,204,102,215,255,103,138,60,105,259,226,270,323,173
2021,2,50,"10,710","3,635","1,902",633,383,253,382,441,202,246,182,217,406,411,538,539,340
2021,2,60,"13,234","3,623","1,784",965,601,385,479,637,365,427,306,445,650,614,763,635,555
2021,2,70,"9,384","2,237","1,093",593,477,307,454,569,292,377,228,350,595,514,566,388,344
2021,2,80,"6,391","1,186",752,458,287,223,336,348,215,314,191,304,382,434,387,302,272
2021,2,90,996,198,111,57,44,34,56,47,40,46,24,56,71,65,57,41,49
2021,2,100,56,17,6,11,3,0,3,5,1,2,0,1,3,1,1,1,1
2021,3,총,"64,626","19,997","11,955","3,703","2,371","1,555","2,353","2,856","1,417","1,837","1,147","1,681","2,883","2,743","3,134","2,870","2,124"
2021,3,0,"2,863","1,040",931,95,48,46,60,90,24,48,18,30,105,72,95,100,61
2021,3,10,"4,584","1,858","1,180",199,116,56,135,159,53,74,28,49,132,116,132,209,88
2021,3,20,"5,269","2,126","1,309",219,113,63,125,187,73,99,55,67,159,156,177,223,118
2021,3,30,"4,277","1,551","1,180",178,95,88,119,126,51,77,53,62,131,139,168,133,126
2021,3,40,"7,038","2,608","1,710",332,199,100,207,252,101,134,59,103,254,224,274,308,173
2021,3,50,"10,597","3,597","1,918",623,382,253,380,430,202,241,181,217,402,398,523,523,327
2021,3,60,"13,251","3,616","1,782",946,606,386,485,642,364,428,306,445,656,622,763,640,564
2021,3,70,"9,351","2,222","1,091",595,473,309,452,571,292,374,231,342,591,516,555,392,345
2021,3,80,"6,380","1,181",742,457,292,219,331,352,216,313,190,311,380,433,391,300,272
2021,3,90,983,192,109,52,45,35,58,45,40,47,26,54,70,66,55,40,49
2021,3,100,33,6,3,7,2,0,1,2,1,2,0,1,3,1,1,2,1
2021,4,총,"64,527","19,936","11,957","3,678","2,367","1,554","2,352","2,852","1,423","1,835","1,147","1,687","2,885","2,748","3,125","2,871","2,110"
2021,4,0,"2,852","1,030",929,96,48,45,60,90,24,47,17,32,105,72,95,101,61
2021,4,10,"4,552","1,832","1,181",194,116,58,137,156,53,74,29,48,131,117,128,211,87
2021,4,20,"5,246","2,116","1,311",216,113,65,123,187,72,98,54,67,158,155,180,219,112
2021,4,30,"4,259","1,549","1,178",175,97,86,121,124,48,72,53,62,132,141,166,132,123
2021,4,40,"6,971","2,574","1,691",330,193,101,205,257,98,135,60,106,252,224,268,306,171
2021,4,50,"10,555","3,589","1,926",613,378,253,369,424,205,239,179,214,405,401,519,519,322
2021,4,60,"13,312","3,636","1,799",948,611,387,491,642,370,426,306,449,655,619,763,644,566
2021,4,70,"9,361","2,227","1,082",597,471,305,451,572,293,381,233,341,594,518,561,393,342
2021,4,80,"6,397","1,180",748,456,292,221,335,352,217,310,190,313,381,434,390,304,274
2021,4,90,989,197,109,46,45,33,59,46,42,51,26,54,70,66,54,40,51
2021,4,100,33,6,3,7,3,0,1,2,1,2,0,1,2,1,1,2,1
2021,5,총,"64,426","19,886","11,961","3,663","2,370","1,553","2,352","2,849","1,411","1,836","1,153","1,678","2,875","2,750","3,122","2,855","2,112"
2021,5,0,"2,822","1,014",930,95,51,44,62,87,24,45,19,31,103,72,92,95,58
2021,5,10,"4,530","1,823","1,174",195,114,56,138,152,53,71,29,49,131,117,130,210,88
2021,5,20,"5,222","2,099","1,314",209,110,66,122,188,71,98,54,67,161,155,177,218,113
2021,5,30,"4,236","1,542","1,170",171,96,89,124,126,50,69,55,59,127,139,166,133,120
2021,5,40,"6,907","2,550","1,688",330,188,99,205,255,93,137,58,106,247,220,262,300,169
2021,5,50,"10,535","3,588","1,927",605,377,251,363,423,208,239,181,209,406,403,522,512,321
2021,5,60,"13,378","3,645","1,813",951,619,393,498,644,366,425,308,448,660,625,763,647,573
2021,5,70,"9,356","2,233","1,082",597,465,303,444,577,290,384,232,341,590,512,562,400,344
2021,5,80,"6,408","1,186",751,459,298,220,337,349,214,313,190,311,376,438,392,300,274
2021,5,90,998,199,108,45,49,32,58,46,41,53,27,56,72,68,55,38,51
2021,5,100,34,7,4,6,3,0,1,2,1,2,0,1,2,1,1,2,1
2021,6,총,"64,361","19,868","11,966","3,672","2,362","1,550","2,356","2,846","1,406","1,842","1,145","1,663","2,858","2,749","3,121","2,847","2,110"
2021,6,0,"2,796","1,003",929,96,47,44,60,85,22,44,18,32,100,73,92,94,57
2021,6,10,"4,528","1,824","1,177",191,115,56,138,151,54,71,29,50,133,111,130,210,88
2021,6,20,"5,192","2,095","1,310",208,111,64,122,185,67,96,53,65,159,158,170,218,111
2021,6,30,"4,225","1,541","1,171",174,91,86,123,125,49,71,52,60,127,135,168,134,118
2021,6,40,"6,922","2,547","1,701",330,190,100,207,259,93,137,59,105,243,223,260,300,168
2021,6,50,"10,472","3,567","1,916",604,375,247,361,419,207,240,179,201,402,403,523,509,319
2021,6,60,"13,436","3,664","1,816",959,621,395,502,651,368,428,309,446,659,630,767,642,579
2021,6,70,"9,353","2,234","1,091",601,461,305,446,574,290,386,230,339,587,509,556,399,345
2021,6,80,"6,411","1,186",740,457,300,221,338,351,216,312,189,308,379,438,400,301,275
2021,6,90,990,200,111,46,48,32,58,43,39,55,27,55,67,68,54,38,49
2021,6,100,36,7,4,6,3,0,1,3,1,2,0,2,2,1,1,2,1
2021,7,총,"64,336","19,863","11,996","3,670","2,353","1,544","2,355","2,832","1,409","1,831","1,144","1,665","2,853","2,742","3,120","2,845","2,114"
2021,7,0,"2,780",993,927,95,45,43,58,86,22,42,19,34,98,73,90,97,58
2021,7,10,"4,520","1,823","1,178",193,112,50,138,148,55,73,29,50,134,108,129,209,91
2021,7,20,"5,189","2,095","1,314",206,109,67,123,181,67,96,54,65,155,160,171,217,109
2021,7,30,"4,211","1,540","1,172",175,90,83,120,120,52,69,51,60,127,134,166,131,121
2021,7,40,"6,906","2,541","1,699",325,187,101,207,261,93,139,62,106,244,220,261,295,165
2021,7,50,"10,399","3,544","1,924",599,372,242,359,408,205,230,176,200,404,398,515,507,316
2021,7,60,"13,512","3,701","1,833",965,619,397,506,656,368,429,306,442,657,630,772,647,584
2021,7,70,"9,342","2,221","1,091",603,462,306,444,571,289,380,233,341,585,513,560,400,343
2021,7,80,"6,437","1,196",744,454,305,222,339,355,217,314,187,311,378,437,399,302,277
2021,7,90,"1,004",202,110,49,49,33,60,43,40,57,27,54,69,68,56,38,49
2021,7,100,36,7,4,6,3,0,1,3,1,2,0,2,2,1,1,2,1
2021,8,총,"64,220","19,767","12,024","3,662","2,347","1,549","2,349","2,828","1,408","1,832","1,144","1,660","2,852","2,738","3,116","2,836","2,108"
2021,8,0,"2,755",975,926,97,42,43,58,85,22,41,19,34,98,73,85,98,59
2021,8,10,"4,507","1,810","1,181",188,113,54,138,149,55,75,29,49,131,105,130,209,91
2021,8,20,"5,144","2,071","1,307",204,109,66,120,180,66,96,54,66,158,157,169,215,106
2021,8,30,"4,204","1,523","1,179",177,92,79,118,120,51,67,51,58,129,136,167,133,124
2021,8,40,"6,869","2,521","1,705",320,180,105,206,259,93,142,64,106,240,218,258,292,160
2021,8,50,"10,356","3,531","1,925",595,370,242,355,404,202,227,173,202,405,395,516,500,314
2021,8,60,"13,552","3,708","1,851",968,618,397,511,656,369,429,311,440,654,634,768,653,585
2021,8,70,"9,322","2,223","1,091",601,461,303,443,568,291,377,230,341,588,508,563,399,335
2021,8,80,"6,463","1,195",745,456,308,225,337,359,218,318,185,311,378,443,401,299,285
2021,8,90,"1,012",203,110,50,51,35,62,45,40,58,28,51,69,68,58,36,48
2021,8,100,36,7,4,6,3,0,1,3,1,2,0,2,2,1,1,2,1
2021,9,총,"64,036","19,691","11,987","3,666","2,330","1,542","2,351","2,815","1,410","1,828","1,144","1,651","2,856","2,722","3,109","2,833","2,101"
2021,9,0,"2,738",967,922,97,42,45,56,85,20,41,20,34,97,71,86,97,58
2021,9,10,"4,466","1,795","1,165",190,109,53,137,145,56,76,29,48,131,103,128,209,92
2021,9,20,"5,075","2,047","1,306",204,108,63,120,170,63,91,50,63,158,152,168,210,102
2021,9,30,"4,158","1,507","1,170",172,90,77,115,122,51,67,53,55,130,135,164,132,118
2021,9,40,"6,828","2,499","1,697",322,172,105,206,259,93,142,65,106,238,216,260,288,160
2021,9,50,"10,331","3,525","1,921",595,372,238,355,403,205,225,170,201,408,392,505,502,314
2021,9,60,"13,559","3,713","1,858",970,606,399,512,654,365,429,313,438,658,631,772,656,585
2021,9,70,"9,334","2,222","1,089",603,467,306,446,569,297,379,230,341,583,506,563,396,337
2021,9,80,"6,482","1,206",745,457,309,221,341,359,219,317,185,312,382,441,402,302,284
2021,9,90,"1,027",203,110,50,52,35,61,46,40,59,29,51,69,74,60,39,49
2021,9,100,38,7,4,6,3,0,2,3,1,2,0,2,2,1,1,2,2
2021,10,총,"63,923","19,645","11,937","3,686","2,332","1,536","2,339","2,811","1,411","1,820","1,140","1,657","2,854","2,713","3,109","2,832","2,101"
2021,10,0,"2,720",974,909,94,42,45,55,87,20,40,19,34,99,66,83,97,56
2021,10,10,"4,438","1,778","1,151",192,109,53,138,142,55,77,29,48,131,100,132,210,93
2021,10,20,"5,048","2,037","1,303",212,109,61,116,167,62,88,49,64,156,151,165,208,100
2021,10,30,"4,141","1,506","1,154",170,92,75,115,124,49,66,52,56,135,134,165,129,119
2021,10,40,"6,798","2,486","1,686",323,173,101,208,252,94,143,65,107,235,218,260,288,159
2021,10,50,"10,325","3,518","1,924",595,372,240,353,403,203,221,173,203,409,392,501,501,317
2021,10,60,"13,540","3,708","1,856",977,601,398,504,656,369,432,309,437,652,625,770,660,586
2021,10,70,"9,334","2,220","1,095",609,469,307,447,566,296,374,228,344,585,507,563,393,331
2021,10,80,"6,508","1,208",746,456,312,220,340,364,224,318,187,311,382,445,408,302,285
2021,10,90,"1,033",205,108,52,49,36,61,47,38,59,29,51,68,74,61,42,53
2021,10,100,38,5,5,6,4,0,2,3,1,2,0,2,2,1,1,2,2
2021,11,총,"63,891","19,614","11,947","3,688","2,335","1,537","2,337","2,813","1,408","1,816","1,142","1,657","2,851","2,711","3,111","2,822","2,102"
2021,11,0,"2,697",964,907,89,44,44,56,85,19,39,21,33,100,67,80,94,55
2021,11,10,"4,458","1,778","1,163",197,108,52,138,143,55,76,28,48,130,102,136,209,95
2021,11,20,"5,053","2,037","1,302",214,112,61,113,166,63,86,50,63,157,150,166,206,107
2021,11,30,"4,120","1,511","1,142",171,89,73,110,121,51,66,54,57,131,134,169,128,113
2021,11,40,"6,776","2,465","1,685",319,177,102,209,256,96,143,63,109,234,215,258,283,162
2021,11,50,"10,305","3,512","1,928",594,368,239,355,403,200,221,172,204,406,393,494,502,314
2021,11,60,"13,572","3,708","1,860",977,604,404,510,656,371,434,314,435,650,626,774,663,586
2021,11,70,"9,316","2,220","1,095",612,467,309,444,563,295,371,226,342,583,504,562,393,330
2021,11,80,"6,514","1,208",749,457,317,219,338,367,220,317,184,313,390,443,408,301,283
2021,11,90,"1,044",207,110,52,46,34,62,50,38,61,30,51,68,76,63,41,55
2021,11,100,36,4,6,6,3,0,2,3,0,2,0,2,2,1,1,2,2
2021,12,총,"63,774","19,575","11,927","3,676","2,332","1,543","2,347","2,809","1,415","1,807","1,137","1,654","2,850","2,701","3,091","2,820","2,090"
2021,12,0,"2,659",958,884,89,44,43,55,84,20,35,21,33,100,66,79,93,55
2021,12,10,"4,438","1,767","1,167",193,106,53,141,142,52,75,28,47,133,98,136,205,95
2021,12,20,"5,047","2,040","1,309",211,107,62,115,165,65,85,50,63,158,151,160,201,105
2021,12,30,"4,103","1,507","1,138",167,90,72,111,120,51,67,52,59,131,131,167,128,112
2021,12,40,"6,749","2,456","1,671",319,176,102,209,256,94,144,63,108,230,217,254,289,161
