년도,월,나이,성남시,수정구,신흥1동,신흥2동,신흥3동,태평1동,태평2동,태평3동,태평4동,수진1동,수진2동,단대동,산성동,양지동,복정동,위례동,신촌동,고등동,시흥동,중원구,성남동,중앙동,금광1동,금광2동,은행1동,은행2동,상대원1동,상대원2동,상대원3동,하대원동,도촌동,분당구,분당동,수내1동,수내2동,수내3동,정자동,정자1동,정자2동,정자3동,서현1동,서현2동,이매1동,이매2동,야탑1동,야탑2동,야탑3동,판교동,삼평동,백현동,금곡동,구미1동,구미동,운중동
2020,3,20,"64,375","16,116",911,605,818,"1,389","1,185",862,930,813,"1,148","1,059",794,715,"1,063","2,862",271,522,169,"15,068","2,774",736,489,"2,013",909,"1,641","1,605",852,867,"1,488","1,694","33,191","1,833","1,247",451,912,"1,513","2,615","1,024","1,040","2,320","1,354","1,695",889,"1,425","1,119","2,033","1,198","1,505","1,947","2,141","1,401","2,276","1,253"
2020,3,30,"68,527","16,318",761,662,666,"1,014",994,852,786,645,"1,003","1,111",748,559,"1,201","4,092",413,574,237,"14,768","2,446",949,507,"1,727",681,"1,438","1,868",745,708,"1,382","2,317","37,441","1,847","1,371",570,846,"1,747","2,828","1,532","1,260","2,241","1,194","1,908",806,"1,462","1,205","2,565","1,829","1,973","2,239","2,503","1,445","2,381","1,689"
2020,3,40,"80,773","17,407",906,797,764,975,"1,136",992,"1,120",812,"1,157","1,254","1,037",825,821,"3,823",359,413,216,"16,147","2,177",982,495,"1,903",878,"1,978","1,863",976,861,"1,541","2,493","47,219","2,619","2,098","1,427","1,771","1,750","3,337","1,501","1,546","3,543","1,877","2,569","1,385","1,425","1,538","2,248","2,729","2,439","2,493","2,442","1,608","2,808","2,066"
2020,3,50,"78,268","19,897","1,216",893,992,"1,356","1,439","1,280","1,180","1,188","1,512","1,447","1,082",895,647,"3,747",300,461,262,"19,675","2,828","1,188",647,"2,228",952,"2,304","2,374","1,408","1,307","2,148","2,291","38,696","2,216","1,352",650,998,"1,482","2,322","1,291","1,259","2,389","1,677","2,068","1,180","1,443","1,376","2,543","1,580","1,946","2,477","2,425","1,497","2,734","1,791"
2020,3,60,"55,166","16,133","1,095",720,845,"1,224","1,178","1,002",914,"1,119","1,308","1,111",949,681,547,"2,512",271,373,284,"14,832","2,186","1,089",475,"1,818",652,"1,779","1,815","1,141",927,"1,392","1,558","24,201","1,412",717,376,547,"1,018","1,249",899,688,"1,359",906,"1,258",785,"1,057","1,106","1,848",987,"1,150","1,343","1,734",865,"1,700","1,197"
2020,3,70,"31,121","9,035",635,323,514,764,671,624,611,694,738,660,651,450,221,"1,004",110,213,152,"8,146","1,289",626,260,968,399,"1,206",920,621,496,623,738,"13,940",733,551,268,258,525,873,649,478,877,421,742,437,588,643,929,476,551,598,"1,135",532,"1,215",461
2020,3,80,"15,270","3,866",280,147,183,308,314,278,265,292,266,284,218,173,96,550,50,100,62,"3,578",573,233,112,415,178,481,403,270,235,325,353,"7,826",404,387,151,146,209,453,464,293,508,279,385,252,260,335,527,224,265,337,665,285,743,254
2020,3,90,"3,036",698,41,25,33,49,58,41,47,49,49,65,34,33,25,99,14,20,16,680,104,46,27,85,33,60,68,53,57,68,79,"1,658",86,61,33,34,58,62,99,64,109,53,84,62,73,79,103,52,59,53,137,58,176,63
2020,3,100,334,138,15,12,8,11,10,11,14,12,11,9,15,3,3,1,0,0,3,133,24,22,25,12,4,13,8,8,8,5,4,63,4,3,1,1,2,3,2,0,4,2,2,4,2,4,8,3,1,2,3,3,9,0
2020,4,총,"475,408","115,973","6,491","5,022","5,344","7,787","7,980","6,772","6,870","6,147","8,173","8,200","6,339","5,130","5,262","23,310","2,273","3,311","1,562","108,153","16,233","6,721","3,475","12,879","5,606","12,592","12,677","6,847","6,202","10,555","14,366","251,282","13,621","9,517","5,499","7,228","10,075","16,535","8,572","8,129","16,823","9,606","13,410","7,162","9,076","8,995","15,053","12,254","12,803","14,554","15,472","9,253","16,568","11,077"
2020,4,0,"34,613","7,733",270,367,210,296,398,355,383,219,460,582,290,333,403,"2,537",281,249,100,"6,719",811,434,209,683,331,671,822,289,296,736,"1,437","20,161","1,011",639,615,542,766,"1,082",439,646,"1,251",707,"1,139",507,679,672,"1,145","1,542","1,376","1,511",995,641,"1,157","1,099"
2020,4,10,"43,750","8,543",360,465,315,416,571,472,628,320,532,638,525,462,254,"2,077",191,241,76,"8,418","1,012",421,235,"1,043",590,"1,031",934,502,449,857,"1,344","26,789","1,457","1,104",964,"1,186",989,"1,688",670,879,"2,185","1,130","1,582",878,644,895,"1,108","1,637","1,533","1,563","1,253",912,"1,362","1,170"
2020,4,20,"64,514","16,173",923,611,814,"1,384","1,194",860,936,816,"1,150","1,052",794,718,"1,081","2,850",276,544,170,"15,077","2,772",734,478,"2,019",920,"1,637","1,596",845,874,"1,478","1,724","33,264","1,833","1,255",452,917,"1,523","2,613","1,037","1,027","2,337","1,360","1,683",887,"1,431","1,137","2,030","1,194","1,503","1,955","2,139","1,406","2,294","1,251"
2020,4,30,"68,403","16,267",757,658,660,"1,002","1,000",849,770,636,996,"1,114",751,560,"1,171","4,078",417,617,231,"14,715","2,431",944,509,"1,710",684,"1,437","1,863",743,705,"1,381","2,308","37,421","1,842","1,366",563,833,"1,746","2,831","1,534","1,267","2,230","1,196","1,898",792,"1,474","1,209","2,558","1,821","1,973","2,234","2,529","1,445","2,370","1,710"
2020,4,40,"80,585","17,364",892,794,764,965,"1,135",985,"1,117",812,"1,154","1,253","1,023",818,819,"3,823",357,440,213,"16,100","2,170",981,493,"1,898",867,"1,964","1,862",968,853,"1,534","2,510","47,121","2,609","2,078","1,434","1,766","1,740","3,336","1,495","1,536","3,560","1,869","2,564","1,377","1,417","1,537","2,244","2,730","2,428","2,480","2,437","1,602","2,802","2,080"
2020,4,50,"78,221","19,889","1,203",898,995,"1,363","1,441","1,279","1,183","1,179","1,497","1,434","1,089",893,639,"3,752",302,483,259,"19,632","2,829","1,175",649,"2,227",945,"2,306","2,366","1,407","1,306","2,131","2,291","38,700","2,215","1,345",647,"1,002","1,489","2,340","1,284","1,248","2,390","1,680","2,063","1,175","1,452","1,373","2,542","1,582","1,952","2,478","2,428","1,497","2,730","1,788"
2020,4,60,"55,428","16,205","1,105",721,846,"1,218","1,188","1,010",914,"1,123","1,310","1,118",945,687,547,"2,523",272,395,283,"14,922","2,206","1,096",478,"1,824",652,"1,793","1,829","1,139",922,"1,414","1,569","24,301","1,423",722,374,542,"1,027","1,251",901,693,"1,368",904,"1,264",791,"1,054","1,103","1,852",995,"1,162","1,345","1,748",876,"1,703","1,203"
2020,4,70,"31,212","9,078",648,324,515,774,666,630,610,687,747,655,651,450,225,"1,015",110,221,150,"8,171","1,298",631,256,965,400,"1,204",932,620,498,629,738,"13,963",737,553,268,261,525,872,645,475,884,426,744,434,591,647,937,472,553,595,"1,136",532,"1,216",460
2020,4,80,"15,298","3,889",277,146,185,310,321,278,269,292,269,281,222,174,95,554,53,100,63,"3,582",574,237,116,412,182,474,398,271,238,320,360,"7,827",404,389,150,145,209,453,464,291,505,280,385,253,259,333,528,226,264,336,665,283,749,256
2020,4,90,"3,044",693,40,26,32,48,56,43,46,51,47,63,34,32,25,100,14,21,15,685,106,46,27,86,31,61,67,55,53,71,82,"1,666",86,63,31,33,59,66,101,67,109,52,86,64,72,84,101,51,58,55,137,56,176,59
2020,4,100,340,139,16,12,8,11,10,11,14,12,11,10,15,3,3,1,0,0,2,132,24,22,25,12,4,14,8,8,8,4,3,69,4,3,1,1,2,3,2,0,4,2,2,4,3,5,8,4,1,2,5,3,9,1
2020,5,총,"474,879","115,941","6,470","4,991","5,372","7,738","7,944","6,769","6,857","6,119","8,156","8,187","6,339","5,120","5,228","23,294","2,262","3,545","1,550","107,949","16,257","6,721","3,475","12,838","5,594","12,546","12,666","6,828","6,152","10,543","14,329","250,989","13,613","9,528","5,512","7,197","10,073","16,514","8,542","8,121","16,836","9,596","13,374","7,143","9,074","8,954","15,011","12,223","12,770","14,591","15,505","9,235","16,541","11,036"
2020,5,0,"34,417","7,687",266,359,214,286,392,356,387,212,457,576,293,325,397,"2,527",275,269,96,"6,688",808,430,221,679,329,659,823,286,292,729,"1,432","20,042","1,012",633,614,535,762,"1,076",440,636,"1,228",698,"1,132",506,685,677,"1,136","1,528","1,376","1,497",991,640,"1,154","1,086"
2020,5,10,"43,592","8,539",359,459,313,412,572,470,626,319,528,645,517,465,247,"2,093",191,246,77,"8,361",997,424,231,"1,032",583,"1,026",935,493,448,849,"1,343","26,692","1,453","1,099",971,"1,186",988,"1,674",668,872,"2,201","1,127","1,572",870,629,891,"1,106","1,634","1,522","1,560","1,244",903,"1,355","1,167"
2020,5,20,"64,475","16,174",914,607,831,"1,368","1,193",861,936,815,"1,155","1,047",799,718,"1,080","2,818",277,588,167,"15,065","2,794",731,472,"2,022",920,"1,638","1,592",849,866,"1,474","1,707","33,236","1,832","1,261",454,915,"1,518","2,608","1,028","1,021","2,353","1,353","1,678",887,"1,427","1,123","2,007","1,190","1,499","1,979","2,143","1,408","2,306","1,246"
2020,5,30,"68,241","16,232",758,651,659,988,"1,002",845,765,636,992,"1,115",748,559,"1,161","4,037",419,668,229,"14,683","2,446",942,507,"1,692",686,"1,434","1,852",739,687,"1,390","2,308","37,326","1,838","1,375",546,826,"1,753","2,831","1,529","1,269","2,210","1,199","1,887",786,"1,481","1,203","2,567","1,818","1,963","2,215","2,534","1,435","2,358","1,703"
2020,5,40,"80,296","17,312",883,791,770,959,"1,119",979,"1,104",803,"1,143","1,243","1,020",820,810,"3,855",351,454,208,"16,001","2,164",973,488,"1,895",859,"1,944","1,851",956,843,"1,524","2,504","46,983","2,598","2,068","1,444","1,754","1,727","3,325","1,490","1,531","3,560","1,858","2,565","1,376","1,405","1,525","2,229","2,724","2,418","2,496","2,431","1,592","2,787","2,080"
2020,5,50,"78,254","19,896","1,194",892,993,"1,360","1,428","1,279","1,186","1,168","1,485","1,430","1,095",886,643,"3,751",305,540,261,"19,620","2,837","1,181",647,"2,220",950,"2,298","2,366","1,404","1,300","2,132","2,285","38,738","2,219","1,354",651,997,"1,499","2,346","1,286","1,249","2,407","1,683","2,056","1,181","1,449","1,369","2,525","1,589","1,955","2,489","2,442","1,496","2,721","1,775"
2020,5,60,"55,586","16,249","1,114",727,847,"1,221","1,189","1,017",911,"1,122","1,308","1,119",946,684,546,"2,528",268,423,279,"14,932","2,210","1,097",483,"1,825",647,"1,786","1,835","1,140",923,"1,421","1,565","24,405","1,418",728,379,542,"1,032","1,257",895,707,"1,373",908,"1,267",788,"1,072","1,100","1,858",994,"1,164","1,361","1,770",882,"1,710","1,200"
2020,5,70,"31,265","9,105",645,322,520,774,669,628,608,687,754,663,651,449,226,"1,020",109,224,156,"8,179","1,294",633,257,959,404,"1,214",935,620,493,629,741,"13,981",751,554,272,260,524,870,638,475,878,435,739,428,590,651,939,470,553,598,"1,138",539,"1,218",461
2020,5,80,"15,360","3,917",280,147,186,311,312,280,271,296,275,279,222,179,89,567,53,109,61,"3,594",577,241,117,416,182,469,400,278,239,319,356,"7,849",404,387,147,148,209,456,468,295,514,279,390,254,260,328,530,223,262,339,674,279,748,255
2020,5,90,"3,053",690,41,24,31,47,58,43,49,49,48,61,33,32,26,96,14,24,14,694,106,47,27,86,30,64,69,55,53,72,85,"1,669",84,66,33,33,59,68,98,66,108,54,86,63,73,82,107,50,57,55,133,58,174,62
2020,5,100,340,140,16,12,8,12,10,11,14,12,11,9,15,3,3,2,0,0,2,132,24,22,25,12,4,14,8,8,8,4,3,68,4,3,1,1,2,3,2,0,4,2,2,4,3,5,7,3,1,2,5,3,10,1
2020,6,총,"474,441","115,929","6,451","4,969","5,392","7,715","7,927","6,753","6,830","6,130","8,145","8,166","6,318","5,115","5,190","23,298","2,255","3,760","1,515","107,828","16,267","6,722","3,472","12,818","5,545","12,529","12,644","6,820","6,122","10,540","14,349","250,684","13,611","9,547","5,504","7,171","10,035","16,481","8,523","8,088","16,813","9,580","13,389","7,124","9,069","8,947","15,008","12,232","12,761","14,546","15,460","9,252","16,512","11,031"
2020,6,0,"34,296","7,638",267,353,213,278,389,349,384,208,446,568,297,323,395,"2,525",274,279,90,"6,697",821,432,223,677,318,654,828,286,285,734,"1,439","19,961","1,007",632,601,531,756,"1,076",430,636,"1,209",702,"1,141",505,683,672,"1,122","1,523","1,367","1,495",982,642,"1,160","1,089"
2020,6,10,"43,400","8,514",350,457,310,412,565,469,619,321,529,644,517,467,239,"2,095",189,256,75,"8,308",995,427,233,"1,027",578,"1,010",918,493,444,836,"1,347","26,578","1,454","1,098",980,"1,175",982,"1,671",663,864,"2,191","1,111","1,560",861,631,888,"1,093","1,640","1,529","1,562","1,229",901,"1,337","1,158"
2020,6,20,"64,470","16,182",913,605,830,"1,366","1,202",865,928,820,"1,152","1,040",792,715,"1,079","2,821",274,615,165,"15,074","2,793",738,463,"2,025",913,"1,655","1,597",842,853,"1,494","1,701","33,214","1,822","1,288",453,923,"1,509","2,604","1,030","1,006","2,362","1,358","1,677",888,"1,409","1,117","2,019","1,185","1,493","1,959","2,139","1,413","2,308","1,252"
2020,6,30,"67,982","16,156",763,644,667,981,987,844,763,627,982,"1,104",733,555,"1,147","4,002",418,712,227,"14,616","2,437",933,505,"1,684",680,"1,424","1,850",732,689,"1,382","2,300","37,210","1,843","1,370",541,809,"1,751","2,783","1,530","1,268","2,210","1,194","1,883",785,"1,478","1,195","2,563","1,830","1,971","2,190","2,524","1,445","2,344","1,703"
2020,6,40,"80,206","17,322",869,788,768,962,"1,118",969,"1,101",811,"1,140","1,238","1,018",815,818,"3,867",351,488,201,"15,990","2,173",978,493,"1,886",849,"1,939","1,842",951,843,"1,521","2,515","46,894","2,594","2,060","1,452","1,750","1,716","3,335","1,484","1,525","3,541","1,854","2,570","1,365","1,406","1,532","2,227","2,721","2,406","2,493","2,415","1,589","2,777","2,082"
2020,6,50,"78,086","19,880","1,191",885,996,"1,347","1,415","1,276","1,171","1,173","1,490","1,436","1,088",883,631,"3,748",303,588,259,"19,488","2,815","1,170",640,"2,211",934,"2,290","2,342","1,395","1,287","2,118","2,286","38,718","2,216","1,360",643,996,"1,497","2,346","1,278","1,233","2,431","1,670","2,064","1,181","1,448","1,371","2,525","1,590","1,947","2,487","2,445","1,497","2,718","1,775"
2020,6,60,"55,943","16,350","1,115",733,861,"1,217","1,196","1,014",922,"1,125","1,314","1,125",956,698,545,"2,537",272,453,267,"15,057","2,231","1,106",485,"1,834",656,"1,794","1,857","1,156",929,"1,432","1,577","24,536","1,430",726,383,551,"1,033","1,265",899,716,"1,366",920,"1,277",789,"1,082","1,109","1,867",997,"1,179","1,368","1,776",888,"1,713","1,202"
2020,6,70,"31,273","9,131",641,321,519,781,672,633,605,690,761,668,647,447,222,"1,027",109,233,155,"8,177","1,292",628,261,961,401,"1,214",931,622,497,629,741,"13,965",750,555,270,256,523,872,633,482,875,437,735,428,593,650,942,471,553,600,"1,136",532,"1,217",455
2020,6,80,"15,373","3,921",285,147,190,312,314,281,276,294,271,273,221,175,85,572,52,113,60,"3,595",581,240,117,416,182,468,402,280,236,316,357,"7,857",406,390,147,148,211,457,476,290,515,277,392,255,262,329,531,222,255,334,669,286,752,253
2020,6,90,"3,070",695,41,24,31,47,59,42,47,49,49,61,34,34,26,101,13,23,14,696,106,48,27,85,30,67,69,55,51,74,84,"1,679",85,65,33,31,55,69,98,68,109,55,88,63,73,79,112,50,59,56,139,56,175,61
2020,6,100,342,140,16,12,7,12,10,11,14,12,11,9,15,3,3,3,0,0,2,130,23,22,25,12,4,14,8,8,8,4,2,72,4,3,1,1,2,3,2,0,4,2,2,4,4,5,7,3,2,2,6,3,11,1
2020,7,총,"473,949","116,060","6,445","5,073","5,401","7,703","7,943","6,708","6,812","6,111","8,115","8,128","6,291","5,102","5,164","23,318","2,261","3,977","1,508","107,651","16,256","6,682","3,458","12,767","5,549","12,522","12,621","6,779","6,116","10,546","14,355","250,238","13,544","9,535","5,508","7,146","10,026","16,462","8,491","8,076","16,809","9,563","13,390","7,113","9,045","8,899","14,984","12,226","12,715","14,551","15,414","9,246","16,473","11,022"
2020,7,0,"34,144","7,623",266,362,216,267,388,339,384,206,437,566,293,323,391,"2,531",274,294,86,"6,654",822,422,218,677,317,646,818,280,287,735,"1,432","19,867",996,631,597,525,745,"1,077",423,633,"1,209",704,"1,145",509,683,665,"1,122","1,513","1,357","1,482",974,640,"1,153","1,084"
