년도,월,나이,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020,3,100,30,6,0,0,1,4,0,0,14,5
2020,4,총,"20,364","4,232",785,411,772,"2,647","2,702","1,533","4,430","2,852"
2020,4,0,989,219,23,10,27,121,152,61,217,159
2020,4,10,"1,413",360,39,19,42,176,194,102,331,150
2020,4,20,"1,439",330,40,15,34,168,183,95,331,243
2020,4,30,"1,500",348,28,26,40,166,224,90,316,262
2020,4,40,"2,444",527,69,35,66,279,361,174,534,399
2020,4,50,"3,825",747,163,87,167,474,535,312,827,513
2020,4,60,"4,099",790,177,94,193,570,549,325,850,551
2020,4,70,"2,706",478,144,78,118,389,299,205,620,375
2020,4,80,"1,653",369,79,39,71,256,185,151,328,175
2020,4,90,267,58,23,8,13,44,20,18,63,20
2020,4,100,29,6,0,0,1,4,0,0,13,5
2020,5,총,"20,403","4,222",786,415,775,"2,645","2,713","1,547","4,422","2,878"
2020,5,0,989,216,23,10,27,121,155,66,212,159
2020,5,10,"1,403",358,36,20,41,174,191,99,332,152
2020,5,20,"1,448",333,43,15,35,168,180,97,331,246
2020,5,30,"1,497",342,27,25,40,165,229,92,313,264
2020,5,40,"2,446",523,69,35,67,279,359,176,535,403
2020,5,50,"3,831",751,164,88,168,475,544,312,812,517
2020,5,60,"4,119",789,177,97,193,571,548,330,862,552
2020,5,70,"2,710",480,144,78,117,388,300,203,619,381
2020,5,80,"1,665",366,80,39,72,258,187,154,330,179
2020,5,90,265,58,23,8,14,42,20,18,62,20
2020,5,100,30,6,0,0,1,4,0,0,14,5
2020,6,총,"20,400","4,225",786,419,771,"2,638","2,714","1,562","4,404","2,881"
2020,6,0,984,216,23,8,27,118,157,71,207,157
2020,6,10,"1,402",361,36,21,39,169,190,101,329,156
2020,6,20,"1,438",334,42,16,36,171,178,96,328,237
2020,6,30,"1,488",339,27,23,40,161,231,95,307,265
2020,6,40,"2,453",522,71,36,67,284,354,179,540,400
2020,6,50,"3,815",744,164,87,170,469,548,312,800,521
2020,6,60,"4,143",797,178,102,189,575,548,332,867,555
2020,6,70,"2,710",482,142,79,115,389,302,203,615,383
2020,6,80,"1,671",366,80,39,72,257,186,155,334,182
2020,6,90,266,58,23,8,15,41,20,18,63,20
2020,6,100,30,6,0,0,1,4,0,0,14,5
2020,7,총,"20,378","4,234",783,418,771,"2,635","2,709","1,565","4,383","2,880"
2020,7,0,982,217,23,8,26,121,156,69,206,156
2020,7,10,"1,392",355,35,19,39,165,192,102,327,158
2020,7,20,"1,428",339,42,16,36,171,173,93,323,235
2020,7,30,"1,473",335,27,23,39,159,229,90,307,264
2020,7,40,"2,444",523,71,37,66,280,350,183,535,399
2020,7,50,"3,807",743,164,87,166,471,550,314,795,517
2020,7,60,"4,159",804,176,102,194,574,550,334,867,558
2020,7,70,"2,711",482,142,79,116,387,301,207,610,387
2020,7,80,"1,678",368,80,38,72,262,187,154,337,180
2020,7,90,274,62,23,9,16,41,21,19,62,21
2020,7,100,30,6,0,0,1,4,0,0,14,5
2020,8,총,"20,392","4,254",785,416,778,"2,631","2,711","1,567","4,374","2,876"
2020,8,0,971,217,23,8,26,118,154,69,200,156
2020,8,10,"1,403",361,35,19,40,166,195,103,328,156
2020,8,20,"1,421",340,41,16,36,172,172,88,324,232
2020,8,30,"1,465",339,27,23,38,154,220,92,301,271
2020,8,40,"2,448",522,74,36,68,280,351,182,538,397
2020,8,50,"3,801",747,162,86,166,475,548,316,783,518
2020,8,60,"4,180",808,178,102,200,572,556,335,873,556
2020,8,70,"2,714",483,142,80,115,387,305,205,612,385
2020,8,80,"1,683",368,80,38,71,261,189,155,342,179
2020,8,90,276,63,23,8,17,42,20,22,60,21
2020,8,100,30,6,0,0,1,4,1,0,13,5
2020,9,총,"20,385","4,243",784,418,785,"2,639","2,709","1,563","4,385","2,859"
2020,9,0,963,217,22,8,26,117,150,70,200,153
2020,9,10,"1,389",358,36,19,39,163,193,101,326,154
2020,9,20,"1,429",337,41,16,37,176,173,91,329,229
2020,9,30,"1,444",329,25,22,38,154,219,86,300,271
2020,9,40,"2,441",523,75,36,68,275,353,180,541,390
2020,9,50,"3,804",746,159,88,168,482,544,317,781,519
2020,9,60,"4,202",812,182,101,203,575,562,335,875,557
2020,9,70,"2,704",481,140,82,117,386,303,207,609,379
2020,9,80,"1,693",366,81,37,70,264,189,156,349,181
2020,9,90,285,68,23,9,18,42,22,20,62,21
2020,9,100,31,6,0,0,1,5,1,0,13,5
2020,10,총,"20,384","4,247",784,414,788,"2,647","2,711","1,552","4,388","2,853"
2020,10,0,961,218,19,7,28,121,151,67,196,154
2020,10,10,"1,384",359,35,20,37,163,191,100,329,150
2020,10,20,"1,431",338,41,15,39,175,172,92,324,235
2020,10,30,"1,431",326,26,21,38,153,215,79,303,270
2020,10,40,"2,445",523,74,37,67,280,351,178,543,392
2020,10,50,"3,790",746,162,88,165,479,539,318,777,516
2020,10,60,"4,223",817,182,99,204,579,575,334,878,555
2020,10,70,"2,690",479,140,82,118,384,302,203,608,374
2020,10,80,"1,709",365,83,36,71,265,192,161,355,181
2020,10,90,289,70,22,9,20,43,22,20,62,21
2020,10,100,31,6,0,0,1,5,1,0,13,5
2020,11,총,"20,359","4,242",780,412,788,"2,627","2,730","1,548","4,366","2,866"
2020,11,0,951,214,17,7,28,115,151,67,196,156
2020,11,10,"1,383",363,34,19,37,162,194,98,326,150
2020,11,20,"1,431",339,43,15,40,170,173,88,323,240
2020,11,30,"1,425",322,25,21,39,151,216,78,300,273
2020,11,40,"2,441",522,72,35,67,280,356,177,540,392
2020,11,50,"3,768",741,160,88,161,475,537,318,773,515
2020,11,60,"4,238",826,184,100,205,577,582,337,869,558
2020,11,70,"2,681",474,138,82,120,387,302,201,604,373
2020,11,80,"1,721",365,85,36,70,262,196,163,361,183
2020,11,90,290,70,22,9,20,43,22,21,62,21
2020,11,100,30,6,0,0,1,5,1,0,12,5
2020,12,총,"20,360","4,230",779,414,791,"2,622","2,736","1,544","4,363","2,881"
2020,12,0,948,209,17,7,28,117,152,67,196,155
2020,12,10,"1,370",362,34,18,35,161,191,94,325,150
2020,12,20,"1,423",335,44,13,43,165,173,92,316,242
2020,12,30,"1,434",320,25,22,38,150,216,79,308,276
2020,12,40,"2,431",519,72,33,65,279,357,177,537,392
2020,12,50,"3,757",741,158,91,164,475,535,311,770,512
2020,12,60,"4,273",829,184,102,208,577,592,339,876,566
2020,12,70,"2,661",472,135,81,118,381,300,200,598,376
2020,12,80,"1,742",365,88,37,71,270,197,163,364,187
2020,12,90,290,72,22,10,20,42,21,22,61,20
2020,12,100,31,6,0,0,1,5,2,0,12,5
2021,1,총,"20,311","4,208",780,414,797,"2,611","2,741","1,547","4,340","2,873"
2021,1,0,946,209,17,7,28,117,154,67,195,152
2021,1,10,"1,358",360,34,18,35,157,190,94,318,152
2021,1,20,"1,393",323,42,13,44,165,166,93,310,237
2021,1,30,"1,424",314,23,23,39,148,218,79,308,272
2021,1,40,"2,412",516,72,31,64,276,356,175,529,393
2021,1,50,"3,739",741,160,92,166,466,533,312,760,509
2021,1,60,"4,294",828,186,102,210,580,597,339,887,565
2021,1,70,"2,675",474,137,79,118,384,305,202,597,379
2021,1,80,"1,743",363,85,39,72,270,198,163,365,188
2021,1,90,296,74,24,10,20,43,22,23,59,21
2021,1,100,31,6,0,0,1,5,2,0,12,5
2021,2,총,"20,245","4,185",779,421,798,"2,603","2,742","1,540","4,316","2,861"
2021,2,0,930,201,19,7,28,116,155,64,193,147
2021,2,10,"1,356",360,31,19,35,155,190,95,319,152
2021,2,20,"1,366",312,42,15,44,162,166,90,299,236
2021,2,30,"1,400",305,24,24,39,145,214,76,304,269
2021,2,40,"2,408",517,71,33,65,273,361,176,525,387
2021,2,50,"3,713",736,158,91,164,465,526,307,756,510
2021,2,60,"4,313",836,188,99,209,584,601,344,891,561
2021,2,70,"2,675",472,133,84,121,385,305,201,593,381
2021,2,80,"1,753",363,89,39,72,269,201,165,363,192
2021,2,90,301,77,24,10,20,45,21,22,61,21
2021,2,100,30,6,0,0,1,4,2,0,12,5
2021,3,총,"20,061","4,160",781,423,790,"2,555","2,729","1,538","4,265","2,820"
2021,3,0,923,201,19,7,27,117,154,61,191,146
2021,3,10,"1,336",353,35,20,33,150,188,96,311,150
2021,3,20,"1,359",306,42,16,42,167,164,90,298,234
2021,3,30,"1,378",305,25,22,39,139,209,79,294,266
2021,3,40,"2,375",510,68,34,60,272,360,173,519,379
2021,3,50,"3,665",736,153,91,164,444,523,306,745,503
2021,3,60,"4,310",839,191,101,210,577,601,346,888,557
2021,3,70,"2,639",467,134,81,120,376,301,195,596,369
2021,3,80,"1,766",364,90,42,74,268,206,171,358,193
2021,3,90,298,75,23,9,21,44,21,21,63,21
2021,3,100,12,4,1,0,0,1,2,0,2,2
2021,4,총,"20,049","4,153",786,426,794,"2,553","2,732","1,533","4,259","2,813"
2021,4,0,920,200,19,6,28,116,154,61,193,143
2021,4,10,"1,332",351,33,20,34,151,189,94,308,152
2021,4,20,"1,355",307,44,17,42,165,163,92,295,230
2021,4,30,"1,370",304,24,22,38,140,205,82,289,266
2021,4,40,"2,370",508,68,34,61,272,360,168,520,379
2021,4,50,"3,643",727,155,88,164,446,523,302,742,496
2021,4,60,"4,328",840,192,106,212,571,604,349,897,557
2021,4,70,"2,640",472,135,80,119,379,302,194,587,372
2021,4,80,"1,781",369,91,44,75,266,209,171,361,195
2021,4,90,297,71,24,9,21,46,20,20,65,21
2021,4,100,13,4,1,0,0,1,3,0,2,2
2021,5,총,"20,040","4,165",784,424,797,"2,546","2,736","1,528","4,260","2,800"
2021,5,0,908,201,18,4,28,114,152,58,193,140
2021,5,10,"1,337",353,32,21,35,151,191,95,310,149
2021,5,20,"1,349",306,45,18,42,163,160,91,295,229
2021,5,30,"1,364",302,23,21,39,138,203,82,291,265
2021,5,40,"2,351",506,67,34,61,267,362,164,514,376
2021,5,50,"3,647",730,155,88,161,449,523,301,744,496
2021,5,60,"4,357",845,193,106,218,575,613,354,900,553
2021,5,70,"2,629",478,133,79,116,376,300,194,583,370
2021,5,80,"1,791",368,94,44,76,267,211,169,362,200
2021,5,90,293,72,23,9,21,44,18,20,66,20
2021,5,100,14,4,1,0,0,2,3,0,2,2
2021,6,총,"19,998","4,164",780,422,794,"2,539","2,728","1,514","4,255","2,802"
2021,6,0,903,198,18,4,27,114,153,56,192,141
2021,6,10,"1,334",354,32,21,35,148,191,94,310,149
2021,6,20,"1,340",303,44,18,42,162,157,90,297,227
2021,6,30,"1,349",302,22,19,40,136,200,79,288,263
2021,6,40,"2,350",508,68,34,65,265,359,160,508,383
2021,6,50,"3,620",730,152,87,159,446,518,301,740,487
2021,6,60,"4,383",845,195,107,216,581,616,357,906,560
2021,6,70,"2,612",478,131,78,113,372,302,192,577,369
2021,6,80,"1,795",368,93,45,75,269,208,169,368,200
2021,6,90,298,74,24,9,22,44,21,16,67,21
2021,6,100,14,4,1,0,0,2,3,0,2,2
2021,7,총,"19,985","4,156",779,417,801,"2,539","2,727","1,518","4,253","2,795"
2021,7,0,893,193,18,4,30,114,149,57,188,140
2021,7,10,"1,331",352,32,20,35,150,196,92,305,149
2021,7,20,"1,332",305,43,17,40,159,155,88,300,225
2021,7,30,"1,335",299,22,18,41,140,196,79,284,256
2021,7,40,"2,343",505,67,35,68,264,363,159,508,374
2021,7,50,"3,611",729,149,81,154,446,517,305,738,492
2021,7,60,"4,406",849,202,109,218,580,615,356,911,566
2021,7,70,"2,618",480,131,78,115,366,303,196,581,368
2021,7,80,"1,803",367,90,46,78,272,209,170,369,202
2021,7,90,299,73,24,9,22,46,21,16,67,21
2021,7,100,14,4,1,0,0,2,3,0,2,2
2021,8,총,"19,993","4,158",776,413,805,"2,539","2,726","1,523","4,249","2,804"
2021,8,0,888,193,18,6,29,113,144,55,188,142
2021,8,10,"1,333",349,32,20,35,150,199,91,306,151
2021,8,20,"1,336",307,40,16,43,162,154,88,298,228
2021,8,30,"1,327",301,23,19,41,137,194,79,278,255
2021,8,40,"2,328",495,66,33,70,261,360,158,512,373
2021,8,50,"3,606",728,150,77,154,447,518,306,728,498
2021,8,60,"4,429",860,202,110,219,581,617,361,911,568
2021,8,70,"2,622",479,129,79,115,368,306,198,585,363
2021,8,80,"1,807",369,91,44,77,271,208,171,373,203
2021,8,90,302,73,24,9,21,47,23,16,68,21
2021,8,100,15,4,1,0,1,2,3,0,2,2
2021,9,총,"19,935","4,146",783,412,802,"2,531","2,716","1,514","4,238","2,793"
2021,9,0,885,199,18,6,28,113,143,53,184,141
2021,9,10,"1,316",348,32,17,34,148,197,90,301,149
2021,9,20,"1,321",307,40,17,41,158,155,85,294,224
2021,9,30,"1,298",293,25,20,38,133,190,77,272,250
2021,9,40,"2,311",496,67,30,66,264,355,156,508,369
2021,9,50,"3,605",725,152,78,160,445,516,303,732,494
2021,9,60,"4,463",862,204,111,220,585,621,364,917,579
2021,9,70,"2,611",476,129,78,117,363,303,196,585,364
2021,9,80,"1,807",364,91,46,76,271,211,173,375,200
2021,9,90,303,72,24,9,21,49,22,17,68,21
2021,9,100,15,4,1,0,1,2,3,0,2,2
2021,10,총,"19,921","4,142",784,408,797,"2,529","2,718","1,513","4,253","2,777"
2021,10,0,882,200,17,5,28,114,145,54,180,139
2021,10,10,"1,304",347,33,17,34,148,194,85,298,148
2021,10,20,"1,316",303,39,17,40,152,157,86,299,223
2021,10,30,"1,295",292,25,17,38,135,189,76,274,249
2021,10,40,"2,302",495,65,30,66,261,354,159,512,360
2021,10,50,"3,606",725,150,79,158,448,510,304,738,494
2021,10,60,"4,477",865,208,109,221,586,629,364,917,578
2021,10,70,"2,608",481,131,79,114,360,300,195,587,361
2021,10,80,"1,812",360,91,46,76,278,213,172,377,199
2021,10,90,304,70,24,9,21,45,24,18,69,24
2021,10,100,15,4,1,0,1,2,3,0,2,2
2021,11,총,"19,928","4,139",786,408,802,"2,537","2,720","1,517","4,248","2,771"
2021,11,0,878,199,17,5,28,113,142,57,176,141
2021,11,10,"1,300",348,32,17,33,150,194,84,298,144
2021,11,20,"1,313",308,41,17,40,154,158,81,297,217
2021,11,30,"1,294",289,25,16,38,135,191,79,270,251
2021,11,40,"2,284",491,63,30,66,262,346,162,503,361
2021,11,50,"3,607",732,151,80,156,446,509,305,737,491
2021,11,60,"4,510",864,210,109,230,593,630,364,933,577
2021,11,70,"2,595",476,128,78,113,354,306,195,584,361
2021,11,80,"1,827",360,94,47,76,283,215,171,379,202
2021,11,90,305,69,24,9,21,45,26,19,68,24
2021,11,100,15,3,1,0,1,2,3,0,3,2
2021,12,총,"19,905","4,142",784,407,807,"2,536","2,708","1,513","4,252","2,756"
2021,12,0,865,197,17,5,27,113,141,51,173,141
2021,12,10,"1,279",344,32,17,34,151,185,84,294,138
2021,12,20,"1,320",319,39,19,41,147,160,80,298,217
2021,12,30,"1,292",291,25,16,38,137,191,78,270,246
2021,12,40,"2,278",492,62,28,66,260,341,163,505,361
2021,12,50,"3,610",731,151,80,156,445,508,308,744,487
2021,12,60,"4,524",860,211,112,233,597,631,366,934,580
2021,12,70,"2,576",469,129,76,113,351,303,196,581,358
2021,12,80,"1,837",369,93,45,77,285,218,169,378,203
2021,12,90,309,67,24,9,21,48,27,18,72,23
2021,12,100,15,3,1,0,1,2,3,0,3,2
