년도,월,나이,김천시,아포읍,농소면,남면,개령면,감문면,어모면,봉산면,대항면,감천면,조마면,구성면,지례면,부항면,대덕면,증산면,자산동,평화남산동,양금동,대신동,대곡동,지좌동,율곡동
2020,3,50,"24,044","1,466",552,616,489,605,772,672,758,396,448,542,280,233,393,244,"1,181","1,418",704,"4,182","3,769","1,906","2,418"
2020,3,60,"21,087","1,367",644,679,585,775,873,704,768,406,509,666,351,306,467,263,"1,488","1,582",839,"2,577","2,879","1,366",993
2020,3,70,"13,403",828,438,480,398,598,670,507,473,298,350,524,320,241,381,156,993,"1,053",666,"1,371","1,597",697,364
2020,3,80,"7,909",541,314,326,242,466,407,272,304,232,269,380,228,175,284,156,424,535,335,758,798,293,170
2020,3,90,"1,106",82,41,57,36,66,70,39,52,32,37,68,33,23,31,18,54,70,35,93,104,40,25
2020,3,100,52,1,0,5,1,1,4,3,4,1,1,1,4,1,2,1,1,4,3,7,3,2,2
2020,4,총,"140,418","7,193","3,003","3,165","2,503","3,364","4,153","3,221","3,520","1,961","2,274","2,860","1,606","1,297","2,163","1,064","6,900","7,862","4,037","24,749","20,527","10,914","22,082"
2020,4,0,"10,750",399,101,80,64,82,155,101,101,56,65,49,35,29,58,14,244,245,153,"2,210","1,472",917,"4,120"
2020,4,10,"11,991",439,140,152,110,113,212,148,192,88,104,101,59,47,128,40,393,455,249,"3,020","2,187","1,135","2,479"
2020,4,20,"14,853",589,248,258,214,201,324,275,324,147,150,187,100,74,129,46,663,853,345,"3,551","2,466","1,355","2,354"
2020,4,30,"15,609",615,214,195,146,190,231,209,226,124,126,129,74,50,121,32,588,742,276,"2,868","2,174","1,322","4,957"
2020,4,40,"19,493",859,314,310,220,265,434,292,328,190,211,216,121,119,172,94,863,892,427,"4,082","3,050","1,858","4,176"
2020,4,50,"24,028","1,463",547,622,485,600,777,661,752,384,444,542,275,233,394,242,"1,177","1,415",702,"4,188","3,768","1,915","2,442"
2020,4,60,"21,175","1,376",645,679,582,778,874,714,767,410,517,664,354,302,459,265,"1,490","1,590",838,"2,600","2,899","1,376",996
2020,4,70,"13,403",825,441,478,404,601,670,508,470,294,347,520,318,244,377,154,"1,007","1,056",673,"1,366","1,595",694,361
2020,4,80,"7,953",541,312,328,241,466,402,275,305,234,270,384,232,175,293,157,423,537,336,765,809,298,170
2020,4,90,"1,114",86,41,58,36,67,71,36,51,33,39,67,34,23,30,19,52,73,35,92,104,42,25
2020,4,100,49,1,0,5,1,1,3,2,4,1,1,1,4,1,2,1,0,4,3,7,3,2,2
2020,5,총,"140,384","7,176","3,002","3,162","2,486","3,358","4,134","3,208","3,498","1,959","2,270","2,861","1,605","1,286","2,159","1,065","6,886","7,829","4,014","24,809","20,507","10,947","22,163"
2020,5,0,"10,713",397,103,78,66,80,157,101,95,57,67,50,35,27,58,13,240,246,153,"2,190","1,458",919,"4,123"
2020,5,10,"11,967",437,135,149,105,113,204,146,192,86,101,96,59,47,126,39,395,452,246,"3,008","2,203","1,133","2,495"
2020,5,20,"14,824",580,250,257,211,200,323,274,323,147,145,190,97,69,128,48,653,839,337,"3,573","2,446","1,361","2,373"
2020,5,30,"15,573",607,216,198,139,190,230,209,219,125,127,128,78,53,120,35,583,736,276,"2,882","2,166","1,310","4,946"
2020,5,40,"19,465",859,308,309,214,260,432,289,328,186,212,213,117,115,169,92,861,893,420,"4,084","3,037","1,866","4,201"
2020,5,50,"24,029","1,454",554,621,487,601,763,650,745,385,438,546,277,229,397,238,"1,174","1,404",699,"4,205","3,769","1,923","2,470"
2020,5,60,"21,239","1,385",640,680,583,780,876,720,765,410,519,661,357,304,458,268,"1,493","1,592",830,"2,628","2,907","1,388",995
2020,5,70,"13,416",830,443,478,401,593,675,505,469,292,349,526,312,242,379,155,"1,003","1,058",679,"1,369","1,592",702,364
2020,5,80,"7,989",538,312,329,245,472,400,277,305,237,272,384,235,175,292,156,429,536,336,771,822,298,168
2020,5,90,"1,117",88,41,58,35,68,70,35,53,33,39,66,34,23,30,19,55,68,35,92,104,45,26
2020,5,100,52,1,0,5,0,1,4,2,4,1,1,1,4,2,2,2,0,5,3,7,3,2,2
2020,6,총,"140,651","7,201","2,998","3,147","2,509","3,347","4,109","3,202","3,495","1,960","2,260","2,865","1,599","1,278","2,220","1,070","6,856","7,823","4,016","24,840","20,611","11,030","22,215"
2020,6,0,"10,685",397,103,76,65,80,157,100,93,58,64,49,34,26,57,15,235,250,154,"2,167","1,446",927,"4,132"
2020,6,10,"12,155",429,133,146,104,109,199,148,192,83,100,96,57,43,187,37,396,452,244,"3,034","2,330","1,131","2,505"
2020,6,20,"14,793",594,252,255,209,194,318,268,319,149,144,189,95,68,127,49,646,843,337,"3,576","2,427","1,370","2,364"
2020,6,30,"15,540",611,216,192,145,189,225,205,219,126,124,134,76,51,121,34,574,737,271,"2,870","2,155","1,345","4,920"
2020,6,40,"19,497",862,304,308,211,255,430,287,325,186,213,206,116,114,164,94,849,900,422,"4,091","3,039","1,885","4,236"
2020,6,50,"23,976","1,452",553,614,494,597,761,649,746,383,431,558,280,224,395,236,"1,163","1,381",705,"4,201","3,761","1,906","2,486"
2020,6,60,"21,384","1,396",643,686,592,782,875,726,773,411,521,662,359,306,465,272,"1,496","1,600",826,"2,653","2,921","1,416","1,003"
2020,6,70,"13,460",835,445,474,409,594,674,504,470,293,350,522,312,243,379,154,"1,011","1,051",683,"1,374","1,605",705,373
2020,6,80,"7,979",537,309,330,243,477,396,279,300,239,271,382,232,176,291,158,431,533,336,773,821,297,168
2020,6,90,"1,130",87,40,61,37,69,70,34,54,31,41,66,34,25,32,19,55,71,35,94,103,46,26
2020,6,100,52,1,0,5,0,1,4,2,4,1,1,1,4,2,2,2,0,5,3,7,3,2,2
2020,7,총,"140,627","7,190","3,027","3,140","2,491","3,334","4,098","3,202","3,496","1,956","2,266","2,854","1,601","1,266","2,213","1,062","6,836","7,818","4,009","24,898","20,590","11,043","22,237"
2020,7,0,"10,668",394,112,75,63,77,157,99,95,57,63,54,35,25,56,13,233,254,152,"2,172","1,451",919,"4,112"
2020,7,10,"12,167",433,136,150,103,109,201,146,189,82,100,92,58,41,197,36,390,446,246,"3,029","2,337","1,120","2,526"
2020,7,20,"14,788",590,254,256,199,187,320,269,316,150,143,184,92,67,124,48,648,848,333,"3,595","2,410","1,402","2,353"
2020,7,30,"15,453",603,217,192,145,183,221,204,221,123,127,139,76,51,118,29,566,735,272,"2,864","2,147","1,327","4,893"
2020,7,40,"19,494",855,308,307,210,256,427,288,319,184,215,207,118,113,164,96,845,895,418,"4,096","3,028","1,885","4,260"
2020,7,50,"23,948","1,457",558,604,484,599,753,641,747,385,438,547,277,223,388,235,"1,151","1,369",698,"4,234","3,755","1,906","2,499"
2020,7,60,"21,441","1,394",640,685,594,782,875,734,778,410,521,660,363,307,463,272,"1,502","1,606",829,"2,660","2,924","1,425","1,017"
2020,7,70,"13,506",842,454,481,408,594,675,508,472,291,346,518,313,240,379,154,"1,022","1,050",684,"1,380","1,608",708,379
2020,7,80,"7,978",535,308,326,247,477,394,277,301,241,270,383,231,172,288,158,426,538,339,767,826,303,171
2020,7,90,"1,130",85,40,59,38,69,71,34,54,32,41,69,34,25,34,19,53,72,35,94,101,46,25
2020,7,100,54,2,0,5,0,1,4,2,4,1,2,1,4,2,2,2,0,5,3,7,3,2,2
2020,8,총,"140,511","7,175","3,028","3,141","2,486","3,319","4,083","3,209","3,504","1,954","2,258","2,848","1,591","1,261","2,211","1,063","6,804","7,774","4,004","24,930","20,521","11,030","22,317"
2020,8,0,"10,624",384,114,75,62,75,154,97,96,57,63,53,39,25,55,12,227,246,146,"2,172","1,442",909,"4,121"
2020,8,10,"12,126",432,134,148,106,108,196,148,191,81,97,89,58,37,199,37,380,441,246,"3,029","2,315","1,113","2,541"
2020,8,20,"14,724",578,257,256,198,182,312,270,313,151,146,176,90,67,123,49,641,837,332,"3,601","2,401","1,395","2,349"
2020,8,30,"15,382",594,213,195,141,183,220,202,221,126,123,141,72,51,116,28,566,721,271,"2,864","2,136","1,320","4,878"
2020,8,40,"19,466",851,313,307,210,254,427,293,327,184,213,203,120,115,158,95,834,886,412,"4,105","3,004","1,865","4,290"
2020,8,50,"23,955","1,471",555,602,481,592,752,642,746,379,439,545,273,222,388,233,"1,145","1,370",699,"4,230","3,749","1,923","2,519"
2020,8,60,"21,542","1,399",640,686,594,793,877,733,781,411,520,667,362,307,467,274,"1,508","1,603",838,"2,674","2,934","1,436","1,038"
2020,8,70,"13,477",840,447,479,409,590,677,509,464,289,347,513,315,239,379,154,"1,019","1,052",676,"1,383","1,603",716,377
2020,8,80,"8,011",535,314,327,248,472,392,278,306,244,269,391,227,170,289,161,430,540,345,771,827,301,174
2020,8,90,"1,150",89,41,61,36,69,72,35,55,31,39,69,32,26,35,18,54,73,36,94,107,50,28
2020,8,100,54,2,0,5,1,1,4,2,4,1,2,1,3,2,2,2,0,5,3,7,3,2,2
2020,9,총,"140,468","7,127","3,020","3,149","2,494","3,325","4,081","3,201","3,496","1,949","2,247","2,831","1,593","1,259","2,204","1,057","6,818","7,724","3,986","24,977","20,496","11,029","22,405"
2020,9,0,"10,578",382,112,76,64,79,153,94,95,58,59,53,39,27,52,12,224,234,142,"2,159","1,432",903,"4,129"
2020,9,10,"12,120",431,133,148,100,109,196,145,189,77,94,88,57,36,198,36,383,445,243,"3,048","2,304","1,110","2,550"
2020,9,20,"14,711",561,257,257,198,179,312,270,306,152,143,176,91,67,119,50,651,822,330,"3,626","2,387","1,402","2,355"
2020,9,30,"15,300",582,212,195,144,179,215,193,220,128,122,140,70,51,113,29,571,715,267,"2,853","2,120","1,311","4,870"
2020,9,40,"19,419",842,308,306,214,252,426,289,329,181,205,202,120,115,160,90,835,877,411,"4,103","2,994","1,847","4,313"
2020,9,50,"23,963","1,459",555,602,483,596,752,644,742,379,440,538,275,218,385,232,"1,143","1,363",692,"4,234","3,742","1,936","2,553"
2020,9,60,"21,644","1,401",642,688,600,794,882,745,782,408,521,659,366,311,468,275,"1,507","1,599",843,"2,698","2,963","1,448","1,044"
2020,9,70,"13,470",841,443,483,403,591,673,505,467,289,350,515,311,235,384,155,"1,009","1,056",666,"1,386","1,606",718,384
2020,9,80,"8,036",534,318,328,248,473,397,279,306,243,273,390,227,173,288,159,441,533,353,768,830,300,175
2020,9,90,"1,171",92,40,61,39,72,71,35,56,33,38,68,34,24,34,17,54,75,36,95,115,52,30
2020,9,100,56,2,0,5,1,1,4,2,4,1,2,2,3,2,3,2,0,5,3,7,3,2,2
2020,10,총,"140,413","7,114","3,018","3,142","2,479","3,321","4,080","3,201","3,489","1,947","2,248","2,834","1,596","1,254","2,208","1,051","6,790","7,675","3,980","25,024","20,463","11,069","22,430"
2020,10,0,"10,521",384,111,74,63,73,151,94,88,56,60,56,39,27,51,12,221,218,142,"2,150","1,417",910,"4,124"
2020,10,10,"12,135",425,130,147,100,105,197,148,193,78,96,87,58,36,199,36,379,444,242,"3,053","2,303","1,106","2,573"
2020,10,20,"14,687",557,259,251,193,179,315,264,303,153,140,177,89,67,119,48,639,813,328,"3,638","2,392","1,410","2,353"
2020,10,30,"15,256",586,208,199,142,177,212,195,217,125,123,140,72,50,112,29,566,713,266,"2,858","2,104","1,308","4,854"
2020,10,40,"19,374",831,307,303,209,252,429,288,327,178,202,199,118,113,164,87,834,866,417,"4,093","2,981","1,855","4,321"
2020,10,50,"23,943","1,455",558,599,482,591,751,636,741,382,436,540,273,215,386,234,"1,134","1,355",682,"4,257","3,721","1,949","2,566"
2020,10,60,"21,742","1,403",644,691,601,808,883,754,786,411,523,657,367,313,470,270,"1,512","1,602",848,"2,715","2,980","1,455","1,049"
2020,10,70,"13,452",842,441,480,401,587,669,506,468,288,351,516,314,231,382,156,"1,005","1,051",657,"1,387","1,618",720,382
2020,10,80,"8,062",537,317,333,248,475,397,278,305,243,276,388,227,175,288,160,446,534,358,775,829,300,173
2020,10,90,"1,184",92,43,60,39,73,72,36,57,32,39,72,36,25,34,17,54,74,37,91,115,53,33
2020,10,100,57,2,0,5,1,1,4,2,4,1,2,2,3,2,3,2,0,5,3,7,3,3,2
2020,11,총,"140,547","7,129","3,020","3,145","2,474","3,309","4,066","3,207","3,487","1,950","2,250","2,830","1,589","1,259","2,308","1,040","6,785","7,637","3,966","25,098","20,454","11,079","22,465"
2020,11,0,"10,471",380,112,71,58,71,152,95,86,57,59,56,38,28,52,12,219,217,140,"2,125","1,406",905,"4,132"
2020,11,10,"12,220",428,125,149,103,104,192,150,192,77,99,86,58,36,300,36,380,437,239,"3,068","2,290","1,105","2,566"
2020,11,20,"14,676",558,254,248,189,178,314,263,305,155,138,174,88,67,120,46,639,805,322,"3,652","2,396","1,413","2,352"
2020,11,30,"15,194",577,213,194,142,176,212,196,211,120,124,139,67,47,107,29,559,705,266,"2,884","2,090","1,295","4,841"
2020,11,40,"19,408",840,306,307,209,252,430,290,329,178,200,200,118,113,168,85,840,862,415,"4,089","2,975","1,861","4,341"
2020,11,50,"23,926","1,457",560,605,480,588,743,628,739,384,440,540,273,218,379,230,"1,127","1,342",673,"4,276","3,717","1,956","2,571"
2020,11,60,"21,877","1,412",644,695,603,810,886,762,790,415,522,655,368,316,480,273,"1,521","1,600",855,"2,732","3,008","1,456","1,074"
2020,11,70,"13,453",849,445,480,400,576,663,502,467,286,352,516,313,231,379,155,"1,001","1,058",654,"1,394","1,620",730,382
2020,11,80,"8,084",535,316,332,249,479,399,285,307,245,275,390,228,177,286,156,443,534,362,781,830,303,172
2020,11,90,"1,182",91,45,60,40,74,71,34,57,32,38,72,35,24,34,16,56,72,37,90,119,52,33
2020,11,100,56,2,0,4,1,1,4,2,4,1,3,2,3,2,3,2,0,5,3,7,3,3,1
2020,12,총,"140,548","7,131","3,043","3,128","2,478","3,305","4,062","3,196","3,469","1,942","2,237","2,835","1,576","1,260","2,294","1,036","6,748","7,641","3,961","25,224","20,434","11,061","22,487"
2020,12,0,"10,437",382,116,67,58,71,153,94,82,58,57,58,39,28,46,11,219,215,139,"2,108","1,401",902,"4,133"
2020,12,10,"12,245",422,132,146,102,105,188,147,190,77,95,85,55,35,301,35,377,438,236,"3,124","2,271","1,102","2,582"
2020,12,20,"14,620",552,251,244,181,168,308,254,304,147,140,171,81,67,115,45,621,809,322,"3,670","2,398","1,431","2,341"
2020,12,30,"15,142",579,224,198,149,177,214,196,208,120,124,141,65,46,105,28,556,714,260,"2,877","2,060","1,290","4,811"
2020,12,40,"19,401",837,307,310,205,249,431,287,320,181,197,197,114,112,163,85,832,856,416,"4,106","2,978","1,841","4,377"
2020,12,50,"23,907","1,449",562,596,484,583,742,626,740,380,434,542,273,216,376,222,"1,120","1,336",672,"4,298","3,717","1,948","2,591"
2020,12,60,"22,012","1,432",646,693,607,826,893,770,791,417,527,660,374,319,484,281,"1,513","1,598",857,"2,752","3,042","1,458","1,072"
2020,12,70,"13,435",847,445,480,400,575,657,501,466,288,346,512,307,231,375,156,"1,008","1,055",655,"1,400","1,618",732,381
2020,12,80,"8,114",537,316,332,249,476,401,285,308,240,276,396,231,179,291,156,447,543,362,794,825,301,169
2020,12,90,"1,182",92,44,58,42,74,71,34,56,33,39,71,34,25,35,16,55,73,39,88,121,53,29
2020,12,100,53,2,0,4,1,1,4,2,4,1,2,2,3,2,3,1,0,4,3,7,3,3,1
2021,1,총,"140,511","7,097","3,041","3,140","2,460","3,299","4,065","3,180","3,451","1,944","2,225","2,846","1,580","1,258","2,285","1,026","6,756","7,654","3,968","25,284","20,389","11,054","22,509"
2021,1,0,"10,379",376,119,74,56,70,155,96,79,56,56,59,43,29,45,9,216,216,136,"2,085","1,399",882,"4,123"
2021,1,10,"12,204",417,132,142,102,98,182,140,188,79,93,86,56,36,296,32,377,431,235,"3,153","2,227","1,107","2,595"
2021,1,20,"14,608",546,249,242,177,172,307,249,296,144,140,172,79,66,115,44,629,816,322,"3,660","2,415","1,429","2,339"
2021,1,30,"15,107",566,224,199,149,178,214,187,206,120,120,142,69,49,104,26,554,718,261,"2,871","2,048","1,292","4,810"
2021,1,40,"19,331",827,309,312,197,243,424,287,316,180,191,190,109,111,159,84,826,849,406,"4,120","2,967","1,842","4,382"
2021,1,50,"23,878","1,448",556,595,483,583,748,623,730,382,429,542,274,207,371,219,"1,113","1,337",676,"4,323","3,719","1,932","2,588"
2021,1,60,"22,177","1,430",647,699,604,830,906,777,802,421,533,674,377,324,488,284,"1,522","1,599",863,"2,776","3,056","1,472","1,093"
2021,1,70,"13,409",855,443,477,404,569,649,504,461,288,344,511,303,225,374,154,"1,008","1,057",658,"1,399","1,606",732,388
2021,1,80,"8,159",535,319,337,245,478,403,280,312,239,278,396,234,183,293,155,454,552,368,799,828,310,161
2021,1,90,"1,205",95,43,59,42,77,73,35,57,34,39,72,33,26,37,18,57,75,40,90,121,53,29
2021,1,100,54,2,0,4,1,1,4,2,4,1,2,2,3,2,3,1,0,4,3,8,3,3,1
2021,2,총,"140,560","7,052","3,051","3,148","2,472","3,315","4,072","3,178","3,446","1,940","2,219","2,836","1,572","1,264","2,280","1,025","6,737","7,618","3,967","25,309","20,443","11,085","22,531"
2021,2,0,"10,316",356,121,76,56,73,157,93,80,57,53,59,41,29,46,9,205,212,133,"2,061","1,390",885,"4,124"
2021,2,10,"12,288",408,134,144,106,100,180,143,188,75,92,84,55,37,295,29,370,422,237,"3,164","2,324","1,095","2,606"
2021,2,20,"14,557",544,247,237,176,170,310,250,293,144,141,170,80,65,111,44,633,814,323,"3,659","2,380","1,431","2,335"
2021,2,30,"15,029",555,226,199,151,177,217,185,204,121,116,139,69,50,105,25,557,712,262,"2,868","2,028","1,283","4,780"
2021,2,40,"19,340",820,305,311,204,242,416,286,316,176,192,187,105,112,155,86,824,839,404,"4,120","2,958","1,850","4,432"
2021,2,50,"23,830","1,432",559,595,482,584,750,616,723,382,427,538,269,208,374,214,"1,106","1,325",673,"4,336","3,721","1,937","2,579"
2021,2,60,"22,336","1,454",655,708,606,842,912,782,805,424,534,682,381,328,489,291,"1,517","1,607",866,"2,799","3,066","1,494","1,094"
2021,2,70,"13,367",849,442,473,402,568,650,502,459,288,343,509,300,220,369,151,"1,002","1,052",658,"1,389","1,610",742,389
2021,2,80,"8,204",536,317,337,246,478,402,283,317,238,279,391,235,186,294,156,465,555,365,813,839,313,159
2021,2,90,"1,239",96,45,64,42,80,74,36,57,34,40,75,34,27,39,19,58,76,43,92,124,52,32
2021,2,100,54,2,0,4,1,1,4,2,4,1,2,2,3,2,3,1,0,4,3,8,3,3,1
2021,3,총,"140,720","7,030","3,040","3,124","2,454","3,316","4,071","3,160","3,436","1,939","2,217","2,830","1,561","1,270","2,314","1,033","6,696","7,643","3,970","25,479","20,426","11,091","22,620"
2021,3,0,"10,266",348,119,72,55,74,156,94,75,56,53,59,43,28,46,9,199,209,134,"2,038","1,390",880,"4,129"
2021,3,10,"12,454",407,131,141,105,100,182,142,187,75,89,84,56,38,330,31,364,434,238,"3,261","2,346","1,092","2,621"
2021,3,20,"14,566",538,248,225,169,170,303,243,292,142,141,173,76,65,111,46,627,814,319,"3,728","2,363","1,430","2,343"
2021,3,30,"14,946",543,223,193,150,177,221,180,202,121,118,130,67,52,105,25,543,707,262,"2,865","2,004","1,291","4,767"
2021,3,40,"19,315",814,301,308,202,239,416,285,313,178,193,185,102,108,151,84,822,849,410,"4,102","2,941","1,843","4,469"
2021,3,50,"23,719","1,418",558,593,473,588,741,609,718,377,420,534,268,209,364,211,"1,081","1,319",660,"4,328","3,705","1,941","2,604"
2021,3,60,"22,569","1,468",656,711,613,847,924,785,816,430,538,696,381,329,500,300,"1,535","1,620",873,"2,842","3,103","1,499","1,103"
2021,3,70,"13,352",856,444,477,397,562,650,501,454,288,342,498,297,220,364,153,996,"1,056",664,"1,395","1,606",742,390
2021,3,80,"8,246",539,316,336,248,476,404,280,320,236,279,396,235,191,300,156,469,559,364,819,845,318,160
2021,3,90,"1,257",97,44,66,41,82,73,41,56,36,42,75,34,28,40,18,60,74,45,96,122,54,33
2021,3,100,30,2,0,2,1,1,1,0,3,0,2,0,2,2,3,0,0,2,1,5,1,1,1
2021,4,총,"140,665","7,023","3,046","3,123","2,462","3,317","4,052","3,143","3,428","1,950","2,213","2,826","1,559","1,273","2,315","1,043","6,683","7,648","3,952","25,485","20,415","11,088","22,621"
2021,4,0,"10,199",338,121,68,56,71,154,90,75,58,52,57,43,26,47,9,195,211,132,"2,019","1,384",880,"4,113"
2021,4,10,"12,441",406,128,141,104,104,177,142,185,73,89,83,56,37,328,33,362,435,233,"3,245","2,371","1,078","2,631"
2021,4,20,"14,551",529,256,227,171,168,294,242,290,147,136,170,77,64,112,46,632,814,319,"3,740","2,333","1,441","2,343"
2021,4,30,"14,871",539,220,191,149,170,215,176,204,120,120,128,68,52,107,25,540,699,253,"2,867","1,987","1,302","4,739"
2021,4,40,"19,329",814,303,305,203,245,413,279,314,177,189,184,101,107,149,85,821,857,408,"4,097","2,953","1,832","4,493"
2021,4,50,"23,647","1,413",556,591,476,584,744,602,710,379,420,533,268,215,359,213,"1,066","1,320",659,"4,320","3,695","1,922","2,602"
2021,4,60,"22,704","1,485",663,718,615,854,931,787,822,435,538,698,377,328,497,303,"1,549","1,619",873,"2,867","3,112","1,515","1,118"
2021,4,70,"13,332",856,436,474,391,563,643,502,451,284,346,502,299,222,369,155,992,"1,055",665,"1,406","1,596",740,385
2021,4,80,"8,287",541,320,340,253,476,409,282,317,240,280,394,234,190,302,155,469,562,362,821,858,321,161
2021,4,90,"1,274",100,42,66,43,82,71,41,57,37,41,77,34,30,42,19,57,74,47,98,125,56,35
2021,4,100,30,2,1,2,1,0,1,0,3,0,2,0,2,2,3,0,0,2,1,5,1,1,1
2021,5,총,"140,629","7,037","3,042","3,122","2,455","3,312","4,043","3,139","3,427","1,958","2,221","2,820","1,562","1,270","2,311","1,040","6,665","7,634","3,951","25,498","20,392","11,086","22,644"
2021,5,0,"10,178",334,125,68,56,71,156,88,79,59,52,58,43,26,47,9,190,208,136,"2,011","1,361",883,"4,118"
2021,5,10,"12,396",410,130,140,101,106,172,141,185,72,85,81,55,37,325,33,357,422,230,"3,222","2,384","1,066","2,642"
2021,5,20,"14,532",522,254,223,171,166,293,243,286,147,132,168,80,61,112,44,644,815,318,"3,762","2,322","1,444","2,325"
2021,5,30,"14,771",533,219,194,146,169,217,174,199,119,126,126,71,54,107,23,538,685,250,"2,857","1,959","1,304","4,701"
2021,5,40,"19,287",825,300,304,200,240,409,275,312,181,188,186,101,105,146,84,804,854,406,"4,092","2,953","1,817","4,505"
2021,5,50,"23,649","1,412",554,591,472,585,730,592,709,375,423,530,260,212,360,212,"1,067","1,330",654,"4,314","3,693","1,937","2,637"
2021,5,60,"22,837","1,497",667,716,621,856,941,801,828,436,546,707,380,328,497,302,"1,546","1,624",876,"2,894","3,132","1,510","1,132"
2021,5,70,"13,349",856,435,473,385,563,644,500,449,289,344,501,300,222,370,156,989,"1,051",668,"1,419","1,601",749,385
2021,5,80,"8,319",545,316,345,259,474,407,282,321,242,282,385,236,192,303,158,474,568,366,821,860,318,165
2021,5,90,"1,280",101,41,66,43,82,73,43,56,38,41,78,34,31,41,19,56,75,46,100,126,57,33
2021,5,100,31,2,1,2,1,0,1,0,3,0,2,0,2,2,3,0,0,2,1,6,1,1,1
