년도,월,나이,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020,3,70,"1,785",434,92,153,176,368,158,151,253
2020,3,80,871,195,75,74,91,145,59,88,144
2020,3,90,74,11,7,7,7,10,9,6,17
2020,3,100,4,0,1,1,0,0,0,1,1
2020,4,총,"16,308","5,134",726,947,"1,427","4,453","1,069",826,"1,726"
2020,4,0,758,317,20,23,33,266,24,14,61
2020,4,10,"1,144",510,25,30,42,434,25,23,55
2020,4,20,"1,518",566,55,71,132,435,90,50,119
2020,4,30,"1,351",447,49,67,115,441,77,49,106
2020,4,40,"2,250",827,57,100,170,705,111,90,190
2020,4,50,"3,370","1,036",145,195,326,883,258,175,352
2020,4,60,"3,165",783,198,227,328,763,255,182,429
2020,4,70,"1,804",441,95,152,183,371,160,150,252
2020,4,80,871,196,74,74,91,145,60,86,145
2020,4,90,73,11,7,7,7,10,9,6,16
2020,4,100,4,0,1,1,0,0,0,1,1
2020,5,총,"16,293","5,138",722,945,"1,431","4,433","1,073",825,"1,726"
2020,5,0,753,315,21,23,32,263,25,13,61
2020,5,10,"1,132",505,26,29,40,429,25,24,54
2020,5,20,"1,507",562,55,72,133,432,88,48,117
2020,5,30,"1,344",450,48,67,116,431,77,48,107
2020,5,40,"2,250",833,55,98,169,705,110,91,189
2020,5,50,"3,364","1,038",141,194,329,879,260,173,350
2020,5,60,"3,191",788,198,228,334,766,260,182,435
2020,5,70,"1,811",440,97,153,181,371,161,154,254
2020,5,80,866,196,74,73,90,147,59,85,142
2020,5,90,71,11,6,7,7,10,8,6,16
2020,5,100,4,0,1,1,0,0,0,1,1
2020,6,총,"16,267","5,134",728,941,"1,432","4,435","1,062",815,"1,720"
2020,6,0,746,310,21,23,32,261,25,14,60
2020,6,10,"1,139",513,26,30,42,425,27,23,53
2020,6,20,"1,499",563,58,66,129,437,86,45,115
2020,6,30,"1,327",440,48,68,114,428,75,46,108
2020,6,40,"2,239",830,56,96,170,699,110,90,188
2020,6,50,"3,374","1,040",143,195,331,890,255,172,348
2020,6,60,"3,194",791,197,229,338,767,254,182,436
2020,6,70,"1,809",441,98,153,178,370,162,154,253
2020,6,80,868,196,74,73,92,148,60,84,141
2020,6,90,68,10,6,7,6,10,8,4,17
2020,6,100,4,0,1,1,0,0,0,1,1
2020,7,총,"16,171","5,102",724,940,"1,424","4,412","1,056",810,"1,703"
2020,7,0,736,307,20,24,30,255,25,13,62
2020,7,10,"1,130",508,26,30,43,425,25,21,52
2020,7,20,"1,482",558,57,67,127,433,83,47,110
2020,7,30,"1,302",431,47,67,107,429,75,46,100
2020,7,40,"2,219",823,58,94,170,689,107,90,188
2020,7,50,"3,355","1,033",140,191,337,886,258,169,341
2020,7,60,"3,189",794,198,230,337,760,251,182,437
2020,7,70,"1,819",444,97,156,175,376,165,154,252
2020,7,80,865,193,74,73,92,149,58,83,143
2020,7,90,70,11,6,7,6,10,9,4,17
2020,7,100,4,0,1,1,0,0,0,1,1
2020,8,총,"16,110","5,094",715,938,"1,419","4,392","1,047",808,"1,697"
2020,8,0,735,311,19,24,29,253,24,13,62
2020,8,10,"1,121",501,26,29,43,425,25,19,53
2020,8,20,"1,462",561,51,66,124,428,81,48,103
2020,8,30,"1,289",430,45,64,107,424,74,44,101
2020,8,40,"2,205",820,58,95,168,682,104,92,186
2020,8,50,"3,338","1,020",139,189,337,886,254,167,346
2020,8,60,"3,203",800,198,232,335,763,254,185,436
2020,8,70,"1,813",447,97,156,178,370,164,151,250
2020,8,80,868,192,74,75,92,151,58,84,142
2020,8,90,72,12,7,7,6,10,9,4,17
2020,8,100,4,0,1,1,0,0,0,1,1
2020,9,총,"16,050","5,070",708,939,"1,414","4,369","1,043",807,"1,700"
2020,9,0,732,313,18,24,30,250,23,12,62
2020,9,10,"1,103",490,26,29,42,418,24,19,55
2020,9,20,"1,448",553,51,64,117,429,82,48,104
2020,9,30,"1,265",426,43,63,108,412,69,45,99
2020,9,40,"2,198",810,59,95,167,679,106,94,188
2020,9,50,"3,327","1,023",137,189,333,884,253,165,343
2020,9,60,"3,224",802,196,237,339,765,257,185,443
2020,9,70,"1,804",447,94,154,180,369,161,151,248
2020,9,80,871,194,76,76,90,153,59,83,140
2020,9,90,74,12,7,7,8,10,9,4,17
2020,9,100,4,0,1,1,0,0,0,1,1
2020,10,총,"16,076","5,076",710,943,"1,425","4,375","1,040",812,"1,695"
2020,10,0,727,315,18,23,29,247,23,13,59
2020,10,10,"1,109",492,24,30,42,420,24,19,58
2020,10,20,"1,451",549,54,64,122,430,81,48,103
2020,10,30,"1,264",425,42,64,108,409,70,47,99
2020,10,40,"2,196",816,58,100,166,676,105,93,182
2020,10,50,"3,325","1,015",138,188,330,890,254,165,345
2020,10,60,"3,244",810,199,237,344,769,257,184,444
2020,10,70,"1,811",447,94,155,184,374,157,153,247
2020,10,80,872,195,75,74,92,150,60,85,141
2020,10,90,72,11,7,7,8,10,9,4,16
2020,10,100,5,1,1,1,0,0,0,1,1
2020,11,총,"16,076","5,086",710,938,"1,419","4,380","1,041",813,"1,689"
2020,11,0,731,321,18,22,29,247,23,15,56
2020,11,10,"1,101",490,24,30,43,413,24,19,58
2020,11,20,"1,463",558,52,66,122,430,80,48,107
2020,11,30,"1,249",421,42,64,107,404,69,48,94
2020,11,40,"2,188",815,60,97,164,678,102,92,180
2020,11,50,"3,310","1,012",137,185,328,886,257,166,339
2020,11,60,"3,270",811,199,238,344,785,258,185,450
2020,11,70,"1,811",448,95,154,181,376,157,152,248
2020,11,80,876,198,75,74,93,151,62,83,140
2020,11,90,72,11,7,7,8,10,9,4,16
2020,11,100,5,1,1,1,0,0,0,1,1
2020,12,총,"16,074","5,068",708,940,"1,423","4,388","1,034",822,"1,691"
2020,12,0,728,319,17,22,26,249,23,17,55
2020,12,10,"1,091",490,23,29,41,411,19,20,58
2020,12,20,"1,478",563,50,69,125,433,82,49,107
2020,12,30,"1,244",415,40,65,110,402,69,49,94
2020,12,40,"2,148",796,58,93,166,668,100,93,174
2020,12,50,"3,320","1,011",139,189,328,890,254,167,342
2020,12,60,"3,285",816,202,235,344,791,257,188,452
2020,12,70,"1,821",448,95,154,183,382,158,151,250
2020,12,80,879,198,76,76,91,151,62,83,142
2020,12,90,75,11,7,7,9,11,10,4,16
2020,12,100,5,1,1,1,0,0,0,1,1
2021,1,총,"16,044","5,069",704,927,"1,412","4,393","1,036",818,"1,685"
2021,1,0,729,322,17,20,27,249,23,18,53
2021,1,10,"1,080",487,22,29,40,406,19,19,58
2021,1,20,"1,457",556,50,67,120,430,79,48,107
2021,1,30,"1,220",406,38,64,108,398,70,46,90
2021,1,40,"2,139",794,55,91,165,665,100,96,173
2021,1,50,"3,321","1,017",140,186,323,895,249,167,344
2021,1,60,"3,310",826,202,231,346,804,265,183,453
2021,1,70,"1,826",449,95,155,183,381,158,152,253
2021,1,80,881,198,77,75,91,154,62,84,140
2021,1,90,76,13,7,8,9,11,11,4,13
2021,1,100,5,1,1,1,0,0,0,1,1
2021,2,총,"16,013","5,064",705,927,"1,401","4,395","1,030",811,"1,680"
2021,2,0,727,319,18,20,27,249,22,19,53
2021,2,10,"1,071",487,25,31,38,397,20,17,56
2021,2,20,"1,451",553,49,65,118,435,78,47,106
2021,2,30,"1,210",402,38,61,105,403,69,45,87
2021,2,40,"2,123",795,53,95,167,656,95,94,168
2021,2,50,"3,315","1,019",142,181,318,895,247,167,346
2021,2,60,"3,332",830,201,235,346,811,270,184,455
2021,2,70,"1,819",445,95,154,181,382,156,150,256
2021,2,80,882,199,76,76,92,155,62,84,138
2021,2,90,78,14,7,8,9,12,11,3,14
2021,2,100,5,1,1,1,0,0,0,1,1
2021,3,총,"15,993","5,063",710,930,"1,404","4,374","1,027",807,"1,678"
2021,3,0,719,314,18,20,29,247,22,16,53
2021,3,10,"1,072",487,24,31,38,399,20,18,55
2021,3,20,"1,442",559,49,66,117,423,77,47,104
2021,3,30,"1,206",406,37,62,107,397,67,44,86
2021,3,40,"2,108",786,55,96,162,656,94,91,168
2021,3,50,"3,297","1,009",142,180,321,891,242,166,346
2021,3,60,"3,357",840,206,235,346,813,275,189,453
2021,3,70,"1,827",446,94,156,182,381,159,150,259
2021,3,80,886,202,76,75,93,154,61,84,141
2021,3,90,76,14,8,8,9,13,10,2,12
2021,3,100,3,0,1,1,0,0,0,0,1
2021,4,총,"15,978","5,052",710,929,"1,403","4,383","1,022",804,"1,675"
2021,4,0,715,313,17,18,29,248,23,16,51
2021,4,10,"1,055",483,23,31,38,389,18,18,55
2021,4,20,"1,432",551,48,64,117,431,71,47,103
2021,4,30,"1,199",406,36,61,105,396,69,43,83
2021,4,40,"2,102",785,52,99,160,658,92,88,168
2021,4,50,"3,301","1,015",143,177,322,889,240,169,346
2021,4,60,"3,367",833,208,239,348,817,279,189,454
2021,4,70,"1,837",450,97,155,182,387,159,147,260
2021,4,80,890,202,77,76,93,155,61,84,142
2021,4,90,77,14,8,8,9,13,10,3,12
2021,4,100,3,0,1,1,0,0,0,0,1
2021,5,총,"15,939","5,037",706,929,"1,404","4,378","1,026",802,"1,657"
2021,5,0,714,313,18,18,28,247,26,14,50
2021,5,10,"1,052",485,23,30,39,387,18,18,52
2021,5,20,"1,416",543,48,63,115,426,72,47,102
2021,5,30,"1,200",402,35,61,106,400,68,45,83
2021,5,40,"2,076",772,52,100,157,648,91,87,169
2021,5,50,"3,294","1,022",139,177,322,890,241,166,337
2021,5,60,"3,390",836,210,243,352,823,282,190,454
2021,5,70,"1,834",447,97,153,185,386,158,150,258
2021,5,80,884,204,75,75,91,158,60,82,139
2021,5,90,76,13,8,8,9,13,10,3,12
2021,5,100,3,0,1,1,0,0,0,0,1
2021,6,총,"15,879","5,036",703,924,"1,388","4,355","1,021",801,"1,651"
2021,6,0,709,313,17,19,28,245,24,13,50
2021,6,10,"1,047",487,22,29,36,384,18,18,53
2021,6,20,"1,396",536,50,60,114,419,68,49,100
2021,6,30,"1,185",401,31,61,101,392,67,47,85
2021,6,40,"2,059",767,53,99,155,644,89,85,167
2021,6,50,"3,276","1,019",141,176,318,886,242,167,327
2021,6,60,"3,411",847,208,243,355,827,283,188,460
2021,6,70,"1,831",448,98,154,182,381,160,151,257
2021,6,80,887,205,75,74,90,164,60,81,138
2021,6,90,75,13,7,8,9,13,10,2,13
2021,6,100,3,0,1,1,0,0,0,0,1
2021,7,총,"15,851","5,028",706,916,"1,384","4,349","1,025",797,"1,646"
2021,7,0,710,314,17,18,28,244,25,13,51
2021,7,10,"1,041",486,21,29,35,380,18,18,54
2021,7,20,"1,391",539,47,57,111,424,68,47,98
2021,7,30,"1,158",390,33,58,100,380,66,47,84
2021,7,40,"2,047",761,54,95,150,650,87,84,166
2021,7,50,"3,277","1,023",139,178,316,884,247,165,325
2021,7,60,"3,434",853,212,243,362,831,282,190,461
2021,7,70,"1,830",445,98,154,184,381,159,152,257
2021,7,80,883,203,75,74,89,163,63,79,137
2021,7,90,76,14,9,9,9,12,9,2,12
2021,7,100,4,0,1,1,0,0,1,0,1
2021,8,총,"15,830","5,007",711,921,"1,387","4,336","1,027",800,"1,641"
2021,8,0,696,306,18,19,29,237,24,13,50
2021,8,10,"1,032",480,21,28,35,378,19,17,54
2021,8,20,"1,391",539,46,56,113,427,68,48,94
2021,8,30,"1,146",388,34,58,101,368,64,47,86
2021,8,40,"2,041",754,55,93,148,651,87,85,168
2021,8,50,"3,268","1,015",137,184,314,883,248,166,321
2021,8,60,"3,454",863,217,244,363,831,283,189,464
2021,8,70,"1,838",448,99,151,185,383,161,154,257
2021,8,80,883,200,74,78,89,165,63,79,135
2021,8,90,77,14,9,9,10,13,9,2,11
2021,8,100,4,0,1,1,0,0,1,0,1
2021,9,총,"15,762","4,985",710,921,"1,377","4,319","1,020",797,"1,633"
2021,9,0,697,304,18,20,30,236,25,14,50
2021,9,10,"1,024",476,20,28,33,378,18,18,53
2021,9,20,"1,360",534,46,57,110,412,64,46,91
2021,9,30,"1,128",385,34,58,96,367,64,45,79
2021,9,40,"2,023",746,54,91,150,650,84,80,168
2021,9,50,"3,250","1,012",134,183,309,879,244,169,320
2021,9,60,"3,465",861,221,243,363,833,286,188,470
2021,9,70,"1,845",455,98,152,188,386,159,154,253
2021,9,80,885,198,75,77,88,165,66,80,136
2021,9,90,81,14,9,11,10,13,9,3,12
2021,9,100,4,0,1,1,0,0,1,0,1
2021,10,총,"15,769","4,985",714,923,"1,376","4,321","1,022",798,"1,630"
2021,10,0,689,301,19,21,28,234,25,13,48
2021,10,10,"1,024",475,19,28,32,381,18,18,53
2021,10,20,"1,349",531,46,57,109,410,60,47,89
2021,10,30,"1,134",384,36,58,96,370,65,47,78
2021,10,40,"2,014",744,54,91,151,641,88,80,165
2021,10,50,"3,265","1,018",133,183,306,886,246,170,323
2021,10,60,"3,470",863,221,242,367,831,288,184,474
2021,10,70,"1,847",455,102,154,189,387,157,153,250
2021,10,80,893,200,75,77,88,168,65,83,137
2021,10,90,80,14,8,11,10,13,9,3,12
2021,10,100,4,0,1,1,0,0,1,0,1
2021,11,총,"15,762","4,982",712,918,"1,372","4,331","1,029",799,"1,619"
2021,11,0,693,309,18,21,28,234,26,13,44
2021,11,10,"1,019",470,20,27,32,380,20,17,53
2021,11,20,"1,342",526,47,56,107,414,57,48,87
2021,11,30,"1,122",376,33,61,96,365,66,47,78
2021,11,40,"2,011",742,53,86,151,647,88,79,165
2021,11,50,"3,255","1,018",133,185,308,881,245,170,315
2021,11,60,"3,486",865,222,239,367,836,295,186,476
2021,11,70,"1,851",464,102,154,185,392,156,151,247
2021,11,80,902,199,75,77,88,170,66,85,142
2021,11,90,79,13,8,12,10,12,9,3,12
2021,11,100,2,0,1,0,0,0,1,0,0
2021,12,총,"15,741","4,988",711,918,"1,372","4,308","1,026",799,"1,619"
2021,12,0,688,307,17,22,29,231,24,14,44
2021,12,10,"1,018",468,22,27,31,381,19,18,52
2021,12,20,"1,343",533,47,57,110,406,57,47,86
2021,12,30,"1,116",376,34,60,91,366,68,45,76
2021,12,40,"1,999",732,52,87,155,642,87,79,165
2021,12,50,"3,247","1,024",130,184,308,874,246,167,314
2021,12,60,"3,496",868,225,243,365,830,294,192,479
2021,12,70,"1,849",468,100,151,183,395,155,150,247
2021,12,80,900,198,75,76,89,168,67,84,143
2021,12,90,84,14,9,11,11,15,8,3,13
2021,12,100,1,0,0,0,0,0,1,0,0
