년도,월,나이,진천군,진천읍,덕산읍,덕산읍혁신도시출장소,초평면,문백면,백곡면,이월면,광혜원면
2020,6,50,"6,137","2,459","1,432",0,266,339,165,564,912
2020,6,60,"4,820","1,839",881,0,347,358,266,566,563
2020,6,70,"3,004","1,140",449,0,259,241,190,391,334
2020,6,80,"2,255",753,320,0,260,222,151,329,220
2020,6,90,366,118,47,0,33,35,30,62,41
2020,6,100,14,2,5,0,0,1,2,4,0
2020,7,총,"38,985","14,628","12,219",0,"1,581","1,698","1,025","2,948","4,886"
2020,7,0,"3,683","1,134","1,939",0,40,64,25,109,372
2020,7,10,"3,827","1,561","1,322",0,93,69,34,202,546
2020,7,20,"3,794","1,648","1,196",0,89,121,40,202,498
2020,7,30,"5,080","1,556","2,542",0,65,111,49,200,557
2020,7,40,"5,954","2,399","2,065",0,130,137,73,317,833
2020,7,50,"6,131","2,463","1,439",0,264,336,164,552,913
2020,7,60,"4,864","1,848",892,0,349,360,266,577,572
2020,7,70,"3,012","1,145",448,0,258,240,193,391,337
2020,7,80,"2,258",751,325,0,258,224,151,331,218
2020,7,90,367,121,46,0,34,35,28,63,40
2020,7,100,15,2,5,0,1,1,2,4,0
2020,8,총,"39,029","14,648","12,273",0,"1,574","1,697","1,031","2,941","4,865"
2020,8,0,"3,678","1,123","1,952",0,41,65,24,104,369
2020,8,10,"3,828","1,567","1,317",0,93,69,36,204,542
2020,8,20,"3,791","1,653","1,196",0,86,123,41,201,491
2020,8,30,"5,056","1,540","2,548",0,66,105,50,200,547
2020,8,40,"5,973","2,405","2,086",0,127,137,72,311,835
2020,8,50,"6,169","2,475","1,444",0,268,341,163,557,921
2020,8,60,"4,878","1,860",907,0,342,356,270,575,568
2020,8,70,"3,005","1,147",447,0,255,239,191,391,335
2020,8,80,"2,264",754,323,0,262,225,152,331,217
2020,8,90,372,122,48,0,33,36,30,63,40
2020,8,100,15,2,5,0,1,1,2,4,0
2020,9,총,"39,213","14,609","12,534",0,"1,574","1,701","1,022","2,924","4,849"
2020,9,0,"3,690","1,116","1,973",0,42,65,25,102,367
2020,9,10,"3,837","1,558","1,349",0,93,67,35,202,533
2020,9,20,"3,804","1,635","1,232",0,88,122,37,196,494
2020,9,30,"5,093","1,532","2,601",0,64,109,50,196,541
2020,9,40,"6,014","2,392","2,150",0,126,139,69,309,829
2020,9,50,"6,195","2,483","1,460",0,267,339,165,554,927
2020,9,60,"4,914","1,862",937,0,344,361,266,575,569
2020,9,70,"2,993","1,146",450,0,251,238,188,389,331
2020,9,80,"2,284",762,329,0,264,224,155,332,218
2020,9,90,375,120,49,0,34,37,30,65,40
2020,9,100,14,3,4,0,1,0,2,4,0
2020,10,총,"39,568","14,612","12,918",0,"1,580","1,700","1,027","2,900","4,831"
2020,10,0,"3,752","1,101","2,053",0,42,64,26,97,369
2020,10,10,"3,835","1,531","1,383",0,94,68,37,196,526
2020,10,20,"3,880","1,665","1,289",0,87,119,37,193,490
2020,10,30,"5,160","1,522","2,677",0,66,113,50,194,538
2020,10,40,"6,074","2,390","2,228",0,126,137,68,301,824
2020,10,50,"6,231","2,484","1,492",0,268,343,165,555,924
2020,10,60,"4,962","1,883",962,0,342,357,269,577,572
2020,10,70,"2,998","1,148",454,0,255,237,187,388,329
2020,10,80,"2,286",767,329,0,265,225,156,326,218
2020,10,90,376,118,47,0,34,37,30,69,41
2020,10,100,14,3,4,0,1,0,2,4,0
2020,11,총,"39,819","14,584","13,231",0,"1,573","1,691","1,021","2,874","4,845"
2020,11,0,"3,749","1,080","2,073",0,41,65,26,95,369
2020,11,10,"3,871","1,528","1,431",0,93,69,35,191,524
2020,11,20,"3,896","1,653","1,318",0,84,117,36,194,494
2020,11,30,"5,221","1,516","2,748",0,65,113,50,191,538
2020,11,40,"6,122","2,391","2,289",0,120,134,67,296,825
2020,11,50,"6,257","2,473","1,531",0,276,339,164,545,929
2020,11,60,"5,016","1,902",999,0,337,358,268,580,572
2020,11,70,"3,008","1,150",455,0,255,236,187,387,338
2020,11,80,"2,290",770,335,0,265,223,157,325,215
2020,11,90,374,118,48,0,36,36,28,67,41
2020,11,100,15,3,4,0,1,1,3,3,0
2020,12,총,"39,882","14,624","13,331",0,"1,559","1,680","1,023","2,863","4,802"
2020,12,0,"3,735","1,068","2,076",0,40,68,26,94,363
2020,12,10,"3,858","1,522","1,451",0,86,68,35,191,505
2020,12,20,"3,901","1,677","1,319",0,80,114,37,197,477
2020,12,30,"5,229","1,518","2,770",0,64,109,49,187,532
2020,12,40,"6,151","2,397","2,316",0,121,132,67,293,825
2020,12,50,"6,240","2,471","1,538",0,270,335,162,539,925
2020,12,60,"5,070","1,928","1,014",0,341,355,271,581,580
2020,12,70,"3,008","1,147",461,0,254,239,187,382,338
2020,12,80,"2,297",773,336,0,266,224,155,328,215
2020,12,90,378,120,46,0,36,35,31,68,42
2020,12,100,15,3,4,0,1,1,3,3,0
2021,1,총,"39,912","14,588","13,437",0,"1,567","1,676","1,022","2,868","4,754"
2021,1,0,"3,716","1,053","2,083",0,41,64,26,92,357
2021,1,10,"3,844","1,505","1,462",0,89,71,36,192,489
2021,1,20,"3,924","1,682","1,341",0,80,115,37,204,465
2021,1,30,"5,194","1,504","2,776",0,67,106,47,181,513
2021,1,40,"6,164","2,383","2,346",0,123,126,68,293,825
2021,1,50,"6,252","2,475","1,554",0,262,337,160,536,928
2021,1,60,"5,107","1,939","1,017",0,346,361,271,590,583
2021,1,70,"3,013","1,155",460,0,252,238,185,384,339
2021,1,80,"2,300",769,343,0,271,224,157,324,212
2021,1,90,384,121,51,0,35,33,32,69,43
2021,1,100,14,2,4,0,1,1,3,3,0
2021,2,총,"40,066","14,617","13,546",0,"1,575","1,677","1,025","2,869","4,757"
2021,2,0,"3,712","1,049","2,088",0,45,62,26,88,354
2021,2,10,"3,858","1,513","1,476",0,88,73,35,191,482
2021,2,20,"3,936","1,683","1,350",0,78,110,36,209,470
2021,2,30,"5,212","1,497","2,806",0,72,105,48,175,509
2021,2,40,"6,188","2,374","2,368",0,121,130,67,298,830
2021,2,50,"6,254","2,482","1,564",0,260,335,163,528,922
2021,2,60,"5,180","1,968","1,035",0,354,364,271,597,591
2021,2,70,"3,010","1,150",460,0,248,240,186,384,342
2021,2,80,"2,309",775,341,0,273,223,158,327,212
2021,2,90,393,124,54,0,35,34,32,69,45
2021,2,100,14,2,4,0,1,1,3,3,0
2021,3,총,"40,017","14,560","13,647",0,"1,546","1,674","1,017","2,851","4,722"
2021,3,0,"3,711","1,045","2,108",0,39,61,22,88,348
2021,3,10,"3,881","1,515","1,504",0,85,72,36,187,482
2021,3,20,"3,916","1,676","1,361",0,78,106,34,209,452
2021,3,30,"5,182","1,466","2,814",0,69,104,47,177,505
2021,3,40,"6,193","2,357","2,397",0,121,129,69,297,823
2021,3,50,"6,198","2,462","1,559",0,251,329,163,526,908
2021,3,60,"5,239","1,997","1,049",0,353,368,269,597,606
2021,3,70,"2,992","1,152",456,0,244,239,180,380,341
2021,3,80,"2,304",769,343,0,268,230,162,322,210
2021,3,90,391,120,53,0,37,35,31,68,47
2021,3,100,10,1,3,0,1,1,4,0,0
2021,4,총,"40,209","14,661","13,749",0,"1,538","1,677","1,023","2,854","4,707"
2021,4,0,"3,688","1,031","2,108",0,35,61,22,87,344
2021,4,10,"4,002","1,627","1,518",0,85,73,34,187,478
2021,4,20,"3,935","1,685","1,379",0,79,107,37,202,446
2021,4,30,"5,186","1,446","2,841",0,70,102,48,181,498
2021,4,40,"6,197","2,353","2,411",0,119,130,69,301,814
2021,4,50,"6,197","2,460","1,563",0,246,332,163,522,911
2021,4,60,"5,305","2,014","1,072",0,355,372,272,606,614
2021,4,70,"2,981","1,143",459,0,242,237,180,381,339
2021,4,80,"2,312",776,341,0,269,227,162,321,216
2021,4,90,397,125,54,0,37,36,32,66,47
2021,4,100,9,1,3,0,1,0,4,0,0
2021,5,총,"40,247","14,644","13,783",0,"1,525","1,665","1,021","2,866","4,743"
2021,5,0,"3,679","1,028","2,108",0,33,60,22,87,341
2021,5,10,"4,022","1,620","1,521",0,83,72,35,186,505
2021,5,20,"3,915","1,676","1,380",0,77,104,39,198,441
2021,5,30,"5,170","1,448","2,826",0,67,100,47,186,496
2021,5,40,"6,207","2,343","2,442",0,118,128,65,298,813
2021,5,50,"6,205","2,452","1,570",0,242,333,160,529,919
2021,5,60,"5,347","2,026","1,075",0,356,371,276,617,626
2021,5,70,"2,978","1,150",465,0,243,233,178,375,334
2021,5,80,"2,316",775,340,0,267,227,163,325,219
2021,5,90,399,125,53,0,38,37,32,65,49
2021,5,100,9,1,3,0,1,0,4,0,0
2021,6,총,"40,287","14,640","13,831",0,"1,517","1,659","1,020","2,878","4,742"
2021,6,0,"3,671","1,014","2,112",0,33,61,22,88,341
2021,6,10,"4,031","1,618","1,535",0,82,71,35,184,506
2021,6,20,"3,908","1,673","1,381",0,76,99,37,200,442
2021,6,30,"5,159","1,438","2,829",0,68,99,47,185,493
2021,6,40,"6,225","2,345","2,456",0,115,129,66,301,813
2021,6,50,"6,216","2,461","1,577",0,238,331,159,535,915
2021,6,60,"5,370","2,031","1,074",0,359,374,279,618,635
2021,6,70,"2,970","1,152",467,0,243,232,175,374,327
2021,6,80,"2,336",783,344,0,265,229,165,329,221
2021,6,90,391,124,53,0,36,34,31,64,49
2021,6,100,10,1,3,0,2,0,4,0,0
2021,7,총,"40,319","14,634","13,856",0,"1,514","1,661","1,020","2,881","4,753"
2021,7,0,"3,659","1,004","2,113",0,33,64,21,86,338
2021,7,10,"4,048","1,610","1,543",0,82,71,38,186,518
2021,7,20,"3,908","1,681","1,370",0,76,97,36,205,443
2021,7,30,"5,152","1,427","2,834",0,67,99,49,179,497
2021,7,40,"6,254","2,347","2,485",0,114,132,65,301,810
2021,7,50,"6,198","2,466","1,569",0,239,327,157,526,914
2021,7,60,"5,396","2,043","1,071",0,358,375,281,631,637
2021,7,70,"2,969","1,152",467,0,240,236,171,373,330
2021,7,80,"2,336",781,349,0,265,226,168,330,217
2021,7,90,389,122,52,0,38,34,30,64,49
2021,7,100,10,1,3,0,2,0,4,0,0
2021,8,총,"40,346","14,635","13,857",0,"1,507","1,657","1,018","2,906","4,766"
2021,8,0,"3,652",995,"2,106",0,34,65,20,92,340
2021,8,10,"4,046","1,600","1,547",0,83,71,38,185,522
2021,8,20,"3,912","1,689","1,368",0,74,92,35,209,445
2021,8,30,"5,123","1,414","2,816",0,64,102,49,184,494
2021,8,40,"6,249","2,341","2,494",0,113,130,63,307,801
2021,8,50,"6,226","2,469","1,582",0,237,327,160,524,927
2021,8,60,"5,417","2,062","1,073",0,355,373,280,638,636
2021,8,70,"2,974","1,153",469,0,240,236,171,374,331
2021,8,80,"2,349",787,347,0,265,226,171,330,223
2021,8,90,389,124,52,0,40,35,28,63,47
2021,8,100,9,1,3,0,2,0,3,0,0
2021,9,총,"40,358","14,630","13,878",0,"1,500","1,648","1,023","2,910","4,769"
2021,9,0,"3,638",989,"2,101",0,34,65,20,92,337
2021,9,10,"4,020","1,586","1,541",0,82,71,38,184,518
2021,9,20,"3,871","1,668","1,358",0,74,88,33,211,439
2021,9,30,"5,132","1,417","2,815",0,61,102,53,184,500
2021,9,40,"6,271","2,357","2,511",0,108,128,63,304,800
2021,9,50,"6,244","2,463","1,595",0,240,322,161,531,932
2021,9,60,"5,455","2,086","1,082",0,354,376,280,639,638
2021,9,70,"2,962","1,145",469,0,239,235,170,370,334
2021,9,80,"2,369",792,352,0,266,227,173,333,226
2021,9,90,387,126,52,0,39,34,29,62,45
2021,9,100,9,1,2,0,3,0,3,0,0
2021,10,총,"40,423","14,645","13,927",0,"1,498","1,645","1,020","2,904","4,784"
2021,10,0,"3,629",974,"2,111",0,36,64,20,87,337
2021,10,10,"4,021","1,591","1,543",0,80,70,38,180,519
2021,10,20,"3,886","1,680","1,358",0,72,88,33,209,446
2021,10,30,"5,131","1,414","2,827",0,61,95,54,181,499
2021,10,40,"6,280","2,356","2,516",0,106,127,62,308,805
2021,10,50,"6,267","2,474","1,606",0,237,329,158,532,931
2021,10,60,"5,475","2,089","1,087",0,360,372,280,645,642
2021,10,70,"2,960","1,145",469,0,233,239,168,370,336
2021,10,80,"2,381",797,357,0,269,226,174,332,226
2021,10,90,384,124,51,0,41,35,30,60,43
2021,10,100,9,1,2,0,3,0,3,0,0
2021,11,총,"40,441","14,645","13,955",0,"1,497","1,646","1,021","2,899","4,778"
2021,11,0,"3,605",963,"2,099",0,36,63,20,90,334
2021,11,10,"4,030","1,589","1,559",0,79,71,38,178,516
2021,11,20,"3,869","1,679","1,354",0,71,86,32,203,444
2021,11,30,"5,127","1,416","2,819",0,61,95,53,182,501
2021,11,40,"6,304","2,360","2,541",0,107,125,62,306,803
2021,11,50,"6,254","2,471","1,606",0,236,327,158,530,926
2021,11,60,"5,510","2,096","1,092",0,365,373,282,653,649
2021,11,70,"2,957","1,139",470,0,233,244,169,365,337
2021,11,80,"2,389",807,360,0,265,225,174,332,226
2021,11,90,387,124,53,0,41,37,30,60,42
2021,11,100,9,1,2,0,3,0,3,0,0
2021,12,총,"40,461","14,645","13,979",0,"1,500","1,653","1,014","2,907","4,763"
2021,12,0,"3,591",961,"2,093",0,39,62,16,87,333
2021,12,10,"4,014","1,586","1,564",0,77,72,38,173,504
2021,12,20,"3,869","1,676","1,353",0,73,85,31,207,444
2021,12,30,"5,095","1,405","2,802",0,64,96,50,182,496
2021,12,40,"6,325","2,355","2,565",0,110,125,64,306,800
2021,12,50,"6,277","2,491","1,614",0,233,328,157,527,927
2021,12,60,"5,528","2,089","1,100",0,364,373,281,663,658
2021,12,70,"2,964","1,148",470,0,231,245,171,366,333
2021,12,80,"2,398",810,362,0,263,231,173,334,225
2021,12,90,391,123,54,0,43,36,30,62,43
2021,12,100,9,1,2,0,3,0,3,0,0
