년도,월,나이,영도구,남항동,영선제1동,영선제2동,신선동,봉래제1동,봉래제2동,청학제1동,청학제2동,동삼제1동,동삼제2동,동삼제3동
2020,3,100,95,6,5,9,7,25,4,9,8,15,1,6
2020,4,총,"58,631","5,435","2,161","4,631","4,723","3,747","2,707","3,560","9,452","14,986","1,727","5,502"
2020,4,0,"2,776",202,93,211,114,198,84,195,550,825,96,208
2020,4,10,"3,744",273,123,277,244,215,141,232,693,"1,163",104,279
2020,4,20,"5,601",507,219,417,398,338,225,311,925,"1,584",232,445
2020,4,30,"5,188",484,178,397,288,369,173,338,894,"1,463",148,456
2020,4,40,"7,459",619,278,577,507,443,309,488,"1,356","2,098",202,582
2020,4,50,"9,981",889,378,805,776,589,445,549,"1,623","2,729",234,964
2020,4,60,"11,336","1,119",445,881,971,762,581,644,"1,773","2,630",344,"1,186"
2020,4,70,"8,212",868,299,693,931,494,534,516,"1,065","1,646",252,914
2020,4,80,"3,636",391,120,303,413,275,189,232,485,731,98,399
2020,4,90,602,77,23,61,74,39,22,46,80,102,16,62
2020,4,100,96,6,5,9,7,25,4,9,8,15,1,7
2020,5,총,"58,521","5,431","2,161","4,631","4,698","3,751","2,692","3,546","9,424","14,994","1,722","5,471"
2020,5,0,"2,756",203,91,210,113,197,85,198,545,823,92,199
2020,5,10,"3,725",269,122,279,242,214,140,220,693,"1,161",103,282
2020,5,20,"5,577",501,217,413,397,345,221,309,917,"1,581",235,441
2020,5,30,"5,178",485,178,395,283,373,171,337,893,"1,469",149,445
2020,5,40,"7,431",620,279,585,500,439,304,486,"1,341","2,093",197,587
2020,5,50,"9,947",881,374,801,769,587,445,544,"1,630","2,730",233,953
2020,5,60,"11,332","1,122",450,882,967,764,574,647,"1,760","2,635",343,"1,188"
2020,5,70,"8,226",871,302,698,927,488,537,517,"1,073","1,655",251,907
2020,5,80,"3,654",398,121,299,419,278,189,232,485,731,100,402
2020,5,90,598,75,22,60,74,41,22,47,79,100,18,60
2020,5,100,97,6,5,9,7,25,4,9,8,16,1,7
2020,6,총,"58,420","5,442","2,157","4,636","4,680","3,756","2,683","3,539","9,403","14,949","1,706","5,469"
2020,6,0,"2,731",204,87,211,108,196,84,197,541,819,89,195
2020,6,10,"3,723",270,117,281,247,212,140,222,691,"1,159",99,285
2020,6,20,"5,570",510,222,411,396,344,222,302,915,"1,575",236,437
2020,6,30,"5,157",491,181,399,280,376,168,336,894,"1,445",145,442
2020,6,40,"7,395",620,275,581,498,441,299,486,"1,325","2,084",193,593
2020,6,50,"9,886",873,370,800,762,581,444,540,"1,627","2,715",233,941
2020,6,60,"11,382","1,128",452,886,969,769,572,651,"1,763","2,653",342,"1,197"
2020,6,70,"8,223",869,304,701,924,490,534,519,"1,069","1,652",250,911
2020,6,80,"3,664",396,122,298,418,281,193,230,492,732,100,402
2020,6,90,591,75,22,59,71,41,23,47,77,99,18,59
2020,6,100,98,6,5,9,7,25,4,9,9,16,1,7
2020,7,총,"58,290","5,425","2,148","4,628","4,644","3,769","2,681","3,515","9,392","14,928","1,705","5,455"
2020,7,0,"2,701",205,88,211,101,199,81,190,537,810,86,193
2020,7,10,"3,691",265,117,282,241,215,137,217,693,"1,142",97,285
2020,7,20,"5,544",501,209,403,392,349,226,299,916,"1,583",235,431
2020,7,30,"5,132",491,184,407,274,370,167,328,885,"1,436",153,437
2020,7,40,"7,378",613,273,576,491,443,303,488,"1,323","2,089",187,592
2020,7,50,"9,830",876,362,795,755,583,438,534,"1,622","2,702",232,931
2020,7,60,"11,401","1,125",459,890,966,768,573,652,"1,768","2,655",342,"1,203"
2020,7,70,"8,232",873,307,698,925,494,530,519,"1,065","1,659",252,910
2020,7,80,"3,695",398,123,299,423,282,199,232,494,736,102,407
2020,7,90,588,72,21,58,69,41,23,47,80,100,18,59
2020,7,100,98,6,5,9,7,25,4,9,9,16,1,7
2020,8,총,"58,089","5,428","2,138","4,612","4,624","3,766","2,673","3,507","9,353","14,862","1,694","5,432"
2020,8,0,"2,667",205,86,209,95,195,79,191,536,800,83,188
2020,8,10,"3,679",260,120,280,246,216,135,213,693,"1,134",97,285
2020,8,20,"5,506",503,208,406,388,347,223,302,906,"1,567",235,421
2020,8,30,"5,052",488,180,403,270,359,167,326,871,"1,415",148,425
2020,8,40,"7,356",625,269,570,491,446,299,482,"1,320","2,074",187,593
2020,8,50,"9,772",872,361,790,747,584,435,534,"1,610","2,685",227,927
2020,8,60,"11,419","1,119",456,895,963,769,575,652,"1,771","2,669",345,"1,205"
2020,8,70,"8,226",877,308,690,918,502,530,522,"1,061","1,657",252,909
2020,8,80,"3,724",401,125,303,428,280,202,230,496,744,101,414
2020,8,90,588,71,20,57,71,42,24,46,80,101,18,58
2020,8,100,100,7,5,9,7,26,4,9,9,16,1,7
2020,9,총,"57,954","5,444","2,150","4,598","4,605","3,745","2,661","3,487","9,333","14,850","1,682","5,399"
2020,9,0,"2,643",201,86,208,93,187,83,189,539,789,82,186
2020,9,10,"3,643",264,117,272,247,216,129,203,684,"1,133",96,282
2020,9,20,"5,495",506,210,404,383,350,219,304,908,"1,571",226,414
2020,9,30,"5,009",496,175,401,268,351,166,323,860,"1,402",145,422
2020,9,40,"7,316",617,274,572,489,443,295,475,"1,308","2,075",187,581
2020,9,50,"9,740",866,361,784,745,578,438,531,"1,607","2,676",229,925
2020,9,60,"11,457","1,132",463,894,957,772,572,654,"1,781","2,681",345,"1,206"
2020,9,70,"8,219",878,311,686,917,502,528,517,"1,062","1,656",253,909
2020,9,80,"3,742",407,127,311,428,276,204,237,494,749,100,409
2020,9,90,590,70,21,57,71,44,23,45,81,102,18,58
2020,9,100,100,7,5,9,7,26,4,9,9,16,1,7
2020,10,총,"57,781","5,474","2,148","4,573","4,583","3,738","2,651","3,468","9,318","14,771","1,682","5,375"
2020,10,0,"2,605",202,87,204,92,185,83,176,532,783,81,180
2020,10,10,"3,620",269,119,272,241,213,128,211,684,"1,111",95,277
2020,10,20,"5,466",507,206,399,382,352,216,297,902,"1,569",228,408
2020,10,30,"4,948",490,175,395,263,350,162,316,848,"1,384",145,420
2020,10,40,"7,285",629,275,571,489,444,296,470,"1,299","2,049",187,576
2020,10,50,"9,668",860,356,778,739,576,431,527,"1,603","2,651",228,919
2020,10,60,"11,514","1,149",464,892,962,766,577,658,"1,795","2,696",344,"1,211"
2020,10,70,"8,218",879,311,680,903,508,526,521,"1,070","1,656",255,909
2020,10,80,"3,769",409,130,317,434,277,205,237,494,752,100,414
2020,10,90,589,73,20,56,71,41,23,46,82,104,18,55
2020,10,100,99,7,5,9,7,26,4,9,9,16,1,6
2020,11,총,"57,636","5,492","2,145","4,556","4,550","3,719","2,647","3,454","9,286","14,760","1,672","5,355"
2020,11,0,"2,571",210,88,198,90,179,80,172,522,783,78,171
2020,11,10,"3,605",270,116,267,238,213,131,210,688,"1,103",95,274
2020,11,20,"5,427",506,202,398,379,349,213,293,893,"1,555",228,411
2020,11,30,"4,921",479,181,393,262,347,157,313,844,"1,387",145,413
2020,11,40,"7,247",642,271,566,483,445,296,468,"1,291","2,032",183,570
2020,11,50,"9,629",860,355,773,734,573,430,524,"1,587","2,650",223,920
2020,11,60,"11,540","1,150",463,896,955,768,577,665,"1,803","2,711",341,"1,211"
2020,11,70,"8,224",887,313,677,899,501,533,517,"1,071","1,658",259,909
2020,11,80,"3,787",404,132,322,435,276,205,236,497,762,101,417
2020,11,90,586,77,19,57,68,42,21,47,81,103,18,53
2020,11,100,99,7,5,9,7,26,4,9,9,16,1,6
2020,12,총,"57,496","5,516","2,152","4,524","4,520","3,706","2,641","3,454","9,253","14,726","1,664","5,340"
2020,12,0,"2,546",213,85,190,92,172,78,171,518,779,76,172
2020,12,10,"3,570",261,115,267,234,212,129,208,686,"1,094",91,273
2020,12,20,"5,417",509,205,392,367,349,216,296,883,"1,570",228,402
2020,12,30,"4,890",484,180,396,264,343,153,316,834,"1,365",147,408
2020,12,40,"7,206",638,266,560,478,449,290,465,"1,285","2,025",185,565
2020,12,50,"9,580",867,359,766,729,568,432,516,"1,583","2,641",221,898
2020,12,60,"11,581","1,168",470,891,952,771,580,672,"1,799","2,712",339,"1,227"
2020,12,70,"8,222",888,314,673,893,498,535,518,"1,075","1,652",261,915
2020,12,80,"3,798",404,135,320,439,276,203,236,500,765,99,421
2020,12,90,587,77,18,60,65,42,21,47,81,108,16,52
2020,12,100,99,7,5,9,7,26,4,9,9,15,1,7
2021,1,총,"57,351","5,531","2,163","4,515","4,505","3,695","2,620","3,439","9,211","14,682","1,669","5,321"
2021,1,0,"2,520",212,85,187,94,170,79,172,518,755,76,172
2021,1,10,"3,555",261,115,263,227,210,127,208,681,"1,102",88,273
2021,1,20,"5,354",510,202,397,364,346,214,286,864,"1,557",226,388
2021,1,30,"4,877",488,185,388,264,335,151,316,829,"1,363",148,410
2021,1,40,"7,185",645,266,564,472,452,288,462,"1,280","2,009",186,561
2021,1,50,"9,510",857,360,761,723,566,426,514,"1,571","2,625",222,885
2021,1,60,"11,602","1,176",473,895,954,768,579,671,"1,806","2,711",343,"1,226"
2021,1,70,"8,226",894,317,670,895,498,523,517,"1,070","1,667",264,911
2021,1,80,"3,836",403,134,324,441,281,210,236,503,770,98,436
2021,1,90,584,78,20,56,64,43,19,48,79,108,17,52
2021,1,100,102,7,6,10,7,26,4,9,10,15,1,7
2021,2,총,"57,238","5,540","2,155","4,508","4,488","3,679","2,616","3,423","9,213","14,630","1,668","5,318"
2021,2,0,"2,485",209,85,182,92,171,79,170,505,743,79,170
2021,2,10,"3,550",262,113,262,228,211,121,208,690,"1,092",90,273
2021,2,20,"5,348",514,200,397,364,348,217,286,867,"1,543",225,387
2021,2,30,"4,827",487,184,384,262,327,147,307,817,"1,356",147,409
2021,2,40,"7,176",649,262,568,464,452,293,470,"1,277","2,004",182,555
2021,2,50,"9,478",862,363,754,717,561,423,508,"1,581","2,604",224,881
2021,2,60,"11,591","1,177",473,893,954,760,577,675,"1,793","2,719",340,"1,230"
2021,2,70,"8,232",887,316,675,895,503,524,508,"1,082","1,669",264,909
2021,2,80,"3,854",406,134,328,440,277,214,235,508,772,100,440
2021,2,90,594,80,19,55,64,43,18,46,83,113,16,57
2021,2,100,103,7,6,10,8,26,3,10,10,15,1,7
2021,3,총,"56,510","5,490","2,120","4,438","4,352","3,611","2,573","3,306","9,134","14,546","1,657","5,283"
2021,3,0,"2,470",208,82,182,89,172,80,166,501,747,78,165
2021,3,10,"3,520",254,116,257,225,212,119,206,681,"1,084",89,277
2021,3,20,"5,294",520,196,403,354,342,216,276,857,"1,527",219,384
2021,3,30,"4,760",480,188,381,255,327,145,295,810,"1,342",146,391
2021,3,40,"7,072",643,256,553,445,449,281,453,"1,266","1,985",187,554
2021,3,50,"9,294",845,356,736,683,542,417,489,"1,562","2,582",218,864
2021,3,60,"11,528","1,170",471,884,936,749,568,660,"1,791","2,725",340,"1,234"
2021,3,70,"8,126",882,302,666,865,489,518,492,"1,079","1,656",268,909
2021,3,80,"3,843",407,135,324,441,272,212,227,507,778,97,443
2021,3,90,555,77,18,48,58,38,16,41,77,113,14,55
2021,3,100,48,4,0,4,1,19,1,1,3,7,1,7
2021,4,총,"56,429","5,508","2,114","4,433","4,326","3,607","2,617","3,295","9,117","14,497","1,645","5,270"
2021,4,0,"2,453",206,81,178,88,169,84,164,495,749,77,162
2021,4,10,"3,509",252,115,260,223,208,127,208,677,"1,082",87,270
2021,4,20,"5,272",528,198,402,346,345,218,268,851,"1,517",213,386
2021,4,30,"4,752",479,186,384,253,324,152,294,805,"1,336",143,396
2021,4,40,"7,068",655,256,553,443,451,289,449,"1,269","1,967",185,551
2021,4,50,"9,233",834,356,734,679,541,419,488,"1,559","2,558",218,847
2021,4,60,"11,542","1,178",469,884,931,751,574,660,"1,788","2,726",340,"1,241"
2021,4,70,"8,142",883,300,666,862,487,523,496,"1,083","1,659",269,914
2021,4,80,"3,853",412,134,321,442,271,214,227,515,781,97,439
2021,4,90,557,77,19,47,58,41,16,40,72,115,15,57
2021,4,100,48,4,0,4,1,19,1,1,3,7,1,7
2021,5,총,"56,558","5,453","2,093","4,383","4,298","3,523","3,354","3,247","9,014","14,350","1,625","5,218"
2021,5,0,"2,483",195,76,173,97,154,196,157,478,732,77,148
2021,5,10,"3,502",246,116,254,215,206,194,205,664,"1,056",85,261
2021,5,20,"5,302",519,195,401,343,334,293,260,850,"1,515",210,382
2021,5,30,"4,780",472,182,378,260,308,271,281,789,"1,318",140,381
2021,5,40,"7,080",639,256,537,434,430,428,442,"1,252","1,932",183,547
2021,5,50,"9,206",831,350,731,663,530,513,480,"1,532","2,518",214,844
2021,5,60,"11,568","1,180",467,879,926,756,643,654,"1,782","2,721",338,"1,222"
2021,5,70,"8,147",879,299,666,849,477,564,498,"1,077","1,644",265,929
2021,5,80,"3,884",410,133,317,453,267,232,228,517,790,97,440
2021,5,90,558,78,18,44,57,42,19,41,70,117,15,57
2021,5,100,48,4,1,3,1,19,1,1,3,7,1,7
2021,6,총,"56,624","5,439","2,071","4,348","4,267","3,491","3,747","3,224","8,982","14,247","1,625","5,183"
2021,6,0,"2,470",190,73,165,94,154,240,153,475,710,77,139
2021,6,10,"3,509",242,112,254,213,208,232,204,661,"1,038",85,260
2021,6,20,"5,323",531,197,397,340,328,319,259,840,"1,520",211,381
2021,6,30,"4,776",467,173,369,257,303,339,279,776,"1,301",139,373
2021,6,40,"7,103",632,250,533,436,434,499,426,"1,253","1,911",184,545
2021,6,50,"9,146",833,344,722,647,510,563,475,"1,518","2,483",215,836
2021,6,60,"11,635","1,169",471,880,923,752,701,659,"1,793","2,728",335,"1,224"
2021,6,70,"8,159",887,298,666,843,473,582,503,"1,082","1,639",266,920
2021,6,80,"3,901",409,135,315,455,270,248,226,508,795,97,443
2021,6,90,554,75,17,44,58,40,23,39,73,115,15,55
2021,6,100,48,4,1,3,1,19,1,1,3,7,1,7
2021,7,총,"56,581","5,422","2,074","4,341","4,226","3,480","3,903","3,178","8,943","14,232","1,618","5,164"
2021,7,0,"2,449",183,71,163,96,151,259,145,471,704,77,129
2021,7,10,"3,509",245,116,255,210,206,248,202,649,"1,030",85,263
2021,7,20,"5,306",527,199,391,330,326,337,255,842,"1,515",204,380
2021,7,30,"4,760",460,169,366,257,301,367,269,773,"1,288",140,370
2021,7,40,"7,096",631,246,525,426,425,529,421,"1,240","1,924",187,542
2021,7,50,"9,112",830,345,726,638,511,587,472,"1,502","2,470",210,821
2021,7,60,"11,667","1,171",479,882,924,758,713,652,"1,790","2,737",336,"1,225"
2021,7,70,"8,161",885,296,669,834,473,583,501,"1,090","1,643",262,925
2021,7,80,"3,918",412,133,316,453,270,254,222,509,802,101,446
2021,7,90,555,76,19,45,57,39,25,38,74,112,15,55
2021,7,100,48,2,1,3,1,20,1,1,3,7,1,8
2021,8,총,"56,498","5,421","2,074","4,330","4,213","3,463","3,950","3,174","8,946","14,167","1,607","5,153"
2021,8,0,"2,441",185,72,164,96,147,261,148,463,700,75,130
2021,8,10,"3,501",246,111,252,208,203,257,200,651,"1,025",86,262
2021,8,20,"5,245",511,198,384,329,319,339,257,832,"1,505",196,375
2021,8,30,"4,757",456,171,370,257,298,380,267,778,"1,264",145,371
2021,8,40,"7,069",633,244,523,422,420,538,422,"1,240","1,906",184,537
2021,8,50,"9,082",820,345,724,638,515,585,475,"1,501","2,456",208,815
2021,8,60,"11,673","1,182",482,879,916,752,718,646,"1,783","2,752",335,"1,228"
2021,8,70,"8,178",894,296,670,831,477,587,498,"1,107","1,637",261,920
2021,8,80,"3,945",414,135,317,456,272,259,222,515,802,101,452
2021,8,90,559,78,19,45,59,40,25,38,73,113,15,54
2021,8,100,48,2,1,2,1,20,1,1,3,7,1,9
2021,9,총,"56,424","5,423","2,077","4,317","4,200","3,445","3,994","3,160","8,928","14,129","1,604","5,147"
2021,9,0,"2,438",182,74,168,96,146,260,148,456,704,74,130
2021,9,10,"3,483",240,113,252,207,196,261,195,650,"1,022",88,259
2021,9,20,"5,237",515,202,380,327,318,354,260,828,"1,486",195,372
2021,9,30,"4,766",460,169,375,253,300,389,265,778,"1,259",144,374
2021,9,40,"7,022",623,238,520,415,412,540,419,"1,237","1,905",182,531
2021,9,50,"9,078",826,350,716,641,515,594,474,"1,502","2,448",205,807
2021,9,60,"11,665","1,182",480,874,917,749,719,645,"1,775","2,740",341,"1,243"
2021,9,70,"8,163",895,292,667,826,479,594,489,"1,111","1,634",258,918
2021,9,80,"3,969",419,139,318,457,272,257,225,518,812,101,451
2021,9,90,554,79,19,45,59,38,25,39,70,112,15,53
2021,9,100,49,2,1,2,2,20,1,1,3,7,1,9
2021,10,총,"56,404","5,434","2,075","4,303","4,179","3,430","4,036","3,149","8,933","14,139","1,589","5,137"
2021,10,0,"2,427",180,72,171,93,145,268,149,454,698,69,128
2021,10,10,"3,487",240,115,251,206,194,263,194,649,"1,026",88,261
2021,10,20,"5,239",522,203,376,326,313,354,258,827,"1,499",194,367
2021,10,30,"4,763",457,170,378,247,300,403,267,779,"1,246",140,376
2021,10,40,"6,995",634,235,508,411,409,549,414,"1,237","1,891",182,525
2021,10,50,"9,083",820,352,715,636,513,598,472,"1,502","2,461",203,811
2021,10,60,"11,656","1,186",482,872,915,752,716,645,"1,775","2,738",336,"1,239"
2021,10,70,"8,186",891,289,669,823,490,603,487,"1,110","1,644",260,920
2021,10,80,"3,986",426,137,314,460,273,255,225,526,820,102,448
2021,10,90,551,77,19,47,60,38,26,37,71,109,14,53
2021,10,100,31,1,1,2,2,3,1,1,3,7,1,9
2021,11,총,"56,289","5,435","2,068","4,290","4,169","3,427","4,051","3,135","8,909","14,112","1,583","5,110"
2021,11,0,"2,403",179,74,172,92,144,262,145,447,692,70,126
2021,11,10,"3,480",245,115,252,201,193,263,194,642,"1,027",89,259
2021,11,20,"5,210",517,198,373,326,309,358,256,832,"1,484",193,364
2021,11,30,"4,762",459,170,372,251,299,413,266,775,"1,256",130,371
2021,11,40,"6,956",626,231,508,407,409,551,415,"1,230","1,877",183,519
2021,11,50,"9,038",817,350,713,628,506,600,472,"1,496","2,442",205,809
2021,11,60,"11,669","1,184",479,872,916,762,720,639,"1,776","2,748",336,"1,237"
2021,11,70,"8,177",898,289,667,820,487,594,487,"1,111","1,644",260,920
2021,11,80,"4,003",432,140,313,465,275,263,223,522,824,103,443
2021,11,90,560,77,21,46,61,40,26,37,75,111,13,53
2021,11,100,31,1,1,2,2,3,1,1,3,7,1,9
2021,12,총,"56,167","5,429","2,076","4,273","4,138","3,412","4,062","3,120","8,906","14,082","1,576","5,093"
2021,12,0,"2,392",175,75,170,91,141,263,143,460,686,67,121
2021,12,10,"3,466",243,117,249,201,190,261,193,645,"1,019",88,260
2021,12,20,"5,180",518,198,367,318,308,363,251,825,"1,474",194,364
2021,12,30,"4,715",452,170,372,244,293,411,267,763,"1,251",128,364
2021,12,40,"6,934",631,229,503,403,409,553,408,"1,234","1,866",183,515
2021,12,50,"9,006",814,350,710,619,506,598,475,"1,485","2,440",202,807
2021,12,60,"11,666","1,186",480,868,922,758,724,632,"1,773","2,749",336,"1,238"
2021,12,70,"8,182",896,294,672,811,487,598,486,"1,115","1,645",264,914
2021,12,80,"4,036",435,140,312,466,278,261,227,530,838,102,447
2021,12,90,565,78,22,50,61,39,29,37,73,110,12,54
2021,12,100,25,1,1,0,2,3,1,1,3,4,0,9
