년도,월,나이,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020,6,60,"8,588","1,651",412,235,447,"1,184","1,164",683,"1,754","1,058"
2020,6,70,"5,040",921,261,138,234,707,618,366,"1,126",669
2020,6,80,"2,590",555,115,72,113,402,297,235,504,297
2020,6,90,343,71,26,9,17,57,27,26,79,31
2020,6,100,41,8,0,0,1,5,0,1,19,7
2020,7,총,"41,709","8,583","1,662",872,"1,631","5,331","5,700","3,129","8,803","5,998"
2020,7,0,"1,945",437,42,26,48,233,287,131,437,304
2020,7,10,"2,956",720,79,44,69,341,441,217,678,367
2020,7,20,"3,385",777,106,50,92,404,418,210,743,585
2020,7,30,"3,217",711,70,40,88,345,497,178,647,641
2020,7,40,"5,396","1,108",191,76,147,652,775,399,"1,141",907
2020,7,50,"8,150","1,602",360,182,366,990,"1,166",675,"1,681","1,128"
2020,7,60,"8,622","1,666",412,234,454,"1,190","1,172",683,"1,751","1,060"
2020,7,70,"5,046",923,260,138,236,707,619,370,"1,122",671
2020,7,80,"2,601",556,116,72,112,407,298,238,506,296
2020,7,90,349,75,26,9,18,57,27,27,78,32
2020,7,100,42,8,0,1,1,5,0,1,19,7
2020,8,총,"41,742","8,609","1,662",871,"1,641","5,332","5,700","3,129","8,798","6,000"
2020,8,0,"1,930",438,42,25,48,228,284,129,432,304
2020,8,10,"2,970",728,78,45,70,343,446,218,675,367
2020,8,20,"3,377",780,103,50,92,403,417,204,751,577
2020,8,30,"3,189",707,68,40,89,341,484,178,637,645
2020,8,40,"5,392","1,108",194,75,149,648,772,400,"1,144",902
2020,8,50,"8,156","1,612",358,180,364,996,"1,163",678,"1,666","1,139"
2020,8,60,"8,673","1,672",417,236,459,"1,195","1,187",682,"1,763","1,062"
2020,8,70,"5,038",921,258,139,238,703,618,369,"1,125",667
2020,8,80,"2,626",560,118,72,112,413,302,240,510,299
2020,8,90,350,76,26,8,19,57,26,30,77,31
2020,8,100,41,7,0,1,1,5,1,1,18,7
2020,9,총,"41,706","8,587","1,658",873,"1,653","5,329","5,706","3,125","8,809","5,966"
2020,9,0,"1,918",433,39,25,51,225,284,130,429,302
2020,9,10,"2,948",723,79,44,70,334,444,216,674,364
2020,9,20,"3,375",772,106,51,93,407,421,206,749,570
2020,9,30,"3,152",695,66,40,89,336,484,170,634,638
2020,9,40,"5,381","1,110",194,76,149,640,771,400,"1,145",896
2020,9,50,"8,142","1,606",353,180,365,"1,006","1,159",674,"1,667","1,132"
2020,9,60,"8,723","1,681",421,234,462,"1,204","1,195",690,"1,770","1,066"
2020,9,70,"5,020",920,254,141,241,699,615,367,"1,126",657
2020,9,80,"2,645",558,120,72,112,416,304,243,518,302
2020,9,90,360,82,26,9,20,56,28,28,79,32
2020,9,100,42,7,0,1,1,6,1,1,18,7
2020,10,총,"41,708","8,592","1,662",866,"1,662","5,340","5,694","3,106","8,810","5,976"
2020,10,0,"1,908",436,37,24,54,230,282,122,425,298
2020,10,10,"2,935",726,79,43,69,332,439,210,671,366
2020,10,20,"3,388",771,107,51,95,404,417,210,749,584
2020,10,30,"3,126",687,69,40,89,332,474,161,637,637
2020,10,40,"5,377","1,104",194,76,148,645,767,395,"1,149",899
2020,10,50,"8,116","1,614",349,176,362,"1,005","1,149",676,"1,655","1,130"
2020,10,60,"8,778","1,688",425,235,464,"1,212","1,215",693,"1,776","1,070"
2020,10,70,"5,005",918,254,141,246,694,615,362,"1,126",649
2020,10,80,"2,669",557,123,70,112,423,307,248,524,305
2020,10,90,364,84,25,9,22,57,28,28,80,31
2020,10,100,42,7,0,1,1,6,1,1,18,7
2020,11,총,"41,665","8,577","1,657",864,"1,661","5,313","5,726","3,097","8,783","5,987"
2020,11,0,"1,885",427,33,23,52,221,284,122,423,300
2020,11,10,"2,927",732,78,41,70,330,438,206,666,366
2020,11,20,"3,405",776,110,53,96,403,417,207,754,589
2020,11,30,"3,103",683,67,39,89,320,476,160,628,641
2020,11,40,"5,361","1,096",191,74,148,644,775,392,"1,144",897
2020,11,50,"8,080","1,600",350,176,356,"1,002","1,148",673,"1,648","1,127"
2020,11,60,"8,821","1,700",427,237,467,"1,214","1,229",697,"1,772","1,078"
2020,11,70,"5,001",914,253,141,249,695,619,361,"1,123",646
2020,11,80,"2,677",559,123,70,111,421,311,249,528,305
2020,11,90,364,83,25,9,22,57,28,29,80,31
2020,11,100,41,7,0,1,1,6,1,1,17,7
2020,12,총,"41,681","8,572","1,661",866,"1,662","5,316","5,731","3,098","8,772","6,003"
2020,12,0,"1,868",419,35,22,52,221,282,120,418,299
2020,12,10,"2,907",729,78,40,68,327,431,204,665,365
2020,12,20,"3,415",782,112,50,96,401,424,211,748,591
2020,12,30,"3,098",674,65,40,90,323,469,159,636,642
2020,12,40,"5,341","1,090",191,74,145,642,776,393,"1,132",898
2020,12,50,"8,080","1,605",348,178,358,"1,006","1,149",670,"1,642","1,124"
2020,12,60,"8,876","1,705",428,239,472,"1,218","1,243",699,"1,784","1,088"
2020,12,70,"4,988",918,252,141,246,684,618,363,"1,116",650
2020,12,80,"2,701",558,127,71,112,431,310,248,535,309
2020,12,90,365,85,25,10,22,57,27,30,79,30
2020,12,100,42,7,0,1,1,6,2,1,17,7
2021,1,총,"41,587","8,540","1,660",867,"1,669","5,299","5,733","3,095","8,735","5,989"
2021,1,0,"1,852",414,35,22,52,220,285,116,414,294
2021,1,10,"2,879",724,78,39,68,318,429,205,654,364
2021,1,20,"3,390",767,108,51,95,405,415,215,746,588
2021,1,30,"3,076",672,64,43,89,319,466,157,634,632
2021,1,40,"5,312","1,086",190,72,146,639,776,385,"1,120",898
2021,1,50,"8,019","1,597",350,178,357,987,"1,142",672,"1,623","1,113"
2021,1,60,"8,929","1,706",428,239,477,"1,226","1,254",701,"1,799","1,099"
2021,1,70,"5,013",926,254,139,249,689,624,363,"1,117",652
2021,1,80,"2,706",553,126,73,113,433,312,249,536,311
2021,1,90,370,88,27,10,22,57,28,31,76,31
2021,1,100,41,7,0,1,1,6,2,1,16,7
2021,2,총,"41,514","8,513","1,656",878,"1,666","5,283","5,745","3,090","8,702","5,981"
2021,2,0,"1,841",407,37,22,52,217,285,114,414,293
2021,2,10,"2,863",717,73,41,68,315,429,206,652,362
2021,2,20,"3,353",762,107,51,92,398,417,213,727,586
2021,2,30,"3,052",669,65,45,88,314,459,154,625,633
2021,2,40,"5,291","1,078",188,75,148,628,783,380,"1,115",896
2021,2,50,"7,985","1,590",347,176,353,993,"1,139",668,"1,615","1,104"
2021,2,60,"8,979","1,710",432,239,478,"1,229","1,266",710,"1,812","1,103"
2021,2,70,"4,994",925,250,144,250,692,617,361,"1,107",648
2021,2,80,"2,739",557,130,74,114,433,321,252,541,317
2021,2,90,377,91,27,10,22,59,27,31,78,32
2021,2,100,40,7,0,1,1,5,2,1,16,7
2021,3,총,"41,212","8,473","1,639",880,"1,658","5,232","5,720","3,080","8,619","5,911"
2021,3,0,"1,836",410,36,19,51,218,286,110,412,294
2021,3,10,"2,825",702,74,45,67,310,425,206,637,359
2021,3,20,"3,346",760,106,52,90,404,411,214,722,587
2021,3,30,"3,003",663,65,41,87,309,448,153,610,627
2021,3,40,"5,218","1,064",178,76,142,621,784,373,"1,099",881
2021,3,50,"7,893","1,583",339,177,352,969,"1,128",667,"1,592","1,086"
2021,3,60,"9,014","1,725",436,241,481,"1,231","1,273",716,"1,817","1,094"
2021,3,70,"4,938",912,249,142,248,678,610,355,"1,107",637
2021,3,80,"2,753",561,130,77,117,432,326,256,541,313
2021,3,90,370,88,25,9,23,59,27,30,78,31
2021,3,100,16,5,1,1,0,1,2,0,4,2
2021,4,총,"41,188","8,459","1,649",879,"1,662","5,222","5,736","3,077","8,611","5,893"
2021,4,0,"1,826",406,35,19,53,215,289,109,413,287
2021,4,10,"2,810",697,73,44,68,308,423,201,631,365
2021,4,20,"3,337",764,108,51,89,400,405,218,721,581
2021,4,30,"2,974",654,63,41,85,312,451,152,602,614
2021,4,40,"5,222","1,063",179,75,145,619,786,372,"1,099",884
2021,4,50,"7,869","1,572",345,171,351,968,"1,126",668,"1,591","1,077"
2021,4,60,"9,059","1,730",437,247,485,"1,225","1,285",716,"1,833","1,101"
2021,4,70,"4,929",917,251,141,245,681,610,354,"1,092",638
2021,4,80,"2,778",567,131,80,118,432,332,258,546,314
2021,4,90,367,84,26,9,23,61,26,29,79,30
2021,4,100,17,5,1,1,0,1,3,0,4,2
2021,5,총,"41,164","8,466","1,648",880,"1,664","5,208","5,752","3,073","8,602","5,871"
2021,5,0,"1,807",403,34,17,53,207,287,107,413,286
2021,5,10,"2,810",701,72,45,69,311,427,199,628,358
2021,5,20,"3,315",760,110,52,87,394,399,218,718,577
2021,5,30,"2,956",646,62,42,87,307,444,154,602,612
2021,5,40,"5,175","1,055",174,75,145,608,787,369,"1,085",877
2021,5,50,"7,896","1,580",349,173,341,974,"1,136",664,"1,604","1,075"
2021,5,60,"9,109","1,742",436,246,495,"1,237","1,298",722,"1,835","1,098"
2021,5,70,"4,919",922,251,139,242,676,612,355,"1,085",637
2021,5,80,"2,795",566,134,81,122,433,335,256,548,320
2021,5,90,364,86,25,9,23,59,24,29,80,29
2021,5,100,18,5,1,1,0,2,3,0,4,2
2021,6,총,"41,109","8,465","1,643",875,"1,670","5,199","5,741","3,056","8,581","5,879"
2021,6,0,"1,799",400,33,17,51,206,287,106,410,289
2021,6,10,"2,800",703,72,44,71,307,426,195,625,357
2021,6,20,"3,290",751,105,51,88,390,397,218,717,573
2021,6,30,"2,936",646,61,40,90,306,442,149,588,614
2021,6,40,"5,175","1,060",170,75,149,609,778,362,"1,087",885
2021,6,50,"7,830","1,566",350,170,340,965,"1,132",661,"1,586","1,060"
2021,6,60,"9,186","1,757",443,248,498,"1,249","1,303",730,"1,847","1,111"
2021,6,70,"4,900",922,249,137,239,673,610,353,"1,080",637
2021,6,80,"2,806",567,133,83,119,435,336,257,556,320
2021,6,90,369,88,26,9,25,57,27,25,81,31
2021,6,100,18,5,1,1,0,2,3,0,4,2
2021,7,총,"41,060","8,454","1,640",866,"1,676","5,195","5,731","3,050","8,567","5,881"
2021,7,0,"1,777",393,33,17,54,206,281,106,404,283
2021,7,10,"2,789",700,69,42,72,308,431,193,619,355
2021,7,20,"3,259",746,106,51,85,387,388,213,713,570
2021,7,30,"2,917",643,59,38,89,308,436,149,581,614
2021,7,40,"5,153","1,059",170,73,152,608,783,357,"1,078",873
2021,7,50,"7,807","1,559",347,165,332,963,"1,123",661,"1,585","1,072"
2021,7,60,"9,243","1,769",449,247,501,"1,255","1,308",730,"1,861","1,123"
2021,7,70,"4,911",924,249,137,243,665,613,358,"1,084",638
2021,7,80,"2,817",569,131,86,123,434,338,258,558,320
2021,7,90,369,87,26,9,25,59,27,25,80,31
2021,7,100,18,5,1,1,0,2,3,0,4,2
2021,8,총,"41,050","8,451","1,640",867,"1,681","5,187","5,732","3,050","8,543","5,899"
2021,8,0,"1,764",393,32,20,54,204,271,104,404,282
2021,8,10,"2,791",698,69,42,70,311,435,190,618,358
2021,8,20,"3,251",743,104,50,90,383,386,213,707,575
2021,8,30,"2,885",639,60,42,86,301,431,146,569,611
2021,8,40,"5,132","1,053",168,70,154,601,783,355,"1,076",872
2021,8,50,"7,811","1,555",351,160,335,968,"1,125",660,"1,572","1,085"
2021,8,60,"9,274","1,784",449,250,501,"1,252","1,315",735,"1,863","1,125"
2021,8,70,"4,917",920,248,138,244,669,617,363,"1,083",635
2021,8,80,"2,835",574,132,85,122,436,337,260,566,323
2021,8,90,371,87,26,9,24,60,29,24,81,31
2021,8,100,19,5,1,1,1,2,3,0,4,2
2021,9,총,"40,971","8,440","1,652",867,"1,679","5,172","5,719","3,036","8,521","5,885"
2021,9,0,"1,747",399,32,20,53,203,266,102,393,279
2021,9,10,"2,766",697,68,38,68,309,434,186,610,356
2021,9,20,"3,233",741,107,51,88,373,387,210,707,569
2021,9,30,"2,833",630,62,43,81,297,420,144,552,604
2021,9,40,"5,113","1,057",169,67,150,601,777,349,"1,078",865
2021,9,50,"7,792","1,544",355,160,340,964,"1,126",652,"1,567","1,084"
2021,9,60,"9,348","1,795",450,253,504,"1,258","1,324",746,"1,879","1,139"
2021,9,70,"4,908",917,250,138,248,666,614,361,"1,077",637
2021,9,80,"2,842",569,132,87,122,437,340,262,573,320
2021,9,90,370,86,26,9,24,62,28,24,81,30
2021,9,100,19,5,1,1,1,2,3,0,4,2
2021,10,총,"41,006","8,450","1,655",856,"1,670","5,176","5,727","3,048","8,543","5,881"
2021,10,0,"1,744",400,31,19,53,205,267,106,389,274
2021,10,10,"2,749",700,69,35,68,309,426,182,606,354
2021,10,20,"3,235",741,105,49,85,367,393,210,718,567
2021,10,30,"2,838",631,63,38,81,302,419,147,551,606
2021,10,40,"5,080","1,055",166,65,147,595,772,350,"1,077",853
2021,10,50,"7,803","1,545",352,159,333,971,"1,121",656,"1,573","1,093"
2021,10,60,"9,409","1,801",455,254,513,"1,261","1,341",749,"1,889","1,146"
2021,10,70,"4,908",924,254,139,244,664,610,361,"1,078",634
2021,10,80,"2,849",563,132,88,121,443,345,262,576,319
2021,10,90,372,85,27,9,24,57,30,25,82,33
2021,10,100,19,5,1,1,1,2,3,0,4,2
2021,11,총,"41,023","8,457","1,654",856,"1,676","5,173","5,732","3,049","8,536","5,890"
2021,11,0,"1,735",400,31,19,53,202,263,108,384,275
2021,11,10,"2,739",698,68,35,67,309,426,181,606,349
2021,11,20,"3,244",749,106,47,81,372,393,205,719,572
2021,11,30,"2,829",631,63,38,83,294,418,148,546,608
2021,11,40,"5,060","1,049",162,66,145,599,760,354,"1,063",862
2021,11,50,"7,804","1,554",354,159,335,966,"1,123",656,"1,574","1,083"
2021,11,60,"9,456","1,799",458,253,520,"1,271","1,348",751,"1,907","1,149"
2021,11,70,"4,901",925,250,140,245,656,616,359,"1,073",637
2021,11,80,"2,859",563,134,88,122,444,348,260,581,319
2021,11,90,378,85,27,10,24,58,34,27,79,34
2021,11,100,18,4,1,1,1,2,3,0,4,2
2021,12,총,"40,996","8,444","1,650",852,"1,684","5,177","5,712","3,050","8,546","5,881"
2021,12,0,"1,715",393,32,20,52,202,259,101,380,276
2021,12,10,"2,724",698,69,35,68,311,415,183,603,342
2021,12,20,"3,240",750,103,48,81,371,392,202,724,569
2021,12,30,"2,824",631,61,36,83,295,420,148,543,607
2021,12,40,"5,053","1,047",161,65,143,597,755,355,"1,063",867
2021,12,50,"7,802","1,553",351,158,339,965,"1,119",657,"1,579","1,081"
2021,12,60,"9,485","1,795",463,256,525,"1,273","1,347",761,"1,913","1,152"
2021,12,70,"4,877",918,251,138,244,654,614,358,"1,066",634
2021,12,80,"2,877",572,132,86,124,446,352,259,588,318
2021,12,90,382,83,26,10,24,61,36,26,83,33
2021,12,100,17,4,1,0,1,2,3,0,4,2
