년도,월,나이,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020,6,총,"1,597,593","842,821","184,165","198,950","265,681","194,025","210,173","133,395","32,578","50,802","47,736","37,178","81,742","37,493","94,288","29,387"
2020,6,0,"126,469","75,842","15,646","14,810","24,616","20,770","14,964","9,047","1,519","2,704","2,457","3,437","7,630","1,294","6,329","1,246"
2020,6,10,"151,063","86,890","19,439","21,092","26,870","19,489","19,178","11,947","2,146","3,945","3,495","3,429","8,004","2,072","7,915","2,042"
2020,6,20,"198,496","119,617","23,730","28,823","41,245","25,819","24,287","14,798","2,433","4,475","4,487","4,541","8,969","2,924","9,643","2,322"
2020,6,30,"197,029","119,435","21,952","23,786","41,356","32,341","23,715","13,336","2,287","4,012","3,436","4,841","11,221","2,492","10,165","2,089"
2020,6,40,"242,150","136,783","29,592","31,776","43,467","31,948","31,253","18,682","3,392","6,348","5,488","5,700","13,173","3,876","14,049","3,406"
2020,6,50,"273,957","137,656","32,088","34,990","43,037","27,541","37,844","24,201","6,003","9,101","8,550","6,095","13,521","7,375","17,843","5,768"
2020,6,60,"214,966","93,314","22,553","24,450","26,563","19,748","30,520","22,070","6,610","9,633","8,901","4,836","9,842","8,322","14,732","6,186"
2020,6,70,"119,630","46,746","12,081","12,386","11,966","10,313","17,473","12,356","4,572","6,230","6,480","2,664","5,509","5,424","8,254","3,922"
2020,6,80,"64,406","23,082","6,074","5,972","5,745","5,291","9,663","6,084","3,104","3,766","3,865","1,458","3,403","3,250","4,614","2,117"
2020,6,90,"8,869","3,265",952,815,780,718,"1,207",800,485,559,541,166,452,436,690,268
2020,6,100,558,191,58,50,36,47,69,74,27,29,36,11,18,28,54,21
2020,7,총,"1,597,936","843,399","185,256","198,543","265,720","193,880","210,228","133,277","32,522","50,768","47,702","37,166","81,865","37,357","94,315","29,337"
2020,7,0,"126,082","75,672","15,765","14,690","24,538","20,679","14,949","9,003","1,507","2,692","2,436","3,424","7,613","1,276","6,281","1,229"
2020,7,10,"150,750","86,726","19,486","21,010","26,818","19,412","19,142","11,889","2,142","3,944","3,475","3,415","8,024","2,061","7,891","2,041"
2020,7,20,"198,376","119,621","23,890","28,743","41,155","25,833","24,288","14,779","2,404","4,455","4,484","4,526","8,976","2,896","9,645","2,302"
2020,7,30,"196,691","119,386","22,113","23,691","41,387","32,195","23,639","13,296","2,270","3,987","3,394","4,842","11,200","2,447","10,157","2,073"
2020,7,40,"242,162","136,944","29,783","31,670","43,496","31,995","31,194","18,612","3,379","6,336","5,479","5,709","13,184","3,873","14,064","3,388"
2020,7,50,"274,049","137,753","32,238","34,900","43,040","27,575","37,899","24,181","5,978","9,118","8,548","6,072","13,552","7,324","17,856","5,768"
2020,7,60,"215,906","93,792","22,730","24,569","26,699","19,794","30,652","22,160","6,643","9,641","8,940","4,871","9,915","8,333","14,768","6,191"
2020,7,70,"120,020","46,942","12,155","12,448","12,023","10,316","17,499","12,388","4,592","6,254","6,506","2,668","5,511","5,429","8,295","3,936"
2020,7,80,"64,438","23,107","6,089","5,956","5,743","5,319","9,673","6,089","3,089","3,752","3,867","1,463","3,419","3,250","4,612","2,117"
2020,7,90,"8,906","3,265",951,816,783,715,"1,222",809,492,561,537,165,452,439,693,271
2020,7,100,556,191,56,50,38,47,71,71,26,28,36,11,19,29,53,21
2020,8,총,"1,598,162","843,782","185,904","198,128","265,825","193,925","210,304","133,170","32,522","50,792","47,706","37,136","81,949","37,354","94,179","29,268"
2020,8,0,"125,667","75,503","15,817","14,565","24,546","20,575","14,886","8,949","1,498","2,684","2,433","3,407","7,592","1,266","6,234","1,215"
2020,8,10,"150,379","86,554","19,504","20,893","26,757","19,400","19,070","11,840","2,147","3,935","3,447","3,406","8,037","2,044","7,865","2,034"
2020,8,20,"198,229","119,589","23,955","28,670","41,067","25,897","24,311","14,750","2,397","4,445","4,492","4,522","8,945","2,905","9,587","2,286"
2020,8,30,"196,123","119,124","22,237","23,484","41,414","31,989","23,597","13,226","2,269","3,980","3,383","4,819","11,189","2,411","10,079","2,046"
2020,8,40,"242,036","136,916","29,775","31,509","43,514","32,118","31,142","18,583","3,368","6,336","5,463","5,688","13,215","3,884","14,074","3,367"
2020,8,50,"274,200","137,915","32,354","34,916","43,047","27,598","37,903","24,182","5,970","9,103","8,552","6,073","13,608","7,296","17,830","5,768"
2020,8,60,"217,212","94,460","22,945","24,782","26,834","19,899","30,865","22,230","6,668","9,679","8,989","4,898","9,955","8,381","14,870","6,217"
2020,8,70,"120,092","46,996","12,178","12,436","12,057","10,325","17,490","12,414","4,583","6,297","6,507","2,680","5,501","5,418","8,283","3,923"
2020,8,80,"64,660","23,229","6,120","5,990","5,765","5,354","9,719","6,113","3,102","3,730","3,871","1,464","3,427","3,278","4,611","2,116"
2020,8,90,"9,003","3,305",962,835,786,722,"1,251",811,493,574,531,168,461,443,691,275
2020,8,100,561,191,57,48,38,48,70,72,27,29,38,11,19,28,55,21
2020,9,총,"1,598,536","844,110","187,003","197,483","265,838","193,786","210,299","133,246","32,522","50,745","47,679","37,122","82,362","37,368","93,813","29,270"
2020,9,0,"125,126","75,212","15,892","14,398","24,486","20,436","14,800","8,916","1,480","2,676","2,427","3,385","7,625","1,267","6,125","1,213"
2020,9,10,"150,238","86,521","19,576","20,794","26,708","19,443","19,044","11,822","2,142","3,921","3,465","3,380","8,066","2,038","7,792","2,047"
2020,9,20,"198,166","119,555","24,111","28,579","41,042","25,823","24,313","14,757","2,399","4,417","4,474","4,544","8,995","2,900","9,547","2,265"
2020,9,30,"195,695","118,914","22,368","23,328","41,376","31,842","23,537","13,197","2,258","3,979","3,348","4,815","11,263","2,415","9,928","2,041"
2020,9,40,"241,797","136,850","29,931","31,313","43,415","32,191","31,082","18,578","3,366","6,315","5,444","5,669","13,293","3,868","13,974","3,358"
2020,9,50,"274,157","138,063","32,534","34,799","43,106","27,624","37,864","24,107","5,942","9,063","8,524","6,072","13,651","7,296","17,818","5,757"
2020,9,60,"218,639","95,022","23,189","24,893","27,003","19,937","31,080","22,428","6,724","9,730","9,039","4,918","10,044","8,414","14,985","6,255"
2020,9,70,"120,181","47,139","12,221","12,456","12,105","10,357","17,465","12,438","4,561","6,301","6,521","2,692","5,494","5,420","8,243","3,907"
2020,9,80,"64,820","23,258","6,141","6,014","5,753","5,350","9,765","6,116","3,129","3,732","3,870","1,463","3,450","3,274","4,641","2,122"
2020,9,90,"9,151","3,384",982,861,808,733,"1,277",815,494,582,529,172,462,447,705,284
2020,9,100,566,192,58,48,36,50,72,72,27,29,38,12,19,29,55,21
2020,10,총,"1,599,102","844,486","189,105","196,472","265,320","193,589","210,246","133,203","32,476","50,696","47,603","37,011","83,090","37,447","93,579","29,265"
2020,10,0,"124,477","74,790","16,071","14,182","24,237","20,300","14,725","8,863","1,474","2,651","2,397","3,327","7,718","1,282","6,052","1,198"
2020,10,10,"149,935","86,456","19,758","20,655","26,601","19,442","18,967","11,789","2,134","3,922","3,436","3,376","8,081","2,027","7,719","2,028"
2020,10,20,"198,445","119,672","24,403","28,514","40,964","25,791","24,350","14,768","2,384","4,411","4,483","4,534","9,157","2,883","9,532","2,271"
2020,10,30,"195,132","118,570","22,791","23,037","41,179","31,563","23,444","13,116","2,237","3,928","3,309","4,803","11,418","2,423","9,849","2,035"
2020,10,40,"241,576","136,834","30,195","31,119","43,248","32,272","31,009","18,517","3,376","6,298","5,411","5,631","13,400","3,862","13,895","3,343"
2020,10,50,"274,321","138,262","32,916","34,616","43,105","27,625","37,839","24,115","5,931","9,045","8,518","6,055","13,715","7,293","17,796","5,752"
2020,10,60,"220,035","95,676","23,481","24,939","27,202","20,054","31,323","22,533","6,725","9,749","9,091","4,955","10,156","8,474","15,062","6,291"
2020,10,70,"120,372","47,257","12,262","12,462","12,167","10,366","17,449","12,436","4,573","6,341","6,519","2,676","5,509","5,428","8,270","3,914"
2020,10,80,"65,045","23,379","6,182","6,039","5,763","5,395","9,786","6,166","3,120","3,742","3,870","1,467","3,456","3,295","4,633","2,131"
2020,10,90,"9,194","3,397",989,861,817,730,"1,282",826,495,581,531,175,461,450,715,281
2020,10,100,570,193,57,48,37,51,72,74,27,28,38,12,19,30,56,21
2020,11,총,"1,599,680","844,815","189,727","195,804","265,311","193,973","210,313","133,115","32,456","50,619","47,561","36,960","83,621","37,671","93,310","29,239"
2020,11,0,"123,832","74,456","16,075","14,021","24,184","20,176","14,650","8,800","1,459","2,618","2,376","3,295","7,738","1,288","5,951","1,201"
2020,11,10,"149,743","86,382","19,793","20,542","26,554","19,493","18,934","11,746","2,119","3,910","3,416","3,371","8,140","2,033","7,679","2,013"
2020,11,20,"198,695","119,859","24,507","28,467","40,969","25,916","24,354","14,771","2,382","4,402","4,472","4,533","9,216","2,947","9,499","2,260"
2020,11,30,"194,818","118,431","22,860","22,868","41,156","31,547","23,421","13,043","2,216","3,886","3,290","4,776","11,531","2,441","9,747","2,036"
2020,11,40,"241,236","136,637","30,251","30,937","43,142","32,307","30,985","18,488","3,356","6,281","5,383","5,622","13,498","3,846","13,805","3,335"
2020,11,50,"274,341","138,310","32,980","34,487","43,124","27,719","37,832","24,052","5,940","9,006","8,503","6,057","13,772","7,354","17,789","5,726"
2020,11,60,"221,511","96,374","23,695","25,065","27,395","20,219","31,492","22,678","6,759","9,807","9,155","4,974","10,249","8,543","15,157","6,323"
2020,11,70,"120,513","47,334","12,307","12,466","12,150","10,411","17,457","12,447","4,591","6,360","6,511","2,675","5,533","5,424","8,266","3,915"
2020,11,80,"65,204","23,438","6,214","6,041","5,782","5,401","9,825","6,181","3,111","3,742","3,885","1,471","3,465","3,320","4,644","2,122"
2020,11,90,"9,222","3,406",990,864,819,733,"1,293",835,495,581,531,175,459,445,716,286
2020,11,100,565,188,55,46,36,51,70,74,28,26,39,11,20,30,57,22
2020,12,총,"1,600,837","844,993","190,034","194,720","265,866","194,373","210,186","133,018","32,412","50,527","47,475","36,807","83,718","39,393","93,153","29,155"
2020,12,0,"123,371","74,249","16,082","13,842","24,206","20,119","14,581","8,740","1,464","2,590","2,336","3,242","7,728","1,346","5,894","1,201"
2020,12,10,"149,379","86,167","19,792","20,371","26,526","19,478","18,883","11,695","2,111","3,884","3,390","3,348","8,092","2,161","7,647","2,001"
2020,12,20,"199,209","120,028","24,502","28,330","41,122","26,074","24,405","14,739","2,377","4,412","4,453","4,516","9,226","3,308","9,500","2,245"
2020,12,30,"194,677","118,377","22,877","22,663","41,249","31,588","23,337","13,011","2,210","3,877","3,271","4,753","11,519","2,630","9,674","2,018"
2020,12,40,"241,194","136,530","30,305","30,681","43,173","32,371","30,940","18,442","3,320","6,253","5,362","5,590","13,562","4,105","13,765","3,325"
2020,12,50,"273,800","137,967","32,973","34,235","43,084","27,675","37,632","24,010","5,900","8,962","8,486","6,014","13,733","7,690","17,738","5,668"
2020,12,60,"223,341","97,151","23,895","25,187","27,649","20,420","31,737","22,803","6,814","9,855","9,201","4,990","10,354","8,827","15,255","6,354"
2020,12,70,"120,519","47,351","12,310","12,447","12,171","10,423","17,429","12,444","4,584","6,358","6,511","2,677","5,532","5,507","8,230","3,896"
2020,12,80,"65,569","23,577","6,251","6,062","5,829","5,435","9,881","6,236","3,114","3,740","3,901","1,491","3,487","3,337","4,669","2,136"
2020,12,90,"9,209","3,409",991,856,823,739,"1,291",822,490,569,524,176,465,452,722,289
2020,12,100,569,187,56,46,34,51,70,76,28,27,40,10,20,30,59,22
2021,1,총,"1,599,658","845,710","191,363","194,154","266,196","193,997","210,139","132,759","32,364","50,468","47,230","36,807","83,849","38,338","92,945","29,049"
2021,1,0,"122,503","73,844","16,182","13,605","24,141","19,916","14,474","8,661","1,445","2,564","2,305","3,199","7,700","1,295","5,832","1,184"
2021,1,10,"148,922","86,043","19,850","20,253","26,537","19,403","18,846","11,613","2,098","3,887","3,350","3,353","8,079","2,068","7,615","1,970"
2021,1,20,"198,562","120,041","24,686","28,230","41,078","26,047","24,311","14,649","2,363","4,348","4,377","4,512","9,267","3,062","9,431","2,201"
2021,1,30,"194,224","118,352","23,091","22,505","41,270","31,486","23,307","12,947","2,194","3,866","3,234","4,725","11,510","2,493","9,587","2,009"
2021,1,40,"240,713","136,576","30,503","30,520","43,251","32,302","30,880","18,363","3,304","6,213","5,314","5,580","13,584","3,930","13,673","3,296"
2021,1,50,"273,075","137,889","33,109","34,120","43,042","27,618","37,531","23,933","5,850","8,940","8,434","6,030","13,741","7,402","17,696","5,629"
2021,1,60,"225,183","98,153","24,245","25,412","27,941","20,555","32,011","22,941","6,874","9,933","9,232","5,025","10,441","8,791","15,382","6,400"
2021,1,70,"120,768","47,522","12,374","12,479","12,217","10,452","17,454","12,479","4,582","6,359","6,525","2,691","5,545","5,462","8,249","3,900"
2021,1,80,"65,860","23,668","6,266","6,116","5,862","5,424","9,955","6,264","3,130","3,757","3,893","1,501","3,490","3,356","4,693","2,153"
2021,1,90,"9,278","3,432","1,001",865,822,744,"1,301",832,497,574,526,181,473,449,729,284
2021,1,100,570,190,56,49,35,50,69,77,27,27,40,10,19,30,58,23
2021,2,총,"1,599,122","846,204","193,027","193,371","266,080","193,726","210,058","132,506","32,371","50,474","47,023","36,685","84,116","38,009","92,733","28,943"
2021,2,0,"122,051","73,682","16,324","13,486","24,063","19,809","14,402","8,615","1,438","2,568","2,265","3,146","7,706","1,302","5,756","1,171"
2021,2,10,"148,452","85,865","19,935","20,106","26,455","19,369","18,781","11,542","2,090","3,859","3,329","3,349","8,088","2,026","7,574","1,949"
2021,2,20,"197,701","119,700","24,835","28,076","40,929","25,860","24,263","14,544","2,344","4,327","4,273","4,483","9,261","2,963","9,368","2,175"
2021,2,30,"193,667","118,332","23,450","22,234","41,229","31,419","23,192","12,839","2,174","3,843","3,204","4,660","11,554","2,435","9,481","1,953"
2021,2,40,"240,548","136,655","30,770","30,385","43,256","32,244","30,806","18,310","3,299","6,218","5,289","5,572","13,626","3,874","13,614","3,285"
2021,2,50,"272,604","137,829","33,339","33,961","42,982","27,547","37,462","23,888","5,843","8,903","8,355","6,042","13,752","7,295","17,640","5,595"
2021,2,60,"227,167","99,088","24,591","25,585","28,187","20,725","32,335","23,040","6,942","10,018","9,307","5,060","10,579","8,815","15,530","6,453"
2021,2,70,"120,708","47,575","12,413","12,482","12,209","10,471","17,391","12,502","4,577","6,337","6,518","2,685","5,546","5,434","8,247","3,896"
2021,2,80,"66,297","23,837","6,310","6,137","5,905","5,485","10,054","6,320","3,135","3,785","3,906","1,498","3,503","3,385","4,720","2,154"
2021,2,90,"9,343","3,443","1,001",870,828,744,"1,301",827,502,589,537,180,482,451,743,288
2021,2,100,584,198,59,49,37,53,71,79,27,27,40,10,19,29,60,24
2021,3,총,"1,595,714","845,025","193,300","192,804","265,571","193,350","209,443","132,542","32,206","50,337","46,577","36,536","84,118","37,688","92,407","28,835"
2021,3,0,"121,435","73,341","16,304","13,363","23,949","19,725","14,313","8,548","1,425","2,550","2,245","3,142","7,685","1,291","5,730","1,165"
2021,3,10,"147,917","85,548","19,894","19,959","26,392","19,303","18,682","11,536","2,079","3,847","3,282","3,349","8,134","1,993","7,534","1,933"
2021,3,20,"197,273","119,562","24,879","28,071","40,784","25,828","24,208","14,626","2,331","4,308","4,166","4,453","9,266","2,891","9,314","2,148"
2021,3,30,"192,814","117,883","23,472","22,071","41,062","31,278","23,089","12,802","2,144","3,842","3,178","4,617","11,521","2,396","9,409","1,933"
2021,3,40,"239,437","136,223","30,775","30,201","43,146","32,101","30,636","18,225","3,272","6,169","5,192","5,536","13,626","3,795","13,524","3,239"
2021,3,50,"270,956","137,272","33,267","33,796","42,743","27,466","37,138","23,792","5,782","8,821","8,229","5,992","13,668","7,197","17,529","5,536"
2021,3,60,"229,572","100,298","24,955","25,835","28,531","20,977","32,658","23,271","6,982","10,091","9,379","5,090","10,716","8,874","15,695","6,518"
2021,3,70,"120,213","47,448","12,388","12,458","12,200","10,402","17,298","12,463","4,552","6,322","6,452","2,672","5,507","5,403","8,213","3,883"
2021,3,80,"66,515","23,938","6,342","6,165","5,928","5,503","10,082","6,388","3,129","3,782","3,926","1,507","3,506","3,384","4,706","2,167"
2021,3,90,"9,260","3,406",991,862,820,733,"1,302",828,495,588,515,175,476,446,735,294
2021,3,100,322,106,33,23,16,34,37,63,15,17,13,3,13,18,18,19
2021,4,총,"1,596,303","845,534","193,472","193,334","265,263","193,465","209,434","132,643","32,211","50,341","46,497","36,532","84,437","37,567","92,349","28,758"
2021,4,0,"120,958","73,119","16,287","13,351","23,835","19,646","14,251","8,503","1,420","2,549","2,229","3,117","7,634","1,286","5,701","1,149"
2021,4,10,"147,753","85,311","19,819","19,936","26,273","19,283","18,641","11,560","2,073","3,833","3,278","3,344","8,322","1,975","7,494","1,922"
2021,4,20,"197,283","119,699","24,934","28,124","40,755","25,886","24,158","14,665","2,346","4,286","4,140","4,442","9,273","2,841","9,298","2,135"
2021,4,30,"192,675","117,926","23,522","22,221","40,961","31,222","23,107","12,771","2,120","3,823","3,139","4,608","11,536","2,369","9,350","1,926"
2021,4,40,"239,112","136,198","30,726","30,229","43,109","32,134","30,532","18,174","3,260","6,162","5,154","5,527","13,643","3,747","13,501","3,214"
2021,4,50,"270,275","136,994","33,207","33,793","42,583","27,411","37,057","23,737","5,751","8,789","8,199","5,985","13,654","7,141","17,473","5,495"
2021,4,60,"231,704","101,278","25,208","26,105","28,781","21,184","32,937","23,453","7,044","10,163","9,459","5,155","10,860","8,948","15,848","6,559"
2021,4,70,"119,962","47,375","12,355","12,475","12,160","10,385","17,275","12,416","4,531","6,320","6,436","2,661","5,497","5,399","8,181","3,871"
2021,4,80,"66,910","24,085","6,380","6,204","5,962","5,539","10,127","6,461","3,153","3,805","3,931","1,513","3,520","3,390","4,749","2,176"
2021,4,90,"9,348","3,440","1,000",872,830,738,"1,316",837,498,596,520,177,486,453,733,292
2021,4,100,323,109,34,24,14,37,33,66,15,15,12,3,12,18,21,19
2021,5,총,"1,596,955","846,291","193,673","193,630","265,316","193,672","209,483","132,659","32,180","50,320","46,442","36,536","84,623","37,442","92,213","28,766"
2021,5,0,"120,558","72,922","16,263","13,351","23,718","19,590","14,188","8,468","1,404","2,531","2,220","3,088","7,618","1,280","5,690","1,149"
2021,5,10,"147,489","85,150","19,771","19,874","26,207","19,298","18,613","11,540","2,063","3,800","3,257","3,343","8,374","1,957","7,475","1,917"
2021,5,20,"197,119","119,716","24,945","28,166","40,721","25,884","24,099","14,696","2,334","4,276","4,120","4,435","9,271","2,795","9,246","2,131"
2021,5,30,"192,514","117,947","23,535","22,251","40,987","31,174","23,114","12,748","2,101","3,815","3,116","4,580","11,528","2,353","9,287","1,925"
2021,5,40,"238,517","135,993","30,640","30,211","43,012","32,130","30,401","18,093","3,237","6,105","5,119","5,537","13,650","3,711","13,480","3,191"
2021,5,50,"270,172","137,118","33,267","33,809","42,584","27,458","37,056","23,672","5,720","8,801","8,169","5,982","13,690","7,088","17,427","5,449"
