년도,월,나이,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020,3,90,822,133,86,30,97,32,84,68,101,92,99
2020,3,100,18,1,1,0,3,1,4,1,2,3,2
2020,4,총,"43,223","13,204","3,796","1,632","3,928","2,391","3,619","2,665","3,474","2,900","5,614"
2020,4,0,"1,639",904,79,37,125,95,80,54,78,52,135
2020,4,10,"3,062","1,484",196,105,188,182,226,92,167,125,297
2020,4,20,"3,271","1,480",249,94,213,189,202,134,220,167,323
2020,4,30,"2,580","1,176",172,76,214,144,162,112,157,117,250
2020,4,40,"4,722","1,960",354,139,396,266,338,229,317,222,501
2020,4,50,"7,469","2,228",668,317,669,502,591,428,575,484,"1,007"
2020,4,60,"8,010","1,863",752,306,825,484,705,540,664,651,"1,220"
2020,4,70,"6,799","1,245",709,285,697,320,700,529,665,553,"1,096"
2020,4,80,"4,822",729,532,242,499,175,528,476,527,431,683
2020,4,90,832,134,84,31,99,33,83,70,102,95,101
2020,4,100,17,1,1,0,3,1,4,1,2,3,1
2020,5,총,"43,149","13,179","3,786","1,628","3,922","2,387","3,614","2,653","3,463","2,907","5,610"
2020,5,0,"1,626",891,78,36,127,96,80,53,77,51,137
2020,5,10,"3,016","1,454",197,103,188,180,224,94,163,123,290
2020,5,20,"3,273","1,489",241,94,211,191,205,131,216,170,325
2020,5,30,"2,562","1,171",172,75,214,145,161,109,156,116,243
2020,5,40,"4,687","1,953",351,140,390,262,334,227,312,217,501
2020,5,50,"7,463","2,221",667,314,669,497,587,426,574,497,"1,011"
2020,5,60,"8,022","1,882",751,308,823,486,707,534,666,647,"1,218"
2020,5,70,"6,820","1,251",710,282,698,322,701,534,668,556,"1,098"
2020,5,80,"4,838",732,534,247,501,174,527,474,528,433,688
2020,5,90,824,134,84,29,98,33,83,70,101,94,98
2020,5,100,18,1,1,0,3,1,5,1,2,3,1
2020,6,총,"43,102","13,182","3,774","1,629","3,919","2,379","3,597","2,660","3,460","2,894","5,608"
2020,6,0,"1,614",897,81,35,128,90,77,52,71,49,134
2020,6,10,"2,995","1,442",197,101,184,185,218,93,164,121,290
2020,6,20,"3,278","1,504",236,97,211,185,205,135,218,167,320
2020,6,30,"2,547","1,173",172,74,210,143,158,109,151,113,244
2020,6,40,"4,673","1,949",347,139,390,262,333,227,312,215,499
2020,6,50,"7,465","2,218",663,317,672,494,590,430,575,494,"1,012"
2020,6,60,"8,050","1,886",752,310,826,492,702,538,671,648,"1,225"
2020,6,70,"6,827","1,247",714,282,701,322,704,534,667,558,"1,098"
2020,6,80,"4,816",735,528,245,497,171,521,472,529,433,685
2020,6,90,820,130,84,29,97,34,84,69,100,93,100
2020,6,100,17,1,0,0,3,1,5,1,2,3,1
2020,7,총,"43,021","13,116","3,802","1,628","3,920","2,374","3,587","2,648","3,458","2,881","5,607"
2020,7,0,"1,594",882,85,36,127,89,76,51,68,46,134
2020,7,10,"2,969","1,407",219,100,182,185,216,90,167,116,287
2020,7,20,"3,275","1,504",234,98,213,184,197,138,218,169,320
2020,7,30,"2,515","1,157",171,75,208,140,156,102,150,112,244
2020,7,40,"4,668","1,951",351,140,384,259,332,227,311,217,496
2020,7,50,"7,451","2,211",653,317,674,497,591,436,575,481,"1,016"
2020,7,60,"8,071","1,893",761,309,829,489,700,533,674,654,"1,229"
2020,7,70,"6,818","1,248",710,282,698,323,708,533,662,560,"1,094"
2020,7,80,"4,822",734,534,240,502,172,522,468,530,433,687
2020,7,90,821,128,84,31,100,35,84,69,101,90,99
2020,7,100,17,1,0,0,3,1,5,1,2,3,1
2020,8,총,"42,980","13,098","3,800","1,630","3,932","2,365","3,571","2,652","3,467","2,872","5,593"
2020,8,0,"1,590",882,83,36,129,89,71,53,66,47,134
2020,8,10,"2,942","1,384",219,99,186,180,211,94,169,115,285
2020,8,20,"3,276","1,504",240,100,212,185,196,135,221,166,317
2020,8,30,"2,495","1,150",166,76,208,136,157,102,148,111,241
2020,8,40,"4,640","1,943",346,141,382,257,325,233,306,212,495
2020,8,50,"7,435","2,213",652,314,676,493,588,431,579,478,"1,011"
2020,8,60,"8,137","1,919",763,312,835,492,703,536,680,658,"1,239"
2020,8,70,"6,791","1,237",712,281,702,325,708,529,661,558,"1,078"
2020,8,80,"4,834",737,536,239,500,173,524,468,531,432,694
2020,8,90,823,128,83,32,99,34,83,70,104,92,98
2020,8,100,17,1,0,0,3,1,5,1,2,3,1
2020,9,총,"42,889","13,068","3,773","1,627","3,924","2,363","3,560","2,648","3,465","2,876","5,585"
2020,9,0,"1,576",871,80,35,124,90,69,54,71,48,134
2020,9,10,"2,934","1,384",221,99,181,176,211,94,169,115,284
2020,9,20,"3,255","1,490",237,104,207,188,193,133,218,166,319
2020,9,30,"2,486","1,156",162,74,204,131,153,99,155,111,241
2020,9,40,"4,608","1,923",343,145,378,259,324,233,298,211,494
2020,9,50,"7,398","2,209",638,313,673,490,584,430,576,478,"1,007"
2020,9,60,"8,200","1,936",770,313,845,496,711,540,685,663,"1,241"
2020,9,70,"6,750","1,225",707,280,703,322,702,529,656,550,"1,076"
2020,9,80,"4,834",748,528,231,505,175,526,464,529,437,691
2020,9,90,831,125,87,33,101,35,82,71,106,94,97
2020,9,100,17,1,0,0,3,1,5,1,2,3,1
2020,10,총,"42,893","13,065","3,772","1,623","3,916","2,357","3,544","2,640","3,513","2,878","5,585"
2020,10,0,"1,569",860,76,35,124,87,69,53,85,48,132
2020,10,10,"2,940","1,379",236,96,183,175,209,92,178,115,277
2020,10,20,"3,243","1,486",231,109,201,192,191,129,220,169,315
2020,10,30,"2,483","1,156",158,74,203,130,153,100,162,111,236
2020,10,40,"4,605","1,928",343,142,376,258,317,230,303,212,496
2020,10,50,"7,390","2,210",634,313,676,484,584,432,576,477,"1,004"
2020,10,60,"8,252","1,942",776,316,846,497,713,541,695,667,"1,259"
2020,10,70,"6,720","1,222",703,273,699,324,699,526,655,549,"1,070"
2020,10,80,"4,848",753,529,232,507,173,525,468,528,435,698
2020,10,90,825,127,86,33,98,36,79,68,109,92,97
2020,10,100,18,2,0,0,3,1,5,1,2,3,1
2020,11,총,"43,033","13,233","3,771","1,614","3,904","2,349","3,533","2,634","3,538","2,875","5,582"
2020,11,0,"1,587",865,78,35,123,89,65,50,100,47,135
2020,11,10,"2,984","1,445",233,94,177,175,206,92,174,114,274
2020,11,20,"3,301","1,541",233,107,203,191,193,131,224,161,317
2020,11,30,"2,480","1,147",163,74,202,130,154,99,162,113,236
2020,11,40,"4,617","1,951",339,137,377,259,316,226,311,207,494
2020,11,50,"7,376","2,226",633,312,670,478,577,431,579,474,996
2020,11,60,"8,277","1,947",776,319,844,497,714,542,700,675,"1,263"
2020,11,70,"6,703","1,225",697,272,702,323,700,525,646,546,"1,067"
2020,11,80,"4,865",759,534,230,506,171,523,468,530,442,702
2020,11,90,826,126,84,34,98,35,80,69,110,93,97
2020,11,100,17,1,1,0,2,1,5,1,2,3,1
2020,12,총,"42,958","13,222","3,733","1,609","3,902","2,348","3,534","2,624","3,543","2,876","5,567"
2020,12,0,"1,591",864,76,35,123,89,64,49,110,48,133
2020,12,10,"2,937","1,415",234,93,176,176,197,88,175,113,270
2020,12,20,"3,314","1,566",220,106,204,189,195,132,219,165,318
2020,12,30,"2,467","1,142",157,74,196,130,156,102,166,110,234
2020,12,40,"4,596","1,948",337,137,383,259,313,216,311,204,488
2020,12,50,"7,345","2,218",623,310,672,471,582,433,572,473,991
2020,12,60,"8,314","1,955",776,319,843,503,713,545,708,679,"1,273"
2020,12,70,"6,673","1,220",691,272,698,325,701,523,644,540,"1,059"
2020,12,80,"4,875",766,533,229,508,170,526,466,526,447,704
2020,12,90,830,127,85,34,97,35,82,69,111,94,96
2020,12,100,16,1,1,0,2,1,5,1,1,3,1
2021,1,총,"42,855","13,193","3,735","1,614","3,888","2,331","3,530","2,603","3,546","2,859","5,556"
2021,1,0,"1,586",860,75,36,125,85,62,50,115,46,132
2021,1,10,"2,919","1,390",235,92,173,176,205,85,181,112,270
2021,1,20,"3,266","1,554",216,107,201,181,192,125,214,161,315
2021,1,30,"2,447","1,129",156,77,198,131,149,100,167,107,233
2021,1,40,"4,577","1,952",340,134,373,252,316,214,310,199,487
2021,1,50,"7,297","2,208",622,310,664,467,584,427,570,468,977
2021,1,60,"8,360","1,978",783,320,852,505,707,542,707,681,"1,285"
2021,1,70,"6,670","1,223",690,273,694,328,704,519,648,544,"1,047"
2021,1,80,"4,874",768,532,231,509,170,520,467,523,441,713
2021,1,90,842,130,85,34,97,35,86,73,110,96,96
2021,1,100,17,1,1,0,2,1,5,1,1,4,1
2021,2,총,"42,794","13,118","3,734","1,645","3,894","2,318","3,524","2,596","3,549","2,855","5,561"
2021,2,0,"1,586",856,76,46,127,80,60,50,113,45,133
2021,2,10,"2,903","1,359",240,104,174,177,199,84,181,114,271
2021,2,20,"3,221","1,526",210,98,206,178,191,123,214,157,318
2021,2,30,"2,430","1,117",151,81,196,130,144,98,169,104,240
2021,2,40,"4,581","1,949",340,141,379,249,320,207,311,199,486
2021,2,50,"7,277","2,204",621,314,661,464,577,425,572,472,967
2021,2,60,"8,387","1,987",790,323,846,504,714,547,710,678,"1,288"
2021,2,70,"6,637","1,217",682,271,692,332,705,512,643,542,"1,041"
2021,2,80,"4,897",769,533,233,512,167,523,474,524,444,718
2021,2,90,855,133,90,34,98,36,86,74,111,96,97
2021,2,100,20,1,1,0,3,1,5,2,1,4,2
2021,3,총,"42,709","13,144","3,726","1,639","3,887","2,308","3,497","2,584","3,529","2,836","5,559"
2021,3,0,"1,579",853,75,47,122,80,60,51,114,43,134
2021,3,10,"2,934","1,401",241,103,177,175,197,85,178,112,265
2021,3,20,"3,194","1,526",210,96,204,174,187,117,207,155,318
2021,3,30,"2,404","1,114",147,80,192,125,135,100,167,104,240
2021,3,40,"4,541","1,928",340,138,378,255,315,202,309,193,483
2021,3,50,"7,224","2,200",623,308,651,456,580,418,562,467,959
2021,3,60,"8,416","1,994",784,331,854,506,708,550,715,678,"1,296"
2021,3,70,"6,632","1,222",679,269,700,333,705,510,634,537,"1,043"
2021,3,80,"4,908",771,536,231,512,168,518,474,528,450,720
2021,3,90,861,133,90,36,96,36,86,75,114,96,99
2021,3,100,16,2,1,0,1,0,6,2,1,1,2
2021,4,총,"42,688","13,158","3,711","1,642","3,884","2,298","3,484","2,584","3,524","2,849","5,554"
2021,4,0,"1,561",839,71,47,124,78,59,50,112,51,130
2021,4,10,"2,951","1,421",244,104,174,173,193,88,178,114,262
2021,4,20,"3,201","1,539",215,98,201,173,186,118,204,160,307
2021,4,30,"2,403","1,108",146,82,190,123,135,101,162,106,250
2021,4,40,"4,510","1,920",328,138,371,251,310,205,312,194,481
2021,4,50,"7,181","2,201",620,307,650,451,582,409,556,462,943
2021,4,60,"8,426","1,993",782,331,860,509,699,557,710,678,"1,307"
2021,4,70,"6,634","1,223",679,267,707,332,706,497,642,532,"1,049"
2021,4,80,"4,938",781,537,230,509,172,522,481,529,453,724
2021,4,90,868,131,88,38,97,36,86,76,118,98,100
2021,4,100,15,2,1,0,1,0,6,2,1,1,1
2021,5,총,"42,690","13,172","3,704","1,655","3,888","2,287","3,489","2,589","3,521","2,849","5,536"
2021,5,0,"1,551",841,69,46,122,77,57,51,110,50,128
2021,5,10,"2,921","1,407",243,105,178,167,191,84,175,113,258
2021,5,20,"3,195","1,539",209,99,197,174,193,120,205,156,303
2021,5,30,"2,399","1,107",145,82,188,122,136,103,164,106,246
2021,5,40,"4,506","1,912",333,139,375,241,311,208,313,192,482
2021,5,50,"7,154","2,211",614,311,652,456,573,402,548,465,922
2021,5,60,"8,471","2,013",786,337,861,502,703,561,712,680,"1,316"
2021,5,70,"6,654","1,224",684,268,705,338,711,497,642,533,"1,052"
2021,5,80,"4,932",784,530,228,509,172,521,480,530,454,724
2021,5,90,893,133,90,40,100,38,87,81,121,99,104
2021,5,100,14,1,1,0,1,0,6,2,1,1,1
2021,6,총,"42,650","13,170","3,701","1,655","3,877","2,290","3,490","2,586","3,517","2,841","5,523"
2021,6,0,"1,541",835,73,47,123,79,56,51,105,51,121
2021,6,10,"2,913","1,406",241,109,175,167,191,84,175,111,254
2021,6,20,"3,186","1,538",209,95,200,171,195,115,206,154,303
2021,6,30,"2,382","1,105",137,83,180,124,134,104,164,106,245
2021,6,40,"4,507","1,918",333,136,379,243,309,210,304,189,486
2021,6,50,"7,129","2,201",617,310,645,453,578,401,549,460,915
2021,6,60,"8,504","2,018",787,338,865,507,701,565,719,684,"1,320"
2021,6,70,"6,650","1,224",684,269,705,336,706,496,645,531,"1,054"
2021,6,80,"4,925",790,525,228,503,172,522,481,530,457,717
2021,6,90,899,134,94,40,101,38,92,77,119,98,106
2021,6,100,14,1,1,0,1,0,6,2,1,0,2
2021,7,총,"42,572","13,128","3,690","1,651","3,878","2,288","3,458","2,597","3,527","2,835","5,520"
2021,7,0,"1,536",831,72,50,120,79,49,53,110,49,123
2021,7,10,"2,863","1,379",238,106,174,166,181,88,175,106,250
2021,7,20,"3,156","1,534",204,94,204,170,191,114,193,156,296
2021,7,30,"2,376","1,102",132,87,177,126,130,103,169,103,247
2021,7,40,"4,464","1,895",327,135,380,237,307,211,310,187,475
2021,7,50,"7,119","2,201",626,302,642,451,570,403,554,452,918
2021,7,60,"8,545","2,028",793,341,869,508,703,570,716,689,"1,328"
2021,7,70,"6,647","1,228",679,266,704,340,709,493,648,530,"1,050"
2021,7,80,"4,937",792,522,229,508,174,518,483,526,463,722
2021,7,90,915,137,95,41,99,37,95,77,125,100,109
2021,7,100,14,1,2,0,1,0,5,2,1,0,2
2021,8,총,"42,538","13,139","3,689","1,642","3,879","2,285","3,467","2,584","3,514","2,814","5,525"
2021,8,0,"1,522",827,72,47,120,77,49,53,106,48,123
2021,8,10,"2,862","1,382",239,108,177,159,182,87,170,106,252
2021,8,20,"3,147","1,542",202,90,199,171,193,109,193,153,295
2021,8,30,"2,365","1,103",131,85,175,124,129,99,169,102,248
2021,8,40,"4,434","1,881",329,134,382,237,306,212,302,181,470
2021,8,50,"7,115","2,209",622,303,638,455,571,400,559,441,917
2021,8,60,"8,572","2,038",792,340,875,509,709,569,717,687,"1,336"
2021,8,70,"6,655","1,225",686,269,702,342,710,492,647,534,"1,048"
2021,8,80,"4,936",794,520,227,508,175,517,484,524,462,725
2021,8,90,914,136,94,39,102,36,95,77,126,100,109
2021,8,100,16,2,2,0,1,0,6,2,1,0,2
2021,9,총,"42,404","13,079","3,676","1,635","3,869","2,280","3,469","2,597","3,507","2,796","5,496"
2021,9,0,"1,506",813,70,46,119,76,51,57,105,47,122
2021,9,10,"2,837","1,369",237,107,178,162,175,89,167,104,249
2021,9,20,"3,067","1,514",195,91,192,163,189,107,188,146,282
2021,9,30,"2,351","1,086",133,82,174,127,130,99,172,103,245
2021,9,40,"4,405","1,877",321,132,379,234,307,216,303,180,456
2021,9,50,"7,114","2,206",622,302,634,445,576,403,565,441,920
2021,9,60,"8,577","2,052",793,342,880,518,704,564,711,681,"1,332"
2021,9,70,"6,666","1,228",688,269,704,340,718,497,642,531,"1,049"
2021,9,80,"4,950",797,520,224,509,178,517,488,527,461,729
2021,9,90,916,135,95,40,99,37,97,75,126,101,111
2021,9,100,15,2,2,0,1,0,5,2,1,1,1
2021,10,총,"42,372","13,104","3,655","1,639","3,880","2,278","3,448","2,581","3,505","2,785","5,497"
2021,10,0,"1,506",810,68,49,120,77,52,54,109,48,119
2021,10,10,"2,834","1,370",233,108,180,163,171,88,165,100,256
2021,10,20,"3,072","1,521",192,90,194,164,189,105,189,148,280
2021,10,30,"2,325","1,082",126,83,176,124,124,96,174,101,239
2021,10,40,"4,379","1,872",315,135,376,228,301,212,306,179,455
2021,10,50,"7,119","2,215",624,300,635,446,572,402,560,439,926
2021,10,60,"8,597","2,056",793,342,889,527,708,563,705,678,"1,336"
2021,10,70,"6,660","1,236",686,266,699,336,715,499,640,533,"1,050"
2021,10,80,"4,955",807,520,225,509,177,516,484,531,458,728
2021,10,90,909,132,96,41,101,36,95,76,125,100,107
2021,10,100,16,3,2,0,1,0,5,2,1,1,1
2021,11,총,"42,309","13,098","3,646","1,630","3,882","2,273","3,450","2,565","3,504","2,788","5,473"
2021,11,0,"1,507",814,65,51,119,73,52,53,115,47,118
2021,11,10,"2,858","1,372",251,104,186,164,172,90,165,101,253
2021,11,20,"3,042","1,511",185,91,193,166,188,104,182,146,276
2021,11,30,"2,310","1,082",124,81,177,121,123,95,170,103,234
2021,11,40,"4,360","1,870",309,137,376,221,303,211,305,175,453
2021,11,50,"7,118","2,217",625,293,635,448,575,399,566,442,918
2021,11,60,"8,612","2,063",786,344,884,530,712,567,706,678,"1,342"
2021,11,70,"6,623","1,232",678,261,695,340,710,488,640,535,"1,044"
2021,11,80,"4,950",800,523,228,516,173,516,481,527,460,726
2021,11,90,914,135,98,40,100,37,94,75,127,100,108
2021,11,100,15,2,2,0,1,0,5,2,1,1,1
2021,12,총,"42,266","13,087","3,643","1,627","3,873","2,261","3,440","2,572","3,496","2,792","5,475"
2021,12,0,"1,512",818,58,49,122,73,53,55,115,49,120
2021,12,10,"2,831","1,354",254,101,184,159,167,89,166,102,255
2021,12,20,"3,033","1,506",184,92,191,167,186,111,175,147,274
2021,12,30,"2,302","1,083",122,81,175,118,118,96,173,102,234
2021,12,40,"4,341","1,862",308,136,375,218,299,207,303,179,454
2021,12,50,"7,121","2,220",621,293,629,448,583,400,566,438,923
2021,12,60,"8,602","2,073",787,344,885,521,710,565,700,681,"1,336"
2021,12,70,"6,604","1,221",683,257,690,348,707,487,639,530,"1,042"
2021,12,80,"4,971",807,526,233,516,173,514,484,525,466,727
2021,12,90,936,141,98,41,105,36,100,76,133,97,109
2021,12,100,13,2,2,0,1,0,3,2,1,1,1
