년도,월,나이,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020,6,90,375,16,17,21,16,20,15,13,11,10,21,8,8,7,27,13,27,16,14,16,23,24,11,21
2020,6,100,17,1,1,1,1,1,0,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,7,총,"236,814","11,287","7,623","9,351","8,232","8,396","6,013","13,039","9,320","6,041","11,683","11,237","12,576","5,985","7,301","10,882","20,415","7,590","24,989","1,974","8,477","17,917","6,638","9,848"
2020,7,0,"20,275","1,147",386,501,592,570,374,886,659,445,"1,037",673,778,230,413,942,"2,856",703,"3,333",59,822,"1,719",526,624
2020,7,10,"26,171","1,572",542,792,826,662,330,"1,288",673,600,"1,299",937,"1,022",321,701,"1,507","2,405",857,"3,234",88,"1,810","2,375",738,"1,592"
2020,7,20,"37,803","1,458","1,325","1,451","1,172","1,204","1,116","2,445","1,984",854,"1,679","2,247","2,869","1,486","1,040","1,610","2,490","1,314","3,459",172,889,"2,764","1,293","1,482"
2020,7,30,"34,330","1,369",875,"1,072",918,"1,137","1,147","2,275","1,904",795,"1,455","2,002","2,268","1,103",828,"1,284","3,292","1,046","4,184",167,617,"2,659","1,093",840
2020,7,40,"38,458","2,093","1,006","1,360","1,203","1,249",880,"2,148","1,472",926,"1,960","1,606","1,951",881,953,"1,645","3,889","1,087","4,517",256,"1,809","2,946","1,062","1,559"
2020,7,50,"37,870","1,742","1,317","1,608","1,459","1,505",882,"2,112","1,171",971,"1,834","1,704","1,986",989,"1,388","1,866","2,715","1,339","3,626",396,"1,314","3,089","1,046","1,811"
2020,7,60,"25,784","1,128","1,232","1,459","1,284","1,222",736,"1,221",886,825,"1,403","1,313","1,134",623,"1,224","1,448","1,808",762,"1,645",406,653,"1,644",592,"1,136"
2020,7,70,"11,785",600,697,795,552,611,401,470,420,458,759,581,426,265,537,418,714,331,755,286,400,520,205,584
2020,7,80,"3,946",161,227,291,208,215,131,182,141,158,233,164,133,79,189,148,218,135,218,128,138,179,72,198
2020,7,90,374,16,15,21,17,20,15,12,10,9,21,8,9,7,27,14,28,16,14,16,24,22,11,22
2020,7,100,18,1,1,1,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,8,총,"236,763","11,249","7,635","9,349","8,199","8,363","6,000","13,181","9,381","6,042","11,645","11,203","12,579","6,011","7,286","10,838","20,451","7,593","24,946","1,970","8,470","17,907","6,620","9,845"
2020,8,0,"20,202","1,146",387,503,596,570,370,911,646,445,"1,030",659,780,231,406,941,"2,835",700,"3,316",59,809,"1,723",519,620
2020,8,10,"26,063","1,555",528,787,820,655,321,"1,295",668,595,"1,301",932,"1,014",315,698,"1,503","2,411",853,"3,241",87,"1,807","2,362",724,"1,591"
2020,8,20,"37,809","1,438","1,341","1,455","1,153","1,193","1,109","2,467","2,036",850,"1,673","2,227","2,867","1,505","1,035","1,592","2,501","1,325","3,433",171,887,"2,754","1,305","1,492"
2020,8,30,"34,299","1,352",882,"1,066",921,"1,119","1,148","2,327","1,903",802,"1,443","2,013","2,269","1,115",825,"1,273","3,292","1,043","4,145",167,624,"2,646","1,086",838
2020,8,40,"38,421","2,093",996,"1,362","1,185","1,242",884,"2,158","1,483",925,"1,956","1,602","1,947",880,952,"1,641","3,889","1,089","4,521",252,"1,807","2,944","1,061","1,552"
2020,8,50,"37,885","1,748","1,314","1,598","1,460","1,505",877,"2,142","1,171",964,"1,827","1,695","1,985",982,"1,381","1,864","2,726","1,334","3,644",395,"1,322","3,102","1,038","1,811"
2020,8,60,"25,914","1,138","1,240","1,466","1,285","1,225",737,"1,222",893,835,"1,401","1,320","1,141",625,"1,233","1,441","1,833",766,"1,662",407,655,"1,650",600,"1,139"
2020,8,70,"11,814",597,705,797,552,610,404,467,430,460,758,583,433,269,537,420,713,332,749,285,394,524,206,589
2020,8,80,"3,963",165,226,293,209,223,134,180,141,156,231,162,134,81,190,149,223,135,217,130,139,183,70,192
2020,8,90,374,16,15,21,17,20,15,12,10,10,22,7,9,7,28,14,28,16,14,17,25,19,11,21
2020,8,100,19,1,1,1,1,1,1,0,0,0,3,3,0,1,1,0,0,0,4,0,1,0,0,0
2020,9,총,"236,605","11,232","7,660","9,287","8,194","8,361","5,984","13,257","9,387","6,049","11,621","11,201","12,560","5,993","7,248","10,833","20,478","7,604","24,955","1,960","8,467","17,839","6,606","9,829"
2020,9,0,"20,094","1,136",385,496,600,563,365,920,637,439,"1,022",661,769,226,401,940,"2,821",699,"3,310",57,796,"1,709",519,623
2020,9,10,"25,988","1,550",528,784,804,656,327,"1,285",672,594,"1,301",921,"1,015",318,698,"1,497","2,408",852,"3,226",86,"1,816","2,352",719,"1,579"
2020,9,20,"37,852","1,449","1,337","1,440","1,157","1,198","1,112","2,511","2,038",858,"1,663","2,222","2,857","1,490","1,025","1,590","2,535","1,332","3,453",170,889,"2,726","1,309","1,491"
2020,9,30,"34,196","1,324",887,"1,058",912,"1,121","1,128","2,345","1,917",790,"1,440","2,010","2,273","1,121",821,"1,277","3,275","1,039","4,126",167,630,"2,617","1,079",839
2020,9,40,"38,291","2,098","1,002","1,358","1,175","1,227",895,"2,150","1,462",926,"1,936","1,607","1,943",874,931,"1,626","3,904","1,085","4,534",248,"1,797","2,924","1,060","1,529"
2020,9,50,"37,897","1,747","1,316","1,569","1,466","1,507",865,"2,148","1,171",970,"1,841","1,689","1,977",981,"1,378","1,864","2,725","1,339","3,653",392,"1,327","3,112","1,039","1,821"
2020,9,60,"26,063","1,145","1,254","1,471","1,295","1,226",734,"1,237",910,840,"1,402","1,329","1,144",626,"1,238","1,454","1,840",775,"1,673",409,656,"1,669",597,"1,139"
2020,9,70,"11,825",598,704,796,554,614,403,469,425,462,761,586,440,267,534,422,718,334,745,282,387,529,203,592
2020,9,80,"4,000",168,228,292,213,228,139,181,145,159,229,168,133,82,193,148,223,134,216,131,143,182,70,195
2020,9,90,381,16,18,22,17,20,15,11,10,11,23,6,9,7,28,15,29,15,15,18,25,19,11,21
2020,9,100,18,1,1,1,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,10,총,"236,113","11,216","7,634","9,184","8,163","8,345","5,965","13,263","9,408","6,020","11,588","11,179","12,544","5,996","7,224","10,820","20,466","7,578","24,889","1,958","8,477","17,809","6,575","9,812"
2020,10,0,"19,955","1,123",391,485,587,562,352,919,629,436,"1,018",656,764,223,389,947,"2,807",694,"3,296",54,796,"1,698",511,618
2020,10,10,"25,884","1,557",525,775,806,655,329,"1,301",680,582,"1,288",912,994,318,692,"1,490","2,399",846,"3,210",86,"1,814","2,333",717,"1,575"
2020,10,20,"37,781","1,446","1,318","1,422","1,148","1,185","1,116","2,500","2,037",854,"1,653","2,230","2,868","1,486","1,027","1,588","2,558","1,334","3,436",172,898,"2,727","1,293","1,485"
2020,10,30,"34,008","1,315",878,"1,043",918,"1,114","1,109","2,338","1,922",791,"1,428","2,006","2,277","1,118",825,"1,269","3,240","1,027","4,096",162,628,"2,592","1,071",841
2020,10,40,"38,192","2,096","1,004","1,347","1,161","1,221",896,"2,152","1,471",929,"1,921","1,588","1,931",884,923,"1,625","3,899","1,083","4,520",250,"1,787","2,926","1,055","1,523"
2020,10,50,"37,862","1,748","1,312","1,556","1,460","1,505",870,"2,136","1,170",964,"1,846","1,687","1,974",976,"1,366","1,851","2,739","1,338","3,662",394,"1,338","3,109","1,051","1,810"
2020,10,60,"26,142","1,148","1,252","1,453","1,292","1,233",734,"1,255",920,830,"1,411","1,337","1,149",632,"1,242","1,463","1,840",775,"1,680",410,661,"1,687",593,"1,145"
2020,10,70,"11,871",597,709,789,561,622,404,468,424,461,766,588,443,267,537,424,729,331,754,282,387,532,203,593
2020,10,80,"4,021",170,226,293,212,227,139,183,145,162,230,166,135,85,194,147,226,135,216,130,142,186,71,201
2020,10,90,380,15,18,21,17,20,15,11,10,11,24,7,9,6,28,16,29,15,15,18,25,19,10,21
2020,10,100,17,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,11,총,"235,628","11,216","7,653","9,074","8,154","8,302","5,981","13,259","9,373","5,987","11,570","11,125","12,578","5,958","7,215","10,783","20,456","7,567","24,879","1,954","8,458","17,749","6,534","9,803"
2020,11,0,"19,762","1,117",384,484,588,550,349,913,611,433,"1,019",641,756,212,391,940,"2,788",692,"3,265",54,794,"1,676",498,607
2020,11,10,"25,778","1,555",531,765,799,652,333,"1,297",673,577,"1,285",903,994,307,685,"1,483","2,396",850,"3,204",87,"1,799","2,310",712,"1,581"
2020,11,20,"37,774","1,442","1,320","1,412","1,149","1,166","1,143","2,488","2,043",846,"1,648","2,218","2,884","1,483","1,029","1,575","2,554","1,327","3,455",172,911,"2,727","1,292","1,490"
2020,11,30,"33,841","1,313",885,"1,027",910,"1,108","1,106","2,343","1,909",784,"1,418","1,993","2,270","1,104",820,"1,268","3,213","1,024","4,080",162,617,"2,588","1,067",832
2020,11,40,"38,116","2,088","1,013","1,318","1,157","1,214",895,"2,149","1,472",925,"1,919","1,587","1,941",879,920,"1,620","3,909","1,075","4,519",249,"1,776","2,918","1,048","1,525"
2020,11,50,"37,742","1,754","1,304","1,528","1,460","1,504",851,"2,130","1,166",954,"1,848","1,664","1,985",976,"1,355","1,836","2,748","1,332","3,672",394,"1,341","3,093","1,046","1,801"
2020,11,60,"26,255","1,156","1,257","1,444","1,299","1,230",738,"1,266",917,836,"1,410","1,349","1,165",635,"1,252","1,470","1,854",783,"1,692",409,661,"1,692",592,"1,148"
2020,11,70,"11,928",602,712,784,563,628,408,476,428,462,767,590,437,271,539,426,741,334,758,279,385,540,198,600
2020,11,80,"4,027",172,228,290,210,229,142,185,143,158,229,169,137,85,194,149,223,135,214,129,148,188,72,198
2020,11,90,388,16,18,22,18,20,15,12,11,12,24,9,9,5,29,16,30,15,16,19,25,17,9,21
2020,11,100,17,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,12,총,"235,112","11,236","7,670","8,952","8,127","8,269","5,957","13,267","9,352","5,962","11,579","11,083","12,578","5,946","7,192","10,743","20,421","7,539","24,844","1,962","8,456","17,726","6,500","9,751"
2020,12,0,"19,661","1,121",386,480,586,531,343,915,605,428,"1,012",628,753,209,382,939,"2,777",683,"3,250",57,813,"1,662",492,609
2020,12,10,"25,654","1,550",527,750,786,648,335,"1,298",672,574,"1,281",891,984,309,681,"1,482","2,402",859,"3,180",84,"1,794","2,297",698,"1,572"
2020,12,20,"37,740","1,450","1,326","1,409","1,142","1,171","1,134","2,490","2,055",853,"1,660","2,225","2,891","1,495","1,024","1,557","2,536","1,312","3,438",176,907,"2,733","1,296","1,460"
2020,12,30,"33,683","1,326",891,"1,004",904,"1,098","1,105","2,339","1,894",772,"1,410","1,990","2,265","1,097",815,"1,256","3,199","1,014","4,071",159,610,"2,585","1,046",833
2020,12,40,"37,979","2,071","1,015","1,309","1,145","1,212",902,"2,146","1,470",919,"1,931","1,565","1,942",863,915,"1,602","3,911","1,075","4,506",250,"1,783","2,903","1,036","1,508"
2020,12,50,"37,636","1,756","1,304","1,498","1,456","1,504",843,"2,136","1,157",945,"1,844","1,646","1,983",972,"1,358","1,829","2,741","1,326","3,683",393,"1,324","3,083","1,060","1,795"
2020,12,60,"26,346","1,162","1,254","1,413","1,314","1,227",729,"1,269",921,835,"1,410","1,372","1,175",639,"1,252","1,484","1,855",789,"1,715",415,663,"1,712",590,"1,151"
2020,12,70,"11,962",605,716,778,570,633,408,476,425,464,770,586,437,272,539,428,747,330,768,278,386,543,202,601
2020,12,80,"4,047",178,231,289,204,226,142,185,142,160,235,167,139,83,197,150,225,137,214,131,149,190,71,202
2020,12,90,386,16,19,22,19,18,15,13,11,12,23,11,9,6,28,16,28,14,15,19,25,18,9,20
2020,12,100,18,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,2,0,0,0
2021,1,총,"234,832","11,224","7,684","8,879","8,086","8,272","5,959","13,257","9,410","5,964","11,544","11,090","12,585","5,975","7,144","10,711","20,376","7,535","24,806","1,964","8,427","17,694","6,499","9,747"
2021,1,0,"19,501","1,115",383,470,579,531,341,903,611,429,985,620,747,205,373,934,"2,748",675,"3,220",60,817,"1,652",490,613
2021,1,10,"25,523","1,534",528,737,777,651,334,"1,286",667,568,"1,282",891,973,309,677,"1,478","2,411",842,"3,171",87,"1,781","2,280",692,"1,567"
2021,1,20,"37,702","1,455","1,326","1,391","1,119","1,167","1,127","2,490","2,081",860,"1,653","2,241","2,906","1,493","1,017","1,542","2,514","1,313","3,443",169,896,"2,739","1,295","1,465"
2021,1,30,"33,621","1,315",896,998,901,"1,101","1,111","2,360","1,907",770,"1,391","1,976","2,261","1,108",792,"1,267","3,186","1,034","4,037",158,606,"2,571","1,050",825
2021,1,40,"37,836","2,074","1,009","1,292","1,137","1,197",898,"2,135","1,470",917,"1,921","1,564","1,942",870,918,"1,580","3,900","1,069","4,492",249,"1,776","2,889","1,031","1,506"
2021,1,50,"37,576","1,756","1,303","1,487","1,452","1,503",840,"2,124","1,170",948,"1,851","1,631","1,981",986,"1,335","1,828","2,745","1,318","3,703",390,"1,317","3,058","1,055","1,795"
2021,1,60,"26,571","1,166","1,265","1,414","1,323","1,239",737,"1,279",928,837,"1,417","1,394","1,188",643,"1,263","1,480","1,870",805,"1,729",423,666,"1,745",607,"1,153"
2021,1,70,"12,021",611,721,780,580,636,410,481,421,461,780,594,436,272,541,436,744,330,768,278,390,549,201,601
2021,1,80,"4,072",181,233,287,197,229,144,186,143,162,238,166,143,81,198,151,230,135,223,130,152,192,68,203
2021,1,90,390,16,19,23,20,17,16,13,12,12,23,11,8,7,29,15,27,14,16,20,24,19,10,19
2021,1,100,19,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,1,0,4,0,2,0,0,0
2021,2,총,"234,558","11,187","7,698","8,857","8,053","8,281","5,927","13,275","9,384","5,944","11,513","11,045","12,598","6,018","7,131","10,657","20,437","7,546","24,780","1,960","8,443","17,618","6,493","9,713"
2021,2,0,"19,404","1,097",384,464,581,528,334,906,606,428,963,608,740,204,377,925,"2,748",667,"3,202",60,845,"1,635",486,616
2021,2,10,"25,424","1,534",522,740,776,650,326,"1,281",659,562,"1,278",884,974,302,675,"1,469","2,416",844,"3,160",85,"1,785","2,253",691,"1,558"
2021,2,20,"37,579","1,440","1,345","1,375","1,096","1,164","1,122","2,493","2,079",853,"1,660","2,216","2,899","1,521","1,003","1,525","2,532","1,313","3,446",165,878,"2,720","1,308","1,426"
2021,2,30,"33,548","1,302",898,999,902,"1,107","1,115","2,370","1,903",761,"1,362","1,973","2,260","1,117",798,"1,253","3,186","1,035","3,996",162,594,"2,578","1,046",831
2021,2,40,"37,846","2,074","1,002","1,296","1,130","1,200",896,"2,134","1,467",916,"1,920","1,559","1,946",874,910,"1,567","3,921","1,083","4,506",246,"1,800","2,876","1,012","1,511"
2021,2,50,"37,462","1,756","1,302","1,478","1,434","1,490",823,"2,126","1,167",951,"1,858","1,630","1,979",986,"1,329","1,812","2,740","1,303","3,723",389,"1,307","3,040","1,056","1,783"
2021,2,60,"26,730","1,180","1,269","1,419","1,334","1,251",739,"1,282",926,829,"1,423","1,392","1,208",653,"1,266","1,498","1,892",820,"1,732",427,669,"1,753",614,"1,154"
2021,2,70,"12,028",601,722,777,580,639,410,481,421,470,781,600,438,273,541,441,737,331,766,273,387,552,200,607
2021,2,80,"4,123",187,232,287,198,232,145,188,144,160,243,171,145,80,202,152,236,136,231,133,153,192,70,206
2021,2,90,396,15,21,22,21,19,16,14,12,14,22,10,9,7,29,15,28,14,15,20,23,19,10,21
2021,2,100,18,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,1,0,3,0,2,0,0,0
2021,3,총,"233,968","11,176","7,702","8,816","8,041","8,245","5,917","13,215","9,369","5,896","11,499","11,001","12,528","6,012","7,144","10,604","20,452","7,549","24,714","1,952","8,437","17,563","6,470","9,666"
2021,3,0,"19,270","1,089",382,461,575,526,329,899,600,422,956,606,731,198,376,909,"2,744",660,"3,185",57,837,"1,636",481,611
2021,3,10,"25,277","1,533",526,730,776,636,313,"1,271",659,560,"1,268",874,968,299,671,"1,463","2,421",846,"3,133",87,"1,774","2,239",687,"1,543"
2021,3,20,"37,531","1,437","1,364","1,365","1,093","1,164","1,118","2,508","2,088",833,"1,667","2,209","2,889","1,520","1,014","1,518","2,533","1,308","3,448",167,871,"2,706","1,305","1,406"
2021,3,30,"33,455","1,301",901,995,897,"1,112","1,128","2,350","1,895",756,"1,363","1,967","2,233","1,138",793,"1,252","3,184","1,051","3,964",159,592,"2,554","1,035",835
2021,3,40,"37,592","2,042",993,"1,287","1,128","1,184",901,"2,116","1,459",912,"1,915","1,560","1,922",856,908,"1,547","3,910","1,074","4,489",243,"1,806","2,859",997,"1,484"
2021,3,50,"37,316","1,771","1,283","1,472","1,418","1,475",815,"2,084","1,156",947,"1,852","1,611","1,962",986,"1,331","1,801","2,740","1,294","3,740",385,"1,321","3,024","1,061","1,787"
2021,3,60,"26,966","1,189","1,280","1,420","1,352","1,259",744,"1,299",935,825,"1,431","1,401","1,234",655,"1,276","1,504","1,914",831,"1,752",432,667,"1,780",624,"1,162"
2021,3,70,"11,986",605,720,775,585,637,403,481,421,466,776,589,430,270,543,441,740,330,758,266,388,552,200,610
2021,3,80,"4,167",192,232,289,196,231,149,191,143,162,251,173,150,83,201,154,237,140,231,136,155,195,70,206
2021,3,90,397,16,20,22,20,20,16,16,13,13,20,10,9,6,30,15,28,15,14,20,24,18,10,22
2021,3,100,11,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0
2021,4,총,"233,902","11,195","7,730","8,800","8,020","8,271","5,917","13,203","9,361","5,874","11,497","11,020","12,516","6,001","7,147","10,594","20,478","7,546","24,682","1,954","8,430","17,547","6,469","9,650"
2021,4,0,"19,175","1,084",387,459,569,532,328,894,589,418,951,609,716,199,378,910,"2,710",653,"3,153",59,831,"1,645",483,618
2021,4,10,"25,203","1,539",522,727,771,631,316,"1,264",652,557,"1,266",869,972,299,663,"1,458","2,446",839,"3,131",86,"1,771","2,216",683,"1,525"
2021,4,20,"37,594","1,448","1,380","1,360","1,088","1,161","1,119","2,514","2,104",821,"1,659","2,219","2,878","1,532","1,020","1,506","2,549","1,315","3,455",170,878,"2,701","1,307","1,410"
2021,4,30,"33,435","1,303",901,995,891,"1,129","1,138","2,350","1,898",745,"1,369","1,965","2,249","1,131",790,"1,261","3,179","1,053","3,926",155,577,"2,559","1,040",831
2021,4,40,"37,495","2,043",993,"1,269","1,117","1,182",892,"2,113","1,457",912,"1,903","1,554","1,913",849,908,"1,546","3,910","1,072","4,475",247,"1,809","2,860",988,"1,483"
