년도,월,나이,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020,3,90,"3,213",915,40,100,45,61,73,35,67,75,54,98,38,143,86,826,59,57,55,64,50,77,70,96,74,84,140,761,93,53,72,78,85,51,108,23,71,106,21,711,126,153,67,60,51,51,138,65
2020,3,100,189,55,2,8,1,6,4,4,6,4,1,5,2,6,6,52,3,4,9,6,5,6,3,2,6,2,6,38,5,5,5,5,5,2,4,0,3,2,2,44,10,4,8,4,4,3,8,3
2020,4,총,"840,938","182,086","2,278","5,118","3,996","7,013","4,136","5,895","7,129","9,270","11,221","30,512","13,827","48,682","33,009","200,275","10,279","3,461","8,146","14,787","15,156","15,219","27,362","31,840","14,114","13,921","45,990","264,170","21,418","10,902","17,775","17,761","51,723","16,454","51,333","9,963","24,830","28,480","13,531","194,407","19,909","68,721","4,717","12,585","8,927","11,824","49,152","18,572"
2020,4,0,"76,165","15,432",42,112,104,461,122,242,250,463,753,"2,632","1,632","4,910","3,709","15,104",660,106,350,"1,480",762,777,"2,553","2,797",636,767,"4,216","24,646","2,253",734,"2,273","1,025","6,194",713,"4,363",566,"1,898","2,158","2,469","20,983","1,633","10,298",106,572,380,746,"4,606","2,642"
2020,4,10,"87,385","19,434",61,229,132,446,207,453,421,727,996,"3,900","1,980","6,013","3,869","21,395",693,136,596,"1,426","1,047","1,097","4,240","4,399","1,053","1,151","5,557","26,954","2,117","1,069","1,281","1,624","6,721","1,185","6,606",609,"2,440","2,425",877,"19,602","1,985","7,298",202,780,613,946,"5,505","2,273"
2020,4,20,"119,022","23,266",179,357,335,776,327,820,985,"1,142","1,396","3,999","1,618","6,718","4,614","29,026","1,196",205,971,"1,855","3,381","2,400","3,677","4,701","2,110","1,812","6,718","40,873","2,684","1,442","2,041","2,655","7,462","3,395","7,614","2,044","4,302","5,229","2,005","25,857","2,396","8,636",378,"2,086","1,148","1,748","7,543","1,922"
2020,4,30,"119,492","21,559",136,287,257,728,264,617,742,917,"1,316","3,413","1,667","6,644","4,571","24,104","1,132",239,821,"2,046","2,089","1,686","3,340","3,660","1,424","1,360","6,307","41,190","3,536","1,181","3,567","2,035","8,689","1,896","6,242","1,652","4,105","4,736","3,551","32,639","2,255","15,768",307,"1,554",914,"1,302","7,279","3,260"
2020,4,40,"136,692","29,352",187,434,383,844,438,798,906,"1,302","1,662","5,470","2,610","8,637","5,681","32,090","1,320",367,"1,099","2,130","1,950","1,975","5,349","5,967","1,914","1,790","8,229","43,299","3,722","1,578","2,466","2,629","10,127","2,146","8,925","1,385","4,058","4,457","1,806","31,951","3,207","12,095",449,"1,622","1,208","1,785","8,148","3,437"
2020,4,50,"137,097","31,763",470,998,911,"1,376",795,"1,018","1,237","1,709","1,951","5,179","2,152","8,186","5,781","35,097","2,234",636,"1,633","2,480","2,275","2,870","4,519","5,603","2,688","2,866","7,293","42,685","2,933","2,092","2,703","3,683","7,166","3,064","9,516","1,610","4,098","4,491","1,329","27,552","3,538","7,039",947,"2,142","1,610","2,031","7,965","2,280"
2020,4,60,"92,175","22,218",573,"1,220",895,"1,245",836,921,"1,288","1,517","1,677","3,298","1,189","4,625","2,934","24,275","1,681",770,"1,384","1,961","1,976","2,467","2,125","2,593","2,264","2,292","4,762","26,149","2,161","1,494","1,874","2,415","3,306","2,348","5,203","1,244","2,408","2,890",806,"19,533","2,471","4,372","1,055","1,891","1,588","1,668","4,981","1,507"
2020,4,70,"46,447","12,002",353,824,574,630,610,651,804,968,"1,002","1,817",653,"1,914","1,202","12,342",800,554,813,907,"1,188","1,288",983,"1,318","1,361","1,204","1,926","11,828","1,251",798,950,"1,081","1,354","1,209","1,911",588,994,"1,297",395,"10,275","1,479","2,014",715,"1,227",967,"1,068","2,026",779
2020,4,80,"23,030","6,068",235,547,359,440,457,335,422,447,414,699,285,879,549,"5,962",495,388,418,433,432,577,504,706,583,590,836,"5,743",661,455,545,530,616,443,843,242,454,687,267,"5,257",810,"1,042",483,649,441,475,952,405
2020,4,90,"3,245",937,40,102,45,61,76,36,68,74,53,100,39,150,93,828,65,56,52,63,51,76,69,94,75,87,140,765,95,53,70,79,84,53,106,23,70,108,24,715,125,155,67,58,54,52,139,65
2020,4,100,188,55,2,8,1,6,4,4,6,4,1,5,2,6,6,52,3,4,9,6,5,6,3,2,6,2,6,38,5,6,5,5,4,2,4,0,3,2,2,43,10,4,8,4,4,3,8,2
2020,5,총,"841,540","182,516","2,277","5,104","3,992","6,996","4,127","5,852","7,086","9,227","11,210","30,401","13,797","49,226","33,221","199,866","10,282","3,445","8,120","14,764","15,143","15,146","27,288","31,803","14,094","13,884","45,897","264,709","21,500","10,957","17,884","17,700","51,856","16,444","51,404","9,959","24,866","28,488","13,651","194,449","19,909","68,852","4,701","12,584","8,927","11,812","49,015","18,649"
2020,5,0,"75,999","15,462",42,114,104,460,118,236,249,458,743,"2,627","1,611","5,026","3,674","14,990",666,103,347,"1,474",752,767,"2,540","2,780",629,755,"4,177","24,614","2,232",732,"2,279","1,007","6,208",703,"4,373",574,"1,869","2,142","2,495","20,933","1,629","10,288",103,570,385,739,"4,584","2,635"
2020,5,10,"87,099","19,383",60,225,134,443,209,446,421,721,993,"3,859","1,980","6,049","3,843","21,267",688,133,582,"1,429","1,044","1,083","4,198","4,360","1,045","1,146","5,559","26,891","2,130","1,066","1,284","1,595","6,695","1,180","6,575",605,"2,452","2,418",891,"19,558","1,968","7,303",196,785,618,938,"5,462","2,288"
2020,5,20,"119,323","23,367",179,357,334,779,323,823,980,"1,132","1,396","3,968","1,618","6,771","4,707","28,964","1,187",201,969,"1,831","3,413","2,379","3,685","4,697","2,106","1,806","6,690","41,083","2,693","1,470","2,046","2,665","7,498","3,411","7,620","2,036","4,340","5,263","2,041","25,909","2,388","8,678",376,"2,085","1,150","1,758","7,541","1,933"
2020,5,30,"119,369","21,619",136,285,256,724,257,597,730,907,"1,300","3,382","1,651","6,760","4,634","23,989","1,118",236,822,"2,053","2,079","1,691","3,334","3,649","1,427","1,347","6,233","41,226","3,529","1,184","3,593","2,013","8,725","1,887","6,251","1,643","4,084","4,734","3,583","32,535","2,241","15,782",306,"1,545",902,"1,289","7,220","3,250"
