년도,월,나이,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020,9,30,"6,314",202,41,26,30,34,17,52,79,"1,037",542,210,185,579,"1,016",526,645,"1,093"
2020,9,40,"9,004",315,58,36,53,68,30,97,161,"1,744",832,365,262,700,"1,383",880,932,"1,088"
2020,9,50,"11,768",600,173,129,207,184,65,293,433,"1,688",884,517,452,879,"1,557","1,013","1,538","1,156"
2020,9,60,"11,298",794,231,156,264,269,99,451,575,"1,129",651,648,590,814,"1,136",786,"1,673","1,032"
2020,9,70,"6,809",504,148,114,187,208,54,284,376,630,325,383,340,563,662,541,852,638
2020,9,80,"3,911",342,127,83,156,137,39,210,250,291,195,175,153,288,425,273,437,330
2020,9,90,634,64,19,17,14,31,10,36,46,36,38,39,17,33,65,45,75,49
2020,9,100,49,2,3,1,3,0,1,2,2,6,1,3,2,12,1,3,5,2
2020,10,총,"66,392","3,318",894,629,988,"1,079",355,"1,590","2,189","9,590","5,038","2,983","2,483","5,150","9,047","5,596","7,842","7,621"
2020,10,0,"4,322",125,21,10,21,28,12,39,45,802,382,129,98,373,679,384,342,832
2020,10,10,"5,702",168,34,25,34,93,17,55,86,"1,204",561,206,153,431,884,563,531,657
2020,10,20,"6,557",206,39,30,22,31,9,70,140,"1,031",620,302,235,474,"1,204",583,825,736
2020,10,30,"6,279",194,41,26,29,34,17,50,77,"1,029",542,211,183,579,"1,020",520,637,"1,090"
2020,10,40,"8,976",316,58,34,51,69,29,101,160,"1,718",832,371,263,690,"1,384",882,937,"1,081"
2020,10,50,"11,780",605,172,131,206,182,67,293,432,"1,705",880,511,453,883,"1,567","1,011","1,524","1,158"
2020,10,60,"11,339",788,233,158,269,266,97,450,575,"1,136",659,651,585,818,"1,153",785,"1,673","1,043"
2020,10,70,"6,804",500,148,115,183,208,55,284,376,632,328,383,337,561,664,544,852,634
2020,10,80,"3,938",350,126,83,159,137,40,207,248,292,193,177,157,293,427,274,439,336
2020,10,90,644,64,19,15,12,31,11,38,47,35,40,39,17,36,64,47,77,52
2020,10,100,51,2,3,2,2,0,1,3,3,6,1,3,2,12,1,3,5,2
2020,11,총,"66,376","3,316",896,623,983,"1,074",355,"1,588","2,188","9,579","5,038","2,971","2,481","5,151","9,067","5,605","7,827","7,634"
2020,11,0,"4,299",122,19,10,20,28,11,40,47,793,386,131,98,366,680,379,339,830
2020,11,10,"5,682",168,33,25,32,91,17,55,88,"1,182",552,207,155,432,881,572,525,667
2020,11,20,"6,570",210,41,31,22,31,10,66,137,"1,046",625,303,241,472,"1,205",579,815,736
2020,11,30,"6,246",192,42,26,28,34,19,51,78,"1,019",532,210,179,576,"1,023",514,636,"1,087"
2020,11,40,"8,973",314,57,34,53,67,27,102,161,"1,725",832,364,261,692,"1,383",886,931,"1,084"
2020,11,50,"11,758",607,170,127,203,183,68,288,425,"1,704",884,511,450,876,"1,578","1,013","1,515","1,156"
2020,11,60,"11,399",788,237,160,270,267,96,454,578,"1,147",666,649,583,826,"1,157",788,"1,677","1,056"
2020,11,70,"6,808",497,147,114,183,203,54,284,374,632,327,382,339,569,665,548,862,628
2020,11,80,"3,939",352,127,80,158,139,41,207,249,289,190,174,155,295,429,276,442,336
2020,11,90,651,64,20,14,12,31,11,38,48,36,43,37,18,35,65,47,80,52
2020,11,100,51,2,3,2,2,0,1,3,3,6,1,3,2,12,1,3,5,2
2020,12,총,"66,313","3,309",892,618,985,"1,076",352,"1,589","2,195","9,596","5,024","2,966","2,471","5,141","9,035","5,595","7,853","7,616"
2020,12,0,"4,278",121,16,10,20,29,11,40,48,790,382,129,96,359,686,379,340,822
2020,12,10,"5,655",166,35,25,32,91,17,54,86,"1,180",556,202,149,435,871,562,527,667
2020,12,20,"6,557",216,42,29,22,30,8,64,139,"1,048",602,306,240,474,"1,189",589,823,736
2020,12,30,"6,218",191,42,24,26,33,19,53,78,"1,017",533,208,179,569,"1,023",508,631,"1,084"
2020,12,40,"8,954",312,55,33,53,69,25,102,162,"1,731",834,362,262,682,"1,381",885,928,"1,078"
2020,12,50,"11,731",604,169,129,197,184,66,284,422,"1,706",883,516,451,879,"1,558","1,010","1,522","1,151"
2020,12,60,"11,444",789,235,160,278,267,96,460,576,"1,154",672,647,585,831,"1,167",789,"1,675","1,063"
2020,12,70,"6,820",493,147,112,185,205,55,281,381,635,325,384,338,569,673,540,874,623
2020,12,80,"3,961",352,128,81,157,137,43,209,252,294,194,176,152,294,423,283,447,339
2020,12,90,644,63,20,13,13,31,11,39,48,35,42,33,17,37,63,47,81,51
2020,12,100,51,2,3,2,2,0,1,3,3,6,1,3,2,12,1,3,5,2
2021,1,총,"66,126","3,311",893,617,975,"1,081",352,"1,582","2,184","9,565","5,052","2,968","2,458","5,146","8,986","5,573","7,779","7,604"
2021,1,0,"4,221",121,15,10,19,32,11,38,45,775,381,127,87,358,678,367,341,816
2021,1,10,"5,611",166,34,25,32,88,17,56,85,"1,173",552,197,149,440,862,556,512,667
2021,1,20,"6,497",214,43,29,23,29,9,60,134,"1,051",589,313,239,468,"1,169",596,814,717
2021,1,30,"6,159",193,42,24,25,36,18,54,76,996,537,200,177,569,"1,008",495,628,"1,081"
2021,1,40,"8,910",307,54,32,48,70,27,99,162,"1,723",823,361,260,680,"1,380",884,917,"1,083"
2021,1,50,"11,701",605,166,128,195,182,64,281,421,"1,705",896,510,442,874,"1,557","1,012","1,510","1,153"
2021,1,60,"11,524",795,240,160,276,271,96,465,580,"1,168",675,657,594,842,"1,172",792,"1,676","1,065"
2021,1,70,"6,823",493,146,113,188,203,55,280,376,632,347,390,339,571,669,538,856,627
2021,1,80,"3,977",351,129,83,153,139,43,207,253,300,208,179,152,292,428,281,437,342
2021,1,90,651,64,21,12,14,31,11,39,49,37,43,31,17,40,62,47,83,50
2021,1,100,52,2,3,1,2,0,1,3,3,5,1,3,2,12,1,5,5,3
2021,2,총,"66,008","3,299",894,616,973,"1,084",349,"1,582","2,181","9,567","5,042","2,974","2,445","5,122","8,964","5,571","7,773","7,572"
2021,2,0,"4,202",118,14,9,18,30,11,40,48,777,384,131,88,349,670,367,338,810
2021,2,10,"5,567",167,34,25,32,94,16,53,85,"1,163",547,201,145,436,849,552,508,660
2021,2,20,"6,435",213,45,28,22,29,9,60,127,"1,058",566,315,236,460,"1,154",601,809,703
2021,2,30,"6,101",192,41,24,26,37,17,56,74,982,529,198,178,560,"1,006",489,623,"1,069"
2021,2,40,"8,889",302,55,30,45,70,28,100,160,"1,724",824,354,255,682,"1,380",879,916,"1,085"
2021,2,50,"11,694",597,165,127,194,179,60,279,416,"1,707",898,516,440,877,"1,571","1,012","1,507","1,149"
2021,2,60,"11,573",799,241,162,278,271,97,465,580,"1,176",685,654,589,843,"1,174",800,"1,688","1,071"
2021,2,70,"6,833",496,144,115,190,203,56,279,378,633,353,393,338,567,670,533,857,628
2021,2,80,"4,016",347,131,84,152,139,43,209,262,303,212,178,157,298,430,286,441,344
2021,2,90,645,66,21,11,14,32,11,38,48,39,42,31,17,39,59,47,81,49
2021,2,100,53,2,3,1,2,0,1,3,3,5,2,3,2,11,1,5,5,4
2021,3,총,"65,984","3,282",900,621,971,"1,081",350,"1,590","2,195","9,522","5,038","2,961","2,444","5,124","9,000","5,560","7,776","7,569"
2021,3,0,"4,171",119,16,9,18,30,11,39,53,763,372,129,88,356,663,363,333,809
2021,3,10,"5,542",162,32,25,32,91,17,51,83,"1,150",540,194,143,432,866,551,508,665
2021,3,20,"6,476",209,44,29,22,29,10,67,137,"1,054",577,314,234,454,"1,183",604,817,692
2021,3,30,"6,074",191,41,24,27,38,17,57,76,981,524,192,176,564,"1,006",483,619,"1,058"
2021,3,40,"8,841",301,56,28,47,70,29,99,157,"1,701",821,356,254,672,"1,367",876,914,"1,093"
2021,3,50,"11,645",589,167,130,187,173,59,281,413,"1,702",894,507,441,882,"1,570","1,012","1,488","1,150"
2021,3,60,"11,683",811,242,166,280,277,97,470,587,"1,185",696,659,596,854,"1,183",802,"1,707","1,071"
2021,3,70,"6,812",491,142,114,192,203,56,273,372,629,350,398,337,562,670,532,859,632
2021,3,80,"4,054",344,135,85,151,140,43,213,266,313,221,178,157,299,434,283,448,344
2021,3,90,644,65,21,11,14,30,11,38,48,40,41,32,17,40,57,49,78,52
2021,3,100,42,0,4,0,1,0,0,2,3,4,2,2,1,9,1,5,5,3
2021,4,총,"66,046","3,285",898,624,975,"1,081",351,"1,612","2,201","9,499","5,041","2,957","2,441","5,143","9,039","5,568","7,772","7,559"
2021,4,0,"4,147",120,15,9,18,30,11,39,52,752,369,127,91,360,657,362,331,804
2021,4,10,"5,560",162,34,25,32,91,17,52,85,"1,141",546,191,144,431,893,543,500,673
2021,4,20,"6,484",211,43,29,21,27,11,75,135,"1,055",576,317,232,460,"1,200",597,815,680
2021,4,30,"6,047",187,40,23,27,39,17,58,78,973,522,192,177,562,"1,005",484,609,"1,054"
2021,4,40,"8,827",299,58,30,49,67,28,99,158,"1,685",820,354,249,676,"1,370",884,912,"1,089"
2021,4,50,"11,615",590,161,130,188,171,61,289,412,"1,714",894,500,436,871,"1,558","1,017","1,485","1,138"
2021,4,60,"11,771",822,244,168,277,282,96,471,589,"1,190",696,664,598,866,"1,192",812,"1,724","1,080"
2021,4,70,"6,795",485,138,113,194,199,55,273,372,626,351,397,340,563,662,533,862,632
2021,4,80,"4,101",344,139,86,153,143,44,215,267,318,224,182,157,304,443,279,449,354
2021,4,90,654,65,22,11,15,32,11,39,50,40,41,31,16,41,57,52,80,51
2021,4,100,45,0,4,0,1,0,0,2,3,5,2,2,1,9,2,5,5,4
2021,5,총,"66,061","3,280",898,623,972,"1,081",348,"1,620","2,196","9,499","5,056","2,967","2,452","5,123","9,069","5,568","7,750","7,559"
2021,5,0,"4,128",117,13,9,18,30,11,38,53,747,367,129,91,362,654,357,331,801
2021,5,10,"5,553",165,33,24,31,91,16,55,86,"1,132",538,190,144,426,903,546,502,671
2021,5,20,"6,516",210,43,30,22,27,10,74,131,"1,064",596,321,237,457,"1,227",592,808,667
2021,5,30,"6,024",183,40,21,26,39,16,57,79,961,519,189,175,559,"1,004",491,606,"1,059"
2021,5,40,"8,779",299,58,31,48,65,28,99,153,"1,681",830,351,244,674,"1,364",878,897,"1,079"
2021,5,50,"11,592",579,158,126,186,173,62,292,417,"1,724",888,505,438,865,"1,552","1,018","1,471","1,138"
2021,5,60,"11,867",837,247,172,281,285,95,474,591,"1,195",697,664,607,869,"1,214",817,"1,736","1,086"
2021,5,70,"6,782",482,139,112,192,197,55,270,369,625,352,397,342,560,652,534,865,639
2021,5,80,"4,120",344,139,87,151,144,44,218,268,322,225,188,158,299,443,278,448,364
2021,5,90,655,64,24,11,16,30,11,41,46,43,42,31,15,43,54,52,81,51
2021,5,100,45,0,4,0,1,0,0,2,3,5,2,2,1,9,2,5,5,4
2021,6,총,"65,864","3,254",895,618,966,"1,074",345,"1,610","2,189","9,480","5,063","2,925","2,442","5,110","9,037","5,560","7,734","7,562"
2021,6,0,"4,105",117,12,9,18,29,11,37,52,746,368,130,93,365,648,347,328,795
2021,6,10,"5,547",164,35,23,32,92,16,55,88,"1,126",536,182,145,426,895,553,502,677
2021,6,20,"6,509",208,41,31,23,26,10,70,136,"1,064",602,320,232,459,"1,225",591,797,674
2021,6,30,"5,985",175,38,20,25,39,16,55,78,951,518,190,176,553,"1,002",485,605,"1,059"
2021,6,40,"8,723",300,58,29,47,63,28,97,147,"1,674",825,340,240,673,"1,355",885,887,"1,075"
2021,6,50,"11,518",571,157,125,183,172,61,290,407,"1,725",891,490,435,855,"1,546","1,016","1,467","1,127"
2021,6,60,"11,903",835,247,172,280,282,93,480,597,"1,196",702,659,606,875,"1,220",819,"1,745","1,095"
2021,6,70,"6,772",480,139,110,193,196,54,268,368,629,352,394,341,551,651,531,871,644
2021,6,80,"4,118",342,138,89,149,144,45,219,267,322,226,187,158,301,440,280,447,364
2021,6,90,643,61,26,10,16,31,11,38,46,42,41,31,15,44,53,50,80,48
2021,6,100,41,1,4,0,0,0,0,1,3,5,2,2,1,8,2,3,5,4
2021,7,총,"65,825","3,267",890,617,966,"1,070",344,"1,602","2,186","9,501","5,043","2,926","2,459","5,094","9,031","5,563","7,705","7,561"
2021,7,0,"4,085",114,12,8,17,29,11,32,52,743,359,131,96,362,659,343,326,791
2021,7,10,"5,532",167,35,22,32,88,16,61,87,"1,131",538,185,139,423,881,549,497,681
2021,7,20,"6,484",210,40,31,23,28,10,67,135,"1,056",596,315,234,456,"1,211",590,797,685
2021,7,30,"5,957",169,36,20,25,38,16,54,76,960,510,193,183,553,998,483,602,"1,041"
2021,7,40,"8,703",298,59,30,49,62,27,97,145,"1,664",822,345,241,668,"1,348",891,874,"1,083"
2021,7,50,"11,514",583,156,125,182,168,61,283,413,"1,735",892,486,441,860,"1,545","1,017","1,450","1,117"
2021,7,60,"11,958",839,245,171,280,289,94,485,596,"1,210",709,656,611,869,"1,237",822,"1,752","1,093"
2021,7,70,"6,759",483,139,111,192,194,53,263,365,626,352,392,339,542,651,532,878,647
2021,7,80,"4,149",342,138,89,150,143,46,222,268,329,223,190,159,309,446,283,445,367
2021,7,90,642,61,25,10,16,31,10,38,46,42,40,31,15,43,53,50,79,52
2021,7,100,42,1,5,0,0,0,0,0,3,5,2,2,1,9,2,3,5,4
2021,8,총,"65,715","3,269",883,619,966,"1,063",345,"1,606","2,176","9,468","5,043","2,919","2,442","5,079","9,023","5,558","7,711","7,545"
2021,8,0,"4,059",113,12,7,17,26,11,32,53,738,353,131,94,364,653,336,330,789
2021,8,10,"5,503",166,34,23,31,87,16,61,84,"1,113",540,182,139,417,884,551,496,679
2021,8,20,"6,409",204,41,31,24,26,10,63,131,"1,059",589,319,231,448,"1,190",580,787,676
2021,8,30,"5,938",164,35,20,24,40,15,58,73,959,517,189,175,546,"1,000",480,602,"1,041"
2021,8,40,"8,691",302,57,30,50,62,29,95,143,"1,660",815,346,235,670,"1,352",885,877,"1,083"
2021,8,50,"11,489",590,154,124,181,169,59,288,409,"1,732",891,479,440,859,"1,546","1,016","1,447","1,105"
2021,8,60,"12,015",835,243,173,283,284,96,484,606,"1,209",718,656,612,876,"1,243",834,"1,758","1,105"
2021,8,70,"6,750",489,136,112,190,197,53,260,363,617,355,395,338,541,652,534,879,639
2021,8,80,"4,172",345,141,89,149,140,46,228,265,336,223,189,162,305,447,288,449,370
2021,8,90,645,60,25,10,17,32,10,37,46,40,40,31,15,44,54,49,81,54
2021,8,100,44,1,5,0,0,0,0,0,3,5,2,2,1,9,2,5,5,4
2021,9,총,"65,606","3,258",884,618,962,"1,059",347,"1,619","2,184","9,428","5,021","2,903","2,449","5,078","9,006","5,548","7,698","7,544"
2021,9,0,"4,008",108,13,7,17,25,11,33,53,728,348,130,93,365,636,330,320,791
2021,9,10,"5,506",166,35,23,29,88,17,60,86,"1,112",541,180,139,414,892,549,495,680
2021,9,20,"6,357",201,41,31,22,26,8,62,124,"1,049",579,309,235,452,"1,181",581,787,669
2021,9,30,"5,899",164,35,20,24,39,15,61,76,938,506,196,173,545,996,471,605,"1,035"
2021,9,40,"8,663",291,58,28,50,61,28,95,147,"1,668",803,345,238,661,"1,343",882,871,"1,094"
2021,9,50,"11,482",591,154,121,180,166,61,292,410,"1,729",897,467,444,864,"1,555","1,013","1,438","1,100"
2021,9,60,"12,063",840,243,175,284,286,95,488,605,"1,203",728,658,613,881,"1,243",848,"1,768","1,105"
2021,9,70,"6,716",484,134,111,187,195,55,261,362,618,352,393,335,535,655,528,874,637
2021,9,80,"4,222",350,140,92,153,142,47,230,272,338,223,192,164,309,446,295,456,373
2021,9,90,646,62,26,10,16,31,10,37,46,40,42,31,14,43,57,46,79,56
2021,9,100,44,1,5,0,0,0,0,0,3,5,2,2,1,9,2,5,5,4
2021,10,총,"65,632","3,261",886,615,956,"1,055",347,"1,618","2,193","9,425","5,036","2,898","2,466","5,092","8,986","5,563","7,700","7,535"
2021,10,0,"4,009",106,13,7,17,25,11,33,52,727,353,129,97,368,636,328,318,789
2021,10,10,"5,495",164,35,23,28,87,17,60,84,"1,114",544,178,142,417,878,551,492,681
2021,10,20,"6,348",196,40,29,20,25,8,61,124,"1,045",573,306,237,462,"1,183",589,781,669
2021,10,30,"5,878",168,37,19,23,39,15,61,80,939,496,196,172,543,987,469,608,"1,026"
2021,10,40,"8,627",284,59,28,50,59,28,93,144,"1,657",811,344,244,654,"1,333",881,863,"1,095"
2021,10,50,"11,494",599,154,116,179,168,62,292,415,"1,726",900,468,444,867,"1,563","1,015","1,433","1,093"
2021,10,60,"12,125",850,244,180,285,283,94,489,608,"1,217",734,656,615,879,"1,245",854,"1,784","1,108"
2021,10,70,"6,719",476,133,108,186,197,54,261,362,619,356,395,336,539,654,525,884,634
2021,10,80,"4,245",356,141,95,149,140,48,233,274,333,224,194,163,310,448,302,455,380
2021,10,90,648,61,25,10,19,32,10,35,47,43,43,30,15,44,57,44,77,56
2021,10,100,44,1,5,0,0,0,0,0,3,5,2,2,1,9,2,5,5,4
2021,11,총,"65,552","3,275",889,618,959,"1,059",346,"1,614","2,200","9,394","5,025","2,910","2,455","5,078","8,973","5,569","7,677","7,511"
2021,11,0,"3,994",110,13,6,17,28,11,34,55,720,349,128,96,367,639,331,314,776
2021,11,10,"5,476",162,33,24,29,86,18,60,84,"1,108",542,177,141,418,867,554,487,686
2021,11,20,"6,330",199,42,31,20,25,8,61,123,"1,035",577,310,232,455,"1,177",586,783,666
2021,11,30,"5,828",169,37,18,23,42,14,60,82,936,484,198,164,537,988,471,595,"1,010"
2021,11,40,"8,605",283,57,29,48,59,30,91,145,"1,640",813,344,246,664,"1,320",876,860,"1,100"
2021,11,50,"11,489",596,157,117,181,165,62,290,417,"1,735",894,473,437,860,"1,558","1,019","1,433","1,095"
2021,11,60,"12,167",858,247,180,288,283,92,489,605,"1,224",738,659,623,882,"1,254",854,"1,783","1,108"
2021,11,70,"6,709",474,131,105,185,199,55,259,365,619,358,395,338,536,656,524,881,629
2021,11,80,"4,274",358,142,99,148,141,47,236,273,331,226,197,161,313,455,307,457,383
2021,11,90,643,65,25,9,20,31,9,34,48,41,43,29,16,41,57,42,79,54
2021,11,100,37,1,5,0,0,0,0,0,3,5,1,0,1,5,2,5,5,4
2021,12,총,"65,421","3,287",880,617,964,"1,050",341,"1,606","2,192","9,405","5,017","2,886","2,455","5,060","8,917","5,567","7,670","7,507"
2021,12,0,"3,985",112,11,8,17,28,11,32,55,731,340,128,92,363,632,334,317,774
2021,12,10,"5,466",161,33,26,29,84,17,60,83,"1,112",552,175,145,418,850,553,484,684
2021,12,20,"6,265",207,41,29,21,24,8,58,123,"1,010",571,304,233,458,"1,149",582,782,665
2021,12,30,"5,796",165,36,19,23,40,14,61,80,933,473,198,167,530,990,468,597,"1,002"
2021,12,40,"8,588",282,56,30,48,61,29,90,142,"1,653",813,333,242,663,"1,309",871,857,"1,109"
