년도,월,나이,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020,9,40,"11,082","2,809","2,543","3,901",252,318,227,780,252
2020,9,50,"10,591","3,213","2,556","1,752",517,590,440,"1,216",307
2020,9,60,"6,944","2,140","1,119",752,565,698,455,881,334
2020,9,70,"3,302",984,446,325,311,367,255,442,172
2020,9,80,"1,434",479,176,105,163,137,93,191,90
2020,9,90,140,51,16,12,11,8,18,15,9
2020,9,100,7,3,0,1,0,0,1,1,1
2020,10,총,"59,858","16,790","12,458","16,830","2,287","2,743","1,909","5,141","1,700"
2020,10,0,"4,950","1,207",972,"2,337",42,66,35,163,128
2020,10,10,"6,100","1,775","1,638","1,976",68,94,73,378,98
2020,10,20,"6,881","2,248","1,669","1,537",185,264,171,667,140
2020,10,30,"8,303","1,865","1,236","4,084",173,207,137,430,171
2020,10,40,"11,087","2,803","2,557","3,924",243,321,226,763,250
2020,10,50,"10,618","3,200","2,601","1,766",519,581,439,"1,203",309
2020,10,60,"7,018","2,171","1,139",758,572,697,460,886,335
2020,10,70,"3,316",987,452,329,311,369,254,445,169
2020,10,80,"1,432",479,177,105,161,135,95,190,90
2020,10,90,146,52,17,13,13,9,18,15,9
2020,10,100,7,3,0,1,0,0,1,1,1
2020,11,총,"59,955","16,772","12,577","16,843","2,287","2,722","1,929","5,121","1,704"
2020,11,0,"4,925","1,191",973,"2,321",41,64,45,160,130
2020,11,10,"6,102","1,771","1,648","1,980",66,93,74,373,97
2020,11,20,"6,907","2,248","1,694","1,544",189,260,166,662,144
2020,11,30,"8,234","1,842","1,247","4,041",173,200,137,424,170
2020,11,40,"11,128","2,790","2,571","3,959",244,319,228,762,255
2020,11,50,"10,659","3,208","2,637","1,779",514,578,438,"1,196",309
2020,11,60,"7,084","2,196","1,160",772,570,692,468,891,335
2020,11,70,"3,334",991,457,329,313,372,258,447,167
2020,11,80,"1,434",483,174,105,164,134,96,190,88
2020,11,90,140,49,16,12,13,10,17,15,8
2020,11,100,8,3,0,1,0,0,2,1,1
2020,12,총,"59,828","16,764","12,681","16,662","2,279","2,721","1,925","5,098","1,698"
2020,12,0,"4,901","1,187",985,"2,298",40,62,45,156,128
2020,12,10,"6,118","1,775","1,659","1,980",68,94,74,371,97
2020,12,20,"6,834","2,234","1,695","1,484",189,261,166,658,147
2020,12,30,"8,106","1,850","1,272","3,895",167,204,132,421,165
2020,12,40,"11,152","2,787","2,588","3,982",248,312,227,754,254
2020,12,50,"10,649","3,189","2,658","1,795",499,575,435,"1,191",307
2020,12,60,"7,130","2,210","1,172",779,578,690,470,895,336
2020,12,70,"3,346",996,459,329,311,377,260,446,168
2020,12,80,"1,443",482,177,108,165,136,97,192,86
2020,12,90,141,51,16,11,14,10,17,13,9
2020,12,100,8,3,0,1,0,0,2,1,1
2021,1,총,"59,819","16,745","12,736","16,681","2,263","2,715","1,912","5,079","1,688"
2021,1,0,"4,905","1,188",995,"2,298",39,60,43,154,128
2021,1,10,"6,096","1,765","1,660","1,978",62,95,73,368,95
2021,1,20,"6,813","2,223","1,706","1,478",186,258,167,652,143
2021,1,30,"8,037","1,846","1,272","3,853",164,199,128,413,162
2021,1,40,"11,134","2,779","2,578","4,004",245,306,222,748,252
2021,1,50,"10,674","3,178","2,675","1,833",494,573,429,"1,188",304
2021,1,60,"7,203","2,230","1,196",788,583,696,472,901,337
2021,1,70,"3,355","1,001",459,326,313,377,261,448,170
2021,1,80,"1,452",481,179,112,163,140,98,193,86
2021,1,90,142,51,16,10,14,11,17,13,10
2021,1,100,8,3,0,1,0,0,2,1,1
2021,2,총,"59,741","16,703","12,754","16,670","2,259","2,715","1,912","5,049","1,679"
2021,2,0,"4,870","1,171",994,"2,284",39,61,44,150,127
2021,2,10,"6,078","1,767","1,663","1,967",63,92,71,361,94
2021,2,20,"6,773","2,205","1,694","1,489",183,258,168,634,142
2021,2,30,"7,947","1,830","1,268","3,785",162,196,128,414,164
2021,2,40,"11,129","2,753","2,585","4,019",244,309,220,749,250
2021,2,50,"10,700","3,191","2,681","1,871",492,565,420,"1,178",302
2021,2,60,"7,263","2,244","1,211",802,581,708,483,907,327
2021,2,70,"3,369","1,007",461,327,318,374,261,447,174
2021,2,80,"1,455",479,181,115,163,141,96,194,86
2021,2,90,149,53,16,10,14,11,19,14,12
2021,2,100,8,3,0,1,0,0,2,1,1
2021,3,총,"59,593","16,638","12,720","16,659","2,254","2,710","1,890","5,047","1,675"
2021,3,0,"4,821","1,170",972,"2,264",36,59,42,153,125
2021,3,10,"6,044","1,750","1,652","1,976",60,90,67,355,94
2021,3,20,"6,732","2,178","1,692","1,497",181,254,161,633,136
2021,3,30,"7,876","1,808","1,279","3,730",157,199,132,407,164
2021,3,40,"11,100","2,744","2,560","4,036",248,308,213,741,250
2021,3,50,"10,678","3,184","2,673","1,891",480,555,415,"1,180",300
2021,3,60,"7,361","2,265","1,231",813,591,719,489,919,334
2021,3,70,"3,368","1,010",461,326,319,374,257,450,171
2021,3,80,"1,466",479,184,117,166,142,95,195,88
2021,3,90,145,49,16,9,16,10,19,14,12
2021,3,100,2,1,0,0,0,0,0,0,1
2021,4,총,"59,540","16,608","12,696","16,683","2,259","2,718","1,876","5,028","1,672"
2021,4,0,"4,773","1,164",967,"2,232",37,61,37,151,124
2021,4,10,"6,020","1,726","1,634","1,995",66,88,66,351,94
2021,4,20,"6,733","2,181","1,691","1,508",175,256,155,631,136
2021,4,30,"7,801","1,793","1,267","3,689",156,200,128,401,167
2021,4,40,"11,124","2,744","2,551","4,076",252,302,216,736,247
2021,4,50,"10,665","3,178","2,664","1,908",479,553,410,"1,176",297
2021,4,60,"7,438","2,278","1,261",826,594,728,494,922,335
2021,4,70,"3,360","1,010",462,323,315,375,256,450,169
2021,4,80,"1,473",482,182,116,168,144,95,196,90
2021,4,90,151,51,17,10,17,11,19,14,12
2021,4,100,2,1,0,0,0,0,0,0,1
2021,5,총,"59,450","16,562","12,702","16,688","2,249","2,708","1,861","5,030","1,650"
2021,5,0,"4,743","1,152",967,"2,212",39,62,38,153,120
2021,5,10,"6,005","1,721","1,625","1,995",66,89,64,349,96
2021,5,20,"6,733","2,180","1,702","1,515",176,255,153,621,131
2021,5,30,"7,782","1,790","1,268","3,673",156,200,126,401,168
2021,5,40,"11,072","2,720","2,534","4,085",247,295,213,733,245
2021,5,50,"10,673","3,177","2,679","1,927",475,550,403,"1,168",294
2021,5,60,"7,473","2,284","1,267",832,598,728,492,940,332
2021,5,70,"3,344","1,007",461,320,310,369,259,453,165
2021,5,80,"1,474",480,181,119,166,149,95,198,86
2021,5,90,149,50,18,10,16,11,18,14,12
2021,5,100,2,1,0,0,0,0,0,0,1
2021,6,총,"59,430","16,562","12,682","16,701","2,228","2,723","1,861","5,019","1,654"
2021,6,0,"4,692","1,144",958,"2,187",37,62,36,148,120
2021,6,10,"6,012","1,716","1,622","2,009",66,90,64,349,96
2021,6,20,"6,724","2,186","1,701","1,511",169,263,148,615,131
2021,6,30,"7,755","1,780","1,253","3,670",156,200,128,399,169
2021,6,40,"11,044","2,713","2,528","4,085",243,292,210,729,244
2021,6,50,"10,674","3,183","2,665","1,947",464,552,401,"1,168",294
2021,6,60,"7,550","2,301","1,291",845,596,736,501,944,336
2021,6,70,"3,354","1,004",464,320,314,371,261,456,164
2021,6,80,"1,473",482,182,117,167,147,95,196,87
2021,6,90,150,52,18,10,16,10,17,15,12
2021,6,100,2,1,0,0,0,0,0,0,1
2021,7,총,"59,388","16,518","12,691","16,715","2,225","2,725","1,857","5,009","1,648"
2021,7,0,"4,645","1,135",938,"2,168",38,64,36,148,118
2021,7,10,"5,999","1,698","1,635","2,008",65,90,61,347,95
2021,7,20,"6,720","2,177","1,711","1,520",167,255,149,610,131
2021,7,30,"7,683","1,774","1,230","3,629",155,199,127,404,165
2021,7,40,"11,034","2,706","2,527","4,102",247,295,207,714,236
2021,7,50,"10,701","3,165","2,680","1,975",459,549,402,"1,171",300
2021,7,60,"7,609","2,321","1,302",863,596,745,500,944,338
2021,7,70,"3,370","1,004",468,322,314,370,263,461,168
2021,7,80,"1,470",484,182,118,167,147,94,193,85
2021,7,90,155,53,18,10,17,11,18,17,11
2021,7,100,2,1,0,0,0,0,0,0,1
2021,8,총,"59,390","16,521","12,696","16,726","2,211","2,738","1,860","5,000","1,638"
2021,8,0,"4,627","1,133",933,"2,164",38,64,36,144,115
2021,8,10,"5,981","1,697","1,635","1,999",65,88,58,341,98
2021,8,20,"6,717","2,167","1,706","1,541",160,262,148,604,129
2021,8,30,"7,611","1,762","1,223","3,581",149,203,128,404,161
2021,8,40,"11,021","2,702","2,519","4,120",244,293,206,704,233
2021,8,50,"10,738","3,170","2,687","2,000",456,547,406,"1,174",298
2021,8,60,"7,662","2,339","1,322",868,597,745,499,955,337
2021,8,70,"3,393","1,010",471,322,318,372,268,463,169
2021,8,80,"1,479",488,179,120,167,153,92,194,86
2021,8,90,159,52,21,11,17,11,19,17,11
2021,8,100,2,1,0,0,0,0,0,0,1
2021,9,총,"59,311","16,482","12,651","16,764","2,206","2,735","1,846","4,987","1,640"
2021,9,0,"4,592","1,123",913,"2,161",38,66,33,144,114
2021,9,10,"5,967","1,681","1,635","2,005",63,86,60,339,98
2021,9,20,"6,641","2,151","1,677","1,539",157,256,139,595,127
2021,9,30,"7,589","1,764","1,213","3,571",149,208,126,399,159
2021,9,40,"11,044","2,689","2,539","4,141",245,293,204,702,231
2021,9,50,"10,740","3,178","2,670","2,011",453,546,408,"1,177",297
2021,9,60,"7,705","2,346","1,330",878,598,744,500,963,346
2021,9,70,"3,385","1,009",470,326,320,371,262,457,170
2021,9,80,"1,487",489,180,121,166,154,95,196,86
2021,9,90,159,51,24,11,17,11,19,15,11
2021,9,100,2,1,0,0,0,0,0,0,1
2021,10,총,"59,251","16,449","12,638","16,780","2,204","2,731","1,846","4,968","1,635"
2021,10,0,"4,559","1,114",918,"2,142",38,62,34,141,110
2021,10,10,"5,949","1,686","1,629","2,003",57,82,57,332,103
2021,10,20,"6,633","2,135","1,667","1,557",161,256,139,593,125
2021,10,30,"7,530","1,740","1,208","3,558",148,207,124,390,155
2021,10,40,"11,026","2,684","2,529","4,135",244,290,206,702,236
2021,10,50,"10,764","3,183","2,670","2,040",452,546,406,"1,172",295
2021,10,60,"7,733","2,348","1,345",880,597,747,502,970,344
2021,10,70,"3,397","1,014",470,332,324,371,265,455,166
2021,10,80,"1,494",493,179,119,164,158,94,198,89
2021,10,90,164,51,23,14,19,12,19,15,11
2021,10,100,2,1,0,0,0,0,0,0,1
2021,11,총,"59,313","16,430","12,654","16,842","2,206","2,726","1,865","4,950","1,640"
2021,11,0,"4,540","1,111",920,"2,117",40,63,42,138,109
2021,11,10,"5,936","1,675","1,617","2,020",56,81,57,324,106
2021,11,20,"6,648","2,132","1,680","1,567",163,254,139,589,124
2021,11,30,"7,502","1,739","1,211","3,543",144,201,126,385,153
2021,11,40,"11,044","2,671","2,521","4,180",244,288,205,696,239
2021,11,50,"10,811","3,190","2,682","2,060",453,551,409,"1,172",294
2021,11,60,"7,763","2,352","1,345",894,596,744,509,975,348
2021,11,70,"3,402","1,014",479,330,323,375,262,455,164
2021,11,80,"1,502",495,177,117,168,157,97,200,91
2021,11,90,164,51,22,14,19,12,19,16,11
2021,11,100,1,0,0,0,0,0,0,0,1
2021,12,총,"59,260","16,404","12,651","16,866","2,193","2,719","1,861","4,934","1,632"
2021,12,0,"4,490","1,104",907,"2,096",39,61,43,136,104
2021,12,10,"5,935","1,674","1,618","2,028",54,77,54,322,108
2021,12,20,"6,644","2,136","1,676","1,574",162,248,138,589,121
2021,12,30,"7,435","1,718","1,197","3,517",143,204,123,382,151
2021,12,40,"11,057","2,665","2,531","4,202",241,284,210,684,240
2021,12,50,"10,834","3,184","2,695","2,084",447,553,403,"1,172",296
2021,12,60,"7,773","2,362","1,340",895,599,742,509,982,344
2021,12,70,"3,425","1,017",487,340,320,382,262,453,164
2021,12,80,"1,505",492,179,117,169,158,100,199,91
2021,12,90,161,52,21,13,19,10,19,15,12
2021,12,100,1,0,0,0,0,0,0,0,1
