년도,월,나이,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020,3,100,165,8,2,30,21,17,0,22,5,6,8,11,9,6,8,11,1
2020,4,총,"405,271","36,480","21,417","24,918","24,120","20,706","29,724","9,322","23,574","27,951","32,185","32,140","21,393","22,653","39,674","24,280","14,734"
2020,4,0,"29,660","3,714","1,989",991,"1,463",904,"1,958",270,"1,432","1,949","2,091","2,428","1,381","1,301","3,744","1,577","2,468"
2020,4,10,"30,900","3,551","2,032","1,471","1,480","1,190","1,721",319,"2,070","2,379","2,418","2,458","1,532","1,275","3,891","2,083","1,030"
2020,4,20,"55,535","4,431","2,900","3,293","4,230","2,917","5,114","1,382","3,293","3,700","4,233","3,850","2,693","3,953","4,734","3,145","1,667"
2020,4,30,"63,911","6,382","3,937","2,956","5,117","3,036","5,541","1,204","2,996","3,457","4,462","4,873","3,103","4,389","5,433","3,412","3,613"
2020,4,40,"63,949","6,555","3,652","3,672","4,083","3,092","4,246","1,261","3,670","4,475","4,821","4,933","3,302","3,201","6,819","3,924","2,243"
2020,4,50,"63,584","5,186","3,056","4,834","3,012","3,577","4,628","1,971","4,012","4,903","5,555","4,921","3,521","3,077","5,724","4,006","1,601"
2020,4,60,"54,216","3,963","2,490","3,926","2,555","3,049","3,626","1,604","3,477","3,872","4,769","4,922","3,374","2,909","4,880","3,485","1,315"
2020,4,70,"31,027","1,917",948,"2,670","1,528","2,074","2,069",869,"1,917","2,265","2,773","2,773","1,753","1,801","3,175","1,948",547
2020,4,80,"10,882",680,350,958,569,765,727,365,611,843,935,848,648,656,"1,115",603,209
2020,4,90,"1,440",93,60,117,62,85,94,55,91,101,120,123,77,85,151,86,40
2020,4,100,167,8,3,30,21,17,0,22,5,7,8,11,9,6,8,11,1
2020,5,총,"405,030","36,384","21,376","24,860","24,040","20,693","29,757","9,348","23,527","27,907","32,085","32,101","21,429","22,684","39,626","24,208","15,005"
2020,5,0,"29,415","3,689","1,974",976,"1,442",906,"1,940",267,"1,419","1,934","2,069","2,394","1,357","1,293","3,694","1,552","2,509"
2020,5,10,"30,812","3,549","2,017","1,461","1,474","1,167","1,720",323,"2,047","2,353","2,415","2,434","1,543","1,276","3,913","2,071","1,049"
2020,5,20,"55,544","4,416","2,905","3,277","4,174","2,933","5,135","1,406","3,304","3,710","4,214","3,858","2,687","3,973","4,720","3,141","1,691"
2020,5,30,"63,724","6,351","3,906","2,946","5,102","3,032","5,532","1,219","2,997","3,435","4,417","4,858","3,097","4,396","5,398","3,385","3,653"
2020,5,40,"63,915","6,551","3,675","3,668","4,062","3,093","4,239","1,243","3,649","4,439","4,797","4,928","3,315","3,199","6,835","3,913","2,309"
2020,5,50,"63,568","5,159","3,042","4,805","3,032","3,559","4,639","1,975","3,997","4,914","5,543","4,928","3,549","3,074","5,714","3,998","1,640"
2020,5,60,"54,322","3,948","2,490","3,935","2,560","3,050","3,650","1,600","3,481","3,884","4,793","4,915","3,377","2,915","4,886","3,491","1,347"
2020,5,70,"31,169","1,940",951,"2,682","1,535","2,077","2,081",874,"1,911","2,275","2,772","2,802","1,769","1,810","3,181","1,955",554
2020,5,80,"10,946",680,347,960,576,774,729,364,626,855,935,854,650,654,"1,125",606,211
2020,5,90,"1,446",93,66,120,62,85,92,54,91,100,122,119,76,88,152,85,41
2020,5,100,169,8,3,30,21,17,0,23,5,8,8,11,9,6,8,11,1
2020,6,총,"405,075","36,370","21,452","24,832","24,037","20,685","29,732","9,373","23,508","27,815","31,996","32,058","21,413","22,698","39,483","24,125","15,498"
2020,6,0,"29,305","3,660","1,983",968,"1,434",883,"1,940",260,"1,406","1,927","2,049","2,376","1,342","1,287","3,633","1,540","2,617"
2020,6,10,"30,719","3,550","2,007","1,462","1,465","1,167","1,694",323,"2,045","2,328","2,403","2,417","1,537","1,274","3,906","2,062","1,079"
2020,6,20,"55,607","4,424","2,901","3,283","4,176","2,927","5,132","1,427","3,326","3,701","4,207","3,866","2,690","3,991","4,699","3,133","1,724"
2020,6,30,"63,726","6,340","3,966","2,949","5,109","3,022","5,538","1,228","2,969","3,416","4,411","4,832","3,054","4,390","5,340","3,372","3,790"
2020,6,40,"63,841","6,538","3,665","3,638","4,038","3,113","4,219","1,242","3,640","4,414","4,769","4,912","3,312","3,209","6,841","3,887","2,404"
2020,6,50,"63,382","5,164","3,041","4,775","3,046","3,548","4,626","1,962","3,990","4,887","5,499","4,913","3,552","3,074","5,670","3,964","1,671"
2020,6,60,"54,624","3,957","2,508","3,970","2,565","3,060","3,671","1,607","3,489","3,913","4,815","4,941","3,406","2,919","4,918","3,500","1,385"
2020,6,70,"31,264","1,955",967,"2,665","1,539","2,081","2,084",881,"1,919","2,275","2,774","2,809","1,781","1,802","3,193","1,966",573
2020,6,80,"10,991",685,346,969,582,780,739,364,624,851,934,863,651,658,"1,127",604,214
2020,6,90,"1,448",90,65,123,62,87,88,56,95,95,127,120,77,88,148,86,41
2020,6,100,168,7,3,30,21,17,1,23,5,8,8,9,11,6,8,11,0
2020,7,총,"405,260","36,436","21,462","24,819","24,040","20,653","29,655","9,370","23,419","27,744","32,149","32,067","21,308","22,692","39,439","24,098","15,909"
2020,7,0,"29,240","3,683","1,981",965,"1,438",876,"1,939",249,"1,388","1,910","2,049","2,356","1,324","1,280","3,577","1,524","2,701"
2020,7,10,"30,632","3,541","1,995","1,458","1,452","1,167","1,671",323,"2,028","2,318","2,412","2,393","1,532","1,266","3,917","2,065","1,094"
2020,7,20,"55,650","4,419","2,899","3,292","4,168","2,919","5,109","1,440","3,343","3,702","4,217","3,888","2,675","3,995","4,717","3,113","1,754"
2020,7,30,"63,700","6,348","3,972","2,945","5,121","3,016","5,523","1,239","2,933","3,391","4,463","4,806","2,995","4,394","5,283","3,354","3,917"
2020,7,40,"63,800","6,535","3,662","3,626","4,039","3,085","4,201","1,231","3,620","4,385","4,791","4,902","3,319","3,195","6,835","3,900","2,474"
2020,7,50,"63,446","5,185","3,050","4,770","3,048","3,550","4,607","1,957","3,985","4,875","5,524","4,945","3,536","3,068","5,681","3,943","1,722"
2020,7,60,"54,744","3,972","2,513","3,976","2,560","3,065","3,681","1,606","3,484","3,910","4,825","4,950","3,400","2,940","4,938","3,517","1,407"
2020,7,70,"31,359","1,971",977,"2,671","1,550","2,083","2,097",878,"1,911","2,294","2,784","2,819","1,779","1,796","3,194","1,973",582
2020,7,80,"11,064",686,345,964,579,784,739,366,629,857,949,877,659,665,"1,137",613,215
2020,7,90,"1,452",89,64,122,64,91,86,58,92,94,127,122,77,87,152,85,42
2020,7,100,173,7,4,30,21,17,2,23,6,8,8,9,12,6,8,11,1
2020,8,총,"405,495","36,395","21,428","24,750","23,941","20,574","29,623","9,353","23,379","27,673","33,237","31,946","21,175","22,609","39,275","23,995","16,142"
2020,8,0,"29,072","3,659","1,970",954,"1,418",867,"1,919",245,"1,383","1,876","2,129","2,309","1,295","1,266","3,503","1,515","2,764"
2020,8,10,"30,598","3,558","1,990","1,461","1,440","1,148","1,644",320,"2,037","2,313","2,469","2,381","1,515","1,255","3,908","2,044","1,115"
2020,8,20,"55,617","4,388","2,865","3,274","4,158","2,890","5,101","1,443","3,323","3,690","4,451","3,860","2,649","3,969","4,703","3,102","1,751"
2020,8,30,"63,749","6,348","3,964","2,945","5,072","3,019","5,513","1,252","2,927","3,381","4,732","4,758","2,952","4,369","5,209","3,339","3,969"
2020,8,40,"63,735","6,521","3,657","3,602","4,028","3,051","4,199","1,225","3,603","4,385","4,914","4,869","3,298","3,175","6,812","3,861","2,535"
2020,8,50,"63,466","5,172","3,057","4,746","3,046","3,525","4,605","1,940","3,967","4,842","5,705","4,950","3,515","3,063","5,659","3,931","1,743"
2020,8,60,"55,048","3,992","2,531","3,982","2,544","3,080","3,715","1,610","3,494","3,915","4,936","4,976","3,413","2,944","4,971","3,526","1,419"
2020,8,70,"31,430","1,968",976,"2,660","1,568","2,101","2,093",873,"1,919","2,310","2,797","2,826","1,778","1,811","3,205","1,960",585
2020,8,80,"11,135",693,351,971,580,782,746,367,625,859,965,886,668,663,"1,141",621,217
2020,8,90,"1,472",88,63,125,66,94,86,55,95,94,132,122,80,88,156,85,43
2020,8,100,173,8,4,30,21,17,2,23,6,8,7,9,12,6,8,11,1
2020,9,총,"405,579","36,355","21,419","24,669","23,914","20,531","29,528","9,316","23,261","27,534","33,990","31,926","21,007","22,637","39,239","24,020","16,233"
2020,9,0,"28,894","3,643","1,950",938,"1,421",856,"1,882",240,"1,364","1,871","2,180","2,277","1,251","1,263","3,478","1,507","2,773"
2020,9,10,"30,506","3,568","1,986","1,450","1,437","1,144","1,629",315,"2,019","2,269","2,492","2,389","1,496","1,251","3,890","2,034","1,137"
2020,9,20,"55,577","4,360","2,868","3,265","4,146","2,879","5,086","1,436","3,308","3,652","4,585","3,861","2,634","3,947","4,700","3,107","1,743"
2020,9,30,"63,717","6,332","3,951","2,939","5,031","3,008","5,494","1,257","2,909","3,369","4,962","4,693","2,877","4,370","5,203","3,354","3,968"
2020,9,40,"63,608","6,527","3,662","3,558","4,022","3,019","4,170","1,215","3,576","4,354","4,957","4,867","3,258","3,195","6,807","3,842","2,579"
2020,9,50,"63,543","5,136","3,059","4,735","3,066","3,533","4,594","1,916","3,951","4,818","5,852","4,957","3,515","3,058","5,661","3,948","1,744"
2020,9,60,"55,325","4,016","2,548","3,995","2,551","3,083","3,748","1,625","3,485","3,928","5,019","5,007","3,407","2,977","4,971","3,530","1,435"
2020,9,70,"31,519","1,979",971,"2,661","1,567","2,116","2,076",865,"1,914","2,301","2,823","2,852","1,803","1,814","3,210","1,973",594
2020,9,80,"11,225",693,356,974,585,782,761,366,637,870,977,891,675,667,"1,150",625,216
2020,9,90,"1,491",92,64,123,67,94,86,58,92,94,136,123,79,90,161,89,43
2020,9,100,174,9,4,31,21,17,2,23,6,8,7,9,12,5,8,11,1
2020,10,총,"405,481","36,299","21,392","24,681","23,871","20,499","29,477","9,295","23,280","27,493","34,248","31,943","20,929","22,584","39,280","23,958","16,252"
2020,10,0,"28,686","3,647","1,926",921,"1,392",853,"1,863",235,"1,361","1,856","2,196","2,248","1,224","1,259","3,452","1,486","2,767"
2020,10,10,"30,406","3,556","1,977","1,470","1,435","1,128","1,625",305,"1,994","2,256","2,488","2,367","1,486","1,242","3,914","2,024","1,139"
2020,10,20,"55,529","4,354","2,866","3,252","4,130","2,860","5,055","1,462","3,324","3,648","4,622","3,901","2,621","3,925","4,678","3,088","1,743"
2020,10,30,"63,588","6,320","3,936","2,946","4,998","2,994","5,511","1,253","2,923","3,339","5,043","4,638","2,832","4,347","5,217","3,341","3,950"
2020,10,40,"63,508","6,538","3,648","3,546","4,038","2,995","4,155","1,195","3,545","4,336","4,962","4,886","3,247","3,196","6,795","3,822","2,604"
2020,10,50,"63,571","5,121","3,067","4,740","3,064","3,539","4,578","1,901","3,967","4,819","5,877","4,970","3,507","3,047","5,687","3,936","1,751"
2020,10,60,"55,582","3,988","2,572","4,013","2,559","3,108","3,749","1,628","3,504","3,944","5,090","5,018","3,434","2,977","4,989","3,567","1,442"
2020,10,70,"31,640","1,981",973,"2,657","1,581","2,108","2,090",868,"1,930","2,321","2,831","2,883","1,806","1,826","3,223","1,964",598
2020,10,80,"11,297",693,358,978,587,801,764,366,638,868,993,900,682,669,"1,159",628,213
2020,10,90,"1,500",92,65,128,66,96,85,59,88,98,138,123,79,91,157,91,44
2020,10,100,174,9,4,30,21,17,2,23,6,8,8,9,11,5,9,11,1
2020,11,총,"405,194","36,255","21,314","24,666","23,892","20,463","29,399","9,316","23,205","27,476","34,286","31,910","20,900","22,613","39,258","23,989","16,252"
2020,11,0,"28,470","3,631","1,905",908,"1,368",846,"1,859",235,"1,340","1,864","2,184","2,224","1,214","1,251","3,399","1,487","2,755"
2020,11,10,"30,290","3,538","1,969","1,457","1,429","1,131","1,612",297,"1,967","2,242","2,480","2,343","1,483","1,244","3,914","2,031","1,153"
2020,11,20,"55,482","4,345","2,844","3,252","4,152","2,839","5,045","1,500","3,319","3,643","4,629","3,896","2,623","3,919","4,666","3,083","1,727"
2020,11,30,"63,390","6,277","3,912","2,946","5,014","2,968","5,495","1,259","2,906","3,334","5,049","4,601","2,808","4,349","5,217","3,329","3,926"
2020,11,40,"63,477","6,544","3,651","3,535","4,036","2,990","4,129","1,185","3,520","4,313","4,968","4,906","3,239","3,199","6,766","3,850","2,646"
2020,11,50,"63,519","5,104","3,047","4,729","3,067","3,541","4,567","1,889","3,959","4,817","5,882","4,965","3,506","3,062","5,705","3,939","1,740"
2020,11,60,"55,769","4,022","2,594","4,028","2,564","3,121","3,748","1,627","3,523","3,944","5,099","5,045","3,432","2,993","5,008","3,570","1,451"
2020,11,70,"31,723","1,983",963,"2,678","1,575","2,108","2,093",872,"1,938","2,338","2,840","2,887","1,819","1,824","3,245","1,963",597
2020,11,80,"11,390",711,356,979,597,806,768,370,638,872,"1,009",910,686,675,"1,168",632,213
2020,11,90,"1,509",91,69,124,69,96,81,59,89,101,137,124,79,92,161,94,43
2020,11,100,175,9,4,30,21,17,2,23,6,8,9,9,11,5,9,11,1
2020,12,총,"404,408","36,188","21,232","24,601","23,883","20,378","29,358","9,280","23,151","27,336","34,337","31,763","20,848","22,687","39,112","23,970","16,284"
2020,12,0,"28,199","3,624","1,891",892,"1,354",823,"1,846",237,"1,328","1,836","2,187","2,186","1,203","1,243","3,319","1,476","2,754"
2020,12,10,"30,189","3,526","1,961","1,447","1,434","1,138","1,604",291,"1,967","2,232","2,472","2,325","1,464","1,227","3,918","2,017","1,166"
2020,12,20,"55,415","4,337","2,828","3,257","4,141","2,825","5,067","1,488","3,292","3,615","4,627","3,867","2,611","3,993","4,656","3,089","1,722"
2020,12,30,"63,147","6,244","3,889","2,928","5,020","2,932","5,439","1,261","2,906","3,316","5,080","4,570","2,790","4,366","5,183","3,314","3,909"
2020,12,40,"63,203","6,540","3,633","3,505","4,021","2,972","4,128","1,182","3,516","4,282","4,970","4,850","3,223","3,185","6,701","3,833","2,662"
2020,12,50,"63,330","5,095","3,011","4,719","3,058","3,536","4,557","1,865","3,938","4,787","5,864","4,981","3,494","3,056","5,696","3,924","1,749"
2020,12,60,"55,983","4,028","2,618","4,039","2,582","3,113","3,762","1,635","3,524","3,949","5,123","5,049","3,454","3,005","5,046","3,591","1,465"
2020,12,70,"31,804","1,977",973,"2,673","1,579","2,118","2,094",872,"1,943","2,340","2,849","2,895","1,825","1,841","3,253","1,970",602
2020,12,80,"11,443",716,356,987,601,814,776,366,642,870,"1,020",907,693,671,"1,163",650,211
2020,12,90,"1,516",91,67,124,72,90,83,60,89,101,136,122,80,95,168,95,43
2020,12,100,179,10,5,30,21,17,2,23,6,8,9,11,11,5,9,11,1
2021,1,총,"403,518","36,121","21,231","24,544","23,861","20,313","29,287","9,274","23,060","27,268","34,351","31,657","20,727","22,693","38,930","23,914","16,287"
2021,1,0,"27,854","3,595","1,872",887,"1,343",811,"1,828",232,"1,316","1,809","2,185","2,154","1,175","1,213","3,224","1,464","2,746"
2021,1,10,"29,970","3,508","1,963","1,439","1,418","1,115","1,591",286,"1,937","2,231","2,446","2,302","1,454","1,216","3,891","1,993","1,180"
2021,1,20,"55,259","4,300","2,821","3,233","4,132","2,826","5,027","1,507","3,293","3,585","4,638","3,852","2,583","4,050","4,644","3,078","1,690"
2021,1,30,"62,904","6,223","3,881","2,926","5,012","2,916","5,431","1,253","2,870","3,295","5,104","4,546","2,759","4,343","5,146","3,301","3,898"
2021,1,40,"62,999","6,526","3,631","3,474","4,028","2,962","4,115","1,170","3,496","4,271","4,949","4,827","3,198","3,180","6,665","3,824","2,683"
2021,1,50,"63,156","5,108","3,010","4,697","3,057","3,513","4,554","1,863","3,920","4,760","5,847","4,972","3,464","3,045","5,680","3,910","1,756"
2021,1,60,"56,252","4,044","2,642","4,049","2,582","3,110","3,779","1,643","3,545","3,988","5,148","5,057","3,489","3,014","5,072","3,621","1,469"
2021,1,70,"31,864","1,992",980,"2,681","1,590","2,125","2,086",870,"1,939","2,343","2,857","2,900","1,813","1,858","3,261","1,958",611
2021,1,80,"11,545",720,361,"1,003",602,826,788,367,647,875,"1,031",915,702,675,"1,165",660,208
2021,1,90,"1,534",95,64,125,76,92,86,60,91,103,137,121,79,94,173,93,45
2021,1,100,181,10,6,30,21,17,2,23,6,8,9,11,11,5,9,12,1
2021,2,총,"402,642","35,979","21,162","24,495","23,821","20,254","29,300","9,258","22,913","27,174","34,346","31,538","20,635","22,783","38,802","23,873","16,309"
2021,2,0,"27,449","3,560","1,836",869,"1,316",790,"1,803",232,"1,287","1,776","2,176","2,117","1,149","1,200","3,154","1,440","2,744"
2021,2,10,"29,766","3,491","1,956","1,427","1,398","1,108","1,573",278,"1,907","2,213","2,418","2,305","1,438","1,226","3,859","1,972","1,197"
2021,2,20,"55,208","4,246","2,809","3,219","4,157","2,824","5,081","1,523","3,273","3,570","4,634","3,836","2,573","4,088","4,629","3,088","1,658"
2021,2,30,"62,507","6,165","3,844","2,908","4,981","2,888","5,447","1,257","2,848","3,254","5,096","4,475","2,727","4,356","5,135","3,257","3,869"
2021,2,40,"62,798","6,519","3,626","3,472","4,017","2,952","4,082","1,150","3,444","4,268","4,947","4,800","3,180","3,188","6,612","3,823","2,718"
2021,2,50,"63,128","5,107","3,016","4,693","3,062","3,507","4,565","1,853","3,916","4,724","5,859","4,968","3,448","3,037","5,691","3,916","1,766"
2021,2,60,"56,495","4,059","2,657","4,067","2,594","3,111","3,783","1,643","3,551","4,030","5,179","5,055","3,504","3,041","5,097","3,639","1,485"
2021,2,70,"31,927","2,000",983,"2,673","1,591","2,127","2,087",873,"1,932","2,347","2,858","2,929","1,820","1,860","3,267","1,964",616
2021,2,80,"11,633",725,362,"1,011",608,834,787,369,660,882,"1,035",919,705,688,"1,175",663,210
2021,2,90,"1,549",97,67,126,76,95,90,61,89,102,134,123,80,94,173,99,43
2021,2,100,182,10,6,30,21,18,2,19,6,8,10,11,11,5,10,12,3
2021,3,총,"401,074","35,853","21,128","24,239","23,687","20,058","29,349","9,093","22,804","27,087","34,328","31,400","20,520","22,766","38,602","23,828","16,332"
2021,3,0,"27,288","3,553","1,829",858,"1,286",776,"1,806",235,"1,283","1,761","2,180","2,104","1,153","1,204","3,100","1,429","2,731"
2021,3,10,"29,683","3,494","1,954","1,427","1,394","1,094","1,565",275,"1,906","2,193","2,396","2,287","1,420","1,219","3,870","1,980","1,209"
2021,3,20,"55,256","4,222","2,814","3,214","4,215","2,841","5,120","1,537","3,256","3,569","4,622","3,824","2,564","4,112","4,597","3,091","1,658"
2021,3,30,"62,245","6,131","3,814","2,883","4,958","2,872","5,465","1,250","2,825","3,235","5,097","4,434","2,702","4,380","5,124","3,254","3,821"
2021,3,40,"62,455","6,493","3,618","3,432","3,987","2,925","4,074","1,129","3,425","4,237","4,949","4,800","3,127","3,174","6,556","3,777","2,752"
2021,3,50,"62,775","5,094","3,001","4,633","3,035","3,462","4,557","1,816","3,889","4,703","5,837","4,910","3,446","3,041","5,653","3,926","1,772"
2021,3,60,"56,508","4,058","2,676","4,052","2,588","3,077","3,791","1,607","3,553","4,044","5,187","5,088","3,504","3,024","5,098","3,654","1,507"
2021,3,70,"31,733","1,983",989,"2,632","1,553","2,091","2,096",838,"1,922","2,344","2,878","2,917","1,817","1,832","3,263","1,956",622
2021,3,80,"11,587",728,364,982,602,831,782,352,654,895,"1,035",913,702,692,"1,175",665,215
2021,3,90,"1,485",92,65,122,68,89,90,51,89,102,137,118,80,85,163,92,42
2021,3,100,59,5,4,4,1,0,3,3,2,4,10,5,5,3,3,4,3
2021,4,총,"400,399","35,820","21,062","24,167","23,691","20,018","29,389","9,071","22,755","27,035","34,197","31,271","20,455","22,767","38,584","23,767","16,350"
2021,4,0,"27,064","3,520","1,811",843,"1,266",782,"1,787",238,"1,273","1,750","2,168","2,083","1,136","1,199","3,065","1,415","2,728"
2021,4,10,"29,669","3,507","1,957","1,423","1,386","1,084","1,575",274,"1,897","2,200","2,378","2,267","1,413","1,217","3,880","1,975","1,236"
2021,4,20,"55,115","4,195","2,804","3,199","4,233","2,843","5,131","1,537","3,229","3,530","4,608","3,810","2,560","4,093","4,607","3,089","1,647"
2021,4,30,"62,080","6,139","3,771","2,885","4,947","2,878","5,482","1,252","2,821","3,225","5,078","4,392","2,669","4,406","5,116","3,236","3,783"
2021,4,40,"62,311","6,483","3,617","3,383","3,987","2,892","4,095","1,113","3,424","4,233","4,930","4,762","3,127","3,174","6,546","3,765","2,780"
2021,4,50,"62,668","5,094","2,996","4,628","3,042","3,455","4,549","1,808","3,881","4,688","5,815","4,885","3,449","3,025","5,653","3,923","1,777"
2021,4,60,"56,530","4,072","2,671","4,054","2,591","3,068","3,802","1,608","3,544","4,051","5,178","5,102","3,496","3,021","5,094","3,658","1,520"
2021,4,70,"31,716","1,975",984,"2,627","1,567","2,083","2,088",834,"1,928","2,333","2,876","2,923","1,815","1,837","3,280","1,949",617
2021,4,80,"11,713",735,381,"1,001",605,844,792,356,664,919,"1,028",924,706,702,"1,178",661,217
2021,4,90,"1,479",95,66,120,66,89,85,48,92,102,134,117,79,90,162,92,42
2021,4,100,54,5,4,4,1,0,3,3,2,4,4,6,5,3,3,4,3
2021,5,총,"399,950","35,753","21,031","24,121","23,710","20,003","29,385","9,018","22,716","26,972","34,223","31,203","20,407","22,786","38,509","23,759","16,354"
2021,5,0,"26,924","3,489","1,811",835,"1,254",785,"1,778",232,"1,267","1,749","2,172","2,069","1,122","1,205","3,029","1,418","2,709"
2021,5,10,"29,660","3,516","1,947","1,408","1,388","1,068","1,574",280,"1,895","2,192","2,373","2,271","1,400","1,214","3,908","1,975","1,251"
2021,5,20,"54,985","4,193","2,789","3,220","4,245","2,855","5,113","1,526","3,211","3,517","4,604","3,775","2,555","4,087","4,565","3,089","1,641"
2021,5,30,"61,901","6,105","3,752","2,876","4,932","2,866","5,501","1,254","2,819","3,195","5,102","4,363","2,656","4,422","5,088","3,221","3,749"
2021,5,40,"62,136","6,473","3,608","3,359","3,978","2,858","4,101","1,094","3,407","4,221","4,928","4,756","3,111","3,156","6,516","3,761","2,809"
2021,5,50,"62,542","5,076","2,989","4,598","3,051","3,456","4,540","1,783","3,860","4,686","5,797","4,865","3,446","3,039","5,671","3,912","1,773"
2021,5,60,"56,735","4,080","2,697","4,069","2,614","3,074","3,804","1,612","3,556","4,059","5,203","5,106","3,520","3,029","5,101","3,670","1,541"
2021,5,70,"31,746","1,988",984,"2,626","1,570","2,095","2,091",832,"1,928","2,325","2,867","2,943","1,809","1,840","3,277","1,954",617
2021,5,80,"11,777",731,384,"1,006",608,858,795,358,677,920,"1,033",929,705,700,"1,189",666,218
2021,5,90,"1,490",97,66,120,69,88,86,44,94,104,140,119,78,91,162,89,43
2021,5,100,54,5,4,4,1,0,2,3,2,4,4,7,5,3,3,4,3
2021,6,총,"399,266","35,730","20,989","24,056","23,677","19,987","29,363","9,002","22,659","26,912","34,127","31,162","20,335","22,790","38,426","23,724","16,327"
2021,6,0,"26,799","3,496","1,802",837,"1,257",780,"1,775",233,"1,259","1,730","2,157","2,057","1,108","1,201","2,996","1,410","2,701"
2021,6,10,"29,575","3,525","1,947","1,400","1,377","1,059","1,567",278,"1,887","2,179","2,363","2,265","1,384","1,201","3,927","1,966","1,250"
2021,6,20,"54,803","4,191","2,766","3,187","4,246","2,854","5,092","1,531","3,186","3,510","4,586","3,770","2,547","4,106","4,533","3,081","1,617"
2021,6,30,"61,653","6,061","3,739","2,849","4,910","2,862","5,510","1,249","2,803","3,176","5,081","4,340","2,644","4,417","5,071","3,207","3,734"
2021,6,40,"62,047","6,495","3,606","3,358","3,985","2,839","4,115","1,088","3,402","4,193","4,907","4,744","3,085","3,171","6,517","3,742","2,800"
2021,6,50,"62,305","5,039","2,993","4,579","3,033","3,449","4,509","1,771","3,848","4,678","5,751","4,859","3,428","3,025","5,654","3,906","1,783"
2021,6,60,"56,937","4,104","2,696","4,079","2,619","3,081","3,823","1,609","3,564","4,084","5,238","5,134","3,525","3,032","5,102","3,694","1,553"
2021,6,70,"31,742","1,979",990,"2,629","1,572","2,106","2,080",835,"1,937","2,331","2,861","2,943","1,815","1,831","3,256","1,950",627
2021,6,80,"11,861",738,383,"1,015",607,868,802,361,678,921,"1,041",926,715,711,"1,203",674,218
2021,6,90,"1,492",98,63,119,70,89,88,44,93,106,138,118,79,91,164,91,41
2021,6,100,52,4,4,4,1,0,2,3,2,4,4,6,5,4,3,3,3
2021,7,총,"398,744","35,707","20,948","24,039","23,626","19,944","29,345","8,954","22,616","26,868","34,087","31,186","20,330","22,771","38,330","23,687","16,306"
2021,7,0,"26,666","3,499","1,787",834,"1,253",768,"1,774",231,"1,254","1,704","2,162","2,032","1,098","1,187","2,981","1,409","2,693"
2021,7,10,"29,524","3,520","1,942","1,389","1,373","1,058","1,558",275,"1,881","2,176","2,336","2,272","1,387","1,206","3,936","1,953","1,262"
2021,7,20,"54,509","4,166","2,751","3,186","4,226","2,834","5,084","1,530","3,164","3,498","4,557","3,784","2,533","4,092","4,478","3,040","1,586"
