년도,월,나이,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020,7,70,"13,771",700,843,598,550,790,697,914,856,574,743,527,627,635,702,568,754,659,655,771,608
2020,7,80,"4,106",199,216,182,179,251,182,281,251,214,185,125,191,188,233,186,151,197,207,291,197
2020,7,90,403,20,28,22,12,11,36,27,26,17,18,11,25,10,25,18,10,16,23,31,17
2020,7,100,30,0,4,1,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020,8,총,"262,483","15,660","17,822","14,358","7,760","11,317","11,242","14,298","14,609","8,083","12,264","9,131","10,602","7,995","12,256","10,283","19,855","11,050","16,363","16,637","20,898"
2020,8,0,"22,209","1,678","1,931",853,376,708,885,830,953,411,947,707,773,368,815,877,"3,156",705,"1,506","1,349","2,381"
2020,8,10,"25,809","1,482","2,330",888,599,858,"1,132","1,100","1,210",596,"1,241",860,"1,049",516,"1,219","1,175","1,883","1,066","1,842","1,791","2,972"
2020,8,20,"36,943","2,101","2,267","2,879","1,143","1,666","1,564","2,142","2,203","1,084","1,730","1,304","1,564","1,198","1,860","1,318","2,012","1,631","2,270","2,451","2,556"
2020,8,30,"38,002","2,371","2,175","2,972",999,"1,768","1,428","2,010","2,222","1,072","1,620","1,252","1,516","1,086","1,547","1,275","3,844","1,223","2,464","2,557","2,601"
2020,8,40,"45,501","2,910","3,261","2,434","1,244","1,833","2,014","2,325","2,304","1,275","2,094","1,504","1,633","1,195","1,837","1,774","3,821","1,818","2,980","2,924","4,321"
2020,8,50,"44,672","2,476","2,897","2,164","1,577","1,968","1,912","2,718","2,621","1,591","2,098","1,629","1,815","1,547","2,346","1,697","2,338","2,230","2,798","2,761","3,489"
2020,8,60,"30,972","1,717","1,872","1,366","1,080","1,472","1,392","1,937","1,956","1,230","1,580","1,201","1,399","1,253","1,670","1,395","1,885","1,498","1,611","1,706","1,752"
2020,8,70,"13,817",701,845,601,545,784,694,919,858,594,744,530,637,634,703,567,754,663,661,772,611
2020,8,80,"4,131",205,215,180,184,248,185,283,253,213,187,128,193,188,236,185,151,198,208,293,198
2020,8,90,396,19,25,20,12,11,35,28,27,17,19,12,23,10,23,20,10,16,22,30,17
2020,8,100,31,0,4,1,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,3,0
2020,9,총,"262,068","15,630","17,752","14,318","7,724","11,264","11,228","14,245","14,628","8,432","12,208","9,071","10,561","7,944","12,230","10,249","19,813","11,015","16,299","16,609","20,848"
2020,9,0,"22,040","1,673","1,921",840,376,699,874,817,952,448,936,686,774,359,798,863,"3,137",694,"1,490","1,337","2,366"
2020,9,10,"25,737","1,483","2,314",893,590,846,"1,140","1,091","1,209",606,"1,242",871,"1,036",510,"1,219","1,171","1,884","1,056","1,832","1,788","2,956"
2020,9,20,"36,795","2,100","2,245","2,846","1,140","1,661","1,553","2,135","2,202","1,156","1,718","1,289","1,549","1,173","1,858","1,318","1,994","1,625","2,242","2,443","2,548"
2020,9,30,"37,798","2,352","2,164","2,975",981,"1,747","1,419","1,981","2,215","1,135","1,590","1,238","1,507","1,088","1,526","1,268","3,814","1,229","2,446","2,533","2,590"
2020,9,40,"45,419","2,908","3,252","2,431","1,245","1,832","1,996","2,326","2,304","1,313","2,085","1,489","1,629","1,184","1,827","1,758","3,831","1,798","2,971","2,919","4,321"
2020,9,50,"44,670","2,457","2,889","2,175","1,566","1,954","1,928","2,711","2,627","1,661","2,099","1,609","1,798","1,545","2,346","1,690","2,344","2,233","2,785","2,764","3,489"
2020,9,60,"31,180","1,723","1,876","1,367","1,079","1,482","1,399","1,938","1,977","1,274","1,585","1,211","1,414","1,251","1,694","1,405","1,895","1,502","1,632","1,720","1,756"
2020,9,70,"13,838",711,841,594,549,785,692,927,860,601,741,532,640,629,707,567,749,660,666,779,608
2020,9,80,"4,163",204,220,178,185,246,192,284,254,219,190,130,191,194,229,189,154,200,212,294,198
2020,9,90,398,19,26,19,12,11,34,29,26,19,18,12,23,11,26,20,10,16,22,29,16
2020,9,100,30,0,4,0,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,3,0
2020,10,총,"261,785","15,638","17,737","14,300","7,713","11,225","11,244","14,167","14,619","8,517","12,166","9,081","10,532","7,917","12,221","10,252","19,786","10,977","16,263","16,586","20,844"
2020,10,0,"21,869","1,663","1,916",820,362,687,861,806,942,465,924,692,760,355,793,860,"3,117",689,"1,469","1,330","2,358"
2020,10,10,"25,677","1,488","2,309",900,592,839,"1,139","1,087","1,209",598,"1,236",863,"1,033",515,"1,213","1,170","1,882","1,052","1,816","1,794","2,942"
2020,10,20,"36,736","2,096","2,241","2,836","1,132","1,655","1,560","2,127","2,189","1,174","1,713","1,294","1,553","1,164","1,861","1,319","1,982","1,606","2,248","2,431","2,555"
2020,10,30,"37,605","2,351","2,160","2,951",972,"1,740","1,425","1,969","2,210","1,157","1,569","1,228","1,501","1,076","1,516","1,264","3,765","1,224","2,430","2,510","2,587"
2020,10,40,"45,334","2,911","3,258","2,449","1,249","1,805","1,991","2,305","2,302","1,314","2,078","1,496","1,618","1,178","1,815","1,761","3,856","1,785","2,957","2,903","4,303"
2020,10,50,"44,676","2,447","2,881","2,183","1,562","1,959","1,933","2,691","2,644","1,678","2,100","1,608","1,790","1,539","2,340","1,689","2,348","2,211","2,799","2,779","3,495"
2020,10,60,"31,368","1,737","1,877","1,372","1,093","1,492","1,410","1,929","1,981","1,291","1,587","1,222","1,421","1,254","1,716","1,410","1,912","1,525","1,639","1,723","1,777"
2020,10,70,"13,893",718,839,591,551,792,695,932,856,601,745,534,644,634,706,571,758,659,665,793,609
2020,10,80,"4,191",206,228,179,187,245,193,285,260,220,192,127,189,190,235,189,155,206,214,289,202
2020,10,90,405,21,24,19,12,9,36,30,24,19,18,13,23,12,26,19,10,18,25,31,16
2020,10,100,31,0,4,0,1,2,1,6,2,0,4,4,0,0,0,0,1,2,1,3,0
2020,11,총,"261,423","15,623","17,686","14,292","7,679","11,205","11,222","14,136","14,620","8,528","12,162","9,057","10,540","7,892","12,197","10,234","19,767","10,930","16,256","16,585","20,812"
2020,11,0,"21,703","1,644","1,900",817,357,682,852,805,936,462,922,686,759,352,781,841,"3,085",686,"1,457","1,334","2,345"
2020,11,10,"25,613","1,492","2,295",890,590,839,"1,133","1,082","1,213",589,"1,245",857,"1,031",507,"1,205","1,168","1,896","1,043","1,826","1,777","2,935"
2020,11,20,"36,641","2,095","2,245","2,822","1,125","1,645","1,539","2,111","2,180","1,173","1,704","1,292","1,559","1,164","1,859","1,327","1,972","1,590","2,242","2,435","2,562"
2020,11,30,"37,448","2,340","2,140","2,949",962,"1,730","1,422","1,971","2,205","1,167","1,566","1,227","1,478","1,072","1,514","1,257","3,743","1,215","2,416","2,507","2,567"
2020,11,40,"45,244","2,921","3,245","2,453","1,249","1,809","1,987","2,275","2,320","1,303","2,072","1,488","1,624","1,161","1,795","1,755","3,872","1,772","2,958","2,902","4,283"
2020,11,50,"44,634","2,439","2,885","2,191","1,536","1,954","1,933","2,684","2,627","1,682","2,097","1,610","1,803","1,534","2,343","1,690","2,357","2,206","2,791","2,778","3,494"
2020,11,60,"31,557","1,738","1,885","1,377","1,108","1,496","1,429","1,955","1,995","1,305","1,601","1,217","1,425","1,260","1,732","1,419","1,906","1,534","1,660","1,730","1,785"
2020,11,70,"13,934",729,834,596,551,794,697,930,855,600,744,535,650,637,706,566,769,656,671,794,620
2020,11,80,"4,213",205,229,179,188,244,192,286,263,228,191,129,188,192,236,192,156,208,208,296,203
2020,11,90,404,20,24,18,12,10,37,30,24,19,16,12,23,13,26,19,10,18,26,29,18
2020,11,100,32,0,4,0,1,2,1,7,2,0,4,4,0,0,0,0,1,2,1,3,0
2020,12,총,"260,923","15,582","17,659","14,303","7,645","11,160","11,156","14,124","14,582","8,527","12,151","9,038","10,527","7,849","12,148","10,187","19,782","10,898","16,270","16,583","20,752"
2020,12,0,"21,501","1,626","1,912",818,348,663,835,796,924,452,915,688,748,340,771,836,"3,082",681,"1,441","1,317","2,308"
2020,12,10,"25,520","1,484","2,285",884,586,839,"1,133","1,085","1,209",583,"1,242",852,"1,020",502,"1,190","1,153","1,901","1,036","1,839","1,760","2,937"
2020,12,20,"36,637","2,092","2,230","2,817","1,124","1,638","1,529","2,111","2,188","1,187","1,712","1,300","1,561","1,150","1,852","1,315","1,959","1,585","2,252","2,484","2,551"
2020,12,30,"37,262","2,329","2,130","2,958",945,"1,731","1,395","1,955","2,189","1,164","1,556","1,217","1,474","1,064","1,500","1,260","3,714","1,213","2,421","2,493","2,554"
2020,12,40,"45,108","2,916","3,246","2,454","1,253","1,781","1,982","2,271","2,310","1,289","2,068","1,476","1,626","1,150","1,796","1,744","3,896","1,751","2,951","2,881","4,267"
2020,12,50,"44,486","2,426","2,875","2,185","1,520","1,947","1,927","2,670","2,607","1,688","2,089","1,600","1,802","1,529","2,333","1,681","2,363","2,191","2,782","2,780","3,491"
2020,12,60,"31,751","1,749","1,897","1,390","1,114","1,503","1,426","1,970","2,006","1,310","1,610","1,222","1,432","1,265","1,737","1,421","1,927","1,562","1,671","1,743","1,796"
2020,12,70,"13,951",733,830,596,552,797,696,933,857,606,738,534,654,639,707,566,775,647,674,798,619
2020,12,80,"4,266",208,226,183,191,247,194,295,265,229,200,134,188,196,234,192,154,211,212,296,211
2020,12,90,408,19,24,18,11,12,38,30,25,19,17,11,22,14,28,19,10,19,26,28,18
2020,12,100,33,0,4,0,1,2,1,8,2,0,4,4,0,0,0,0,1,2,1,3,0
2021,1,총,"260,654","15,557","17,632","14,509","7,608","11,122","11,130","14,088","14,572","8,511","12,113","9,029","10,495","7,843","12,113","10,172","19,764","10,870","16,251","16,603","20,672"
2021,1,0,"21,268","1,607","1,904",845,341,639,828,790,904,442,900,682,737,333,763,823,"3,052",677,"1,432","1,297","2,272"
2021,1,10,"25,475","1,491","2,276",911,578,838,"1,115","1,081","1,198",585,"1,235",849,"1,017",511,"1,170","1,148","1,934","1,023","1,830","1,750","2,935"
2021,1,20,"36,571","2,096","2,240","2,830","1,116","1,637","1,520","2,095","2,181","1,178","1,713","1,302","1,559","1,142","1,838","1,319","1,944","1,578","2,245","2,504","2,534"
2021,1,30,"37,103","2,291","2,114","3,007",943,"1,714","1,398","1,946","2,186","1,167","1,536","1,207","1,463","1,056","1,512","1,246","3,671","1,213","2,411","2,502","2,520"
2021,1,40,"45,018","2,913","3,223","2,499","1,246","1,781","1,970","2,263","2,315","1,282","2,062","1,475","1,615","1,145","1,789","1,729","3,905","1,745","2,940","2,873","4,248"
2021,1,50,"44,420","2,429","2,876","2,196","1,511","1,941","1,926","2,659","2,606","1,668","2,073","1,592","1,796","1,527","2,322","1,693","2,363","2,177","2,791","2,779","3,495"
2021,1,60,"32,016","1,766","1,913","1,411","1,118","1,504","1,437","1,985","2,022","1,327","1,627","1,230","1,440","1,279","1,757","1,433","1,949","1,575","1,687","1,752","1,804"
2021,1,70,"14,044",737,832,603,558,806,704,936,866,608,744,543,652,637,695,572,778,652,675,814,632
2021,1,80,"4,301",208,227,187,186,248,194,295,267,235,202,134,194,201,238,190,158,210,213,301,213
2021,1,90,406,19,23,20,10,12,37,30,25,19,17,11,22,12,29,19,9,19,26,28,19
2021,1,100,32,0,4,0,1,2,1,8,2,0,4,4,0,0,0,0,1,1,1,3,0
2021,2,총,"260,227","15,517","17,575","14,631","7,601","11,066","11,114","14,067","14,537","8,490","12,066","9,015","10,499","7,817","12,095","10,116","19,725","10,847","16,252","16,589","20,608"
2021,2,0,"21,081","1,597","1,894",853,339,628,822,787,890,438,890,672,733,335,754,808,"3,030",664,"1,412","1,286","2,249"
2021,2,10,"25,366","1,483","2,256",926,569,828,"1,101","1,069","1,199",573,"1,233",842,"1,018",503,"1,159","1,146","1,958","1,015","1,823","1,734","2,931"
2021,2,20,"36,442","2,083","2,223","2,836","1,118","1,623","1,523","2,076","2,174","1,171","1,700","1,312","1,551","1,136","1,835","1,310","1,919","1,580","2,259","2,494","2,519"
2021,2,30,"36,877","2,273","2,104","3,026",951,"1,695","1,392","1,952","2,169","1,158","1,520","1,180","1,449","1,052","1,498","1,219","3,613","1,205","2,402","2,521","2,498"
2021,2,40,"44,991","2,915","3,186","2,545","1,243","1,781","1,968","2,251","2,322","1,273","2,060","1,496","1,620","1,141","1,781","1,727","3,925","1,737","2,934","2,852","4,234"
2021,2,50,"44,329","2,432","2,882","2,198","1,499","1,930","1,933","2,653","2,581","1,671","2,052","1,581","1,795","1,522","2,319","1,681","2,365","2,169","2,794","2,777","3,495"
2021,2,60,"32,279","1,767","1,935","1,429","1,128","1,516","1,439","2,007","2,039","1,342","1,643","1,235","1,452","1,280","1,777","1,440","1,959","1,592","1,706","1,776","1,817"
2021,2,70,"14,081",741,839,611,555,803,705,928,868,610,741,546,662,633,702,576,784,651,672,818,636
2021,2,80,"4,342",207,229,187,188,248,194,305,268,235,205,137,196,202,241,190,163,214,223,298,212
2021,2,90,404,19,23,20,10,12,36,31,23,19,18,10,22,13,29,19,8,19,26,30,17
2021,2,100,35,0,4,0,1,2,1,8,4,0,4,4,1,0,0,0,1,1,1,3,0
2021,3,총,"259,545","15,480","17,595","14,723","7,560","10,975","11,079","13,981","14,465","8,435","12,031","8,991","10,432","7,756","12,071","10,081","19,704","10,843","16,192","16,599","20,552"
2021,3,0,"20,896","1,591","1,900",858,330,605,808,781,887,436,878,666,725,320,753,800,"3,015",655,"1,400","1,267","2,221"
2021,3,10,"25,305","1,473","2,250",928,570,830,"1,099","1,059","1,192",557,"1,233",835,"1,011",504,"1,150","1,140","1,982","1,021","1,816","1,729","2,926"
2021,3,20,"36,286","2,087","2,220","2,865","1,113","1,609","1,524","2,061","2,153","1,176","1,706","1,308","1,511","1,136","1,819","1,296","1,881","1,566","2,256","2,501","2,498"
2021,3,30,"36,711","2,265","2,105","3,040",949,"1,682","1,388","1,935","2,145","1,160","1,506","1,183","1,452","1,034","1,496","1,207","3,581","1,199","2,366","2,528","2,490"
2021,3,40,"44,800","2,902","3,177","2,566","1,228","1,763","1,956","2,243","2,318","1,252","2,045","1,488","1,605","1,120","1,764","1,731","3,937","1,733","2,921","2,836","4,215"
2021,3,50,"44,178","2,415","2,879","2,195","1,491","1,911","1,922","2,633","2,552","1,654","2,058","1,571","1,795","1,516","2,302","1,668","2,368","2,165","2,788","2,801","3,494"
2021,3,60,"32,515","1,785","1,968","1,446","1,123","1,519","1,446","2,020","2,053","1,341","1,635","1,247","1,457","1,278","1,810","1,452","1,969","1,611","1,731","1,784","1,840"
2021,3,70,"14,096",734,837,616,556,792,707,915,878,607,750,545,658,631,705,579,795,658,669,824,640
2021,3,80,"4,350",210,236,188,190,249,195,305,262,231,200,138,196,204,243,189,167,215,222,300,210
2021,3,90,395,18,21,21,10,15,34,26,23,21,19,10,21,13,29,19,8,20,23,26,18
2021,3,100,13,0,2,0,0,0,0,3,2,0,1,0,1,0,0,0,1,0,0,3,0
2021,4,총,"259,335","15,476","17,566","14,776","7,531","10,932","11,087","13,958","14,446","8,440","11,980","8,986","10,400","7,748","12,028","10,058","19,740","10,833","16,202","16,596","20,552"
2021,4,0,"20,765","1,578","1,892",860,327,603,801,767,888,430,861,672,717,318,742,795,"3,008",636,"1,398","1,261","2,211"
2021,4,10,"25,249","1,482","2,242",930,561,814,"1,099","1,064","1,175",552,"1,223",824,"1,004",505,"1,146","1,139","2,002","1,015","1,824","1,719","2,929"
2021,4,20,"36,192","2,083","2,216","2,872","1,112","1,598","1,505","2,059","2,136","1,186","1,693","1,309","1,511","1,139","1,806","1,289","1,872","1,562","2,248","2,498","2,498"
2021,4,30,"36,632","2,245","2,098","3,055",944,"1,680","1,397","1,917","2,144","1,165","1,491","1,176","1,444","1,038","1,495","1,200","3,557","1,211","2,361","2,535","2,479"
2021,4,40,"44,762","2,898","3,184","2,566","1,222","1,764","1,962","2,235","2,318","1,244","2,041","1,498","1,595","1,106","1,751","1,725","3,965","1,723","2,922","2,841","4,202"
2021,4,50,"44,095","2,423","2,860","2,214","1,487","1,893","1,920","2,620","2,551","1,649","2,055","1,559","1,786","1,499","2,293","1,661","2,367","2,168","2,788","2,796","3,506"
2021,4,60,"32,757","1,799","1,986","1,454","1,126","1,524","1,466","2,040","2,065","1,358","1,645","1,253","1,472","1,283","1,814","1,459","1,997","1,621","1,746","1,790","1,859"
2021,4,70,"14,089",738,828,616,554,791,707,917,880,604,745,543,661,640,707,578,791,657,670,824,638
2021,4,80,"4,389",211,236,190,188,249,198,308,263,232,206,141,190,207,246,193,172,220,222,304,213
2021,4,90,392,19,22,19,10,16,32,28,24,20,19,11,19,13,28,19,8,20,23,25,17
2021,4,100,13,0,2,0,0,0,0,3,2,0,1,0,1,0,0,0,1,0,0,3,0
2021,5,총,"259,035","15,441","17,573","14,804","7,499","10,858","11,074","13,911","14,442","8,437","11,984","8,951","10,405","7,732","11,998","10,031","19,708","10,822","16,210","16,635","20,520"
2021,5,0,"20,610","1,573","1,877",867,326,587,799,767,882,420,849,662,710,319,732,778,"2,992",637,"1,397","1,251","2,185"
2021,5,10,"25,196","1,477","2,236",932,556,811,"1,089","1,050","1,171",551,"1,227",823,"1,007",499,"1,135","1,143","2,015","1,005","1,830","1,712","2,927"
2021,5,20,"36,133","2,063","2,236","2,859","1,109","1,591","1,515","2,053","2,131","1,187","1,697","1,318","1,494","1,141","1,809","1,284","1,859","1,566","2,246","2,491","2,484"
2021,5,30,"36,449","2,230","2,082","3,064",931,"1,661","1,384","1,900","2,139","1,173","1,471","1,160","1,450","1,040","1,479","1,191","3,521","1,195","2,329","2,566","2,483"
2021,5,40,"44,656","2,905","3,180","2,552","1,221","1,755","1,959","2,234","2,319","1,232","2,054","1,487","1,584","1,090","1,746","1,715","3,973","1,714","2,929","2,835","4,172"
