년도,월,나이,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021,1,50,"5,852",878,737,481,"1,857",248,493,376,158,376,248
2021,1,60,"5,458",821,787,533,866,296,582,510,230,529,304
2021,1,70,"4,367",619,619,409,384,329,489,511,196,527,284
2021,1,80,"2,955",335,452,301,193,322,353,333,98,383,185
2021,1,90,531,53,76,65,35,47,74,65,31,64,21
2021,1,100,29,0,2,4,0,0,16,1,3,2,1
2021,2,총,"43,618","5,297","7,305","2,628","16,552","1,578","3,064","2,328",975,"2,458","1,433"
2021,2,0,"3,875",340,"1,075",84,"2,076",28,90,54,26,56,46
2021,2,10,"4,615",511,738,158,"2,565",66,216,116,41,118,86
2021,2,20,"4,130",553,493,216,"2,074",97,274,138,65,118,102
2021,2,30,"5,169",437,"1,261",143,"2,795",45,183,102,48,97,58
2021,2,40,"6,584",748,"1,027",234,"3,688",103,290,134,74,185,101
2021,2,50,"5,862",877,750,479,"1,860",248,494,373,161,374,246
2021,2,60,"5,492",822,806,535,884,296,583,503,230,529,304
2021,2,70,"4,344",613,614,413,383,323,486,509,195,529,279
2021,2,80,"2,985",342,461,296,194,326,357,335,99,386,189
2021,2,90,533,54,78,66,33,46,75,63,33,64,21
2021,2,100,29,0,2,4,0,0,16,1,3,2,1
2021,3,총,"43,737","5,352","7,516","2,592","16,585","1,557","3,045","2,289",953,"2,428","1,420"
2021,3,0,"3,896",352,"1,128",83,"2,048",27,88,49,22,54,45
2021,3,10,"4,619",526,759,154,"2,562",63,211,110,40,112,82
2021,3,20,"4,198",561,507,217,"2,115",91,285,137,63,119,103
2021,3,30,"5,230",436,"1,332",141,"2,799",50,176,102,43,95,56
2021,3,40,"6,601",760,"1,073",224,"3,693",93,282,124,74,179,99
2021,3,50,"5,837",887,754,476,"1,864",249,492,361,151,366,237
2021,3,60,"5,514",825,800,537,899,296,579,508,230,528,312
2021,3,70,"4,317",608,630,402,380,319,491,493,192,522,280
2021,3,80,"2,984",347,459,292,193,319,358,340,102,388,186
2021,3,90,520,50,72,63,32,50,73,64,33,63,20
2021,3,100,21,0,2,3,0,0,10,1,3,2,0
2021,4,총,"43,823","5,329","7,614","2,589","16,607","1,562","3,043","2,285",954,"2,416","1,424"
2021,4,0,"3,880",343,"1,140",84,"2,030",30,85,50,22,52,44
2021,4,10,"4,646",529,780,152,"2,570",60,210,113,40,109,83
2021,4,20,"4,193",554,505,219,"2,115",90,287,137,64,120,102
2021,4,30,"5,252",434,"1,353",141,"2,806",49,177,97,45,93,57
2021,4,40,"6,635",750,"1,103",225,"3,712",93,281,128,74,173,96
2021,4,50,"5,829",884,755,474,"1,874",252,486,355,145,364,240
2021,4,60,"5,549",824,813,541,895,299,588,513,231,530,315
2021,4,70,"4,305",614,625,398,383,318,485,488,194,523,277
2021,4,80,"2,994",348,463,288,188,321,361,344,103,387,191
2021,4,90,519,49,75,64,34,50,73,59,33,63,19
2021,4,100,21,0,2,3,0,0,10,1,3,2,0
2021,5,총,"43,930","5,329","7,709","2,574","16,660","1,557","3,031","2,277",952,"2,419","1,422"
2021,5,0,"3,882",340,"1,148",84,"2,029",29,84,50,22,53,43
2021,5,10,"4,641",526,802,152,"2,554",55,208,114,40,108,82
2021,5,20,"4,234",562,513,218,"2,146",93,290,132,62,116,102
2021,5,30,"5,234",438,"1,356",139,"2,795",49,168,93,45,96,55
2021,5,40,"6,645",744,"1,127",222,"3,716",91,280,126,73,170,96
2021,5,50,"5,858",878,770,469,"1,913",253,477,351,143,361,243
2021,5,60,"5,574",833,819,541,903,296,590,512,231,535,314
2021,5,70,"4,303",610,627,398,386,317,488,484,196,521,276
2021,5,80,"3,017",349,470,279,187,325,363,355,104,394,191
2021,5,90,520,49,75,69,31,48,73,59,33,63,20
2021,5,100,22,0,2,3,0,1,10,1,3,2,0
2021,6,총,"44,094","5,403","7,748","2,567","16,753","1,555","3,032","2,262",944,"2,414","1,416"
2021,6,0,"3,900",342,"1,146",84,"2,046",28,83,50,24,54,43
2021,6,10,"4,649",533,811,151,"2,552",55,208,112,40,105,82
2021,6,20,"4,256",564,514,216,"2,165",93,296,132,61,115,100
2021,6,30,"5,268",452,"1,366",138,"2,809",47,171,93,43,95,54
2021,6,40,"6,677",757,"1,136",223,"3,730",93,276,127,71,170,94
2021,6,50,"5,871",885,779,467,"1,933",249,473,341,142,360,242
2021,6,60,"5,600",847,814,539,912,300,593,511,231,539,314
2021,6,70,"4,290",618,632,393,383,314,487,478,191,516,278
2021,6,80,"3,046",356,472,286,192,327,364,359,105,396,189
2021,6,90,515,49,76,67,31,48,71,58,33,62,20
2021,6,100,22,0,2,3,0,1,10,1,3,2,0
2021,7,총,"44,367","5,439","7,828","2,556","16,955","1,559","3,029","2,245",935,"2,409","1,412"
2021,7,0,"3,931",344,"1,154",84,"2,070",29,83,50,21,54,42
2021,7,10,"4,671",533,824,152,"2,577",55,200,105,39,102,84
2021,7,20,"4,300",575,507,214,"2,211",94,297,131,56,116,99
2021,7,30,"5,321",458,"1,397",134,"2,845",47,166,90,43,91,50
2021,7,40,"6,706",761,"1,154",223,"3,742",93,274,125,68,170,96
2021,7,50,"5,923",887,795,461,"1,973",249,474,336,145,361,242
2021,7,60,"5,636",853,820,541,926,300,600,513,228,540,315
2021,7,70,"4,287",626,630,392,387,316,484,477,192,511,272
2021,7,80,"3,056",353,471,286,191,328,367,362,107,400,191
2021,7,90,513,49,74,66,33,47,74,55,32,62,21
2021,7,100,23,0,2,3,0,1,10,1,4,2,0
2021,8,총,"44,611","5,458","7,945","2,556","17,083","1,560","3,030","2,240",926,"2,401","1,412"
2021,8,0,"3,973",352,"1,179",83,"2,083",29,85,48,20,53,41
2021,8,10,"4,685",524,837,153,"2,597",54,197,105,40,94,84
2021,8,20,"4,306",584,512,211,"2,199",94,300,133,55,117,101
2021,8,30,"5,389",456,"1,421",134,"2,886",50,166,90,43,94,49
2021,8,40,"6,755",765,"1,178",222,"3,769",92,274,122,67,167,99
2021,8,50,"5,949",891,806,460,"1,997",247,473,336,144,358,237
2021,8,60,"5,663",852,828,544,936,303,603,514,224,544,315
2021,8,70,"4,278",626,633,386,391,314,480,472,192,509,275
2021,8,80,"3,077",360,474,291,193,328,370,363,107,401,190
2021,8,90,513,48,75,69,32,48,72,56,31,61,21
2021,8,100,23,0,2,3,0,1,10,1,3,3,0
2021,9,총,"44,806","5,461","8,069","2,549","17,200","1,550","3,026","2,230",927,"2,390","1,404"
2021,9,0,"3,981",355,"1,185",82,"2,083",27,87,48,21,52,41
2021,9,10,"4,696",521,848,153,"2,607",55,195,101,40,93,83
2021,9,20,"4,324",580,522,213,"2,222",92,294,132,55,116,98
2021,9,30,"5,412",452,"1,436",135,"2,904",50,164,86,46,95,44
2021,9,40,"6,795",764,"1,206",222,"3,788",91,274,118,68,163,101
2021,9,50,"6,023",902,841,451,"2,036",246,473,336,140,360,238
2021,9,60,"5,683",852,843,550,944,302,602,511,227,539,313
2021,9,70,"4,273",621,630,387,392,313,480,476,189,508,277
2021,9,80,"3,092",366,480,291,194,322,376,366,107,402,188
2021,9,90,503,48,75,62,30,51,71,55,31,59,21
2021,9,100,24,0,3,3,0,1,10,1,3,3,0
2021,10,총,"45,057","5,470","8,158","2,549","17,353","1,553","3,024","2,230",930,"2,384","1,406"
2021,10,0,"3,973",350,"1,191",83,"2,076",28,87,47,21,50,40
2021,10,10,"4,745",526,865,151,"2,635",57,194,101,39,93,84
2021,10,20,"4,376",572,537,213,"2,268",95,292,129,57,116,97
2021,10,30,"5,458",463,"1,450",135,"2,928",52,163,90,45,88,44
2021,10,40,"6,830",763,"1,225",224,"3,798",91,275,120,66,165,103
2021,10,50,"6,047",901,857,449,"2,060",243,480,329,140,353,235
2021,10,60,"5,708",857,843,548,962,302,603,507,228,542,316
2021,10,70,"4,295",623,636,390,398,312,477,483,188,512,276
2021,10,80,"3,092",368,475,291,196,320,371,368,111,402,190
2021,10,90,510,47,76,62,32,53,72,55,32,60,21
2021,10,100,23,0,3,3,0,0,10,1,3,3,0
2021,11,총,"45,291","5,452","8,221","2,558","17,518","1,555","3,030","2,223",934,"2,390","1,410"
2021,11,0,"3,976",348,"1,199",81,"2,080",27,85,45,21,51,39
2021,11,10,"4,767",527,875,149,"2,649",60,194,99,39,93,82
2021,11,20,"4,403",564,542,214,"2,299",92,290,126,57,120,99
2021,11,30,"5,511",458,"1,455",138,"2,972",54,166,92,48,86,42
2021,11,40,"6,889",759,"1,242",232,"3,841",90,275,115,67,166,102
2021,11,50,"6,094",909,863,450,"2,085",246,478,332,138,354,239
2021,11,60,"5,725",853,856,548,963,302,611,507,228,540,317
2021,11,70,"4,297",619,634,390,404,312,477,478,189,518,276
2021,11,80,"3,101",367,474,293,194,320,374,374,112,400,193
2021,11,90,506,47,78,60,31,52,71,55,32,59,21
2021,11,100,22,1,3,3,0,0,9,0,3,3,0
2021,12,총,"45,354","5,458","8,247","2,565","17,576","1,546","3,035","2,220",928,"2,378","1,401"
2021,12,0,"3,950",342,"1,204",79,"2,061",26,85,44,21,52,36
2021,12,10,"4,785",538,876,149,"2,664",59,191,98,39,90,81
2021,12,20,"4,397",561,544,216,"2,291",90,296,127,56,119,97
2021,12,30,"5,527",457,"1,449",141,"2,989",56,166,90,48,87,44
2021,12,40,"6,924",759,"1,259",228,"3,868",90,278,112,65,163,102
2021,12,50,"6,105",906,872,452,"2,085",245,476,335,139,356,239
2021,12,60,"5,737",858,854,545,975,303,619,507,226,538,312
2021,12,70,"4,290",616,637,395,415,307,474,472,185,516,273
2021,12,80,"3,112",372,468,296,195,319,375,379,115,397,196
2021,12,90,510,48,81,61,33,51,71,56,31,57,21
2021,12,100,17,1,3,3,0,0,4,0,3,3,0
