년도,월,나이,기장군,기장읍,장안읍,정관읍,일광면,철마면
2020,5,100,7,2,5,0,0,0
2020,6,총,"84,220","26,223","4,669","40,561","8,665","4,102"
2020,6,0,"9,772","1,782",222,"6,503","1,061",204
2020,6,10,"8,910","2,418",266,"5,412",579,235
2020,6,20,"8,677","3,404",598,"3,333",888,454
2020,6,30,"12,373","3,038",645,"6,704","1,613",373
2020,6,40,"16,162","4,296",576,"9,348","1,370",572
2020,6,50,"11,674","4,702",879,"4,152","1,213",728
2020,6,60,"9,424","3,728",844,"2,906","1,125",821
2020,6,70,"5,425","2,054",463,"1,748",622,538
2020,6,80,"1,670",748,153,428,179,162
2020,6,90,126,51,18,27,15,15
2020,6,100,7,2,5,0,0,0
2020,7,총,"84,829","26,018","4,665","40,485","9,575","4,086"
2020,7,0,"9,790","1,736",217,"6,455","1,183",199
2020,7,10,"8,955","2,385",264,"5,423",645,238
2020,7,20,"8,784","3,379",601,"3,329","1,030",445
2020,7,30,"12,442","3,007",645,"6,634","1,789",367
2020,7,40,"16,219","4,243",568,"9,343","1,497",568
2020,7,50,"11,838","4,658",883,"4,181","1,385",731
2020,7,60,"9,515","3,740",841,"2,910","1,206",818
2020,7,70,"5,472","2,063",471,"1,753",641,544
2020,7,80,"1,682",754,152,432,183,161
2020,7,90,125,51,18,25,16,15
2020,7,100,7,2,5,0,0,0
2020,8,총,"85,309","25,910","4,665","40,453","10,197","4,084"
2020,8,0,"9,822","1,711",220,"6,417","1,278",196
2020,8,10,"8,988","2,373",256,"5,424",698,237
2020,8,20,"8,842","3,362",607,"3,322","1,110",441
2020,8,30,"12,502","2,977",643,"6,584","1,931",367
2020,8,40,"16,275","4,218",561,"9,331","1,592",573
2020,8,50,"11,934","4,640",882,"4,221","1,464",727
2020,8,60,"9,632","3,763",847,"2,940","1,260",822
2020,8,70,"5,483","2,053",471,"1,754",661,544
2020,8,80,"1,695",759,153,434,187,162
2020,8,90,129,52,20,26,16,15
2020,8,100,7,2,5,0,0,0
2020,9,총,"85,581","25,926","4,653","40,457","10,473","4,072"
2020,9,0,"9,790","1,687",220,"6,373","1,317",193
2020,9,10,"9,026","2,361",251,"5,459",718,237
2020,9,20,"8,899","3,399",607,"3,319","1,134",440
2020,9,30,"12,459","2,960",633,"6,509","1,996",361
2020,9,40,"16,375","4,221",562,"9,380","1,640",572
2020,9,50,"11,952","4,628",878,"4,237","1,486",723
2020,9,60,"9,733","3,802",846,"2,955","1,307",823
2020,9,70,"5,500","2,051",476,"1,758",668,547
2020,9,80,"1,713",763,155,442,190,163
2020,9,90,127,52,20,25,17,13
2020,9,100,7,2,5,0,0,0
2020,10,총,"85,761","25,959","4,631","40,427","10,691","4,053"
2020,10,0,"9,764","1,687",211,"6,319","1,356",191
2020,10,10,"9,060","2,349",253,"5,488",731,239
2020,10,20,"8,924","3,407",607,"3,310","1,162",438
2020,10,30,"12,391","2,947",622,"6,430","2,036",356
2020,10,40,"16,427","4,216",560,"9,408","1,681",562
2020,10,50,"12,008","4,643",875,"4,254","1,510",726
2020,10,60,"9,798","3,814",849,"2,989","1,323",823
2020,10,70,"5,538","2,071",476,"1,765",681,545
2020,10,80,"1,716",772,152,439,192,161
2020,10,90,128,51,21,25,19,12
2020,10,100,7,2,5,0,0,0
2020,11,총,"86,156","25,994","4,621","40,526","10,950","4,065"
2020,11,0,"9,754","1,666",210,"6,290","1,398",190
2020,11,10,"9,092","2,340",249,"5,512",755,236
2020,11,20,"9,007","3,434",607,"3,345","1,182",439
2020,11,30,"12,394","2,957",618,"6,381","2,082",356
2020,11,40,"16,501","4,192",562,"9,447","1,740",560
2020,11,50,"12,064","4,655",863,"4,290","1,526",730
2020,11,60,"9,881","3,831",850,"3,006","1,363",831
2020,11,70,"5,599","2,096",483,"1,781",692,547
2020,11,80,"1,726",771,153,447,191,164
2020,11,90,130,50,20,27,21,12
2020,11,100,8,2,6,0,0,0
2020,12,총,"86,439","25,975","4,619","40,524","11,245","4,076"
2020,12,0,"9,742","1,649",207,"6,257","1,440",189
2020,12,10,"9,091","2,323",243,"5,513",777,235
2020,12,20,"9,053","3,427",616,"3,356","1,216",438
2020,12,30,"12,419","2,956",618,"6,342","2,143",360
2020,12,40,"16,531","4,150",559,"9,459","1,803",560
2020,12,50,"12,131","4,675",858,"4,314","1,558",726
2020,12,60,"9,959","3,851",854,"3,016","1,400",838
2020,12,70,"5,618","2,105",490,"1,776",696,551
2020,12,80,"1,754",788,148,463,191,164
2020,12,90,133,49,20,28,21,15
2020,12,100,8,2,6,0,0,0
2021,1,총,"86,848","25,888","4,622","40,451","11,826","4,061"
2021,1,0,"9,732","1,657",206,"6,191","1,494",184
2021,1,10,"9,123","2,298",236,"5,521",836,232
2021,1,20,"9,060","3,387",619,"3,339","1,284",431
2021,1,30,"12,404","2,943",607,"6,280","2,220",354
2021,1,40,"16,611","4,114",560,"9,478","1,902",557
2021,1,50,"12,253","4,656",870,"4,328","1,676",723
2021,1,60,"10,079","3,867",858,"3,024","1,479",851
2021,1,70,"5,665","2,121",488,"1,789",715,552
2021,1,80,"1,776",792,152,471,200,161
2021,1,90,137,51,20,30,20,16
2021,1,100,8,2,6,0,0,0
2021,2,총,"87,194","25,797","4,650","40,381","12,315","4,051"
2021,2,0,"9,761","1,653",210,"6,132","1,586",180
2021,2,10,"9,160","2,278",247,"5,519",888,228
2021,2,20,"9,100","3,363",611,"3,348","1,348",430
2021,2,30,"12,361","2,915",611,"6,198","2,279",358
2021,2,40,"16,715","4,105",565,"9,486","2,005",554
2021,2,50,"12,335","4,626",878,"4,364","1,751",716
2021,2,60,"10,124","3,883",857,"3,026","1,508",850
2021,2,70,"5,692","2,120",489,"1,797",729,557
2021,2,80,"1,805",803,156,482,201,163
2021,2,90,133,49,20,29,20,15
2021,2,100,8,2,6,0,0,0
2021,3,총,"87,172","25,727","4,598","40,342","12,464","4,041"
2021,3,0,"9,700","1,644",210,"6,077","1,594",175
2021,3,10,"9,198","2,280",243,"5,548",897,230
2021,3,20,"9,054","3,328",607,"3,326","1,364",429
2021,3,30,"12,354","2,928",606,"6,165","2,301",354
2021,3,40,"16,706","4,064",560,"9,489","2,040",553
2021,3,50,"12,337","4,612",863,"4,372","1,779",711
2021,3,60,"10,195","3,913",854,"3,035","1,536",857
2021,3,70,"5,683","2,107",483,"1,810",728,555
2021,3,80,"1,811",802,154,489,204,162
2021,3,90,132,48,17,31,21,15
2021,3,100,2,1,1,0,0,0
2021,4,총,"87,304","25,719","4,604","40,360","12,589","4,032"
2021,4,0,"9,658","1,632",211,"6,034","1,611",170
2021,4,10,"9,214","2,263",242,"5,572",907,230
2021,4,20,"9,073","3,334",606,"3,324","1,384",425
2021,4,30,"12,334","2,910",601,"6,159","2,317",347
2021,4,40,"16,730","4,071",561,"9,490","2,053",555
2021,4,50,"12,399","4,620",867,"4,396","1,807",709
2021,4,60,"10,231","3,927",860,"3,031","1,552",861
2021,4,70,"5,706","2,114",481,"1,821",736,554
2021,4,80,"1,819",795,156,501,201,166
2021,4,90,138,52,18,32,21,15
2021,4,100,2,1,1,0,0,0
2021,5,총,"87,367","25,694","4,592","40,376","12,678","4,027"
2021,5,0,"9,629","1,625",213,"5,990","1,633",168
2021,5,10,"9,215","2,255",229,"5,585",920,226
2021,5,20,"9,083","3,328",605,"3,337","1,389",424
2021,5,30,"12,297","2,928",604,"6,116","2,302",347
2021,5,40,"16,723","4,029",562,"9,503","2,081",548
2021,5,50,"12,451","4,620",864,"4,442","1,818",707
2021,5,60,"10,264","3,942",857,"3,031","1,563",871
2021,5,70,"5,724","2,112",481,"1,835",745,551
2021,5,80,"1,836",799,157,504,205,171
2021,5,90,143,55,19,33,22,14
2021,5,100,2,1,1,0,0,0
2021,6,총,"87,484","25,694","4,613","40,430","12,723","4,024"
2021,6,0,"9,617","1,629",217,"5,981","1,628",162
2021,6,10,"9,216","2,249",226,"5,596",922,223
2021,6,20,"9,124","3,327",612,"3,349","1,403",433
2021,6,30,"12,238","2,906",608,"6,090","2,285",349
2021,6,40,"16,757","4,037",569,"9,517","2,094",540
2021,6,50,"12,485","4,620",851,"4,470","1,840",704
2021,6,60,"10,311","3,950",866,"3,041","1,574",880
2021,6,70,"5,741","2,111",485,"1,846",751,548
2021,6,80,"1,850",810,159,506,204,171
2021,6,90,143,54,19,34,22,14
2021,6,100,2,1,1,0,0,0
2021,7,총,"87,565","25,714","4,622","40,435","12,779","4,015"
2021,7,0,"9,587","1,625",217,"5,949","1,635",161
2021,7,10,"9,252","2,248",228,"5,610",940,226
2021,7,20,"9,112","3,317",603,"3,356","1,408",428
2021,7,30,"12,184","2,919",617,"6,037","2,265",346
2021,7,40,"16,791","4,024",568,"9,541","2,118",540
2021,7,50,"12,538","4,631",860,"4,493","1,854",700
2021,7,60,"10,332","3,959",866,"3,047","1,578",882
2021,7,70,"5,773","2,126",484,"1,859",754,550
2021,7,80,"1,845",808,159,508,203,167
2021,7,90,149,56,19,35,24,15
2021,7,100,2,1,1,0,0,0
2021,8,총,"87,546","25,707","4,626","40,398","12,795","4,020"
2021,8,0,"9,529","1,614",220,"5,895","1,637",163
2021,8,10,"9,264","2,248",226,"5,630",936,224
2021,8,20,"9,050","3,284",615,"3,335","1,389",427
2021,8,30,"12,157","2,948",609,"6,002","2,254",344
2021,8,40,"16,798","4,009",570,"9,548","2,130",541
2021,8,50,"12,575","4,631",858,"4,522","1,872",692
2021,8,60,"10,361","3,962",872,"3,053","1,586",888
2021,8,70,"5,802","2,147",478,"1,865",757,555
2021,8,80,"1,856",806,158,512,210,170
2021,8,90,153,58,19,36,24,16
2021,8,100,1,0,1,0,0,0
2021,9,총,"87,499","25,686","4,613","40,385","12,804","4,011"
2021,9,0,"9,478","1,601",219,"5,858","1,638",162
2021,9,10,"9,279","2,241",223,"5,652",939,224
2021,9,20,"9,023","3,274",606,"3,323","1,392",428
2021,9,30,"12,092","2,962",610,"5,955","2,228",337
2021,9,40,"16,781","3,970",573,"9,552","2,144",542
2021,9,50,"12,640","4,652",856,"4,570","1,874",688
2021,9,60,"10,367","3,978",867,"3,046","1,593",883
2021,9,70,"5,820","2,141",480,"1,878",762,559
2021,9,80,"1,863",808,157,515,210,173
2021,9,90,155,59,21,36,24,15
2021,9,100,1,0,1,0,0,0
2021,10,총,"87,529","25,736","4,636","40,387","12,779","3,991"
2021,10,0,"9,425","1,593",218,"5,830","1,623",161
2021,10,10,"9,306","2,239",222,"5,679",939,227
2021,10,20,"8,999","3,272",601,"3,320","1,387",419
2021,10,30,"12,042","2,975",620,"5,909","2,207",331
2021,10,40,"16,776","3,970",579,"9,545","2,147",535
2021,10,50,"12,739","4,676",857,"4,624","1,886",696
2021,10,60,"10,359","3,976",879,"3,040","1,592",872
2021,10,70,"5,834","2,156",481,"1,876",762,559
2021,10,80,"1,888",817,157,527,211,176
2021,10,90,159,62,21,37,24,15
2021,10,100,2,0,1,0,1,0
2021,11,총,"87,661","25,772","4,621","40,442","12,804","4,022"
2021,11,0,"9,378","1,592",219,"5,780","1,626",161
2021,11,10,"9,337","2,230",220,"5,716",941,230
2021,11,20,"9,019","3,271",591,"3,345","1,389",423
2021,11,30,"12,014","2,999",625,"5,855","2,197",338
2021,11,40,"16,806","3,952",573,"9,582","2,157",542
2021,11,50,"12,800","4,692",859,"4,665","1,892",692
2021,11,60,"10,377","3,988",875,"3,037","1,602",875
2021,11,70,"5,866","2,170",477,"1,892",760,567
2021,11,80,"1,899",812,160,534,216,177
2021,11,90,163,66,21,36,23,17
2021,11,100,2,0,1,0,1,0
2021,12,총,"87,691","25,761","4,632","40,501","12,779","4,018"
2021,12,0,"9,308","1,565",215,"5,744","1,625",159
2021,12,10,"9,351","2,235",216,"5,740",936,224
2021,12,20,"9,010","3,255",604,"3,357","1,369",425
2021,12,30,"11,962","2,992",626,"5,813","2,199",332
2021,12,40,"16,846","3,960",569,"9,621","2,154",542
2021,12,50,"12,831","4,693",860,"4,692","1,892",694
2021,12,60,"10,409","3,995",881,"3,051","1,608",874
2021,12,70,"5,882","2,174",476,"1,902",759,571
2021,12,80,"1,921",823,163,543,213,179
2021,12,90,169,69,21,38,23,18
2021,12,100,2,0,1,0,1,0
