년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020,8,총,"49,952","5,183","2,017","1,961","1,529","1,106","1,538",581,"2,076","2,671","2,160","1,452","14,962","4,824","2,449","3,493","1,950"
2020,8,0,"2,879",195,51,47,31,25,40,7,63,125,45,39,"1,349",348,90,302,122
2020,8,10,"3,090",201,68,86,35,39,34,18,66,107,63,49,"1,390",456,130,250,98
2020,8,20,"4,153",412,129,87,52,48,76,28,104,200,106,84,"1,552",571,226,321,157
2020,8,30,"4,261",340,110,96,77,41,66,21,103,202,95,73,"1,776",495,174,408,184
2020,8,40,"5,789",537,134,154,105,71,92,26,156,189,161,87,"2,451",691,235,500,200
2020,8,50,"8,527",947,366,295,224,185,256,121,308,422,342,223,"2,672",872,422,556,316
2020,8,60,"9,120","1,105",494,469,349,261,405,118,486,529,513,400,"1,962",618,510,525,376
2020,8,70,"6,900",861,368,404,351,211,306,123,452,508,444,273,"1,054",481,383,408,273
2020,8,80,"4,618",527,257,283,273,193,229,102,297,346,337,196,679,251,250,208,190
2020,8,90,586,56,38,39,32,31,29,16,40,41,52,28,73,37,28,13,33
2020,8,100,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
2020,9,총,"50,026","5,199","2,008","1,970","1,527","1,109","1,550",590,"2,070","2,675","2,156","1,461","14,945","4,853","2,455","3,502","1,956"
2020,9,0,"2,877",195,50,47,31,27,38,7,61,127,44,39,"1,338",357,90,304,122
2020,9,10,"3,089",198,66,83,35,39,36,18,66,106,62,50,"1,388",460,133,248,101
2020,9,20,"4,155",419,126,91,49,46,77,31,103,198,106,86,"1,547",572,226,320,158
2020,9,30,"4,272",339,109,95,74,42,66,20,103,204,95,78,"1,773",507,172,413,182
2020,9,40,"5,758",528,135,153,109,70,94,27,150,190,161,83,"2,428",691,237,500,202
2020,9,50,"8,532",953,362,296,219,185,259,127,314,422,340,226,"2,674",864,424,555,312
2020,9,60,"9,167","1,111",489,472,352,265,408,120,486,528,512,400,"1,987",623,506,532,376
2020,9,70,"6,913",863,373,407,348,207,309,123,454,511,443,273,"1,046",485,392,405,274
2020,9,80,"4,637",532,258,284,276,195,227,101,295,344,337,197,688,252,248,209,194
2020,9,90,598,59,38,41,34,32,31,15,38,43,54,29,72,38,26,14,34
2020,9,100,28,2,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
2020,10,총,"50,139","5,244","2,010","1,966","1,545","1,121","1,541",600,"2,071","2,692","2,164","1,459","14,936","4,892","2,450","3,497","1,951"
2020,10,0,"2,863",201,51,45,31,26,38,6,57,129,44,38,"1,327",358,92,297,123
2020,10,10,"3,090",197,63,84,35,39,36,17,68,108,59,48,"1,382",473,132,247,102
2020,10,20,"4,169",431,127,88,51,46,72,34,104,200,112,88,"1,543",574,222,321,156
2020,10,30,"4,293",346,111,91,81,43,65,20,103,208,97,76,"1,772",516,174,413,177
2020,10,40,"5,726",526,130,146,109,73,90,25,146,189,159,84,"2,419",694,233,505,198
2020,10,50,"8,527",958,358,300,220,187,261,131,313,420,337,219,"2,666",865,423,556,313
2020,10,60,"9,233","1,117",494,477,359,267,404,123,490,533,513,409,"2,005",627,508,530,377
2020,10,70,"6,946",864,377,408,349,210,310,125,454,510,444,272,"1,061",489,393,405,275
2020,10,80,"4,660",541,257,286,276,196,230,103,298,349,343,196,686,253,247,205,194
2020,10,90,603,60,40,40,34,33,30,15,38,44,54,29,71,39,25,16,35
2020,10,100,29,3,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
2020,11,총,"50,155","5,259","2,009","1,972","1,556","1,121","1,544",601,"2,080","2,673","2,153","1,462","14,929","4,917","2,442","3,492","1,945"
2020,11,0,"2,836",196,52,46,28,26,37,6,60,128,43,40,"1,309",362,89,294,120
2020,11,10,"3,095",202,65,88,38,39,36,17,71,106,57,50,"1,371",477,133,245,100
2020,11,20,"4,148",420,124,88,53,45,70,34,105,194,108,83,"1,559",567,223,324,151
2020,11,30,"4,290",348,110,90,81,44,65,19,101,202,96,75,"1,764",531,174,413,177
2020,11,40,"5,709",526,129,146,107,73,95,25,145,189,158,85,"2,404",695,231,506,195
2020,11,50,"8,521",966,355,296,226,187,262,133,315,415,336,216,"2,666",867,415,550,316
2020,11,60,"9,304","1,129",500,482,360,267,403,124,490,537,515,413,"2,027",634,512,535,376
2020,11,70,"6,940",860,373,410,352,209,314,126,456,506,437,274,"1,064",487,395,402,275
2020,11,80,"4,675",546,260,284,277,197,227,101,298,352,347,197,689,253,242,206,199
2020,11,90,608,63,39,41,34,33,30,15,39,42,54,29,72,40,27,15,35
2020,11,100,29,3,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
2020,12,총,"50,203","5,273","1,996","1,998","1,574","1,119","1,538",617,"2,090","2,653","2,157","1,456","14,910","4,939","2,438","3,494","1,951"
2020,12,0,"2,811",196,53,47,28,25,35,7,58,122,42,40,"1,294",363,85,296,120
2020,12,10,"3,099",203,60,96,38,39,38,18,70,105,59,49,"1,370",476,134,246,98
2020,12,20,"4,156",416,122,88,54,44,72,35,108,189,107,85,"1,556",572,228,325,155
2020,12,30,"4,273",345,106,92,80,43,61,19,100,199,96,76,"1,762",537,171,411,175
2020,12,40,"5,708",527,127,152,109,72,94,26,147,187,161,82,"2,395",705,229,501,194
2020,12,50,"8,515",965,353,302,236,184,262,134,312,407,335,217,"2,660",868,414,548,318
2020,12,60,"9,372","1,144",502,486,363,271,400,131,494,537,518,410,"2,035",641,518,543,379
2020,12,70,"6,941",865,369,406,350,209,318,129,463,500,436,274,"1,064",482,393,405,278
2020,12,80,"4,697",548,262,288,282,199,225,102,299,363,349,196,695,251,238,202,198
2020,12,90,602,61,40,40,34,32,28,15,39,42,52,27,75,40,27,15,35
2020,12,100,29,3,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
2021,1,총,"50,100","5,250","1,997","1,982","1,570","1,111","1,536",614,"2,093","2,637","2,159","1,457","14,864","4,947","2,435","3,503","1,945"
2021,1,0,"2,777",192,53,44,28,23,36,7,59,117,43,41,"1,277",360,83,298,116
2021,1,10,"3,095",203,59,95,41,37,37,18,69,103,63,46,"1,362",481,135,246,100
2021,1,20,"4,103",405,123,86,54,45,71,32,110,181,105,88,"1,532",562,230,322,157
2021,1,30,"4,281",346,106,93,81,40,59,18,100,200,94,77,"1,755",543,170,422,177
2021,1,40,"5,657",520,130,147,107,72,93,27,146,185,162,80,"2,365",703,229,498,193
2021,1,50,"8,478",957,347,296,232,182,260,134,314,401,329,216,"2,662",873,411,548,316
2021,1,60,"9,379","1,150",505,485,356,269,397,131,495,536,520,411,"2,054",643,516,540,371
2021,1,70,"6,969",866,369,404,352,210,326,127,463,498,438,274,"1,072",484,394,408,284
2021,1,80,"4,711",543,261,291,283,200,222,103,299,372,350,196,702,253,238,204,194
2021,1,90,620,65,41,40,36,32,30,16,38,42,53,28,79,41,28,15,36
2021,1,100,30,3,3,1,0,1,5,1,0,2,2,0,4,4,1,2,1
2021,2,총,"50,134","5,254","1,997","1,972","1,564","1,112","1,531",612,"2,091","2,659","2,171","1,458","14,841","4,958","2,425","3,535","1,954"
2021,2,0,"2,770",195,54,44,28,23,35,6,59,120,43,41,"1,260",364,82,296,120
2021,2,10,"3,093",200,58,87,40,34,36,18,70,103,63,46,"1,368",482,135,256,97
2021,2,20,"4,088",399,119,86,53,46,65,33,105,193,109,88,"1,523",565,223,325,156
2021,2,30,"4,255",342,107,91,79,39,63,17,102,197,92,73,"1,728",549,169,425,182
2021,2,40,"5,657",526,129,149,109,70,85,26,142,188,166,81,"2,366",695,230,506,189
2021,2,50,"8,487",955,348,292,230,184,262,132,315,408,333,221,"2,653",874,407,550,323
2021,2,60,"9,418","1,155",507,485,356,273,398,133,500,539,520,408,"2,072",647,514,545,366
2021,2,70,"6,980",862,369,404,350,207,326,127,465,495,437,272,"1,087",483,397,410,289
2021,2,80,"4,725",552,263,288,285,202,226,103,295,369,351,199,700,255,237,205,195
2021,2,90,630,65,40,45,34,33,30,16,38,44,55,29,80,40,30,15,36
2021,2,100,31,3,3,1,0,1,5,1,0,3,2,0,4,4,1,2,1
2021,3,총,"50,264","5,243","1,994","1,979","1,555","1,118","1,531",614,"2,096","2,647","2,176","1,462","14,716","4,934","2,422","3,861","1,916"
2021,3,0,"2,793",196,52,43,28,24,36,6,56,123,43,42,"1,237",359,82,353,113
2021,3,10,"3,110",192,60,106,38,42,36,18,70,103,64,44,"1,353",478,138,278,90
2021,3,20,"4,066",404,116,83,50,47,64,34,105,189,110,89,"1,485",561,224,359,146
2021,3,30,"4,288",337,108,87,78,39,61,17,101,193,95,74,"1,703",550,170,494,181
2021,3,40,"5,682",525,131,150,107,66,84,26,142,191,163,82,"2,344",695,231,561,184
2021,3,50,"8,500",953,343,285,232,186,264,132,313,403,333,224,"2,633",872,396,608,323
2021,3,60,"9,454","1,150",512,489,356,271,398,133,503,539,527,405,"2,084",651,511,559,366
2021,3,70,"6,986",870,371,406,343,208,323,129,469,490,433,274,"1,087",474,404,420,285
2021,3,80,"4,746",549,263,282,289,198,231,103,298,373,352,199,708,256,239,211,195
2021,3,90,619,65,37,47,34,36,31,15,39,42,54,29,77,37,26,17,33
2021,3,100,20,2,1,1,0,1,3,1,0,1,2,0,5,1,1,1,0
2021,4,총,"50,313","5,243","1,982","1,978","1,548","1,114","1,530",621,"2,090","2,635","2,165","1,459","14,632","4,869","2,410","4,126","1,911"
2021,4,0,"2,799",197,50,45,27,24,38,7,54,121,42,43,"1,216",345,83,395,112
2021,4,10,"3,096",185,60,108,37,42,36,17,69,98,64,42,"1,343",475,135,297,88
2021,4,20,"4,062",406,115,82,51,49,62,37,99,189,104,88,"1,482",544,221,391,142
2021,4,30,"4,283",337,108,85,78,38,60,17,103,184,92,73,"1,679",534,172,544,179
2021,4,40,"5,669",524,130,153,105,65,85,26,138,194,157,82,"2,314",683,225,604,184
2021,4,50,"8,514",958,342,280,230,184,261,132,315,401,336,223,"2,610",867,398,653,324
2021,4,60,"9,499","1,144",509,494,356,269,403,137,502,541,531,403,"2,102",653,508,586,361
2021,4,70,"6,970",867,364,400,344,209,319,128,471,488,431,272,"1,091",471,400,427,288
2021,4,80,"4,773",559,267,282,284,197,228,104,302,377,352,205,710,258,240,210,198
2021,4,90,628,65,36,48,35,36,35,15,37,41,54,28,80,38,27,18,35
2021,4,100,20,1,1,1,1,1,3,1,0,1,2,0,5,1,1,1,0
2021,5,총,"50,147","5,215","1,958","1,961","1,527","1,117","1,520",612,"2,088","2,621","2,144","1,454","14,543","4,832","2,382","4,285","1,888"
2021,5,0,"2,796",198,46,46,31,24,39,7,54,116,41,42,"1,207",346,82,405,112
2021,5,10,"3,085",184,60,107,38,43,35,17,65,101,63,42,"1,327",465,135,320,83
2021,5,20,"4,073",407,110,81,46,51,63,37,102,191,104,88,"1,477",542,222,412,140
2021,5,30,"4,238",333,108,86,78,38,62,15,99,180,86,67,"1,649",522,165,573,177
2021,5,40,"5,625",517,130,150,102,65,80,26,134,195,153,80,"2,290",677,223,621,182
2021,5,50,"8,449",946,329,274,225,184,257,127,311,392,333,225,"2,576",862,394,691,323
2021,5,60,"9,487","1,139",504,489,352,271,402,134,506,544,526,400,"2,110",651,500,603,356
2021,5,70,"6,950",858,366,396,338,208,316,129,472,484,432,274,"1,104",468,394,428,283
2021,5,80,"4,791",567,267,282,283,195,228,104,306,376,351,207,716,260,239,212,198
2021,5,90,635,65,37,50,33,37,37,15,39,41,52,29,82,38,27,19,34
2021,5,100,18,1,1,0,1,1,1,1,0,1,3,0,5,1,1,1,0
2021,6,총,"50,132","5,197","1,950","1,959","1,518","1,116","1,519",615,"2,085","2,591","2,141","1,445","14,510","4,795","2,365","4,446","1,880"
2021,6,0,"2,792",198,46,45,30,23,39,7,53,111,44,43,"1,197",344,82,420,110
2021,6,10,"3,077",186,57,106,38,43,33,17,64,100,61,41,"1,324",455,134,332,86
2021,6,20,"4,059",400,112,81,46,50,65,37,101,186,100,88,"1,475",534,213,436,135
2021,6,30,"4,234",339,104,85,74,37,61,15,97,177,86,66,"1,639",524,163,594,173
2021,6,40,"5,609",506,131,149,101,65,79,25,135,189,153,78,"2,275",674,213,653,183
2021,6,50,"8,408",942,322,271,223,184,256,128,309,384,330,220,"2,565",845,393,712,324
2021,6,60,"9,539","1,134",505,494,351,271,405,136,508,546,529,402,"2,127",650,503,624,354
2021,6,70,"6,937",854,369,394,338,211,312,127,464,481,427,272,"1,106",470,394,436,282
2021,6,80,"4,824",572,265,284,281,194,232,107,315,375,357,206,716,261,241,218,200
2021,6,90,635,65,38,50,35,37,36,15,39,40,51,29,82,37,28,20,33
2021,6,100,18,1,1,0,1,1,1,1,0,2,3,0,4,1,1,1,0
2021,7,총,"50,037","5,159","1,933","1,957","1,509","1,121","1,519",616,"2,071","2,591","2,126","1,436","14,424","4,783","2,360","4,553","1,879"
2021,7,0,"2,762",184,45,43,30,24,40,7,52,114,44,43,"1,162",341,81,442,110
2021,7,10,"3,072",188,56,104,39,43,33,17,63,98,60,42,"1,314",453,132,342,88
2021,7,20,"4,029",395,109,83,41,51,64,35,98,179,94,83,"1,466",534,218,447,132
2021,7,30,"4,210",329,101,83,70,37,62,19,94,180,85,68,"1,614",520,163,614,171
2021,7,40,"5,591",501,130,150,103,66,80,25,131,189,152,79,"2,259",673,207,668,178
2021,7,50,"8,385",942,316,272,223,183,256,129,309,382,324,210,"2,569",836,388,724,322
2021,7,60,"9,571","1,130",508,495,349,273,406,134,506,547,530,403,"2,133",656,506,636,359
2021,7,70,"6,929",850,365,393,335,212,310,127,466,486,425,273,"1,108",466,392,438,283
2021,7,80,"4,832",572,265,285,283,193,231,107,314,375,358,206,711,268,243,219,202
2021,7,90,639,67,37,49,35,38,36,15,38,40,51,29,84,35,29,22,34
2021,7,100,17,1,1,0,1,1,1,1,0,1,3,0,4,1,1,1,0
2021,8,총,"50,086","5,141","1,935","1,950","1,507","1,115","1,519",615,"2,064","2,596","2,129","1,441","14,408","4,796","2,361","4,620","1,889"
2021,8,0,"2,766",180,45,43,27,23,42,7,52,115,44,45,"1,159",337,79,455,113
2021,8,10,"3,067",189,57,100,40,43,33,16,63,99,61,43,"1,308",455,132,340,88
2021,8,20,"4,046",392,114,87,42,50,57,37,98,171,98,84,"1,465",533,225,462,131
2021,8,30,"4,186",320,101,84,67,36,66,17,95,175,85,69,"1,604",519,157,618,173
2021,8,40,"5,584",497,126,142,102,65,80,26,128,192,151,80,"2,257",673,211,679,175
2021,8,50,"8,384",941,318,269,225,182,250,128,304,387,320,210,"2,557",849,386,734,324
2021,8,60,"9,593","1,127",503,498,349,268,409,135,503,551,528,402,"2,147",659,506,644,364
2021,8,70,"6,956",852,368,392,338,214,308,125,470,489,428,275,"1,113",465,390,444,285
2021,8,80,"4,832",573,264,284,279,193,234,108,314,375,359,205,709,269,244,221,201
2021,8,90,655,69,38,51,37,40,39,15,36,41,53,28,85,36,30,22,35
2021,8,100,17,1,1,0,1,1,1,1,1,1,2,0,4,1,1,1,0
2021,9,총,"50,022","5,105","1,932","1,930","1,505","1,109","1,526",612,"2,063","2,595","2,121","1,450","14,372","4,795","2,346","4,684","1,877"
2021,9,0,"2,749",174,42,42,26,23,43,7,52,114,42,45,"1,156",337,77,454,115
2021,9,10,"3,052",186,58,98,40,42,32,16,64,100,61,42,"1,291",458,127,352,85
2021,9,20,"3,990",378,108,82,45,48,58,35,96,167,94,89,"1,449",535,219,463,124
2021,9,30,"4,184",320,102,85,64,36,68,16,93,173,83,69,"1,606",513,158,628,170
2021,9,40,"5,562",484,127,138,99,63,84,25,128,192,152,83,"2,245",669,201,699,173
2021,9,50,"8,357",940,319,262,225,178,249,126,305,383,315,211,"2,546",848,384,740,326
2021,9,60,"9,637","1,123",505,498,350,272,408,137,502,556,530,400,"2,157",670,508,658,363
2021,9,70,"6,945",850,365,393,336,212,307,125,466,493,425,276,"1,118",462,389,444,284
2021,9,80,"4,858",580,266,284,282,191,236,109,317,371,363,204,713,267,251,221,203
2021,9,90,671,69,39,48,37,43,40,15,39,45,54,31,87,35,31,24,34
2021,9,100,17,1,1,0,1,1,1,1,1,1,2,0,4,1,1,1,0
2021,10,총,"50,006","5,089","1,931","1,919","1,498","1,106","1,516",606,"2,056","2,603","2,118","1,456","14,339","4,836","2,332","4,717","1,884"
2021,10,0,"2,759",172,44,43,28,24,42,7,49,119,42,46,"1,152",353,73,448,117
2021,10,10,"3,029",186,59,95,38,41,30,15,61,101,60,41,"1,281",454,127,355,85
2021,10,20,"3,972",379,106,78,45,46,56,35,101,163,97,90,"1,437",535,215,467,122
2021,10,30,"4,179",308,102,86,62,35,69,16,92,174,82,73,"1,596",527,154,634,169
2021,10,40,"5,526",478,124,135,98,61,76,23,126,194,148,82,"2,243",668,201,695,174
2021,10,50,"8,376",937,317,260,226,180,252,127,302,387,314,210,"2,543",853,383,758,327
2021,10,60,"9,660","1,128",505,501,351,272,407,137,496,555,530,403,"2,159",675,505,670,366
2021,10,70,"6,942",850,365,391,330,210,310,120,468,491,425,273,"1,125",462,392,448,282
2021,10,80,"4,868",581,268,283,282,191,235,110,320,372,365,206,710,272,248,219,206
2021,10,90,678,69,40,47,37,45,38,15,40,45,53,32,89,36,33,23,36
2021,10,100,17,1,1,0,1,1,1,1,1,2,2,0,4,1,1,0,0
2021,11,총,"50,043","5,095","1,934","1,919","1,505","1,100","1,512",605,"2,058","2,600","2,113","1,461","14,329","4,826","2,316","4,783","1,887"
2021,11,0,"2,734",170,45,43,27,23,44,7,47,121,39,44,"1,138",351,73,447,115
2021,11,10,"3,049",188,59,94,37,40,29,15,63,104,60,41,"1,276",461,124,369,89
2021,11,20,"3,957",376,108,77,48,47,55,33,99,158,101,93,"1,434",520,212,476,120
2021,11,30,"4,194",312,102,86,61,35,69,19,93,174,80,76,"1,605",523,146,646,167
2021,11,40,"5,518",475,120,137,98,61,75,22,128,194,146,83,"2,230",670,205,699,175
2021,11,50,"8,378",934,318,256,232,177,253,122,307,385,317,211,"2,543",851,380,763,329
2021,11,60,"9,709","1,134",505,505,352,270,407,140,493,558,528,401,"2,175",679,503,688,371
2021,11,70,"6,929",845,368,388,329,211,306,119,467,488,422,277,"1,122",466,392,452,277
2021,11,80,"4,880",587,269,284,285,192,236,113,320,370,363,204,711,270,247,220,209
2021,11,90,680,73,39,49,35,43,37,15,39,46,55,31,92,35,33,23,35
2021,11,100,15,1,1,0,1,1,1,0,2,2,2,0,3,0,1,0,0
2021,12,총,"50,151","5,076","1,935","1,910","1,523","1,098","1,534",608,"2,058","2,587","2,121","1,479","14,330","4,833","2,341","4,828","1,890"
2021,12,0,"2,716",169,45,43,27,23,43,7,47,114,39,41,"1,124",349,71,456,118
2021,12,10,"3,057",184,60,90,37,41,32,16,60,107,57,42,"1,272",457,138,376,88
