년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2020,7,10,"28,993","1,598","2,482","1,667","2,005",932,"1,138","1,955","1,781","1,276","1,000","1,348","1,645",828,"1,499","3,579","4,260"
2020,7,20,"61,779","3,063","6,681","3,072","2,288","3,276","1,803","3,537","4,688","5,899","3,585","3,539","2,843","3,193","3,196","6,802","4,314"
2020,7,30,"65,173","5,141","6,624","3,661","3,758","2,317","1,940","3,834","4,230","5,234","3,793","4,018","3,001","3,182","3,479","6,877","4,084"
2020,7,40,"61,826","4,014","5,822","3,287","4,411","2,102","2,184","3,960","4,111","3,753","2,680","3,296","3,321","2,385","3,422","6,746","6,332"
2020,7,50,"54,299","3,746","6,673","3,536","2,945","2,018","1,775","3,542","3,684","3,078","2,399","2,995","2,799","2,039","2,824","5,780","4,466"
2020,7,60,"38,913","2,611","4,440","2,634","2,107","1,429","1,155","2,433","2,383","2,263","1,912","2,425","2,155","1,701","2,166","4,160","2,939"
2020,7,70,"24,544","1,226","2,733","1,584","1,284",915,836,"1,542","1,404","1,563","1,238","1,621","1,455","1,123","1,361","2,909","1,750"
2020,7,80,"10,847",646,"1,246",843,626,426,379,650,662,737,526,620,526,516,528,"1,129",787
2020,7,90,"1,616",103,166,143,81,84,46,107,95,128,82,84,70,83,61,178,105
2020,7,100,327,52,40,27,10,24,12,18,15,27,17,6,16,18,14,14,17
2020,8,총,"373,620","24,906","39,094","21,907","21,814","14,304","12,175","23,297","24,940","24,981","18,430","20,991","19,060","15,726","19,563","40,750","31,682"
2020,8,0,"25,586","2,685","2,331","1,534","2,299",676,931,"1,718","1,937",862,"1,212","1,131","1,231",664,"1,042","2,643","2,690"
2020,8,10,"28,812","1,603","2,436","1,644","2,007",926,"1,134","1,942","1,772","1,260",992,"1,335","1,640",837,"1,505","3,553","4,226"
2020,8,20,"61,939","3,054","6,674","3,040","2,273","3,331","1,822","3,551","4,665","6,009","3,600","3,525","2,854","3,224","3,180","6,812","4,325"
2020,8,30,"65,008","5,116","6,603","3,656","3,753","2,341","1,926","3,828","4,214","5,295","3,780","3,990","2,985","3,145","3,458","6,843","4,075"
2020,8,40,"61,604","4,043","5,775","3,256","4,408","2,100","2,174","3,937","4,098","3,733","2,673","3,291","3,301","2,376","3,412","6,722","6,305"
2020,8,50,"54,235","3,743","6,612","3,534","2,954","2,028","1,762","3,558","3,677","3,094","2,391","2,977","2,815","2,040","2,834","5,765","4,451"
2020,8,60,"39,064","2,639","4,471","2,651","2,118","1,451","1,155","2,433","2,390","2,272","1,919","2,402","2,160","1,704","2,167","4,173","2,959"
2020,8,70,"24,484","1,218","2,714","1,572","1,282",914,829,"1,541","1,414","1,562","1,235","1,623","1,453","1,113","1,361","2,908","1,745"
2020,8,80,"10,924",647,"1,267",848,627,430,382,661,663,738,529,625,535,520,530,"1,138",784
2020,8,90,"1,634",106,171,145,83,83,48,110,94,129,82,85,69,85,60,179,105
2020,8,100,330,52,40,27,10,24,12,18,16,27,17,7,17,18,14,14,17
2020,9,총,"373,508","25,342","38,785","21,854","21,835","14,340","12,128","23,267","24,912","25,129","18,394","20,941","19,054","15,702","19,546","40,645","31,634"
2020,9,0,"25,473","2,756","2,299","1,524","2,297",669,929,"1,712","1,936",859,"1,190","1,120","1,218",647,"1,035","2,617","2,665"
2020,9,10,"28,679","1,636","2,394","1,644","2,009",917,"1,138","1,929","1,755","1,259",975,"1,330","1,616",837,"1,500","3,531","4,209"
2020,9,20,"62,144","3,129","6,622","3,012","2,271","3,351","1,816","3,552","4,678","6,105","3,614","3,515","2,907","3,241","3,203","6,800","4,328"
2020,9,30,"64,951","5,150","6,584","3,668","3,770","2,351","1,912","3,798","4,220","5,318","3,769","3,986","2,951","3,144","3,438","6,821","4,071"
2020,9,40,"61,454","4,133","5,712","3,248","4,422","2,098","2,157","3,934","4,054","3,734","2,675","3,278","3,294","2,357","3,389","6,684","6,285"
2020,9,50,"54,242","3,827","6,555","3,509","2,942","2,029","1,763","3,556","3,677","3,111","2,386","2,963","2,812","2,040","2,849","5,762","4,461"
2020,9,60,"39,173","2,680","4,447","2,663","2,119","1,468","1,149","2,445","2,408","2,278","1,918","2,398","2,167","1,707","2,173","4,190","2,963"
2020,9,70,"24,423","1,212","2,688","1,568","1,281",909,815,"1,554","1,409","1,563","1,232","1,626","1,455","1,113","1,349","2,899","1,750"
2020,9,80,"10,970",656,"1,276",843,629,438,387,654,665,739,533,632,546,514,534,"1,146",778
2020,9,90,"1,664",111,169,148,85,85,50,113,94,136,83,86,70,84,62,181,107
2020,9,100,335,52,39,27,10,25,12,20,16,27,19,7,18,18,14,14,17
2020,10,총,"372,905","25,550","38,506","21,806","21,805","14,378","12,075","23,263","24,814","25,175","18,314","20,854","19,085","15,672","19,475","40,575","31,558"
2020,10,0,"25,247","2,788","2,280","1,508","2,268",669,914,"1,707","1,904",851,"1,161","1,097","1,214",641,"1,010","2,598","2,637"
