년도,월,나이,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020,3,30,"2,373","1,549",272,57,116,115,111,104,49
2020,3,40,"3,366","2,100",452,89,146,174,193,157,55
2020,3,50,"5,210","2,430",727,220,382,466,461,359,165
2020,3,60,"6,057","2,140","1,003",271,486,702,674,501,280
2020,3,70,"4,583","1,473",755,252,389,515,559,405,235
2020,3,80,"2,867",867,387,164,264,315,378,301,191
2020,3,90,468,133,73,21,40,48,57,60,36
2020,3,100,19,4,9,0,0,3,1,0,2
2020,4,총,"30,869","14,533","4,347","1,239","2,128","2,615","2,700","2,168","1,139"
2020,4,0,"1,614","1,125",168,39,73,69,53,66,21
2020,4,10,"2,171","1,430",256,74,84,87,105,89,46
2020,4,20,"2,136","1,278",242,50,146,112,115,135,58
2020,4,30,"2,348","1,534",270,57,114,117,109,99,48
2020,4,40,"3,374","2,102",453,92,149,175,192,155,56
2020,4,50,"5,191","2,434",728,216,378,460,457,356,162
2020,4,60,"6,066","2,143","1,004",273,488,709,672,496,281
2020,4,70,"4,597","1,483",757,252,388,515,563,404,235
2020,4,80,"2,885",869,387,165,268,318,377,307,194
2020,4,90,467,131,73,21,40,50,56,60,36
2020,4,100,20,4,9,0,0,3,1,1,2
2020,5,총,"30,839","14,547","4,341","1,240","2,117","2,607","2,696","2,150","1,141"
2020,5,0,"1,612","1,133",170,40,71,63,53,60,22
2020,5,10,"2,159","1,428",253,74,83,86,100,89,46
2020,5,20,"2,118","1,267",244,49,142,112,114,132,58
2020,5,30,"2,341","1,537",268,57,112,112,108,100,47
2020,5,40,"3,366","2,112",445,90,147,177,189,148,58
2020,5,50,"5,174","2,423",732,212,370,461,463,350,163
2020,5,60,"6,081","2,153","1,005",277,497,701,669,500,279
2020,5,70,"4,612","1,487",755,253,388,521,564,407,237
2020,5,80,"2,893",871,386,167,268,320,381,307,193
2020,5,90,463,132,74,21,39,51,54,56,36
2020,5,100,20,4,9,0,0,3,1,1,2
2020,6,총,"30,883","14,541","4,364","1,240","2,125","2,604","2,710","2,161","1,138"
2020,6,0,"1,614","1,131",170,42,71,65,54,60,21
2020,6,10,"2,166","1,422",268,74,82,86,99,89,46
2020,6,20,"2,114","1,263",245,46,142,110,116,133,59
2020,6,30,"2,328","1,533",264,59,110,109,105,101,47
2020,6,40,"3,378","2,114",453,91,150,174,192,147,57
2020,6,50,"5,159","2,405",729,211,374,458,463,357,162
2020,6,60,"6,119","2,171","1,012",275,498,701,680,503,279
2020,6,70,"4,621","1,493",748,254,390,524,565,410,237
2020,6,80,"2,896",875,391,167,269,322,381,300,191
2020,6,90,468,130,75,21,39,52,54,60,37
2020,6,100,20,4,9,0,0,3,1,1,2
2020,7,총,"30,893","14,547","4,355","1,243","2,116","2,616","2,711","2,168","1,137"
2020,7,0,"1,597","1,112",166,42,72,67,52,62,24
2020,7,10,"2,174","1,429",268,75,80,88,99,88,47
2020,7,20,"2,091","1,252",241,45,138,109,117,132,57
2020,7,30,"2,323","1,522",264,60,109,110,106,103,49
2020,7,40,"3,389","2,117",455,93,150,170,196,151,57
2020,7,50,"5,174","2,416",726,215,377,460,463,355,162
2020,7,60,"6,124","2,173","1,012",276,498,706,680,507,272
2020,7,70,"4,641","1,513",754,251,385,526,563,410,239
2020,7,80,"2,883",874,385,165,266,322,380,301,190
2020,7,90,477,135,75,21,41,55,54,58,38
2020,7,100,20,4,9,0,0,3,1,1,2
2020,8,총,"30,908","14,582","4,364","1,236","2,108","2,619","2,707","2,160","1,132"
2020,8,0,"1,602","1,121",167,42,70,67,51,62,22
2020,8,10,"2,165","1,426",269,75,80,86,96,84,49
2020,8,20,"2,081","1,253",242,44,131,110,115,130,56
2020,8,30,"2,313","1,521",262,57,111,111,104,99,48
2020,8,40,"3,381","2,108",454,93,150,172,192,154,58
2020,8,50,"5,177","2,422",733,208,375,462,465,352,160
2020,8,60,"6,145","2,190","1,008",280,497,710,680,508,272
2020,8,70,"4,657","1,524",760,251,388,523,565,409,237
2020,8,80,"2,882",878,384,165,263,320,379,303,190
2020,8,90,484,134,76,21,43,55,59,58,38
2020,8,100,21,5,9,0,0,3,1,1,2
2020,9,총,"30,938","14,597","4,380","1,241","2,097","2,621","2,711","2,161","1,130"
2020,9,0,"1,596","1,119",166,42,69,67,51,60,22
2020,9,10,"2,170","1,423",278,74,77,86,97,86,49
2020,9,20,"2,084","1,260",246,42,134,109,113,125,55
2020,9,30,"2,291","1,503",258,60,108,111,106,97,48
2020,9,40,"3,378","2,117",451,95,145,167,189,155,59
2020,9,50,"5,170","2,422",727,209,369,459,467,358,159
2020,9,60,"6,186","2,206","1,028",282,497,713,681,507,272
2020,9,70,"4,656","1,521",752,248,392,530,565,410,238
2020,9,80,"2,895",889,388,167,259,317,382,305,188
2020,9,90,491,132,77,22,47,59,59,57,38
2020,9,100,21,5,9,0,0,3,1,1,2
2020,10,총,"30,961","14,632","4,378","1,243","2,093","2,619","2,708","2,160","1,128"
2020,10,0,"1,600","1,129",163,43,67,67,51,58,22
2020,10,10,"2,162","1,417",278,75,78,84,93,88,49
2020,10,20,"2,096","1,274",252,39,131,110,116,118,56
2020,10,30,"2,285","1,500",253,61,108,108,108,100,47
2020,10,40,"3,370","2,116",451,95,141,168,184,157,58
2020,10,50,"5,166","2,433",725,205,365,456,464,359,159
2020,10,60,"6,206","2,212","1,025",286,506,717,684,506,270
2020,10,70,"4,660","1,528",753,249,388,530,565,409,238
2020,10,80,"2,904",892,390,168,262,315,380,307,190
2020,10,90,491,126,79,22,47,61,62,57,37
2020,10,100,21,5,9,0,0,3,1,1,2
2020,11,총,"30,918","14,618","4,368","1,244","2,079","2,612","2,709","2,161","1,127"
2020,11,0,"1,583","1,117",159,43,64,67,52,60,21
2020,11,10,"2,152","1,411",278,75,77,84,92,88,47
2020,11,20,"2,080","1,260",247,39,133,112,113,119,57
2020,11,30,"2,268","1,495",253,60,101,106,109,99,45
2020,11,40,"3,361","2,115",443,96,143,164,183,160,57
2020,11,50,"5,162","2,433",731,205,358,455,466,355,159
2020,11,60,"6,231","2,226","1,028",285,508,713,687,510,274
2020,11,70,"4,670","1,539",754,251,387,534,562,405,238
2020,11,80,"2,901",893,387,168,262,314,382,305,190
2020,11,90,489,124,79,22,46,60,62,59,37
2020,11,100,21,5,9,0,0,3,1,1,2
2020,12,총,"30,843","14,610","4,335","1,242","2,082","2,599","2,698","2,152","1,125"
2020,12,0,"1,575","1,118",157,44,64,64,49,59,20
2020,12,10,"2,124","1,403",262,75,75,85,92,85,47
2020,12,20,"2,067","1,260",238,40,140,107,112,115,55
2020,12,30,"2,252","1,487",251,58,99,109,107,97,44
2020,12,40,"3,350","2,111",441,97,138,166,181,159,57
2020,12,50,"5,164","2,435",723,203,366,452,463,361,161
2020,12,60,"6,238","2,241","1,029",285,506,711,687,504,275
2020,12,70,"4,668","1,535",763,249,386,530,564,405,236
2020,12,80,"2,895",894,381,169,261,312,380,307,191
2020,12,90,489,121,81,22,47,60,62,59,37
2020,12,100,21,5,9,0,0,3,1,1,2
2021,1,총,"30,776","14,601","4,315","1,236","2,072","2,592","2,693","2,149","1,118"
2021,1,0,"1,558","1,108",154,45,63,60,49,59,20
2021,1,10,"2,112","1,406",253,73,74,85,90,82,49
2021,1,20,"2,027","1,241",228,36,137,106,114,113,52
2021,1,30,"2,247","1,485",261,57,97,105,104,94,44
2021,1,40,"3,342","2,111",434,99,138,166,177,161,56
2021,1,50,"5,139","2,434",718,198,363,450,457,360,159
2021,1,60,"6,256","2,255","1,021",287,505,712,696,504,276
2021,1,70,"4,676","1,530",771,249,389,535,563,406,233
2021,1,80,"2,904",904,383,170,260,308,381,308,190
2021,1,90,494,122,83,22,46,62,61,61,37
2021,1,100,21,5,9,0,0,3,1,1,2
2021,2,총,"30,723","14,570","4,302","1,233","2,069","2,603","2,689","2,140","1,117"
2021,2,0,"1,530","1,094",147,43,62,59,48,57,20
2021,2,10,"2,111","1,405",252,77,71,90,86,81,49
2021,2,20,"2,007","1,225",221,36,139,103,119,113,51
2021,2,30,"2,208","1,462",254,54,96,108,99,93,42
2021,2,40,"3,348","2,108",435,99,139,166,185,159,57
2021,2,50,"5,116","2,430",719,197,357,448,448,358,159
2021,2,60,"6,300","2,276","1,026",287,512,720,694,506,279
2021,2,70,"4,657","1,531",766,246,387,535,562,398,232
2021,2,80,"2,922",911,386,172,260,307,385,311,190
2021,2,90,502,123,87,21,46,64,62,63,36
2021,2,100,22,5,9,1,0,3,1,1,2
2021,3,총,"30,669","14,536","4,291","1,232","2,073","2,605","2,693","2,120","1,119"
2021,3,0,"1,509","1,070",151,43,64,59,48,54,20
2021,3,10,"2,109","1,411",245,77,74,91,85,78,48
2021,3,20,"1,990","1,220",217,35,138,102,116,109,53
2021,3,30,"2,197","1,455",257,53,96,108,97,90,41
2021,3,40,"3,324","2,090",426,100,141,167,188,152,60
2021,3,50,"5,077","2,410",716,193,351,451,444,353,159
2021,3,60,"6,345","2,297","1,034",294,515,721,699,509,276
2021,3,70,"4,651","1,539",761,239,382,530,568,400,232
2021,3,80,"2,939",911,388,177,267,309,384,309,194
2021,3,90,513,130,90,20,45,64,64,65,35
2021,3,100,15,3,6,1,0,3,0,1,1
2021,4,총,"30,674","14,529","4,304","1,226","2,075","2,622","2,696","2,112","1,110"
2021,4,0,"1,496","1,055",151,44,65,63,47,51,20
2021,4,10,"2,094","1,397",245,73,75,95,85,78,46
2021,4,20,"1,988","1,235",216,35,134,97,112,108,51
2021,4,30,"2,194","1,447",258,53,98,104,105,87,42
2021,4,40,"3,318","2,079",428,99,145,168,187,152,60
2021,4,50,"5,063","2,411",717,186,349,455,442,350,153
2021,4,60,"6,400","2,315","1,043",296,519,730,707,512,278
2021,4,70,"4,641","1,540",759,242,374,533,562,401,230
2021,4,80,"2,949",911,391,177,271,312,387,306,194
2021,4,90,516,136,90,20,45,62,62,66,35
2021,4,100,15,3,6,1,0,3,0,1,1
2021,5,총,"30,669","14,533","4,317","1,219","2,072","2,623","2,684","2,117","1,104"
2021,5,0,"1,494","1,051",154,42,63,65,47,51,21
2021,5,10,"2,076","1,388",245,72,74,92,82,78,45
2021,5,20,"1,996","1,240",220,35,132,98,113,109,49
2021,5,30,"2,183","1,439",260,51,98,105,100,89,41
2021,5,40,"3,307","2,074",423,99,147,166,186,152,60
2021,5,50,"5,010","2,401",713,184,345,447,432,341,147
2021,5,60,"6,449","2,335","1,047",293,522,737,711,523,281
2021,5,70,"4,664","1,548",765,246,375,532,567,402,229
2021,5,80,"2,957",916,392,178,271,317,383,305,195
2021,5,90,517,137,92,18,45,61,63,66,35
2021,5,100,16,4,6,1,0,3,0,1,1
2021,6,총,"30,690","14,562","4,300","1,215","2,076","2,628","2,705","2,116","1,088"
2021,6,0,"1,481","1,047",152,42,62,64,45,51,18
2021,6,10,"2,065","1,384",244,71,72,90,87,74,43
2021,6,20,"1,997","1,242",219,35,132,97,115,106,51
2021,6,30,"2,172","1,433",257,50,101,104,98,90,39
2021,6,40,"3,316","2,079",424,97,149,167,189,152,59
2021,6,50,"4,988","2,398",707,183,341,449,432,338,140
2021,6,60,"6,499","2,360","1,047",293,526,744,722,531,276
2021,6,70,"4,680","1,560",762,246,376,535,568,401,232
2021,6,80,"2,953",916,391,179,272,313,384,305,193
2021,6,90,524,139,92,18,45,62,65,67,36
2021,6,100,15,4,5,1,0,3,0,1,1
2021,7,총,"30,735","14,561","4,315","1,214","2,081","2,643","2,715","2,117","1,089"
2021,7,0,"1,473","1,039",151,41,63,63,45,51,20
2021,7,10,"2,084","1,382",266,69,73,91,88,74,41
2021,7,20,"2,005","1,243",224,36,129,99,116,108,50
2021,7,30,"2,162","1,431",250,50,101,103,100,88,39
2021,7,40,"3,292","2,062",423,95,149,167,187,151,58
2021,7,50,"4,984","2,412",701,182,338,450,431,330,140
2021,7,60,"6,539","2,365","1,045",296,533,752,726,542,280
2021,7,70,"4,679","1,561",763,245,377,534,568,400,231
2021,7,80,"2,980",925,397,180,273,319,390,303,193
2021,7,90,524,138,91,19,45,62,64,69,36
2021,7,100,13,3,4,1,0,3,0,1,1
2021,8,총,"30,698","14,558","4,314","1,212","2,072","2,639","2,708","2,111","1,084"
2021,8,0,"1,465","1,030",152,41,63,62,44,53,20
2021,8,10,"2,095","1,387",278,67,70,92,89,74,38
2021,8,20,"1,984","1,233",219,37,126,99,116,103,51
2021,8,30,"2,146","1,422",250,50,98,102,98,87,39
2021,8,40,"3,286","2,067",421,94,153,163,187,146,55
2021,8,50,"4,952","2,399",695,183,333,446,423,334,139
2021,8,60,"6,572","2,389","1,043",295,535,754,732,542,282
2021,8,70,"4,667","1,563",763,243,379,528,564,397,230
2021,8,80,"2,996",926,400,181,269,329,394,305,192
2021,8,90,522,139,89,20,46,61,61,69,37
2021,8,100,13,3,4,1,0,3,0,1,1
2021,9,총,"30,654","14,551","4,311","1,208","2,058","2,629","2,700","2,113","1,084"
2021,9,0,"1,459","1,023",155,41,60,61,44,53,22
2021,9,10,"2,084","1,392",268,68,68,92,87,72,37
2021,9,20,"1,967","1,226",218,37,117,100,115,102,52
2021,9,30,"2,121","1,411",245,52,98,93,95,86,41
2021,9,40,"3,281","2,066",420,90,153,166,185,146,55
2021,9,50,"4,926","2,392",695,181,329,442,419,332,136
2021,9,60,"6,598","2,401","1,045",294,538,757,734,544,285
2021,9,70,"4,653","1,560",761,243,377,522,564,399,227
2021,9,80,"3,023",937,408,182,270,331,396,307,192
2021,9,90,528,140,92,19,48,62,61,70,36
2021,9,100,14,3,4,1,0,3,0,2,1
2021,10,총,"30,630","14,577","4,297","1,209","2,044","2,621","2,693","2,107","1,082"
2021,10,0,"1,443","1,016",153,42,59,59,43,52,19
2021,10,10,"2,083","1,396",265,69,67,93,83,73,37
2021,10,20,"1,956","1,227",218,37,112,96,114,100,52
2021,10,30,"2,133","1,425",247,50,98,95,92,85,41
2021,10,40,"3,267","2,072",414,90,151,162,182,142,54
2021,10,50,"4,911","2,385",689,183,328,436,418,335,137
2021,10,60,"6,595","2,407","1,048",291,533,758,733,541,284
2021,10,70,"4,662","1,566",760,244,377,524,568,397,226
2021,10,80,"3,028",941,408,182,267,334,396,308,192
2021,10,90,540,139,93,20,52,61,64,72,39
2021,10,100,12,3,2,1,0,3,0,2,1
2021,11,총,"30,542","14,571","4,256","1,209","2,040","2,597","2,687","2,109","1,073"
2021,11,0,"1,433","1,017",148,42,58,57,41,51,19
2021,11,10,"2,062","1,393",253,71,66,90,81,72,36
2021,11,20,"1,952","1,232",212,37,114,93,111,101,52
2021,11,30,"2,123","1,423",241,50,95,94,95,85,40
2021,11,40,"3,240","2,057",408,88,152,159,182,143,51
2021,11,50,"4,891","2,382",684,183,328,431,413,336,134
2021,11,60,"6,599","2,407","1,048",292,534,756,739,535,288
2021,11,70,"4,651","1,575",758,242,374,520,565,398,219
2021,11,80,"3,034",938,411,181,264,335,397,314,194
2021,11,90,547,145,91,22,55,59,63,72,40
2021,11,100,10,2,2,1,0,3,0,2,0
2021,12,총,"30,493","14,536","4,240","1,212","2,036","2,605","2,677","2,120","1,067"
2021,12,0,"1,406",998,140,42,60,57,40,50,19
2021,12,10,"2,057","1,398",249,70,66,86,77,74,37
2021,12,20,"1,938","1,221",208,38,111,93,113,105,49
2021,12,30,"2,095","1,414",233,50,91,92,92,85,38
2021,12,40,"3,240","2,049",412,88,154,159,187,140,51
2021,12,50,"4,905","2,389",684,182,327,439,412,339,133
2021,12,60,"6,596","2,406","1,050",290,532,761,737,537,283
2021,12,70,"4,627","1,566",756,243,366,516,561,400,219
2021,12,80,"3,066",947,414,184,274,338,396,314,199
2021,12,90,553,146,92,24,55,61,62,74,39
2021,12,100,10,2,2,1,0,3,0,2,0
