년도,월,나이,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2020,9,40,"23,843",418,429,"3,626","1,112","1,268","2,226","2,773",158,"1,801",217,179,"3,946","4,909",781
2020,9,50,"20,885",661,608,"3,788","1,556","1,801","2,145","1,964",270,"1,500",316,326,"2,377","2,954",619
2020,9,60,"17,589",696,529,"3,498","1,372","1,717","1,773","1,264",244,906,357,315,"1,903","2,514",501
2020,9,70,"7,924",315,287,"1,717",614,784,897,450,133,272,207,139,765,"1,134",210
2020,9,80,"3,612",180,129,687,253,370,394,254,70,116,122,84,354,483,116
2020,9,90,764,35,24,136,46,86,75,86,11,28,29,8,78,107,15
2020,9,100,90,6,4,10,10,6,8,19,5,3,5,2,2,5,5
2020,10,총,"143,755","3,531","3,233","23,086","8,075","9,682","12,900","15,259","1,307","9,819","1,793","1,593","23,557","24,451","5,469"
2020,10,0,"14,658",182,158,"1,934",482,530,"1,010","2,323",46,"1,299",66,80,"2,396","3,389",763
2020,10,10,"12,095",196,204,"1,875",527,626,"1,251","1,423",74,969,92,90,"1,889","2,506",373
2020,10,20,"17,407",427,449,"2,538","1,015","1,162","1,425","1,642",149,"1,100",218,204,"4,417","2,028",633
2020,10,30,"24,410",423,419,"3,294","1,084","1,347","1,677","3,035",149,"1,818",165,172,"5,191","4,396","1,240"
2020,10,40,"24,001",418,432,"3,615","1,106","1,265","2,229","2,766",158,"1,819",218,176,"4,052","4,927",820
2020,10,50,"20,931",656,596,"3,765","1,555","1,783","2,139","1,973",269,"1,494",317,324,"2,442","2,950",668
2020,10,60,"17,796",699,530,"3,506","1,377","1,730","1,795","1,286",246,906,359,315,"1,942","2,530",575
2020,10,70,"7,971",313,285,"1,724",621,776,892,450,131,268,206,140,791,"1,131",243
2020,10,80,"3,626",174,131,689,251,370,397,253,69,119,117,81,357,488,130
2020,10,90,769,37,25,136,47,87,76,88,11,25,30,9,78,101,19
2020,10,100,91,6,4,10,10,6,9,20,5,2,5,2,2,5,5
2020,11,총,"144,820","3,523","3,229","23,008","8,066","9,653","12,890","15,253","1,293","9,827","1,786","1,589","23,997","24,465","6,241"
2020,11,0,"14,684",181,151,"1,907",477,528,"1,010","2,310",45,"1,301",65,82,"2,397","3,379",851
2020,11,10,"12,168",191,202,"1,866",530,612,"1,249","1,430",71,971,90,83,"1,909","2,517",447
2020,11,20,"17,646",422,451,"2,512","1,003","1,158","1,417","1,640",152,"1,102",221,203,"4,585","2,042",738
2020,11,30,"24,528",427,418,"3,286","1,090","1,338","1,669","3,011",148,"1,803",163,177,"5,297","4,347","1,354"
2020,11,40,"24,233",418,429,"3,581","1,106","1,248","2,235","2,789",155,"1,831",216,174,"4,136","4,967",948
2020,11,50,"21,031",645,597,"3,766","1,540","1,781","2,139","1,957",272,"1,491",317,321,"2,466","2,944",795
2020,11,60,"17,970",714,534,"3,520","1,386","1,746","1,786","1,294",240,916,356,315,"1,975","2,541",647
2020,11,70,"8,052",313,288,"1,730",624,778,902,461,127,266,206,140,803,"1,132",282
2020,11,80,"3,648",167,131,693,253,371,398,254,69,121,117,82,348,491,153
2020,11,90,769,39,24,137,47,87,76,87,10,23,30,10,79,100,20
2020,11,100,91,6,4,10,10,6,9,20,4,2,5,2,2,5,6
2020,12,총,"146,028","3,515","3,230","22,994","8,078","9,648","12,912","15,237","1,286","9,842","1,774","1,600","24,475","24,456","6,981"
2020,12,0,"14,756",179,151,"1,909",485,521,"1,012","2,313",40,"1,309",61,84,"2,407","3,351",934
2020,12,10,"12,304",191,194,"1,859",523,600,"1,255","1,427",73,981,88,83,"1,941","2,539",550
2020,12,20,"17,872",424,456,"2,492","1,005","1,154","1,428","1,640",149,"1,106",219,208,"4,738","2,027",826
2020,12,30,"24,703",423,423,"3,279","1,092","1,342","1,657","2,990",143,"1,800",164,180,"5,420","4,332","1,458"
2020,12,40,"24,424",412,428,"3,577","1,088","1,240","2,229","2,785",157,"1,829",214,174,"4,213","4,969","1,109"
2020,12,50,"21,171",650,591,"3,740","1,547","1,778","2,136","1,965",269,"1,481",315,322,"2,515","2,945",917
2020,12,60,"18,145",715,539,"3,544","1,406","1,754","1,809","1,300",244,923,355,314,"1,992","2,546",704
2020,12,70,"8,102",313,289,"1,744",621,785,900,455,127,266,205,141,818,"1,147",291
2020,12,80,"3,683",163,129,703,255,381,399,257,69,121,118,82,346,495,165
2020,12,90,777,39,26,137,46,87,78,85,11,24,30,10,83,100,21
2020,12,100,91,6,4,10,10,6,9,20,4,2,5,2,2,5,6
2021,1,총,"146,893","3,505","3,256","22,958","8,050","9,631","12,926","15,245","1,278","9,851","1,780","1,588","24,757","24,488","7,580"
2021,1,0,"14,727",172,154,"1,875",487,528,"1,007","2,285",38,"1,291",62,84,"2,392","3,319","1,033"
2021,1,10,"12,445",192,195,"1,866",520,589,"1,252","1,439",74,998,87,81,"1,960","2,561",631
2021,1,20,"17,999",420,457,"2,495",995,"1,141","1,436","1,638",146,"1,087",218,205,"4,850","2,028",883
2021,1,30,"24,734",419,434,"3,247","1,084","1,337","1,656","2,956",142,"1,787",170,184,"5,458","4,279","1,581"
2021,1,40,"24,695",408,422,"3,578","1,084","1,242","2,226","2,834",157,"1,863",212,172,"4,264","5,011","1,222"
2021,1,50,"21,230",649,607,"3,731","1,529","1,765","2,136","1,960",268,"1,475",316,310,"2,548","2,955",981
2021,1,60,"18,293",725,535,"3,561","1,411","1,760","1,823","1,312",237,931,356,316,"2,025","2,567",734
2021,1,70,"8,191",316,292,"1,750",627,796,904,457,132,274,207,142,826,"1,160",308
2021,1,80,"3,705",161,128,706,257,379,399,260,69,121,118,82,347,502,176
2021,1,90,785,37,28,139,46,88,79,85,11,22,29,10,85,101,25
2021,1,100,89,6,4,10,10,6,8,19,4,2,5,2,2,5,6
2021,2,총,"148,410","3,493","3,244","22,942","8,007","9,617","12,872","15,177","1,274","10,172","1,776","1,588","24,965","24,413","8,870"
2021,2,0,"14,794",177,154,"1,852",484,534,991,"2,239",39,"1,310",59,80,"2,376","3,290","1,209"
2021,2,10,"12,662",188,190,"1,846",511,575,"1,238","1,444",71,"1,047",89,86,"2,012","2,576",789
2021,2,20,"18,217",412,462,"2,532",979,"1,144","1,427","1,636",143,"1,122",216,204,"4,894","1,997","1,049"
2021,2,30,"24,895",418,427,"3,232","1,068","1,332","1,643","2,924",139,"1,822",171,182,"5,493","4,191","1,853"
2021,2,40,"25,038",396,414,"3,563","1,069","1,242","2,220","2,832",157,"1,942",210,172,"4,307","5,032","1,482"
2021,2,50,"21,375",650,605,"3,716","1,519","1,757","2,130","1,959",267,"1,523",311,308,"2,572","2,960","1,098"
2021,2,60,"18,512",725,539,"3,585","1,425","1,764","1,825","1,318",239,972,356,318,"2,038","2,589",819
2021,2,70,"8,263",320,292,"1,752",633,787,908,467,131,282,211,141,835,"1,169",335
2021,2,80,"3,768",164,130,712,264,391,401,255,73,127,118,85,350,503,195
2021,2,90,798,37,27,141,46,86,81,85,11,23,30,10,85,101,35
2021,2,100,88,6,4,11,9,5,8,18,4,2,5,2,3,5,6
2021,3,총,"149,509","3,413","3,229","22,792","7,932","9,594","12,877","15,079","1,231","10,366","1,749","1,568","25,101","24,350","10,228"
2021,3,0,"14,881",175,154,"1,818",481,540,991,"2,209",37,"1,323",59,78,"2,366","3,267","1,383"
2021,3,10,"12,802",189,191,"1,835",504,559,"1,240","1,459",71,"1,053",90,83,"2,020","2,582",926
2021,3,20,"18,407",400,463,"2,512",964,"1,147","1,441","1,638",137,"1,126",216,207,"4,931","1,997","1,228"
2021,3,30,"25,089",404,424,"3,215","1,067","1,334","1,641","2,876",138,"1,871",166,181,"5,529","4,147","2,096"
2021,3,40,"25,234",398,409,"3,528","1,057","1,224","2,226","2,828",157,"1,963",212,162,"4,336","5,017","1,717"
2021,3,50,"21,504",623,601,"3,685","1,488","1,750","2,106","1,951",262,"1,564",299,303,"2,603","2,955","1,314"
2021,3,60,"18,692",714,536,"3,595","1,426","1,770","1,839","1,323",228,"1,025",350,319,"2,045","2,600",922
2021,3,70,"8,259",304,294,"1,736",633,791,910,453,123,289,209,138,833,"1,169",377
2021,3,80,"3,794",161,130,724,263,393,401,253,67,125,117,87,349,509,215
2021,3,90,800,40,25,138,47,82,79,83,10,26,29,9,86,102,44
2021,3,100,47,5,2,6,2,4,3,6,1,1,2,1,3,5,6
2021,4,총,"150,372","3,413","3,231","22,697","7,894","9,627","12,945","15,068","1,233","10,553","1,747","1,565","25,241","24,355","10,803"
2021,4,0,"14,885",174,151,"1,803",488,549,985,"2,200",36,"1,322",61,83,"2,355","3,252","1,426"
2021,4,10,"12,920",190,188,"1,828",497,557,"1,253","1,477",70,"1,074",90,85,"2,029","2,598",984
2021,4,20,"18,524",399,463,"2,487",950,"1,155","1,461","1,631",136,"1,152",213,203,"4,982","1,994","1,298"
2021,4,30,"25,148",413,419,"3,192","1,052","1,351","1,639","2,845",142,"1,888",171,175,"5,562","4,116","2,183"
2021,4,40,"25,440",390,410,"3,501","1,056","1,227","2,232","2,849",158,"2,009",212,165,"4,368","5,044","1,819"
2021,4,50,"21,628",617,592,"3,659","1,488","1,741","2,127","1,950",262,"1,605",293,302,"2,623","2,950","1,419"
2021,4,60,"18,882",716,553,"3,624","1,425","1,780","1,857","1,328",226,"1,052",351,314,"2,051","2,610",995
2021,4,70,"8,273",305,294,"1,729",626,790,907,448,123,298,208,140,832,"1,173",400
2021,4,80,"3,818",160,134,735,265,392,399,251,69,127,117,88,350,507,224
2021,4,90,808,44,25,133,45,83,81,83,10,25,29,9,86,106,49
2021,4,100,46,5,2,6,2,2,4,6,1,1,2,1,3,5,6
2021,5,총,"150,807","3,413","3,227","22,709","7,892","9,579","12,959","15,101","1,233","10,708","1,733","1,573","25,264","24,337","11,079"
2021,5,0,"14,855",166,150,"1,808",491,545,980,"2,188",36,"1,335",60,83,"2,341","3,225","1,447"
2021,5,10,"12,990",190,183,"1,825",497,551,"1,255","1,483",69,"1,095",89,87,"2,033","2,619","1,014"
2021,5,20,"18,543",401,465,"2,474",933,"1,148","1,480","1,624",136,"1,171",211,200,"4,990","1,985","1,325"
2021,5,30,"25,111",412,422,"3,198","1,057","1,339","1,630","2,828",143,"1,911",168,175,"5,536","4,076","2,216"
2021,5,40,"25,549",392,413,"3,473","1,051","1,221","2,222","2,867",156,"2,041",209,168,"4,399","5,062","1,875"
2021,5,50,"21,710",619,588,"3,664","1,489","1,722","2,140","1,961",258,"1,620",290,305,"2,631","2,956","1,467"
2021,5,60,"19,013",715,553,"3,655","1,435","1,781","1,858","1,348",229,"1,068",350,316,"2,048","2,622","1,035"
2021,5,70,"8,342",310,291,"1,731",624,795,914,461,125,309,210,142,841,"1,173",416
2021,5,80,"3,838",156,134,741,268,393,394,254,70,131,116,89,358,504,230
2021,5,90,810,47,26,134,45,82,82,81,10,26,28,7,84,110,48
2021,5,100,46,5,2,6,2,2,4,6,1,1,2,1,3,5,6
2021,6,총,"152,481","3,402","3,222","22,647","7,858","9,552","12,980","15,123","1,231","11,823","1,724","1,562","25,294","24,265","11,798"
2021,6,0,"15,051",167,152,"1,788",486,539,969,"2,192",37,"1,507",59,82,"2,315","3,198","1,560"
2021,6,10,"13,154",189,189,"1,817",488,546,"1,254","1,482",68,"1,204",90,86,"2,041","2,620","1,080"
2021,6,20,"18,719",391,452,"2,456",932,"1,130","1,489","1,626",136,"1,329",210,202,"5,002","1,970","1,394"
2021,6,30,"25,346",416,430,"3,161","1,045","1,340","1,635","2,821",145,"2,083",174,176,"5,523","4,034","2,363"
2021,6,40,"25,922",386,410,"3,480","1,049","1,208","2,220","2,895",154,"2,269",202,171,"4,418","5,065","1,995"
2021,6,50,"21,892",612,580,"3,640","1,468","1,717","2,144","1,958",254,"1,803",282,302,"2,632","2,952","1,548"
2021,6,60,"19,258",723,558,"3,680","1,447","1,797","1,882","1,332",233,"1,122",352,309,"2,070","2,632","1,121"
2021,6,70,"8,398",312,291,"1,745",629,798,903,472,123,320,208,139,842,"1,175",441
2021,6,80,"3,879",153,133,743,266,397,394,255,70,156,117,89,361,506,239
2021,6,90,816,48,25,131,46,78,86,84,10,29,28,5,87,108,51
2021,6,100,46,5,2,6,2,2,4,6,1,1,2,1,3,5,6
2021,7,총,"153,816","3,391","3,219","22,613","7,834","9,538","12,983","15,167","1,228","12,717","1,723","1,551","25,326","24,226","12,300"
2021,7,0,"15,261",173,146,"1,775",479,538,968,"2,198",37,"1,667",63,85,"2,322","3,158","1,652"
2021,7,10,"13,337",186,191,"1,805",484,539,"1,252","1,498",67,"1,332",89,87,"2,034","2,626","1,147"
2021,7,20,"18,759",386,446,"2,449",924,"1,118","1,489","1,618",133,"1,389",208,200,"5,000","1,974","1,425"
2021,7,30,"25,463",418,429,"3,134","1,040","1,329","1,634","2,824",146,"2,233",174,176,"5,487","3,997","2,442"
2021,7,40,"26,220",379,418,"3,475","1,043","1,204","2,219","2,902",153,"2,455",197,163,"4,460","5,068","2,084"
2021,7,50,"22,065",608,583,"3,639","1,462","1,718","2,134","1,957",254,"1,917",285,300,"2,640","2,967","1,601"
2021,7,60,"19,440",727,559,"3,701","1,455","1,809","1,895","1,346",232,"1,171",352,305,"2,075","2,636","1,177"
2021,7,70,"8,471",306,291,"1,756",627,806,901,473,124,349,208,139,845,"1,181",465
2021,7,80,"3,927",154,129,744,271,400,399,259,71,172,117,90,369,505,247
2021,7,90,828,50,25,130,46,75,88,85,10,31,28,5,92,109,54
2021,7,100,45,4,2,5,3,2,4,7,1,1,2,1,2,5,6
2021,8,총,"154,887","3,376","3,194","22,752","7,803","9,546","12,936","15,170","1,229","12,953","1,718","1,535","26,068","24,176","12,431"
2021,8,0,"15,364",172,139,"1,792",471,547,949,"2,200",36,"1,703",65,86,"2,404","3,136","1,664"
2021,8,10,"13,488",193,189,"1,816",477,526,"1,248","1,503",67,"1,357",87,82,"2,146","2,630","1,167"
2021,8,20,"18,857",371,438,"2,459",924,"1,121","1,477","1,603",134,"1,413",208,197,"5,104","1,967","1,441"
2021,8,30,"25,555",418,422,"3,153","1,035","1,332","1,628","2,811",143,"2,275",172,179,"5,609","3,942","2,436"
2021,8,40,"26,459",372,409,"3,502","1,037","1,199","2,199","2,924",154,"2,505",195,162,"4,597","5,088","2,116"
2021,8,50,"22,191",606,586,"3,638","1,450","1,714","2,131","1,948",250,"1,947",287,296,"2,748","2,964","1,626"
2021,8,60,"19,594",726,564,"3,735","1,459","1,812","1,907","1,358",237,"1,189",352,300,"2,111","2,646","1,198"
2021,8,70,"8,528",302,291,"1,770",629,815,904,478,123,355,204,138,867,"1,176",476
2021,8,80,"3,968",161,129,748,273,401,400,254,74,177,118,90,385,514,244
2021,8,90,838,51,25,134,45,77,89,84,10,31,28,4,95,108,57
2021,8,100,45,4,2,5,3,2,4,7,1,1,2,1,2,5,6
2021,9,총,"155,826","3,346","3,177","23,494","7,760","9,448","12,796","15,137","1,222","13,094","1,698","1,537","26,541","24,132","12,444"
2021,9,0,"15,376",162,132,"1,928",455,534,920,"2,180",35,"1,714",64,83,"2,416","3,086","1,667"
2021,9,10,"13,616",190,188,"1,884",475,518,"1,227","1,518",65,"1,363",86,82,"2,212","2,644","1,164"
2021,9,20,"18,953",364,440,"2,506",925,"1,101","1,476","1,587",134,"1,432",205,195,"5,188","1,969","1,431"
2021,9,30,"25,702",411,418,"3,346","1,021","1,316","1,626","2,778",141,"2,303",168,176,"5,657","3,912","2,429"
2021,9,40,"26,651",364,407,"3,643","1,023","1,179","2,150","2,937",153,"2,530",194,165,"4,688","5,087","2,131"
2021,9,50,"22,362",606,581,"3,724","1,442","1,687","2,110","1,944",251,"1,974",284,293,"2,848","2,984","1,634"
2021,9,60,"19,708",732,567,"3,771","1,463","1,823","1,897","1,373",237,"1,206",350,301,"2,150","2,639","1,199"
2021,9,70,"8,568",299,292,"1,790",626,813,904,474,119,359,198,139,896,"1,182",477
2021,9,80,"3,995",161,125,759,280,396,393,255,75,177,119,96,390,518,251
2021,9,90,852,53,25,137,47,79,91,84,11,35,28,6,94,106,56
2021,9,100,43,4,2,6,3,2,2,7,1,1,2,1,2,5,5
2021,10,총,"157,222","3,356","3,179","23,711","7,719","9,435","12,759","15,131","1,229","13,636","1,685","1,535","26,640","24,114","13,093"
2021,10,0,"15,579",161,129,"1,949",439,517,897,"2,150",35,"1,854",65,80,"2,393","3,052","1,858"
2021,10,10,"13,749",189,188,"1,894",480,519,"1,225","1,535",65,"1,392",86,85,"2,228","2,665","1,198"
2021,10,20,"19,043",359,434,"2,524",921,"1,095","1,475","1,599",137,"1,476",206,189,"5,192","1,974","1,462"
2021,10,30,"26,076",416,434,"3,386","1,012","1,313","1,613","2,764",144,"2,515",164,179,"5,650","3,883","2,603"
2021,10,40,"26,906",359,401,"3,695","1,008","1,175","2,136","2,941",155,"2,598",192,164,"4,722","5,098","2,262"
2021,10,50,"22,491",608,590,"3,741","1,436","1,694","2,114","1,949",248,"1,993",282,290,"2,884","2,988","1,674"
2021,10,60,"19,834",738,557,"3,806","1,472","1,830","1,902","1,374",239,"1,224",348,304,"2,171","2,645","1,224"
2021,10,70,"8,613",302,292,"1,807",624,806,903,477,119,369,196,139,912,"1,178",489
2021,10,80,"4,038",164,127,768,276,405,401,257,75,177,118,98,395,518,259
2021,10,90,849,56,25,135,48,79,91,78,11,37,26,6,91,107,59
2021,10,100,44,4,2,6,3,2,2,7,1,1,2,1,2,6,5
2021,11,총,"158,862","3,337","3,179","23,732","7,695","9,388","12,746","15,085","1,230","13,874","1,679","1,510","26,703","24,072","14,632"
2021,11,0,"15,852",157,123,"1,931",434,512,886,"2,118",36,"1,916",64,77,"2,358","3,019","2,221"
2021,11,10,"13,951",190,186,"1,896",470,515,"1,229","1,553",62,"1,402",85,84,"2,249","2,681","1,349"
2021,11,20,"19,083",353,442,"2,522",927,"1,094","1,472","1,573",141,"1,486",200,183,"5,199","1,947","1,544"
2021,11,30,"26,392",419,429,"3,374","1,003","1,291","1,594","2,737",145,"2,602",168,172,"5,645","3,841","2,972"
2021,11,40,"27,264",349,399,"3,700","1,008","1,167","2,139","2,957",157,"2,623",193,159,"4,748","5,120","2,545"
2021,11,50,"22,618",612,591,"3,749","1,423","1,687","2,113","1,941",247,"2,013",281,286,"2,904","2,979","1,792"
2021,11,60,"20,056",737,559,"3,837","1,480","1,833","1,905","1,383",237,"1,241",348,301,"2,187","2,674","1,334"
2021,11,70,"8,678",301,291,"1,813",622,806,911,483,119,374,193,143,921,"1,175",526
2021,11,80,"4,071",166,131,768,278,403,404,257,75,176,118,97,397,522,279
2021,11,90,861,53,27,136,47,79,91,76,11,40,27,7,93,109,65
2021,11,100,36,0,1,6,3,1,2,7,0,1,2,1,2,5,5
2021,12,총,"159,924","3,324","3,209","23,705","7,645","9,389","12,757","15,109","1,227","13,969","1,666","1,500","26,792","24,038","15,594"
2021,12,0,"15,984",153,128,"1,927",437,512,878,"2,112",34,"1,919",60,72,"2,350","2,987","2,415"
