년도,월,나이,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021,2,80,"1,442",183,124,332,490,80,142,85,6,0,0,0,0
2021,2,90,285,32,29,69,93,16,32,13,1,0,0,0,0
2021,2,100,34,2,2,8,15,3,3,1,0,0,0,0,0
2021,3,총,"21,208","2,623","1,639","5,555","7,599",855,"1,851","1,031",55,0,0,0,0
2021,3,0,"1,646",225,154,414,585,82,105,81,0,0,0,0,0
2021,3,10,"1,776",215,122,444,721,35,170,68,1,0,0,0,0
2021,3,20,"1,963",259,173,506,698,101,155,70,1,0,0,0,0
2021,3,30,"2,076",250,199,525,734,90,163,114,1,0,0,0,0
2021,3,40,"2,607",302,167,748,990,75,240,82,3,0,0,0,0
2021,3,50,"3,299",405,212,934,"1,175",107,306,155,5,0,0,0,0
2021,3,60,"3,494",419,238,930,"1,231",144,318,201,13,0,0,0,0
2021,3,70,"2,600",329,219,653,871,124,221,160,23,0,0,0,0
2021,3,80,"1,455",187,126,331,496,81,141,86,7,0,0,0,0
2021,3,90,280,32,27,68,93,15,31,13,1,0,0,0,0
2021,3,100,12,0,2,2,5,1,1,1,0,0,0,0,0
2021,4,총,"21,221","2,615","1,659","5,548","7,596",862,"1,854","1,032",55,0,0,0,0
2021,4,0,"1,646",229,158,415,574,84,105,81,0,0,0,0,0
2021,4,10,"1,773",210,127,444,719,33,172,67,1,0,0,0,0
2021,4,20,"1,957",263,176,492,701,105,150,69,1,0,0,0,0
2021,4,30,"2,077",249,203,526,729,91,166,112,1,0,0,0,0
2021,4,40,"2,609",298,170,746,996,76,240,80,3,0,0,0,0
2021,4,50,"3,295",394,212,937,"1,176",106,306,159,5,0,0,0,0
2021,4,60,"3,519",423,238,937,"1,238",145,321,204,13,0,0,0,0
2021,4,70,"2,586",330,218,648,865,124,218,160,23,0,0,0,0
2021,4,80,"1,463",187,127,331,500,82,143,86,7,0,0,0,0
2021,4,90,282,32,28,68,93,15,32,13,1,0,0,0,0
2021,4,100,14,0,2,4,5,1,1,1,0,0,0,0,0
2021,5,총,"21,116","2,607","1,658","5,520","7,544",858,"1,842","1,031",56,0,0,0,0
2021,5,0,"1,637",225,158,414,571,82,106,81,0,0,0,0,0
2021,5,10,"1,753",207,128,437,717,32,165,66,1,0,0,0,0
2021,5,20,"1,959",263,178,502,693,101,151,70,1,0,0,0,0
2021,5,30,"2,061",250,199,519,725,92,163,112,1,0,0,0,0
2021,5,40,"2,603",300,170,743,994,77,238,78,3,0,0,0,0
2021,5,50,"3,261",390,212,927,"1,155",106,305,160,6,0,0,0,0
2021,5,60,"3,522",423,238,933,"1,243",146,320,206,13,0,0,0,0
2021,5,70,"2,565",331,217,648,848,122,217,159,23,0,0,0,0
2021,5,80,"1,466",187,128,327,503,84,144,86,7,0,0,0,0
2021,5,90,277,31,28,66,92,15,32,12,1,0,0,0,0
2021,5,100,12,0,2,4,3,1,1,1,0,0,0,0,0
2021,6,총,"21,100","2,621","1,650","5,517","7,535",856,"1,837","1,028",56,0,0,0,0
2021,6,0,"1,626",228,158,406,569,79,107,79,0,0,0,0,0
2021,6,10,"1,755",209,128,436,716,32,166,67,1,0,0,0,0
2021,6,20,"1,954",264,177,506,684,104,149,70,0,0,0,0,0
2021,6,30,"2,057",256,198,510,728,91,162,111,1,0,0,0,0
2021,6,40,"2,585",298,166,742,981,78,237,80,3,0,0,0,0
2021,6,50,"3,274",392,210,932,"1,164",106,302,161,7,0,0,0,0
2021,6,60,"3,528",427,240,933,"1,249",146,318,202,13,0,0,0,0
2021,6,70,"2,555",327,213,651,842,122,220,158,22,0,0,0,0
2021,6,80,"1,477",189,130,330,507,83,144,86,8,0,0,0,0
2021,6,90,277,31,28,67,92,14,31,13,1,0,0,0,0
2021,6,100,12,0,2,4,3,1,1,1,0,0,0,0,0
2021,7,총,"21,072","2,614","1,644","5,516","7,525",849,"1,840","1,028",56,0,0,0,0
2021,7,0,"1,614",226,158,403,560,81,107,79,0,0,0,0,0
2021,7,10,"1,755",210,126,433,719,32,167,67,1,0,0,0,0
2021,7,20,"1,937",258,169,505,685,98,152,70,0,0,0,0,0
2021,7,30,"2,048",256,199,506,725,91,159,111,1,0,0,0,0
2021,7,40,"2,596",303,167,750,978,77,237,81,3,0,0,0,0
2021,7,50,"3,259",388,211,933,"1,158",103,298,161,7,0,0,0,0
2021,7,60,"3,548",426,245,935,"1,256",146,324,203,13,0,0,0,0
2021,7,70,"2,543",332,210,651,834,122,219,154,21,0,0,0,0
2021,7,80,"1,485",187,130,328,514,84,145,88,9,0,0,0,0
2021,7,90,275,28,27,68,93,14,31,13,1,0,0,0,0
2021,7,100,12,0,2,4,3,1,1,1,0,0,0,0,0
2021,8,총,"20,998","2,607","1,646","5,494","7,497",833,"1,838","1,027",56,0,0,0,0
2021,8,0,"1,613",226,164,397,561,79,108,78,0,0,0,0,0
2021,8,10,"1,747",206,124,428,722,30,169,67,1,0,0,0,0
2021,8,20,"1,904",256,164,495,672,94,151,72,0,0,0,0,0
2021,8,30,"2,030",260,205,502,701,89,163,109,1,0,0,0,0
2021,8,40,"2,584",302,168,748,979,73,232,79,3,0,0,0,0
2021,8,50,"3,247",386,207,931,"1,156",103,292,165,7,0,0,0,0
2021,8,60,"3,564",422,248,938,"1,266",149,327,202,12,0,0,0,0
2021,8,70,"2,518",327,206,651,826,119,216,151,22,0,0,0,0
2021,8,80,"1,498",193,130,329,517,83,148,89,9,0,0,0,0
2021,8,90,281,29,28,70,94,14,31,14,1,0,0,0,0
2021,8,100,12,0,2,5,3,0,1,1,0,0,0,0,0
2021,9,총,"20,972","2,606","1,650","5,494","7,475",831,"1,836","1,024",56,0,0,0,0
2021,9,0,"1,630",223,167,396,577,79,108,80,0,0,0,0,0
2021,9,10,"1,739",207,125,428,713,29,171,65,1,0,0,0,0
2021,9,20,"1,877",252,163,482,663,96,147,74,0,0,0,0,0
2021,9,30,"2,010",266,203,511,679,88,155,107,1,0,0,0,0
2021,9,40,"2,586",303,171,743,978,73,236,79,3,0,0,0,0
2021,9,50,"3,245",387,207,931,"1,154",102,294,164,6,0,0,0,0
2021,9,60,"3,577",418,249,942,"1,277",150,329,199,13,0,0,0,0
2021,9,70,"2,513",328,205,655,819,117,218,149,22,0,0,0,0
2021,9,80,"1,499",193,130,331,517,82,145,92,9,0,0,0,0
2021,9,90,284,29,28,70,95,15,32,14,1,0,0,0,0
2021,9,100,12,0,2,5,3,0,1,1,0,0,0,0,0
2021,10,총,"20,937","2,593","1,641","5,503","7,460",834,"1,829","1,022",55,0,0,0,0
2021,10,0,"1,612",217,167,394,572,79,105,78,0,0,0,0,0
2021,10,10,"1,742",210,126,430,710,29,170,66,1,0,0,0,0
2021,10,20,"1,871",248,159,485,663,98,145,73,0,0,0,0,0
2021,10,30,"2,003",266,200,514,672,89,153,108,1,0,0,0,0
2021,10,40,"2,579",300,171,739,977,74,237,78,3,0,0,0,0
2021,10,50,"3,235",388,204,930,"1,150",100,293,164,6,0,0,0,0
2021,10,60,"3,587",414,249,952,"1,280",149,331,199,13,0,0,0,0
2021,10,70,"2,497",329,204,648,814,118,218,147,19,0,0,0,0
2021,10,80,"1,515",193,131,337,523,83,144,93,11,0,0,0,0
2021,10,90,284,28,28,69,96,15,32,15,1,0,0,0,0
2021,10,100,12,0,2,5,3,0,1,1,0,0,0,0,0
2021,11,총,"20,903","2,588","1,629","5,518","7,438",826,"1,814","1,034",56,0,0,0,0
2021,11,0,"1,609",217,165,393,573,80,101,80,0,0,0,0,0
2021,11,10,"1,730",206,123,431,707,29,166,67,1,0,0,0,0
2021,11,20,"1,859",245,158,487,650,96,146,77,0,0,0,0,0
2021,11,30,"2,001",268,199,516,667,91,151,108,1,0,0,0,0
2021,11,40,"2,580",296,173,741,978,73,235,81,3,0,0,0,0
2021,11,50,"3,229",391,201,927,"1,149",100,289,166,6,0,0,0,0
2021,11,60,"3,602",415,250,961,"1,280",148,335,199,14,0,0,0,0
2021,11,70,"2,482",326,200,648,814,113,215,147,19,0,0,0,0
2021,11,80,"1,526",195,135,342,526,81,143,93,11,0,0,0,0
2021,11,90,275,29,25,69,91,15,32,13,1,0,0,0,0
2021,11,100,10,0,0,3,3,0,1,3,0,0,0,0,0
2021,12,총,"20,887","2,596","1,618","5,529","7,418",822,"1,813","1,035",56,0,0,0,0
2021,12,0,"1,609",217,160,396,577,78,101,80,0,0,0,0,0
2021,12,10,"1,733",206,123,434,707,31,164,67,1,0,0,0,0
2021,12,20,"1,853",248,158,477,647,94,150,79,0,0,0,0,0
2021,12,30,"2,000",268,197,522,664,90,150,108,1,0,0,0,0
2021,12,40,"2,578",299,169,748,971,74,234,80,3,0,0,0,0
2021,12,50,"3,234",396,203,931,"1,146",99,287,166,6,0,0,0,0
2021,12,60,"3,596",411,249,965,"1,276",146,337,198,14,0,0,0,0
2021,12,70,"2,469",326,201,642,807,115,212,147,19,0,0,0,0
2021,12,80,"1,530",197,133,339,531,81,144,94,11,0,0,0,0
2021,12,90,274,28,25,72,89,14,32,13,1,0,0,0,0
2021,12,100,11,0,0,3,3,0,2,3,0,0,0,0,0
