년도,월,나이,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020,4,80,"2,283",181,198,295,122,110,224,108,139,259,267,249,131,
2020,4,90,445,40,44,64,22,28,51,16,26,60,38,27,29,
2020,4,100,51,3,3,3,3,5,9,7,5,8,1,0,4,
2020,5,총,"66,868","2,967","2,588","6,641","2,025","1,681","2,834","1,431","2,335","6,908","21,304","14,333","1,821",
2020,5,0,"5,919",121,101,456,84,55,112,32,104,468,"3,470",863,53,
2020,5,10,"6,032",201,175,557,132,112,144,83,176,580,"2,242","1,570",60,
2020,5,20,"9,559",267,254,775,193,172,290,130,244,915,"2,086","4,135",98,
2020,5,30,"9,794",266,230,794,185,138,283,109,205,903,"4,690","1,878",113,
2020,5,40,"11,021",362,383,992,264,226,315,184,280,"1,044","4,224","2,573",174,
2020,5,50,"9,073",573,423,"1,077",353,287,476,233,419,"1,186","2,114","1,542",390,
2020,5,60,"7,762",610,431,966,381,313,541,289,426,998,"1,491",834,482,
2020,5,70,"4,918",340,344,663,287,237,388,240,308,484,678,662,287,
2020,5,80,"2,289",182,199,294,121,108,225,109,143,262,268,249,129,
2020,5,90,448,42,44,64,22,28,51,15,25,60,40,27,30,
2020,5,100,53,3,4,3,3,5,9,7,5,8,1,0,5,
2020,6,총,"66,950","2,946","2,597","6,649","2,022","1,669","2,839","1,422","2,333","6,901","21,380","14,381","1,811",
2020,6,0,"5,925",121,106,460,86,49,113,33,104,463,"3,483",858,49,
2020,6,10,"6,033",196,174,553,133,113,144,81,172,576,"2,262","1,567",62,
2020,6,20,"9,552",260,254,770,192,172,285,133,246,913,"2,081","4,149",97,
2020,6,30,"9,798",263,234,793,184,134,282,105,211,909,"4,684","1,889",110,
2020,6,40,"11,021",353,378,989,264,229,316,184,276,"1,037","4,248","2,574",173,
2020,6,50,"9,086",570,422,"1,084",349,278,480,233,416,"1,176","2,140","1,553",385,
2020,6,60,"7,804",616,435,973,382,317,543,283,428,"1,012","1,488",847,480,
2020,6,70,"4,932",342,349,663,286,236,391,237,306,485,681,666,290,
2020,6,80,"2,286",180,196,297,119,108,225,110,143,261,268,250,129,
2020,6,90,460,42,45,64,24,28,51,16,26,61,44,28,31,
2020,6,100,53,3,4,3,3,5,9,7,5,8,1,0,5,
2020,7,총,"67,057","2,933","2,601","6,649","2,018","1,661","2,837","1,413","2,332","6,928","21,453","14,428","1,804",
2020,7,0,"5,919",125,107,452,85,48,112,31,105,468,"3,486",851,49,
2020,7,10,"6,037",190,178,555,131,111,139,79,171,576,"2,268","1,578",61,
2020,7,20,"9,562",260,253,777,194,167,288,133,249,913,"2,087","4,144",97,
2020,7,30,"9,811",262,234,792,182,134,281,104,209,900,"4,713","1,893",107,
2020,7,40,"11,020",353,378,979,261,225,316,183,274,"1,043","4,254","2,582",172,
2020,7,50,"9,135",569,419,"1,085",349,283,479,233,417,"1,191","2,156","1,573",381,
2020,7,60,"7,811",613,434,974,384,317,547,281,427,"1,013","1,486",854,481,
2020,7,70,"4,938",338,350,664,287,233,389,239,306,493,677,673,289,
2020,7,80,"2,308",178,201,303,119,110,227,107,142,262,277,252,130,
2020,7,90,462,42,42,65,23,28,50,16,27,61,48,28,32,
2020,7,100,54,3,5,3,3,5,9,7,5,8,1,0,5,
2020,8,총,"67,096","2,924","2,626","6,594","2,026","1,650","2,839","1,405","2,315","6,950","21,466","14,480","1,821",
2020,8,0,"5,891",121,109,443,85,48,116,29,104,462,"3,474",847,53,
2020,8,10,"6,033",194,177,546,129,111,138,76,169,578,"2,267","1,586",62,
2020,8,20,"9,530",253,257,766,201,169,285,129,241,912,"2,091","4,126",100,
2020,8,30,"9,801",259,236,772,178,131,282,99,205,900,"4,704","1,929",106,
2020,8,40,"11,051",351,379,974,260,222,318,187,275,"1,042","4,278","2,589",176,
2020,8,50,"9,146",568,420,"1,073",354,280,479,229,412,"1,208","2,158","1,583",382,
2020,8,60,"7,847",616,439,983,387,312,544,283,427,"1,017","1,491",862,486,
2020,8,70,"4,940",335,356,669,286,235,389,243,303,490,672,674,288,
2020,8,80,"2,343",181,205,302,119,110,230,107,148,272,285,254,130,
2020,8,90,461,43,43,63,24,28,49,16,26,61,45,30,33,
2020,8,100,53,3,5,3,3,4,9,7,5,8,1,0,5,
2020,9,총,"67,125","2,913","2,597","6,604","2,020","1,644","2,839","1,400","2,298","6,970","21,511","14,518","1,811",
2020,9,0,"5,852",117,106,439,80,46,114,29,102,459,"3,461",846,53,
2020,9,10,"6,062",191,175,549,127,112,139,75,171,580,"2,288","1,594",61,
2020,9,20,"9,475",261,249,769,203,167,285,126,232,907,"2,085","4,092",99,
2020,9,30,"9,789",258,229,772,178,130,281,98,207,895,"4,688","1,949",104,
2020,9,40,"11,073",344,377,973,257,220,324,187,268,"1,047","4,303","2,599",174,
2020,9,50,"9,174",570,419,"1,071",353,277,477,232,412,"1,215","2,166","1,603",379,
2020,9,60,"7,873",609,430,999,387,316,539,281,426,"1,028","1,504",872,482,
2020,9,70,"4,956",334,357,665,289,236,389,243,302,497,683,672,289,
2020,9,80,"2,355",184,207,300,119,108,233,107,147,272,285,260,133,
2020,9,90,464,42,43,64,24,29,49,15,26,62,47,31,32,
2020,9,100,52,3,5,3,3,3,9,7,5,8,1,0,5,
2020,10,총,"67,124","2,913","2,599","6,583","2,009","1,631","2,830","1,394","2,315","6,956","21,535","14,548","1,811",
2020,10,0,"5,825",117,101,433,81,45,112,31,101,453,"3,455",844,52,
2020,10,10,"6,059",183,175,546,125,110,139,75,171,577,"2,298","1,599",61,
2020,10,20,"9,447",269,249,765,200,166,287,126,238,901,"2,074","4,072",100,
2020,10,30,"9,757",253,234,764,176,127,273,97,206,884,"4,677","1,962",104,
2020,10,40,"11,089",343,374,970,255,220,326,184,272,"1,048","4,324","2,605",168,
2020,10,50,"9,183",570,418,"1,072",350,277,477,230,411,"1,225","2,167","1,605",381,
2020,10,60,"7,906",611,437,"1,003",384,309,538,282,430,"1,026","1,514",890,482,
2020,10,70,"4,971",335,356,663,291,236,386,242,303,499,692,676,292,
2020,10,80,"2,383",188,209,303,121,109,234,106,152,277,286,264,134,
2020,10,90,452,41,41,61,23,29,49,14,26,58,47,31,32,
2020,10,100,52,3,5,3,3,3,9,7,5,8,1,0,5,
2020,11,총,"67,261","2,910","2,607","6,591","1,999","1,641","2,827","1,393","2,297","6,971","21,582","14,633","1,810",
2020,11,0,"5,798",115,104,436,78,43,109,31,97,448,"3,447",841,49,
2020,11,10,"6,072",182,174,542,127,111,140,74,172,576,"2,323","1,592",59,
2020,11,20,"9,458",268,251,765,196,169,289,129,237,901,"2,061","4,090",102,
2020,11,30,"9,765",247,241,755,173,127,270,95,202,900,"4,657","1,996",102,
2020,11,40,"11,136",349,368,970,253,226,330,187,270,"1,040","4,358","2,618",167,
2020,11,50,"9,189",562,418,"1,075",355,277,473,230,401,"1,225","2,179","1,613",381,
2020,11,60,"7,952",612,438,"1,007",383,313,531,282,435,"1,035","1,522",906,488,
2020,11,70,"4,982",343,358,665,287,236,390,239,299,502,697,676,290,
2020,11,80,"2,398",186,209,312,122,108,235,105,153,273,288,272,135,
2020,11,90,458,43,40,61,22,28,51,14,26,63,49,29,32,
2020,11,100,53,3,6,3,3,3,9,7,5,8,1,0,5,
2020,12,총,"67,244","2,909","2,610","6,555","1,977","1,633","2,809","1,381","2,293","6,998","21,575","14,687","1,817",
2020,12,0,"5,767",113,106,423,73,43,102,30,98,449,"3,438",845,47,
2020,12,10,"6,087",181,176,543,124,106,143,74,171,575,"2,334","1,595",65,
2020,12,20,"9,429",269,251,757,194,167,288,127,234,911,"2,038","4,091",102,
2020,12,30,"9,737",249,237,748,170,124,267,93,202,901,"4,627","2,019",100,
2020,12,40,"11,152",345,377,958,249,226,332,188,268,"1,038","4,388","2,612",171,
2020,12,50,"9,185",566,415,"1,076",350,276,465,223,400,"1,218","2,182","1,633",381,
2020,12,60,"7,971",608,440,"1,004",382,312,525,282,436,"1,053","1,533",908,488,
2020,12,70,"4,987",346,360,664,286,238,392,238,301,500,693,680,289,
2020,12,80,"2,414",187,204,318,125,110,231,105,152,280,291,274,137,
2020,12,90,460,42,37,61,21,28,54,14,26,65,50,30,32,
2020,12,100,55,3,7,3,3,3,10,7,5,8,1,0,5,
2021,1,총,"67,238","2,902","2,603","6,549","1,962","1,629","2,796","1,375","2,292","7,025","21,592","14,710","1,803",
2021,1,0,"5,735",114,102,419,75,40,101,28,99,456,"3,423",833,45,
2021,1,10,"6,074",178,173,541,120,103,142,73,172,576,"2,342","1,590",64,
2021,1,20,"9,363",266,244,749,189,163,284,129,231,901,"2,021","4,087",99,
2021,1,30,"9,715",246,238,751,169,122,268,91,200,905,"4,607","2,017",101,
2021,1,40,"11,174",338,375,959,243,226,328,187,268,"1,049","4,418","2,616",167,
2021,1,50,"9,200",559,413,"1,076",348,281,459,223,398,"1,216","2,193","1,660",374,
2021,1,60,"8,021",621,438,"1,005",381,311,528,280,438,"1,064","1,554",914,487,
2021,1,70,"5,009",343,372,669,286,240,391,236,300,501,697,685,289,
2021,1,80,"2,419",190,202,314,126,112,230,107,154,281,285,279,139,
2021,1,90,473,44,39,63,22,28,55,14,27,68,51,29,33,
2021,1,100,55,3,7,3,3,3,10,7,5,8,1,0,5,
2021,2,총,"67,215","2,886","2,593","6,541","1,956","1,614","2,803","1,378","2,276","7,065","21,539","14,771","1,793",
2021,2,0,"5,692",113,102,414,72,36,103,28,97,451,"3,399",832,45,
2021,2,10,"6,078",175,170,539,116,104,142,73,171,584,"2,343","1,599",62,
2021,2,20,"9,297",269,240,748,187,160,285,126,230,894,"1,987","4,080",91,
2021,2,30,"9,677",243,241,754,169,117,270,96,193,909,"4,550","2,032",103,
2021,2,40,"11,190",329,374,946,241,223,322,184,268,"1,050","4,459","2,628",166,
2021,2,50,"9,226",555,406,"1,082",351,275,461,227,391,"1,226","2,205","1,678",369,
2021,2,60,"8,073",623,441,"1,004",381,315,533,282,438,"1,087","1,556",925,488,
2021,2,70,"5,017",340,375,669,287,239,391,235,302,503,698,686,292,
2021,2,80,"2,433",193,199,320,127,114,231,105,156,283,288,281,136,
2021,2,90,476,43,38,62,22,27,55,15,25,70,53,30,36,
2021,2,100,56,3,7,3,3,4,10,7,5,8,1,0,5,
2021,3,총,"66,925","2,852","2,521","6,514","1,930","1,589","2,747","1,335","2,236","7,016","21,562","14,843","1,780",
2021,3,0,"5,665",107,101,413,70,35,101,29,94,443,"3,402",825,45,
2021,3,10,"6,095",177,173,536,116,103,141,72,168,584,"2,366","1,598",61,
2021,3,20,"9,260",269,239,751,184,159,276,127,229,883,"1,974","4,076",93,
2021,3,30,"9,670",245,236,746,164,113,274,93,192,903,"4,536","2,067",101,
2021,3,40,"11,151",321,369,942,238,217,312,175,264,"1,058","4,466","2,628",161,
2021,3,50,"9,174",549,394,"1,075",342,273,445,219,380,"1,213","2,207","1,712",365,
2021,3,60,"8,065",615,420,"1,014",381,313,525,279,437,"1,084","1,574",932,491,
2021,3,70,"4,939",335,361,652,285,237,383,230,295,493,691,685,292,
2021,3,80,"2,423",193,190,323,127,113,230,98,156,281,290,288,134,
2021,3,90,467,40,37,62,22,26,55,12,20,71,55,32,35,
2021,3,100,16,1,1,0,1,0,5,1,1,3,1,0,2,
2021,4,총,"67,019","2,843","2,511","6,515","1,928","1,585","2,758","1,321","2,229","7,066","21,549","14,934","1,780",
2021,4,0,"5,653",108,103,411,74,35,103,29,94,446,"3,383",822,45,
2021,4,10,"6,126",175,174,538,115,100,142,69,162,596,"2,395","1,599",61,
2021,4,20,"9,236",264,235,754,177,158,284,127,225,878,"1,947","4,095",92,
2021,4,30,"9,671",248,239,737,166,114,278,90,197,914,"4,509","2,079",100,
2021,4,40,"11,142",316,364,943,237,217,306,171,263,"1,063","4,469","2,630",163,
2021,4,50,"9,166",543,393,"1,064",342,270,450,216,375,"1,217","2,209","1,728",359,
2021,4,60,"8,155",619,414,"1,030",382,314,523,279,444,"1,097","1,593",962,498,
2021,4,70,"4,955",336,361,653,281,240,384,231,292,496,701,691,289,
2021,4,80,"2,420",193,186,320,131,111,229,96,156,283,286,294,135,
2021,4,90,480,40,41,65,22,26,55,12,20,74,56,33,36,
2021,4,100,15,1,1,0,1,0,4,1,1,2,1,1,2,
2021,5,총,"67,185","2,851","2,511","6,497","1,943","1,577","2,767","1,318","2,231","7,103","21,643","14,965","1,779",
2021,5,0,"5,643",110,104,402,73,32,102,28,91,445,"3,378",834,44,
2021,5,10,"6,145",177,176,534,117,99,143,70,164,593,"2,409","1,603",60,
2021,5,20,"9,185",266,237,750,174,156,286,124,228,881,"1,934","4,053",96,
2021,5,30,"9,724",246,238,737,166,115,280,90,196,930,"4,517","2,111",98,
2021,5,40,"11,154",320,360,936,240,213,300,170,263,"1,056","4,495","2,635",166,
2021,5,50,"9,230",540,395,"1,061",341,266,458,216,371,"1,234","2,248","1,745",355,
2021,5,60,"8,210",620,411,"1,034",391,314,524,281,446,"1,106","1,615",968,500,
2021,5,70,"4,972",340,358,656,286,244,382,230,297,500,703,689,287,
2021,5,80,"2,433",192,189,322,132,113,232,96,156,284,286,296,135,
2021,5,90,473,39,41,65,22,25,56,12,18,72,57,30,36,
2021,5,100,16,1,2,0,1,0,4,1,1,2,1,1,2,
2021,6,총,"67,289","2,838","2,510","6,468","1,959","1,576","2,778","1,321","2,221","7,139","21,664","15,035","1,780",
2021,6,0,"5,638",111,105,400,73,36,104,28,87,451,"3,366",833,44,
2021,6,10,"6,160",175,172,537,115,99,146,70,164,594,"2,433","1,597",58,
2021,6,20,"9,181",263,242,738,181,151,278,127,226,885,"1,917","4,079",94,
2021,6,30,"9,704",239,232,724,169,114,284,86,200,934,"4,506","2,117",99,
2021,6,40,"11,184",319,366,936,241,210,301,170,264,"1,059","4,512","2,643",163,
2021,6,50,"9,207",533,394,"1,054",336,265,458,211,364,"1,232","2,240","1,766",354,
2021,6,60,"8,281",626,411,"1,043",398,316,529,287,448,"1,115","1,628",973,507,
2021,6,70,"4,988",340,354,652,291,244,380,228,294,508,716,696,285,
2021,6,80,"2,451",192,190,318,130,116,238,101,155,288,286,300,137,
2021,6,90,479,39,42,66,24,25,56,12,18,71,59,30,37,
2021,6,100,16,1,2,0,1,0,4,1,1,2,1,1,2,
2021,7,총,"67,534","2,839","2,511","6,457","1,961","1,579","2,762",0,0,"7,421","21,664","15,055","1,764","3,521"
2021,7,0,"5,610",107,105,395,74,37,100,0,0,478,"3,331",830,41,112
2021,7,10,"6,217",177,169,533,115,99,142,0,0,621,"2,480","1,591",55,235
2021,7,20,"9,196",260,241,730,183,150,280,0,0,947,"1,901","4,065",90,349
2021,7,30,"9,725",237,228,727,167,114,280,0,0,978,"4,474","2,136",98,286
2021,7,40,"11,268",326,365,939,241,212,296,0,0,"1,121","4,543","2,637",159,429
2021,7,50,"9,206",531,395,"1,053",336,264,453,0,0,"1,251","2,234","1,769",353,567
2021,7,60,"8,343",628,414,"1,040",400,318,530,0,0,"1,144","1,636",991,507,735
2021,7,70,"4,992",341,354,653,292,247,375,0,0,516,720,694,282,518
2021,7,80,"2,480",192,194,322,128,114,244,0,0,292,286,311,141,256
2021,7,90,480,38,44,65,24,24,58,0,0,71,58,30,36,32
2021,7,100,17,2,2,0,1,0,4,0,0,2,1,1,2,2
2021,8,총,"67,869","2,825","2,509","6,448","1,951","1,567","2,751",,,"8,115","21,535","14,892","1,751","3,525"
2021,8,0,"5,622",102,106,396,69,34,97,,,554,"3,292",820,38,114
2021,8,10,"6,260",173,166,542,112,97,143,,,671,"2,504","1,569",53,230
2021,8,20,"9,198",260,242,731,181,149,273,,,"1,067","1,861","3,988",90,356
2021,8,30,"9,788",235,227,714,164,112,285,,,"1,122","4,419","2,128",93,289
2021,8,40,"11,326",321,359,934,242,207,288,,,"1,249","4,535","2,607",158,426
2021,8,50,"9,246",525,399,"1,046",330,261,456,,,"1,333","2,236","1,751",349,560
2021,8,60,"8,406",634,410,"1,044",409,318,527,,,"1,201","1,632",984,512,735
2021,8,70,"5,005",338,354,655,291,249,371,,,537,710,701,280,519
2021,8,80,"2,510",194,200,322,127,115,248,,,306,285,312,139,262
2021,8,90,491,41,44,64,25,25,59,,,73,60,31,37,32
2021,8,100,17,2,2,0,1,0,4,,,2,1,1,2,2
2021,9,총,"68,266","2,819","2,511","6,484","1,933","1,555","2,763",,,"8,478","21,517","14,936","1,752","3,518"
2021,9,0,"5,651",101,107,404,66,33,96,,,591,"3,279",822,38,114
2021,9,10,"6,308",171,166,538,114,94,146,,,710,"2,522","1,566",53,228
2021,9,20,"9,216",260,239,741,179,145,271,,,"1,122","1,843","3,984",88,344
2021,9,30,"9,871",238,229,723,160,116,283,,,"1,196","4,396","2,144",94,292
2021,9,40,"11,383",318,353,934,238,202,294,,,"1,311","4,545","2,604",160,424
2021,9,50,"9,304",515,401,"1,054",322,265,451,,,"1,392","2,233","1,762",347,562
2021,9,60,"8,479",639,413,"1,048",409,312,531,,,"1,234","1,649",996,512,736
2021,9,70,"5,015",341,350,658,292,247,376,,,540,707,708,277,519
2021,9,80,"2,529",193,207,321,126,114,251,,,310,281,317,144,265
2021,9,90,494,41,44,63,26,27,60,,,71,61,32,37,32
2021,9,100,16,2,2,0,1,0,4,,,1,1,1,2,2
2021,10,총,"68,491","2,827","2,494","6,482","1,919","1,554","2,741",,,"8,564","21,668","14,990","1,740","3,512"
2021,10,0,"5,674",102,101,399,64,33,92,,,602,"3,309",822,38,112
2021,10,10,"6,336",172,163,535,118,92,145,,,711,"2,550","1,566",54,230
2021,10,20,"9,182",256,240,741,170,145,264,,,"1,135","1,841","3,968",83,339
2021,10,30,"9,928",243,220,728,159,118,281,,,"1,196","4,413","2,176",97,297
2021,10,40,"11,405",314,350,931,235,203,292,,,"1,330","4,577","2,602",156,415
2021,10,50,"9,348",514,401,"1,052",321,262,447,,,"1,403","2,259","1,782",344,563
2021,10,60,"8,520",645,414,"1,049",406,308,529,,,"1,254","1,663","1,013",510,729
2021,10,70,"5,043",343,351,658,292,251,374,,,550,718,706,277,523
2021,10,80,"2,533",196,206,325,127,114,253,,,306,278,319,137,272
2021,10,90,507,39,46,64,26,28,60,,,77,59,35,42,31
2021,10,100,15,3,2,0,1,0,4,,,0,1,1,2,1
2021,11,총,"68,686","2,823","2,488","6,486","1,915","1,551","2,740",,,"8,610","21,814","14,999","1,747","3,513"
2021,11,0,"5,648",103,96,398,63,32,89,,,588,"3,317",807,41,114
2021,11,10,"6,357",165,165,525,115,91,144,,,718,"2,581","1,572",51,230
2021,11,20,"9,159",261,243,743,171,142,262,,,"1,129","1,835","3,950",84,339
2021,11,30,"9,976",247,221,717,156,117,282,,,"1,212","4,447","2,182",101,294
2021,11,40,"11,448",307,347,933,231,200,292,,,"1,337","4,632","2,599",159,411
2021,11,50,"9,404",517,401,"1,052",322,267,450,,,"1,410","2,282","1,797",339,567
2021,11,60,"8,574",646,416,"1,063",405,309,528,,,"1,280","1,657","1,029",511,730
2021,11,70,"5,041",338,349,657,297,252,376,,,546,725,707,277,517
2021,11,80,"2,561",198,204,336,128,114,254,,,312,278,320,139,278
2021,11,90,505,38,44,62,26,27,61,,,78,59,35,43,32
2021,11,100,13,3,2,0,1,0,2,,,0,1,1,2,1
2021,12,총,"68,954","2,819","2,491","6,507","1,924","1,548","2,735",,,"8,676","21,928","15,072","1,750","3,504"
2021,12,0,"5,625",99,99,399,59,32,83,,,588,"3,305",806,42,113
2021,12,10,"6,397",168,166,526,113,89,144,,,730,"2,605","1,575",54,227
2021,12,20,"9,190",262,243,749,171,142,266,,,"1,121","1,857","3,959",85,335
2021,12,30,"10,024",250,226,716,154,118,279,,,"1,231","4,448","2,210",103,289
2021,12,40,"11,482",303,346,931,235,194,294,,,"1,350","4,673","2,591",157,408
2021,12,50,"9,473",507,404,"1,060",324,267,444,,,"1,421","2,306","1,829",336,575
2021,12,60,"8,603",653,420,"1,070",408,311,528,,,"1,291","1,660","1,025",509,728
2021,12,70,"5,056",335,340,657,297,253,376,,,551,735,712,281,519
2021,12,80,"2,570",198,199,339,135,113,253,,,316,277,327,139,274
2021,12,90,518,41,46,59,27,29,65,,,76,61,37,42,35
2021,12,100,16,3,2,1,1,0,3,,,1,1,1,2,1
