년도,월,나이,완도군,완도읍,금일읍,노화읍,노화읍넙도출장소,군외면,신지면,고금면,약산면,청산면,청산면모도출장소,소안면,금당면,보길면,생일면
2021,3,70,"3,266",829,268,276,65,301,257,381,223,147,22,189,74,163,71
2021,3,80,"1,419",277,115,139,12,114,152,197,90,84,10,106,41,58,24
2021,3,90,112,22,8,7,0,6,12,16,8,11,0,10,5,5,2
2021,3,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,4,총,"24,960","9,149","1,904","2,191",434,"1,612","1,749","2,080","1,199","1,016",114,"1,226",494,"1,360",432
2021,4,0,"1,573",759,100,151,22,54,58,86,72,31,5,67,19,129,20
2021,4,10,"1,856",878,96,209,28,63,105,139,47,52,3,69,33,116,18
2021,4,20,"2,209","1,075",139,164,27,96,137,157,79,77,10,84,34,91,39
2021,4,30,"2,115",881,170,214,51,109,114,132,66,82,3,96,35,129,33
2021,4,40,"3,579","1,384",279,345,84,201,235,256,138,105,19,190,65,209,69
2021,4,50,"4,498","1,644",338,358,70,311,343,372,233,210,21,195,95,227,81
2021,4,60,"4,326","1,396",388,330,74,355,336,342,247,219,21,219,92,233,74
2021,4,70,"3,271",833,269,275,67,300,258,383,217,147,22,187,78,163,72
2021,4,80,"1,420",278,117,139,11,117,151,197,91,81,10,108,39,57,24
2021,4,90,111,21,8,6,0,6,12,16,9,11,0,10,4,6,2
2021,4,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,5,총,"24,899","9,123","1,903","2,183",432,"1,609","1,752","2,076","1,190","1,012",114,"1,223",496,"1,352",434
2021,5,0,"1,555",747,102,149,22,54,59,84,72,30,3,67,20,126,20
2021,5,10,"1,850",882,97,209,28,64,98,138,44,51,5,69,32,116,17
2021,5,20,"2,207","1,072",136,162,27,97,140,159,81,78,10,81,34,89,41
2021,5,30,"2,098",876,167,216,49,105,117,130,65,83,3,94,35,126,32
2021,5,40,"3,552","1,367",277,339,83,203,237,250,138,103,19,190,66,211,69
2021,5,50,"4,496","1,639",343,361,70,313,339,375,230,210,21,196,96,226,77
2021,5,60,"4,329","1,398",383,329,75,353,339,344,245,218,21,219,92,234,79
2021,5,70,"3,263",835,269,273,67,298,261,380,214,146,22,187,78,162,71
2021,5,80,"1,430",283,121,139,11,116,149,200,92,81,10,107,39,56,26
