년도,월,나이,수원시,장안구,파장동,율천동,정자1동,정자2동,정자3동,영화동,송죽동,조원1동,조원2동,연무동,권선구,세류1동,세류2동,세류3동,평동,서둔동,구운동,금곡동,호매실동,권선1동,권선2동,곡선동,입북동,팔달구,매교동,매산동,고등동,화서1동,화서2동,지동,우만1동,우만2동,인계동,행궁동,영통구,매탄1동,매탄2동,매탄3동,매탄4동,원천동,영통1동,영통2동,영통3동,망포1동,망포2동,광교1동,광교2동
2020,2,50,"196,150","49,410","4,475","6,747","5,352","5,447","7,232","4,106","3,658","5,542","3,866","2,985","62,575","1,893","4,409","3,505","7,666","6,917","4,983","7,586","5,916","4,325","8,057","4,530","2,788","30,777","1,124","1,968","1,775","4,216","5,106","2,233","3,782","2,721","5,642","2,210","53,388","3,325","2,771","5,510","3,793","4,603","5,641","3,000","5,288","5,115","3,562","6,879","3,901"
2020,2,60,"112,316","28,956","3,148","3,519","2,867","3,213","2,588","3,290","2,400","3,501","1,910","2,520","37,206","1,321","3,264","2,772","4,642","4,723","3,054","3,857","3,397","2,577","4,077","1,864","1,658","21,332",856,"1,513","1,457","3,012","2,391","2,045","2,757","1,632","3,748","1,921","24,822","1,922","1,651","2,508","2,164","2,789","2,197","1,083","1,972","1,988","1,394","2,775","2,379"
2020,2,70,"54,956","15,387","1,643","1,681","1,462","1,917","1,310","1,718","1,148","1,958","1,011","1,539","16,988",654,"1,601","1,472","2,157","2,347","1,416","1,868","1,517","1,041","1,434",722,759,"11,629",499,772,921,"1,699","1,222","1,219","1,631",771,"1,758","1,137","10,952",884,803,"1,118",947,"1,233","1,022",586,794,799,529,"1,121","1,116"
2020,2,80,"23,959","7,210",693,874,687,845,672,652,512,920,631,724,"7,226",282,664,530,917,891,657,871,634,453,627,379,321,"4,651",209,334,331,630,561,477,595,334,737,443,"4,872",325,363,531,456,489,513,262,447,327,252,473,434
2020,2,90,"3,698","1,152",120,127,122,128,98,89,73,157,95,143,"1,099",47,106,86,158,120,79,123,78,71,109,76,46,687,23,50,46,96,81,71,79,55,100,86,760,52,51,72,71,95,75,39,73,58,36,78,60
2020,2,100,294,83,9,10,6,7,1,21,5,5,2,17,89,11,9,11,14,12,6,2,6,5,7,4,2,88,6,6,14,13,5,8,6,1,17,12,34,6,6,4,3,1,6,1,2,3,1,0,1
2020,3,총,"1,192,762","276,842","23,881","43,359","30,415","30,429","43,360","20,490","19,868","29,144","19,417","16,479","370,922","10,557","23,960","19,846","40,735","38,760","25,147","45,879","46,155","24,909","50,130","27,785","17,059","175,533","5,953","10,673","9,213","23,522","27,128","11,686","20,954","17,446","38,054","10,904","369,465","18,790","15,375","36,591","22,392","39,144","36,425","26,580","33,002","31,971","28,402","52,601","28,192"
2020,3,0,"102,370","19,545","1,492","3,274","2,701","2,106","3,928",913,"1,213","1,640","1,537",741,"33,997",907,"1,196","1,048","3,168","2,586","1,529","5,225","7,275","1,427","5,992","1,801","1,843","10,125",252,457,387,"1,581","2,148",463,"1,000","1,272","2,293",272,"38,703","1,293",999,"3,087","1,512","4,736","3,884","2,670","2,831","3,684","4,454","5,997","3,556"
2020,3,10,"122,085","29,898","1,972","4,409","3,657","3,312","7,205","1,284","1,814","2,964","2,152","1,129","34,329",662,"1,691","1,641","3,730","3,367","2,158","5,023","4,406","1,826","5,532","2,398","1,895","14,559",318,531,622,"2,295","3,151",781,"1,574","1,928","2,857",502,"43,299","2,061","1,613","4,581","2,464","3,561","5,055","2,238","4,439","4,202","3,236","6,924","2,925"
2020,3,20,"186,605","44,136","3,428","10,020","4,273","4,384","6,206","2,741","3,064","4,410","3,051","2,559","55,086","1,538","3,608","2,826","6,276","5,999","4,040","6,271","5,172","4,947","6,939","5,413","2,057","28,403",899,"1,875","1,142","3,210","4,145","1,376","3,239","3,604","7,424","1,489","58,980","3,168","2,525","6,590","3,763","6,574","4,966","5,848","6,291","4,629","3,454","8,100","3,072"
2020,3,30,"183,235","33,836","3,013","5,931","3,680","3,777","4,659","2,592","2,782","3,346","2,162","1,894","60,058","1,757","3,613","2,727","5,744","5,563","3,353","6,894","9,720","4,485","8,349","5,515","2,338","25,047",873,"1,701","1,099","2,795","3,602","1,299","3,029","2,286","7,041","1,322","64,294","2,558","2,002","5,649","3,274","7,930","5,681","6,565","4,571","5,125","6,067","9,451","5,421"
2020,3,40,"205,546","46,922","3,845","6,726","5,618","5,211","9,365","3,082","3,146","4,700","2,990","2,239","61,819","1,480","3,819","3,229","6,208","6,159","3,847","8,089","7,942","3,741","8,965","5,030","3,310","27,990",889,"1,441","1,400","3,937","4,672","1,740","3,217","2,813","6,387","1,494","68,815","3,194","2,540","6,913","3,894","7,060","7,333","4,255","6,279","5,987","5,363","10,707","5,290"
2020,3,50,"196,329","49,415","4,485","6,769","5,326","5,465","7,288","4,073","3,672","5,518","3,858","2,961","62,583","1,901","4,371","3,498","7,664","6,936","4,973","7,614","5,946","4,298","8,038","4,540","2,804","30,813","1,127","1,966","1,778","4,209","5,111","2,216","3,795","2,734","5,671","2,206","53,518","3,313","2,799","5,479","3,796","4,623","5,652","3,010","5,299","5,137","3,579","6,925","3,906"
2020,3,60,"113,294","29,161","3,163","3,532","2,883","3,256","2,611","3,308","2,418","3,519","1,933","2,538","37,571","1,315","3,279","2,776","4,685","4,776","3,084","3,889","3,449","2,612","4,127","1,895","1,684","21,457",856,"1,535","1,467","3,033","2,425","2,036","2,783","1,641","3,748","1,933","25,105","1,938","1,667","2,549","2,191","2,823","2,223","1,105","1,977","2,004","1,425","2,798","2,405"
2020,3,70,"55,145","15,425","1,650","1,682","1,454","1,932","1,323","1,732","1,158","1,961","1,002","1,531","17,010",657,"1,605","1,476","2,159","2,343","1,413","1,873","1,518","1,042","1,444",727,753,"11,657",503,780,924,"1,718","1,217","1,211","1,620",778,"1,766","1,140","11,053",880,816,"1,132",972,"1,241","1,037",581,788,810,538,"1,144","1,114"
2020,3,80,"24,092","7,242",701,879,693,851,676,650,517,925,628,722,"7,259",282,663,527,924,895,663,871,645,454,624,386,325,"4,693",206,330,333,638,568,482,610,333,744,449,"4,898",325,362,531,453,498,514,269,449,333,248,475,441
2020,3,90,"3,760","1,177",123,126,123,128,98,94,79,156,102,148,"1,118",47,106,87,162,124,81,128,76,72,112,75,48,701,24,51,47,93,85,73,81,56,106,85,764,54,46,75,70,96,74,38,76,57,37,80,61
2020,3,100,301,85,9,11,7,7,1,21,5,5,2,17,92,11,9,11,15,12,6,2,6,5,8,5,2,88,6,6,14,13,4,9,6,1,17,12,36,6,6,5,3,2,6,1,2,3,1,0,1
2020,4,총,"1,192,622","276,611","23,825","43,338","30,322","30,445","43,339","20,447","19,904","29,130","19,412","16,449","370,955","10,583","23,960","19,778","40,767","38,673","25,137","45,900","46,243","24,871","50,190","27,802","17,051","175,446","5,945","10,695","9,183","23,495","27,090","11,620","20,947","17,439","38,080","10,952","369,610","18,781","15,379","36,557","22,335","39,239","36,390","26,598","33,051","31,907","28,396","52,777","28,200"
2020,4,0,"101,861","19,420","1,471","3,224","2,684","2,117","3,916",904,"1,216","1,609","1,539",740,"33,924",910,"1,185","1,049","3,174","2,581","1,514","5,208","7,284","1,413","5,975","1,811","1,820","10,039",246,455,382,"1,575","2,124",467,985,"1,272","2,264",269,"38,478","1,275",992,"3,077","1,499","4,720","3,829","2,665","2,820","3,650","4,437","5,960","3,554"
2020,4,10,"121,597","29,702","1,953","4,363","3,646","3,293","7,161","1,264","1,816","2,946","2,141","1,119","34,225",655,"1,689","1,623","3,712","3,341","2,147","5,025","4,412","1,814","5,531","2,386","1,890","14,487",324,515,614,"2,293","3,130",767,"1,558","1,924","2,860",502,"43,183","2,062","1,605","4,555","2,436","3,561","5,027","2,239","4,443","4,194","3,243","6,908","2,910"
2020,4,20,"186,996","44,253","3,431","10,089","4,269","4,400","6,230","2,721","3,075","4,437","3,037","2,564","55,079","1,546","3,601","2,809","6,277","5,981","4,060","6,264","5,181","4,928","6,966","5,401","2,065","28,501",899,"1,887","1,133","3,216","4,158","1,367","3,265","3,604","7,467","1,505","59,163","3,164","2,542","6,598","3,764","6,601","4,993","5,811","6,317","4,626","3,453","8,207","3,087"
2020,4,30,"182,876","33,731","3,004","5,903","3,642","3,803","4,639","2,579","2,788","3,330","2,164","1,879","59,934","1,767","3,602","2,710","5,767","5,521","3,341","6,895","9,668","4,476","8,335","5,521","2,331","24,975",868,"1,700","1,104","2,771","3,576","1,286","3,029","2,299","7,006","1,336","64,236","2,540","1,995","5,616","3,255","7,917","5,679","6,605","4,577","5,102","6,063","9,487","5,400"
2020,4,40,"205,273","46,751","3,833","6,699","5,588","5,190","9,335","3,065","3,136","4,682","2,982","2,241","61,825","1,481","3,815","3,214","6,204","6,154","3,844","8,104","8,001","3,740","8,960","5,016","3,292","27,943",887,"1,441","1,390","3,934","4,684","1,729","3,188","2,808","6,385","1,497","68,754","3,186","2,520","6,906","3,862","7,108","7,300","4,235","6,291","5,972","5,374","10,724","5,276"
2020,4,50,"196,352","49,400","4,467","6,803","5,311","5,458","7,310","4,052","3,689","5,513","3,858","2,939","62,559","1,901","4,361","3,503","7,641","6,900","4,953","7,613","5,970","4,285","8,064","4,548","2,820","30,771","1,123","1,986","1,768","4,191","5,099","2,192","3,795","2,725","5,679","2,213","53,622","3,320","2,808","5,470","3,810","4,643","5,658","3,030","5,292","5,143","3,580","6,938","3,930"
2020,4,60,"114,007","29,336","3,175","3,550","2,896","3,259","2,643","3,356","2,424","3,551","1,946","2,536","37,810","1,322","3,304","2,778","4,725","4,810","3,114","3,897","3,467","2,628","4,160","1,912","1,693","21,534",858,"1,534","1,465","3,045","2,447","2,030","2,807","1,632","3,781","1,935","25,327","1,964","1,682","2,575","2,203","2,843","2,256","1,123","1,990","2,015","1,427","2,829","2,420"
2020,4,70,"55,388","15,479","1,653","1,695","1,458","1,943","1,329","1,726","1,160","1,969","1,005","1,541","17,091",662,"1,620","1,468","2,156","2,354","1,422","1,883","1,529","1,052","1,449",735,761,"11,701",504,792,932,"1,724","1,213","1,220","1,620",784,"1,768","1,144","11,117",888,823,"1,140",979,"1,247","1,045",581,796,812,532,"1,158","1,116"
2020,4,80,"24,169","7,263",708,875,698,847,675,663,511,930,630,726,"7,288",279,667,529,932,896,652,878,651,457,630,391,326,"4,699",207,328,335,639,569,479,615,334,742,451,"4,919",323,356,540,452,498,525,269,449,329,247,487,444
2020,4,90,"3,800","1,189",121,126,123,128,100,96,84,156,108,147,"1,126",49,107,83,163,123,84,131,74,73,112,76,51,709,23,51,47,94,86,74,79,56,111,88,776,53,50,76,72,99,72,39,74,61,39,79,62
2020,4,100,303,87,9,11,7,7,1,21,5,7,2,17,94,11,9,12,16,12,6,2,6,5,8,5,2,87,6,6,13,13,4,9,6,1,17,12,35,6,6,4,3,2,6,1,2,3,1,0,1
2020,5,총,"1,192,018","276,317","23,772","43,308","30,215","30,414","43,266","20,417","19,932","29,155","19,390","16,448","370,687","10,561","23,874","19,731","40,833","38,575","25,197","45,892","46,226","24,867","50,118","27,789","17,024","175,396","5,954","10,711","9,159","23,450","27,068","11,587","20,915","17,415","38,162","10,975","369,618","18,767","15,388","36,546","22,305","39,241","36,387","26,551","33,055","31,880","28,419","52,925","28,154"
2020,5,0,"101,337","19,309","1,450","3,221","2,657","2,098","3,894",896,"1,204","1,610","1,535",744,"33,762",907,"1,161","1,034","3,161","2,567","1,515","5,187","7,278","1,399","5,958","1,787","1,808","10,013",245,452,384,"1,578","2,116",463,985,"1,266","2,243",281,"38,253","1,277","1,000","3,050","1,493","4,692","3,796","2,647","2,806","3,637","4,439","5,904","3,512"
2020,5,10,"121,072","29,499","1,937","4,283","3,623","3,266","7,136","1,258","1,814","2,934","2,132","1,116","34,119",650,"1,672","1,625","3,707","3,314","2,145","5,020","4,420","1,799","5,527","2,369","1,871","14,399",325,512,604,"2,276","3,114",764,"1,535","1,908","2,868",493,"43,055","2,033","1,595","4,546","2,409","3,556","5,023","2,228","4,410","4,188","3,234","6,911","2,922"
2020,5,20,"186,965","44,194","3,442","10,086","4,239","4,394","6,214","2,717","3,078","4,425","3,037","2,562","54,970","1,547","3,612","2,799","6,315","5,949","4,048","6,229","5,141","4,951","6,933","5,374","2,072","28,578",906,"1,903","1,118","3,221","4,168","1,362","3,276","3,619","7,491","1,514","59,223","3,173","2,537","6,600","3,764","6,593","4,988","5,782","6,384","4,599","3,456","8,266","3,081"
2020,5,30,"182,542","33,651","2,985","5,899","3,613","3,798","4,625","2,574","2,781","3,352","2,154","1,870","59,796","1,743","3,581","2,708","5,777","5,514","3,353","6,888","9,628","4,469","8,312","5,514","2,309","24,912",875,"1,680","1,101","2,751","3,559","1,285","3,017","2,284","7,032","1,328","64,183","2,541","2,019","5,584","3,247","7,869","5,690","6,622","4,558","5,104","6,038","9,545","5,366"
2020,5,40,"204,852","46,589","3,811","6,680","5,559","5,174","9,293","3,052","3,152","4,650","2,976","2,242","61,763","1,488","3,793","3,197","6,193","6,109","3,856","8,114","8,032","3,721","8,935","5,040","3,285","27,839",878,"1,445","1,381","3,925","4,652","1,717","3,168","2,799","6,374","1,500","68,661","3,162","2,511","6,895","3,856","7,131","7,286","4,223","6,262","5,953","5,382","10,716","5,284"
2020,5,50,"196,610","49,451","4,467","6,831","5,311","5,475","7,332","4,033","3,692","5,526","3,854","2,930","62,593","1,906","4,334","3,498","7,671","6,893","4,966","7,623","5,966","4,288","8,062","4,557","2,829","30,761","1,121","1,986","1,776","4,192","5,116","2,165","3,782","2,726","5,688","2,209","53,805","3,332","2,793","5,497","3,805","4,673","5,680","3,027","5,301","5,170","3,610","6,985","3,932"
2020,5,60,"114,605","29,490","3,191","3,570","2,914","3,273","2,667","3,369","2,435","3,582","1,948","2,541","37,991","1,312","3,312","2,766","4,739","4,836","3,130","3,929","3,492","2,647","4,185","1,935","1,708","21,613",860,"1,545","1,465","3,028","2,468","2,031","2,819","1,636","3,808","1,953","25,511","1,975","1,698","2,603","2,225","2,850","2,281","1,131","2,005","2,028","1,440","2,852","2,423"
2020,5,70,"55,645","15,562","1,653","1,720","1,462","1,959","1,329","1,727","1,169","1,976","1,017","1,550","17,147",667,"1,638","1,470","2,156","2,348","1,435","1,885","1,537","1,057","1,450",740,764,"11,757",511,803,937,"1,730","1,219","1,228","1,635",777,"1,773","1,144","11,179",889,820,"1,160",976,"1,269","1,039",583,798,817,529,"1,178","1,121"
2020,5,80,"24,262","7,287",705,880,703,842,674,671,514,939,631,728,"7,326",282,660,539,936,908,659,887,652,457,628,392,326,"4,723",205,328,331,643,570,486,610,342,755,453,"4,926",323,358,529,453,507,524,267,455,322,251,488,449
2020,5,90,"3,821","1,198",122,127,126,128,101,99,88,155,104,148,"1,126",48,102,83,160,126,84,128,74,75,120,76,50,713,22,51,49,93,82,76,82,57,113,88,784,56,51,78,74,98,74,40,74,59,39,80,61
2020,5,100,307,87,9,11,8,7,1,21,5,6,2,17,94,11,9,12,18,11,6,2,6,4,8,5,2,88,6,6,13,13,4,10,6,1,17,12,38,6,6,4,3,3,6,1,2,3,1,0,3
2020,6,총,"1,191,542","275,875","23,764","43,207","30,104","30,368","43,279","20,356","19,889","29,108","19,357","16,443","370,648","10,551","23,838","19,661","41,007","38,548","25,103","45,906","46,329","24,875","50,079","27,732","17,019","175,468","5,968","10,764","9,127","23,455","27,030","11,547","20,903","17,392","38,270","11,012","369,551","18,688","15,372","36,528","22,306","39,285","36,324","26,519","33,042","31,841","28,434","53,019","28,193"
2020,6,0,"100,857","19,176","1,440","3,214","2,630","2,082","3,867",891,"1,197","1,593","1,523",739,"33,680",914,"1,157","1,017","3,185","2,568","1,516","5,160","7,267","1,392","5,943","1,776","1,785","9,926",242,441,373,"1,578","2,094",459,975,"1,252","2,232",280,"38,075","1,256","1,003","3,043","1,480","4,682","3,786","2,632","2,796","3,616","4,430","5,858","3,493"
2020,6,10,"120,611","29,315","1,925","4,217","3,614","3,258","7,112","1,246","1,790","2,908","2,133","1,112","34,000",641,"1,663","1,614","3,699","3,290","2,128","5,014","4,442","1,773","5,509","2,355","1,872","14,336",324,509,606,"2,267","3,120",752,"1,516","1,889","2,860",493,"42,960","2,012","1,579","4,545","2,398","3,540","5,017","2,209","4,409","4,184","3,217","6,924","2,926"
2020,6,20,"187,086","44,199","3,429","10,085","4,210","4,396","6,257","2,717","3,080","4,430","3,020","2,575","54,975","1,532","3,618","2,791","6,358","5,927","4,025","6,232","5,151","4,969","6,940","5,361","2,071","28,666",919,"1,922","1,116","3,216","4,159","1,360","3,278","3,646","7,521","1,529","59,246","3,162","2,528","6,568","3,769","6,642","4,972","5,779","6,377","4,583","3,475","8,314","3,077"
2020,6,30,"182,108","33,474","2,983","5,869","3,575","3,801","4,595","2,541","2,759","3,344","2,140","1,867","59,710","1,750","3,574","2,696","5,811","5,527","3,324","6,886","9,603","4,483","8,244","5,495","2,317","24,894",873,"1,690","1,081","2,753","3,542","1,275","3,019","2,269","7,074","1,318","64,030","2,532","2,019","5,572","3,238","7,820","5,669","6,621","4,547","5,085","6,007","9,561","5,359"
2020,6,40,"204,658","46,417","3,797","6,645","5,543","5,154","9,283","3,031","3,139","4,620","2,967","2,238","61,778","1,483","3,775","3,184","6,224","6,093","3,840","8,116","8,099","3,723","8,960","4,995","3,286","27,780",877,"1,456","1,375","3,931","4,629","1,714","3,143","2,788","6,366","1,501","68,683","3,150","2,499","6,886","3,868","7,138","7,275","4,212","6,259","5,951","5,401","10,740","5,304"
2020,6,50,"196,414","49,378","4,453","6,830","5,307","5,466","7,359","4,005","3,694","5,517","3,857","2,890","62,480","1,904","4,339","3,482","7,664","6,871","4,932","7,628","5,945","4,258","8,056","4,579","2,822","30,729","1,115","1,989","1,761","4,179","5,104","2,160","3,778","2,733","5,694","2,216","53,827","3,303","2,793","5,506","3,799","4,705","5,654","3,023","5,294","5,165","3,636","7,018","3,931"
2020,6,60,"115,514","29,693","3,237","3,600","2,926","3,276","2,684","3,383","2,443","3,611","1,952","2,581","38,287","1,315","3,311","2,774","4,789","4,857","3,152","3,965","3,554","2,683","4,207","1,956","1,724","21,785",873,"1,560","1,479","3,048","2,504","2,027","2,845","1,634","3,853","1,962","25,749","1,988","1,713","2,633","2,247","2,858","2,311","1,139","2,029","2,054","1,447","2,867","2,463"
2020,6,70,"55,854","15,620","1,662","1,729","1,474","1,954","1,333","1,749","1,176","1,984","1,013","1,546","17,198",669,"1,632","1,468","2,169","2,374","1,430","1,886","1,537","1,057","1,463",742,771,"11,810",515,812,941,"1,738","1,221","1,228","1,642",783,"1,778","1,152","11,226",893,821,"1,167",979,"1,284","1,040",590,795,821,529,"1,179","1,128"
2020,6,80,"24,312","7,321",711,879,699,847,686,674,518,938,640,729,"7,321",283,661,539,931,902,664,888,651,459,630,391,322,"4,735",200,329,332,640,569,489,619,341,759,457,"4,935",329,359,529,452,518,523,273,460,320,251,476,445
2020,6,90,"3,820","1,194",118,128,118,127,102,98,88,157,110,148,"1,126",49,99,84,159,128,86,129,74,75,118,77,48,718,24,50,49,92,84,73,82,56,116,92,782,57,52,75,73,95,72,40,74,59,39,82,64
2020,6,100,308,88,9,11,8,7,1,21,5,6,2,18,93,11,9,12,18,11,6,2,6,3,9,5,1,89,6,6,14,13,4,10,6,1,17,12,38,6,6,4,3,3,5,1,2,3,2,0,3
2020,7,총,"1,191,244","275,479","23,743","43,138","30,036","30,331","43,195","20,324","19,878","29,113","19,297","16,424","370,548","10,548","23,759","19,632","41,112","38,478","25,042","45,935","46,470","24,882","49,990","27,708","16,992","175,247","5,971","10,779","9,136","23,354","27,010","11,501","20,819","17,386","38,294","10,997","369,970","18,668","15,347","36,492","22,266","39,262","36,340","27,057","32,994","31,786","28,454","53,150","28,154"
2020,7,0,"100,439","19,034","1,425","3,204","2,603","2,069","3,819",883,"1,196","1,590","1,510",735,"33,584",924,"1,147","1,011","3,207","2,539","1,504","5,133","7,267","1,381","5,914","1,774","1,783","9,850",242,442,369,"1,565","2,077",460,959,"1,247","2,211",278,"37,971","1,243",993,"3,018","1,472","4,656","3,773","2,706","2,772","3,607","4,426","5,833","3,472"
2020,7,10,"120,161","29,186","1,923","4,163","3,602","3,253","7,088","1,245","1,793","2,902","2,110","1,107","33,878",622,"1,657","1,600","3,684","3,272","2,128","5,008","4,469","1,760","5,466","2,347","1,865","14,241",322,494,599,"2,246","3,095",751,"1,511","1,894","2,843",486,"42,856","1,992","1,567","4,531","2,368","3,519","5,020","2,219","4,403","4,157","3,235","6,922","2,923"
