년도,월,나이,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020,9,90,96,19,5,6,6,8,4,10,13,10,0,15
2020,9,100,1,1,0,0,0,0,0,0,0,0,0,0
2020,10,총,"13,530","4,980",755,997,860,856,703,976,"1,064",636,544,"1,159"
2020,10,0,801,461,35,37,33,24,32,32,69,11,33,34
2020,10,10,"1,146",682,46,47,52,39,38,65,70,22,26,59
2020,10,20,"1,142",539,63,56,54,59,44,72,80,61,35,79
2020,10,30,988,452,43,63,69,65,47,57,52,43,36,61
2020,10,40,"1,910",856,82,146,118,95,79,112,118,79,79,146
2020,10,50,"2,430",803,163,180,149,165,145,181,220,119,87,218
2020,10,60,"2,431",618,153,227,166,229,139,231,219,121,104,224
2020,10,70,"1,700",383,111,149,138,107,106,143,161,106,91,205
2020,10,80,885,167,54,86,74,65,69,73,63,64,53,117
2020,10,90,97,19,5,6,7,8,4,10,12,10,0,16
2020,10,100,0,0,0,0,0,0,0,0,0,0,0,0
2020,11,총,"13,520","4,989",753,988,862,856,703,979,"1,050",639,538,"1,163"
2020,11,0,778,456,33,35,31,23,32,31,62,11,30,34
2020,11,10,"1,149",681,48,45,52,40,38,68,72,22,25,58
2020,11,20,"1,143",545,61,57,54,56,44,71,78,63,34,80
2020,11,30,977,452,42,60,69,65,49,53,49,43,35,60
2020,11,40,"1,903",862,82,145,116,94,76,111,115,77,80,145
2020,11,50,"2,444",808,163,178,154,165,147,182,219,121,87,220
2020,11,60,"2,434",616,152,226,167,231,137,233,219,123,103,227
2020,11,70,"1,707",383,112,151,139,109,106,146,161,105,90,205
2020,11,80,888,167,55,85,72,65,71,73,63,64,54,119
2020,11,90,97,19,5,6,8,8,3,11,12,10,0,15
2020,11,100,0,0,0,0,0,0,0,0,0,0,0,0
