년도,월,나이,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020,5,100,19,6,5,3,2,2,1,0,0,0
2020,6,총,"22,655","10,364","2,142","1,512","2,787","1,144","1,202","1,684",998,822
2020,6,0,"1,064",723,61,31,124,18,23,41,27,16
2020,6,10,"1,733",992,98,277,173,45,25,62,36,25
2020,6,20,"1,687","1,055",133,51,166,59,62,83,51,27
2020,6,30,"1,665","1,033",122,65,187,54,40,78,52,34
2020,6,40,"2,284","1,379",179,79,285,71,74,99,62,56
2020,6,50,"4,177","1,741",424,273,569,227,254,341,187,161
2020,6,60,"4,718","1,582",515,346,632,319,333,443,288,260
2020,6,70,"2,926","1,052",329,209,368,190,199,271,147,161
2020,6,80,"1,993",662,235,145,235,136,163,217,124,76
2020,6,90,387,138,40,33,46,23,28,49,24,6
2020,6,100,21,7,6,3,2,2,1,0,0,0
2020,7,총,"22,623","10,341","2,140","1,516","2,790","1,143","1,208","1,674",993,818
2020,7,0,"1,058",723,61,30,123,17,23,39,27,15
2020,7,10,"1,739",993,98,277,178,44,27,61,36,25
2020,7,20,"1,674","1,045",135,50,167,58,61,82,49,27
2020,7,30,"1,657","1,031",120,63,184,56,41,77,50,35
2020,7,40,"2,279","1,371",177,81,283,74,76,100,63,54
2020,7,50,"4,156","1,734",427,273,568,222,254,334,185,159
2020,7,60,"4,737","1,590",516,348,633,320,333,449,289,259
2020,7,70,"2,922","1,053",325,211,366,190,199,269,148,161
2020,7,80,"1,990",657,235,144,239,137,164,214,122,78
2020,7,90,390,136,40,36,47,24,29,49,24,5
2020,7,100,21,8,6,3,2,1,1,0,0,0
2020,8,총,"22,626","10,338","2,146","1,521","2,786","1,142","1,199","1,672",996,826
2020,8,0,"1,048",722,60,27,117,17,24,39,27,15
2020,8,10,"1,728",991,98,277,177,42,27,57,35,24
2020,8,20,"1,675","1,046",136,50,166,60,59,82,48,28
2020,8,30,"1,643","1,020",122,64,178,56,41,75,52,35
2020,8,40,"2,282","1,374",178,82,284,69,76,101,63,55
2020,8,50,"4,170","1,735",430,274,572,224,253,332,187,163
2020,8,60,"4,752","1,592",517,352,634,321,330,454,289,263
2020,8,70,"2,924","1,052",325,213,369,187,199,271,147,161
2020,8,80,"1,992",663,234,143,240,140,160,211,125,76
2020,8,90,390,135,40,35,47,25,29,50,23,6
2020,8,100,22,8,6,4,2,1,1,0,0,0
2020,9,총,"22,659","10,336","2,143","1,526","2,803","1,145","1,203","1,672",999,832
2020,9,0,"1,050",722,61,28,117,18,24,38,27,15
2020,9,10,"1,724",986,97,277,179,43,26,56,35,25
2020,9,20,"1,665","1,033",135,49,167,59,60,83,49,30
2020,9,30,"1,641","1,019",120,62,180,55,42,74,54,35
2020,9,40,"2,280","1,373",181,83,281,70,74,99,64,55
2020,9,50,"4,170","1,743",424,274,566,227,254,332,185,165
2020,9,60,"4,783","1,602",518,357,647,320,333,454,289,263
2020,9,70,"2,920","1,047",326,213,373,185,196,269,149,162
2020,9,80,"2,013",667,237,144,246,141,163,215,124,76
2020,9,90,391,136,38,35,45,26,30,52,23,6
2020,9,100,22,8,6,4,2,1,1,0,0,0
2020,10,총,"22,667","10,340","2,144","1,531","2,800","1,157","1,195","1,671",997,832
2020,10,0,"1,037",710,60,29,116,19,24,38,27,14
2020,10,10,"1,728",989,99,275,181,45,24,55,35,25
2020,10,20,"1,662","1,031",133,51,169,59,58,82,48,31
2020,10,30,"1,630","1,014",120,62,177,56,42,69,55,35
2020,10,40,"2,287","1,374",178,86,283,71,73,101,66,55
2020,10,50,"4,138","1,743",418,269,561,228,248,328,180,163
2020,10,60,"4,831","1,618",528,363,648,324,336,461,288,265
2020,10,70,"2,911","1,045",325,215,366,185,196,270,148,161
2020,10,80,"2,025",668,240,145,251,143,159,215,127,77
2020,10,90,396,140,37,33,45,26,34,52,23,6
2020,10,100,22,8,6,3,3,1,1,0,0,0
2020,11,총,"22,675","10,322","2,149","1,539","2,799","1,162","1,200","1,672",998,834
2020,11,0,"1,022",697,61,29,114,19,22,39,27,14
2020,11,10,"1,706",977,97,275,177,45,25,54,33,23
2020,11,20,"1,677","1,040",136,52,168,60,58,81,50,32
2020,11,30,"1,639","1,008",122,65,182,57,43,70,56,36
2020,11,40,"2,269","1,360",179,87,279,70,74,99,65,56
2020,11,50,"4,114","1,742",413,267,560,222,247,325,176,162
2020,11,60,"4,884","1,629",537,369,656,331,337,467,293,265
2020,11,70,"2,902","1,045",322,211,363,183,202,267,148,161
2020,11,80,"2,042",675,239,149,252,147,157,217,128,78
2020,11,90,398,141,37,32,45,27,34,53,22,7
2020,11,100,22,8,6,3,3,1,1,0,0,0
2020,12,총,"22,650","10,320","2,157","1,500","2,802","1,165","1,195","1,671","1,004",836
2020,12,0,"1,025",698,60,29,117,19,20,41,26,15
2020,12,10,"1,667",970,98,242,177,45,27,52,34,22
2020,12,20,"1,663","1,038",133,51,165,59,54,82,47,34
2020,12,30,"1,632","1,004",120,60,184,57,44,70,58,35
2020,12,40,"2,267","1,359",180,90,280,66,73,99,64,56
2020,12,50,"4,115","1,752",412,266,552,224,248,323,176,162
2020,12,60,"4,918","1,639",542,370,662,333,337,470,296,269
2020,12,70,"2,896","1,037",326,208,360,186,204,266,151,158
2020,12,80,"2,042",671,241,148,257,145,155,217,130,78
2020,12,90,400,142,39,33,44,30,32,51,22,7
2020,12,100,25,10,6,3,4,1,1,0,0,0
2021,1,총,"22,629","10,305","2,167","1,480","2,807","1,160","1,186","1,677","1,010",837
2021,1,0,"1,020",690,61,27,120,20,19,41,26,16
2021,1,10,"1,641",965,101,218,175,45,27,51,35,24
2021,1,20,"1,647","1,032",134,51,167,54,49,79,47,34
2021,1,30,"1,627","1,005",118,59,182,55,44,71,57,36
2021,1,40,"2,273","1,362",181,89,279,71,70,101,65,55
2021,1,50,"4,080","1,739",415,264,539,221,242,324,175,161
2021,1,60,"4,965","1,647",545,377,677,331,346,475,300,267
2021,1,70,"2,882","1,039",324,208,352,189,198,267,149,156
2021,1,80,"2,063",672,240,149,267,144,158,218,134,81
2021,1,90,405,144,42,35,45,29,32,50,21,7
2021,1,100,26,10,6,3,4,1,1,0,1,0
2021,2,총,"22,637","10,296","2,171","1,480","2,822","1,164","1,187","1,679","1,005",833
2021,2,0,"1,014",684,60,29,119,20,20,40,26,16
2021,2,10,"1,637",967,101,212,173,43,30,55,33,23
2021,2,20,"1,645","1,021",132,52,175,57,48,79,47,34
2021,2,30,"1,629","1,009",118,60,183,55,45,70,55,34
2021,2,40,"2,260","1,354",180,87,280,73,69,98,64,55
2021,2,50,"4,070","1,740",412,266,541,217,239,322,175,158
2021,2,60,"4,995","1,658",553,375,680,336,346,477,301,269
2021,2,70,"2,868","1,029",321,211,352,188,197,266,148,156
2021,2,80,"2,091",682,247,150,271,144,160,220,135,82
2021,2,90,401,142,41,35,43,30,32,52,20,6
2021,2,100,27,10,6,3,5,1,1,0,1,0
2021,3,총,"22,587","10,252","2,145","1,547","2,814","1,157","1,175","1,671",999,827
2021,3,0,997,677,59,30,119,18,18,36,26,14
2021,3,10,"1,705",962,99,282,176,44,32,55,33,22
2021,3,20,"1,627","1,016",131,50,170,60,47,77,45,31
2021,3,30,"1,614",999,120,62,183,51,39,71,54,35
2021,3,40,"2,239","1,344",175,89,279,69,68,98,63,54
2021,3,50,"4,039","1,747",402,260,535,212,231,320,173,159
2021,3,60,"5,002","1,654",554,374,679,341,348,481,302,269
2021,3,70,"2,850","1,010",320,212,358,186,200,260,149,155
2021,3,80,"2,092",688,244,150,267,144,160,223,134,82
2021,3,90,400,145,39,35,44,31,31,50,19,6
2021,3,100,22,10,2,3,4,1,1,0,1,0
2021,4,총,"22,649","10,318","2,131","1,543","2,815","1,163","1,178","1,681",994,826
2021,4,0,"1,003",682,59,30,118,18,19,36,26,15
2021,4,10,"1,694",958,96,280,171,45,31,57,33,23
2021,4,20,"1,640","1,032",130,50,168,63,46,75,45,31
2021,4,30,"1,617","1,008",117,61,181,50,41,72,52,35
2021,4,40,"2,235","1,353",175,88,274,68,67,99,61,50
2021,4,50,"4,024","1,744",389,258,536,214,229,322,172,160
2021,4,60,"5,050","1,674",558,375,691,342,351,485,305,269
2021,4,70,"2,844","1,006",319,212,360,184,199,261,148,155
2021,4,80,"2,113",702,245,151,268,146,163,224,132,82
2021,4,90,406,149,41,35,43,32,31,50,19,6
2021,4,100,23,10,2,3,5,1,1,0,1,0
2021,5,총,"22,679","10,371","2,113","1,548","2,806","1,160","1,180","1,679",992,830
2021,5,0,"1,004",688,57,30,118,15,19,35,27,15
2021,5,10,"1,703",964,96,280,175,45,32,57,30,24
2021,5,20,"1,618","1,027",125,50,160,62,44,76,44,30
2021,5,30,"1,612","1,018",110,60,180,48,41,67,53,35
2021,5,40,"2,217","1,342",176,89,268,69,65,98,59,51
2021,5,50,"4,044","1,763",387,257,535,210,230,324,175,163
2021,5,60,"5,077","1,695",556,377,692,344,354,487,304,268
2021,5,70,"2,844","1,009",315,213,363,185,200,257,146,156
2021,5,80,"2,117",702,247,152,267,148,161,226,132,82
2021,5,90,420,153,42,37,43,33,33,52,21,6
2021,5,100,23,10,2,3,5,1,1,0,1,0
2021,6,총,"22,687","10,388","2,113","1,551","2,807","1,151","1,174","1,679",993,831
2021,6,0,"1,002",687,58,30,117,15,19,35,26,15
2021,6,10,"1,703",969,93,281,175,42,31,57,31,24
2021,6,20,"1,619","1,026",128,50,162,62,40,77,45,29
2021,6,30,"1,598","1,012",109,58,177,47,42,65,53,35
2021,6,40,"2,211","1,342",175,89,267,69,64,97,57,51
2021,6,50,"4,020","1,752",386,251,533,204,229,326,178,161
2021,6,60,"5,131","1,724",557,391,700,345,353,489,301,271
2021,6,70,"2,817",997,315,213,355,184,197,253,146,157
2021,6,80,"2,141",713,248,149,273,149,165,228,134,82
2021,6,90,421,156,42,36,43,33,33,52,21,5
2021,6,100,24,10,2,3,5,1,1,0,1,1
2021,7,총,"22,716","10,405","2,124","1,545","2,812","1,162","1,181","1,675",984,828
2021,7,0,"1,001",690,57,28,116,15,20,35,25,15
2021,7,10,"1,697",970,95,278,176,38,31,55,30,24
2021,7,20,"1,619","1,034",126,52,156,66,41,76,43,25
2021,7,30,"1,577",997,112,58,175,48,40,62,52,33
2021,7,40,"2,215","1,352",174,86,264,68,66,95,57,53
2021,7,50,"4,034","1,750",391,254,537,211,229,328,174,160
2021,7,60,"5,163","1,731",565,393,709,347,354,490,304,270
2021,7,70,"2,816","1,001",310,210,355,183,200,254,143,160
2021,7,80,"2,150",714,249,148,277,152,166,227,135,82
2021,7,90,419,156,43,35,42,33,33,53,19,5
2021,7,100,25,10,2,3,5,1,1,0,2,1
2021,8,총,"22,713","10,425","2,121","1,543","2,818","1,156","1,175","1,664",981,830
2021,8,0,"1,002",689,59,27,119,15,18,34,25,16
2021,8,10,"1,697",973,92,280,178,37,29,54,30,24
2021,8,20,"1,611","1,032",127,48,153,68,40,76,43,24
2021,8,30,"1,579",991,113,60,177,48,40,62,53,35
2021,8,40,"2,203","1,360",170,84,258,67,64,92,54,54
2021,8,50,"4,032","1,755",389,258,543,211,231,316,172,157
2021,8,60,"5,187","1,743",567,392,713,344,354,497,307,270
2021,8,70,"2,807",996,310,210,353,183,200,251,142,162
2021,8,80,"2,149",717,250,147,277,150,165,227,134,82
2021,8,90,421,159,42,35,41,32,33,55,19,5
2021,8,100,25,10,2,2,6,1,1,0,2,1
2021,9,총,"22,671","10,404","2,116","1,540","2,816","1,162","1,176","1,652",980,825
2021,9,0,"1,005",693,60,28,115,17,19,33,25,15
2021,9,10,"1,684",969,91,273,178,37,29,53,30,24
2021,9,20,"1,573","1,006",123,52,151,65,37,75,41,23
2021,9,30,"1,560",986,106,61,172,48,41,62,51,33
2021,9,40,"2,205","1,366",171,81,254,70,64,90,54,55
2021,9,50,"4,024","1,754",389,257,546,212,232,310,169,155
2021,9,60,"5,227","1,754",574,395,719,351,355,498,312,269
2021,9,70,"2,798",994,308,208,355,179,200,251,142,161
2021,9,80,"2,148",713,251,148,276,150,164,227,135,84
2021,9,90,423,160,41,35,44,32,34,53,19,5
2021,9,100,24,9,2,2,6,1,1,0,2,1
2021,10,총,"22,670","10,392","2,117","1,546","2,812","1,171","1,172","1,657",979,824
2021,10,0,997,687,60,27,114,17,21,32,25,14
2021,10,10,"1,681",966,89,274,176,39,28,55,30,24
2021,10,20,"1,556",996,119,50,148,66,36,75,42,24
2021,10,30,"1,551",983,107,60,172,45,40,61,52,31
2021,10,40,"2,197","1,358",172,85,245,71,64,92,55,55
2021,10,50,"4,028","1,761",391,254,550,214,227,310,168,153
2021,10,60,"5,267","1,764",582,403,726,356,356,499,310,271
2021,10,70,"2,793",995,304,208,352,181,199,252,141,161
2021,10,80,"2,151",712,248,149,279,149,166,228,135,85
2021,10,90,427,162,44,34,44,32,34,53,19,5
2021,10,100,22,8,1,2,6,1,1,0,2,1
2021,11,총,"22,680","10,401","2,124","1,542","2,808","1,166","1,173","1,656",986,824
2021,11,0,994,686,61,25,114,16,20,32,26,14
2021,11,10,"1,679",969,90,276,174,37,29,54,27,23
2021,11,20,"1,550",991,120,51,146,66,36,73,45,22
2021,11,30,"1,541",982,107,58,166,43,40,61,52,32
2021,11,40,"2,194","1,355",170,83,245,70,64,95,56,56
2021,11,50,"4,008","1,753",389,256,542,213,225,308,166,156
2021,11,60,"5,320","1,787",588,401,740,359,356,503,317,269
2021,11,70,"2,784",988,303,209,352,177,206,249,140,160
2021,11,80,"2,158",718,249,146,279,152,163,229,137,85
2021,11,90,429,164,46,34,44,32,33,52,18,6
2021,11,100,23,8,1,3,6,1,1,0,2,1
2021,12,총,"22,622","10,403","2,116","1,513","2,801","1,167","1,167","1,657",978,820
2021,12,0,993,685,60,25,112,16,22,34,26,13
2021,12,10,"1,644",970,88,248,172,36,28,54,26,22
2021,12,20,"1,537",979,120,49,145,67,36,75,44,22
2021,12,30,"1,531",981,103,60,165,42,40,60,50,30
2021,12,40,"2,198","1,357",170,81,248,71,64,96,55,56
2021,12,50,"3,988","1,755",384,256,536,207,219,305,167,159
2021,12,60,"5,326","1,789",595,400,741,360,355,505,314,267
2021,12,70,"2,790",993,302,208,352,181,205,248,141,160
2021,12,80,"2,169",720,249,149,283,154,164,231,135,84
2021,12,90,423,166,44,34,41,32,33,49,18,6
2021,12,100,23,8,1,3,6,1,1,0,2,1
