년도,월,나이,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020,3,20,"18,535",207,509,347,667,"1,189",726,213,"1,291","2,388","2,071","2,012","1,673","1,532","2,167","1,543"
2020,3,30,"20,418",446,551,393,603,663,744,284,"1,264","2,317","2,546","2,231","1,752","1,403","2,863","2,358"
2020,3,40,"18,507",454,682,447,503,609,617,192,"1,121","2,149","2,556","2,064","1,611","1,642","1,830","2,030"
2020,3,50,"20,982",308,"1,021",517,608,595,873,352,"1,373","2,373","2,926","2,379","1,854","1,986","1,827","1,990"
2020,3,60,"17,114",233,"1,064",523,605,506,862,389,978,"1,945","2,577","1,876","1,279","1,366","1,485","1,426"
2020,3,70,"10,471",105,564,335,352,384,523,193,636,"1,226","1,650","1,163",812,764,858,906
2020,3,80,"4,648",44,277,141,170,173,198,76,241,489,757,584,325,412,348,413
2020,3,90,851,10,86,26,52,32,36,23,52,75,146,90,44,58,49,72
2020,3,100,195,5,42,9,9,3,14,10,8,13,11,7,11,15,9,29
2020,4,총,"126,126","2,117","5,219","2,975","3,948","4,696","4,971","1,825","7,538","14,494","17,454","14,146","10,625","10,798","12,725","12,595"
2020,4,0,"7,151",186,207,89,198,188,142,53,263,618,"1,186",807,620,782,753,"1,059"
2020,4,10,"7,225",118,214,154,174,337,200,36,304,901,"1,040",935,603,884,542,783
2020,4,20,"18,542",207,516,343,677,"1,206",727,208,"1,287","2,412","2,081","2,010","1,681","1,505","2,154","1,528"
2020,4,30,"20,384",441,552,397,605,663,755,280,"1,263","2,303","2,531","2,233","1,763","1,383","2,870","2,345"
2020,4,40,"18,457",456,686,436,495,609,618,197,"1,122","2,130","2,545","2,054","1,603","1,646","1,828","2,032"
2020,4,50,"20,990",310,"1,011",522,601,600,883,354,"1,361","2,369","2,924","2,378","1,871","1,977","1,825","2,004"
2020,4,60,"17,138",233,"1,054",525,610,507,867,395,989,"1,946","2,580","1,889","1,281","1,367","1,477","1,418"
2020,4,70,"10,516",106,573,333,355,375,521,194,644,"1,235","1,649","1,156",823,767,871,914
2020,4,80,"4,670",45,278,141,173,175,207,76,244,489,762,585,324,412,347,412
2020,4,90,856,10,85,26,51,33,37,22,53,78,145,91,45,60,49,71
2020,4,100,197,5,43,9,9,3,14,10,8,13,11,8,11,15,9,29
2020,5,총,"126,120","2,110","5,222","2,999","3,968","4,692","5,011","1,830","7,552","14,451","17,400","14,157","10,656","10,796","12,708","12,568"
2020,5,0,"7,113",185,207,90,195,189,143,53,267,600,"1,172",799,621,777,757,"1,058"
2020,5,10,"7,188",116,207,158,176,340,210,36,302,889,"1,034",928,600,875,542,775
2020,5,20,"18,564",211,519,351,692,"1,213",745,208,"1,290","2,423","2,079","2,019","1,670","1,506","2,130","1,508"
2020,5,30,"20,356",432,558,397,607,664,760,285,"1,271","2,292","2,501","2,236","1,772","1,375","2,871","2,335"
2020,5,40,"18,453",459,678,444,486,596,621,196,"1,103","2,132","2,545","2,040","1,613","1,655","1,843","2,042"
2020,5,50,"20,973",310,"1,008",514,610,601,876,352,"1,368","2,365","2,911","2,388","1,875","1,981","1,809","2,005"
2020,5,60,"17,163",231,"1,063",534,608,507,867,396,996,"1,936","2,584","1,890","1,283","1,371","1,478","1,419"
2020,5,70,"10,570",106,573,332,359,373,531,197,649,"1,233","1,649","1,170",831,772,878,917
2020,5,80,"4,686",45,282,143,174,174,207,76,244,490,769,589,333,408,342,410
2020,5,90,858,10,84,27,52,32,36,21,54,78,147,90,46,62,50,69
2020,5,100,196,5,43,9,9,3,15,10,8,13,9,8,12,14,8,30
2020,6,총,"126,092","2,103","5,203","2,992","3,982","4,697","5,034","1,817","7,567","14,454","17,377","14,150","10,644","10,783","12,712","12,577"
2020,6,0,"7,097",180,202,91,196,189,142,54,265,600,"1,176",793,617,774,759,"1,059"
2020,6,10,"7,131",112,207,153,185,337,205,35,299,878,"1,015",930,592,878,531,774
2020,6,20,"18,565",209,513,355,697,"1,226",761,206,"1,310","2,420","2,071","2,019","1,654","1,492","2,135","1,497"
2020,6,30,"20,393",438,563,394,606,667,774,282,"1,277","2,310","2,498","2,232","1,780","1,373","2,875","2,324"
2020,6,40,"18,388",456,675,439,488,589,621,195,"1,086","2,127","2,525","2,022","1,602","1,665","1,846","2,052"
2020,6,50,"20,939",309,"1,000",513,611,602,878,342,"1,377","2,365","2,902","2,386","1,880","1,967","1,798","2,009"
2020,6,60,"17,228",233,"1,058",532,609,501,858,397,"1,003","1,926","2,610","1,906","1,298","1,384","1,488","1,425"
2020,6,70,"10,601",106,574,336,356,378,536,199,644,"1,243","1,645","1,172",832,769,887,924
2020,6,80,"4,695",45,283,142,175,173,207,76,245,494,779,591,330,407,336,412
2020,6,90,858,10,85,28,50,32,37,21,53,78,147,91,47,60,49,70
2020,6,100,197,5,43,9,9,3,15,10,8,13,9,8,12,14,8,31
2020,7,총,"125,970","2,092","5,200","2,976","3,998","4,694","5,037","1,837","7,596","14,388","17,332","14,130","10,648","10,762","12,703","12,577"
2020,7,0,"7,079",176,207,91,197,186,141,54,271,590,"1,173",786,615,774,751,"1,067"
2020,7,10,"7,097",112,211,148,185,329,203,34,298,864,"1,009",929,590,875,538,772
2020,7,20,"18,570",214,501,354,707,"1,230",774,203,"1,320","2,424","2,069","2,007","1,659","1,481","2,134","1,493"
2020,7,30,"20,323",427,566,397,607,671,774,293,"1,276","2,294","2,477","2,231","1,783","1,352","2,854","2,321"
2020,7,40,"18,363",456,683,440,492,588,619,200,"1,080","2,099","2,508","2,026","1,602","1,667","1,848","2,055"
2020,7,50,"20,922",312,988,506,610,599,873,342,"1,388","2,360","2,902","2,388","1,884","1,959","1,801","2,010"
2020,7,60,"17,221",231,"1,045",527,609,498,857,400,"1,008","1,928","2,611","1,901","1,301","1,394","1,489","1,422"
2020,7,70,"10,625",104,584,336,357,383,538,202,650,"1,245","1,642","1,171",826,773,893,921
2020,7,80,"4,710",45,286,141,176,175,206,78,243,493,781,593,328,413,337,415
2020,7,90,861,10,86,27,48,32,37,21,54,77,151,90,47,61,50,70
2020,7,100,199,5,43,9,10,3,15,10,8,14,9,8,13,13,8,31
2020,8,총,"125,990","2,095","5,190","2,964","4,019","4,686","5,064","1,837","7,617","14,412","17,291","14,117","10,647","10,776","12,673","12,602"
2020,8,0,"7,061",173,205,92,195,187,137,50,271,595,"1,169",781,610,775,751,"1,070"
2020,8,10,"7,041",112,204,144,183,322,202,34,296,864,997,921,576,873,537,776
2020,8,20,"18,572",222,499,348,707,"1,228",790,206,"1,324","2,422","2,065","2,008","1,673","1,481","2,125","1,474"
2020,8,30,"20,332",427,563,398,628,661,775,295,"1,291","2,289","2,463","2,227","1,788","1,350","2,841","2,336"
2020,8,40,"18,298",448,680,441,491,585,630,200,"1,066","2,104","2,501","2,005","1,586","1,665","1,845","2,051"
2020,8,50,"20,880",316,974,500,614,604,867,336,"1,392","2,363","2,882","2,387","1,882","1,955","1,795","2,013"
2020,8,60,"17,337",233,"1,056",533,609,502,865,399,"1,007","1,938","2,629","1,925","1,313","1,401","1,494","1,433"
2020,8,70,"10,650",104,589,330,358,381,538,207,659,"1,246","1,640","1,164",834,781,889,930
2020,8,80,"4,748",44,290,142,176,181,208,79,247,499,782,601,327,421,334,417
2020,8,90,871,11,86,27,48,32,37,21,56,78,154,90,45,61,54,71
2020,8,100,200,5,44,9,10,3,15,10,8,14,9,8,13,13,8,31
2020,9,총,"125,800","2,086","5,182","2,956","4,028","4,692","5,072","1,835","7,631","14,386","17,250","14,117","10,618","10,720","12,649","12,578"
2020,9,0,"7,002",169,199,89,195,185,138,50,274,586,"1,163",787,606,758,744,"1,059"
2020,9,10,"6,953",113,204,139,174,318,204,34,292,854,984,906,566,869,529,767
2020,9,20,"18,575",220,504,347,720,"1,243",792,200,"1,326","2,427","2,054","2,009","1,678","1,460","2,116","1,479"
2020,9,30,"20,262",429,552,406,632,657,778,299,"1,294","2,278","2,445","2,239","1,764","1,352","2,833","2,304"
2020,9,40,"18,261",448,682,432,490,582,634,198,"1,064","2,102","2,493","2,000","1,590","1,639","1,836","2,071"
2020,9,50,"20,842",310,975,502,614,602,862,339,"1,391","2,366","2,887","2,375","1,881","1,949","1,797","1,992"
2020,9,60,"17,376",231,"1,051",532,612,503,863,402,"1,016","1,939","2,632","1,935","1,311","1,411","1,494","1,444"
2020,9,70,"10,665",107,589,329,359,384,540,203,663,"1,233","1,633","1,168",838,783,898,938
2020,9,80,"4,770",45,294,144,173,183,206,79,245,507,792,600,322,423,339,418
2020,9,90,893,9,88,27,49,32,40,20,58,80,158,90,49,63,55,75
2020,9,100,201,5,44,9,10,3,15,11,8,14,9,8,13,13,8,31
2020,10,총,"125,641","2,072","5,182","2,948","4,032","4,684","5,113","1,841","7,642","14,361","17,244","14,095","10,559","10,696","12,637","12,535"
2020,10,0,"6,950",172,199,88,190,185,140,50,272,581,"1,154",789,587,756,739,"1,048"
2020,10,10,"6,923",110,204,135,176,308,200,34,284,848,984,901,564,871,527,777
2020,10,20,"18,590",221,507,355,730,"1,249",818,194,"1,343","2,411","2,042","2,012","1,675","1,454","2,117","1,462"
2020,10,30,"20,172",426,558,400,624,655,785,310,"1,294","2,270","2,438","2,224","1,739","1,340","2,838","2,271"
2020,10,40,"18,168",446,675,433,485,576,640,199,"1,059","2,091","2,486","1,980","1,577","1,615","1,829","2,077"
2020,10,50,"20,796",305,971,499,611,601,861,334,"1,393","2,354","2,874","2,371","1,885","1,959","1,789","1,989"
2020,10,60,"17,457",228,"1,052",531,624,509,867,406,"1,021","1,963","2,660","1,941","1,309","1,414","1,491","1,441"
2020,10,70,"10,683",105,589,328,355,382,538,203,666,"1,233","1,641","1,172",837,786,904,944
2020,10,80,"4,806",45,296,143,177,185,209,80,245,514,799,607,325,423,339,419
2020,10,90,896,9,88,28,50,31,40,20,57,82,157,89,48,65,56,76
2020,10,100,200,5,43,8,10,3,15,11,8,14,9,9,13,13,8,31
2020,11,총,"125,505","2,063","5,166","2,926","4,049","4,681","5,193","1,834","7,671","14,326","17,199","14,063","10,553","10,667","12,582","12,532"
2020,11,0,"6,886",167,202,88,189,184,135,50,275,586,"1,134",779,584,745,734,"1,034"
2020,11,10,"6,854",114,201,129,171,297,198,36,289,835,966,891,557,866,525,779
2020,11,20,"18,634",219,507,352,743,"1,252",868,193,"1,355","2,401","2,042","2,025","1,666","1,443","2,103","1,465"
2020,11,30,"20,117",420,548,392,628,663,805,308,"1,303","2,267","2,437","2,198","1,742","1,342","2,802","2,262"
2020,11,40,"18,119",443,674,434,483,573,641,198,"1,055","2,085","2,486","1,969","1,570","1,606","1,830","2,072"
2020,11,50,"20,744",306,972,496,619,597,875,328,"1,389","2,339","2,857","2,367","1,882","1,947","1,776","1,994"
2020,11,60,"17,512",232,"1,040",530,624,511,860,400,"1,026","1,968","2,666","1,956","1,318","1,420","1,510","1,451"
2020,11,70,"10,728",105,598,325,352,385,547,208,670,"1,237","1,643","1,176",844,791,902,945
2020,11,80,"4,809",43,292,144,180,185,209,81,243,512,805,602,327,425,337,424
2020,11,90,900,9,89,27,50,31,40,21,58,82,154,91,50,69,55,74
2020,11,100,202,5,43,9,10,3,15,11,8,14,9,9,13,13,8,32
2020,12,총,"125,240","2,069","5,136","2,914","4,034","4,664","5,224","1,816","7,692","14,243","17,128","14,056","10,527","10,656","12,583","12,498"
2020,12,0,"6,836",166,199,83,191,183,131,48,276,580,"1,118",776,576,743,737,"1,029"
2020,12,10,"6,773",113,195,131,170,290,200,37,288,821,958,882,548,855,517,768
2020,12,20,"18,586",219,511,357,726,"1,256",896,190,"1,367","2,377","2,022","2,014","1,676","1,434","2,088","1,453"
2020,12,30,"20,107",419,537,387,622,664,819,301,"1,308","2,261","2,424","2,212","1,747","1,344","2,803","2,259"
2020,12,40,"18,011",449,665,429,493,564,638,197,"1,055","2,066","2,464","1,953","1,548","1,597","1,831","2,062"
2020,12,50,"20,702",307,969,496,610,594,873,327,"1,394","2,316","2,845","2,371","1,877","1,956","1,781","1,986"
2020,12,60,"17,551",235,"1,036",527,624,516,851,398,"1,025","1,980","2,677","1,951","1,322","1,426","1,516","1,467"
2020,12,70,"10,733",106,601,323,351,379,551,207,665,"1,236","1,645","1,191",841,792,906,939
2020,12,80,"4,836",40,292,144,185,185,209,79,248,510,813,608,330,425,341,427
2020,12,90,900,10,88,28,52,30,41,21,58,82,153,88,49,70,54,76
2020,12,100,205,5,43,9,10,3,15,11,8,14,9,10,13,14,9,32
2021,1,총,"125,038","2,077","5,116","2,908","4,063","4,611","5,270","1,808","7,715","14,228","17,035","13,994","10,524","10,650","12,584","12,455"
2021,1,0,"6,740",164,195,84,193,179,131,46,277,567,"1,091",763,575,729,737,"1,009"
2021,1,10,"6,766",116,192,125,173,291,195,36,292,811,948,877,540,869,524,777
2021,1,20,"18,494",226,513,357,719,"1,220",944,195,"1,334","2,377","2,015","1,998","1,673","1,428","2,066","1,429"
2021,1,30,"20,034",415,530,393,630,648,814,303,"1,334","2,265","2,383","2,193","1,724","1,344","2,808","2,250"
2021,1,40,"17,960",452,664,426,506,573,644,195,"1,051","2,047","2,453","1,933","1,551","1,584","1,825","2,056"
2021,1,50,"20,697",306,958,494,614,588,866,319,"1,395","2,329","2,833","2,380","1,882","1,969","1,784","1,980"
2021,1,60,"17,648",237,"1,039",525,623,517,864,397,"1,045","1,981","2,686","1,958","1,336","1,429","1,530","1,481"
2021,1,70,"10,730",104,599,320,360,378,549,208,664,"1,239","1,645","1,189",844,788,906,937
2021,1,80,"4,865",42,296,147,184,184,207,76,255,515,822,606,338,426,337,430
2021,1,90,898,10,87,28,51,30,41,22,60,83,150,86,49,70,57,74
2021,1,100,206,5,43,9,10,3,15,11,8,14,9,11,12,14,10,32
2021,2,총,"124,836","2,112","5,133","2,911","4,063","4,558","5,319","1,817","7,696","14,182","16,981","13,931","10,515","10,617","12,603","12,398"
2021,2,0,"6,653",165,197,80,191,183,132,46,263,552,"1,078",754,565,715,736,996
2021,2,10,"6,737",116,194,127,174,282,205,38,296,804,942,873,544,857,522,763
2021,2,20,"18,450",226,518,363,718,"1,167",967,202,"1,349","2,383","1,999","1,981","1,671","1,418","2,082","1,406"
2021,2,30,"19,964",430,528,396,633,652,831,311,"1,322","2,236","2,372","2,166","1,722","1,340","2,794","2,231"
2021,2,40,"17,925",465,666,422,507,568,641,199,"1,040","2,046","2,450","1,924","1,541","1,575","1,835","2,046"
2021,2,50,"20,619",313,967,492,608,587,861,313,"1,383","2,318","2,820","2,357","1,878","1,967","1,773","1,982"
2021,2,60,"17,757",233,"1,033",526,627,518,870,394,"1,051","1,992","2,704","1,974","1,347","1,447","1,545","1,496"
2021,2,70,"10,709",105,602,319,359,380,543,205,663,"1,228","1,637","1,196",836,789,906,941
2021,2,80,"4,912",44,295,150,186,187,213,76,260,529,819,609,350,424,341,429
2021,2,90,902,10,88,27,50,31,41,22,61,80,151,86,49,71,59,76
2021,2,100,208,5,45,9,10,3,15,11,8,14,9,11,12,14,10,32
2021,3,총,"124,552","2,143","5,114","2,930","4,015","4,566","5,343","1,796","7,680","14,141","16,920","13,894","10,501","10,586","12,613","12,310"
2021,3,0,"6,611",161,192,82,190,185,132,43,259,547,"1,065",748,562,717,731,997
2021,3,10,"6,729",123,195,132,180,282,200,38,290,798,945,871,545,850,522,758
2021,3,20,"18,450",241,519,363,728,"1,163",996,197,"1,356","2,382","1,980","1,962","1,658","1,415","2,102","1,388"
2021,3,30,"19,874",432,527,410,620,658,848,309,"1,302","2,201","2,356","2,161","1,719","1,335","2,773","2,223"
2021,3,40,"17,846",475,661,421,493,571,636,198,"1,051","2,041","2,435","1,916","1,542","1,558","1,830","2,018"
2021,3,50,"20,502",312,957,493,591,583,857,308,"1,364","2,316","2,811","2,350","1,869","1,961","1,777","1,953"
2021,3,60,"17,835",235,"1,038",525,606,520,866,395,"1,071","1,996","2,720","1,981","1,358","1,457","1,566","1,501"
2021,3,70,"10,681",106,596,316,360,383,541,205,655,"1,228","1,627","1,195",837,782,912,938
2021,3,80,"4,936",43,295,151,188,189,210,73,264,535,821,617,356,427,337,430
2021,3,90,899,10,89,28,50,29,42,22,60,83,151,84,49,71,59,72
2021,3,100,189,5,45,9,9,3,15,8,8,14,9,9,6,13,4,32
2021,4,총,"124,477","2,193","5,096","2,938","4,018","4,575","5,353","1,778","7,670","14,101","16,914","13,893","10,472","10,558","12,613","12,305"
2021,4,0,"6,588",160,192,84,187,181,132,43,251,542,"1,055",750,564,708,729,"1,010"
2021,4,10,"6,699",124,200,133,177,276,196,35,288,793,948,865,536,853,518,757
2021,4,20,"18,376",249,507,361,728,"1,166","1,000",196,"1,357","2,366","1,972","1,952","1,658","1,393","2,091","1,380"
2021,4,30,"19,937",466,533,413,627,668,863,305,"1,296","2,208","2,367","2,152","1,701","1,340","2,781","2,217"
2021,4,40,"17,838",482,661,425,492,571,634,197,"1,049","2,030","2,409","1,915","1,543","1,563","1,842","2,025"
2021,4,50,"20,457",306,945,496,594,591,853,304,"1,370","2,297","2,816","2,355","1,867","1,955","1,763","1,945"
2021,4,60,"17,881",241,"1,033",524,611,523,860,395,"1,072","2,008","2,738","1,993","1,353","1,459","1,577","1,494"
2021,4,70,"10,639",105,592,312,352,375,542,202,658,"1,221","1,624","1,197",840,772,910,937
2021,4,80,"4,961",45,299,151,189,192,215,71,262,540,822,620,357,430,338,430
2021,4,90,910,10,89,29,52,29,43,22,59,82,154,85,47,72,60,77
2021,4,100,191,5,45,10,9,3,15,8,8,14,9,9,6,13,4,33
2021,5,총,"123,133","2,200","4,845","2,859","4,044","4,542","5,218","1,716","7,579","13,993","16,815","13,766","10,385","10,454","12,548","12,169"
2021,5,0,"6,539",158,192,83,186,179,128,40,250,538,"1,038",740,568,700,732,"1,007"
2021,5,10,"6,664",124,198,133,179,271,190,37,285,790,941,863,530,849,518,756
2021,5,20,"18,364",256,496,359,737,"1,164","1,013",199,"1,347","2,360","2,002","1,935","1,653","1,377","2,094","1,372"
2021,5,30,"19,936",470,528,410,636,670,865,306,"1,302","2,180","2,392","2,154","1,696","1,342","2,787","2,198"
2021,5,40,"17,718",489,658,419,494,565,637,185,"1,043","2,015","2,399","1,903","1,535","1,536","1,819","2,021"
2021,5,50,"20,290",299,943,481,591,595,835,296,"1,349","2,282","2,794","2,324","1,859","1,951","1,763","1,928"
2021,5,60,"17,682",241,"1,028",505,617,521,824,378,"1,059","1,995","2,701","1,995","1,328","1,456","1,558","1,476"
2021,5,70,"10,327",106,525,304,354,360,503,188,643,"1,209","1,591","1,162",825,749,888,920
2021,5,80,"4,758",44,223,140,189,191,191,70,251,533,807,606,343,421,331,418
2021,5,90,795,11,53,21,52,25,30,17,48,81,147,82,45,64,57,62
2021,5,100,60,2,1,4,9,1,2,0,2,10,3,2,3,9,1,11
2021,6,총,"123,016","2,209","4,852","2,847","4,057","4,560","5,197","1,709","7,588","13,972","16,843","13,740","10,364","10,420","12,553","12,105"
2021,6,0,"6,505",158,193,80,184,179,124,41,253,537,"1,034",732,560,694,737,999
2021,6,10,"6,663",130,203,131,183,267,193,37,284,787,951,862,534,850,504,747
2021,6,20,"18,323",251,492,366,741,"1,181","1,001",203,"1,350","2,335","2,009","1,923","1,648","1,369","2,092","1,362"
2021,6,30,"19,881",480,528,397,652,663,861,306,"1,300","2,183","2,394","2,155","1,657","1,319","2,796","2,190"
2021,6,40,"17,738",501,663,414,491,571,637,178,"1,052","2,002","2,403","1,896","1,551","1,539","1,807","2,033"
2021,6,50,"20,203",302,934,484,588,592,823,295,"1,347","2,274","2,792","2,300","1,858","1,945","1,780","1,889"
2021,6,60,"17,756",236,"1,038",505,615,530,832,377,"1,061","1,997","2,708","2,011","1,338","1,460","1,564","1,484"
2021,6,70,"10,320",103,522,304,354,360,505,185,638,"1,226","1,588","1,163",823,750,881,918
2021,6,80,"4,769",39,225,140,189,190,190,70,252,538,813,611,347,423,332,410
2021,6,90,799,8,53,22,51,26,29,17,49,83,148,85,45,62,59,62
2021,6,100,59,1,1,4,9,1,2,0,2,10,3,2,3,9,1,11
2021,7,총,"122,951","2,195","4,854","2,846","4,061","4,564","5,210","1,723","7,598","13,953","16,847","13,695","10,375","10,407","12,523","12,100"
2021,7,0,"6,470",157,191,83,182,180,125,41,255,531,"1,031",723,566,688,729,988
2021,7,10,"6,642",123,205,130,187,265,189,38,284,789,944,860,533,847,498,750
2021,7,20,"18,305",250,495,367,745,"1,181","1,004",215,"1,343","2,319","2,035","1,899","1,642","1,372","2,082","1,356"
2021,7,30,"19,941",486,530,401,664,662,868,307,"1,319","2,203","2,407","2,135","1,671","1,320","2,793","2,175"
2021,7,40,"17,624",493,664,414,477,575,644,185,"1,050","1,972","2,380","1,877","1,543","1,528","1,800","2,022"
2021,7,50,"20,191",299,927,477,589,591,823,294,"1,337","2,272","2,787","2,311","1,863","1,933","1,790","1,898"
2021,7,60,"17,792",241,"1,039",500,613,532,831,374,"1,067","1,995","2,705","2,027","1,334","1,472","1,557","1,505"
2021,7,70,"10,333",97,527,308,355,361,507,179,639,"1,235","1,587","1,161",827,746,882,922
2021,7,80,"4,789",40,222,140,188,189,189,73,253,545,814,615,350,430,331,410
2021,7,90,805,8,53,22,52,27,28,17,49,82,154,85,43,62,60,63
2021,7,100,59,1,1,4,9,1,2,0,2,10,3,2,3,9,1,11
2021,8,총,"122,852","2,223","4,848","2,854","4,043","4,588","5,219","1,714","7,579","13,957","16,796","13,648","10,364","10,402","12,510","12,107"
2021,8,0,"6,419",160,189,81,176,177,127,37,248,535,"1,016",714,550,690,731,988
2021,8,10,"6,602",120,209,130,185,264,184,38,280,789,934,846,540,841,497,745
2021,8,20,"18,344",258,494,374,742,"1,199","1,038",220,"1,343","2,311","2,037","1,901","1,644","1,357","2,062","1,364"
2021,8,30,"19,915",491,537,399,665,672,862,305,"1,326","2,202","2,374","2,126","1,682","1,324","2,793","2,157"
2021,8,40,"17,569",497,656,418,460,571,639,183,"1,043","1,966","2,386","1,867","1,532","1,523","1,805","2,023"
2021,8,50,"20,153",307,925,478,592,589,810,284,"1,319","2,275","2,779","2,305","1,858","1,929","1,792","1,911"
2021,8,60,"17,851",242,"1,036",502,617,534,834,381,"1,079","2,000","2,705","2,028","1,341","1,486","1,550","1,516"
2021,8,70,"10,300",99,524,307,356,362,504,175,635,"1,235","1,587","1,151",816,748,883,918
2021,8,80,"4,832",40,224,137,189,192,191,74,254,552,824,623,354,433,334,411
2021,8,90,807,8,53,24,52,27,28,17,50,82,150,85,44,62,62,63
2021,8,100,60,1,1,4,9,1,2,0,2,10,4,2,3,9,1,11
2021,9,총,"122,858","2,231","4,862","2,880","4,059","4,604","5,206","1,752","7,639","13,897","16,794","13,622","10,378","10,345","12,484","12,105"
2021,9,0,"6,396",162,194,85,173,179,124,39,258,526,999,715,546,667,732,997
2021,9,10,"6,592",120,214,129,187,263,185,40,283,780,946,842,548,833,486,736
2021,9,20,"18,318",252,497,381,742,"1,196","1,041",224,"1,355","2,289","2,037","1,883","1,640","1,345","2,066","1,370"
2021,9,30,"19,943",499,536,401,671,682,856,318,"1,345","2,195","2,369","2,121","1,684","1,314","2,797","2,155"
2021,9,40,"17,522",501,662,421,464,574,638,186,"1,048","1,942","2,393","1,856","1,541","1,512","1,784","2,000"
2021,9,50,"20,161",309,924,484,593,589,805,288,"1,313","2,274","2,788","2,314","1,853","1,920","1,790","1,917"
2021,9,60,"17,908",236,"1,032",505,619,536,836,387,"1,097","2,001","2,706","2,029","1,349","1,500","1,551","1,524"
2021,9,70,"10,273",101,525,307,358,357,501,177,636,"1,236","1,577","1,148",814,744,877,915
2021,9,80,"4,872",42,225,137,191,199,191,75,253,562,826,624,357,438,335,417
2021,9,90,812,8,51,26,52,28,27,18,49,82,149,88,43,63,65,63
2021,9,100,61,1,2,4,9,1,2,0,2,10,4,2,3,9,1,11
2021,10,총,"122,781","2,235","4,838","2,874","4,043","4,617","5,231","1,759","7,671","13,869","16,741","13,626","10,382","10,329","12,508","12,058"
2021,10,0,"6,370",166,192,83,169,179,125,41,256,524,987,719,548,657,737,987
