년도,월,나이,광주시,오포읍,초월읍,곤지암읍,도척면,퇴촌면,남종면,남한산성면,경안동,송정동,광남동,쌍령동,탄벌동,광남1동,광남2동
2020,4,20,"44,313","13,166","5,138","2,846",970,"1,113",111,186,"5,725","7,843","7,215",,,,
2020,4,30,"58,885","20,551","5,861","2,766",982,"1,458",91,229,"6,670","8,521","11,756",,,,
2020,4,40,"65,267","19,243","7,849","3,609","1,313","2,321",167,402,"7,355","10,552","12,456",,,,
2020,4,50,"62,235","16,856","7,490","4,544","1,787","2,501",255,504,"7,416","11,072","9,810",,,,
2020,4,60,"45,157","12,076","5,311","3,246","1,656","2,740",372,501,"4,890","7,479","6,886",,,,
2020,4,70,"21,240","5,678","2,555","1,604",828,"1,496",242,297,"2,271","3,297","2,972",,,,
2020,4,80,"7,867","1,997","1,036",774,399,550,127,160,798,"1,090",936,,,,
2020,4,90,"1,190",315,144,106,60,94,19,27,111,154,160,,,,
2020,4,100,95,15,4,19,8,6,0,2,16,21,4,,,,
2020,5,총,"376,753","110,532","44,080","22,870","9,144","14,552","1,500","2,666","43,434","60,882","67,093",,,,
2020,5,0,"35,836","11,433","3,768","1,440",512,"1,054",41,150,"4,146","5,040","8,252",,,,
2020,5,10,"33,608","8,673","4,788","1,878",613,"1,181",73,217,"4,014","5,698","6,473",,,,
2020,5,20,"44,433","13,258","5,158","2,841",961,"1,107",113,183,"5,723","7,835","7,254",,,,
2020,5,30,"58,846","20,579","5,849","2,793",969,"1,448",91,228,"6,634","8,522","11,733",,,,
2020,5,40,"65,372","19,330","7,861","3,591","1,331","2,332",164,398,"7,368","10,520","12,477",,,,
2020,5,50,"62,593","16,997","7,566","4,563","1,786","2,519",259,501,"7,420","11,124","9,858",,,,
2020,5,60,"45,466","12,203","5,342","3,264","1,673","2,751",371,499,"4,908","7,530","6,925",,,,
2020,5,70,"21,397","5,717","2,559","1,609",830,"1,504",242,301,"2,288","3,335","3,012",,,,
2020,5,80,"7,899","2,005","1,039",764,400,556,127,160,801,"1,099",948,,,,
2020,5,90,"1,208",322,146,108,61,94,19,27,116,158,157,,,,
2020,5,100,95,15,4,19,8,6,0,2,16,21,4,,,,
2020,6,총,"377,525","110,919","44,130","22,901","9,163","14,605","1,492","2,667","43,416","61,090","67,142",,,,
2020,6,0,"35,792","11,428","3,753","1,429",501,"1,046",42,152,"4,112","5,075","8,254",,,,
2020,6,10,"33,598","8,688","4,769","1,862",618,"1,193",69,218,"4,017","5,688","6,476",,,,
2020,6,20,"44,547","13,330","5,197","2,857",966,"1,113",112,179,"5,713","7,845","7,235",,,,
2020,6,30,"58,658","20,517","5,799","2,784",962,"1,427",91,238,"6,632","8,527","11,681",,,,
2020,6,40,"65,609","19,448","7,861","3,594","1,348","2,341",162,393,"7,367","10,564","12,531",,,,
2020,6,50,"62,616","17,069","7,585","4,558","1,783","2,517",257,495,"7,372","11,146","9,834",,,,
2020,6,60,"45,889","12,309","5,399","3,303","1,683","2,773",375,508,"4,976","7,586","6,977",,,,
2020,6,70,"21,560","5,768","2,577","1,618",832,"1,533",237,295,"2,297","3,357","3,046",,,,
2020,6,80,"7,953","2,023","1,041",771,398,561,130,160,805,"1,118",946,,,,
2020,6,90,"1,206",324,145,105,63,95,17,27,109,163,158,,,,
2020,6,100,97,15,4,20,9,6,0,2,16,21,4,,,,
2020,7,총,"378,723","111,278","44,522","22,920","9,206","14,732","1,495","2,652","43,379","61,205","67,334",,,,
2020,7,0,"35,731","11,419","3,736","1,423",492,"1,065",42,151,"4,089","5,057","8,257",,,,
2020,7,10,"33,847","8,777","4,935","1,849",623,"1,207",69,214,"3,983","5,696","6,494",,,,
2020,7,20,"44,710","13,377","5,281","2,862",970,"1,121",114,174,"5,720","7,813","7,278",,,,
2020,7,30,"58,584","20,452","5,810","2,774",964,"1,450",92,238,"6,610","8,578","11,616",,,,
2020,7,40,"65,855","19,589","7,895","3,595","1,349","2,363",158,391,"7,364","10,566","12,585",,,,
2020,7,50,"62,740","17,048","7,623","4,561","1,797","2,518",260,494,"7,364","11,176","9,899",,,,
2020,7,60,"46,302","12,442","5,470","3,330","1,710","2,803",376,502,"5,015","7,637","7,017",,,,
2020,7,70,"21,636","5,787","2,575","1,620",829,"1,546",236,300,"2,304","3,366","3,073",,,,
2020,7,80,"8,002","2,042","1,046",780,398,558,130,158,803,"1,131",956,,,,
2020,7,90,"1,218",329,146,107,65,95,18,28,111,164,155,,,,
2020,7,100,98,16,5,19,9,6,0,2,16,21,4,,,,
2020,8,총,"379,480","111,484","45,212","22,835","9,198","14,758","1,497","2,666","43,334","61,095","67,401",,,,
2020,8,0,"35,633","11,401","3,801","1,392",483,"1,061",42,148,"4,065","5,007","8,233",,,,
2020,8,10,"33,854","8,806","4,988","1,834",630,"1,207",69,216,"3,943","5,653","6,508",,,,
2020,8,20,"44,828","13,410","5,391","2,843",957,"1,119",113,179,"5,711","7,800","7,305",,,,
2020,8,30,"58,456","20,354","5,966","2,751",963,"1,435",93,238,"6,605","8,519","11,532",,,,
2020,8,40,"66,101","19,698","8,019","3,588","1,340","2,372",160,390,"7,332","10,557","12,645",,,,
2020,8,50,"62,852","17,060","7,704","4,557","1,793","2,509",259,498,"7,390","11,175","9,907",,,,
2020,8,60,"46,646","12,532","5,549","3,335","1,731","2,837",375,505,"5,026","7,697","7,059",,,,
2020,8,70,"21,703","5,811","2,592","1,627",826,"1,550",236,305,"2,314","3,368","3,074",,,,
2020,8,80,"8,074","2,067","1,048",781,398,565,131,156,819,"1,135",974,,,,
2020,8,90,"1,232",328,149,108,68,97,19,29,112,163,159,,,,
2020,8,100,101,17,5,19,9,6,0,2,17,21,5,,,,
2020,9,총,"380,291","111,688","45,663","22,819","9,208","14,842","1,497","2,639","43,296","61,141","67,498",,,,
2020,9,0,"35,541","11,359","3,819","1,392",474,"1,062",43,145,"4,054","4,957","8,236",,,,
2020,9,10,"33,820","8,811","4,980","1,835",630,"1,192",67,213,"3,924","5,648","6,520",,,,
2020,9,20,"44,886","13,453","5,445","2,820",947,"1,130",113,176,"5,716","7,785","7,301",,,,
2020,9,30,"58,406","20,295","6,096","2,745",959,"1,440",96,231,"6,549","8,519","11,476",,,,
2020,9,40,"66,303","19,772","8,093","3,576","1,349","2,392",156,382,"7,338","10,549","12,696",,,,
2020,9,50,"63,075","17,114","7,780","4,553","1,805","2,528",261,496,"7,409","11,206","9,923",,,,
2020,9,60,"47,032","12,632","5,639","3,360","1,738","2,863",376,505,"5,030","7,766","7,123",,,,
2020,9,70,"21,745","5,824","2,601","1,620",827,"1,559",234,305,"2,318","3,380","3,077",,,,
2020,9,80,"8,133","2,078","1,056",792,401,572,132,155,824,"1,143",980,,,,
2020,9,90,"1,249",332,149,106,69,98,19,29,117,167,163,,,,
2020,9,100,101,18,5,20,9,6,0,2,17,21,3,,,,
2020,10,총,"380,821","111,738","46,014","22,846","9,281","14,900","1,502","2,612","43,332","61,144","67,452",,,,
2020,10,0,"35,404","11,311","3,842","1,388",474,"1,062",43,139,"4,048","4,895","8,202",,,,
2020,10,10,"33,799","8,799","4,956","1,836",631,"1,202",65,207,"3,910","5,653","6,540",,,,
2020,10,20,"45,060","13,473","5,496","2,815",976,"1,130",115,183,"5,749","7,810","7,313",,,,
2020,10,30,"58,094","20,179","6,157","2,730",962,"1,447",91,224,"6,525","8,444","11,335",,,,
2020,10,40,"66,426","19,810","8,160","3,584","1,355","2,391",156,373,"7,326","10,544","12,727",,,,
2020,10,50,"63,295","17,166","7,849","4,558","1,826","2,540",264,499,"7,398","11,243","9,952",,,,
2020,10,60,"47,366","12,710","5,695","3,386","1,742","2,881",380,501,"5,089","7,835","7,147",,,,
2020,10,70,"21,830","5,857","2,631","1,622",831,"1,554",235,299,"2,329","3,389","3,083",,,,
2020,10,80,"8,197","2,084","1,074",800,406,590,133,156,821,"1,147",986,,,,
2020,10,90,"1,248",331,149,107,69,96,20,29,120,163,164,,,,
2020,10,100,102,18,5,20,9,7,0,2,17,21,3,,,,
2020,11,총,"381,324","111,865","46,126","22,914","9,340","14,968","1,499","2,610","43,344","61,123","67,535",,,,
2020,11,0,"35,233","11,266","3,828","1,393",477,"1,058",42,142,"3,997","4,856","8,174",,,,
2020,11,10,"33,738","8,783","4,885","1,829",631,"1,200",62,206,"3,917","5,642","6,583",,,,
2020,11,20,"45,157","13,481","5,515","2,826",982,"1,145",116,184,"5,757","7,838","7,313",,,,
2020,11,30,"57,911","20,105","6,185","2,749",989,"1,452",91,222,"6,483","8,364","11,271",,,,
2020,11,40,"66,620","19,883","8,221","3,573","1,359","2,409",154,366,"7,338","10,544","12,773",,,,
2020,11,50,"63,411","17,204","7,883","4,577","1,823","2,544",269,495,"7,411","11,236","9,969",,,,
2020,11,60,"47,763","12,821","5,724","3,415","1,764","2,901",376,506,"5,140","7,911","7,205",,,,
2020,11,70,"21,870","5,870","2,647","1,622",822,"1,559",234,302,"2,334","3,395","3,085",,,,
2020,11,80,"8,276","2,108","1,081",804,415,600,136,156,829,"1,154",993,,,,
2020,11,90,"1,242",326,152,105,69,93,19,29,121,162,166,,,,
2020,11,100,103,18,5,21,9,7,0,2,17,21,3,,,,
2020,12,총,"382,054","112,080","46,155","22,967","9,384","15,086","1,496","2,613","25,020","22,144",0,"18,350","39,093","33,606","34,060"
2020,12,0,"35,190","11,254","3,808","1,398",482,"1,082",41,146,"2,011","1,689",0,"1,949","3,140","2,741","5,449"
2020,12,10,"33,619","8,740","4,762","1,819",637,"1,208",63,202,"2,267","2,024",0,"1,657","3,641","2,677","3,922"
2020,12,20,"45,220","13,541","5,535","2,818",987,"1,158",114,189,"3,363","2,838",0,"2,374","4,999","4,233","3,071"
2020,12,30,"57,844","20,055","6,213","2,762",996,"1,465",90,221,"3,544","2,985",0,"2,938","5,349","4,934","6,292"
2020,12,40,"66,823","19,945","8,245","3,582","1,364","2,422",154,368,"4,132","3,774",0,"3,215","6,800","5,719","7,103"
2020,12,50,"63,534","17,228","7,930","4,572","1,824","2,549",266,489,"4,391","3,974",0,"3,024","7,311","5,974","4,002"
2020,12,60,"48,147","12,917","5,770","3,456","1,770","2,931",382,511,"3,115","2,964",0,"2,057","5,010","4,654","2,610"
2020,12,70,"21,969","5,915","2,645","1,629",825,"1,566",230,301,"1,513","1,357",0,831,"2,037","1,940","1,180"
2020,12,80,"8,339","2,129","1,084",806,419,602,137,154,586,461,0,261,701,628,371
2020,12,90,"1,264",337,158,105,71,96,19,30,83,74,0,40,88,104,59
2020,12,100,105,19,5,20,9,7,0,2,15,4,0,4,17,2,1
2021,1,총,"382,578","112,327","46,215","23,007","9,407","15,133","1,507","2,605","25,043","22,162",,"18,391","39,139","33,648","33,994"
2021,1,0,"34,957","11,232","3,764","1,394",467,"1,079",43,145,"1,995","1,694",,"1,951","3,104","2,711","5,378"
2021,1,10,"33,621","8,730","4,716","1,814",641,"1,219",63,203,"2,270","2,026",,"1,653","3,646","2,680","3,960"
2021,1,20,"45,203","13,533","5,551","2,824",999,"1,164",111,185,"3,356","2,815",,"2,371","4,999","4,255","3,040"
2021,1,30,"57,679","19,993","6,226","2,777",995,"1,456",92,222,"3,549","2,980",,"2,929","5,316","4,918","6,226"
2021,1,40,"66,904","20,017","8,243","3,565","1,357","2,424",156,360,"4,125","3,768",,"3,218","6,812","5,729","7,130"
2021,1,50,"63,681","17,274","7,951","4,563","1,831","2,549",270,494,"4,406","3,968",,"3,039","7,335","5,986","4,015"
2021,1,60,"48,609","13,068","5,833","3,494","1,781","2,951",385,510,"3,137","3,000",,"2,082","5,061","4,679","2,628"
2021,1,70,"22,150","5,974","2,675","1,640",830,"1,580",230,299,"1,520","1,373",,840,"2,051","1,951","1,187"
2021,1,80,"8,403","2,150","1,090",811,425,605,138,155,589,462,,264,709,635,370
2021,1,90,"1,267",336,161,105,72,99,19,31,82,72,,40,89,102,59
2021,1,100,104,20,5,20,9,7,0,1,14,4,,4,17,2,1
2021,2,총,"382,835","112,465","46,215","23,090","9,427","15,220","1,506","2,595","25,048","22,153",,"18,355","39,142","33,440","34,179"
2021,2,0,"34,737","11,163","3,734","1,392",462,"1,090",42,150,"1,968","1,673",,"1,956","3,069","2,675","5,363"
2021,2,10,"33,575","8,764","4,675","1,828",645,"1,213",64,196,"2,255","2,012",,"1,631","3,645","2,670","3,977"
2021,2,20,"45,160","13,488","5,536","2,819","1,013","1,168",109,183,"3,370","2,818",,"2,370","4,994","4,256","3,036"
2021,2,30,"57,249","19,813","6,181","2,787",990,"1,457",91,227,"3,530","2,961",,"2,914","5,260","4,841","6,197"
2021,2,40,"67,085","20,169","8,258","3,572","1,350","2,433",156,356,"4,107","3,762",,"3,188","6,830","5,718","7,186"
2021,2,50,"63,865","17,371","7,954","4,580","1,838","2,576",270,483,"4,435","3,975",,"3,039","7,347","5,909","4,088"
2021,2,60,"49,091","13,184","5,921","3,521","1,792","2,982",388,513,"3,170","3,037",,"2,100","5,121","4,680","2,682"
2021,2,70,"22,224","5,994","2,684","1,648",827,"1,590",225,301,"1,523","1,371",,848,"2,057","1,951","1,205"
2021,2,80,"8,472","2,162","1,103",819,431,603,140,156,594,469,,264,711,638,382
2021,2,90,"1,275",337,164,105,71,101,21,29,82,71,,42,91,100,61
2021,2,100,102,20,5,19,8,7,0,1,14,4,,3,17,2,2
2021,3,총,"383,052","112,596","46,282","23,088","9,444","15,302","1,505","2,580","24,948","22,109",,"18,401","39,161","33,495","34,141"
2021,3,0,"34,518","11,090","3,709","1,386",463,"1,086",36,147,"1,948","1,645",,"1,964","3,054","2,647","5,343"
2021,3,10,"33,771","8,808","4,783","1,831",652,"1,225",66,193,"2,254","2,012",,"1,640","3,636","2,678","3,993"
2021,3,20,"45,155","13,440","5,540","2,822","1,010","1,179",112,178,"3,380","2,808",,"2,374","5,008","4,270","3,034"
2021,3,30,"57,009","19,724","6,143","2,786",996,"1,473",92,221,"3,511","2,945",,"2,908","5,246","4,839","6,125"
2021,3,40,"67,082","20,239","8,215","3,557","1,346","2,446",153,354,"4,079","3,748",,"3,187","6,843","5,697","7,218"
2021,3,50,"63,845","17,394","7,958","4,578","1,830","2,580",269,479,"4,412","3,953",,"3,032","7,335","5,927","4,098"
2021,3,60,"49,532","13,335","5,972","3,571","1,809","2,998",390,517,"3,171","3,075",,"2,126","5,170","4,726","2,672"
2021,3,70,"22,297","6,034","2,691","1,636",832,"1,594",225,300,"1,514","1,371",,861,"2,056","1,969","1,214"
2021,3,80,"8,534","2,175","1,107",819,433,619,141,161,599,478,,264,717,640,381
2021,3,90,"1,255",339,160,99,68,99,21,29,77,70,,42,90,100,61
2021,3,100,54,18,4,3,5,3,0,1,3,4,,3,6,2,2
2021,4,총,"383,794","112,851","46,655","23,153","9,465","15,373","1,502","2,581","24,939","22,061",,"18,422","39,192","33,522","34,078"
2021,4,0,"34,362","11,067","3,710","1,379",464,"1,086",35,145,"1,946","1,621",,"1,951","3,026","2,615","5,317"
2021,4,10,"34,124","8,883","5,044","1,835",642,"1,233",67,196,"2,256","2,013",,"1,632","3,630","2,688","4,005"
2021,4,20,"45,153","13,418","5,529","2,831","1,008","1,189",113,178,"3,360","2,813",,"2,387","5,025","4,270","3,032"
2021,4,30,"56,776","19,665","6,166","2,790","1,007","1,471",94,216,"3,501","2,904",,"2,893","5,229","4,796","6,044"
2021,4,40,"67,231","20,355","8,211","3,559","1,336","2,467",147,357,"4,068","3,740",,"3,186","6,819","5,741","7,245"
2021,4,50,"63,956","17,407","7,991","4,569","1,843","2,593",263,479,"4,412","3,959",,"3,054","7,364","5,922","4,100"
2021,4,60,"49,924","13,421","6,033","3,621","1,824","3,006",396,516,"3,195","3,089",,"2,145","5,218","4,776","2,684"
2021,4,70,"22,333","6,055","2,689","1,649",832,"1,601",223,300,"1,526","1,363",,862,"2,061","1,970","1,202"
2021,4,80,"8,614","2,215","1,117",818,437,620,143,163,597,486,,266,722,644,386
2021,4,90,"1,267",347,161,99,67,104,21,30,75,69,,43,93,97,61
2021,4,100,54,18,4,3,5,3,0,1,3,4,,3,5,3,2
2021,5,총,"384,306","113,000","46,651","23,207","9,506","15,455","1,499","2,580","24,926","22,108",,"18,460","39,242","33,587","34,085"
2021,5,0,"34,193","11,001","3,672","1,377",464,"1,089",32,144,"1,931","1,617",,"1,939","3,012","2,613","5,302"
2021,5,10,"34,119","8,903","5,046","1,830",637,"1,224",68,197,"2,232","2,017",,"1,636","3,628","2,683","4,018"
2021,5,20,"45,226","13,461","5,544","2,835","1,027","1,201",111,180,"3,347","2,798",,"2,406","5,033","4,288","2,995"
2021,5,30,"56,596","19,546","6,146","2,790","1,011","1,482",93,214,"3,519","2,913",,"2,857","5,224","4,771","6,030"
2021,5,40,"67,299","20,406","8,178","3,548","1,333","2,487",149,351,"4,071","3,748",,"3,200","6,835","5,743","7,250"
2021,5,50,"64,104","17,507","8,021","4,587","1,846","2,584",257,478,"4,384","3,966",,"3,056","7,360","5,942","4,116"
2021,5,60,"50,340","13,509","6,059","3,657","1,844","3,041",403,523,"3,230","3,117",,"2,180","5,250","4,819","2,708"
2021,5,70,"22,373","6,074","2,682","1,656",827,"1,608",222,296,"1,524","1,366",,863,"2,071","1,977","1,207"
2021,5,80,"8,730","2,236","1,134",822,447,630,143,165,610,495,,275,732,648,393
2021,5,90,"1,274",343,165,102,65,105,21,30,76,67,,44,92,100,64
2021,5,100,52,14,4,3,5,4,0,2,2,4,,4,5,3,2
2021,6,총,"384,714","113,115","46,707","23,251","9,509","15,522","1,504","2,583","24,889","22,156",,"18,483","39,283","33,571","34,141"
2021,6,0,"34,034","10,951","3,648","1,376",458,"1,081",34,145,"1,917","1,613",,"1,937","2,999","2,593","5,282"
2021,6,10,"34,154","8,936","5,027","1,823",638,"1,240",66,194,"2,215","2,015",,"1,629","3,634","2,687","4,050"
2021,6,20,"45,154","13,422","5,551","2,859","1,019","1,197",111,179,"3,349","2,809",,"2,393","5,012","4,279","2,974"
2021,6,30,"56,436","19,495","6,149","2,783",999,"1,495",98,220,"3,495","2,897",,"2,847","5,206","4,741","6,011"
2021,6,40,"67,425","20,462","8,177","3,568","1,343","2,487",148,348,"4,058","3,749",,"3,224","6,839","5,729","7,293"
2021,6,50,"64,106","17,501","8,039","4,569","1,846","2,598",258,481,"4,365","3,977",,"3,058","7,350","5,935","4,129"
2021,6,60,"50,824","13,642","6,110","3,693","1,858","3,066",402,524,"3,270","3,146",,"2,201","5,305","4,882","2,725"
2021,6,70,"22,448","6,086","2,685","1,649",829,"1,622",224,296,"1,525","1,378",,872,"2,090","1,980","1,212"
2021,6,80,"8,798","2,261","1,150",826,450,626,141,164,616,500,,273,751,642,398
2021,6,90,"1,282",345,167,102,64,106,22,31,76,68,,45,92,99,65
2021,6,100,53,14,4,3,5,4,0,1,3,4,,4,5,4,2
2021,7,총,"385,000","113,154","46,902","23,238","9,527","15,588","1,488","2,562","24,895","22,192",,"18,446","39,353","33,559","34,096"
2021,7,0,"33,877","10,925","3,639","1,366",449,"1,073",30,145,"1,917","1,603",,"1,928","2,988","2,561","5,253"
2021,7,10,"34,209","8,955","5,067","1,826",633,"1,251",65,191,"2,198","2,020",,"1,625","3,633","2,686","4,059"
2021,7,20,"45,139","13,394","5,615","2,845","1,008","1,202",109,177,"3,363","2,796",,"2,366","5,026","4,277","2,961"
2021,7,30,"56,184","19,398","6,128","2,771",993,"1,488",96,218,"3,484","2,911",,"2,831","5,202","4,709","5,955"
2021,7,40,"67,469","20,461","8,176","3,571","1,358","2,509",143,341,"4,070","3,745",,"3,231","6,834","5,719","7,311"
2021,7,50,"64,223","17,558","8,086","4,566","1,856","2,597",257,468,"4,341","3,978",,"3,054","7,364","5,961","4,137"
2021,7,60,"51,126","13,711","6,149","3,708","1,867","3,081",404,529,"3,298","3,179",,"2,208","5,359","4,897","2,736"
2021,7,70,"22,557","6,111","2,702","1,643",844,"1,641",222,299,"1,529","1,382",,874,"2,097","1,995","1,218"
2021,7,80,"8,880","2,278","1,173",834,448,635,140,162,616,506,,280,757,651,400
2021,7,90,"1,284",349,162,106,66,107,22,31,76,68,,45,88,100,64
2021,7,100,52,14,5,2,5,4,0,1,3,4,,4,5,3,2
2021,8,총,"385,808","113,274","47,126","23,266","9,573","15,653","1,478","2,538","25,129","22,251",,"18,406","39,378","33,612","34,124"
2021,8,0,"33,742","10,852","3,639","1,358",446,"1,060",30,145,"1,930","1,592",,"1,927","2,977","2,548","5,238"
2021,8,10,"34,263","8,965","5,102","1,816",631,"1,256",65,184,"2,206","2,032",,"1,613","3,621","2,684","4,088"
2021,8,20,"45,167","13,394","5,649","2,863","1,011","1,218",102,172,"3,396","2,783",,"2,346","5,033","4,257","2,943"
2021,8,30,"56,109","19,325","6,171","2,776",997,"1,486",99,215,"3,532","2,926",,"2,820","5,154","4,695","5,913"
2021,8,40,"67,524","20,490","8,172","3,542","1,354","2,513",142,341,"4,093","3,758",,"3,211","6,835","5,713","7,360"
2021,8,50,"64,554","17,654","8,146","4,581","1,879","2,620",253,464,"4,384","3,986",,"3,074","7,379","6,004","4,130"
2021,8,60,"51,474","13,779","6,171","3,726","1,878","3,105",402,531,"3,346","3,193",,"2,220","5,417","4,942","2,764"
2021,8,70,"22,710","6,166","2,724","1,657",860,"1,648",220,291,"1,539","1,402",,864,"2,112","2,004","1,223"
2021,8,80,"8,924","2,287","1,183",834,443,635,143,163,622,506,,285,760,661,402
2021,8,90,"1,287",348,163,110,69,108,22,31,78,69,,42,85,101,61
2021,8,100,54,14,6,3,5,4,0,1,3,4,,4,5,3,2
2021,9,총,"386,301","113,310","47,080","23,267","9,598","15,722","1,494","2,529","25,627","22,285",,"18,356","39,298","33,628","34,107"
2021,9,0,"33,578","10,800","3,615","1,338",441,"1,051",31,140,"2,011","1,573",,"1,903","2,931","2,551","5,193"
2021,9,10,"34,218","8,963","5,010","1,802",633,"1,264",65,185,"2,238","2,035",,"1,612","3,607","2,671","4,133"
2021,9,20,"45,145","13,350","5,613","2,864","1,010","1,227",106,169,"3,456","2,788",,"2,321","5,039","4,273","2,929"
2021,9,30,"56,045","19,247","6,194","2,757","1,008","1,480",102,215,"3,646","2,931",,"2,807","5,105","4,700","5,853"
2021,9,40,"67,552","20,556","8,172","3,537","1,348","2,514",140,332,"4,169","3,728",,"3,200","6,811","5,681","7,364"
2021,9,50,"64,843","17,688","8,178","4,596","1,894","2,645",253,461,"4,442","4,036",,"3,081","7,406","6,017","4,146"
2021,9,60,"51,785","13,860","6,200","3,758","1,881","3,117",412,538,"3,403","3,211",,"2,225","5,423","4,968","2,789"
2021,9,70,"22,778","6,189","2,734","1,657",866,"1,656",221,292,"1,542","1,404",,869,"2,116","1,999","1,233"
2021,9,80,"9,008","2,298","1,195",842,443,657,143,166,633,503,,290,771,664,403
2021,9,90,"1,293",345,162,113,69,107,21,29,85,72,,44,84,100,62
2021,9,100,56,14,7,3,5,4,0,2,2,4,,4,5,4,2
2021,10,총,"386,496","113,344","47,076","23,274","9,619","15,741","1,506","2,523","25,846","22,229",,"18,368","39,292","33,617","34,061"
2021,10,0,"33,415","10,770","3,618","1,345",440,"1,033",33,138,"2,022","1,553",,"1,890","2,888","2,532","5,153"
2021,10,10,"34,183","8,972","4,927","1,799",629,"1,272",65,179,"2,254","2,039",,"1,617","3,599","2,670","4,161"
2021,10,20,"45,080","13,289","5,610","2,864","1,011","1,222",107,174,"3,481","2,777",,"2,320","5,035","4,271","2,919"
2021,10,30,"55,841","19,181","6,201","2,737","1,020","1,450",101,214,"3,688","2,912",,"2,808","5,092","4,671","5,766"
2021,10,40,"67,562","20,570","8,174","3,540","1,333","2,525",138,333,"4,218","3,697",,"3,188","6,794","5,662","7,390"
2021,10,50,"65,043","17,703","8,192","4,585","1,921","2,680",258,457,"4,475","4,042",,"3,092","7,420","6,052","4,166"
