년도,월,나이,나주시,남평읍,세지면,왕곡면,반남면,공산면,동강면,다시면,문평면,노안면,금천면,산포면,다도면,봉황면,송월동,영강동,금남동,성북동,영산동,이창동,빛가람동
2020,7,40,"16,251","1,735",230,267,123,241,197,309,166,436,454,388,164,389,"1,254",433,632,"1,409",335,451,"6,638"
2020,7,50,"17,231","1,971",498,563,273,388,417,643,355,901,801,699,390,728,"1,273",462,897,"1,470",655,625,"3,222"
2020,7,60,"15,676","1,854",564,615,327,500,562,784,437,"1,072",870,697,440,896,796,399,850,"1,017",635,652,"1,709"
2020,7,70,"11,527","1,111",498,508,278,425,523,657,384,801,757,516,364,831,459,302,754,708,533,483,635
2020,7,80,"6,491",552,310,336,201,292,342,457,291,526,372,311,223,483,259,152,336,310,293,232,213
2020,7,90,975,81,54,42,34,29,41,70,46,95,65,50,30,73,32,30,48,52,40,38,25
2020,7,100,59,3,4,2,0,5,0,3,1,5,6,0,1,5,1,0,4,0,4,14,1
2020,8,총,"114,392","12,200","2,709","3,010","1,493","2,373","2,527","3,636","1,983","4,734","4,435","3,478","1,926","4,319","7,805","2,787","5,119","9,046","3,428","3,526","33,858"
2020,8,0,"10,084","1,167",58,82,24,87,50,67,35,104,146,94,43,129,675,160,252,784,121,136,"5,870"
2020,8,10,"9,351",800,154,147,54,128,87,164,58,174,221,148,54,209,871,233,376,972,283,212,"4,006"
2020,8,20,"12,141","1,218",209,266,107,151,184,252,121,352,398,325,112,326,"1,170",360,553,"1,320",289,382,"4,046"
2020,8,30,"14,495","1,697",136,180,78,134,129,219,94,274,350,250,102,245,987,268,425,"1,018",241,301,"7,367"
2020,8,40,"16,263","1,723",227,266,123,237,195,308,163,427,450,382,164,390,"1,265",425,620,"1,391",335,445,"6,727"
2020,8,50,"17,201","1,982",492,562,265,386,407,634,354,899,790,697,392,732,"1,278",452,896,"1,473",649,622,"3,239"
2020,8,60,"15,782","1,857",568,617,329,507,568,803,432,"1,069",880,703,441,898,803,403,859,"1,015",638,661,"1,731"
2020,8,70,"11,518","1,114",500,507,278,421,522,661,385,802,755,516,361,831,460,301,751,707,531,484,631
2020,8,80,"6,514",558,307,338,201,289,344,452,294,531,373,310,227,484,262,155,335,313,295,231,215
2020,8,90,985,81,53,43,34,29,41,73,46,97,66,53,29,70,33,30,49,53,42,38,25
2020,8,100,58,3,5,2,0,4,0,3,1,5,6,0,1,5,1,0,3,0,4,14,1
2020,9,총,"114,522","12,152","2,692","2,979","1,481","2,363","2,518","3,619","1,988","4,720","4,426","3,477","1,914","4,306","7,756","2,770","5,098","9,046","3,406","3,516","34,295"
2020,9,0,"10,074","1,154",58,76,21,85,49,70,36,98,143,93,41,126,661,158,250,788,120,134,"5,913"
2020,9,10,"9,338",790,156,144,52,125,84,161,57,173,218,146,55,207,871,230,368,961,274,209,"4,057"
2020,9,20,"12,152","1,202",198,259,104,153,178,244,120,349,398,321,110,319,"1,152",355,554,"1,338",289,386,"4,123"
2020,9,30,"14,516","1,678",137,176,75,131,129,219,94,280,342,259,101,248,974,267,415,995,240,297,"7,459"
2020,9,40,"16,272","1,711",223,262,123,235,195,309,164,419,455,377,161,391,"1,256",418,618,"1,380",326,438,"6,811"
2020,9,50,"17,196","1,979",486,556,262,380,399,622,353,890,792,694,391,727,"1,275",458,885,"1,478",646,619,"3,304"
2020,9,60,"15,852","1,866",570,620,329,505,570,809,435,"1,074",877,710,436,896,805,398,867,"1,031",640,665,"1,749"
2020,9,70,"11,511","1,121",498,502,280,429,525,656,385,797,753,510,364,823,461,301,753,704,529,482,638
2020,9,80,"6,557",567,310,339,201,287,346,454,297,537,374,315,225,495,266,152,336,316,293,233,214
2020,9,90,995,81,51,43,34,29,43,72,46,98,68,52,29,69,34,33,49,55,45,38,26
2020,9,100,59,3,5,2,0,4,0,3,1,5,6,0,1,5,1,0,3,0,4,15,1
2020,10,총,"114,931","12,135","2,690","2,956","1,476","2,357","2,511","3,589","1,985","4,717","4,413","3,450","1,912","4,294","7,727","2,737","5,075","8,979","3,385","3,531","35,012"
2020,10,0,"10,074","1,143",57,76,17,85,47,65,35,96,142,85,38,122,648,156,242,763,117,131,"6,009"
2020,10,10,"9,392",794,157,144,50,126,83,157,56,173,216,141,54,204,873,227,367,943,264,213,"4,150"
2020,10,20,"12,212","1,211",200,253,109,154,175,240,120,352,400,320,111,309,"1,153",348,552,"1,332",286,391,"4,196"
2020,10,30,"14,524","1,651",135,172,71,127,130,209,90,275,331,254,106,247,960,266,406,975,237,293,"7,589"
2020,10,40,"16,375","1,719",224,262,121,231,191,307,167,416,453,372,162,387,"1,249",415,616,"1,374",319,438,"6,952"
2020,10,50,"17,229","1,969",477,548,259,377,399,613,348,890,789,689,385,733,"1,276",448,876,"1,474",646,626,"3,407"
2020,10,60,"15,947","1,876",574,617,333,506,565,809,437,"1,079",875,714,437,896,807,397,875,"1,034",641,671,"1,804"
2020,10,70,"11,536","1,125",502,496,280,429,526,657,386,790,757,509,365,829,464,299,749,711,527,481,654
2020,10,80,"6,588",563,308,340,202,289,352,460,299,544,375,317,224,493,263,149,340,315,298,234,223
2020,10,90,992,81,51,46,34,29,43,68,46,97,68,49,29,69,33,32,49,58,46,38,26
2020,10,100,62,3,5,2,0,4,0,4,1,5,7,0,1,5,1,0,3,0,4,15,2
2020,11,총,"115,153","12,073","2,665","2,947","1,468","2,352","2,506","3,597","1,976","4,707","4,382","3,424","1,911","4,297","7,682","2,750","5,039","8,957","3,355","3,522","35,543"
2020,11,0,"10,101","1,137",54,72,17,85,47,64,35,99,137,76,37,123,626,156,241,763,112,128,"6,092"
2020,11,10,"9,379",782,148,137,52,128,82,160,54,172,207,136,54,201,871,235,361,932,255,211,"4,201"
2020,11,20,"12,282","1,202",203,260,107,148,175,244,121,346,394,313,109,313,"1,141",344,549,"1,339",289,389,"4,296"
2020,11,30,"14,534","1,631",132,170,69,128,128,202,89,276,325,257,101,248,946,267,394,957,229,294,"7,691"
2020,11,40,"16,388","1,712",217,261,120,229,192,308,167,408,449,363,159,380,"1,238",417,616,"1,374",314,434,"7,030"
2020,11,50,"17,221","1,955",474,540,256,374,393,616,344,887,788,687,391,734,"1,283",450,862,"1,465",638,624,"3,460"
2020,11,60,"16,058","1,887",573,619,333,508,571,814,437,"1,084",873,720,438,902,811,401,871,"1,040",645,674,"1,857"
2020,11,70,"11,554","1,126",498,497,280,431,524,662,385,787,762,505,368,829,469,294,754,716,526,478,663
2020,11,80,"6,575",558,310,342,201,288,348,456,297,544,375,320,222,492,263,153,339,309,297,237,224
2020,11,90,997,80,51,46,33,29,46,67,46,99,65,47,31,70,32,33,49,62,46,38,27
2020,11,100,64,3,5,3,0,4,0,4,1,5,7,0,1,5,2,0,3,0,4,15,2
2020,12,총,"115,613","12,044","2,664","2,933","1,452","2,334","2,507","3,585","1,971","4,688","4,343","3,435","1,899","4,286","7,689","2,711","5,010","8,925","3,350","3,503","36,284"
2020,12,0,"10,133","1,120",48,64,17,84,46,60,35,100,128,83,30,118,626,150,243,759,112,123,"6,187"
2020,12,10,"9,389",772,144,135,52,125,83,158,50,164,205,135,53,205,865,224,361,924,251,217,"4,266"
2020,12,20,"12,414","1,189",204,262,101,147,182,246,125,351,395,319,114,316,"1,156",342,537,"1,325",285,387,"4,431"
2020,12,30,"14,591","1,617",127,169,68,125,123,196,89,279,317,260,95,243,937,259,387,944,222,295,"7,839"
2020,12,40,"16,461","1,705",221,257,124,227,189,304,161,387,445,364,156,376,"1,226",403,614,"1,377",318,423,"7,184"
2020,12,50,"17,256","1,963",476,532,250,366,394,607,348,896,779,672,386,736,"1,297",444,853,"1,453",641,620,"3,543"
2020,12,60,"16,167","1,899",579,626,325,513,573,825,437,"1,086",867,726,444,904,813,407,866,"1,050",644,676,"1,907"
2020,12,70,"11,550","1,131",496,493,280,431,520,663,383,782,764,506,367,823,471,294,753,718,529,474,672
2020,12,80,"6,596",565,310,346,202,283,351,455,298,540,374,322,221,494,265,156,343,313,297,237,224
2020,12,90,991,79,54,46,33,29,46,67,43,98,62,48,32,67,31,32,50,61,47,36,30
2020,12,100,65,4,5,3,0,4,0,4,2,5,7,0,1,4,2,0,3,1,4,15,1
2021,1,총,"115,855","12,024","2,662","2,923","1,459","2,335","2,509","3,585","1,966","4,677","4,333","3,418","1,904","4,254","7,657","2,686","4,959","8,865","3,343","3,489","36,807"
2021,1,0,"10,079","1,111",46,62,16,84,45,62,35,98,125,86,30,105,614,147,230,738,114,119,"6,212"
2021,1,10,"9,496",774,149,131,54,126,83,159,50,168,205,135,52,201,861,217,359,921,268,208,"4,375"
2021,1,20,"12,375","1,181",200,262,100,145,180,239,124,346,394,317,115,312,"1,160",333,529,"1,299",273,388,"4,478"
2021,1,30,"14,532","1,592",126,168,68,127,122,196,87,264,313,248,96,239,940,260,381,922,217,298,"7,868"
2021,1,40,"16,559","1,709",222,255,124,227,191,308,157,393,446,362,157,366,"1,206",384,610,"1,373",318,417,"7,334"
2021,1,50,"17,283","1,972",477,532,252,361,388,600,349,898,773,669,383,732,"1,293",450,841,"1,459",637,618,"3,599"
2021,1,60,"16,267","1,904",577,629,325,514,577,830,437,"1,086",874,722,444,909,814,408,865,"1,051",646,677,"1,978"
2021,1,70,"11,542","1,126",491,486,282,433,520,661,383,780,756,504,365,822,478,296,747,719,524,473,696
2021,1,80,"6,648",568,314,350,203,285,356,460,299,539,378,329,227,495,259,158,342,320,295,238,233
2021,1,90,"1,006",83,55,45,35,29,47,66,43,100,61,46,34,69,30,33,51,61,47,38,33
2021,1,100,68,4,5,3,0,4,0,4,2,5,8,0,1,4,2,0,4,2,4,15,1
2021,2,총,"116,348","12,048","2,664","2,921","1,466","2,314","2,496","3,597","1,962","4,665","4,332","3,420","1,896","4,245","7,656","2,688","4,951","8,853","3,333","3,491","37,350"
2021,2,0,"10,128","1,107",46,59,16,81,44,64,35,98,125,84,30,107,607,146,222,733,111,119,"6,294"
2021,2,10,"9,545",780,154,131,58,123,84,159,51,165,208,129,53,199,856,219,353,914,259,205,"4,445"
2021,2,20,"12,410","1,185",197,255,100,146,175,238,120,349,393,313,112,310,"1,160",330,529,"1,292",274,393,"4,539"
2021,2,30,"14,550","1,583",127,166,70,118,118,200,91,265,313,248,97,234,932,257,376,917,219,301,"7,918"
2021,2,40,"16,716","1,717",228,257,122,223,191,313,154,387,446,362,155,365,"1,204",394,608,"1,371",317,416,"7,486"
2021,2,50,"17,318","1,969",471,532,258,360,383,596,348,886,765,675,375,733,"1,295",443,849,"1,457",632,616,"3,675"
2021,2,60,"16,362","1,922",571,634,323,514,575,833,436,"1,092",874,724,446,908,823,412,870,"1,064",647,677,"2,017"
2021,2,70,"11,551","1,124",496,481,281,431,521,664,382,780,750,506,363,822,485,294,744,721,525,467,714
2021,2,80,"6,682",573,314,357,202,285,357,457,301,538,388,333,230,495,259,161,342,322,295,244,229
2021,2,90,"1,019",84,55,46,36,29,48,69,42,100,62,46,34,69,33,32,54,60,50,38,32
2021,2,100,67,4,5,3,0,4,0,4,2,5,8,0,1,3,2,0,4,2,4,15,1
2021,3,총,"116,113","12,028","2,629","2,901","1,448","2,312","2,496","3,569","1,957","4,626","4,291","3,375","1,875","4,225","7,657","2,698","4,895","8,773","3,276","3,410","37,672"
2021,3,0,"10,101","1,093",48,56,16,84,46,64,33,94,120,81,29,105,607,147,220,712,108,118,"6,320"
2021,3,10,"9,574",779,148,134,54,121,83,159,52,168,210,131,54,198,849,220,359,914,258,204,"4,479"
2021,3,20,"12,429","1,203",195,253,99,147,172,235,122,343,383,310,107,305,"1,174",327,519,"1,277",272,382,"4,604"
2021,3,30,"14,516","1,569",121,158,66,122,114,196,88,265,310,239,97,229,921,260,367,909,214,301,"7,970"
2021,3,40,"16,637","1,694",220,256,124,219,194,302,157,380,436,351,141,364,"1,202",391,596,"1,361",308,416,"7,525"
2021,3,50,"17,294","1,967",476,527,256,358,387,595,344,876,752,671,382,734,"1,296",445,837,"1,438",605,591,"3,757"
2021,3,60,"16,328","1,935",564,630,315,513,572,828,438,"1,083",872,714,444,910,823,424,865,"1,065",640,663,"2,030"
2021,3,70,"11,459","1,121",491,475,278,425,522,657,376,776,753,508,356,803,480,288,733,715,521,457,724
2021,3,80,"6,725",580,311,364,204,289,355,462,303,537,392,327,229,504,269,163,343,323,300,239,231
2021,3,90,"1,018",86,53,46,36,30,51,68,42,102,60,43,34,70,34,33,55,57,50,37,31
2021,3,100,32,1,2,2,0,4,0,3,2,2,3,0,2,3,2,0,1,2,0,2,1
2021,4,총,"116,332","12,060","2,606","2,893","1,437","2,306","2,485","3,566","1,953","4,643","4,263","3,379","1,873","4,209","7,683","2,697","4,892","8,739","3,252","3,417","37,979"
2021,4,0,"10,106","1,088",47,54,17,82,45,64,34,94,118,83,29,102,609,142,222,704,106,118,"6,348"
2021,4,10,"9,579",780,141,131,48,121,83,158,54,167,208,133,55,196,850,216,358,901,249,204,"4,526"
2021,4,20,"12,438","1,207",188,257,96,146,166,234,123,340,374,302,104,296,"1,191",322,516,"1,292",266,388,"4,630"
2021,4,30,"14,591","1,589",121,153,66,121,116,196,90,271,302,242,93,226,932,267,370,901,212,293,"8,030"
2021,4,40,"16,630","1,685",220,255,125,218,192,302,153,373,432,343,142,363,"1,194",385,592,"1,352",309,418,"7,577"
2021,4,50,"17,343","1,976",471,524,251,356,380,597,338,885,751,677,385,728,"1,304",452,831,"1,436",598,595,"3,808"
2021,4,60,"16,364","1,937",565,629,316,513,573,827,439,"1,097",868,712,446,917,814,422,868,"1,058",642,665,"2,056"
2021,4,70,"11,466","1,129",485,474,280,423,525,656,372,776,747,516,350,803,481,292,732,708,524,456,737
2021,4,80,"6,755",582,313,366,202,292,353,461,304,533,401,327,233,505,272,166,347,327,294,241,236
2021,4,90,"1,029",86,53,48,36,30,52,68,44,105,60,44,34,70,34,33,55,58,52,37,30
2021,4,100,31,1,2,2,0,4,0,3,2,2,2,0,2,3,2,0,1,2,0,2,1
2021,5,총,"116,486","12,042","2,609","2,877","1,434","2,294","2,481","3,567","1,949","4,646","4,254","3,378","1,873","4,190","7,697","2,690","4,854","8,742","3,235","3,402","38,272"
2021,5,0,"10,097","1,086",47,55,17,81,44,61,32,92,120,78,30,96,607,140,220,699,104,117,"6,371"
2021,5,10,"9,602",781,140,129,47,124,81,158,56,166,208,133,55,193,832,210,350,901,246,203,"4,589"
2021,5,20,"12,424","1,183",191,247,96,142,167,239,121,341,365,300,104,292,"1,208",320,498,"1,292",257,386,"4,675"
2021,5,30,"14,585","1,591",117,153,65,116,114,196,90,272,297,240,95,217,936,266,369,899,211,290,"8,051"
2021,5,40,"16,615","1,675",219,251,124,217,190,298,151,369,436,351,139,354,"1,188",379,583,"1,346",307,417,"7,621"
2021,5,50,"17,369","1,963",469,524,249,354,386,594,330,888,747,666,382,736,"1,314",458,826,"1,445",583,591,"3,864"
2021,5,60,"16,453","1,954",569,630,315,511,570,830,445,"1,100",870,721,445,912,815,428,870,"1,065",653,666,"2,084"
2021,5,70,"11,467","1,131",488,473,279,420,523,660,369,767,747,518,350,815,487,290,729,703,523,449,746
2021,5,80,"6,813",591,314,366,206,295,356,461,309,546,400,326,235,503,275,166,351,334,300,242,237
2021,5,90,"1,031",86,53,47,36,30,50,67,44,103,62,45,36,69,33,33,57,57,51,39,33
2021,5,100,30,1,2,2,0,4,0,3,2,2,2,0,2,3,2,0,1,1,0,2,1
2021,6,총,"116,513","12,072","2,605","2,877","1,429","2,296","2,464","3,567","1,943","4,617","4,241","3,375","1,868","4,192","7,672","2,659","4,842","8,736","3,240","3,395","38,423"
2021,6,0,"10,070","1,084",45,55,18,79,45,61,32,93,117,78,29,96,604,136,214,695,104,109,"6,376"
2021,6,10,"9,624",790,142,128,48,126,79,155,53,164,205,131,58,190,814,204,354,907,248,204,"4,624"
2021,6,20,"12,373","1,171",188,246,94,140,166,242,121,336,361,292,102,290,"1,224",316,491,"1,278",252,384,"4,679"
2021,6,30,"14,541","1,609",118,155,66,112,113,192,91,267,299,237,94,217,920,262,370,887,211,288,"8,033"
2021,6,40,"16,626","1,671",215,252,121,223,188,295,150,362,430,344,139,350,"1,188",368,571,"1,355",307,415,"7,682"
2021,6,50,"17,339","1,959",464,514,248,353,374,592,325,881,744,667,379,731,"1,301",458,829,"1,448",586,597,"3,889"
2021,6,60,"16,580","1,975",575,638,317,512,574,840,445,"1,097",875,729,446,930,829,429,868,"1,063",655,667,"2,116"
2021,6,70,"11,457","1,135",483,472,278,422,515,654,371,763,745,522,348,810,488,291,728,710,521,450,751
2021,6,80,"6,840",591,320,367,204,295,360,468,307,547,401,330,236,507,270,162,358,336,303,240,238
2021,6,90,"1,033",86,53,48,35,30,50,65,46,105,62,45,35,68,32,33,58,56,53,39,34
2021,6,100,30,1,2,2,0,4,0,3,2,2,2,0,2,3,2,0,1,1,0,2,1
2021,7,총,"116,636","12,090","2,586","2,865","1,419","2,289","2,454","3,560","1,944","4,603","4,225","3,350","1,863","4,172","7,689","2,660","4,836","8,711","3,247","3,391","38,682"
2021,7,0,"10,047","1,082",41,54,18,75,46,64,32,92,109,77,28,95,599,138,217,684,107,107,"6,382"
2021,7,10,"9,654",796,138,127,48,126,77,156,53,163,207,131,59,187,808,203,350,904,241,202,"4,678"
2021,7,20,"12,340","1,164",188,246,90,141,163,236,116,327,361,283,103,289,"1,239",308,489,"1,261",254,386,"4,696"
2021,7,30,"14,555","1,605",117,154,67,111,112,186,94,265,295,230,91,214,917,264,373,880,216,286,"8,078"
2021,7,40,"16,671","1,675",210,248,119,221,188,303,150,361,431,344,137,346,"1,194",361,567,"1,352",310,413,"7,741"
2021,7,50,"17,304","1,958",459,508,248,350,371,590,325,876,731,658,372,724,"1,313",468,821,"1,443",581,595,"3,913"
2021,7,60,"16,704","1,987",578,636,316,515,574,843,446,"1,103",882,737,453,933,834,432,873,"1,085",652,669,"2,156"
2021,7,70,"11,437","1,138",481,470,276,420,515,650,370,761,746,512,346,806,479,290,726,705,526,457,763
2021,7,80,"6,859",597,322,372,203,293,357,465,311,548,397,334,236,506,273,165,360,341,306,235,238
2021,7,90,"1,034",87,50,48,34,33,51,64,45,105,64,44,36,68,31,31,59,55,54,39,36
