년도,월,나이,울릉군,울릉읍,서면,서면태하출장소,북면
2020,6,50,"1,074",768,115,50,141
2020,6,60,930,639,98,51,142
2020,6,70,469,301,44,43,81
2020,6,80,195,112,25,12,46
2020,6,90,21,9,2,5,5
2020,6,100,5,5,0,0,0
2020,7,총,"5,039","3,566",465,248,760
2020,7,0,220,163,19,12,26
2020,7,10,237,174,26,11,26
2020,7,20,505,360,49,12,84
2020,7,30,555,414,30,24,87
2020,7,40,822,619,59,23,121
2020,7,50,"1,079",768,115,52,144
2020,7,60,927,638,98,50,141
2020,7,70,470,302,42,46,80
2020,7,80,197,113,25,12,47
2020,7,90,22,10,2,6,4
2020,7,100,5,5,0,0,0
2020,8,총,"5,018","3,558",462,245,753
2020,8,0,214,160,19,11,24
2020,8,10,236,174,26,11,25
2020,8,20,495,356,47,12,80
2020,8,30,545,409,30,23,83
2020,8,40,815,615,58,24,118
2020,8,50,"1,081",769,114,51,147
2020,8,60,934,639,99,51,145
2020,8,70,476,308,42,45,81
2020,8,80,196,113,25,12,46
2020,8,90,21,10,2,5,4
2020,8,100,5,5,0,0,0
2020,9,총,"5,009","3,550",464,243,752
2020,9,0,219,161,20,11,27
2020,9,10,235,174,26,11,24
2020,9,20,493,357,46,12,78
2020,9,30,539,407,30,21,81
2020,9,40,810,608,60,23,119
2020,9,50,"1,076",766,113,51,146
2020,9,60,938,641,99,52,146
2020,9,70,476,307,43,45,81
2020,9,80,197,114,25,12,46
2020,9,90,21,10,2,5,4
2020,9,100,5,5,0,0,0
2020,10,총,"5,030","3,562",476,244,748
2020,10,0,215,158,20,11,26
2020,10,10,232,174,24,11,23
2020,10,20,514,361,63,12,78
2020,10,30,536,406,29,22,79
2020,10,40,806,604,61,22,119
2020,10,50,"1,088",779,112,51,146
2020,10,60,939,645,95,53,146
2020,10,70,477,306,45,45,81
2020,10,80,197,113,26,12,46
2020,10,90,21,11,1,5,4
2020,10,100,5,5,0,0,0
2020,11,총,"4,993","3,538",480,239,736
2020,11,0,209,155,20,10,24
2020,11,10,235,177,24,11,23
2020,11,20,504,353,66,11,74
2020,11,30,527,398,29,20,80
2020,11,40,796,601,62,21,112
2020,11,50,"1,092",784,111,51,146
2020,11,60,930,638,94,51,147
2020,11,70,479,306,47,47,79
2020,11,80,194,111,25,12,46
2020,11,90,22,10,2,5,5
2020,11,100,5,5,0,0,0
2020,12,총,"4,956","3,506",480,239,731
2020,12,0,203,149,20,10,24
2020,12,10,233,174,24,11,24
2020,12,20,506,355,66,11,74
2020,12,30,511,387,32,19,73
2020,12,40,791,598,62,21,110
2020,12,50,"1,079",774,107,51,147
2020,12,60,935,638,96,52,149
2020,12,70,479,306,47,47,79
2020,12,80,192,111,23,12,46
2020,12,90,22,9,3,5,5
2020,12,100,5,5,0,0,0
2021,1,총,"4,933","3,488",480,239,726
2021,1,0,200,147,20,9,24
2021,1,10,233,174,24,11,24
2021,1,20,496,347,64,10,75
2021,1,30,508,389,32,19,68
2021,1,40,790,597,61,20,112
2021,1,50,"1,071",764,110,52,145
2021,1,60,928,631,96,53,148
2021,1,70,485,312,47,47,79
2021,1,80,195,113,23,13,46
2021,1,90,22,9,3,5,5
2021,1,100,5,5,0,0,0
2021,2,총,"4,965","3,522",483,236,724
2021,2,0,202,149,20,9,24
2021,2,10,229,170,25,10,24
2021,2,20,505,357,66,8,74
2021,2,30,520,400,34,20,66
2021,2,40,785,593,60,20,112
2021,2,50,"1,074",771,108,50,145
2021,2,60,941,641,97,54,149
2021,2,70,483,312,47,47,77
2021,2,80,199,114,23,13,49
2021,2,90,22,10,3,5,4
2021,2,100,5,5,0,0,0
2021,3,총,"4,944","3,501",478,236,729
2021,3,0,202,149,17,8,28
2021,3,10,230,170,27,11,22
2021,3,20,493,346,64,8,75
2021,3,30,524,402,35,21,66
2021,3,40,765,572,59,21,113
2021,3,50,"1,072",773,105,49,145
2021,3,60,940,642,96,53,149
2021,3,70,491,318,48,47,78
2021,3,80,200,114,24,13,49
2021,3,90,22,10,3,5,4
2021,3,100,5,5,0,0,0
2021,4,총,"4,961","3,532",474,235,720
2021,4,0,201,152,17,8,24
2021,4,10,227,168,26,12,21
2021,4,20,506,363,62,8,73
2021,4,30,521,401,36,21,63
2021,4,40,768,572,59,20,117
2021,4,50,"1,068",774,104,49,141
2021,4,60,945,649,96,52,148
2021,4,70,494,318,49,47,80
2021,4,80,204,120,23,13,48
2021,4,90,22,10,2,5,5
2021,4,100,5,5,0,0,0
2021,5,총,"4,963","3,526",476,234,727
2021,5,0,199,149,17,7,26
2021,5,10,229,170,25,13,21
2021,5,20,502,359,62,9,72
2021,5,30,522,402,35,19,66
2021,5,40,767,568,61,22,116
2021,5,50,"1,065",770,102,50,143
2021,5,60,953,653,100,49,151
2021,5,70,494,320,48,47,79
2021,5,80,205,120,24,13,48
2021,5,90,22,10,2,5,5
2021,5,100,5,5,0,0,0
2021,6,총,"4,935","3,487",480,237,731
2021,6,0,201,150,17,8,26
2021,6,10,231,170,25,13,23
2021,6,20,499,356,62,9,72
2021,6,30,517,399,35,20,63
2021,6,40,771,564,62,23,122
2021,6,50,"1,063",766,104,50,143
2021,6,60,939,642,101,49,147
2021,6,70,491,315,48,47,81
2021,6,80,201,116,24,12,49
2021,6,90,22,9,2,6,5
2021,6,100,0,0,0,0,0
2021,7,총,"4,956","3,507",482,238,729
2021,7,0,199,147,17,9,26
2021,7,10,233,171,25,13,24
2021,7,20,516,371,61,9,75
2021,7,30,509,392,37,21,59
2021,7,40,776,569,60,26,121
2021,7,50,"1,061",766,105,50,140
2021,7,60,948,651,103,45,149
2021,7,70,492,315,48,48,81
2021,7,80,201,116,24,12,49
2021,7,90,21,9,2,5,5
2021,7,100,0,0,0,0,0
2021,8,총,"4,930","3,507",476,238,709
2021,8,0,196,144,18,8,26
2021,8,10,230,173,26,12,19
2021,8,20,514,380,53,10,71
2021,8,30,492,380,37,19,56
2021,8,40,771,567,62,27,115
2021,8,50,"1,069",774,104,50,141
2021,8,60,942,648,101,47,146
2021,8,70,495,316,49,48,82
2021,8,80,200,116,24,12,48
2021,8,90,21,9,2,5,5
2021,8,100,0,0,0,0,0
2021,9,총,"4,879","3,473",473,235,698
2021,9,0,197,147,19,8,23
2021,9,10,226,167,27,12,20
2021,9,20,508,382,48,11,67
2021,9,30,477,372,35,16,54
2021,9,40,760,559,62,28,111
2021,9,50,"1,057",760,105,50,142
2021,9,60,940,646,100,45,149
2021,9,70,497,316,51,48,82
2021,9,80,197,116,24,12,45
2021,9,90,20,8,2,5,5
2021,9,100,0,0,0,0,0
2021,10,총,"4,867","3,462",479,234,692
2021,10,0,194,145,19,8,22
2021,10,10,229,167,29,12,21
2021,10,20,501,377,48,11,65
2021,10,30,480,375,36,15,54
2021,10,40,748,550,60,28,110
2021,10,50,"1,061",761,109,51,140
2021,10,60,942,645,101,46,150
2021,10,70,493,318,51,44,80
2021,10,80,199,116,24,14,45
2021,10,90,20,8,2,5,5
2021,10,100,0,0,0,0,0
2021,11,총,"4,862","3,455",479,236,692
2021,11,0,195,145,21,8,21
2021,11,10,227,164,29,12,22
2021,11,20,501,378,45,11,67
2021,11,30,475,372,37,15,51
2021,11,40,743,543,60,27,113
2021,11,50,"1,057",758,108,52,139
2021,11,60,945,647,104,46,148
2021,11,70,500,323,49,46,82
2021,11,80,199,116,24,14,45
2021,11,90,20,9,2,5,4
2021,11,100,0,0,0,0,0
2021,12,총,"4,851","3,446",471,242,692
2021,12,0,197,146,22,9,20
2021,12,10,229,166,28,12,23
2021,12,20,498,374,43,13,68
2021,12,30,458,359,35,15,49
2021,12,40,748,542,63,25,118
2021,12,50,"1,053",763,103,54,133
2021,12,60,953,651,104,48,150
2021,12,70,496,321,47,46,82
2021,12,80,199,116,24,14,45
2021,12,90,20,8,2,6,4
2021,12,100,0,0,0,0,0
