년도,월,나이,영월군,영월읍,상동읍,중동면,김삿갓면,북면,남면,한반도면,한반도면쌍용출장소,주천면,무릉도원면,산솔면
2020,6,0,"1,720","1,331",20,24,30,35,51,40,47,97,45,
2020,6,10,"3,008","2,240",31,57,80,81,96,54,78,206,85,
2020,6,20,"3,290","2,322",43,69,95,135,116,103,104,220,83,
2020,6,30,"2,867","1,964",52,63,60,105,125,86,108,201,103,
2020,6,40,"4,745","3,041",105,122,171,210,228,147,177,358,186,
2020,6,50,"7,451","3,777",240,357,419,458,448,273,337,741,401,
2020,6,60,"7,866","3,260",267,370,464,548,622,298,421,998,618,
2020,6,70,"4,896","2,099",211,269,263,349,342,162,292,556,353,
2020,6,80,"2,602","1,032",118,137,144,209,207,96,157,377,125,
2020,6,90,345,139,14,15,22,23,32,12,27,42,19,
2020,6,100,50,19,2,1,3,6,5,1,1,10,2,
2020,7,총,"38,818","21,220","1,099","1,481","1,753","2,168","2,273","1,266","1,743","3,792","2,023",
2020,7,0,"1,714","1,332",20,23,29,35,50,41,45,95,44,
2020,7,10,"2,995","2,222",32,57,81,82,95,54,76,209,87,
2020,7,20,"3,304","2,336",43,69,95,135,117,103,105,218,83,
2020,7,30,"2,859","1,955",53,63,62,107,124,85,105,202,103,
2020,7,40,"4,722","3,032",103,122,168,209,228,144,180,350,186,
2020,7,50,"7,436","3,782",236,353,419,456,449,273,334,736,398,
2020,7,60,"7,883","3,259",267,373,466,558,623,297,421,"1,000",619,
2020,7,70,"4,892","2,108",207,267,262,348,345,159,289,553,354,
2020,7,80,"2,615","1,033",121,138,146,209,206,97,160,377,128,
2020,7,90,348,142,15,15,22,23,31,12,27,42,19,
2020,7,100,50,19,2,1,3,6,5,1,1,10,2,
2020,8,총,"38,773","21,180","1,094","1,480","1,752","2,170","2,268","1,272","1,747","3,796","2,014",
2020,8,0,"1,706","1,328",20,23,28,33,49,41,45,96,43,
2020,8,10,"2,971","2,194",32,58,79,84,94,54,76,216,84,
2020,8,20,"3,302","2,341",42,69,95,132,118,105,105,215,80,
2020,8,30,"2,850","1,938",52,60,60,112,125,88,109,205,101,
2020,8,40,"4,682","3,014",101,120,169,204,226,141,176,347,184,
2020,8,50,"7,424","3,777",234,351,417,457,442,270,333,740,403,
2020,8,60,"7,931","3,279",268,378,472,558,629,306,426,999,616,
2020,8,70,"4,885","2,110",207,267,261,351,340,160,291,548,350,
2020,8,80,"2,624","1,036",122,138,147,209,210,94,158,378,132,
2020,8,90,347,144,14,15,21,24,30,12,27,41,19,
2020,8,100,51,19,2,1,3,6,5,1,1,11,2,
2020,9,총,"38,698","21,117","1,097","1,478","1,747","2,159","2,272","1,275","1,746","3,795","2,012",
2020,9,0,"1,703","1,323",19,25,27,36,49,41,45,95,43,
2020,9,10,"2,936","2,165",31,57,80,85,95,54,74,212,83,
2020,9,20,"3,284","2,328",42,68,93,129,121,104,103,218,78,
2020,9,30,"2,836","1,918",54,64,60,111,123,88,113,203,102,
2020,9,40,"4,654","2,994",102,118,167,204,224,144,178,342,181,
2020,9,50,"7,406","3,779",231,347,414,457,443,266,330,740,399,
2020,9,60,"7,962","3,296",274,378,474,553,632,309,425,"1,004",617,
2020,9,70,"4,874","2,113",205,262,262,347,339,159,290,548,349,
2020,9,80,"2,643","1,039",124,143,146,207,209,97,159,381,138,
2020,9,90,347,142,13,15,21,23,32,12,28,41,20,
2020,9,100,53,20,2,1,3,7,5,1,1,11,2,
2020,10,총,"38,712","21,114","1,095","1,480","1,743","2,164","2,275","1,270","1,754","3,795","2,022",
2020,10,0,"1,701","1,315",21,25,27,39,49,39,46,96,44,
2020,10,10,"2,922","2,153",30,55,79,84,98,53,73,213,84,
2020,10,20,"3,312","2,354",43,69,92,133,120,104,101,219,77,
2020,10,30,"2,790","1,886",55,63,60,106,121,87,115,199,98,
2020,10,40,"4,659","2,999",103,116,167,205,226,138,181,337,187,
2020,10,50,"7,386","3,768",224,349,409,454,440,272,330,742,398,
2020,10,60,"7,996","3,315",275,379,478,559,632,309,425,"1,002",622,
2020,10,70,"4,874","2,110",204,263,261,344,344,160,290,551,347,
2020,10,80,"2,667","1,050",124,143,147,210,210,96,164,382,141,
2020,10,90,353,144,14,17,20,23,30,11,28,44,22,
2020,10,100,52,20,2,1,3,7,5,1,1,10,2,
2020,11,총,"38,710","21,146","1,096","1,470","1,743","2,166","2,270","1,271","1,748","3,776","2,024",
2020,11,0,"1,686","1,311",22,22,28,38,48,38,47,89,43,
2020,11,10,"2,908","2,148",28,54,78,85,98,53,70,210,84,
2020,11,20,"3,322","2,353",46,69,96,135,122,101,104,219,77,
2020,11,30,"2,781","1,892",54,60,61,106,115,87,115,191,100,
2020,11,40,"4,635","2,990",105,114,161,203,224,137,182,333,186,
2020,11,50,"7,397","3,794",219,347,407,450,438,275,327,742,398,
2020,11,60,"8,039","3,336",274,382,478,563,637,310,424,"1,011",624,
2020,11,70,"4,854","2,103",205,259,262,346,342,161,284,546,346,
2020,11,80,"2,685","1,056",127,146,148,211,211,97,167,380,142,
2020,11,90,351,143,14,16,21,22,30,11,27,45,22,
2020,11,100,52,20,2,1,3,7,5,1,1,10,2,
2020,12,총,"38,662","21,098","1,094","1,472","1,736","2,181","2,261","1,256","1,754","3,784","2,026",
2020,12,0,"1,677","1,294",21,26,29,37,47,38,48,95,42,
2020,12,10,"2,869","2,116",29,53,73,94,96,52,71,198,87,
2020,12,20,"3,311","2,344",47,71,90,142,121,97,101,222,76,
2020,12,30,"2,780","1,886",52,62,63,105,114,88,119,191,100,
2020,12,40,"4,614","2,970",103,115,161,204,222,134,183,336,186,
2020,12,50,"7,364","3,786",219,339,405,451,432,270,327,742,393,
2020,12,60,"8,091","3,374",272,383,477,563,640,310,425,"1,018",629,
2020,12,70,"4,834","2,098",206,255,261,345,345,158,283,541,342,
2020,12,80,"2,715","1,068",128,151,152,209,210,98,167,386,146,
2020,12,90,355,142,15,16,22,24,29,10,29,45,23,
2020,12,100,52,20,2,1,3,7,5,1,1,10,2,
2021,1,총,"38,565","21,015","1,088","1,473","1,732","2,174","2,262","1,248","1,758","3,782","2,033",
2021,1,0,"1,671","1,285",21,27,30,37,44,39,53,93,42,
2021,1,10,"2,820","2,078",30,54,75,91,101,47,66,194,84,
2021,1,20,"3,272","2,302",47,69,90,141,119,101,106,219,78,
2021,1,30,"2,771","1,889",50,61,63,103,113,83,121,188,100,
2021,1,40,"4,571","2,945",103,115,156,204,222,128,178,336,184,
2021,1,50,"7,326","3,773",214,339,401,446,428,273,323,737,392,
2021,1,60,"8,135","3,396",272,380,473,567,641,308,432,"1,035",631,
2021,1,70,"4,858","2,105",206,259,266,343,350,160,282,539,348,
2021,1,80,"2,735","1,083",128,152,153,211,210,98,168,385,147,
2021,1,90,354,139,15,16,22,24,29,10,28,46,25,
2021,1,100,52,20,2,1,3,7,5,1,1,10,2,
2021,2,총,"38,418","20,930","1,083","1,460","1,726","2,149","2,261","1,231","1,752","3,789","2,037",
2021,2,0,"1,653","1,276",19,25,30,36,43,37,53,91,43,
2021,2,10,"2,808","2,065",31,55,75,90,103,40,66,197,86,
2021,2,20,"3,203","2,253",46,66,85,132,117,104,102,219,79,
2021,2,30,"2,742","1,867",48,61,63,105,114,79,117,192,96,
2021,2,40,"4,551","2,941",103,112,154,198,222,122,179,339,181,
2021,2,50,"7,276","3,771",211,328,397,437,423,268,320,727,394,
2021,2,60,"8,173","3,407",271,385,479,567,646,309,431,"1,044",634,
2021,2,70,"4,839","2,094",206,257,263,341,347,162,285,539,345,
2021,2,80,"2,764","1,099",131,154,154,212,212,98,170,383,151,
2021,2,90,358,138,15,16,23,24,29,11,28,48,26,
2021,2,100,51,19,2,1,3,7,5,1,1,10,2,
2021,3,총,"38,458","21,028","1,075","1,455","1,720","2,133","2,259","1,233","1,737","3,786","2,032",
2021,3,0,"1,641","1,270",18,26,29,35,42,40,53,89,39,
2021,3,10,"2,934","2,186",29,53,74,92,104,39,64,208,85,
2021,3,20,"3,183","2,257",47,66,78,124,115,102,96,216,82,
2021,3,30,"2,725","1,850",48,60,62,107,117,81,120,187,93,
2021,3,40,"4,510","2,927",100,112,152,197,221,121,177,325,178,
2021,3,50,"7,251","3,758",210,327,397,428,424,266,315,730,396,
2021,3,60,"8,222","3,435",272,384,491,566,647,310,430,"1,053",634,
2021,3,70,"4,830","2,095",206,257,260,343,344,163,281,536,345,
2021,3,80,"2,777","1,103",133,154,155,208,211,99,172,388,154,
2021,3,90,358,141,12,16,22,26,29,11,28,48,25,
2021,3,100,27,6,0,0,0,7,5,1,1,6,1,
2021,4,총,"38,417","21,041","1,077","1,451","1,723","2,116","2,251","1,235","1,722","3,773","2,028",
2021,4,0,"1,632","1,267",19,26,28,32,41,42,47,90,40,
2021,4,10,"2,915","2,173",31,52,73,91,105,39,65,204,82,
2021,4,20,"3,153","2,236",46,68,78,125,111,101,93,213,82,
2021,4,30,"2,724","1,859",48,58,59,103,119,79,118,187,94,
2021,4,40,"4,503","2,933",102,110,151,187,219,121,178,325,177,
2021,4,50,"7,217","3,755",203,324,389,426,423,264,309,726,398,
2021,4,60,"8,270","3,459",278,387,504,568,645,313,431,"1,051",634,
2021,4,70,"4,822","2,094",201,257,263,344,342,166,278,534,343,
2021,4,80,"2,797","1,114",137,154,156,206,212,100,174,391,153,
2021,4,90,359,145,12,15,22,27,29,9,28,47,25,
2021,4,100,25,6,0,0,0,7,5,1,1,5,0,
2021,5,총,"38,099","20,879","1,062","1,431","1,710","2,108","2,248","1,229","1,685","3,731","2,016",
2021,5,0,"1,620","1,255",20,28,30,33,40,43,45,88,38,
2021,5,10,"2,893","2,153",31,50,76,92,105,39,62,205,80,
2021,5,20,"3,140","2,223",45,69,80,122,112,100,94,210,85,
2021,5,30,"2,703","1,857",47,55,55,101,119,78,118,180,93,
2021,5,40,"4,410","2,893",101,107,149,186,212,119,163,309,171,
2021,5,50,"7,160","3,737",196,320,381,425,430,264,292,721,394,
2021,5,60,"8,240","3,440",275,385,502,569,639,315,434,"1,050",631,
2021,5,70,"4,781","2,071",197,250,260,341,345,164,276,533,344,
2021,5,80,"2,787","1,109",138,152,154,206,212,100,173,387,156,
2021,5,90,343,137,12,15,23,26,29,7,27,43,24,
2021,5,100,22,4,0,0,0,7,5,0,1,5,0,
2021,6,총,"38,057","20,857","1,055","1,441","1,704","2,111","2,245","1,222","1,676","3,727","2,019",
2021,6,0,"1,609","1,246",19,31,28,33,39,42,44,85,42,
2021,6,10,"2,881","2,150",32,52,78,90,104,38,60,201,76,
2021,6,20,"3,131","2,215",46,69,80,125,112,99,95,207,83,
2021,6,30,"2,698","1,855",48,54,53,103,119,74,118,181,93,
2021,6,40,"4,389","2,886",101,108,147,186,212,117,157,305,170,
2021,6,50,"7,134","3,732",192,320,376,420,420,259,292,731,392,
2021,6,60,"8,287","3,451",275,394,504,570,649,321,437,"1,048",638,
2021,6,70,"4,761","2,065",190,245,260,341,347,162,273,530,348,
2021,6,80,"2,796","1,115",140,152,155,209,208,102,172,388,155,
2021,6,90,350,138,12,16,23,27,30,8,27,47,22,
2021,6,100,21,4,0,0,0,7,5,0,1,4,0,
2021,7,총,"38,064","20,840","1,052","1,444","1,713","2,106","2,248","1,218","1,670","3,751","2,022",
2021,7,0,"1,590","1,228",19,31,27,33,40,43,43,86,40,
2021,7,10,"2,859","2,127",32,50,78,88,102,38,61,206,77,
2021,7,20,"3,149","2,226",47,70,83,126,117,97,93,207,83,
2021,7,30,"2,685","1,848",46,53,51,104,116,75,117,183,92,
2021,7,40,"4,381","2,875",104,107,150,184,215,110,156,310,170,
2021,7,50,"7,123","3,739",190,320,373,423,417,259,290,728,384,
2021,7,60,"8,337","3,470",276,397,512,565,649,323,438,"1,059",648,
2021,7,70,"4,769","2,068",188,245,261,341,348,164,273,531,350,
2021,7,80,"2,804","1,118",137,155,155,210,209,102,172,390,156,
2021,7,90,346,137,13,16,23,25,30,7,26,47,22,
2021,7,100,21,4,0,0,0,7,5,0,1,4,0,
2021,8,총,"38,055","20,867","1,046","1,430","1,703","2,105","2,248","1,213","1,662","3,750","2,031",
2021,8,0,"1,586","1,228",19,26,26,32,42,43,42,87,41,
2021,8,10,"2,829","2,101",31,48,78,87,102,41,59,202,80,
2021,8,20,"3,164","2,239",48,70,81,127,118,93,94,210,84,
2021,8,30,"2,678","1,851",41,51,51,104,116,74,116,183,91,
2021,8,40,"4,362","2,883",102,105,151,180,210,112,152,301,166,
2021,8,50,"7,127","3,746",190,321,372,419,417,257,290,732,383,
2021,8,60,"8,355","3,488",279,394,505,569,650,323,435,"1,060",652,
2021,8,70,"4,761","2,064",187,243,259,342,347,161,275,531,352,
2021,8,80,"2,821","1,124",134,156,156,214,210,102,172,393,160,
2021,8,90,349,138,15,16,24,24,30,7,26,47,22,
2021,8,100,23,5,0,0,0,7,6,0,1,4,0,
2021,9,총,"38,012","20,863","1,044","1,425","1,699","2,089","2,240","1,211","1,649","3,758","2,034",
2021,9,0,"1,582","1,227",19,26,25,31,38,43,44,88,41,
2021,9,10,"2,806","2,079",32,50,79,84,102,42,57,203,78,
2021,9,20,"3,129","2,220",49,65,79,124,113,93,93,207,86,
2021,9,30,"2,666","1,861",39,50,51,101,111,71,112,181,89,
2021,9,40,"4,357","2,891",102,106,148,178,209,111,150,297,165,
2021,9,50,"7,131","3,752",189,322,370,421,417,254,286,733,387,
2021,9,60,"8,396","3,503",280,390,514,568,658,326,433,"1,071",653,
2021,9,70,"4,733","2,042",185,241,255,341,344,163,274,534,354,
2021,9,80,"2,839","1,143",134,158,156,210,212,101,173,393,159,
2021,9,90,349,140,15,16,22,24,30,7,26,47,22,
2021,9,100,24,5,0,1,0,7,6,0,1,4,0,
2021,10,총,"38,011","20,862","1,035","1,424","1,702","2,085","2,229","1,217","1,652","3,756","2,049",
2021,10,0,"1,581","1,228",19,26,25,31,36,42,45,86,43,
2021,10,10,"2,791","2,067",33,50,79,83,97,45,56,201,80,
2021,10,20,"3,131","2,226",49,63,80,119,113,96,94,204,87,
2021,10,30,"2,652","1,853",40,49,48,101,111,69,114,178,89,
2021,10,40,"4,341","2,883",99,104,147,177,210,110,148,294,169,
2021,10,50,"7,133","3,772",188,325,368,421,407,251,282,730,389,
2021,10,60,"8,437","3,504",277,394,523,570,663,332,435,"1,083",656,
2021,10,70,"4,723","2,032",185,239,256,344,341,163,275,532,356,
2021,10,80,"2,845","1,149",130,158,154,208,214,102,175,398,157,
2021,10,90,353,143,15,16,22,24,31,7,27,45,23,
2021,10,100,24,5,0,0,0,7,6,0,1,5,0,
2021,11,총,"37,934","20,821","1,029",0,"1,705","2,084","2,221","1,213","1,658","3,739","2,049","1,415"
2021,11,0,"1,571","1,219",19,0,23,33,35,39,45,87,45,26
2021,11,10,"2,773","2,052",29,0,80,83,100,44,54,200,81,50
2021,11,20,"3,120","2,216",47,0,82,118,113,96,101,199,84,64
2021,11,30,"2,635","1,844",41,0,50,97,107,68,113,175,91,49
2021,11,40,"4,331","2,883",99,0,150,175,211,109,148,292,163,101
2021,11,50,"7,113","3,756",184,0,359,424,404,254,282,733,391,326
2021,11,60,"8,468","3,524",278,0,529,573,668,328,438,"1,081",661,388
2021,11,70,"4,697","2,029",186,0,257,339,338,164,272,523,351,238
2021,11,80,"2,849","1,145",130,0,153,213,211,104,177,400,159,157
2021,11,90,360,149,16,0,22,23,32,7,27,45,23,16
2021,11,100,17,4,0,0,0,6,2,0,1,4,0,0
2021,12,총,"37,904","20,799","1,025",,"1,698","2,074","2,225","1,212","1,658","3,740","2,047","1,426"
2021,12,0,"1,549","1,199",19,,21,31,34,39,44,88,45,29
2021,12,10,"2,748","2,038",31,,81,83,99,46,51,191,78,50
2021,12,20,"3,136","2,225",44,,82,117,116,95,104,204,84,65
2021,12,30,"2,620","1,836",39,,48,96,109,64,111,177,90,50
2021,12,40,"4,322","2,878",99,,150,166,209,111,150,292,164,103
2021,12,50,"7,097","3,741",182,,353,429,404,256,281,732,388,331
2021,12,60,"8,503","3,547",280,,529,572,674,328,438,"1,082",665,388
2021,12,70,"4,688","2,030",185,,260,333,336,162,272,523,348,239
2021,12,80,"2,858","1,150",130,,151,222,210,104,179,397,161,154
2021,12,90,370,151,16,,23,23,32,7,27,50,24,17
2021,12,100,13,4,0,,0,2,2,0,1,4,0,0
