년도,월,나이,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020,5,30,"16,903","2,215",417,"1,709","1,563",745,"2,592",699,"1,591","1,099",817,"1,622",917,917
2020,5,40,"22,276","2,565",646,"2,575","1,542","1,144","2,887",912,"3,120","1,514","1,006","2,384",991,990
2020,5,50,"23,750","2,875",982,"1,847","1,563","1,392","3,488",902,"2,382","1,357","1,410","2,633","1,359","1,560"
2020,5,60,"21,362","2,561","1,076","1,412","1,380","1,347","3,009",794,"1,618","1,374","1,508","2,326","1,378","1,579"
2020,5,70,"11,793","1,441",781,801,907,865,"1,581",497,782,849,830,"1,084",694,681
2020,5,80,"4,964",583,365,344,411,422,607,213,321,327,330,478,295,268
2020,5,90,826,92,60,69,70,89,86,40,57,48,53,69,44,49
2020,5,100,110,8,21,7,24,3,14,1,4,5,4,12,4,3
2020,6,총,"139,717","16,866","5,396","12,753","10,193","7,944","19,682","5,641","14,765","9,002","7,656","14,469","7,510","7,840"
2020,6,0,"9,732","1,329",187,"1,288",542,475,"1,250",415,"1,295",686,377,979,485,424
2020,6,10,"12,014","1,287",317,"1,430",563,671,"1,394",552,"2,100",791,472,"1,394",555,488
2020,6,20,"15,882","1,876",537,"1,262","1,598",805,"2,756",621,"1,508",893,838,"1,502",800,886
2020,6,30,"16,911","2,230",419,"1,706","1,591",736,"2,590",707,"1,577","1,095",827,"1,615",909,909
2020,6,40,"22,290","2,555",641,"2,566","1,543","1,151","2,887",907,"3,120","1,556","1,009","2,377",983,995
2020,6,50,"23,663","2,877",978,"1,844","1,566","1,372","3,477",897,"2,376","1,351","1,401","2,611","1,366","1,547"
2020,6,60,"21,440","2,578","1,079","1,416","1,382","1,350","3,033",790,"1,625","1,392","1,509","2,331","1,370","1,585"
2020,6,70,"11,873","1,445",786,816,910,872,"1,584",501,786,853,837,"1,097",700,686
2020,6,80,"4,967",590,371,348,404,420,607,211,316,328,328,483,295,266
2020,6,90,834,90,60,70,71,88,90,39,58,52,54,68,43,51
2020,6,100,111,9,21,7,23,4,14,1,4,5,4,12,4,3
2020,7,총,"139,731","16,850","5,375","12,734","10,192","7,914","19,915","5,637","14,715","8,977","7,656","14,428","7,508","7,830"
2020,7,0,"9,675","1,309",186,"1,288",543,470,"1,259",413,"1,283",672,377,972,484,419
2020,7,10,"12,009","1,291",312,"1,422",561,669,"1,407",556,"2,092",791,471,"1,391",557,489
2020,7,20,"15,842","1,882",532,"1,253","1,599",801,"2,759",621,"1,502",888,837,"1,496",799,873
2020,7,30,"16,885","2,197",414,"1,694","1,585",726,"2,673",705,"1,563","1,079",828,"1,609",909,903
2020,7,40,"22,299","2,568",641,"2,558","1,542","1,141","2,912",913,"3,107","1,571","1,007","2,363",980,996
2020,7,50,"23,622","2,874",958,"1,850","1,561","1,368","3,496",887,"2,373","1,341","1,404","2,600","1,363","1,547"
2020,7,60,"21,534","2,583","1,088","1,421","1,388","1,359","3,084",788,"1,630","1,390","1,510","2,331","1,373","1,589"
2020,7,70,"11,927","1,452",788,816,918,870,"1,603",504,786,859,831,"1,108",700,692
2020,7,80,"4,988",596,373,351,400,422,617,209,317,327,331,479,297,269
2020,7,90,836,89,61,74,72,84,91,40,58,54,55,67,41,50
2020,7,100,114,9,22,7,23,4,14,1,4,5,5,12,5,3
2020,8,총,"139,631","16,800","5,353","12,712","10,212","7,895","20,003","5,650","14,686","8,988","7,653","14,380","7,490","7,809"
2020,8,0,"9,652","1,292",184,"1,280",545,462,"1,281",407,"1,282",674,384,968,474,419
2020,8,10,"11,981","1,289",311,"1,424",561,662,"1,405",557,"2,092",788,472,"1,373",560,487
2020,8,20,"15,756","1,857",531,"1,251","1,587",801,"2,760",628,"1,489",884,838,"1,494",780,856
2020,8,30,"16,835","2,195",402,"1,693","1,596",714,"2,702",704,"1,531","1,075",821,"1,597",908,897
2020,8,40,"22,294","2,536",644,"2,547","1,553","1,136","2,909",915,"3,121","1,590","1,009","2,353",979,"1,002"
2020,8,50,"23,553","2,881",952,"1,861","1,548","1,373","3,498",877,"2,357","1,340","1,387","2,593","1,350","1,536"
2020,8,60,"21,635","2,593","1,086","1,421","1,400","1,362","3,104",796,"1,645","1,397","1,514","2,336","1,385","1,596"
2020,8,70,"11,962","1,461",785,806,918,874,"1,620",511,791,854,834,"1,110",705,693
2020,8,80,"5,004",598,374,349,407,421,618,214,313,327,333,479,301,270
2020,8,90,844,89,62,73,72,86,92,40,61,54,56,66,43,50
2020,8,100,115,9,22,7,25,4,14,1,4,5,5,11,5,3
2020,9,총,"139,524","16,832","5,324","12,700","10,220","7,881","20,009","5,668","14,657","8,982","7,623","14,360","7,488","7,780"
2020,9,0,"9,592","1,292",183,"1,271",542,452,"1,284",401,"1,269",672,381,950,477,418
2020,9,10,"11,975","1,278",310,"1,432",565,668,"1,396",559,"2,096",783,474,"1,374",561,479
2020,9,20,"15,705","1,865",522,"1,239","1,577",797,"2,749",635,"1,493",885,828,"1,486",774,855
2020,9,30,"16,765","2,189",390,"1,690","1,601",712,"2,688",714,"1,502","1,073",810,"1,592",906,898
2020,9,40,"22,218","2,530",632,"2,533","1,561","1,126","2,909",913,"3,120","1,579","1,004","2,344",974,993
2020,9,50,"23,550","2,892",959,"1,868","1,549","1,364","3,509",872,"2,351","1,338","1,380","2,589","1,352","1,527"
2020,9,60,"21,737","2,619","1,084","1,420","1,404","1,379","3,112",800,"1,660","1,412","1,517","2,344","1,388","1,598"
2020,9,70,"11,982","1,467",782,818,916,866,"1,630",513,783,857,835,"1,122",703,690
2020,9,80,"5,041",599,377,347,410,426,624,220,319,326,336,482,306,269
2020,9,90,845,92,63,75,70,87,94,40,60,52,54,66,42,50
2020,9,100,114,9,22,7,25,4,14,1,4,5,4,11,5,3
2020,10,총,"139,371","16,865","5,289","12,643","10,241","7,864","20,017","5,658","14,644","8,977","7,602","14,332","7,472","7,767"
2020,10,0,"9,541","1,305",185,"1,260",546,444,"1,278",397,"1,254",669,371,934,478,420
2020,10,10,"11,953","1,276",305,"1,430",559,671,"1,386",561,"2,107",786,465,"1,373",557,477
2020,10,20,"15,673","1,865",520,"1,229","1,586",792,"2,760",622,"1,492",887,830,"1,475",770,845
2020,10,30,"16,690","2,195",389,"1,676","1,602",709,"2,683",713,"1,496","1,057",796,"1,580",899,895
2020,10,40,"22,212","2,531",621,"2,535","1,563","1,116","2,920",913,"3,120","1,587",999,"2,342",973,992
2020,10,50,"23,454","2,884",948,"1,863","1,546","1,359","3,496",867,"2,348","1,325","1,380","2,581","1,341","1,516"
2020,10,60,"21,835","2,643","1,085","1,404","1,411","1,380","3,131",808,"1,670","1,425","1,522","2,356","1,396","1,604"
2020,10,70,"11,985","1,458",775,822,917,867,"1,627",511,775,859,843,"1,130",708,693
2020,10,80,"5,075",607,376,343,416,436,631,225,319,324,339,482,303,274
2020,10,90,839,92,63,74,70,86,91,40,59,53,53,68,42,48
2020,10,100,114,9,22,7,25,4,14,1,4,5,4,11,5,3
2020,11,총,"139,165","16,890","5,256","12,633","10,235","7,838","20,013","5,637","14,608","8,970","7,566","14,306","7,455","7,758"
2020,11,0,"9,506","1,301",178,"1,260",536,445,"1,275",393,"1,249",668,367,931,487,416
2020,11,10,"11,942","1,280",303,"1,427",565,671,"1,385",566,"2,103",793,457,"1,365",551,476
2020,11,20,"15,671","1,862",524,"1,229","1,591",790,"2,769",611,"1,496",889,822,"1,473",769,846
2020,11,30,"16,557","2,190",384,"1,665","1,585",701,"2,656",712,"1,481","1,040",788,"1,571",900,884
2020,11,40,"22,160","2,535",609,"2,551","1,551","1,120","2,908",904,"3,105","1,601",989,"2,335",962,990
2020,11,50,"23,356","2,885",934,"1,852","1,548","1,349","3,507",864,"2,336","1,307","1,369","2,565","1,329","1,511"
2020,11,60,"21,924","2,650","1,094","1,407","1,423","1,372","3,141",808,"1,683","1,434","1,534","2,368","1,398","1,612"
2020,11,70,"12,009","1,468",774,817,920,860,"1,632",513,772,859,847,"1,136",712,699
2020,11,80,"5,091",614,371,345,420,440,636,226,321,319,337,485,303,274
2020,11,90,834,95,63,73,71,86,90,39,58,55,52,66,39,47
2020,11,100,115,10,22,7,25,4,14,1,4,5,4,11,5,3
2020,12,총,"139,010","16,905","5,228","12,633","10,255","7,823","20,006","5,632","14,575","8,925","7,588","14,270","7,453","7,717"
2020,12,0,"9,458","1,292",170,"1,265",526,450,"1,266",393,"1,250",661,375,922,485,403
2020,12,10,"11,969","1,276",301,"1,430",581,673,"1,392",560,"2,120",789,462,"1,356",555,474
2020,12,20,"15,581","1,855",521,"1,218","1,595",779,"2,768",605,"1,471",877,827,"1,470",760,835
2020,12,30,"16,499","2,191",391,"1,662","1,559",700,"2,633",722,"1,477","1,040",796,"1,561",894,873
2020,12,40,"22,120","2,529",599,"2,560","1,563","1,129","2,894",903,"3,099","1,590",995,"2,314",955,990
2020,12,50,"23,283","2,900",926,"1,838","1,547","1,323","3,515",863,"2,322","1,300","1,360","2,559","1,331","1,499"
2020,12,60,"21,981","2,662","1,094","1,413","1,430","1,376","3,155",812,"1,686","1,430","1,525","2,380","1,407","1,611"
2020,12,70,"12,029","1,469",766,814,932,863,"1,641",509,765,857,855,"1,136",716,706
2020,12,80,"5,133",623,373,353,424,443,638,227,320,319,337,492,307,277
2020,12,90,840,97,65,73,73,83,89,37,61,57,52,69,38,46
2020,12,100,117,11,22,7,25,4,15,1,4,5,4,11,5,3
2021,1,총,"138,997","16,894","5,202","12,707","10,294","7,814","20,036","5,616","14,529","8,936","7,588","14,237","7,437","7,707"
2021,1,0,"9,435","1,289",171,"1,264",519,451,"1,274",384,"1,256",658,367,916,483,403
2021,1,10,"11,967","1,282",303,"1,437",579,670,"1,386",556,"2,114",791,462,"1,359",551,477
2021,1,20,"15,520","1,849",507,"1,214","1,615",783,"2,776",601,"1,442",875,816,"1,457",757,828
2021,1,30,"16,447","2,171",385,"1,677","1,562",694,"2,634",716,"1,473","1,036",805,"1,544",876,874
2021,1,40,"22,087","2,526",590,"2,585","1,563","1,116","2,882",908,"3,078","1,603",993,"2,297",956,990
2021,1,50,"23,247","2,886",921,"1,858","1,549","1,325","3,516",857,"2,329","1,297","1,348","2,558","1,320","1,483"
2021,1,60,"22,084","2,676","1,084","1,421","1,438","1,372","3,174",821,"1,689","1,429","1,538","2,394","1,421","1,627"
2021,1,70,"12,063","1,470",776,818,943,868,"1,644",509,763,862,865,"1,142",710,693
2021,1,80,"5,180",636,379,355,428,445,644,225,322,321,335,489,317,284
2021,1,90,850,98,64,71,73,86,91,38,59,59,55,70,41,45
2021,1,100,117,11,22,7,25,4,15,1,4,5,4,11,5,3
2021,2,총,"138,966","16,935","5,174","12,780","10,331","7,819","19,966","5,631","14,503","8,906","7,569","14,229","7,433","7,690"
2021,2,0,"9,435","1,278",169,"1,268",517,445,"1,264",395,"1,280",651,365,918,484,401
2021,2,10,"11,907","1,288",293,"1,447",573,678,"1,378",544,"2,091",785,450,"1,353",553,474
2021,2,20,"15,482","1,845",506,"1,231","1,647",788,"2,739",611,"1,423",860,824,"1,442",751,815
2021,2,30,"16,339","2,158",382,"1,664","1,550",689,"2,608",707,"1,475","1,030",794,"1,539",872,871
2021,2,40,"22,135","2,553",586,"2,619","1,584","1,114","2,873",918,"3,070","1,610",993,"2,285",952,978
2021,2,50,"23,218","2,899",914,"1,872","1,556","1,316","3,509",849,"2,311","1,290","1,335","2,559","1,319","1,489"
2021,2,60,"22,154","2,681","1,089","1,417","1,435","1,373","3,181",832,"1,702","1,425","1,548","2,422","1,423","1,626"
2021,2,70,"12,104","1,483",766,829,942,875,"1,660",508,764,860,863,"1,140",715,699
2021,2,80,"5,228",642,380,357,430,451,649,229,324,331,338,487,320,290
2021,2,90,845,97,67,69,72,86,90,37,59,59,55,72,39,43
2021,2,100,119,11,22,7,25,4,15,1,4,5,4,12,5,4
2021,3,총,"138,290","16,863","5,148","12,715","10,238","7,771","19,911","5,629","14,432","8,815","7,527","14,150","7,426","7,665"
2021,3,0,"9,380","1,275",164,"1,266",519,446,"1,267",392,"1,261",646,361,911,477,395
2021,3,10,"11,882","1,287",294,"1,462",565,662,"1,373",543,"2,089",784,450,"1,337",556,480
2021,3,20,"15,436","1,830",505,"1,207","1,679",785,"2,731",602,"1,420",856,819,"1,441",749,812
2021,3,30,"16,229","2,145",382,"1,643","1,565",678,"2,595",702,"1,461","1,015",798,"1,508",875,862
2021,3,40,"22,014","2,539",583,"2,634","1,573","1,103","2,860",914,"3,053","1,579",982,"2,278",947,969
2021,3,50,"23,076","2,897",900,"1,861","1,537","1,301","3,496",852,"2,299","1,287","1,318","2,541","1,315","1,472"
2021,3,60,"22,113","2,681","1,085","1,416","1,403","1,377","3,179",846,"1,702","1,410","1,537","2,422","1,422","1,633"
2021,3,70,"12,049","1,464",762,804,909,878,"1,669",509,769,855,860,"1,139",724,707
2021,3,80,"5,231",646,383,358,423,448,651,230,318,326,344,494,320,290
2021,3,90,820,96,67,63,59,89,85,38,59,57,54,72,39,42
2021,3,100,60,3,23,1,6,4,5,1,1,0,4,7,2,3
2021,4,총,"138,116","16,852","5,111","12,682","10,306","7,757","19,882","5,607","14,410","8,814","7,495","14,126","7,427","7,647"
2021,4,0,"9,312","1,272",161,"1,250",518,431,"1,250",391,"1,256",647,360,900,488,388
2021,4,10,"11,863","1,290",293,"1,460",560,671,"1,362",538,"2,084",786,446,"1,339",555,479
2021,4,20,"15,407","1,825",496,"1,196","1,715",783,"2,705",596,"1,429",861,808,"1,434",751,808
2021,4,30,"16,187","2,142",375,"1,627","1,596",660,"2,600",700,"1,441","1,006",789,"1,517",871,863
2021,4,40,"21,935","2,525",571,"2,635","1,576","1,105","2,850",910,"3,047","1,573",978,"2,268",934,963
2021,4,50,"22,994","2,868",893,"1,866","1,534","1,294","3,492",848,"2,294","1,289","1,307","2,531","1,314","1,464"
2021,4,60,"22,197","2,708","1,087","1,420","1,411","1,384","3,204",842,"1,706","1,407","1,546","2,416","1,425","1,641"
2021,4,70,"12,059","1,459",761,804,907,879,"1,675",508,768,864,862,"1,143",728,701
2021,4,80,"5,277",663,383,359,423,458,654,236,324,326,339,500,319,293
2021,4,90,825,97,68,64,60,88,85,37,60,55,56,71,40,44
2021,4,100,60,3,23,1,6,4,5,1,1,0,4,7,2,3
2021,5,총,"137,944","16,872","5,069","12,712","10,320","7,753","19,830","5,579","14,381","8,822","7,504","14,076","7,380","7,646"
2021,5,0,"9,282","1,275",158,"1,247",515,428,"1,245",392,"1,246",648,360,894,487,387
2021,5,10,"11,832","1,293",290,"1,470",554,672,"1,347",533,"2,081",789,445,"1,334",547,477
2021,5,20,"15,334","1,811",490,"1,206","1,707",788,"2,688",590,"1,422",865,805,"1,426",733,803
2021,5,30,"16,125","2,139",371,"1,608","1,621",655,"2,580",686,"1,435","1,005",784,"1,506",866,869
2021,5,40,"21,844","2,532",566,"2,636","1,574","1,096","2,827",913,"3,034","1,562",971,"2,246",931,956
2021,5,50,"22,941","2,853",883,"1,871","1,536","1,303","3,502",843,"2,286","1,292","1,304","2,526","1,293","1,449"
2021,5,60,"22,284","2,734","1,074","1,428","1,405","1,387","3,214",840,"1,715","1,412","1,568","2,412","1,433","1,662"
2021,5,70,"12,098","1,469",763,809,914,875,"1,677",508,774,866,862,"1,150",733,698
2021,5,80,"5,306",663,383,370,428,455,660,237,325,327,341,502,316,299
2021,5,90,838,100,68,66,60,90,85,36,62,56,60,73,39,43
2021,5,100,60,3,23,1,6,4,5,1,1,0,4,7,2,3
2021,6,총,"137,849","16,878","5,038","12,684","10,373","7,742","19,820","5,560","14,363","8,798","7,493","14,068","7,388","7,644"
2021,6,0,"9,248","1,272",160,"1,233",509,427,"1,240",386,"1,251",646,362,889,489,384
2021,6,10,"11,842","1,305",287,"1,479",563,674,"1,342",530,"2,073",785,450,"1,334",550,470
2021,6,20,"15,291","1,797",483,"1,199","1,748",780,"2,676",583,"1,420",861,791,"1,419",727,807
2021,6,30,"16,061","2,137",376,"1,587","1,636",650,"2,560",683,"1,422",992,785,"1,501",862,870
2021,6,40,"21,824","2,520",556,"2,638","1,568","1,097","2,829",913,"3,023","1,570",970,"2,240",945,955
2021,6,50,"22,874","2,859",879,"1,863","1,531","1,306","3,478",838,"2,293","1,298","1,296","2,514","1,286","1,433"
2021,6,60,"22,352","2,740","1,073","1,431","1,409","1,387","3,250",845,"1,717","1,399","1,570","2,428","1,430","1,673"
2021,6,70,"12,128","1,480",761,817,914,878,"1,686",504,771,864,859,"1,152",738,704
2021,6,80,"5,339",667,377,370,432,449,665,240,329,328,349,512,317,304
2021,6,90,831,98,63,66,57,90,89,37,63,55,57,72,42,42
2021,6,100,59,3,23,1,6,4,5,1,1,0,4,7,2,2
2021,7,총,"137,659","16,873","5,018","12,673","10,405","7,704","19,761","5,557","14,326","8,802","7,476","14,051","7,364","7,649"
2021,7,0,"9,191","1,269",158,"1,219",511,416,"1,231",390,"1,242",640,362,875,488,390
2021,7,10,"11,846","1,296",282,"1,486",560,674,"1,349",529,"2,078",790,446,"1,340",546,470
2021,7,20,"15,254","1,806",484,"1,191","1,769",781,"2,642",584,"1,418",862,776,"1,414",723,804
2021,7,30,"15,953","2,130",373,"1,582","1,636",643,"2,523",674,"1,406",989,786,"1,489",857,865
2021,7,40,"21,771","2,527",552,"2,640","1,560","1,084","2,828",910,"3,011","1,574",966,"2,238",933,948
2021,7,50,"22,804","2,827",873,"1,857","1,540","1,294","3,477",838,"2,298","1,300","1,295","2,503","1,285","1,417"
2021,7,60,"22,442","2,770","1,074","1,439","1,417","1,395","3,255",846,"1,717","1,405","1,567","2,438","1,432","1,687"
2021,7,70,"12,142","1,481",763,823,913,874,"1,691",506,764,863,858,"1,155",738,713
2021,7,80,"5,366",664,373,369,438,450,670,242,329,325,358,519,318,311
2021,7,90,834,101,64,66,55,90,90,37,62,54,58,73,42,42
2021,7,100,56,2,22,1,6,3,5,1,1,0,4,7,2,2
2021,8,총,"137,517","16,844","4,995","12,668","10,417","7,690","19,718","5,556","14,334","8,819","7,459","14,018","7,346","7,653"
2021,8,0,"9,157","1,261",155,"1,220",512,416,"1,225",385,"1,242",639,361,861,483,397
2021,8,10,"11,826","1,290",282,"1,476",557,673,"1,342",531,"2,082",797,444,"1,339",548,465
2021,8,20,"15,165","1,794",471,"1,195","1,771",765,"2,624",583,"1,415",853,781,"1,404",709,800
2021,8,30,"15,937","2,131",369,"1,574","1,638",646,"2,523",672,"1,401",988,787,"1,486",852,870
2021,8,40,"21,682","2,522",554,"2,639","1,566","1,083","2,804",902,"2,998","1,582",954,"2,213",928,937
2021,8,50,"22,785","2,822",868,"1,849","1,533","1,293","3,482",833,"2,317","1,297","1,284","2,507","1,288","1,412"
2021,8,60,"22,489","2,771","1,070","1,447","1,423","1,394","3,247",859,"1,716","1,412","1,569","2,445","1,436","1,700"
2021,8,70,"12,199","1,484",764,832,921,879,"1,701",504,773,861,857,"1,165",742,716
2021,8,80,"5,381",664,377,370,435,449,667,249,327,337,361,517,317,311
2021,8,90,841,103,63,65,55,89,98,37,62,53,57,74,41,44
2021,8,100,55,2,22,1,6,3,5,1,1,0,4,7,2,1
2021,9,총,"137,401","16,812","4,975","12,641","10,449","7,681","19,711","5,539","14,294","8,843","7,453","14,016","7,346","7,641"
2021,9,0,"9,103","1,262",152,"1,209",501,414,"1,223",380,"1,238",637,359,860,480,388
2021,9,10,"11,816","1,289",277,"1,483",556,670,"1,341",522,"2,084",805,441,"1,340",540,468
2021,9,20,"15,135","1,783",472,"1,185","1,780",765,"2,618",586,"1,409",855,777,"1,399",713,793
2021,9,30,"15,880","2,126",365,"1,558","1,651",636,"2,515",662,"1,388",992,783,"1,489",850,865
2021,9,40,"21,628","2,519",553,"2,630","1,565","1,085","2,800",899,"2,980","1,584",953,"2,205",926,929
2021,9,50,"22,768","2,805",864,"1,846","1,544","1,285","3,473",832,"2,325","1,301","1,291","2,500","1,290","1,412"
2021,9,60,"22,510","2,777","1,065","1,454","1,426","1,401","3,253",861,"1,716","1,408","1,562","2,448","1,439","1,700"
2021,9,70,"12,268","1,481",763,832,926,884,"1,716",507,775,868,865,"1,179",748,724
2021,9,80,"5,400",665,378,377,438,448,669,251,320,340,363,517,316,318
2021,9,90,840,103,64,66,56,90,99,38,58,53,55,73,42,43
2021,9,100,53,2,22,1,6,3,4,1,1,0,4,6,2,1
2021,10,총,"137,154","16,813","4,937","12,610","10,451","7,668","19,676","5,543","14,246","8,827","7,454","13,993","7,315","7,621"
2021,10,0,"9,071","1,272",148,"1,196",497,417,"1,220",375,"1,232",635,358,858,472,391
2021,10,10,"11,804","1,296",275,"1,484",561,674,"1,325",521,"2,079",795,446,"1,344",540,464
2021,10,20,"15,054","1,763",464,"1,186","1,774",765,"2,603",590,"1,408",858,768,"1,375",713,787
2021,10,30,"15,819","2,133",368,"1,535","1,648",635,"2,508",660,"1,376",982,790,"1,496",829,859
2021,10,40,"21,582","2,511",547,"2,630","1,569","1,081","2,799",898,"2,973","1,585",949,"2,191",926,923
2021,10,50,"22,716","2,803",851,"1,844","1,547","1,278","3,452",835,"2,308","1,312","1,292","2,499","1,289","1,406"
2021,10,60,"22,506","2,780","1,063","1,458","1,420","1,394","3,267",859,"1,718","1,402","1,553","2,451","1,442","1,699"
2021,10,70,"12,283","1,476",751,834,928,883,"1,732",509,776,864,867,"1,182",751,730
2021,10,80,"5,416",674,383,376,443,447,665,255,314,342,371,518,308,320
2021,10,90,850,103,65,66,58,91,101,40,61,52,56,73,43,41
2021,10,100,53,2,22,1,6,3,4,1,1,0,4,6,2,1
2021,11,총,"137,002","16,789","4,902","12,607","10,471","7,656","19,694","5,527","14,204","8,818","7,428","14,000","7,275","7,631"
2021,11,0,"9,013","1,260",147,"1,198",501,404,"1,209",375,"1,221",634,353,855,465,391
2021,11,10,"11,821","1,292",273,"1,491",565,684,"1,316",516,"2,086",796,443,"1,356",535,468
2021,11,20,"14,967","1,757",449,"1,176","1,768",762,"2,608",588,"1,391",852,761,"1,375",703,777
2021,11,30,"15,745","2,107",371,"1,525","1,646",635,"2,512",651,"1,373",970,774,"1,491",819,871
2021,11,40,"21,610","2,541",551,"2,625","1,574","1,076","2,796",897,"2,961","1,603",955,"2,192",922,917
2021,11,50,"22,670","2,800",847,"1,838","1,549","1,279","3,457",836,"2,307","1,306","1,271","2,491","1,284","1,405"
2021,11,60,"22,556","2,771","1,067","1,474","1,430","1,394","3,276",858,"1,712","1,405","1,564","2,457","1,445","1,703"
2021,11,70,"12,281","1,472",740,834,930,882,"1,738",510,776,865,870,"1,179",748,737
2021,11,80,"5,452",686,387,378,444,447,679,255,314,336,375,524,309,318
2021,11,90,858,102,67,67,58,93,99,41,61,51,58,75,43,43
2021,11,100,29,1,3,1,6,0,4,0,2,0,4,5,2,1
2021,12,총,"137,185","16,766","4,885","12,583","10,827","7,778","19,693","5,519","14,149","8,785","7,393","13,952","7,244","7,611"
2021,12,0,"9,038","1,248",148,"1,199",539,428,"1,202",371,"1,211",626,344,862,469,391
2021,12,10,"11,774","1,281",276,"1,483",582,685,"1,313",514,"2,066",798,441,"1,344",530,461
2021,12,20,"14,960","1,746",446,"1,176","1,809",777,"2,603",581,"1,400",838,752,"1,363",695,774
2021,12,30,"15,717","2,107",371,"1,498","1,706",666,"2,508",654,"1,357",953,767,"1,467",803,860
2021,12,40,"21,688","2,544",543,"2,634","1,642","1,089","2,794",895,"2,955","1,607",957,"2,190",920,918
2021,12,50,"22,626","2,788",838,"1,837","1,592","1,287","3,441",830,"2,302","1,307","1,259","2,476","1,272","1,397"
2021,12,60,"22,642","2,778","1,070","1,473","1,481","1,407","3,291",860,"1,699","1,402","1,574","2,455","1,452","1,700"
2021,12,70,"12,363","1,476",732,837,955,890,"1,756",518,786,864,873,"1,180",752,744
2021,12,80,"5,485",692,391,380,456,451,682,255,309,339,369,535,305,321
2021,12,90,868,105,68,65,59,97,101,41,62,50,57,75,44,44
2021,12,100,24,1,2,1,6,1,2,0,2,1,0,5,2,1
