년도,월,나이,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020,8,40,"4,110",526,"1,539","1,310",735
2020,8,50,"3,471",628,"1,682",427,734
2020,8,60,"2,077",451,"1,027",22,577
2020,8,70,887,187,469,12,219
2020,8,80,343,47,216,7,73
2020,8,90,37,7,19,1,10
2020,8,100,0,0,0,0,0
2020,9,총,"21,322","3,294","9,016","4,660","4,352"
2020,9,0,"2,016",308,671,668,369
2020,9,10,"3,336",447,"1,250","1,059",580
2020,9,20,"2,715",377,"1,286",464,588
2020,9,30,"2,289",313,828,684,464
2020,9,40,"4,117",530,"1,541","1,314",732
2020,9,50,"3,467",620,"1,683",429,735
2020,9,60,"2,106",458,"1,045",23,580
2020,9,70,889,186,469,12,222
2020,9,80,349,48,224,6,71
2020,9,90,38,7,19,1,11
2020,9,100,0,0,0,0,0
2020,10,총,"21,306","3,377","9,009","4,612","4,308"
2020,10,0,"1,996",312,669,653,362
2020,10,10,"3,321",448,"1,247","1,053",573
2020,10,20,"2,697",383,"1,276",459,579
2020,10,30,"2,294",320,842,674,458
2020,10,40,"4,099",546,"1,530","1,299",724
2020,10,50,"3,482",637,"1,687",430,728
2020,10,60,"2,128",474,"1,050",22,582
2020,10,70,898,197,465,14,222
2020,10,80,351,53,222,7,69
2020,10,90,40,7,21,1,11
2020,10,100,0,0,0,0,0
2020,11,총,"21,350","3,444","9,048","4,547","4,311"
2020,11,0,"1,975",313,667,638,357
2020,11,10,"3,311",453,"1,254","1,034",570
2020,11,20,"2,722",397,"1,278",464,583
2020,11,30,"2,304",328,857,659,460
2020,11,40,"4,087",551,"1,537","1,288",711
2020,11,50,"3,503",654,"1,689",423,737
2020,11,60,"2,151",485,"1,055",21,590
2020,11,70,904,201,468,12,223
2020,11,80,354,55,222,7,70
2020,11,90,39,7,21,1,10
2020,11,100,0,0,0,0,0
2020,12,총,"21,343","3,466","9,072","4,497","4,308"
2020,12,0,"1,952",318,656,624,354
2020,12,10,"3,317",453,"1,268","1,028",568
2020,12,20,"2,731",406,"1,274",460,591
2020,12,30,"2,300",323,877,651,449
2020,12,40,"4,078",545,"1,540","1,276",717
2020,12,50,"3,483",658,"1,677",416,732
2020,12,60,"2,179",497,"1,070",22,590
2020,12,70,910,204,468,12,226
2020,12,80,354,55,221,7,71
2020,12,90,39,7,21,1,10
2020,12,100,0,0,0,0,0
2021,1,총,"21,332","3,464","9,081","4,469","4,318"
2021,1,0,"1,968",316,647,646,359
2021,1,10,"3,306",454,"1,267","1,014",571
2021,1,20,"2,729",407,"1,276",457,589
2021,1,30,"2,305",319,877,662,447
2021,1,40,"4,051",548,"1,526","1,251",726
2021,1,50,"3,472",649,"1,697",399,727
2021,1,60,"2,190",503,"1,080",22,585
2021,1,70,913,205,466,11,231
2021,1,80,358,56,223,6,73
2021,1,90,40,7,22,1,10
2021,1,100,0,0,0,0,0
2021,2,총,"21,495","3,530","9,108","4,508","4,349"
2021,2,0,"1,977",326,643,642,366
2021,2,10,"3,325",459,"1,266","1,026",574
2021,2,20,"2,732",405,"1,269",466,592
2021,2,30,"2,329",330,883,669,447
2021,2,40,"4,096",567,"1,535","1,259",735
2021,2,50,"3,489",649,"1,698",407,735
2021,2,60,"2,215",518,"1,093",18,586
2021,2,70,930,209,477,14,230
2021,2,80,360,60,220,6,74
2021,2,90,42,7,24,1,10
2021,2,100,0,0,0,0,0
2021,3,총,"21,516","3,544","9,085","4,547","4,340"
2021,3,0,"1,986",326,630,669,361
2021,3,10,"3,305",457,"1,258","1,023",567
2021,3,20,"2,742",412,"1,283",459,588
2021,3,30,"2,336",333,878,673,452
2021,3,40,"4,076",562,"1,519","1,272",723
2021,3,50,"3,517",659,"1,705",412,741
2021,3,60,"2,227",522,"1,098",17,590
2021,3,70,927,207,474,15,231
2021,3,80,360,60,217,6,77
2021,3,90,40,6,23,1,10
2021,3,100,0,0,0,0,0
2021,4,총,"21,539","3,546","9,084","4,569","4,340"
2021,4,0,"1,988",324,629,669,366
2021,4,10,"3,303",457,"1,254","1,023",569
2021,4,20,"2,722",402,"1,277",468,575
2021,4,30,"2,333",336,884,669,444
2021,4,40,"4,077",559,"1,513","1,278",727
2021,4,50,"3,526",664,"1,699",423,740
2021,4,60,"2,256",527,"1,112",18,599
2021,4,70,928,207,475,14,232
2021,4,80,366,64,218,6,78
2021,4,90,40,6,23,1,10
2021,4,100,0,0,0,0,0
2021,5,총,"21,542","3,550","9,068","4,576","4,348"
2021,5,0,"1,966",318,622,662,364
2021,5,10,"3,305",460,"1,252","1,022",571
2021,5,20,"2,722",405,"1,262",476,579
2021,5,30,"2,329",330,885,672,442
2021,5,40,"4,065",567,"1,500","1,277",721
2021,5,50,"3,543",666,"1,710",426,741
2021,5,60,"2,266",525,"1,119",20,602
2021,5,70,938,210,474,14,240
2021,5,80,366,63,219,6,78
2021,5,90,42,6,25,1,10
2021,5,100,0,0,0,0,0
2021,6,총,"21,504","3,536","9,047","4,565","4,356"
2021,6,0,"1,941",311,619,647,364
2021,6,10,"3,297",459,"1,244","1,023",571
2021,6,20,"2,722",406,"1,251",483,582
2021,6,30,"2,322",330,885,669,438
2021,6,40,"4,046",555,"1,490","1,272",729
2021,6,50,"3,547",665,"1,710",429,743
2021,6,60,"2,274",529,"1,124",22,599
2021,6,70,946,211,479,12,244
2021,6,80,367,64,220,7,76
2021,6,90,42,6,25,1,10
2021,6,100,0,0,0,0,0
2021,7,총,"21,529","3,582","9,025","4,573","4,349"
2021,7,0,"1,931",309,606,656,360
2021,7,10,"3,287",463,"1,237","1,018",569
2021,7,20,"2,741",419,"1,251",483,588
2021,7,30,"2,324",341,886,671,426
2021,7,40,"4,033",563,"1,469","1,272",729
2021,7,50,"3,564",670,"1,717",432,745
2021,7,60,"2,293",533,"1,136",21,603
2021,7,70,949,214,478,12,245
2021,7,80,367,64,221,7,75
2021,7,90,40,6,24,1,9
2021,7,100,0,0,0,0,0
2021,8,총,"21,544","3,571","9,036","4,602","4,335"
2021,8,0,"1,923",300,605,663,355
2021,8,10,"3,296",466,"1,238","1,027",565
2021,8,20,"2,731",415,"1,249",480,587
2021,8,30,"2,318",331,891,674,422
2021,8,40,"4,024",566,"1,454","1,278",726
2021,8,50,"3,568",669,"1,720",431,748
2021,8,60,"2,320",539,"1,155",26,600
2021,8,70,955,215,478,13,249
2021,8,80,369,64,222,9,74
2021,8,90,39,6,23,1,9
2021,8,100,1,0,1,0,0
2021,9,총,"21,492","3,561","9,003","4,593","4,335"
2021,9,0,"1,911",296,596,659,360
2021,9,10,"3,287",468,"1,235","1,020",564
2021,9,20,"2,708",409,"1,238",490,571
2021,9,30,"2,291",329,873,666,423
2021,9,40,"4,016",562,"1,457","1,273",724
2021,9,50,"3,577",667,"1,720",434,756
2021,9,60,"2,325",540,"1,155",28,602
2021,9,70,967,220,484,13,250
2021,9,80,370,65,221,9,75
2021,9,90,39,5,23,1,10
2021,9,100,1,0,1,0,0
2021,10,총,"21,469","3,552","9,004","4,575","4,338"
2021,10,0,"1,895",294,594,649,358
2021,10,10,"3,286",464,"1,233","1,022",567
2021,10,20,"2,706",408,"1,243",485,570
2021,10,30,"2,266",328,863,649,426
2021,10,40,"3,995",557,"1,449","1,273",716
2021,10,50,"3,600",665,"1,729",444,762
2021,10,60,"2,330",542,"1,159",28,601
2021,10,70,979,224,489,14,252
2021,10,80,372,65,221,10,76
2021,10,90,39,5,23,1,10
2021,10,100,1,0,1,0,0
2021,11,총,"21,465","3,597","8,988","4,552","4,328"
2021,11,0,"1,883",298,595,638,352
2021,11,10,"3,282",466,"1,227","1,025",564
2021,11,20,"2,692",414,"1,231",475,572
2021,11,30,"2,274",337,866,652,419
2021,11,40,"3,971",557,"1,439","1,260",715
2021,11,50,"3,614",677,"1,728",452,757
2021,11,60,"2,346",552,"1,161",24,609
2021,11,70,990,224,497,15,254
2021,11,80,374,67,220,10,77
2021,11,90,38,5,23,1,9
2021,11,100,1,0,1,0,0
2021,12,총,"21,563","3,873","8,897","4,494","4,299"
2021,12,0,"1,875",311,585,627,352
2021,12,10,"3,276",487,"1,213","1,013",563
2021,12,20,"2,697",450,"1,221",463,563
2021,12,30,"2,336",428,845,647,416
2021,12,40,"3,986",603,"1,424","1,249",710
2021,12,50,"3,626",713,"1,709",451,753
2021,12,60,"2,353",571,"1,158",21,603
2021,12,70,"1,001",238,499,13,251
2021,12,80,374,67,219,9,79
2021,12,90,38,5,23,1,9
2021,12,100,1,0,1,0,0
