년도,월,나이,부천시,심곡동,부천동,중동,신중동,상동,대산동,소사본동,범안동,성곡동,오정동
2020,8,총,"408,411","32,852","45,309","20,820","64,015","42,750","40,851","28,326","47,428","42,478","43,582"
2020,8,0,"30,163","1,660","2,988","1,456","5,263","4,165","2,524","1,948","5,109","2,355","2,695"
2020,8,10,"36,936","2,063","3,855","2,090","5,866","5,158","3,344","2,260","4,645","3,839","3,816"
2020,8,20,"60,995","5,171","6,812","3,153","9,741","6,277","6,149","4,155","5,958","6,715","6,864"
2020,8,30,"60,404","5,331","6,306","2,806","10,811","6,124","6,089","4,392","7,294","5,355","5,896"
2020,8,40,"65,756","5,326","7,345","3,178","9,889","7,268","6,370","4,019","8,773","6,601","6,987"
2020,8,50,"72,473","5,939","8,290","3,789","10,764","7,526","7,067","4,877","6,964","8,593","8,664"
2020,8,60,"53,250","4,593","6,165","2,860","8,119","4,438","5,825","4,236","5,400","5,810","5,804"
2020,8,70,"21,219","2,131","2,647","1,117","2,668","1,362","2,564","1,851","2,404","2,337","2,138"
2020,8,80,"6,479",592,809,324,788,382,846,526,780,786,646
2020,8,90,677,39,82,43,101,49,66,58,88,82,69
2020,8,100,59,7,10,4,5,1,7,4,13,5,3
2020,9,총,"407,881","32,775","45,241","20,767","64,033","42,741","40,764","28,300","47,452","42,359","43,449"
2020,9,0,"29,979","1,636","2,950","1,447","5,240","4,154","2,514","1,945","5,093","2,334","2,666"
2020,9,10,"36,760","2,064","3,829","2,082","5,863","5,128","3,334","2,242","4,632","3,799","3,787"
2020,9,20,"60,861","5,173","6,805","3,135","9,701","6,273","6,123","4,146","5,959","6,715","6,831"
2020,9,30,"60,203","5,272","6,289","2,790","10,811","6,127","6,052","4,394","7,294","5,294","5,880"
2020,9,40,"65,607","5,331","7,309","3,170","9,917","7,279","6,356","3,998","8,761","6,565","6,921"
2020,9,50,"72,271","5,909","8,273","3,788","10,725","7,491","7,045","4,856","6,968","8,577","8,639"
2020,9,60,"53,623","4,605","6,211","2,864","8,186","4,493","5,839","4,273","5,441","5,851","5,860"
2020,9,70,"21,283","2,141","2,652","1,118","2,686","1,363","2,577","1,857","2,412","2,338","2,139"
2020,9,80,"6,537",597,827,323,795,382,849,529,786,797,652
2020,9,90,698,40,86,46,105,50,68,56,93,84,70
2020,9,100,59,7,10,4,4,1,7,4,13,5,4
2020,10,총,"407,401","32,731","45,230","20,736","63,912","42,710","40,699","28,332","47,408","42,274","43,369"
2020,10,0,"29,782","1,633","2,932","1,434","5,196","4,137","2,479","1,938","5,076","2,323","2,634"
2020,10,10,"36,577","2,045","3,825","2,072","5,825","5,111","3,316","2,230","4,618","3,776","3,759"
2020,10,20,"60,803","5,168","6,799","3,126","9,689","6,266","6,107","4,156","5,960","6,703","6,829"
2020,10,30,"60,037","5,265","6,284","2,792","10,776","6,121","6,039","4,389","7,227","5,278","5,866"
2020,10,40,"65,459","5,291","7,289","3,167","9,901","7,272","6,348","3,995","8,777","6,525","6,894"
2020,10,50,"72,085","5,905","8,266","3,776","10,657","7,470","7,053","4,849","6,950","8,533","8,626"
2020,10,60,"53,947","4,614","6,248","2,871","8,260","4,521","5,847","4,316","5,488","5,891","5,891"
2020,10,70,"21,374","2,159","2,655","1,124","2,690","1,374","2,585","1,861","2,425","2,357","2,144"
2020,10,80,"6,575",605,836,323,807,386,850,537,781,798,652
2020,10,90,699,39,86,47,106,50,67,57,93,85,69
2020,10,100,63,7,10,4,5,2,8,4,13,5,5
2020,11,총,"406,839","32,609","45,178","20,724","63,830","42,660","40,632","28,311","47,337","42,208","43,350"
2020,11,0,"29,630","1,618","2,910","1,438","5,179","4,111","2,452","1,955","5,042","2,307","2,618"
2020,11,10,"36,408","2,009","3,808","2,066","5,794","5,104","3,298","2,221","4,619","3,740","3,749"
2020,11,20,"60,688","5,146","6,794","3,120","9,630","6,254","6,129","4,150","5,948","6,697","6,820"
2020,11,30,"59,876","5,238","6,269","2,790","10,782","6,114","6,007","4,387","7,164","5,255","5,870"
2020,11,40,"65,275","5,266","7,273","3,153","9,886","7,265","6,298","3,972","8,804","6,506","6,852"
2020,11,50,"71,850","5,873","8,212","3,767","10,623","7,435","7,057","4,844","6,936","8,505","8,598"
2020,11,60,"54,290","4,648","6,293","2,884","8,309","4,560","5,878","4,309","5,500","5,938","5,971"
2020,11,70,"21,443","2,151","2,677","1,134","2,703","1,370","2,579","1,874","2,438","2,373","2,144"
2020,11,80,"6,622",614,843,319,814,395,859,538,785,798,657
2020,11,90,695,39,89,49,105,50,67,57,89,84,66
2020,11,100,62,7,10,4,5,2,8,4,12,5,5
2020,12,총,"406,023","32,584","45,130","20,653","63,703","42,517","40,602","28,238","47,251","42,105","43,240"
2020,12,0,"29,381","1,611","2,892","1,428","5,128","4,073","2,421","1,935","5,009","2,285","2,599"
2020,12,10,"36,234","2,009","3,797","2,053","5,761","5,091","3,283","2,205","4,615","3,704","3,716"
2020,12,20,"60,577","5,143","6,794","3,110","9,613","6,228","6,156","4,144","5,937","6,671","6,781"
2020,12,30,"59,617","5,224","6,246","2,783","10,738","6,072","5,994","4,347","7,105","5,256","5,852"
2020,12,40,"65,030","5,246","7,242","3,130","9,873","7,220","6,289","3,954","8,790","6,447","6,839"
2020,12,50,"71,680","5,873","8,188","3,741","10,599","7,403","7,027","4,834","6,926","8,525","8,564"
2020,12,60,"54,595","4,660","6,349","2,899","8,358","4,605","5,904","4,341","5,534","5,951","5,994"
2020,12,70,"21,501","2,153","2,679","1,135","2,707","1,370","2,598","1,874","2,451","2,373","2,161"
2020,12,80,"6,639",615,843,321,815,402,853,544,780,806,660
2020,12,90,707,43,90,49,106,51,69,56,92,82,69
2020,12,100,62,7,10,4,5,2,8,4,12,5,5
2021,1,총,"405,464","32,530","45,097","20,643","63,552","42,474","40,528","28,225","47,186","42,022","43,207"
2021,1,0,"29,054","1,588","2,846","1,412","5,074","4,023","2,399","1,926","4,961","2,243","2,582"
2021,1,10,"36,055","1,987","3,768","2,030","5,740","5,085","3,268","2,181","4,624","3,690","3,682"
2021,1,20,"60,382","5,146","6,779","3,128","9,539","6,216","6,148","4,103","5,893","6,647","6,783"
2021,1,30,"59,342","5,200","6,260","2,771","10,677","6,023","5,960","4,344","7,021","5,228","5,858"
2021,1,40,"64,865","5,241","7,208","3,125","9,852","7,213","6,255","3,961","8,828","6,394","6,788"
2021,1,50,"71,541","5,846","8,176","3,731","10,560","7,400","7,017","4,830","6,909","8,528","8,544"
2021,1,60,"55,125","4,692","6,413","2,921","8,447","4,670","5,934","4,387","5,592","6,010","6,059"
2021,1,70,"21,619","2,162","2,699","1,147","2,722","1,390","2,608","1,886","2,457","2,380","2,168"
2021,1,80,"6,706",621,849,324,831,398,859,544,794,816,670
2021,1,90,713,40,89,50,107,53,72,59,94,81,68
2021,1,100,62,7,10,4,3,3,8,4,13,5,5
2021,2,총,"404,763","32,548","45,057","20,613","63,333","42,375","40,510","28,185","47,063","41,922","43,157"
2021,2,0,"28,812","1,586","2,810","1,399","5,008","4,001","2,379","1,917","4,916","2,231","2,565"
2021,2,10,"35,778","1,969","3,740","2,014","5,701","5,026","3,259","2,163","4,608","3,647","3,651"
2021,2,20,"60,227","5,179","6,757","3,113","9,488","6,198","6,135","4,079","5,884","6,637","6,757"
2021,2,30,"58,998","5,197","6,253","2,767","10,615","5,969","5,927","4,338","6,922","5,185","5,825"
2021,2,40,"64,835","5,233","7,212","3,125","9,828","7,212","6,258","3,945","8,841","6,368","6,813"
2021,2,50,"71,374","5,830","8,153","3,709","10,523","7,406","7,012","4,819","6,901","8,494","8,527"
2021,2,60,"55,528","4,716","6,472","2,955","8,482","4,708","5,987","4,409","5,627","6,080","6,092"
2021,2,70,"21,657","2,163","2,702","1,147","2,733","1,398","2,604","1,901","2,458","2,369","2,182"
2021,2,80,"6,766",622,857,330,847,403,868,551,794,823,671
2021,2,90,725,46,90,50,105,51,73,59,99,83,69
2021,2,100,63,7,11,4,3,3,8,4,13,5,5
2021,3,총,"403,374","32,424","44,854","20,611","63,203","42,317","40,334","28,041","46,847","41,696","43,047"
2021,3,0,"28,647","1,595","2,800","1,410","4,977","3,980","2,351","1,909","4,880","2,205","2,540"
2021,3,10,"35,611","1,961","3,711","1,995","5,684","5,009","3,239","2,151","4,616","3,623","3,622"
2021,3,20,"60,003","5,165","6,702","3,103","9,456","6,183","6,134","4,072","5,830","6,615","6,743"
2021,3,30,"58,805","5,172","6,225","2,786","10,600","5,973","5,905","4,298","6,871","5,151","5,824"
2021,3,40,"64,449","5,196","7,190","3,114","9,761","7,157","6,218","3,915","8,824","6,285","6,789"
2021,3,50,"70,956","5,816","8,101","3,678","10,468","7,391","6,961","4,765","6,840","8,458","8,478"
2021,3,60,"55,855","4,705","6,475","2,985","8,579","4,757","6,002","4,435","5,668","6,105","6,144"
2021,3,70,"21,562","2,154","2,688","1,150","2,721","1,406","2,588","1,888","2,440","2,357","2,170"
2021,3,80,"6,736",615,862,332,853,407,859,549,780,812,667
2021,3,90,712,43,94,54,100,51,73,56,90,84,67
2021,3,100,38,2,6,4,4,3,4,3,8,1,3
2021,4,총,"402,851","32,352","44,781","20,548","63,115","42,308","40,311","28,007","46,859","41,615","42,955"
2021,4,0,"28,545","1,591","2,782","1,398","4,967","3,965","2,352","1,911","4,857","2,208","2,514"
2021,4,10,"35,457","1,953","3,696","1,989","5,638","4,992","3,232","2,134","4,631","3,590","3,602"
2021,4,20,"59,790","5,153","6,657","3,086","9,416","6,176","6,115","4,070","5,795","6,568","6,754"
2021,4,30,"58,682","5,141","6,200","2,780","10,569","5,984","5,920","4,280","6,842","5,163","5,803"
2021,4,40,"64,362","5,169","7,194","3,108","9,795","7,129","6,204","3,912","8,847","6,252","6,752"
2021,4,50,"70,741","5,816","8,083","3,654","10,412","7,381","6,940","4,740","6,840","8,410","8,465"
2021,4,60,"56,139","4,717","6,515","2,988","8,612","4,799","6,003","4,462","5,712","6,172","6,159"
2021,4,70,"21,602","2,155","2,691","1,153","2,750","1,412","2,595","1,883","2,443","2,353","2,167"
2021,4,80,"6,782",612,868,335,853,415,872,554,791,815,667
2021,4,90,712,43,89,53,98,52,74,58,93,83,69
2021,4,100,39,2,6,4,5,3,4,3,8,1,3
2021,5,총,"402,337","32,325","44,683","20,474","63,049","42,298","40,243","27,922","46,849","41,503","42,991"
2021,5,0,"28,375","1,573","2,749","1,376","4,939","3,955","2,326","1,909","4,862","2,185","2,501"
2021,5,10,"35,373","1,936","3,682","1,987","5,619","4,968","3,237","2,123","4,630","3,578","3,613"
2021,5,20,"59,542","5,165","6,644","3,062","9,368","6,160","6,095","4,023","5,761","6,522","6,742"
2021,5,30,"58,530","5,096","6,191","2,754","10,565","5,995","5,877","4,270","6,832","5,137","5,813"
2021,5,40,"64,127","5,150","7,135","3,101","9,770","7,111","6,187","3,920","8,813","6,213","6,727"
2021,5,50,"70,694","5,825","8,092","3,661","10,396","7,373","6,935","4,703","6,841","8,386","8,482"
2021,5,60,"56,464","4,762","6,537","2,986","8,659","4,845","6,021","4,465","5,758","6,223","6,208"
2021,5,70,"21,626","2,153","2,678","1,150","2,771","1,415","2,611","1,887","2,454","2,346","2,161"
2021,5,80,"6,852",619,882,340,861,420,874,562,799,827,668
2021,5,90,715,44,87,53,96,53,76,57,91,85,73
2021,5,100,39,2,6,4,5,3,4,3,8,1,3
2021,6,총,"402,000","32,347","44,580","20,444","62,923","42,263","40,223","27,885","46,824","41,564","42,947"
2021,6,0,"28,239","1,569","2,743","1,375","4,884","3,931","2,317","1,891","4,857","2,189","2,483"
2021,6,10,"35,310","1,926","3,665","1,982","5,626","4,959","3,229","2,132","4,629","3,563","3,599"
2021,6,20,"59,321","5,154","6,613","3,059","9,323","6,142","6,036","3,992","5,765","6,535","6,702"
2021,6,30,"58,466","5,101","6,162","2,746","10,518","5,996","5,894","4,254","6,795","5,176","5,824"
2021,6,40,"64,023","5,143","7,103","3,084","9,778","7,083","6,191","3,920","8,805","6,199","6,717"
2021,6,50,"70,430","5,838","8,051","3,641","10,330","7,382","6,896","4,684","6,838","8,340","8,430"
2021,6,60,"56,847","4,782","6,574","3,000","8,725","4,876","6,076","4,487","5,780","6,291","6,256"
2021,6,70,"21,710","2,161","2,692","1,160","2,786","1,418","2,614","1,894","2,460","2,352","2,173"
2021,6,80,"6,909",628,886,341,854,421,890,571,798,834,686
2021,6,90,705,43,85,52,94,52,75,57,89,84,74
2021,6,100,40,2,6,4,5,3,5,3,8,1,3
2021,7,총,"401,645","32,372","44,556","20,408","62,792","42,225","40,148","27,834","46,801","41,608","42,901"
2021,7,0,"28,090","1,555","2,740","1,363","4,852","3,926","2,308","1,882","4,828","2,175","2,461"
2021,7,10,"35,240","1,927","3,645","1,987","5,606","4,939","3,245","2,107","4,638","3,552","3,594"
2021,7,20,"59,067","5,155","6,593","3,037","9,271","6,124","5,981","3,973","5,734","6,523","6,676"
2021,7,30,"58,365","5,099","6,154","2,737","10,498","5,973","5,847","4,250","6,772","5,198","5,837"
2021,7,40,"63,928","5,142","7,084","3,073","9,753","7,068","6,204","3,909","8,824","6,179","6,692"
2021,7,50,"70,370","5,827","8,056","3,629","10,306","7,388","6,894","4,663","6,846","8,342","8,419"
2021,7,60,"57,125","4,816","6,603","3,020","8,762","4,907","6,063","4,514","5,797","6,358","6,285"
2021,7,70,"21,790","2,178","2,700","1,162","2,792","1,416","2,630","1,900","2,471","2,363","2,178"
2021,7,80,"6,932",628,889,344,853,429,897,574,798,835,685
2021,7,90,698,43,86,52,94,52,74,59,85,82,71
2021,7,100,40,2,6,4,5,3,5,3,8,1,3
2021,8,총,"401,353","32,413","44,572","20,379","62,692","42,180","40,047","27,847","46,758","41,568","42,897"
2021,8,0,"27,926","1,551","2,723","1,353","4,811","3,914","2,274","1,900","4,801","2,147","2,452"
2021,8,10,"35,169","1,932","3,632","1,995","5,584","4,939","3,235","2,091","4,659","3,534","3,568"
2021,8,20,"58,888","5,141","6,611","3,026","9,229","6,104","5,943","3,965","5,696","6,497","6,676"
2021,8,30,"58,194","5,111","6,149","2,722","10,469","5,946","5,827","4,232","6,726","5,182","5,830"
2021,8,40,"63,764","5,142","7,045","3,055","9,743","7,052","6,174","3,915","8,827","6,161","6,650"
2021,8,50,"70,374","5,856","8,091","3,610","10,275","7,383","6,894","4,654","6,844","8,332","8,435"
2021,8,60,"57,442","4,831","6,615","3,047","8,813","4,936","6,075","4,543","5,840","6,407","6,335"
2021,8,70,"21,872","2,169","2,722","1,166","2,812","1,419","2,641","1,908","2,467","2,380","2,188"
2021,8,80,"6,977",634,895,348,856,432,903,576,803,844,686
2021,8,90,707,44,83,53,95,52,76,60,87,83,74
2021,8,100,40,2,6,4,5,3,5,3,8,1,3
2021,9,총,"401,051","32,429","44,526","20,331","62,565","42,094","40,334","27,795","46,663","41,500","42,814"
2021,9,0,"27,793","1,560","2,689","1,339","4,784","3,902","2,297","1,901","4,757","2,129","2,435"
2021,9,10,"35,065","1,920","3,619","1,972","5,550","4,925","3,247","2,088","4,672","3,520","3,552"
2021,9,20,"58,746","5,154","6,610","3,020","9,181","6,086","5,963","3,939","5,658","6,481","6,654"
2021,9,30,"58,154","5,108","6,134","2,709","10,435","5,922","5,944","4,231","6,660","5,199","5,812"
2021,9,40,"63,542","5,131","7,014","3,056","9,732","7,015","6,174","3,875","8,818","6,100","6,627"
2021,9,50,"70,392","5,861","8,109","3,605","10,246","7,377","6,941","4,647","6,857","8,317","8,432"
2021,9,60,"57,636","4,844","6,635","3,054","8,848","4,955","6,110","4,555","5,847","6,440","6,348"
2021,9,70,"21,959","2,172","2,738","1,164","2,827","1,428","2,666","1,914","2,481","2,377","2,192"
2021,9,80,"7,002",633,884,354,859,427,910,582,816,851,686
2021,9,90,723,44,88,54,98,54,77,60,90,85,73
2021,9,100,39,2,6,4,5,3,5,3,7,1,3
2021,10,총,"400,375","32,363","44,486","20,284","62,367","42,023","40,468","27,752","46,538","41,431","42,663"
2021,10,0,"27,556","1,548","2,656","1,333","4,724","3,875","2,295","1,897","4,721","2,107","2,400"
2021,10,10,"34,984","1,916","3,617","1,963","5,520","4,924","3,245","2,073","4,677","3,515","3,534"
2021,10,20,"58,447","5,105","6,586","3,012","9,141","6,052","5,952","3,927","5,614","6,458","6,600"
2021,10,30,"58,037","5,100","6,128","2,685","10,379","5,902","6,007","4,228","6,617","5,192","5,799"
2021,10,40,"63,359","5,139","6,975","3,054","9,718","7,000","6,180","3,877","8,792","6,055","6,569"
2021,10,50,"70,332","5,852","8,128","3,576","10,211","7,374","6,967","4,627","6,866","8,321","8,410"
2021,10,60,"57,811","4,854","6,652","3,081","8,861","4,974","6,139","4,569","5,840","6,459","6,382"
2021,10,70,"22,043","2,178","2,756","1,169","2,846","1,435","2,680","1,907","2,490","2,381","2,201"
2021,10,80,"7,030",620,894,354,864,428,917,582,824,857,690
2021,10,90,740,49,88,53,99,57,81,62,90,86,75
2021,10,100,36,2,6,4,4,2,5,3,7,0,3
2021,11,총,"399,933","32,331","44,486","20,266","62,277","41,950","40,499","27,774","46,423","41,338","42,589"
2021,11,0,"27,433","1,548","2,639","1,321","4,702","3,874","2,271","1,907","4,694","2,088","2,389"
2021,11,10,"34,877","1,922","3,609","1,955","5,487","4,908","3,239","2,068","4,675","3,504","3,510"
2021,11,20,"58,154","5,051","6,574","2,999","9,093","6,010","5,935","3,909","5,566","6,420","6,597"
2021,11,30,"57,977","5,127","6,113","2,689","10,360","5,895","6,039","4,239","6,551","5,182","5,782"
2021,11,40,"63,257","5,121","6,995","3,045","9,681","6,975","6,168","3,894","8,790","6,025","6,563"
2021,11,50,"70,284","5,847","8,122","3,582","10,233","7,371","6,968","4,592","6,895","8,307","8,367"
2021,11,60,"58,032","4,859","6,685","3,092","8,894","4,990","6,184","4,598","5,847","6,473","6,410"
2021,11,70,"22,063","2,182","2,759","1,167","2,854","1,439","2,697","1,909","2,486","2,378","2,192"
2021,11,80,"7,076",624,897,358,871,431,912,588,818,876,701
2021,11,90,743,48,86,54,98,55,82,66,94,85,75
2021,11,100,37,2,7,4,4,2,4,4,7,0,3
2021,12,총,"399,484","32,206","44,568","20,263","62,203","41,937","40,442","27,745","46,354","41,269","42,497"
2021,12,0,"27,336","1,526","2,634","1,310","4,695","3,870","2,273","1,891","4,670","2,087","2,380"
2021,12,10,"34,805","1,902","3,614","1,958","5,465","4,905","3,226","2,082","4,688","3,477","3,488"
2021,12,20,"57,852","5,040","6,565","2,992","9,029","5,974","5,896","3,885","5,520","6,401","6,550"
2021,12,30,"57,906","5,087","6,139","2,687","10,366","5,893","6,008","4,235","6,525","5,162","5,804"
2021,12,40,"63,207","5,110","7,009","3,055","9,681","6,975","6,161","3,892","8,798","6,021","6,505"
2021,12,50,"70,156","5,828","8,114","3,575","10,201","7,363","6,962","4,581","6,890","8,289","8,353"
2021,12,60,"58,182","4,851","6,731","3,088","8,917","5,010","6,197","4,605","5,847","6,501","6,435"
2021,12,70,"22,149","2,182","2,770","1,182","2,866","1,460","2,712","1,913","2,498","2,362","2,204"
2021,12,80,"7,119",632,901,362,876,432,919,593,821,881,702
2021,12,90,745,47,84,54,103,54,85,65,91,88,74
2021,12,100,27,1,7,0,4,1,3,3,6,0,2
