년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020,10,70,"10,581","2,777","1,263",800,427,786,112,145,"1,106","1,626","1,539",,,,
2020,10,80,"3,093",784,401,299,150,225,56,69,301,430,378,,,,
2020,10,90,280,79,28,26,20,22,8,5,20,42,30,,,,
2020,10,100,27,6,1,7,2,2,0,0,6,3,0,,,,
2020,11,총,"194,991","56,675","23,976","12,218","5,150","7,632",774,"1,393","22,029","30,969","34,175",,,,
2020,11,0,"18,107","5,832","2,011",703,245,534,21,69,"2,091","2,435","4,166",,,,
2020,11,10,"17,233","4,520","2,450",961,334,644,35,109,"1,971","2,813","3,396",,,,
2020,11,20,"23,927","7,063","2,929","1,568",578,633,63,99,"3,033","4,156","3,805",,,,
2020,11,30,"30,178","10,458","3,277","1,544",570,744,46,123,"3,325","4,469","5,622",,,,
2020,11,40,"35,233","10,591","4,351","1,925",826,"1,329",83,208,"3,802","5,453","6,665",,,,
2020,11,50,"32,348","8,358","4,250","2,555","1,022","1,309",146,283,"3,791","5,597","5,037",,,,
2020,11,60,"23,928","6,194","2,996","1,828",976,"1,399",204,282,"2,578","3,941","3,530",,,,
2020,11,70,"10,590","2,773","1,273",800,424,788,112,145,"1,109","1,630","1,536",,,,
2020,11,80,"3,141",801,408,302,154,227,57,70,304,431,387,,,,
2020,11,90,278,79,30,24,19,23,7,5,19,41,31,,,,
2020,11,100,28,6,1,8,2,2,0,0,6,3,0,,,,
2020,12,총,"195,298","56,783","23,982","12,254","5,170","7,683",775,"1,396","12,890","11,141",0,"9,135","19,889","17,283","16,917"
2020,12,0,"18,074","5,835","1,984",708,251,540,22,72,"1,064",824,0,"1,008","1,608","1,401","2,757"
2020,12,10,"17,191","4,483","2,396",968,336,650,35,108,"1,170",986,0,801,"1,841","1,384","2,033"
2020,12,20,"23,933","7,096","2,945","1,560",585,638,60,101,"1,819","1,491",0,"1,212","2,645","2,248","1,533"
2020,12,30,"30,130","10,426","3,276","1,548",575,754,49,122,"1,852","1,590",0,"1,466","2,876","2,615","2,981"
2020,12,40,"35,343","10,621","4,381","1,934",820,"1,328",82,209,"2,162","1,969",0,"1,651","3,497","3,068","3,621"
2020,12,50,"32,411","8,376","4,257","2,552","1,023","1,318",146,277,"2,342","1,992",0,"1,443","3,638","3,023","2,024"
