년도,월,나이,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021,2,총,"23,071","2,744","1,888","6,455","7,729","1,092","1,901","1,210",52,0,0,0,0
2021,2,0,"1,674",194,198,403,570,84,126,99,0,0,0,0,0
2021,2,10,"1,939",265,127,544,714,52,166,69,2,0,0,0,0
2021,2,20,"3,711",398,353,"1,100","1,073",296,280,210,1,0,0,0,0
2021,2,30,"2,579",316,250,714,821,145,178,153,2,0,0,0,0
2021,2,40,"3,021",354,213,868,"1,064",113,292,112,5,0,0,0,0
2021,2,50,"3,798",477,264,"1,066","1,344",125,338,173,11,0,0,0,0
2021,2,60,"3,349",375,255,956,"1,135",135,271,214,8,0,0,0,0
2021,2,70,"2,082",261,139,557,710,101,169,130,15,0,0,0,0
2021,2,80,827,96,82,223,260,35,77,46,8,0,0,0,0
2021,2,90,81,8,7,21,34,4,3,4,0,0,0,0,0
2021,2,100,10,0,0,3,4,2,1,0,0,0,0,0,0
2021,3,총,"22,963","2,737","1,884","6,434","7,683","1,073","1,898","1,202",52,0,0,0,0
2021,3,0,"1,669",199,199,395,566,85,125,100,0,0,0,0,0
2021,3,10,"1,932",261,131,543,707,54,165,69,2,0,0,0,0
2021,3,20,"3,666",398,350,"1,082","1,063",285,282,205,1,0,0,0,0
2021,3,30,"2,547",311,246,717,803,139,177,152,2,0,0,0,0
2021,3,40,"3,013",354,212,865,"1,062",113,290,112,5,0,0,0,0
2021,3,50,"3,749",476,255,"1,048","1,329",123,337,170,11,0,0,0,0
2021,3,60,"3,387",379,261,977,"1,141",133,275,214,7,0,0,0,0
2021,3,70,"2,083",258,141,554,718,100,167,130,15,0,0,0,0
2021,3,80,828,93,82,228,258,36,77,45,9,0,0,0,0
2021,3,90,84,8,7,22,35,4,3,5,0,0,0,0,0
2021,3,100,5,0,0,3,1,1,0,0,0,0,0,0,0
2021,4,총,"22,948","2,718","1,890","6,422","7,703","1,073","1,897","1,194",51,0,0,0,0
2021,4,0,"1,665",199,197,396,561,86,126,100,0,0,0,0,0
2021,4,10,"1,922",254,137,538,706,54,163,68,2,0,0,0,0
2021,4,20,"3,639",393,343,"1,076","1,071",277,278,200,1,0,0,0,0
2021,4,30,"2,556",316,248,714,807,145,177,147,2,0,0,0,0
2021,4,40,"3,005",344,220,852,"1,066",113,291,114,5,0,0,0,0
2021,4,50,"3,727",470,248,"1,045","1,326",121,337,169,11,0,0,0,0
2021,4,60,"3,439",386,264,996,"1,158",135,278,216,6,0,0,0,0
2021,4,70,"2,074",254,143,552,714,101,166,129,15,0,0,0,0
2021,4,80,831,93,82,228,259,36,78,46,9,0,0,0,0
2021,4,90,85,9,8,22,34,4,3,5,0,0,0,0,0
2021,4,100,5,0,0,3,1,1,0,0,0,0,0,0,0
2021,5,총,"22,895","2,719","1,887","6,397","7,681","1,076","1,890","1,194",51,0,0,0,0
2021,5,0,"1,654",202,194,394,554,85,124,101,0,0,0,0,0
2021,5,10,"1,920",253,137,541,705,53,161,68,2,0,0,0,0
2021,5,20,"3,613",387,337,"1,072","1,062",282,275,197,1,0,0,0,0
2021,5,30,"2,549",317,248,713,802,142,178,148,1,0,0,0,0
2021,5,40,"2,990",344,221,837,"1,061",116,292,113,6,0,0,0,0
2021,5,50,"3,747",471,254,"1,050","1,337",120,333,171,11,0,0,0,0
2021,5,60,"3,445",390,265,996,"1,156",135,282,215,6,0,0,0,0
2021,5,70,"2,058",253,142,540,711,103,164,130,15,0,0,0,0
2021,5,80,832,94,81,230,259,35,78,46,9,0,0,0,0
2021,5,90,82,8,8,21,33,4,3,5,0,0,0,0,0
2021,5,100,5,0,0,3,1,1,0,0,0,0,0,0,0
2021,6,총,"22,832","2,727","1,877","6,375","7,639","1,080","1,895","1,189",50,0,0,0,0
2021,6,0,"1,637",206,192,392,544,85,120,98,0,0,0,0,0
2021,6,10,"1,920",254,136,534,704,56,165,69,2,0,0,0,0
2021,6,20,"3,575",384,330,"1,066","1,037",281,277,199,1,0,0,0,0
2021,6,30,"2,548",318,247,709,806,145,175,147,1,0,0,0,0
2021,6,40,"2,979",349,222,835,"1,047",115,294,112,5,0,0,0,0
2021,6,50,"3,734",470,245,"1,047","1,333",122,336,170,11,0,0,0,0
2021,6,60,"3,461",391,273,"1,000","1,160",135,284,212,6,0,0,0,0
2021,6,70,"2,051",252,143,537,713,100,161,131,14,0,0,0,0
2021,6,80,840,95,81,233,261,35,79,46,10,0,0,0,0
2021,6,90,82,8,8,19,33,5,4,5,0,0,0,0,0
2021,6,100,5,0,0,3,1,1,0,0,0,0,0,0,0
2021,7,총,"22,760","2,723","1,883","6,374","7,604","1,064","1,884","1,180",48,0,0,0,0
2021,7,0,"1,620",203,194,387,540,84,119,93,0,0,0,0,0
2021,7,10,"1,918",257,134,534,708,54,161,68,2,0,0,0,0
2021,7,20,"3,533",376,327,"1,062","1,025",270,275,197,1,0,0,0,0
2021,7,30,"2,553",318,258,712,799,148,173,144,1,0,0,0,0
2021,7,40,"2,959",347,223,828,"1,037",111,293,115,5,0,0,0,0
2021,7,50,"3,731",468,243,"1,056","1,332",122,331,168,11,0,0,0,0
2021,7,60,"3,480",399,273,"1,006","1,161",135,287,213,6,0,0,0,0
2021,7,70,"2,038",251,143,534,705,98,163,132,12,0,0,0,0
2021,7,80,844,96,81,232,266,36,77,46,10,0,0,0,0
2021,7,90,80,8,7,20,31,5,5,4,0,0,0,0,0
2021,7,100,4,0,0,3,0,1,0,0,0,0,0,0,0
2021,8,총,"22,693","2,709","1,885","6,352","7,587","1,050","1,877","1,185",48,0,0,0,0
2021,8,0,"1,612",198,195,382,538,83,122,94,0,0,0,0,0
2021,8,10,"1,904",257,133,528,703,53,161,67,2,0,0,0,0
2021,8,20,"3,493",368,322,"1,054","1,018",262,269,199,1,0,0,0,0
2021,8,30,"2,554",321,264,710,794,150,172,142,1,0,0,0,0
2021,8,40,"2,946",345,222,825,"1,032",108,293,116,5,0,0,0,0
2021,8,50,"3,722",465,245,"1,045","1,337",120,329,170,11,0,0,0,0
2021,8,60,"3,493",397,273,"1,017","1,163",135,287,215,6,0,0,0,0
2021,8,70,"2,045",252,145,537,707,97,163,132,12,0,0,0,0
2021,8,80,838,98,79,230,263,36,76,46,10,0,0,0,0
2021,8,90,82,8,7,21,32,5,5,4,0,0,0,0,0
2021,8,100,4,0,0,3,0,1,0,0,0,0,0,0,0
2021,9,총,"22,607","2,703","1,881","6,331","7,560","1,046","1,870","1,168",48,0,0,0,0
2021,9,0,"1,598",196,193,382,533,81,120,93,0,0,0,0,0
2021,9,10,"1,896",256,137,520,704,52,158,67,2,0,0,0,0
2021,9,20,"3,442",362,323,"1,042",990,262,266,196,1,0,0,0,0
2021,9,30,"2,538",324,259,707,791,151,166,139,1,0,0,0,0
2021,9,40,"2,937",340,223,824,"1,029",107,295,114,5,0,0,0,0
2021,9,50,"3,715",464,241,"1,045","1,334",120,331,169,11,0,0,0,0
2021,9,60,"3,509",400,274,"1,019","1,174",136,291,209,6,0,0,0,0
2021,9,70,"2,035",251,142,536,705,96,162,132,11,0,0,0,0
2021,9,80,850,101,82,233,266,36,76,45,11,0,0,0,0
2021,9,90,85,9,7,21,34,5,5,4,0,0,0,0,0
2021,9,100,2,0,0,2,0,0,0,0,0,0,0,0,0
2021,10,총,"22,552","2,686","1,871","6,337","7,545","1,041","1,870","1,155",47,0,0,0,0
2021,10,0,"1,580",192,186,383,527,81,119,92,0,0,0,0,0
2021,10,10,"1,891",259,139,514,699,51,161,66,2,0,0,0,0
2021,10,20,"3,438",352,318,"1,051",995,264,266,191,1,0,0,0,0
2021,10,30,"2,521",321,258,705,791,145,163,137,1,0,0,0,0
2021,10,40,"2,913",337,224,816,"1,015",106,297,113,5,0,0,0,0
2021,10,50,"3,706",466,241,"1,045","1,331",118,331,163,11,0,0,0,0
2021,10,60,"3,536",400,274,"1,028","1,186",139,291,212,6,0,0,0,0
2021,10,70,"2,017",249,140,538,698,93,160,129,10,0,0,0,0
2021,10,80,865,101,84,236,270,39,76,48,11,0,0,0,0
2021,10,90,83,9,7,19,33,5,6,4,0,0,0,0,0
2021,10,100,2,0,0,2,0,0,0,0,0,0,0,0,0
2021,11,총,"22,493","2,669","1,861","6,337","7,540","1,021","1,863","1,155",47,0,0,0,0
2021,11,0,"1,560",192,183,381,520,77,118,89,0,0,0,0,0
2021,11,10,"1,886",252,138,515,702,50,160,67,2,0,0,0,0
2021,11,20,"3,411",348,311,"1,038",993,261,268,191,1,0,0,0,0
2021,11,30,"2,499",316,257,699,789,140,160,137,1,0,0,0,0
2021,11,40,"2,919",335,228,823,"1,019",103,293,113,5,0,0,0,0
2021,11,50,"3,702",467,237,"1,057","1,319",117,329,165,11,0,0,0,0
2021,11,60,"3,557",401,275,"1,031","1,197",139,295,213,6,0,0,0,0
2021,11,70,"2,001",249,141,531,694,92,157,127,10,0,0,0,0
2021,11,80,870,99,84,240,273,37,77,49,11,0,0,0,0
2021,11,90,86,10,7,20,34,5,6,4,0,0,0,0,0
2021,11,100,2,0,0,2,0,0,0,0,0,0,0,0,0
2021,12,총,"22,453","2,666","1,858","6,326","7,523","1,019","1,858","1,155",48,0,0,0,0
2021,12,0,"1,546",188,180,378,513,75,120,92,0,0,0,0,0
2021,12,10,"1,896",255,137,521,704,53,158,66,2,0,0,0,0
2021,12,20,"3,389",346,316,"1,032",983,258,269,184,1,0,0,0,0
2021,12,30,"2,496",318,256,691,790,142,157,141,1,0,0,0,0
2021,12,40,"2,905",335,223,818,"1,021",102,288,112,6,0,0,0,0
2021,12,50,"3,695",462,238,"1,053","1,317",119,331,164,11,0,0,0,0
2021,12,60,"3,563",405,275,"1,034","1,193",138,298,214,6,0,0,0,0
2021,12,70,"1,999",246,139,538,692,90,156,127,11,0,0,0,0
2021,12,80,871,100,87,238,275,37,73,51,10,0,0,0,0
2021,12,90,91,11,7,21,35,5,8,4,0,0,0,0,0
2021,12,100,2,0,0,2,0,0,0,0,0,0,0,0,0
