년도,월,나이,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020,6,10,"20,801","1,248","1,652","1,730",877,"1,044","2,210","1,732","1,107","1,557",987,"1,697","1,181",972,955,546,634,672
2020,6,20,"45,629","2,544","4,435","4,459","4,492","2,327","3,044","1,777","1,853","3,028","1,557","3,057","2,579","2,214","2,419","2,062","1,730","2,052"
2020,6,30,"49,882","2,984","4,841","3,256","1,634","2,379","3,782","2,287","2,841","4,268","2,805","5,244","2,961","2,545","2,662","2,008","1,676","1,709"
2020,6,40,"46,019","2,695","4,069","3,141","1,141","2,219","4,213","2,989","2,613","3,815","2,631","4,473","2,463","2,164","2,422","1,518","1,625","1,828"
2020,6,50,"47,891","2,794","4,472","3,786","1,294","2,358","3,944","2,438","2,391","3,729","2,153","3,969","3,043","2,136","3,231","1,863","2,021","2,269"
2020,6,60,"35,811","2,078","2,954","2,933",938,"1,676","2,706","1,688","2,035","2,958","1,777","3,108","2,069","1,690","2,562","1,478","1,561","1,600"
2020,6,70,"20,572","1,182","1,628","1,737",756,983,"1,741","1,196","1,097","1,766","1,068","1,737",927,890,"1,244",840,750,"1,030"
2020,6,80,"8,295",439,684,697,286,389,696,494,481,715,432,732,379,353,470,339,296,413
2020,6,90,"1,147",63,106,85,36,69,98,69,53,107,50,131,45,46,69,40,43,37
2020,6,100,241,20,22,18,11,8,21,8,12,27,9,27,8,14,14,10,8,4
2020,7,총,"296,896","17,250","27,344","23,064","11,904","14,370","24,277","15,891","15,786","23,707","14,847","26,877","16,692","13,788","16,885","11,279","10,876","12,059"
2020,7,0,"21,038","1,248","2,420","1,243",434,"1,026","1,863","1,220","1,341","1,779","1,407","2,690","1,069",793,886,598,554,467
2020,7,10,"20,659","1,245","1,648","1,715",872,"1,037","2,210","1,732","1,100","1,543",980,"1,684","1,163",961,935,542,635,657
2020,7,20,"45,597","2,526","4,482","4,465","4,483","2,292","3,047","1,764","1,842","3,024","1,548","3,069","2,572","2,208","2,429","2,063","1,717","2,066"
2020,7,30,"49,760","2,990","4,826","3,270","1,641","2,359","3,762","2,290","2,805","4,244","2,812","5,220","2,965","2,550","2,645","1,982","1,682","1,717"
2020,7,40,"45,846","2,672","4,050","3,113","1,147","2,214","4,192","2,989","2,609","3,800","2,610","4,487","2,454","2,162","2,398","1,516","1,613","1,820"
2020,7,50,"47,765","2,780","4,478","3,777","1,299","2,332","3,929","2,444","2,382","3,744","2,151","3,968","3,027","2,119","3,227","1,856","2,002","2,250"
2020,7,60,"35,886","2,076","2,982","2,934",934,"1,670","2,712","1,685","2,043","2,955","1,781","3,121","2,077","1,691","2,566","1,488","1,567","1,604"
2020,7,70,"20,621","1,191","1,641","1,745",755,973,"1,738","1,192","1,110","1,773","1,059","1,747",940,895,"1,242",841,751,"1,028"
2020,7,80,"8,332",438,689,697,292,392,704,499,485,713,442,734,372,350,472,343,302,408
2020,7,90,"1,153",65,106,88,36,67,99,68,57,105,48,130,45,45,71,40,45,38
2020,7,100,239,19,22,17,11,8,21,8,12,27,9,27,8,14,14,10,8,4
2020,8,총,"296,183","17,212","27,298","23,003","11,898","14,302","24,261","15,839","15,801","23,609","14,838","26,821","16,688","13,701","16,834","11,247","10,850","11,981"
2020,8,0,"20,901","1,241","2,403","1,229",425,"1,026","1,861","1,203","1,342","1,777","1,407","2,668","1,061",781,872,597,551,457
2020,8,10,"20,487","1,224","1,636","1,700",874,"1,022","2,190","1,727","1,087","1,515",979,"1,682","1,166",953,931,533,627,641
2020,8,20,"45,461","2,533","4,473","4,452","4,511","2,272","3,037","1,749","1,842","2,996","1,544","3,049","2,572","2,192","2,411","2,038","1,711","2,079"
2020,8,30,"49,558","2,991","4,791","3,254","1,620","2,343","3,744","2,270","2,819","4,248","2,804","5,194","2,963","2,526","2,631","1,997","1,670","1,693"
2020,8,40,"45,723","2,647","4,067","3,104","1,151","2,209","4,177","2,979","2,596","3,784","2,607","4,481","2,457","2,151","2,391","1,502","1,609","1,811"
2020,8,50,"47,585","2,779","4,467","3,746","1,284","2,309","3,937","2,452","2,399","3,703","2,155","3,964","3,027","2,098","3,198","1,860","1,996","2,211"
2020,8,60,"36,056","2,081","2,994","2,967",947,"1,676","2,743","1,678","2,043","2,972","1,777","3,140","2,082","1,690","2,582","1,490","1,581","1,613"
2020,8,70,"20,636","1,198","1,648","1,746",742,975,"1,736","1,204","1,113","1,769","1,060","1,748",936,899,"1,253",828,755,"1,026"
2020,8,80,"8,369",434,692,696,295,395,714,501,490,715,445,734,370,355,480,350,296,407
2020,8,90,"1,164",64,105,92,38,67,100,68,58,102,51,133,46,42,71,42,46,39
2020,8,100,243,20,22,17,11,8,22,8,12,28,9,28,8,14,14,10,8,4
2020,9,총,"295,591","17,188","27,270","22,940","11,948","14,243","24,184","15,809","15,813","23,559","14,813","26,783","16,640","13,622","16,762","11,264","10,805","11,948"
2020,9,0,"20,819","1,236","2,396","1,217",423,"1,012","1,851","1,204","1,346","1,777","1,419","2,649","1,051",786,869,581,549,453
2020,9,10,"20,350","1,220","1,636","1,683",855,"1,027","2,156","1,710","1,081","1,508",975,"1,679","1,167",935,913,542,622,641
2020,9,20,"45,320","2,531","4,432","4,422","4,571","2,261","3,040","1,742","1,834","2,978","1,519","3,049","2,555","2,166","2,379","2,051","1,708","2,082"
2020,9,30,"49,399","2,978","4,798","3,259","1,624","2,324","3,719","2,270","2,811","4,222","2,811","5,150","2,937","2,518","2,627","2,000","1,658","1,693"
2020,9,40,"45,564","2,657","4,049","3,088","1,153","2,201","4,156","2,959","2,601","3,769","2,610","4,481","2,452","2,130","2,375","1,496","1,599","1,788"
2020,9,50,"47,501","2,764","4,478","3,730","1,288","2,300","3,931","2,465","2,394","3,709","2,155","3,965","3,027","2,078","3,186","1,843","1,977","2,211"
2020,9,60,"36,213","2,083","3,015","2,984",944,"1,683","2,757","1,684","2,062","2,978","1,767","3,161","2,083","1,703","2,597","1,514","1,586","1,612"
2020,9,70,"20,619","1,200","1,637","1,746",744,969,"1,735","1,199","1,114","1,769","1,056","1,751",939,896,"1,249",830,761,"1,024"
2020,9,80,"8,383",437,698,698,296,388,716,498,498,720,441,735,376,352,484,354,291,401
2020,9,90,"1,179",62,108,96,39,70,101,70,60,101,51,135,45,44,69,43,46,39
2020,9,100,244,20,23,17,11,8,22,8,12,28,9,28,8,14,14,10,8,4
2020,10,총,"294,895","17,137","27,246","22,899","11,918","14,158","24,188","15,805","15,783","23,483","14,750","26,765","16,645","13,549","16,672","11,222","10,774","11,901"
2020,10,0,"20,671","1,216","2,397","1,212",425,"1,005","1,853","1,200","1,335","1,768","1,391","2,626","1,048",776,847,583,549,440
2020,10,10,"20,137","1,207","1,609","1,673",823,"1,014","2,153","1,695","1,066","1,498",971,"1,676","1,138",931,908,537,608,630
2020,10,20,"45,274","2,522","4,437","4,395","4,568","2,252","3,046","1,760","1,831","2,964","1,519","3,027","2,581","2,163","2,361","2,039","1,717","2,092"
2020,10,30,"49,241","2,966","4,799","3,270","1,622","2,301","3,726","2,265","2,804","4,198","2,807","5,125","2,919","2,488","2,621","1,991","1,658","1,681"
2020,10,40,"45,357","2,649","4,048","3,078","1,147","2,189","4,132","2,953","2,577","3,752","2,581","4,517","2,439","2,117","2,347","1,492","1,576","1,763"
2020,10,50,"47,459","2,779","4,465","3,719","1,290","2,286","3,924","2,471","2,397","3,710","2,155","3,949","3,043","2,083","3,168","1,833","1,971","2,216"
2020,10,60,"36,309","2,079","3,030","3,000",941,"1,672","2,770","1,689","2,078","2,989","1,769","3,184","2,097","1,685","2,605","1,513","1,596","1,612"
2020,10,70,"20,587","1,197","1,629","1,736",752,973,"1,748","1,186","1,124","1,749","1,051","1,758",945,898,"1,246",822,752,"1,021"
2020,10,80,"8,434",439,700,703,301,389,714,508,496,729,446,741,381,350,481,360,293,403
2020,10,90,"1,178",63,108,96,38,68,100,69,63,99,51,133,46,43,74,42,46,39
2020,10,100,248,20,24,17,11,9,22,9,12,27,9,29,8,15,14,10,8,4
2020,11,총,"294,272","17,112","27,148","22,848","11,934","14,114","24,120","15,788","15,774","23,474","14,744","26,710","16,612","13,512","16,644","11,180","10,745","11,813"
2020,11,0,"20,585","1,228","2,392","1,204",427,"1,003","1,829","1,200","1,333","1,754","1,394","2,610","1,044",778,840,572,544,433
2020,11,10,"19,970","1,214","1,587","1,641",808,"1,011","2,132","1,683","1,056","1,497",970,"1,666","1,129",920,900,541,601,614
2020,11,20,"45,145","2,498","4,414","4,403","4,589","2,229","3,034","1,764","1,831","2,962","1,512","3,014","2,563","2,158","2,359","2,036","1,710","2,069"
2020,11,30,"49,138","2,956","4,781","3,266","1,617","2,298","3,738","2,258","2,787","4,184","2,808","5,114","2,918","2,494","2,626","1,969","1,655","1,669"
2020,11,40,"45,229","2,659","4,045","3,045","1,147","2,180","4,105","2,944","2,572","3,762","2,577","4,523","2,425","2,114","2,345","1,469","1,563","1,754"
2020,11,50,"47,347","2,758","4,428","3,720","1,291","2,281","3,922","2,478","2,388","3,709","2,142","3,944","3,047","2,062","3,159","1,841","1,970","2,207"
2020,11,60,"36,393","2,080","3,039","3,013",952,"1,671","2,782","1,685","2,095","2,985","1,785","3,181","2,101","1,684","2,612","1,522","1,604","1,602"
2020,11,70,"20,587","1,196","1,626","1,740",752,976,"1,736","1,186","1,133","1,758","1,056","1,753",950,898,"1,240",821,749,"1,017"
2020,11,80,"8,450",439,701,704,302,386,721,512,502,736,441,745,382,346,476,356,295,406
2020,11,90,"1,181",64,112,94,38,70,99,69,65,101,50,131,45,43,73,43,46,38
2020,11,100,247,20,23,18,11,9,22,9,12,26,9,29,8,15,14,10,8,4
2020,12,총,"293,556","17,085","27,081","22,785","11,932","14,077","24,063","15,764","15,711","23,409","14,704","26,661","16,553","13,452","16,589","11,177","10,725","11,788"
2020,12,0,"20,449","1,227","2,376","1,207",423,"1,011","1,820","1,190","1,310","1,750","1,391","2,584","1,037",767,830,576,531,419
2020,12,10,"19,815","1,208","1,570","1,623",780,995,"2,113","1,685","1,058","1,497",959,"1,655","1,111",905,896,540,599,621
2020,12,20,"45,043","2,498","4,404","4,372","4,642","2,215","3,027","1,754","1,823","2,931","1,507","3,010","2,555","2,153","2,351","2,019","1,713","2,069"
2020,12,30,"48,905","2,942","4,765","3,274","1,592","2,286","3,713","2,254","2,765","4,172","2,804","5,087","2,904","2,477","2,610","1,967","1,641","1,652"
2020,12,40,"45,020","2,647","4,032","3,023","1,153","2,172","4,079","2,937","2,547","3,760","2,574","4,504","2,404","2,098","2,320","1,465","1,558","1,747"
2020,12,50,"47,248","2,749","4,414","3,712","1,287","2,270","3,927","2,482","2,385","3,695","2,118","3,943","3,048","2,059","3,151","1,849","1,966","2,193"
2020,12,60,"36,534","2,094","3,053","3,006",953,"1,683","2,804","1,681","2,109","2,981","1,786","3,205","2,115","1,689","2,617","1,524","1,616","1,618"
2020,12,70,"20,586","1,191","1,623","1,743",754,977,"1,741","1,181","1,125","1,756","1,060","1,766",942,896,"1,242",824,748,"1,017"
2020,12,80,"8,520",444,710,709,301,389,718,522,513,741,442,743,383,351,486,359,299,410
2020,12,90,"1,185",65,111,97,36,67,99,69,64,100,54,136,46,42,71,44,46,38
2020,12,100,251,20,23,19,11,12,22,9,12,26,9,28,8,15,15,10,8,4
2021,1,총,"293,103","17,077","26,968","22,758","11,841","14,087","24,000","15,736","15,709","23,372","14,694","26,549","16,708","13,410","16,546","11,170","10,691","11,787"
2021,1,0,"20,297","1,212","2,353","1,211",424,994,"1,803","1,186","1,296","1,742","1,381","2,564","1,035",752,824,579,525,416
2021,1,10,"19,679","1,209","1,558","1,621",733,990,"2,102","1,670","1,059","1,480",958,"1,645","1,126",903,889,539,588,609
2021,1,20,"44,823","2,496","4,345","4,347","4,599","2,230","3,013","1,759","1,825","2,907","1,499","2,960","2,572","2,159","2,319","2,008","1,709","2,076"
2021,1,30,"48,730","2,921","4,743","3,276","1,596","2,271","3,700","2,236","2,751","4,167","2,784","5,062","2,910","2,452","2,615","1,967","1,620","1,659"
2021,1,40,"44,943","2,650","4,034","3,024","1,136","2,176","4,061","2,919","2,549","3,758","2,573","4,483","2,421","2,090","2,314","1,461","1,555","1,739"
2021,1,50,"47,248","2,762","4,376","3,701","1,283","2,276","3,924","2,498","2,377","3,716","2,132","3,919","3,105","2,050","3,134","1,840","1,966","2,189"
2021,1,60,"36,697","2,101","3,079","3,002",964,"1,691","2,819","1,678","2,127","2,973","1,784","3,231","2,150","1,691","2,631","1,525","1,621","1,630"
2021,1,70,"20,627","1,191","1,626","1,738",747,983,"1,731","1,185","1,128","1,757","1,066","1,768",950,906,"1,249",835,754,"1,013"
2021,1,80,"8,617",448,722,719,312,396,726,527,519,746,450,752,386,350,489,363,299,413
2021,1,90,"1,189",67,108,99,36,67,98,69,66,100,58,138,45,42,67,44,46,39
2021,1,100,253,20,24,20,11,13,23,9,12,26,9,27,8,15,15,9,8,4
2021,2,총,"292,537","17,035","26,894","22,647","11,828","14,067","23,947","15,713","15,691","23,307","14,639","26,538","16,775","13,317","16,435","11,169","10,664","11,871"
2021,2,0,"20,122","1,201","2,344","1,197",426,974,"1,786","1,187","1,290","1,731","1,367","2,554","1,015",743,806,585,509,407
2021,2,10,"19,633","1,209","1,577","1,613",735,"1,009","2,102","1,653","1,058","1,460",950,"1,643","1,128",895,877,534,579,611
2021,2,20,"44,526","2,476","4,286","4,268","4,583","2,225","2,990","1,757","1,825","2,849","1,475","2,939","2,586","2,134","2,291","1,990","1,697","2,155"
2021,2,30,"48,524","2,917","4,682","3,274","1,584","2,253","3,678","2,229","2,708","4,195","2,770","5,043","2,896","2,422","2,597","1,973","1,619","1,684"
2021,2,40,"44,826","2,629","4,057","3,019","1,131","2,181","4,030","2,909","2,571","3,729","2,572","4,490","2,427","2,067","2,276","1,472","1,545","1,721"
2021,2,50,"47,247","2,763","4,381","3,684","1,286","2,281","3,934","2,503","2,373","3,721","2,126","3,919","3,130","2,047","3,128","1,831","1,959","2,181"
2021,2,60,"36,908","2,119","3,082","3,014",968,"1,680","2,832","1,687","2,138","2,986","1,800","3,262","2,193","1,695","2,643","1,528","1,649","1,632"
2021,2,70,"20,614","1,187","1,628","1,732",748,988,"1,735","1,180","1,124","1,754","1,061","1,766",960,897,"1,245",837,752,"1,020"
2021,2,80,"8,679",445,724,722,320,396,737,531,522,756,450,757,386,359,490,366,301,417
2021,2,90,"1,205",69,109,104,37,67,100,68,70,99,59,138,46,43,67,44,46,39
2021,2,100,253,20,24,20,10,13,23,9,12,27,9,27,8,15,15,9,8,4
2021,3,총,"291,906","16,922","26,798","22,636","11,956","14,089","23,836","15,671","15,634","23,187","14,589","26,489","16,869","13,191","16,381","11,124","10,633","11,901"
2021,3,0,"19,957","1,184","2,303","1,188",420,971,"1,775","1,173","1,287","1,728","1,347","2,546","1,004",732,805,584,507,403
2021,3,10,"19,669","1,195","1,582","1,635",824,"1,015","2,083","1,639","1,062","1,431",963,"1,655","1,132",878,867,527,573,608
2021,3,20,"44,669","2,473","4,286","4,278","4,646","2,245","2,989","1,766","1,817","2,837","1,477","2,916","2,636","2,131","2,271","1,984","1,699","2,218"
2021,3,30,"48,250","2,905","4,648","3,253","1,575","2,257","3,641","2,228","2,682","4,193","2,720","5,029","2,865","2,403","2,596","1,960","1,601","1,694"
2021,3,40,"44,575","2,597","4,037","2,997","1,120","2,182","4,014","2,883","2,569","3,702","2,583","4,469","2,430","2,038","2,262","1,465","1,532","1,695"
2021,3,50,"47,116","2,754","4,391","3,680","1,294","2,278","3,925","2,493","2,373","3,694","2,131","3,898","3,149","2,011","3,104","1,809","1,964","2,168"
2021,3,60,"37,111","2,129","3,075","3,039",961,"1,680","2,844","1,697","2,141","2,993","1,812","3,295","2,242","1,704","2,659","1,541","1,650","1,649"
2021,3,70,"20,641","1,191","1,633","1,727",745,990,"1,745","1,178","1,127","1,745","1,059","1,761",975,897,"1,255",838,761,"1,014"
2021,3,80,"8,680",435,741,726,322,397,727,537,514,759,439,765,392,356,489,365,303,413
2021,3,90,"1,137",57,100,103,39,63,90,69,61,99,54,138,41,38,60,44,43,38
2021,3,100,101,2,2,10,10,11,3,8,1,6,4,17,3,3,13,7,0,1
2021,4,총,"291,534","16,894","26,832","22,608","11,973","14,039","23,807","15,667","15,621","23,117","14,564","26,445","16,885","13,116","16,364","11,105","10,628","11,869"
2021,4,0,"19,940","1,190","2,312","1,183",416,972,"1,777","1,168","1,281","1,725","1,350","2,547","1,004",722,801,579,512,401
2021,4,10,"19,576","1,189","1,573","1,638",820,998,"2,068","1,632","1,062","1,423",959,"1,657","1,122",876,868,520,565,606
2021,4,20,"44,600","2,461","4,305","4,261","4,658","2,228","2,980","1,767","1,822","2,835","1,478","2,885","2,642","2,107","2,256","1,990","1,701","2,224"
2021,4,30,"48,132","2,905","4,631","3,228","1,571","2,252","3,640","2,222","2,674","4,157","2,692","5,018","2,884","2,391","2,599","1,947","1,606","1,715"
2021,4,40,"44,433","2,584","4,043","2,995","1,129","2,172","3,992","2,890","2,557","3,693","2,583","4,462","2,410","2,010","2,263","1,454","1,528","1,668"
2021,4,50,"47,016","2,751","4,403","3,675","1,294","2,276","3,922","2,496","2,363","3,682","2,114","3,892","3,150","2,019","3,090","1,806","1,944","2,139"
2021,4,60,"37,230","2,134","3,085","3,046",968,"1,682","2,868","1,701","2,156","2,993","1,817","3,298","2,250","1,704","2,663","1,546","1,663","1,656"
2021,4,70,"20,622","1,179","1,633","1,737",743,985,"1,744","1,168","1,123","1,744","1,068","1,754",981,897,"1,264",841,757,"1,004"
2021,4,80,"8,748",441,746,729,326,402,723,547,520,763,444,776,398,352,488,369,309,415
2021,4,90,"1,135",58,99,106,38,61,90,68,62,95,55,138,41,36,59,46,43,40
2021,4,100,102,2,2,10,10,11,3,8,1,7,4,18,3,2,13,7,0,1
2021,5,총,"289,656","16,675","26,599","22,575","12,013","13,955","23,644","15,626","15,514","22,923","14,446","26,274","16,774","12,962","16,207","11,073","10,601","11,795"
2021,5,0,"19,887","1,193","2,291","1,177",417,969,"1,771","1,167","1,281","1,711","1,342","2,553","1,012",716,805,575,515,392
2021,5,10,"19,479","1,184","1,565","1,627",794,"1,004","2,069","1,620","1,061","1,421",953,"1,652","1,118",865,861,521,561,603
2021,5,20,"44,488","2,457","4,286","4,253","4,694","2,224","2,956","1,768","1,819","2,834","1,462","2,870","2,615","2,088","2,248","1,972","1,700","2,242"
2021,5,30,"47,828","2,878","4,600","3,239","1,591","2,249","3,595","2,204","2,641","4,129","2,670","4,982","2,869","2,362","2,577","1,941","1,602","1,699"
2021,5,40,"44,061","2,553","3,993","2,974","1,125","2,153","3,954","2,875","2,537","3,658","2,563","4,451","2,394","1,976","2,228","1,464","1,528","1,635"
2021,5,50,"46,712","2,700","4,377","3,678","1,302","2,245","3,914","2,485","2,354","3,665","2,098","3,861","3,117","2,009","3,051","1,794","1,934","2,128"
2021,5,60,"37,008","2,083","3,064","3,055",974,"1,674","2,834","1,720","2,127","2,952","1,809","3,299","2,242","1,673","2,648","1,542","1,660","1,652"
2021,5,70,"20,271","1,125","1,584","1,722",738,974,"1,733","1,162","1,111","1,706","1,041","1,719",958,878,"1,239",842,753,986
2021,5,80,"8,721",441,739,733,330,400,724,550,520,747,447,753,401,357,489,367,307,416
2021,5,90,"1,123",59,99,107,37,58,91,67,62,93,57,127,44,36,56,48,41,41
2021,5,100,78,2,1,10,11,5,3,8,1,7,4,7,4,2,5,7,0,1
2021,6,총,"289,162","16,630","26,596","22,524","12,017","13,915","23,617","15,589","15,520","22,880","14,435","26,245","16,750","12,904","16,135","11,045","10,613","11,747"
2021,6,0,"19,842","1,196","2,293","1,176",418,957,"1,763","1,164","1,281","1,706","1,343","2,544","1,017",713,801,579,510,381
2021,6,10,"19,413","1,166","1,567","1,612",769,"1,001","2,074","1,618","1,074","1,423",953,"1,649","1,112",855,860,520,561,599
2021,6,20,"44,374","2,463","4,278","4,246","4,733","2,225","2,936","1,751","1,790","2,820","1,453","2,852","2,603","2,077","2,244","1,974","1,699","2,230"
2021,6,30,"47,706","2,867","4,609","3,225","1,595","2,257","3,585","2,188","2,644","4,101","2,664","4,966","2,860","2,341","2,563","1,930","1,606","1,705"
2021,6,40,"43,988","2,527","3,990","2,974","1,124","2,137","3,930","2,873","2,541","3,665","2,559","4,455","2,409","1,980","2,199","1,464","1,535","1,626"
2021,6,50,"46,514","2,699","4,355","3,665","1,291","2,234","3,917","2,483","2,352","3,644","2,095","3,853","3,098","1,995","3,023","1,775","1,932","2,103"
2021,6,60,"37,132","2,080","3,075","3,051",971,"1,679","2,837","1,730","2,136","2,979","1,812","3,319","2,248","1,671","2,657","1,552","1,669","1,666"
2021,6,70,"20,230","1,130","1,584","1,713",742,968,"1,742","1,153","1,116","1,690","1,047","1,714",960,880,"1,234",830,749,978
2021,6,80,"8,760",440,746,746,327,395,737,554,522,750,450,760,394,355,492,365,310,417
2021,6,90,"1,122",60,98,106,36,57,93,67,62,95,55,126,45,36,57,48,41,40
2021,6,100,81,2,1,10,11,5,3,8,2,7,4,7,4,1,5,8,1,2
2021,7,총,"288,703","16,627","26,660","22,476","11,950","13,935","23,560","15,560","15,460","22,861","14,424","26,176","16,698","12,859","16,134","11,033","10,583","11,707"
2021,7,0,"19,749","1,200","2,293","1,167",414,956,"1,749","1,156","1,266","1,712","1,341","2,513","1,017",713,798,576,501,377
