년도,월,나이,여주시,가남읍,점동면,흥천면,금사면,능서면,대신면,북내면,강천면,산북면,여흥동,중앙동,오학동,세종대왕면
2020,11,30,"5,429",795,131,153,89,236,192,132,139,73,"1,235",965,"1,289",
2020,11,40,"7,733","1,063",176,238,124,276,317,270,218,125,"1,771","1,630","1,525",
2020,11,50,"9,560","1,321",402,438,268,513,611,428,377,220,"1,948","1,602","1,432",
2020,11,60,"9,050","1,236",524,573,365,652,750,472,443,301,"1,610","1,177",947,
2020,11,70,"5,377",703,323,363,231,434,534,344,270,188,847,646,494,
2020,11,80,"3,326",449,260,228,135,320,371,253,180,104,442,325,259,
2020,11,90,645,82,42,57,37,64,62,42,53,20,88,49,49,
2020,11,100,35,6,1,2,1,0,3,5,1,1,6,4,5,
2020,12,총,"55,059","7,547","2,252","2,447","1,448","3,120","3,379","2,364","2,014","1,257","10,947","9,252","9,032",
2020,12,0,"3,601",529,76,84,49,159,109,76,63,61,745,660,990,
2020,12,10,"4,660",629,121,127,78,219,183,150,130,77,966,"1,084",896,
2020,12,20,"5,495",729,188,181,80,240,240,188,142,86,"1,308","1,142",971,
2020,12,30,"5,453",799,134,152,88,242,191,135,136,74,"1,226",953,"1,323",
2020,12,40,"7,766","1,065",179,245,122,280,316,267,216,125,"1,759","1,612","1,580",
2020,12,50,"9,557","1,304",403,432,264,514,611,426,380,216,"1,937","1,587","1,483",
2020,12,60,"9,143","1,251",529,580,362,649,755,478,448,301,"1,612","1,192",986,
2020,12,70,"5,369",700,322,362,232,430,537,342,268,191,851,644,490,
2020,12,80,"3,339",456,256,228,135,324,372,258,177,105,449,321,258,
2020,12,90,640,79,42,54,37,63,62,39,53,20,88,53,50,
2020,12,100,36,6,2,2,1,0,3,5,1,1,6,4,5,
2021,1,총,"55,147","7,542","2,238","2,442","1,444","3,116","3,379","2,363","2,015","1,264","10,950","9,230","9,164",
2021,1,0,"3,578",523,74,79,46,160,109,74,65,63,743,652,990,
2021,1,10,"4,645",625,115,125,81,213,180,149,130,77,966,"1,079",905,
2021,1,20,"5,518",737,185,180,80,246,234,184,143,86,"1,321","1,130",992,
2021,1,30,"5,434",791,134,154,86,237,189,138,135,75,"1,208",948,"1,339",
2021,1,40,"7,765","1,062",179,241,118,273,318,269,217,127,"1,760","1,597","1,604",
2021,1,50,"9,563","1,293",403,427,266,515,609,424,378,215,"1,931","1,598","1,504",
2021,1,60,"9,223","1,271",528,584,364,657,762,480,446,302,"1,625","1,197","1,007",
2021,1,70,"5,378",700,322,364,232,424,537,341,272,190,847,647,502,
2021,1,80,"3,360",456,257,230,135,325,374,259,175,107,454,321,267,
2021,1,90,644,78,39,55,35,66,64,40,53,21,89,55,49,
2021,1,100,39,6,2,3,1,0,3,5,1,1,6,6,5,
2021,2,총,"55,191","7,541","2,244","2,442","1,436","3,104","3,375","2,373","2,027","1,265","10,923","9,228","9,233",
2021,2,0,"3,562",517,85,79,45,157,108,74,66,62,740,649,980,
2021,2,10,"4,610",618,115,120,76,214,176,147,131,77,946,"1,076",914,
2021,2,20,"5,522",743,183,178,77,240,237,189,140,85,"1,322","1,129",999,
2021,2,30,"5,416",784,131,154,86,233,188,141,139,77,"1,191",953,"1,339",
2021,2,40,"7,739","1,055",178,244,116,279,315,272,214,127,"1,748","1,581","1,610",
2021,2,50,"9,596","1,296",399,421,268,507,604,426,385,214,"1,944","1,592","1,540",
2021,2,60,"9,277","1,278",533,589,363,657,765,483,447,300,"1,625","1,218","1,019",
2021,2,70,"5,391",705,323,368,234,424,532,340,276,193,852,639,505,
2021,2,80,"3,384",459,254,231,135,326,381,258,173,109,459,325,274,
2021,2,90,655,80,41,55,35,67,66,38,55,20,90,60,48,
2021,2,100,39,6,2,3,1,0,3,5,1,1,6,6,5,
2021,3,총,"55,061","7,492","2,241","2,435","1,436","3,087","3,334","2,363","2,016","1,248","10,888","9,229","9,292",
2021,3,0,"3,552",514,86,76,46,154,107,76,69,62,734,645,983,
2021,3,10,"4,603",612,113,122,76,215,176,145,127,73,954,"1,062",928,
2021,3,20,"5,510",744,179,176,79,238,235,185,140,87,"1,316","1,130","1,001",
2021,3,30,"5,397",781,130,149,88,225,185,142,142,77,"1,187",948,"1,343",
2021,3,40,"7,677","1,040",179,245,111,269,302,266,211,121,"1,726","1,580","1,627",
2021,3,50,"9,561","1,294",400,421,269,500,593,422,380,208,"1,937","1,593","1,544",
2021,3,60,"9,358","1,287",536,593,362,663,769,490,447,298,"1,635","1,242","1,036",
2021,3,70,"5,334",690,321,363,234,420,528,339,273,190,836,636,504,
2021,3,80,"3,392",448,255,234,135,336,374,254,172,111,471,326,276,
2021,3,90,657,81,40,54,36,66,63,42,55,21,88,63,48,
2021,3,100,20,1,2,2,0,1,2,2,0,0,4,4,2,
2021,4,총,"55,031","7,478","2,255","2,432","1,427","3,070","3,339","2,363","2,033","1,255","10,866","9,196","9,317",
2021,4,0,"3,525",505,83,76,44,149,106,75,73,62,720,643,989,
2021,4,10,"4,582",609,115,122,76,213,175,145,128,72,957,"1,052",918,
2021,4,20,"5,495",744,183,178,77,236,234,182,139,90,"1,298","1,123","1,011",
2021,4,30,"5,376",781,130,147,88,221,185,139,147,78,"1,193",936,"1,331",
2021,4,40,"7,652","1,034",176,244,110,270,302,267,205,121,"1,711","1,576","1,636",
2021,4,50,"9,548","1,291",403,416,265,494,586,420,386,208,"1,943","1,586","1,550",
2021,4,60,"9,433","1,297",546,597,362,665,779,499,453,298,"1,642","1,249","1,046",
2021,4,70,"5,328",693,319,361,235,420,527,338,273,192,832,634,504,
2021,4,80,"3,410",445,259,233,133,334,377,253,172,113,479,330,282,
2021,4,90,661,78,38,56,37,67,66,44,57,21,86,63,48,
2021,4,100,21,1,3,2,0,1,2,1,0,0,5,4,2,
2021,5,총,"55,041","7,441","2,265","2,435","1,438","3,060","3,339","2,365","2,027","1,255","10,869","9,228","9,319",
2021,5,0,"3,501",496,83,81,43,145,106,75,73,62,710,649,978,
2021,5,10,"4,583",612,112,126,79,213,174,142,128,69,958,"1,051",919,
2021,5,20,"5,489",737,181,173,78,237,239,183,135,94,"1,303","1,125","1,004",
2021,5,30,"5,353",771,136,152,85,215,182,136,147,76,"1,185",945,"1,323",
2021,5,40,"7,644","1,029",175,241,111,279,296,270,200,118,"1,714","1,570","1,641",
2021,5,50,"9,523","1,284",400,411,267,481,591,421,387,210,"1,935","1,587","1,549",
2021,5,60,"9,520","1,298",553,598,367,673,776,500,459,297,"1,665","1,269","1,065",
2021,5,70,"5,315",694,325,361,234,411,523,337,270,192,829,633,506,
2021,5,80,"3,433",443,257,235,135,341,384,255,172,116,480,330,285,
2021,5,90,658,76,40,55,39,65,66,45,56,21,84,65,46,
2021,5,100,22,1,3,2,0,0,2,1,0,0,6,4,3,
2021,6,총,"55,127","7,431","2,266","2,435","1,432","3,058","3,338","2,362","2,029","1,293","10,867","9,256","9,360",
2021,6,0,"3,476",489,85,78,44,143,102,73,72,63,701,642,984,
2021,6,10,"4,608",607,109,124,76,210,177,140,127,97,957,"1,056",928,
2021,6,20,"5,517",733,184,170,79,237,247,186,137,99,"1,300","1,137","1,008",
2021,6,30,"5,338",766,131,152,85,216,176,133,144,80,"1,188",943,"1,324",
2021,6,40,"7,625","1,023",179,236,111,278,294,271,201,116,"1,713","1,560","1,643",
2021,6,50,"9,520","1,285",401,415,260,472,589,414,387,210,"1,926","1,602","1,559",
2021,6,60,"9,600","1,308",551,607,369,683,780,506,469,300,"1,673","1,282","1,072",
2021,6,70,"5,320",695,323,361,233,414,526,339,270,190,834,626,509,
2021,6,80,"3,438",446,258,236,137,338,381,251,165,117,485,340,284,
2021,6,90,663,78,42,54,38,67,64,48,57,21,84,64,46,
2021,6,100,22,1,3,2,0,0,2,1,0,0,6,4,3,
2021,7,총,"55,127","7,385","2,283","2,442","1,432","3,060","3,348","2,350","2,038","1,302","10,852","9,251","9,384",
2021,7,0,"3,448",481,84,79,41,141,105,73,72,64,688,638,982,
2021,7,10,"4,609",594,112,124,75,212,175,141,126,102,962,"1,045",941,
2021,7,20,"5,516",727,185,173,78,241,256,183,137,98,"1,295","1,146",997,
2021,7,30,"5,308",758,131,147,87,211,176,129,150,82,"1,181",933,"1,323",
2021,7,40,"7,599","1,012",185,236,113,282,291,260,201,113,"1,696","1,559","1,651",
2021,7,50,"9,517","1,274",402,416,257,466,582,420,386,210,"1,936","1,607","1,561",
2021,7,60,"9,660","1,316",559,614,373,691,786,501,469,305,"1,678","1,287","1,081",
2021,7,70,"5,325",691,321,360,231,413,528,338,277,191,835,625,515,
2021,7,80,"3,462",455,258,236,139,339,382,254,166,114,490,344,285,
2021,7,90,661,76,43,55,38,64,65,50,54,23,85,63,45,
2021,7,100,22,1,3,2,0,0,2,1,0,0,6,4,3,
2021,8,총,"55,158","7,383","2,284","2,435","1,441","3,052","3,347","2,354","2,040","1,283","10,864","9,287","9,388",
2021,8,0,"3,419",477,81,79,40,138,106,67,69,61,685,641,975,
2021,8,10,"4,614",594,113,119,76,209,176,142,128,98,960,"1,050",949,
2021,8,20,"5,502",735,184,176,79,239,252,182,137,91,"1,295","1,149",983,
2021,8,30,"5,287",740,132,146,88,210,178,129,149,81,"1,170",941,"1,323",
2021,8,40,"7,586","1,010",181,235,113,277,288,261,200,110,"1,696","1,560","1,655",
2021,8,50,"9,521","1,272",407,408,260,468,583,427,387,210,"1,933","1,606","1,560",
2021,8,60,"9,723","1,329",560,616,372,693,789,500,480,303,"1,696","1,298","1,087",
2021,8,70,"5,335",691,320,359,232,414,524,340,272,192,840,628,523,
2021,8,80,"3,481",455,259,238,144,341,383,255,166,113,498,344,285,
2021,8,90,667,78,44,57,37,63,66,50,52,24,85,66,45,
2021,8,100,23,2,3,2,0,0,2,1,0,0,6,4,3,
2021,9,총,"55,093","7,366","2,293","2,422","1,434","3,054","3,338","2,361","2,045","1,267","10,855","9,271","9,387",
2021,9,0,"3,376",467,78,77,43,135,104,66,68,60,680,632,966,
2021,9,10,"4,594",592,112,114,74,208,173,143,128,83,969,"1,047",951,
2021,9,20,"5,469",739,185,170,76,242,249,183,135,91,"1,279","1,153",967,
2021,9,30,"5,276",738,133,151,86,213,180,128,149,81,"1,176",922,"1,319",
2021,9,40,"7,584","1,015",183,229,111,276,285,260,199,110,"1,696","1,554","1,666",
2021,9,50,"9,526","1,260",407,404,259,471,581,428,391,207,"1,936","1,612","1,570",
2021,9,60,"9,767","1,332",567,621,372,696,790,506,485,304,"1,692","1,309","1,093",
2021,9,70,"5,286",684,320,356,229,407,521,334,270,193,832,626,514,
2021,9,80,"3,510",459,260,239,146,342,387,259,166,114,503,345,290,
2021,9,90,682,78,45,59,38,64,66,53,54,24,86,67,48,
2021,9,100,23,2,3,2,0,0,2,1,0,0,6,4,3,
2021,10,총,"55,138","7,368","2,310","2,409","1,432","3,050","3,336","2,367","2,058","1,261","10,886","9,262","9,399",
2021,10,0,"3,353",463,81,75,41,132,103,63,69,56,681,635,954,
2021,10,10,"4,579",590,114,112,71,212,171,141,128,81,967,"1,041",951,
2021,10,20,"5,461",740,192,166,80,233,247,185,135,89,"1,281","1,142",971,
2021,10,30,"5,274",737,131,150,86,217,181,131,152,76,"1,186",919,"1,308",
2021,10,40,"7,582","1,009",185,223,108,282,283,259,198,115,"1,701","1,548","1,671",
2021,10,50,"9,533","1,268",404,405,258,469,576,433,397,203,"1,930","1,619","1,571",
2021,10,60,"9,833","1,335",570,627,375,694,793,507,489,308,"1,712","1,314","1,109",
2021,10,70,"5,284",683,324,351,228,407,523,332,271,193,828,627,517,
2021,10,80,"3,529",464,262,242,146,339,386,262,165,114,508,348,293,
2021,10,90,687,77,45,56,39,65,70,53,54,26,86,65,51,
2021,10,100,23,2,2,2,0,0,3,1,0,0,6,4,3,
2021,11,총,"55,155","7,373","2,310","2,416","1,421","3,038","3,335","2,361","2,072","1,279","10,901","9,250","9,399",
2021,11,0,"3,328",458,80,76,40,128,103,62,66,55,679,629,952,
2021,11,10,"4,588",592,111,110,70,211,174,142,131,86,968,"1,038",955,
2021,11,20,"5,438",744,188,167,77,229,240,184,139,89,"1,276","1,129",976,
2021,11,30,"5,265",736,134,148,87,217,184,131,151,74,"1,183",923,"1,297",
2021,11,40,"7,603","1,015",185,223,107,279,287,259,203,123,"1,703","1,547","1,672",
2021,11,50,"9,517","1,264",403,403,256,470,567,428,395,206,"1,942","1,616","1,567",
2021,11,60,"9,902","1,342",574,638,378,695,803,505,496,307,"1,725","1,320","1,119",
2021,11,70,"5,267",680,325,350,224,404,519,335,272,196,826,625,511,
2021,11,80,"3,542",462,262,243,145,340,387,263,166,117,506,352,299,
2021,11,90,683,78,46,56,37,65,68,52,53,26,88,66,48,
2021,11,100,22,2,2,2,0,0,3,0,0,0,5,5,3,
2021,12,총,"55,128","7,339","2,304","2,408","1,427",0,"3,336","2,347","2,074","1,271","10,893","9,284","9,405","3,040"
2021,12,0,"3,316",454,84,76,41,0,103,62,64,54,671,637,942,128
2021,12,10,"4,557",589,104,107,70,0,172,138,125,81,967,"1,042",953,209
2021,12,20,"5,419",731,185,170,75,0,242,186,137,89,"1,260","1,128",980,236
2021,12,30,"5,252",740,132,147,87,0,181,128,148,74,"1,176",922,"1,297",220
2021,12,40,"7,580","1,000",188,218,111,0,283,255,198,122,"1,706","1,555","1,672",272
2021,12,50,"9,530","1,262",400,404,260,0,567,426,398,205,"1,944","1,629","1,569",466
2021,12,60,"9,935","1,340",577,636,379,0,814,506,504,305,"1,736","1,317","1,126",695
2021,12,70,"5,263",686,323,347,219,0,514,332,275,198,823,634,512,400
2021,12,80,"3,561",456,259,244,147,0,390,261,171,116,515,351,300,351
2021,12,90,694,79,50,56,38,0,68,53,54,27,90,65,51,63
2021,12,100,21,2,2,3,0,0,2,0,0,0,5,4,3,0
