년도,월,나이,오산시,중앙동,남촌동,신장동,세마동,초평동,대원동
2020,11,20,"16,890","2,336","2,121","3,766","2,171","1,195","5,301"
2020,11,30,"21,086","2,903","3,117","5,161","3,182","1,296","5,427"
2020,11,40,"22,909","3,452","2,274","6,112","3,150","1,583","6,338"
2020,11,50,"17,293","2,737","1,761","4,257","2,127","1,306","5,105"
2020,11,60,"9,788","1,548",941,"2,634","1,323",714,"2,628"
2020,11,70,"4,308",674,382,"1,224",536,331,"1,161"
2020,11,80,"1,448",256,128,381,150,115,418
2020,11,90,101,14,6,29,10,7,35
2020,11,100,12,2,2,3,1,3,1
2020,12,총,"118,785","18,123","11,829","30,735","16,375","8,335","33,388"
2020,12,0,"12,105","2,111",460,"3,628","2,040",740,"3,126"
2020,12,10,"12,682","2,084",577,"3,510","1,672","1,028","3,811"
2020,12,20,"16,928","2,330","2,139","3,772","2,187","1,197","5,303"
2020,12,30,"21,067","2,897","3,133","5,147","3,155","1,310","5,425"
2020,12,40,"22,913","3,445","2,288","6,120","3,165","1,579","6,316"
2020,12,50,"17,350","2,751","1,774","4,273","2,128","1,303","5,121"
2020,12,60,"9,839","1,558",940,"2,650","1,317",720,"2,654"
2020,12,70,"4,321",672,382,"1,221",545,331,"1,170"
2020,12,80,"1,466",261,128,381,156,117,423
2020,12,90,102,12,6,30,9,7,38
2020,12,100,12,2,2,3,1,3,1
2021,1,총,"118,964","18,100","11,859","30,781","16,401","8,362","33,461"
2021,1,0,"11,972","2,063",446,"3,603","2,020",728,"3,112"
2021,1,10,"12,713","2,077",581,"3,536","1,685","1,028","3,806"
2021,1,20,"16,960","2,351","2,129","3,756","2,168","1,226","5,330"
2021,1,30,"20,968","2,840","3,130","5,145","3,147","1,299","5,407"
2021,1,40,"23,022","3,464","2,324","6,130","3,185","1,589","6,330"
2021,1,50,"17,438","2,766","1,785","4,279","2,155","1,306","5,147"
2021,1,60,"9,941","1,570",941,"2,682","1,326",729,"2,693"
2021,1,70,"4,358",690,387,"1,232",549,330,"1,170"
2021,1,80,"1,474",264,128,383,156,116,427
2021,1,90,106,13,6,32,9,8,38
2021,1,100,12,2,2,3,1,3,1
2021,2,총,"119,237","18,070","11,970","30,871","16,364","8,377","33,585"
2021,2,0,"11,903","2,038",446,"3,579","2,002",723,"3,115"
2021,2,10,"12,712","2,069",594,"3,551","1,691","1,019","3,788"
2021,2,20,"17,014","2,355","2,139","3,790","2,144","1,235","5,351"
2021,2,30,"20,896","2,804","3,164","5,114","3,125","1,290","5,399"
2021,2,40,"23,139","3,470","2,356","6,174","3,191","1,601","6,347"
2021,2,50,"17,518","2,772","1,800","4,278","2,154","1,309","5,205"
2021,2,60,"10,081","1,590",947,"2,726","1,348",740,"2,730"
2021,2,70,"4,364",687,387,"1,240",544,332,"1,174"
2021,2,80,"1,494",271,129,383,156,118,437
2021,2,90,104,12,6,33,8,7,38
2021,2,100,12,2,2,3,1,3,1
2021,3,총,"119,343","18,053","12,034","30,851","16,429","8,370","33,606"
2021,3,0,"11,827","2,023",438,"3,559","2,010",714,"3,083"
2021,3,10,"12,729","2,071",595,"3,565","1,701","1,012","3,785"
2021,3,20,"17,043","2,334","2,177","3,774","2,149","1,228","5,381"
2021,3,30,"20,875","2,791","3,178","5,096","3,131","1,281","5,398"
2021,3,40,"23,155","3,468","2,366","6,157","3,210","1,609","6,345"
2021,3,50,"17,517","2,769","1,799","4,278","2,160","1,303","5,208"
2021,3,60,"10,229","1,618",961,"2,763","1,372",760,"2,755"
2021,3,70,"4,352",688,388,"1,231",537,334,"1,174"
2021,3,80,"1,506",277,128,391,153,119,438
2021,3,90,101,12,4,34,6,7,38
2021,3,100,9,2,0,3,0,3,1
2021,4,총,"119,513","18,039","12,094","30,973","16,401","8,347","33,659"
2021,4,0,"11,753","2,011",434,"3,543","2,001",695,"3,069"
2021,4,10,"12,722","2,063",592,"3,586","1,693","1,010","3,778"
2021,4,20,"17,109","2,350","2,210","3,796","2,145","1,227","5,381"
2021,4,30,"20,831","2,765","3,183","5,081","3,118","1,275","5,409"
2021,4,40,"23,201","3,460","2,395","6,192","3,208","1,600","6,346"
2021,4,50,"17,606","2,783","1,791","4,302","2,167","1,313","5,250"
2021,4,60,"10,288","1,625",967,"2,804","1,371",757,"2,764"
2021,4,70,"4,369",686,387,"1,232",543,341,"1,180"
2021,4,80,"1,526",282,132,402,148,119,443
2021,4,90,99,12,3,32,7,7,38
2021,4,100,9,2,0,3,0,3,1
2021,5,총,"119,532","17,997","12,117","30,950","16,460","8,316","33,692"
2021,5,0,"11,705","2,010",427,"3,522","1,997",688,"3,061"
2021,5,10,"12,741","2,053",594,"3,598","1,698","1,007","3,791"
2021,5,20,"17,065","2,342","2,195","3,773","2,167","1,214","5,374"
2021,5,30,"20,769","2,746","3,188","5,064","3,114","1,262","5,395"
2021,5,40,"23,217","3,445","2,416","6,200","3,215","1,592","6,349"
2021,5,50,"17,631","2,783","1,798","4,296","2,182","1,313","5,259"
2021,5,60,"10,389","1,637",974,"2,822","1,387",771,"2,798"
2021,5,70,"4,368",685,390,"1,236",544,339,"1,174"
2021,5,80,"1,538",284,132,403,148,119,452
2021,5,90,102,12,3,33,8,8,38
2021,5,100,7,0,0,3,0,3,1
2021,6,총,"119,561","17,987","12,117","30,958","16,458","8,321","33,720"
2021,6,0,"11,653","2,002",419,"3,500","1,996",687,"3,049"
2021,6,10,"12,735","2,048",586,"3,609","1,706","1,011","3,775"
2021,6,20,"17,051","2,337","2,192","3,777","2,157","1,209","5,379"
2021,6,30,"20,696","2,729","3,179","5,030","3,098","1,264","5,396"
2021,6,40,"23,276","3,451","2,422","6,212","3,227","1,598","6,366"
2021,6,50,"17,613","2,782","1,805","4,302","2,172","1,301","5,251"
2021,6,60,"10,492","1,654",992,"2,849","1,399",780,"2,818"
2021,6,70,"4,379",684,384,"1,239",548,335,"1,189"
2021,6,80,"1,554",288,135,402,148,124,457
2021,6,90,105,12,3,35,7,9,39
2021,6,100,7,0,0,3,0,3,1
2021,7,총,"119,588","17,979","12,209","30,972","16,414","8,334","33,680"
2021,7,0,"11,577","1,998",418,"3,477","1,967",683,"3,034"
2021,7,10,"12,744","2,056",582,"3,608","1,717","1,004","3,777"
2021,7,20,"17,051","2,328","2,211","3,764","2,149","1,217","5,382"
2021,7,30,"20,679","2,716","3,212","5,035","3,064","1,266","5,386"
2021,7,40,"23,252","3,435","2,434","6,217","3,237","1,591","6,338"
2021,7,50,"17,638","2,788","1,828","4,306","2,163","1,308","5,245"
2021,7,60,"10,568","1,672",994,"2,865","1,408",794,"2,835"
2021,7,70,"4,396",684,388,"1,256",550,335,"1,183"
2021,7,80,"1,570",290,139,406,152,124,459
2021,7,90,106,12,3,35,7,9,40
2021,7,100,7,0,0,3,0,3,1
2021,8,총,"119,590","17,935","12,271","30,942","16,409","8,312","33,721"
2021,8,0,"11,460","1,966",419,"3,426","1,959",676,"3,014"
2021,8,10,"12,725","2,051",578,"3,626","1,701",996,"3,773"
2021,8,20,"17,030","2,312","2,209","3,748","2,168","1,212","5,381"
2021,8,30,"20,600","2,709","3,239","4,982","3,035","1,268","5,367"
2021,8,40,"23,314","3,417","2,456","6,237","3,239","1,585","6,380"
2021,8,50,"17,697","2,792","1,832","4,329","2,178","1,307","5,259"
2021,8,60,"10,664","1,693","1,010","2,889","1,412",795,"2,865"
2021,8,70,"4,395",690,381,"1,257",552,335,"1,180"
2021,8,80,"1,590",292,144,409,158,126,461
2021,8,90,108,13,3,36,7,9,40
2021,8,100,7,0,0,3,0,3,1
2021,9,총,"119,558","17,929","12,333","30,888","16,385","8,326","33,697"
2021,9,0,"11,349","1,927",413,"3,409","1,947",667,"2,986"
2021,9,10,"12,731","2,066",582,"3,624","1,706",986,"3,767"
2021,9,20,"17,021","2,312","2,250","3,716","2,148","1,222","5,373"
2021,9,30,"20,532","2,706","3,239","4,929","3,010","1,273","5,375"
2021,9,40,"23,317","3,405","2,453","6,255","3,241","1,583","6,380"
2021,9,50,"17,735","2,807","1,840","4,327","2,190","1,316","5,255"
2021,9,60,"10,748","1,705","1,028","2,906","1,425",805,"2,879"
2021,9,70,"4,404",695,380,"1,271",554,331,"1,173"
2021,9,80,"1,604",294,144,412,156,131,467
2021,9,90,110,12,4,36,8,9,41
2021,9,100,7,0,0,3,0,3,1
2021,10,총,"119,588","17,907","12,347","30,872","16,382","8,371","33,709"
2021,10,0,"11,280","1,902",412,"3,394","1,929",667,"2,976"
2021,10,10,"12,738","2,065",575,"3,635","1,707",985,"3,771"
2021,10,20,"17,009","2,313","2,252","3,694","2,151","1,244","5,355"
2021,10,30,"20,477","2,697","3,233","4,898","2,981","1,285","5,383"
2021,10,40,"23,358","3,403","2,467","6,293","3,239","1,585","6,371"
2021,10,50,"17,769","2,822","1,844","4,306","2,208","1,314","5,275"
2021,10,60,"10,815","1,703","1,041","2,920","1,441",814,"2,896"
2021,10,70,"4,417",700,375,"1,279",556,332,"1,175"
2021,10,80,"1,607",289,144,415,162,133,464
2021,10,90,111,13,4,35,8,9,42
2021,10,100,7,0,0,3,0,3,1
2021,11,총,"119,461","17,875","12,299","30,836","16,382","8,359","33,710"
2021,11,0,"11,166","1,883",404,"3,363","1,924",652,"2,940"
2021,11,10,"12,739","2,065",568,"3,651","1,702",992,"3,761"
2021,11,20,"16,961","2,296","2,223","3,681","2,159","1,239","5,363"
2021,11,30,"20,384","2,684","3,219","4,863","2,960","1,290","5,368"
2021,11,40,"23,370","3,389","2,472","6,306","3,251","1,578","6,374"
2021,11,50,"17,826","2,849","1,839","4,319","2,215","1,315","5,289"
2021,11,60,"10,861","1,709","1,047","2,923","1,443",821,"2,918"
2021,11,70,"4,406",696,373,"1,272",555,328,"1,182"
2021,11,80,"1,626",290,149,419,165,132,471
2021,11,90,116,14,5,37,8,9,43
2021,11,100,6,0,0,2,0,3,1
2021,12,총,"119,409","17,837","12,330","30,825","16,384","8,361","33,672"
2021,12,0,"11,092","1,868",405,"3,344","1,917",645,"2,913"
2021,12,10,"12,742","2,060",562,"3,682","1,699",993,"3,746"
2021,12,20,"16,891","2,288","2,220","3,659","2,154","1,239","5,331"
2021,12,30,"20,355","2,672","3,241","4,814","2,963","1,289","5,376"
2021,12,40,"23,409","3,379","2,471","6,339","3,253","1,581","6,386"
2021,12,50,"17,830","2,837","1,848","4,319","2,221","1,319","5,286"
2021,12,60,"10,933","1,731","1,057","2,940","1,451",825,"2,929"
2021,12,70,"4,397",692,369,"1,260",558,333,"1,185"
2021,12,80,"1,640",294,152,430,160,128,476
2021,12,90,118,16,5,37,8,9,43
2021,12,100,2,0,0,1,0,0,1
