년도,월,나이,북구,농소1동,농소2동,농소3동,강동동,효문동,송정동,양정동,염포동
2020,5,총,"113,001","19,239","20,498","19,995","8,383","15,970","17,685","5,774","5,457"
2020,5,0,"13,324","2,476","2,899","2,074","1,369","1,452","2,267",377,410
2020,5,10,"12,364","2,024","2,406","3,342",621,"1,271","1,845",421,434
2020,5,20,"15,711","2,413","2,493","2,738",686,"2,682","2,710","1,171",818
2020,5,30,"18,136","3,047","3,421","1,987","1,851","2,818","3,143","1,006",863
2020,5,40,"19,622","3,461","3,831","4,104","1,469","2,351","2,712",834,860
2020,5,50,"20,024","3,223","3,212","3,803","1,095","3,311","3,226","1,164",990
2020,5,60,"9,607","1,784","1,537","1,253",873,"1,533","1,283",571,773
2020,5,70,"3,289",649,536,534,311,435,395,191,238
2020,5,80,852,148,154,145,96,107,99,36,67
2020,5,90,69,13,9,15,12,9,5,3,3
2020,5,100,3,1,0,0,0,1,0,0,1
2020,6,총,"113,189","19,229","20,532","19,996","8,419","15,959","17,828","5,768","5,458"
2020,6,0,"13,310","2,466","2,905","2,049","1,367","1,448","2,291",375,409
2020,6,10,"12,330","2,032","2,411","3,323",628,"1,260","1,835",411,430
2020,6,20,"15,784","2,399","2,499","2,760",689,"2,683","2,760","1,174",820
2020,6,30,"18,175","3,029","3,431","1,995","1,847","2,829","3,176","1,007",861
2020,6,40,"19,609","3,474","3,820","4,084","1,482","2,337","2,719",835,858
2020,6,50,"20,024","3,215","3,206","3,815","1,099","3,306","3,244","1,151",988
2020,6,60,"9,713","1,792","1,556","1,271",886,"1,540","1,304",584,780
2020,6,70,"3,306",656,539,535,309,442,394,192,239
2020,6,80,866,152,155,149,100,105,100,36,69
2020,6,90,69,13,10,15,12,8,5,3,3
2020,6,100,3,1,0,0,0,1,0,0,1
2020,7,총,"113,253","19,219","20,568","19,967","8,416","15,985","17,857","5,789","5,452"
2020,7,0,"13,258","2,465","2,895","2,022","1,354","1,446","2,295",378,403
2020,7,10,"12,327","2,031","2,424","3,317",632,"1,247","1,834",412,430
2020,7,20,"15,814","2,403","2,503","2,761",685,"2,697","2,762","1,183",820
2020,7,30,"18,088","2,985","3,436","1,985","1,838","2,821","3,160","1,009",854
2020,7,40,"19,659","3,501","3,812","4,082","1,489","2,347","2,730",832,866
2020,7,50,"20,018","3,206","3,214","3,818","1,105","3,307","3,246","1,139",983
2020,7,60,"9,826","1,804","1,569","1,285",890,"1,563","1,327",601,787
2020,7,70,"3,328",661,549,535,312,441,399,196,235
2020,7,80,863,149,156,147,99,107,99,36,70
2020,7,90,69,13,10,15,12,8,5,3,3
2020,7,100,3,1,0,0,0,1,0,0,1
2020,8,총,"113,233","19,191","20,610","19,924","8,443","15,946","17,901","5,770","5,448"
2020,8,0,"13,209","2,455","2,874","2,011","1,356","1,439","2,300",373,401
2020,8,10,"12,320","2,017","2,443","3,313",637,"1,236","1,835",410,429
2020,8,20,"15,750","2,388","2,495","2,742",674,"2,685","2,764","1,182",820
2020,8,30,"18,040","2,990","3,430","1,966","1,838","2,812","3,157","1,002",845
2020,8,40,"19,650","3,487","3,827","4,066","1,510","2,346","2,725",817,872
2020,8,50,"20,035","3,202","3,232","3,819","1,100","3,288","3,272","1,140",982
2020,8,60,"9,938","1,819","1,588","1,312",905,"1,579","1,340",608,787
2020,8,70,"3,347",668,552,529,312,446,404,200,236
2020,8,80,874,152,159,152,100,106,99,34,72
2020,8,90,66,12,10,14,11,8,5,4,2
2020,8,100,4,1,0,0,0,1,0,0,2
2020,9,총,"113,315","19,179","20,616","19,930","8,466","15,963","17,927","5,790","5,444"
2020,9,0,"13,136","2,433","2,866","1,985","1,350","1,431","2,297",379,395
2020,9,10,"12,350","2,028","2,427","3,336",654,"1,228","1,837",408,432
2020,9,20,"15,752","2,387","2,494","2,745",671,"2,703","2,745","1,187",820
2020,9,30,"18,012","2,985","3,417","1,940","1,822","2,827","3,181",998,842
2020,9,40,"19,680","3,482","3,858","4,056","1,533","2,342","2,710",829,870
2020,9,50,"20,020","3,196","3,223","3,829","1,091","3,270","3,290","1,137",984
2020,9,60,"10,042","1,826","1,606","1,340",917,"1,597","1,355",613,788
2020,9,70,"3,380",677,558,531,316,448,408,203,239
2020,9,80,872,151,157,153,101,108,99,32,71
2020,9,90,67,13,10,15,11,8,5,4,1
2020,9,100,4,1,0,0,0,1,0,0,2
2020,10,총,"113,337","19,141","20,622","19,916","8,473","15,982","17,995","5,786","5,422"
2020,10,0,"13,048","2,404","2,853","1,962","1,344","1,427","2,292",380,386
2020,10,10,"12,352","2,024","2,435","3,334",654,"1,212","1,848",408,437
2020,10,20,"15,764","2,367","2,494","2,756",679,"2,715","2,752","1,191",810
2020,10,30,"17,933","2,977","3,405","1,923","1,795","2,830","3,178",992,833
2020,10,40,"19,689","3,483","3,847","4,031","1,549","2,331","2,743",825,880
2020,10,50,"20,021","3,185","3,233","3,854","1,097","3,264","3,277","1,134",977
2020,10,60,"10,184","1,858","1,631","1,349",923,"1,632","1,384",618,789
2020,10,70,"3,396",675,560,538,319,454,412,202,236
2020,10,80,879,154,154,154,103,108,103,32,71
2020,10,90,67,13,10,15,10,8,6,4,1
2020,10,100,4,1,0,0,0,1,0,0,2
2020,11,총,"113,325","19,154","20,596","19,895","8,488","15,993","18,018","5,765","5,416"
2020,11,0,"12,998","2,395","2,836","1,948","1,337","1,434","2,294",374,380
2020,11,10,"12,352","2,032","2,443","3,329",661,"1,202","1,844",408,433
2020,11,20,"15,725","2,354","2,479","2,757",687,"2,705","2,751","1,183",809
2020,11,30,"17,862","2,983","3,378","1,909","1,773","2,835","3,165",993,826
2020,11,40,"19,717","3,490","3,877","4,007","1,559","2,326","2,759",820,879
2020,11,50,"20,014","3,167","3,217","3,872","1,105","3,280","3,275","1,121",977
2020,11,60,"10,278","1,885","1,640","1,358",928,"1,637","1,401",630,799
2020,11,70,"3,427",676,562,547,324,456,420,202,240
2020,11,80,883,158,154,153,104,110,103,31,70
2020,11,90,65,13,10,15,10,7,6,3,1
2020,11,100,4,1,0,0,0,1,0,0,2
2020,12,총,"113,392","19,145","20,601","19,898","8,519","15,972","18,071","5,792","5,394"
2020,12,0,"12,989","2,392","2,838","1,943","1,342","1,432","2,293",369,380
2020,12,10,"12,333","2,026","2,450","3,315",674,"1,185","1,837",411,435
2020,12,20,"15,677","2,330","2,464","2,756",682,"2,682","2,750","1,217",796
2020,12,30,"17,843","2,977","3,386","1,903","1,767","2,838","3,165",989,818
2020,12,40,"19,748","3,492","3,870","3,996","1,580","2,320","2,788",824,878
2020,12,50,"19,992","3,178","3,200","3,882","1,099","3,270","3,270","1,116",977
2020,12,60,"10,413","1,902","1,668","1,388",933,"1,670","1,424",631,797
2020,12,70,"3,442",681,560,545,331,452,434,201,238
2020,12,80,885,153,155,155,101,114,104,31,72
2020,12,90,66,13,10,15,10,8,6,3,1
2020,12,100,4,1,0,0,0,1,0,0,2
2021,1,총,"113,499","19,080","20,560","19,855","8,490","15,979","18,301","5,817","5,417"
2021,1,0,"12,907","2,380","2,819","1,913","1,328","1,426","2,289",371,381
2021,1,10,"12,305","2,017","2,424","3,306",685,"1,184","1,855",402,432
2021,1,20,"15,687","2,305","2,453","2,757",671,"2,669","2,784","1,243",805
2021,1,30,"17,769","2,930","3,373","1,878","1,742","2,840","3,189",988,829
2021,1,40,"19,821","3,512","3,879","3,989","1,581","2,325","2,839",821,875
2021,1,50,"19,965","3,156","3,194","3,885","1,100","3,254","3,290","1,109",977
2021,1,60,"10,600","1,923","1,690","1,412",943,"1,700","1,488",641,803
2021,1,70,"3,482",686,562,544,330,462,455,205,238
2021,1,80,895,157,156,157,101,111,105,34,74
2021,1,90,63,13,10,13,9,7,7,3,1
2021,1,100,5,1,0,1,0,1,0,0,2
2021,2,총,"113,324","19,043","20,489","19,788","8,482","15,978","18,339","5,817","5,388"
2021,2,0,"12,816","2,361","2,794","1,914","1,316","1,414","2,278",363,376
2021,2,10,"12,270","2,014","2,409","3,277",685,"1,179","1,869",411,426
2021,2,20,"15,593","2,295","2,426","2,734",685,"2,664","2,758","1,224",807
2021,2,30,"17,644","2,915","3,350","1,855","1,717","2,841","3,156",995,815
2021,2,40,"19,872","3,522","3,881","3,978","1,590","2,318","2,876",827,880
2021,2,50,"19,919","3,138","3,182","3,881","1,094","3,244","3,302","1,112",966
2021,2,60,"10,740","1,939","1,714","1,430",955,"1,731","1,523",643,805
2021,2,70,"3,494",686,564,548,329,463,466,204,234
2021,2,80,906,158,158,158,102,115,104,35,76
2021,2,90,64,14,11,12,9,7,7,3,1
2021,2,100,6,1,0,1,0,2,0,0,2
2021,3,총,"113,172","18,996","20,467","19,781","8,462","15,968","18,361","5,767","5,370"
2021,3,0,"12,784","2,340","2,784","1,900","1,318","1,427","2,275",365,375
2021,3,10,"12,220","2,006","2,410","3,260",687,"1,154","1,875",401,427
2021,3,20,"15,547","2,308","2,408","2,745",670,"2,666","2,738","1,210",802
2021,3,30,"17,594","2,908","3,357","1,871","1,697","2,826","3,136",983,816
2021,3,40,"19,848","3,505","3,883","3,953","1,590","2,313","2,904",828,872
2021,3,50,"19,822","3,116","3,161","3,878","1,089","3,227","3,291","1,111",949
2021,3,60,"10,865","1,953","1,730","1,450",963,"1,761","1,559",631,818
2021,3,70,"3,509",689,564,552,331,469,473,201,230
2021,3,80,917,158,159,159,108,116,104,35,78
2021,3,90,62,13,11,12,9,8,6,2,1
2021,3,100,4,0,0,1,0,1,0,0,2
2021,4,총,"113,162","18,991","20,447","19,754","8,468","15,950","18,387","5,791","5,374"
2021,4,0,"12,707","2,325","2,762","1,878","1,312","1,423","2,280",356,371
2021,4,10,"12,239","2,021","2,416","3,254",694,"1,142","1,880",406,426
2021,4,20,"15,539","2,319","2,401","2,745",661,"2,659","2,734","1,217",803
2021,4,30,"17,501","2,871","3,343","1,857","1,688","2,816","3,116",996,814
2021,4,40,"19,891","3,508","3,884","3,953","1,603","2,314","2,914",839,876
2021,4,50,"19,787","3,108","3,158","3,863","1,093","3,214","3,301","1,104",946
2021,4,60,"10,975","1,980","1,749","1,471",967,"1,780","1,573",630,825
2021,4,70,"3,526",685,565,557,331,474,478,204,232
2021,4,80,929,160,158,163,110,119,104,37,78
2021,4,90,64,14,11,12,9,8,7,2,1
2021,4,100,4,0,0,1,0,1,0,0,2
2021,5,총,"113,119","18,966","20,422","19,742","8,458","15,945","18,389","5,829","5,368"
2021,5,0,"12,653","2,314","2,746","1,856","1,305","1,413","2,281",361,377
2021,5,10,"12,221","2,016","2,408","3,259",701,"1,134","1,868",410,425
2021,5,20,"15,554","2,320","2,403","2,749",666,"2,652","2,733","1,231",800
2021,5,30,"17,417","2,851","3,328","1,833","1,670","2,816","3,110","1,009",800
2021,5,40,"19,854","3,489","3,886","3,936","1,602","2,318","2,906",838,879
2021,5,50,"19,759","3,116","3,147","3,880","1,083","3,197","3,299","1,095",942
2021,5,60,"11,093","1,999","1,755","1,489",978,"1,803","1,598",639,832
2021,5,70,"3,562",687,578,563,334,480,479,207,234
2021,5,80,934,159,160,164,109,123,106,37,76
2021,5,90,68,15,11,12,10,8,9,2,1
2021,5,100,4,0,0,1,0,1,0,0,2
2021,6,총,"113,009","18,949","20,421","19,731","8,441","15,892","18,400","5,811","5,364"
2021,6,0,"12,608","2,319","2,733","1,840","1,296","1,413","2,274",357,376
2021,6,10,"12,220","2,016","2,411","3,257",709,"1,124","1,869",409,425
2021,6,20,"15,462","2,299","2,401","2,749",650,"2,610","2,718","1,232",803
2021,6,30,"17,340","2,834","3,312","1,825","1,648","2,822","3,103","1,002",794
2021,6,40,"19,855","3,499","3,894","3,927","1,616","2,301","2,907",835,876
2021,6,50,"19,730","3,093","3,159","3,879","1,082","3,184","3,308","1,086",939
2021,6,60,"11,202","2,025","1,757","1,516",979,"1,821","1,623",645,836
2021,6,70,"3,578",690,584,557,341,484,481,205,236
2021,6,80,941,159,159,167,110,124,108,38,76
2021,6,90,69,15,11,13,10,8,9,2,1
2021,6,100,4,0,0,1,0,1,0,0,2
2021,7,총,"112,942","18,924","20,366","19,696","8,460","15,925","18,398","5,803","5,370"
2021,7,0,"12,573","2,309","2,722","1,834","1,302","1,417","2,262",355,372
2021,7,10,"12,256","2,017","2,420","3,253",715,"1,127","1,888",404,432
2021,7,20,"15,351","2,275","2,373","2,736",647,"2,596","2,681","1,246",797
2021,7,30,"17,279","2,828","3,290","1,796","1,633","2,854","3,083",994,801
2021,7,40,"19,844","3,496","3,868","3,924","1,630","2,300","2,923",830,873
2021,7,50,"19,697","3,097","3,160","3,875","1,079","3,166","3,306","1,075",939
2021,7,60,"11,325","2,039","1,775","1,537",990,"1,845","1,650",653,836
2021,7,70,"3,597",690,585,560,343,487,487,206,239
2021,7,80,947,157,162,167,111,125,109,38,78
2021,7,90,69,16,11,13,10,7,9,2,1
2021,7,100,4,0,0,1,0,1,0,0,2
2021,8,총,"112,835","18,891","20,388","19,624","8,458","15,896","18,412","5,799","5,367"
2021,8,0,"12,529","2,296","2,721","1,814","1,297","1,416","2,259",352,374
2021,8,10,"12,236","2,016","2,426","3,241",721,"1,119","1,889",399,425
2021,8,20,"15,263","2,243","2,373","2,708",642,"2,588","2,656","1,258",795
2021,8,30,"17,190","2,825","3,252","1,781","1,615","2,846","3,077",989,805
2021,8,40,"19,831","3,491","3,889","3,894","1,645","2,281","2,935",827,869
2021,8,50,"19,704","3,107","3,173","3,884","1,073","3,161","3,308","1,065",933
2021,8,60,"11,434","2,045","1,790","1,554","1,003","1,857","1,680",663,842
2021,8,70,"3,621",697,592,564,340,496,484,206,242
2021,8,80,954,156,161,170,112,124,115,38,78
2021,8,90,69,15,11,13,10,7,9,2,2
2021,8,100,4,0,0,1,0,1,0,0,2
2021,9,총,"112,757","18,897","20,410","19,584","8,436","15,858","18,420","5,802","5,350"
2021,9,0,"12,482","2,288","2,722","1,799","1,285","1,407","2,252",356,373
2021,9,10,"12,259","2,026","2,440","3,239",727,"1,105","1,904",397,421
2021,9,20,"15,150","2,221","2,350","2,689",637,"2,573","2,627","1,259",794
2021,9,30,"17,112","2,807","3,249","1,782","1,587","2,827","3,073",988,799
2021,9,40,"19,827","3,501","3,902","3,860","1,654","2,272","2,943",827,868
2021,9,50,"19,742","3,114","3,177","3,906","1,076","3,162","3,311","1,059",937
2021,9,60,"11,497","2,057","1,802","1,558","1,005","1,881","1,690",670,834
2021,9,70,"3,651",707,595,568,344,497,490,207,243
2021,9,80,963,161,162,169,111,126,120,37,77
2021,9,90,70,15,11,13,10,7,10,2,2
2021,9,100,4,0,0,1,0,1,0,0,2
2021,10,총,"112,783","18,892","20,464","19,542","8,423","15,857","18,462","5,795","5,348"
2021,10,0,"12,459","2,277","2,713","1,781","1,291","1,411","2,252",357,377
2021,10,10,"12,253","2,018","2,450","3,228",729,"1,097","1,915",397,419
2021,10,20,"15,054","2,205","2,350","2,680",623,"2,548","2,598","1,254",796
2021,10,30,"17,088","2,797","3,245","1,775","1,569","2,856","3,068",991,787
2021,10,40,"19,851","3,513","3,919","3,836","1,663","2,268","2,963",824,865
2021,10,50,"19,789","3,127","3,192","3,921","1,078","3,145","3,332","1,052",942
2021,10,60,"11,570","2,066","1,825","1,564",996,"1,898","1,711",674,836
2021,10,70,"3,671",713,592,573,351,501,490,206,245
2021,10,80,972,160,166,170,113,125,123,38,77
2021,10,90,72,16,12,13,10,7,10,2,2
2021,10,100,4,0,0,1,0,1,0,0,2
2021,11,총,"113,003","18,837","20,921","19,459","8,429","15,805","18,473","5,744","5,335"
2021,11,0,"12,412","2,257","2,764","1,755","1,291","1,389","2,234",347,375
2021,11,10,"12,277","2,014","2,491","3,216",727,"1,091","1,923",396,419
2021,11,20,"15,012","2,180","2,400","2,657",621,"2,540","2,599","1,232",783
2021,11,30,"17,106","2,778","3,365","1,765","1,563","2,825","3,042",981,787
2021,11,40,"19,936","3,517","3,998","3,812","1,661","2,273","2,990",823,862
2021,11,50,"19,805","3,113","3,256","3,913","1,077","3,142","3,328","1,043",933
2021,11,60,"11,683","2,082","1,860","1,580","1,010","1,903","1,729",675,844
2021,11,70,"3,709",715,605,570,356,512,495,206,250
2021,11,80,986,164,171,176,112,123,123,39,78
2021,11,90,74,17,11,14,11,7,10,2,2
2021,11,100,3,0,0,1,0,0,0,0,2
2021,12,총,"113,265","18,825","21,216","19,387","8,410","15,820","18,515","5,734","5,358"
2021,12,0,"12,400","2,239","2,815","1,737","1,274","1,395","2,222",343,375
2021,12,10,"12,289","2,023","2,510","3,201",734,"1,084","1,924",393,420
2021,12,20,"15,040","2,172","2,437","2,657",611,"2,539","2,604","1,233",787
2021,12,30,"17,110","2,765","3,423","1,738","1,556","2,820","3,030",981,797
2021,12,40,"20,001","3,520","4,050","3,789","1,668","2,278","3,012",826,858
2021,12,50,"19,842","3,112","3,304","3,910","1,075","3,133","3,329","1,037",942
2021,12,60,"11,777","2,090","1,891","1,592","1,009","1,918","1,757",673,847
2021,12,70,"3,726",719,604,567,359,518,501,206,252
2021,12,80,"1,006",170,171,182,111,128,126,40,78
2021,12,90,73,15,11,13,13,7,10,2,2
2021,12,100,1,0,0,1,0,0,0,0,0
