년도,월,나이,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020,7,총,"258,624","7,879","10,810","10,026","12,704","12,779","7,223","14,359","12,600","19,382","9,648","17,443","17,468","10,566","15,904","3,288","10,862","8,839","21,337","11,858","7,835","8,685","7,129"
2020,7,0,"19,534",525,363,599,"1,085","1,214",499,"1,342","1,115","1,099",393,562,"1,586",892,"1,533",207,849,591,"2,385","1,273",390,672,360
2020,7,10,"30,883",865,437,681,"1,363","1,211",812,"1,886","3,127","3,867","1,394",723,"2,638","1,073","2,088",293,"1,281",842,"2,249","1,937",703,"1,110",303
2020,7,20,"35,823","1,077","2,120","1,557","1,525","1,782","1,159","1,861","1,258","2,768","1,633","3,315","2,065","1,439","1,869",396,"1,524","1,344","2,623","1,365","1,189","1,077",877
2020,7,30,"38,239","1,094","2,746","2,079","1,522","1,952","1,009","2,146",642,"1,561","1,500","5,059","2,321","1,521","1,531",333,"1,386","1,421","3,299","1,413","1,210","1,263","1,231"
2020,7,40,"46,258","1,340","1,866","1,792","2,280","2,218","1,066","2,963","2,747","3,200","1,782","3,057","4,025","1,837","2,972",461,"1,697","1,421","3,848","2,130","1,144","1,508",904
2020,7,50,"39,924","1,240","1,377","1,427","1,970","1,889","1,156","2,078","2,091","3,555","1,644","2,216","2,596","1,699","2,758",568,"1,881","1,490","2,942","1,778","1,235","1,276","1,058"
2020,7,60,"26,713",816,"1,014",949,"1,360","1,388",845,"1,078",926,"2,032",694,"1,437","1,148","1,246","1,687",553,"1,420","1,084","2,192","1,297","1,131","1,043","1,373"
2020,7,70,"15,909",616,657,708,"1,120",833,515,753,524,"1,038",461,800,793,640,"1,078",359,673,488,"1,308",521,652,595,777
2020,7,80,"4,764",278,207,208,437,254,141,232,155,239,138,245,263,184,345,106,137,143,426,127,158,130,211
2020,7,90,521,27,20,20,40,32,19,18,12,20,7,24,31,32,41,11,13,14,60,16,22,11,31
2020,7,100,56,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,1,5,1,1,0,4
2020,8,총,"258,407","7,851","10,818","10,097","12,698","12,723","7,074","14,365","12,610","19,377","9,698","17,569","17,420","10,547","15,907","3,283","10,836","8,843","21,282","11,857","7,807","8,667","7,078"
2020,8,0,"19,441",526,359,599,"1,070","1,199",487,"1,345","1,122","1,089",389,561,"1,576",886,"1,537",207,846,581,"2,370","1,266",395,677,354
2020,8,10,"30,921",860,438,695,"1,359","1,200",795,"1,897","3,117","3,901","1,423",778,"2,635","1,063","2,082",296,"1,280",835,"2,239","1,928",695,"1,110",295
2020,8,20,"35,747","1,076","2,114","1,589","1,519","1,770","1,123","1,849","1,261","2,763","1,654","3,315","2,054","1,424","1,863",391,"1,502","1,350","2,618","1,377","1,192","1,069",874
2020,8,30,"38,037","1,078","2,744","2,068","1,525","1,950",991,"2,122",632,"1,541","1,487","5,082","2,300","1,517","1,527",330,"1,373","1,423","3,272","1,408","1,197","1,254","1,216"
2020,8,40,"46,244","1,335","1,866","1,801","2,267","2,202","1,055","2,977","2,753","3,194","1,802","3,091","4,018","1,839","2,973",468,"1,698","1,409","3,848","2,116","1,139","1,505",888
2020,8,50,"39,894","1,238","1,389","1,439","1,991","1,886","1,117","2,080","2,099","3,560","1,630","2,222","2,601","1,708","2,751",558,"1,874","1,500","2,930","1,785","1,219","1,270","1,047"
2020,8,60,"26,808",820,"1,018",959,"1,364","1,383",828,"1,093",925,"2,019",703,"1,437","1,147","1,255","1,699",558,"1,434","1,095","2,207","1,307","1,140","1,042","1,375"
2020,8,70,"15,931",609,657,711,"1,116",841,514,742,526,"1,053",463,807,793,636,"1,087",355,677,489,"1,306",525,646,595,783
2020,8,80,"4,809",281,211,210,444,255,142,239,159,234,138,248,263,184,347,108,138,146,431,128,160,131,212
2020,8,90,519,27,19,20,41,31,20,19,13,20,7,23,31,32,39,11,13,14,56,16,23,14,30
2020,8,100,56,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,1,5,1,1,0,4
2020,9,총,"257,961","7,841","10,821","10,107","12,638","12,690","6,819","14,376","12,601","19,341","9,709","17,540","17,442","10,518","15,898","3,268","10,820","8,948","21,260","11,844","7,798","8,643","7,039"
2020,9,0,"19,279",522,357,593,"1,048","1,189",469,"1,343","1,103","1,082",384,554,"1,558",876,"1,543",201,844,593,"2,332","1,265",401,672,350
2020,9,10,"30,915",862,433,696,"1,357","1,205",765,"1,906","3,133","3,894","1,417",779,"2,656","1,067","2,085",301,"1,260",850,"2,239","1,911",698,"1,108",293
2020,9,20,"35,626","1,065","2,115","1,585","1,506","1,746","1,077","1,851","1,263","2,742","1,679","3,306","2,045","1,407","1,864",390,"1,516","1,365","2,630","1,378","1,182","1,063",851
2020,9,30,"37,859","1,075","2,765","2,050","1,500","1,956",942,"2,100",622,"1,541","1,492","5,088","2,296","1,512","1,513",324,"1,354","1,426","3,255","1,406","1,185","1,252","1,205"
2020,9,40,"46,165","1,338","1,846","1,816","2,245","2,202","1,040","2,986","2,740","3,182","1,789","3,064","4,028","1,839","2,976",466,"1,703","1,429","3,844","2,114","1,137","1,490",891
2020,9,50,"39,902","1,235","1,405","1,448","2,018","1,876","1,075","2,080","2,113","3,558","1,625","2,225","2,604","1,706","2,754",555,"1,868","1,515","2,938","1,792","1,210","1,263","1,039"
2020,9,60,"26,833",826,"1,011",964,"1,359","1,372",793,"1,102",921,"2,029",707,"1,440","1,157","1,254","1,687",555,"1,432","1,114","2,218","1,304","1,147","1,054","1,387"
2020,9,70,"15,957",606,651,722,"1,115",845,496,743,530,"1,053",468,804,799,633,"1,085",357,690,490,"1,312",528,653,597,780
2020,9,80,"4,847",284,216,206,445,262,140,243,159,238,139,252,265,190,353,107,139,151,431,129,160,130,208
2020,9,90,522,27,19,21,43,31,20,20,14,19,7,23,32,31,36,11,13,14,56,16,24,14,31
2020,9,100,56,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,1,5,1,1,0,4
2020,10,총,"258,461","7,815","10,818","10,152","12,611","12,669","6,671","14,338","12,607","19,279","9,735","17,500","17,429","10,507","15,839","3,249","10,778","10,027","21,209","11,836","7,776","8,601","7,015"
2020,10,0,"19,211",521,351,597,"1,044","1,174",455,"1,323","1,088","1,076",390,543,"1,552",860,"1,536",194,843,721,"2,299","1,253",396,656,339
2020,10,10,"31,004",860,425,693,"1,358","1,213",741,"1,922","3,145","3,883","1,421",774,"2,665","1,077","2,082",300,"1,244",962,"2,236","1,918",692,"1,097",296
2020,10,20,"35,571","1,062","2,108","1,581","1,500","1,735","1,047","1,824","1,270","2,727","1,672","3,282","2,039","1,417","1,845",388,"1,521","1,495","2,611","1,383","1,165","1,056",843
2020,10,30,"37,841","1,073","2,783","2,059","1,496","1,947",931,"2,084",613,"1,518","1,507","5,071","2,278","1,488","1,499",321,"1,339","1,571","3,222","1,392","1,192","1,250","1,207"
2020,10,40,"46,210","1,308","1,853","1,829","2,239","2,209","1,011","2,984","2,747","3,156","1,782","3,077","4,021","1,842","2,956",464,"1,689","1,607","3,845","2,102","1,130","1,482",877
2020,10,50,"40,119","1,245","1,400","1,468","2,006","1,876","1,058","2,085","2,123","3,559","1,625","2,226","2,622","1,711","2,748",548,"1,867","1,698","2,945","1,803","1,207","1,265","1,034"
2020,10,60,"26,981",821,"1,006",964,"1,362","1,371",780,"1,110",917,"2,035",710,"1,443","1,152","1,255","1,696",554,"1,432","1,244","2,241","1,302","1,151","1,052","1,383"
2020,10,70,"16,048",611,653,724,"1,117",838,483,742,528,"1,058",476,803,801,631,"1,084",361,688,556,"1,314",537,656,597,790
2020,10,80,"4,902",285,216,210,445,270,143,243,159,246,143,256,266,194,354,107,141,157,433,129,162,132,211
2020,10,90,518,28,20,21,42,30,20,19,14,18,7,20,31,29,37,11,13,15,58,16,24,14,31
2020,10,100,56,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,1,5,1,1,0,4
2020,11,총,"258,333","7,774","10,807","10,142","12,574","12,652","6,642","14,320","12,558","19,223","9,713","17,449","17,399","10,462","15,814","3,229","10,757","10,671","21,087","11,812","7,727","8,566","6,955"
2020,11,0,"19,104",516,350,579,"1,032","1,179",453,"1,306","1,077","1,064",383,539,"1,541",857,"1,526",191,842,787,"2,268","1,226",398,662,328
2020,11,10,"30,999",854,420,701,"1,353","1,209",739,"1,918","3,131","3,862","1,410",770,"2,668","1,084","2,081",301,"1,234","1,036","2,232","1,931",686,"1,086",293
2020,11,20,"35,480","1,054","2,096","1,589","1,490","1,723","1,041","1,820","1,268","2,714","1,675","3,264","2,030","1,405","1,855",384,"1,515","1,558","2,601","1,371","1,146","1,048",833
2020,11,30,"37,679","1,068","2,791","2,043","1,463","1,933",930,"2,094",601,"1,519","1,498","5,027","2,261","1,471","1,475",318,"1,335","1,669","3,177","1,381","1,193","1,252","1,180"
2020,11,40,"46,165","1,294","1,851","1,849","2,246","2,203",997,"2,976","2,725","3,132","1,769","3,092","4,012","1,834","2,943",461,"1,682","1,721","3,832","2,091","1,116","1,470",869
2020,11,50,"40,175","1,241","1,394","1,458","2,002","1,874","1,053","2,095","2,133","3,546","1,634","2,228","2,635","1,706","2,751",541,"1,857","1,804","2,933","1,813","1,200","1,257","1,020"
2020,11,60,"27,119",820,"1,010",957,"1,371","1,379",783,"1,099",915,"2,050",713,"1,439","1,163","1,258","1,704",557,"1,443","1,321","2,240","1,312","1,147","1,050","1,388"
2020,11,70,"16,100",607,656,726,"1,120",841,482,744,529,"1,066",478,805,792,618,"1,081",358,694,597,"1,314",540,655,599,798
2020,11,80,"4,939",292,216,213,453,276,141,247,162,247,144,261,263,195,359,107,141,161,431,130,161,128,211
2020,11,90,518,27,20,21,42,29,21,19,14,20,7,19,32,31,37,10,13,15,56,16,24,14,31
2020,11,100,55,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,2,3,1,1,0,4
2020,12,총,"257,999","7,723","10,820","10,121","12,575","12,637","6,617","14,344","12,523","19,124","9,647","17,338","17,320","10,462","15,781","3,219","10,743","11,025","21,035","11,792","7,686","8,553","6,914"
2020,12,0,"19,051",507,346,574,"1,025","1,174",464,"1,296","1,069","1,070",388,531,"1,504",853,"1,513",196,850,839,"2,262","1,211",389,666,324
2020,12,10,"30,859",847,422,686,"1,353","1,206",740,"1,919","3,120","3,811","1,369",721,"2,657","1,097","2,081",300,"1,241","1,073","2,233","1,946",673,"1,078",286
2020,12,20,"35,369","1,041","2,100","1,589","1,501","1,723","1,030","1,847","1,263","2,689","1,643","3,210","2,021","1,400","1,859",383,"1,503","1,598","2,590","1,362","1,147","1,044",826
2020,12,30,"37,501","1,052","2,773","2,055","1,448","1,919",912,"2,087",610,"1,510","1,505","5,008","2,249","1,446","1,458",316,"1,318","1,718","3,151","1,365","1,194","1,241","1,166"
2020,12,40,"46,145","1,294","1,865","1,840","2,224","2,210","1,003","2,959","2,706","3,110","1,759","3,104","4,008","1,848","2,933",451,"1,688","1,780","3,843","2,093","1,092","1,466",869
2020,12,50,"40,189","1,231","1,413","1,455","2,019","1,869","1,044","2,114","2,125","3,522","1,624","2,230","2,630","1,705","2,744",541,"1,851","1,872","2,923","1,807","1,203","1,256","1,011"
2020,12,60,"27,192",818,"1,012",952,"1,382","1,375",786,"1,105",919,"2,078",717,"1,439","1,164","1,260","1,705",556,"1,439","1,353","2,229","1,314","1,144","1,057","1,388"
2020,12,70,"16,123",611,655,724,"1,119",844,474,758,531,"1,059",483,808,792,618,"1,089",355,692,611,"1,311",542,656,601,790
2020,12,80,"4,994",293,212,219,459,278,142,240,162,251,150,262,263,201,362,110,147,164,434,135,163,130,217
2020,12,90,519,28,19,21,43,32,20,17,15,22,7,20,30,30,35,10,13,15,55,16,24,14,33
2020,12,100,57,1,3,6,2,7,2,2,3,2,2,5,2,4,2,1,1,2,4,1,1,0,4
2021,1,총,"257,647","7,688","10,832","10,105","12,539","12,641","6,586","14,296","12,472","18,936","9,597","17,269","17,300","10,467","15,762","3,201","10,710","11,307","20,991","11,788","7,679","8,575","6,906"
2021,1,0,"18,853",509,339,566,"1,017","1,165",461,"1,259","1,047","1,064",381,515,"1,479",847,"1,490",197,840,864,"2,234","1,195",387,678,319
2021,1,10,"30,827",845,424,688,"1,347","1,201",747,"1,936","3,105","3,744","1,339",700,"2,662","1,104","2,092",302,"1,236","1,118","2,250","1,945",682,"1,080",280
2021,1,20,"35,177","1,017","2,088","1,577","1,491","1,724","1,018","1,842","1,268","2,620","1,623","3,200","2,016","1,395","1,839",377,"1,490","1,623","2,588","1,372","1,140","1,035",834
2021,1,30,"37,299","1,047","2,778","2,052","1,432","1,914",905,"2,062",603,"1,516","1,503","4,984","2,228","1,441","1,447",309,"1,318","1,753","3,098","1,340","1,187","1,228","1,154"
2021,1,40,"46,071","1,287","1,886","1,831","2,222","2,204",991,"2,939","2,674","3,072","1,761","3,092","3,982","1,844","2,912",452,"1,690","1,844","3,854","2,101","1,089","1,469",875
2021,1,50,"40,320","1,225","1,409","1,457","2,016","1,888","1,047","2,134","2,130","3,479","1,631","2,232","2,672","1,719","2,759",534,"1,841","1,923","2,914","1,813","1,210","1,273","1,014"
2021,1,60,"27,283",821,"1,019",957,"1,388","1,378",780,"1,103",916,"2,094",718,"1,447","1,170","1,256","1,722",552,"1,439","1,369","2,247","1,320","1,141","1,063","1,383"
2021,1,70,"16,178",618,651,727,"1,110",848,471,755,547,"1,068",479,808,793,625,"1,093",356,691,625,"1,308",552,659,602,792
2021,1,80,"5,052",288,216,224,468,280,143,245,163,256,153,265,266,202,370,111,151,170,435,134,161,133,218
2021,1,90,528,30,19,20,46,32,21,18,16,21,7,21,30,29,36,10,13,16,59,15,22,14,33
2021,1,100,59,1,3,6,2,7,2,3,3,2,2,5,2,5,2,1,1,2,4,1,1,0,4
2021,2,총,"257,231","7,653","10,787","10,073","12,519","12,625","6,579","14,287","12,428","18,757","9,577","17,245","17,277","10,474","15,752","3,217","10,658","11,496","20,915","11,726","7,621","8,690","6,875"
2021,2,0,"18,812",504,330,561,"1,018","1,166",458,"1,262","1,053","1,059",370,512,"1,486",848,"1,488",203,849,873,"2,198","1,191",373,699,311
2021,2,10,"30,698",834,429,683,"1,352","1,196",742,"1,935","3,072","3,669","1,338",692,"2,650","1,105","2,085",299,"1,222","1,143","2,270","1,919",670,"1,111",282
2021,2,20,"34,884","1,011","2,074","1,554","1,490","1,712",994,"1,823","1,257","2,578","1,632","3,185","1,993","1,384","1,823",379,"1,460","1,657","2,563","1,361","1,126","1,006",822
2021,2,30,"37,104","1,034","2,743","2,050","1,403","1,908",913,"2,051",598,"1,513","1,497","4,960","2,224","1,447","1,437",306,"1,318","1,777","3,038","1,311","1,177","1,251","1,148"
