년도,월,나이,안양시,만안구,안양1동,안양2동,안양3동,안양4동,안양5동,안양6동,안양7동,안양8동,안양9동,석수1동,석수2동,석수3동,박달1동,박달2동,동안구,비산1동,비산2동,비산3동,부흥동,달안동,관양1동,관양2동,부림동,평촌동,평안동,귀인동,호계1동,호계2동,호계3동,범계동,신촌동,갈산동
2020,9,80,"9,189","4,418",167,382,308,212,316,380,161,208,381,383,592,281,349,298,"4,771",283,158,402,322,258,719,318,342,215,316,187,87,275,275,255,170,189
2020,9,90,"1,624",755,36,65,47,27,41,47,49,44,62,84,102,38,53,60,869,54,38,78,51,44,116,53,46,27,52,33,26,54,59,62,34,42
2020,9,100,126,55,1,6,5,0,3,9,4,5,7,3,6,1,4,1,71,18,6,5,1,1,10,6,2,4,0,2,4,4,4,2,0,2
2020,10,총,"279,124","120,008","6,408","10,908","8,429","3,638","5,519","10,214","8,124","5,324","8,956","10,191","16,297","6,873","7,646","11,481","159,116","11,132","5,740","9,455","9,172","6,089","19,005","9,606","14,168","7,707","12,383","8,581","4,044","10,428","10,993","8,076","6,775","5,762"
2020,10,0,"19,571","7,786",493,626,418,136,239,562,906,235,489,689,"1,105",493,370,"1,025","11,785",850,414,487,701,372,"1,039",624,"1,201",677,"1,228",652,495,749,826,595,493,382
2020,10,10,"25,469","9,111",543,727,632,251,365,665,644,347,641,733,"1,231",630,577,"1,125","16,358","1,089",547,671,"1,074",352,"1,449",752,"1,187",836,"1,823","1,650",359,832,"1,064","1,113",791,769
2020,10,20,"37,408","16,516",970,"1,735","1,153",547,695,"1,516","1,027",729,"1,193","1,261","2,246",881,"1,025","1,538","20,892","1,472",776,"1,316","1,033",774,"2,812","1,394","1,852","1,049","1,239",939,488,"1,571","1,522","1,007",924,724
2020,10,30,"37,455","15,674",908,"1,380","1,033",416,648,"1,552","1,456",618,984,"1,389","2,103",779,733,"1,675","21,781","1,445",720,"1,151","1,197","1,163","2,299","1,392","2,864","1,005","1,771",715,798,"1,473","1,460",992,801,535
2020,10,40,"45,233","17,340","1,023","1,478","1,142",466,754,"1,451","1,282",686,"1,159","1,567","2,375","1,059","1,111","1,787","27,893","1,858",898,"1,242","1,799","1,030","2,685","1,491","2,664","1,371","2,853","2,210",676,"1,490","1,664","1,669","1,208","1,085"
2020,10,50,"50,423","22,279","1,095","2,065","1,614",644,"1,009","1,780","1,335","1,041","1,773","1,901","3,127","1,309","1,491","2,095","28,144","2,084","1,121","2,027","1,419",971,"3,796","1,785","2,127","1,500","1,712","1,245",582,"2,012","2,205","1,280","1,271","1,007"
2020,10,60,"35,427","17,255",777,"1,587","1,397",546,937,"1,529",876,954,"1,477","1,476","2,204",933,"1,218","1,344","18,172","1,392",723,"1,444","1,064",725,"2,712","1,177","1,245",723,929,607,390,"1,437","1,434",701,774,695
2020,10,70,"17,149","8,804",397,853,685,389,523,720,385,457,782,700,"1,191",467,716,539,"8,345",581,335,633,512,394,"1,367",612,632,296,463,336,140,535,477,394,309,329
2020,10,80,"9,229","4,427",165,386,303,218,305,384,162,208,386,387,604,280,346,293,"4,802",285,161,403,323,261,723,317,349,217,312,193,84,272,279,261,170,192
2020,10,90,"1,633",761,36,65,47,25,41,46,47,44,65,85,105,41,55,59,872,58,39,76,49,46,113,55,46,28,53,32,28,53,58,62,34,42
2020,10,100,127,55,1,6,5,0,3,9,4,5,7,3,6,1,4,1,72,18,6,5,1,1,10,7,1,5,0,2,4,4,4,2,0,2
