년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,8,100,20,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,1,0,1
2020,9,총,"53,997","2,730","2,164","1,440","1,064","1,422",889,922,"1,054","1,293","1,714","1,402",844,"1,204",622,"1,076","8,900","1,498","9,944","1,665","5,138","3,023","2,020","1,969"
2020,9,0,"3,338",130,93,28,37,39,29,29,22,45,43,26,24,43,17,30,764,73,822,84,535,242,108,75
2020,9,10,"5,190",228,153,83,46,48,41,55,63,54,77,39,35,95,28,45,"1,078",157,"1,400",144,753,266,175,127
2020,9,20,"5,852",214,219,128,80,113,67,81,79,100,143,80,50,95,45,64,"1,221",181,"1,286",202,644,320,231,209
2020,9,30,"4,776",223,164,87,68,134,56,56,61,85,99,109,69,72,34,66,"1,028",113,930,142,527,334,155,164
2020,9,40,"7,910",377,263,144,120,180,102,107,128,148,226,148,96,153,62,130,"1,625",251,"1,616",207,802,516,258,251
2020,9,50,"9,966",500,467,340,218,255,158,202,204,272,343,270,155,240,136,228,"1,545",294,"1,717",271,842,498,426,385
2020,9,60,"8,271",484,401,300,198,311,190,183,208,267,334,319,172,221,158,234,936,219,"1,165",286,560,423,353,349
2020,9,70,"5,773",380,268,202,188,219,168,138,176,203,264,275,149,176,95,176,520,143,727,210,338,305,203,250
2020,9,80,"2,648",170,129,119,102,111,73,63,101,107,157,124,81,104,43,94,162,62,254,104,128,109,102,149
2020,9,90,252,24,7,9,7,10,5,8,12,12,27,12,13,5,4,9,15,4,22,13,8,9,8,9
2020,9,100,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,1,1,1
2020,10,총,"53,960","2,721","2,152","1,443","1,061","1,420",891,922,"1,055","1,287","1,716","1,394",843,"1,208",623,"1,077","8,911","1,502","9,929","1,645","5,156","3,023","2,017","1,964"
