년도,월,나이,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동,광주광역시 남구 진월동
2020,11,0,"8,840",257,282,247,474,"1,443",138,190,185,111,537,218,729,256,"1,987","1,591",195,
2020,11,10,"11,440",357,333,403,688,"2,528",157,220,322,190,562,196,"1,032",317,"2,903","1,048",184,
2020,11,20,"14,476",418,474,639,"1,038","1,758",337,510,649,547,780,433,"1,457",619,"3,304","1,207",306,
2020,11,30,"12,668",339,418,486,782,"1,277",354,460,613,421,750,432,"1,153",505,"2,558","1,822",298,
2020,11,40,"16,785",523,565,622,"1,054","2,529",440,605,688,478,930,481,"1,483",583,"3,656","1,693",455,
2020,11,50,"15,646",519,493,691,"1,003","2,007",490,660,778,571,880,450,"1,551",694,"3,175","1,173",511,
2020,11,60,"12,855",419,403,615,888,"1,325",415,573,722,582,826,414,"1,229",673,"2,395",806,570,
2020,11,70,"7,747",362,296,465,491,622,312,485,440,315,469,302,675,417,"1,401",339,356,
2020,11,80,"2,642",128,100,157,197,246,113,150,132,85,190,104,203,124,461,99,153,
2020,11,90,248,18,9,13,23,24,8,17,14,6,21,10,7,12,48,9,9,
2020,11,100,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1,
2020,12,총,"103,257","3,343","3,348","4,309","6,619","13,724","2,769","3,836","4,529","3,288","5,932","3,125","9,477","4,168","21,803","9,905","3,082",
2020,12,0,"8,856",255,279,238,471,"1,461",137,189,185,121,534,230,704,253,"1,980","1,606",213,
2020,12,10,"11,394",359,330,398,676,"2,525",152,212,319,189,555,212,"1,038",306,"2,881","1,059",183,
2020,12,20,"14,406",411,467,627,"1,041","1,730",344,508,642,534,788,443,"1,449",608,"3,279","1,220",315,
2020,12,30,"12,658",347,416,475,791,"1,262",353,457,609,418,740,454,"1,136",504,"2,537","1,854",305,
2020,12,40,"16,788",522,557,627,"1,050","2,529",435,601,685,473,936,488,"1,487",580,"3,643","1,717",458,
2020,12,50,"15,613",513,491,684,996,"2,005",494,657,776,568,876,462,"1,537",693,"3,161","1,187",513,
2020,12,60,"12,859",429,405,622,879,"1,307",417,565,722,576,824,418,"1,232",668,"2,403",814,578,
2020,12,70,"7,792",362,293,466,492,632,314,479,448,318,468,302,685,421,"1,414",347,351,
2020,12,80,"2,632",128,99,156,198,249,112,151,129,83,189,105,202,123,459,93,156,
2020,12,90,246,16,9,16,24,23,8,17,14,7,22,9,6,12,46,8,9,
2020,12,100,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1,
2021,1,총,"103,192","3,331","3,324","4,316","6,568","13,694","2,772","3,808","4,522","3,285","5,920","3,185","9,450","4,149","21,762","9,997","3,109",
2021,1,0,"8,831",251,274,236,466,"1,459",138,188,184,125,522,248,695,246,"1,955","1,622",222,
2021,1,10,"11,344",365,326,394,664,"2,506",152,212,316,189,549,213,"1,039",302,"2,862","1,069",186,
2021,1,20,"14,355",402,461,637,"1,009","1,735",346,499,640,529,783,443,"1,444",612,"3,276","1,230",309,
2021,1,30,"12,657",341,422,472,808,"1,260",356,445,606,412,732,479,"1,130",502,"2,516","1,858",318,
2021,1,40,"16,765",524,552,618,"1,029","2,522",433,600,684,480,943,497,"1,481",575,"3,628","1,743",456,
2021,1,50,"15,576",510,484,699,988,"1,993",494,654,770,563,874,466,"1,523",683,"3,172","1,198",505,
2021,1,60,"12,940",428,398,623,891,"1,312",411,564,732,580,832,425,"1,234",674,"2,421",825,590,
2021,1,70,"7,811",366,296,463,491,630,318,480,448,313,472,301,693,417,"1,421",348,354,
2021,1,80,"2,653",128,99,159,197,251,113,149,129,86,191,103,204,126,463,96,159,
2021,1,90,247,15,10,15,24,25,8,17,13,7,22,8,6,12,48,8,9,
2021,1,100,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1,
2021,2,총,"103,263","3,329","3,321","4,317","6,567","13,725","2,782","3,793","4,529","3,280","5,895","3,216","9,454","4,142","21,759","10,021","3,133",
2021,2,0,"8,836",249,271,236,454,"1,492",138,187,189,127,519,252,703,244,"1,925","1,617",233,
2021,2,10,"11,349",368,328,395,661,"2,504",158,212,311,185,546,219,"1,025",298,"2,880","1,072",187,
2021,2,20,"14,308",400,455,626,"1,013","1,711",351,489,651,525,775,446,"1,443",613,"3,273","1,228",309,
2021,2,30,"12,601",338,423,475,806,"1,253",358,443,596,414,724,492,"1,111",504,"2,489","1,850",325,
2021,2,40,"16,843",527,554,609,"1,035","2,557",422,598,695,485,949,495,"1,486",574,"3,639","1,763",455,
2021,2,50,"15,593",508,484,701,988,"1,985",503,650,759,560,867,472,"1,535",673,"3,189","1,210",509,
2021,2,60,"12,971",426,401,632,890,"1,313",406,569,736,576,830,424,"1,238",674,"2,428",833,595,
2021,2,70,"7,823",367,293,465,494,636,320,475,447,313,474,299,698,423,"1,420",346,353,
2021,2,80,"2,674",130,100,162,200,246,115,153,132,87,189,107,207,127,468,93,158,
2021,2,90,252,15,10,16,25,27,8,17,13,7,22,8,7,12,48,9,8,
2021,2,100,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1,
2021,3,총,"102,891","3,290","3,295","4,281","6,506","13,634","2,727","3,729","4,498","3,248","5,871","3,211","9,681","4,100","21,689","9,999","3,132",
2021,3,0,"8,779",245,271,236,450,"1,455",134,184,181,125,511,252,740,237,"1,904","1,621",233,
2021,3,10,"11,290",364,326,389,652,"2,479",158,210,313,176,540,213,"1,046",292,"2,875","1,075",182,
2021,3,20,"14,259",400,446,627,"1,006","1,727",342,481,639,514,775,451,"1,467",603,"3,240","1,229",312,
2021,3,30,"12,562",336,423,475,792,"1,246",352,436,597,417,724,489,"1,162",492,"2,486","1,811",324,
2021,3,40,"16,779",515,543,598,"1,028","2,544",409,586,689,478,934,493,"1,525",578,"3,625","1,782",452,
2021,3,50,"15,514",494,484,692,973,"1,975",498,640,753,559,871,477,"1,546",665,"3,177","1,201",509,
2021,3,60,"12,965",425,400,627,886,"1,302",396,562,731,574,824,425,"1,276",668,"2,435",833,601,
2021,3,70,"7,779",363,292,462,489,636,312,462,450,308,479,299,691,424,"1,419",341,352,
2021,3,80,"2,712",133,99,159,204,244,118,154,132,91,192,107,218,129,478,97,157,
2021,3,90,247,14,9,16,26,26,8,14,13,6,21,5,9,12,50,9,9,
2021,3,100,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
2021,4,총,"102,854","3,277","3,283","4,274","6,462","13,594","2,732","3,713","4,484","3,235","5,883","3,175","9,888","4,070","21,637","10,009","3,138",
2021,4,0,"8,745",237,270,237,441,"1,439",135,179,171,124,511,250,762,235,"1,898","1,628",228,
2021,4,10,"11,288",366,326,390,655,"2,470",156,208,314,177,545,214,"1,067",292,"2,853","1,071",184,
2021,4,20,"14,244",402,440,619,998,"1,732",346,478,636,508,776,442,"1,513",599,"3,224","1,221",310,
2021,4,30,"12,491",331,414,472,782,"1,225",345,432,594,414,722,473,"1,196",485,"2,476","1,806",324,
2021,4,40,"16,803",509,548,604,"1,031","2,540",420,581,686,474,930,488,"1,563",569,"3,617","1,790",453,
2021,4,50,"15,532",491,483,691,962,"1,971",491,647,751,555,875,477,"1,571",662,"3,190","1,205",510,
2021,4,60,"12,988",428,400,622,878,"1,307",404,562,731,577,828,419,"1,293",667,"2,428",836,608,
2021,4,70,"7,764",361,292,465,485,634,308,454,454,308,480,299,696,421,"1,414",343,350,
2021,4,80,"2,746",136,99,158,204,250,118,158,133,92,193,108,218,127,490,101,161,
2021,4,90,248,15,9,16,26,26,9,14,14,6,23,5,8,13,47,8,9,
2021,4,100,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
2021,5,총,"102,803","3,269","3,272","4,271","6,432","13,544","2,712","3,685","4,460","3,224","5,856","3,167","10,162","4,057","21,549","10,011","3,132",
2021,5,0,"8,707",233,268,236,440,"1,425",133,180,166,125,495,248,796,236,"1,884","1,620",222,
2021,5,10,"11,268",369,327,395,648,"2,452",154,206,315,175,551,209,"1,098",289,"2,823","1,073",184,
2021,5,20,"14,218",399,438,621,990,"1,722",352,471,631,495,771,449,"1,533",597,"3,213","1,225",311,
2021,5,30,"12,481",324,410,454,788,"1,231",335,423,597,413,706,479,"1,263",478,"2,456","1,801",323,
2021,5,40,"16,741",507,539,608,"1,009","2,515",414,581,667,477,926,482,"1,614",566,"3,595","1,793",448,
2021,5,50,"15,565",490,490,679,967,"1,976",483,644,748,551,888,478,"1,613",658,"3,190","1,202",508,
2021,5,60,"13,021",431,399,636,877,"1,310",408,560,736,583,822,414,"1,308",664,"2,424",839,610,
2021,5,70,"7,769",361,292,466,482,630,306,453,448,304,480,297,706,425,"1,418",347,354,
2021,5,80,"2,780",137,98,160,206,258,118,154,138,95,195,106,221,131,498,103,162,
2021,5,90,248,17,9,16,25,25,9,13,14,6,22,5,9,13,48,8,9,
2021,5,100,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
2021,6,총,"102,885","3,267","3,241","4,266","6,402","13,522","2,704","3,669","4,450","3,235","5,829","3,171","10,360","4,070","21,538","10,018","3,143",
2021,6,0,"8,693",227,266,233,426,"1,419",132,177,164,132,488,251,826,233,"1,876","1,613",230,
2021,6,10,"11,289",370,321,392,652,"2,452",155,206,316,177,546,209,"1,126",287,"2,815","1,082",183,
2021,6,20,"14,233",404,440,621,989,"1,706",354,470,631,485,764,446,"1,557",607,"3,222","1,231",306,
2021,6,30,"12,468",322,398,453,788,"1,233",332,423,597,421,702,473,"1,282",484,"2,451","1,786",323,
2021,6,40,"16,752",506,536,611,"1,000","2,496",415,585,663,473,918,492,"1,658",565,"3,582","1,802",450,
2021,6,50,"15,554",490,484,679,961,"1,979",473,636,747,556,883,472,"1,646",655,"3,196","1,194",503,
2021,6,60,"13,073",431,398,628,869,"1,318",411,558,738,585,828,419,"1,326",673,"2,427",844,620,
2021,6,70,"7,761",361,288,470,487,632,310,446,441,306,478,296,704,420,"1,416",352,354,
2021,6,80,"2,812",138,99,163,207,262,114,155,139,94,198,108,225,134,505,106,165,
2021,6,90,245,17,9,16,23,25,8,13,14,6,24,5,9,12,48,8,8,
2021,6,100,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
2021,7,총,"102,933","3,254","3,219","4,255","6,394","13,489","2,698","3,669","4,425","3,223","5,816","3,154","10,453","4,046","7,747","10,170","3,138","13,783"
2021,7,0,"8,664",218,264,234,422,"1,415",133,177,159,125,481,249,839,229,823,"1,624",225,"1,047"
2021,7,10,"11,295",375,322,389,650,"2,448",153,206,314,182,552,208,"1,138",283,889,"1,083",187,"1,916"
2021,7,20,"14,206",401,432,616,995,"1,698",354,468,625,475,755,437,"1,576",591,"1,023","1,256",303,"2,201"
2021,7,30,"12,494",319,392,454,790,"1,219",331,424,591,423,700,466,"1,295",486,"1,100","1,826",322,"1,356"
2021,7,40,"16,738",500,533,611,992,"2,494",418,589,655,467,914,489,"1,672",565,"1,361","1,821",450,"2,207"
2021,7,50,"15,567",493,484,672,958,"1,982",463,638,739,559,884,472,"1,652",651,962,"1,218",507,"2,233"
2021,7,60,"13,123",426,396,627,866,"1,316",412,556,742,585,833,422,"1,343",673,910,874,617,"1,525"
2021,7,70,"7,776",365,288,471,487,628,311,443,446,305,474,298,707,422,512,357,353,909
2021,7,80,"2,821",140,97,165,210,263,114,154,140,96,200,108,223,134,150,103,165,359
2021,7,90,243,15,9,16,24,26,9,14,14,6,23,5,7,12,17,8,8,30
2021,7,100,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021,8,총,"102,881","3,242","3,201","4,253","6,372","13,446","2,699","3,666","4,423","3,221","5,788","3,153","10,526","4,040","7,736","10,213","3,129","13,773"
2021,8,0,"8,625",213,259,238,419,"1,413",130,169,161,127,477,248,845,227,816,"1,617",220,"1,046"
2021,8,10,"11,287",375,326,389,642,"2,443",157,209,308,175,543,209,"1,142",289,893,"1,092",188,"1,907"
2021,8,20,"14,134",395,432,607,999,"1,663",353,473,630,478,748,439,"1,584",585,"1,010","1,248",294,"2,196"
2021,8,30,"12,460",317,387,451,785,"1,212",335,420,590,419,695,464,"1,302",488,"1,096","1,829",321,"1,349"
2021,8,40,"16,774",499,532,612,991,"2,510",417,591,651,466,908,488,"1,700",559,"1,352","1,842",453,"2,203"
2021,8,50,"15,545",494,476,671,954,"1,974",467,630,738,567,885,470,"1,649",647,968,"1,222",504,"2,229"
2021,8,60,"13,181",427,395,627,867,"1,316",406,559,744,580,836,423,"1,358",680,918,891,618,"1,536"
2021,8,70,"7,787",365,286,473,479,626,308,446,446,307,476,297,715,417,517,358,354,917
2021,8,80,"2,841",140,98,169,213,263,118,156,140,96,199,110,224,136,149,105,167,358
2021,8,90,241,15,8,16,23,26,8,13,15,6,21,5,6,12,17,9,9,32
2021,8,100,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021,9,총,"102,962","3,236","3,182","4,247","6,366","13,403","2,702","3,833","4,398","3,219","5,784","3,164","10,561","4,014","7,737","10,262","3,111","13,743"
2021,9,0,"8,600",212,259,238,414,"1,404",130,194,161,119,472,246,853,225,802,"1,620",215,"1,036"
2021,9,10,"11,312",375,324,382,644,"2,439",157,232,307,177,545,210,"1,146",283,905,"1,088",188,"1,910"
2021,9,20,"14,147",396,434,616,999,"1,650",348,487,630,478,751,448,"1,593",580,"1,001","1,252",291,"2,193"
2021,9,30,"12,461",312,381,440,781,"1,198",336,465,577,421,693,465,"1,305",488,"1,105","1,834",315,"1,345"
2021,9,40,"16,775",500,525,609,985,"2,508",417,624,640,467,908,492,"1,707",549,"1,348","1,859",452,"2,185"
2021,9,50,"15,588",494,469,676,961,"1,982",470,640,743,563,884,470,"1,652",644,965,"1,237",505,"2,233"
2021,9,60,"13,184",426,398,624,871,"1,308",407,569,733,584,836,424,"1,361",682,925,900,612,"1,524"
2021,9,70,"7,787",364,284,476,471,627,310,452,449,304,473,294,714,415,519,357,356,922
2021,9,80,"2,861",139,98,171,217,261,119,157,143,99,202,110,223,136,150,106,167,363
2021,9,90,240,16,8,15,23,26,8,13,15,7,20,5,6,11,17,9,9,32
2021,9,100,7,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
2021,10,총,"103,318","3,243","3,184","4,223","6,338","13,413","2,704","4,262","4,378","3,233","5,757","3,130","10,583","3,989","7,753","10,294","3,111","13,723"
2021,10,0,"8,653",210,260,233,411,"1,407",129,263,159,121,466,232,861,224,797,"1,625",215,"1,040"
2021,10,10,"11,324",381,327,374,642,"2,447",157,257,302,173,540,208,"1,147",282,904,"1,084",189,"1,910"
2021,10,20,"14,183",394,434,609,997,"1,641",349,545,622,484,760,449,"1,599",572,"1,014","1,254",293,"2,167"
2021,10,30,"12,528",314,381,441,772,"1,186",339,580,565,419,683,454,"1,308",486,"1,096","1,853",311,"1,340"
2021,10,40,"16,829",501,530,604,971,"2,531",422,679,646,471,903,483,"1,710",543,"1,346","1,860",452,"2,177"
2021,10,50,"15,616",493,465,676,975,"1,975",459,685,743,558,880,474,"1,652",637,974,"1,232",508,"2,230"
2021,10,60,"13,255",427,399,622,865,"1,310",416,609,733,598,832,422,"1,367",679,928,909,607,"1,532"
2021,10,70,"7,805",364,283,475,465,632,304,466,449,305,471,293,710,414,527,361,356,930
2021,10,80,"2,875",141,96,174,218,258,120,165,144,97,203,110,221,138,149,107,170,364
2021,10,90,243,16,7,15,22,26,9,13,15,7,19,5,7,13,18,9,9,33
2021,10,100,7,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
2021,11,총,"103,559","3,229","3,180","4,216","6,334","13,464","2,696","4,435","4,383","3,207","5,761","3,129","10,605","3,979","7,741","10,349","3,120","13,731"
2021,11,0,"8,697",206,261,233,412,"1,418",128,291,160,121,467,232,865,223,790,"1,633",217,"1,040"
2021,11,10,"11,354",374,324,370,640,"2,456",155,275,298,171,543,205,"1,162",283,892,"1,097",194,"1,915"
2021,11,20,"14,148",395,430,604,989,"1,651",348,561,632,476,760,450,"1,582",560,"1,021","1,251",289,"2,149"
2021,11,30,"12,548",310,380,445,780,"1,180",339,627,570,415,678,453,"1,305",488,"1,093","1,839",310,"1,336"
2021,11,40,"16,898",494,531,599,970,"2,536",422,708,646,465,897,484,"1,725",553,"1,346","1,882",457,"2,183"
2021,11,50,"15,651",496,463,680,977,"1,990",456,702,740,549,889,474,"1,649",631,969,"1,242",507,"2,237"
