년도,월,나이,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020,5,30,"4,517",357,260,697,"1,136",493,115,108,664,687
2020,5,40,"5,589",268,372,935,"1,503",572,125,110,705,999
2020,5,50,"7,194",350,565,"1,111","1,849",839,191,205,718,"1,366"
2020,5,60,"7,770",372,588,"1,140","1,925",996,265,287,764,"1,433"
2020,5,70,"5,026",192,466,756,"1,228",604,133,156,494,997
2020,5,80,"2,057",83,166,298,527,270,63,49,227,374
2020,5,90,361,27,38,70,70,46,18,11,35,46
2020,5,100,81,2,5,8,13,24,4,1,9,15
2020,6,총,"41,652","2,294","2,953","6,548","10,695","4,718","1,081","1,049","4,844","7,470"
2020,6,0,"1,405",39,86,216,400,119,20,16,198,311
2020,6,10,"2,142",81,103,410,606,211,38,29,219,445
2020,6,20,"5,569",502,319,921,"1,478",533,110,78,815,813
2020,6,30,"4,509",385,257,688,"1,128",493,115,101,662,680
2020,6,40,"5,560",267,368,932,"1,489",582,124,112,697,989
2020,6,50,"7,156",351,558,"1,112","1,828",825,193,210,716,"1,363"
2020,6,60,"7,768",370,585,"1,136","1,923",999,261,288,767,"1,439"
2020,6,70,"5,047",188,466,759,"1,232",614,135,156,500,997
2020,6,80,"2,055",82,166,297,529,271,64,47,226,373
2020,6,90,360,27,40,69,69,47,17,11,35,45
2020,6,100,81,2,5,8,13,24,4,1,9,15
2020,7,총,"41,633","2,355","2,946","6,560","10,672","4,725","1,071","1,045","4,829","7,430"
2020,7,0,"1,398",40,85,215,400,119,18,17,195,309
2020,7,10,"2,114",86,101,405,594,209,38,29,218,434
2020,7,20,"5,596",526,319,937,"1,473",544,108,79,798,812
2020,7,30,"4,516",400,262,691,"1,125",494,113,100,665,666
2020,7,40,"5,546",280,366,938,"1,492",570,121,108,693,978
2020,7,50,"7,123",351,552,"1,102","1,816",819,197,208,722,"1,356"
2020,7,60,"7,784",372,580,"1,140","1,926","1,005",258,291,767,"1,445"
2020,7,70,"5,045",189,466,759,"1,234",618,132,154,498,995
2020,7,80,"2,068",83,171,297,528,274,64,47,229,375
2020,7,90,362,26,39,68,71,49,18,11,35,45
2020,7,100,81,2,5,8,13,24,4,1,9,15
2020,8,총,"41,630","2,393","2,940","6,563","10,691","4,715","1,068","1,042","4,814","7,404"
2020,8,0,"1,378",40,84,213,400,116,19,17,183,306
2020,8,10,"2,090",87,102,394,592,204,38,29,214,430
2020,8,20,"5,639",549,324,944,"1,482",550,106,74,804,806
2020,8,30,"4,514",409,255,702,"1,126",485,110,99,666,662
2020,8,40,"5,492",278,365,924,"1,487",561,118,109,681,969
2020,8,50,"7,123",364,549,"1,104","1,806",821,199,211,720,"1,349"
2020,8,60,"7,807",369,576,"1,148","1,944","1,012",259,288,769,"1,442"
2020,8,70,"5,066",187,466,765,"1,237",618,135,157,504,997
2020,8,80,"2,066",82,174,289,531,275,62,46,227,380
2020,8,90,371,25,40,72,73,48,17,11,37,48
2020,8,100,84,3,5,8,13,25,5,1,9,15
2020,9,총,"41,593","2,412","2,935","6,580","10,675","4,680","1,069","1,040","4,802","7,400"
2020,9,0,"1,364",42,82,215,396,113,18,17,182,299
2020,9,10,"2,076",86,102,397,582,196,37,28,214,434
2020,9,20,"5,634",557,329,941,"1,488",540,109,72,804,794
2020,9,30,"4,480",412,249,699,"1,114",480,110,97,660,659
2020,9,40,"5,491",282,363,929,"1,484",550,117,109,679,978
2020,9,50,"7,109",362,546,"1,108","1,801",823,200,213,716,"1,340"
2020,9,60,"7,836",375,582,"1,153","1,955","1,003",259,289,769,"1,451"
2020,9,70,"5,083",187,465,770,"1,235",630,135,155,508,998
2020,9,80,"2,067",82,172,286,537,273,62,46,225,384
2020,9,90,369,24,40,74,70,47,17,13,36,48
2020,9,100,84,3,5,8,13,25,5,1,9,15
2020,10,총,"41,547","2,424","2,921","6,576","10,658","4,671","1,067","1,044","4,774","7,412"
2020,10,0,"1,348",39,80,219,388,114,17,17,182,292
2020,10,10,"2,046",84,99,389,564,197,38,28,212,435
2020,10,20,"5,651",578,325,943,"1,498",529,112,71,793,802
2020,10,30,"4,475",404,248,696,"1,123",479,110,96,661,658
2020,10,40,"5,472",289,364,928,"1,470",547,116,112,669,977
2020,10,50,"7,084",359,540,"1,101","1,799",823,204,212,714,"1,332"
2020,10,60,"7,849",375,581,"1,153","1,963","1,006",250,293,765,"1,463"
2020,10,70,"5,088",187,460,777,"1,236",627,134,156,508,"1,003"
2020,10,80,"2,079",82,178,289,532,276,65,45,225,387
2020,10,90,370,24,41,72,72,48,16,13,36,48
2020,10,100,85,3,5,9,13,25,5,1,9,15
2020,11,총,"41,501","2,442","2,907","6,544","10,702","4,659","1,064","1,032","4,772","7,379"
2020,11,0,"1,336",38,77,217,391,111,18,15,185,284
2020,11,10,"2,035",78,103,386,567,190,38,28,209,436
2020,11,20,"5,629",585,318,936,"1,505",525,113,69,788,790
2020,11,30,"4,475",420,249,680,"1,137",474,109,91,663,652
2020,11,40,"5,451",290,355,927,"1,467",550,119,109,666,968
2020,11,50,"7,075",361,537,"1,101","1,805",818,200,207,721,"1,325"
2020,11,60,"7,862",371,583,"1,154","1,969","1,010",247,297,764,"1,467"
2020,11,70,"5,107",191,455,777,"1,245",635,136,157,508,"1,003"
2020,11,80,"2,069",81,180,286,529,272,63,45,224,389
2020,11,90,377,24,45,71,74,49,16,13,35,50
2020,11,100,85,3,5,9,13,25,5,1,9,15
2020,12,총,"41,523","2,482","2,893","6,520","10,707","4,672","1,060","1,028","4,792","7,369"
2020,12,0,"1,320",37,76,214,389,111,17,16,182,278
2020,12,10,"2,027",76,107,383,560,192,38,28,212,431
2020,12,20,"5,679",616,314,936,"1,507",542,115,66,799,784
2020,12,30,"4,471",430,245,675,"1,129",482,106,89,663,652
2020,12,40,"5,394",280,350,915,"1,456",549,122,109,664,949
2020,12,50,"7,074",361,536,"1,100","1,812",808,196,206,720,"1,335"
2020,12,60,"7,891",379,582,"1,149","1,986","1,005",248,299,774,"1,469"
2020,12,70,"5,110",194,450,777,"1,243",637,133,155,510,"1,011"
2020,12,80,"2,097",83,182,290,540,273,65,45,224,395
2020,12,90,375,23,46,72,72,48,15,14,35,50
2020,12,100,85,3,5,9,13,25,5,1,9,15
2021,1,총,"41,549","2,518","2,888","6,505","10,728","4,677","1,062","1,026","4,783","7,362"
2021,1,0,"1,302",37,76,203,392,105,19,16,179,275
2021,1,10,"2,029",72,104,385,558,203,34,28,212,433
2021,1,20,"5,685",636,317,947,"1,499",540,116,65,794,771
2021,1,30,"4,484",441,237,674,"1,135",475,108,87,671,656
2021,1,40,"5,387",292,349,914,"1,449",548,117,110,655,953
2021,1,50,"7,051",353,536,"1,085","1,820",809,197,206,719,"1,326"
2021,1,60,"7,914",379,582,"1,146","1,993","1,015",252,298,774,"1,475"
2021,1,70,"5,115",198,448,780,"1,258",632,133,156,503,"1,007"
2021,1,80,"2,117",85,188,288,537,276,65,46,231,401
2021,1,90,378,22,46,74,74,49,16,12,35,50
2021,1,100,87,3,5,9,13,25,5,2,10,15
2021,2,총,"41,551","2,561","2,859","6,499","10,745","4,719","1,061","1,014","4,773","7,320"
2021,2,0,"1,292",35,75,198,393,106,21,15,180,269
2021,2,10,"2,038",71,103,391,572,206,34,30,207,424
2021,2,20,"5,687",667,299,949,"1,498",547,114,65,783,765
2021,2,30,"4,509",441,235,676,"1,140",487,110,89,675,656
2021,2,40,"5,376",304,349,918,"1,437",551,118,105,655,939
2021,2,50,"7,006",352,527,"1,072","1,823",805,193,208,714,"1,312"
2021,2,60,"7,935",381,582,"1,153","1,995","1,033",249,290,778,"1,474"
2021,2,70,"5,108",197,449,774,"1,256",632,137,152,502,"1,009"
2021,2,80,"2,134",88,188,287,541,278,64,46,234,408
2021,2,90,378,22,47,72,76,49,16,12,35,49
2021,2,100,88,3,5,9,14,25,5,2,10,15
2021,3,총,"41,370","2,506","2,832","6,453","10,788","4,701","1,058",997,"4,737","7,298"
2021,3,0,"1,276",35,71,193,388,102,21,15,177,274
2021,3,10,"2,017",71,104,383,573,206,34,30,203,413
2021,3,20,"5,703",677,296,934,"1,527",552,112,66,772,767
2021,3,30,"4,483",430,233,666,"1,140",487,112,86,671,658
2021,3,40,"5,353",295,350,913,"1,443",545,117,99,664,927
2021,3,50,"6,964",345,520,"1,066","1,821",805,191,206,704,"1,306"
2021,3,60,"7,938",371,575,"1,153","2,010","1,029",250,291,779,"1,480"
2021,3,70,"5,106",187,446,783,"1,260",637,137,150,496,"1,010"
2021,3,80,"2,146",79,191,286,550,281,65,46,236,412
2021,3,90,364,15,45,73,73,52,15,7,34,50
2021,3,100,20,1,1,3,3,5,4,1,1,1
2021,4,총,"41,311","2,524","2,830","6,451","10,737","4,711","1,049",992,"4,770","7,247"
2021,4,0,"1,259",34,71,189,372,104,20,15,179,275
2021,4,10,"1,978",67,103,375,559,202,35,30,200,407
2021,4,20,"5,708",696,294,932,"1,518",553,113,63,781,758
2021,4,30,"4,472",439,232,668,"1,129",486,106,87,672,653
2021,4,40,"5,347",295,343,913,"1,432",551,115,102,673,923
2021,4,50,"6,947",343,525,"1,056","1,822",803,190,207,706,"1,295"
2021,4,60,"7,946",365,579,"1,170","2,019","1,028",251,280,790,"1,464"
2021,4,70,"5,109",190,446,782,"1,257",643,136,154,500,"1,001"
2021,4,80,"2,164",79,191,292,555,283,65,46,234,419
2021,4,90,361,15,45,71,71,53,14,7,34,51
2021,4,100,20,1,1,3,3,5,4,1,1,1
2021,5,총,"41,209","2,517","2,831","6,451","10,703","4,702","1,047",987,"4,759","7,212"
2021,5,0,"1,232",32,71,189,356,102,20,15,177,270
2021,5,10,"1,969",67,103,373,562,200,35,30,197,402
2021,5,20,"5,694",682,305,932,"1,513",552,113,62,790,745
2021,5,30,"4,458",444,232,670,"1,112",480,102,84,682,652
2021,5,40,"5,304",298,336,903,"1,436",547,112,101,660,911
2021,5,50,"6,919",347,517,"1,069","1,810",792,192,206,699,"1,287"
2021,5,60,"7,978",363,586,"1,166","2,029","1,041",254,281,789,"1,469"
2021,5,70,"5,096",189,440,783,"1,252",643,136,153,498,"1,002"
2021,5,80,"2,170",79,195,291,558,284,65,47,229,422
2021,5,90,368,15,45,72,72,55,14,7,37,51
2021,5,100,21,1,1,3,3,6,4,1,1,1
2021,6,총,"40,561","2,573","2,733","6,365","10,622","4,513",999,940,"4,689","7,127"
2021,6,0,"1,200",28,68,186,353,94,20,14,174,263
2021,6,10,"1,949",66,102,370,553,195,34,31,195,403
2021,6,20,"5,724",708,307,930,"1,515",562,104,59,797,742
2021,6,30,"4,431",459,227,661,"1,113",477,98,78,675,643
2021,6,40,"5,223",305,330,877,"1,411",539,108,98,653,902
2021,6,50,"6,825",354,492,"1,062","1,806",769,179,201,690,"1,272"
2021,6,60,"7,847",370,564,"1,156","2,023",998,245,266,779,"1,446"
2021,6,70,"4,938",188,418,767,"1,234",589,130,142,479,991
2021,6,80,"2,084",79,191,287,541,243,64,44,219,416
2021,6,90,322,15,33,66,70,43,13,6,28,48
2021,6,100,18,1,1,3,3,4,4,1,0,1
2021,7,총,"40,666","2,669","2,725","6,344","10,634","4,537",995,944,"4,687","7,131"
2021,7,0,"1,197",28,70,181,350,102,19,15,170,262
2021,7,10,"1,949",71,101,368,551,197,34,31,189,407
2021,7,20,"5,736",717,306,923,"1,518",557,101,59,810,745
2021,7,30,"4,484",515,232,660,"1,123",476,98,79,665,636
2021,7,40,"5,212",317,320,866,"1,405",547,106,96,655,900
2021,7,50,"6,823",361,486,"1,064","1,803",768,180,203,690,"1,268"
2021,7,60,"7,872",371,563,"1,157","2,035","1,009",246,265,779,"1,447"
2021,7,70,"4,950",191,421,763,"1,230",591,129,143,482,"1,000"
2021,7,80,"2,099",81,192,294,545,244,65,45,219,414
2021,7,90,326,16,33,65,71,42,13,7,28,51
2021,7,100,18,1,1,3,3,4,4,1,0,1
2021,8,총,"40,713","2,787","2,718","6,327","10,610","4,534",986,935,"4,701","7,115"
2021,8,0,"1,184",28,68,181,349,97,20,14,168,259
2021,8,10,"1,929",69,97,365,543,197,35,30,190,403
2021,8,20,"5,792",767,314,919,"1,513",558,96,60,826,739
2021,8,30,"4,504",559,224,656,"1,125",473,96,74,665,632
2021,8,40,"5,214",330,322,863,"1,399",545,105,98,652,900
2021,8,50,"6,813",368,483,"1,057","1,800",768,180,200,687,"1,270"
2021,8,60,"7,878",373,565,"1,162","2,028","1,012",243,266,780,"1,449"
2021,8,70,"4,942",190,420,760,"1,230",594,131,140,485,992
2021,8,80,"2,113",86,191,297,548,244,64,44,219,420
2021,8,90,326,16,33,64,71,42,13,8,29,50
2021,8,100,18,1,1,3,4,4,3,1,0,1
2021,9,총,"40,708","2,822","2,697","6,313","10,599","4,546",974,933,"4,717","7,107"
2021,9,0,"1,180",28,67,177,344,104,20,14,170,256
2021,9,10,"1,911",66,93,361,540,195,34,30,191,401
2021,9,20,"5,832",791,305,926,"1,522",561,93,61,833,740
2021,9,30,"4,523",569,228,662,"1,128",474,98,72,664,628
2021,9,40,"5,176",336,311,850,"1,396",546,100,98,648,891
2021,9,50,"6,800",367,480,"1,051","1,786",771,176,196,694,"1,279"
2021,9,60,"7,877",373,561,"1,163","2,033","1,009",245,265,784,"1,444"
2021,9,70,"4,943",188,425,758,"1,222",601,127,142,489,991
2021,9,80,"2,126",87,193,297,553,242,65,46,216,427
2021,9,90,322,17,33,65,70,40,13,7,28,49
2021,9,100,18,0,1,3,5,3,3,2,0,1
2021,10,총,"40,676","2,865","2,684","6,298","10,594","4,538",973,926,"4,706","7,092"
2021,10,0,"1,161",28,68,184,338,101,19,13,162,248
2021,10,10,"1,894",64,93,350,537,190,37,30,191,402
2021,10,20,"5,858",810,298,937,"1,522",560,95,58,844,734
2021,10,30,"4,495",586,230,653,"1,128",461,95,71,655,616
2021,10,40,"5,165",344,311,853,"1,386",551,99,95,638,888
2021,10,50,"6,773",367,472,"1,030","1,792",770,175,199,694,"1,274"
2021,10,60,"7,894",376,559,"1,173","2,039","1,014",244,263,778,"1,448"
2021,10,70,"4,953",190,428,750,"1,215",604,128,142,501,995
2021,10,80,"2,145",84,190,301,563,247,65,46,215,434
2021,10,90,322,16,34,65,70,37,13,7,28,52
2021,10,100,16,0,1,2,4,3,3,2,0,1
2021,11,총,"40,556","2,865","2,684","6,264","10,555","4,526",974,921,"4,706","7,061"
2021,11,0,"1,139",30,70,182,332,94,20,10,161,240
2021,11,10,"1,873",62,90,353,528,186,37,30,190,397
2021,11,20,"5,830",815,290,923,"1,524",550,94,54,845,735
2021,11,30,"4,471",592,234,641,"1,119",460,93,70,654,608
2021,11,40,"5,128",339,313,846,"1,372",548,99,94,633,884
2021,11,50,"6,766",366,477,"1,022","1,794",770,175,195,696,"1,271"
2021,11,60,"7,897",371,560,"1,180","2,034","1,014",244,270,779,"1,445"
2021,11,70,"4,969",188,428,752,"1,216",612,130,143,504,996
2021,11,80,"2,151",85,189,297,566,253,66,46,213,436
2021,11,90,321,17,33,66,68,36,13,8,31,49
2021,11,100,11,0,0,2,2,3,3,1,0,0
2021,12,총,"40,524","2,937","2,675","6,252","10,521","4,511",974,915,"4,693","7,046"
2021,12,0,"1,117",32,69,181,322,92,23,9,156,233
2021,12,10,"1,872",64,90,355,520,186,38,27,191,401
2021,12,20,"5,839",840,291,926,"1,510",553,92,55,836,736
2021,12,30,"4,477",632,231,637,"1,110",458,91,65,650,603
2021,12,40,"5,118",340,311,841,"1,378",546,103,95,630,874
2021,12,50,"6,722",365,469,"1,011","1,778",764,172,200,698,"1,265"
2021,12,60,"7,918",378,562,"1,189","2,043","1,005",248,269,779,"1,445"
2021,12,70,"4,962",182,429,749,"1,215",612,125,142,508,"1,000"
2021,12,80,"2,169",86,191,294,573,256,67,45,216,441
2021,12,90,323,18,32,68,70,37,14,7,29,48
2021,12,100,7,0,0,1,2,2,1,1,0,0
